Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Объем,Максимальная загрузка
https://cdn.entero.ru/mp@2x/a3/86/a3866b0c9efb7f60645cc2664f5e0fbb.jpg;https://cdn.entero.ru/mp@2x/3c/e8/3ce89c7a5c6eabc644438e61210feec0.jpg;https://cdn.entero.ru/mp@2x/4c/62/4c62615bfe078ed4df86b4c06972feb8.jpg;https://cdn.entero.ru/mp@2x/04/b2/04b2f716b4a335db0a2b3e14e3ed18f9.jpg;https://cdn.entero.ru/mp@2x/47/23/4723956821d9b33b7891aa3da87617aa.jpg;https://cdn.entero.ru/mp@2x/c7/d6/c7d6baf296334879148d3696db3e34e8.jpg;https://cdn.entero.ru/mp@2x/3e/08/3e08e9ac01ab089149facda659d6fc2a.jpg;https://cdn.entero.ru/mp@2x/b7/40/b74030fe95db398ef7424771d82c19be.jpg;https://cdn.entero.ru/mp@2x/6b/6e/6b6e657e7989119f6f45bf225a5c90b3.jpg;https://cdn.entero.ru/mp@2x/dc/dc/dcdc0a37b937c3269d89dd14a29f1cab.jpg,Контейнер для сыпучих продуктов Cambro IBS27 148 белый,54425,25209,RUB,Да,Cambro,Профоборудование,Нейтральное,Контейнеры для сыпучих продуктов,https://entero.ru/item/39413,"<p>Контейнер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/39413""><b class=""b"">Cambro IBS27 148</b></a> предназначен для хранения и транспортировки сыпучих продуктов на предприятиях общественного питания, торговли и в производственных цехах, деятельность которых связана с выпуском гастрономических товаров. Изделие надежно защитит свое содержимое от солнечных лучей, попадания влаги и мусора. Модель выполнена из материала, утвержденного федеральным управлением США по контролю пищевых продуктов и медикаментов, и не требует использования прокладок.</p>

<p>В комплект поставки входит S-образный крюк для подвешивания совка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Прозрачная выдвижная крышка обеспечивает оптимальный обзор содержимого</li>
<li>Легко входит под рабочие столы стандартной высоты</li>
<li>4 устойчивых колеса, 2 из которых поворотные</li>
<li>Гладкие внутренняя и наружная поверхности легко моются</li>
<li>Включен в список NSF</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 0,102 м<sup>3</sup></li>
<li>Макс. загрузка муки: 68 кг</li>
<li>Макс. загрузка сахара: 103 кг</li>
<li>Диаметр колес: 76 мм</li>
<li>Цвет: белый</li>
</ul>",39413,420 мм,750 мм,710 мм,,,,0,https://entero.ru/manuals/92999/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Cambro%202016-2017.pdf;https://entero.ru/manuals/93000/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%B4%D0%BB%D1%8F%20%D1%85%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BF%D0%B8%D1%89%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%20Cambro.pdf;https://entero.ru/manuals/510684/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,27106,13.9 кг,,США,102 л,103 кг
https://cdn.entero.ru/mp@2x/f8/74/f874e288afaa890f210dfb133179e87d.jpg,Контейнер для сыпучих продуктов MACO Jiwins JW-S102,Контейнер для сыпучих продуктов MACO Jiwins JW-S102,17881,RUB,Да,MACO,Профоборудование,Нейтральное,Контейнеры для сыпучих продуктов,https://entero.ru/item/119464,"<p>Контейнер для сыпучих продуктов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/119464"">MACO Jiwins JW-S102</a></b> используется на предприятиях общественного питания и торговли для временного хранения и транспортировки сухих продуктов. Изделие выполнено из ударопрочного пластика.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: белый</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичные модели других размеров.</span></em></p>",119464,410 мм,750 мм,745 мм,14 кг,1,420x760x750 мм,11,,19022,12.08 кг,Китай,Китай,102 л,
https://cdn.entero.ru/mp@2x/22/b5/22b5fd54ec2ad1dbc369f1f3940fd42a.jpg,Контейнер для сыпучих продуктов MACO Jiwins JW-S81,Контейнер для сыпучих продуктов MACO Jiwins JW-S81,16892,RUB,Да,MACO,Профоборудование,Нейтральное,Контейнеры для сыпучих продуктов,https://entero.ru/item/119465,"<p>Контейнер для сыпучих продуктов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/119465"">MACO Jiwins JW-S81</a></b> используется на предприятиях общественного питания и торговли для временного хранения и транспортировки сухих продуктов.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: белый</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичные модели других размеров.</span></em></p>",119465,740 мм,330 мм,710 мм,,,,29,,,9.65 кг,,Китай,81 л,
https://cdn.entero.ru/mp@2x/c2/68/c268b9f82f2866b1b11f4e346fc58e8d.jpg;https://cdn.entero.ru/mp@2x/da/3a/da3a3741b5b261343f66f637208459ca.jpg,Контейнер для сыпучих продуктов Tribeca 102 л 420х720х720 мм (полиэтилен) на колесах белый,Контейнер для сыпучих продуктов Tribeca 102 л 420х720х720 мм (полиэтилен) на колесах белый,10461,RUB,Да,,Профоборудование,Нейтральное,Контейнеры для сыпучих продуктов,https://entero.ru/item/330493,"<p>Контейнер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/330493""><b class=""b"">Tribeca USA-102 </b></a>предназначен для гигиеничного хранения и транспортировки муки, сахара, круп и других сыпучих продуктов на предприятиях общественного питания и торговли. Модель оснащена 2 крышками и 4 колесами, включая 2 поворотных. Емкость выполнена из прочного полиэтилена низкой плотности белого цвета, крышки – из поликарбоната.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>

<p><b>Особенности:</b> </p>

<ul>
<li>Преимущества материала LLDPE:
<ul>
<li>Ударопрочность</li>
<li>Устойчивость к температурным перепадам, солнечным лучам и коррозии</li>
<li>Безопасность для пищевой промышленности</li>
<li>Возможность 100% переработки</li>
</ul>
</li>
<li>Прозрачные крышки для визуального контроля уровня заполнения без необходимости открывания</li>
<li>Цельная бесшовная конструкция корпуса благодаря технологии ротационного формования</li>
<li>Легкость очистки и дезинфекции благодаря гладкой поверхности и закругленным углам</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры окружающей среды: от -50 до 80 °С</li>
<li>Габариты колес: 80х32 мм</li>
</ul>",330493,420 мм,720 мм,720 мм,,,,0,https://entero.ru/manuals/392020/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Tribeca%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,11012,19 кг,Турция,Турция,102 л,
https://cdn.entero.ru/mp@2x/42/47/424785e95448bc9026972dce9e041bac.jpg,Контейнер для сыпучих продуктов Gastroplast GPUS-102 102 л 420х720х710 мм (полипропилен) на колесах белый,GPUS-102,11472,RUB,Да,,Профоборудование,Нейтральное,Контейнеры для сыпучих продуктов,https://entero.ru/item/366839,"<p>Контейнер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366839""><b class=""b"">Gastroplast GPUS-102 </b></a>предназначен для гигиеничного хранения и транспортировки муки, сахара, круп и других сыпучих продуктов на предприятиях общественного питания и торговли. Модель оснащена 2 крышками и 4 колесами, включая 2 поворотных. Емкость выполнена из прочного полипропилена белого цвета методом литья под высоким давлением, крышки – из АБС-пластика.</p>

<p>В комплект поставки входит совок.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>

<p><b>Особенности:</b> </p>

<ul>
<li>Прозрачные крышки для визуального контроля уровня заполнения без необходимости открывания</li>
<li>Легкость очистки и дезинфекции благодаря гладкой поверхности и закругленным углам</li>
<li>Широкие колеса обеспечивают отличную балансировку и устойчивость к нагрузкам</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры окружающей среды: от -5 до 60 °С</li>
<li>Габариты колес: 80х32 мм</li>
</ul>",366839,420 мм,720 мм,710 мм,,,,0,https://entero.ru/manuals/507613/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,12204,18.75 кг,Турция,Турция,102 л,
https://cdn.entero.ru/mp@2x/80/7c/807cc06ac4f0516148fc1dd61d7ea515.jpg,Контейнер для сыпучих продуктов NORMA 102 л IB,Контейнер для сыпучих продуктов NORMA 102 л IB,13971,RUB,Да,NORMA,Профоборудование,Нейтральное,Контейнеры для сыпучих продуктов,https://entero.ru/item/235702,"<p>Контейнер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/235702"">NORMA 102 л IB</a></b> предназначен для хранения и транспортировки различных сыпучих продуктов на предприятиях общественного питания и торговли. Модель оснащена съемной крышкой с прозрачной откидной секцией и 4 колесами: 2 поворотными фронтальными и 2 фиксированными задними. Изделие выполнено из ударопрочного пластика.</p>",235702,749 мм,394 мм,711 мм,12 кг,1,749x394x711 мм,0,https://entero.ru/manuals/481034/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,15186,12 кг,,Китай,102 л,
https://cdn.entero.ru/mp@2x/cf/61/cf61f59ea16a58afebdbf2a32366a1b3.jpg;https://cdn.entero.ru/mp@2x/54/0a/540ac681fe8c15cadf4b52ceeff1674d.jpg,Контейнер для сыпучих продуктов Tribeca 82 л (пластик),Контейнер для сыпучих продуктов Tribeca 82 л (пластик),8933,RUB,Да,,Профоборудование,Нейтральное,Контейнеры для сыпучих продуктов,https://entero.ru/item/360159,"<p>Контейнер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/360159""><b class=""b"">Tribeca 82 л</b></a> предназначен для гигиеничного хранения и транспортировки муки, сахара, круп и других сыпучих продуктов на предприятиях общественного питания и торговли. Модель оснащена 2 крышками. Емкость выполнена из прочного безопасного для пищевой промышленности пластика белого цвета, крышки – из поликарбоната.</p>

<p><b>Особенности:</b> </p>

<ul>
<li>2 поворотных и 2 фиксированных колеса для удобства транспортировки</li>
<li>Прозрачные крышки для визуального контроля уровня заполнения без необходимости открывания</li>
<li>Возможность вторичной переработки</li>
<li>Соответствие стандарту высоты для размещения под столом на профессиональной кухне</li>
<li>Гладкая бесшовная низкопористая поверхность для легкости очистки и дезинфекции</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты колес: 80х32 мм</li>
</ul>",360159,350 мм,720 мм,720 мм,5.6 кг,1,350x720x720 мм,0,,,5.6 кг,,Турция,82 л,
https://cdn.entero.ru/mp@2x/01/6f/016f5e64002258faaffc9f3d7956d1a3.jpg,Контейнер для сыпучих продуктов VIATTO JW-S81,4660114845971,19309,RUB,Да,VIATTO,Профоборудование,Нейтральное,Контейнеры для сыпучих продуктов,https://entero.ru/item/222080,"<p>Контейнер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/222080"">VIATTO JW-S81</a> </b>предназначен для хранения различных сыпучих продуктов на предприятиях общественного питания и торговли. Модель оснащена прозрачной откидной крышкой и 4 колесами для удобства транспортировки. Изделие выполнено из ударопрочного пластика.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",222080,477 мм,680 мм,620 мм,,,,8,,,9.65 кг,,Китай,81 л,
https://cdn.entero.ru/mp@2x/68/17/6817ca908c7fb2386b52afad794f33ce.jpg;https://cdn.entero.ru/mp@2x/2b/2a/2b2a363d1774ba163783e517512b4895.jpg;https://cdn.entero.ru/mp@2x/c7/b8/c7b8c03df258720f1667c703afcfcba5.jpg;https://cdn.entero.ru/mp@2x/66/aa/66aae8ba4842dfd80a22a6f6920c5f3a.jpg;https://cdn.entero.ru/mp@2x/f1/79/f179dfa934d7697303931b276f9e80ea.jpg;https://cdn.entero.ru/mp@2x/e5/ac/e5ac35d8ef13e8a6d5cd1659008c9585.jpg;https://cdn.entero.ru/mp@2x/7c/0e/7c0eb54ca11e6e013e5bf450016735f9.jpg;https://cdn.entero.ru/mp@2x/02/4b/024be09a7794a9c9af13e4cf1679328b.jpg;https://cdn.entero.ru/mp@2x/77/8a/778a56317404afcf8be84467afd87908.jpg;https://cdn.entero.ru/mp@2x/70/60/7060d71cc6b1976bb72b34a6bd9acd12.jpg,Контейнер для сыпучих продуктов Cambro IB32 148 белый,IB32-148,29900,RUB,Да,Cambro,Профоборудование,Нейтральное,Контейнеры для сыпучих продуктов,https://entero.ru/item/39409,"<p>Контейнер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/39409""><b class=""b"">Cambro IB32 148</b></a> предназначен для хранения и транспортировки сыпучих продуктов на предприятиях общественного питания, торговли и в производственных цехах, деятельность которых связана с выпуском гастрономических товаров. Изделие надежно защитит свое содержимое от солнечных лучей, попадания влаги и мусора. Модель выполнена из материала, утвержденного федеральным управлением США по контролю пищевых продуктов и медикаментов, и не требует использования прокладок.</p>

<p>В комплект поставки входит S-образный крюк для подвешивания совка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Прозрачная выдвижная крышка обеспечивает оптимальный обзор содержимого</li>
<li>Легко входит под рабочие столы стандартной высоты</li>
<li>4 устойчивых колеса, 2 из которых поворотные</li>
<li>Гладкие внутренняя и наружная поверхности легко моются</li>
<li>Включен в список NSF</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 0,123 м<sup>3</sup></li>
<li>Макс. загрузка муки: 73 кг</li>
<li>Макс. загрузка сахара: 97,5 кг</li>
<li>Диаметр колес: 76 мм</li>
<li>Цвет: белый</li>
</ul>",39409,500 мм,610 мм,585 мм,,,,8,https://entero.ru/manuals/92997/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Cambro%202016-2017.pdf;https://entero.ru/manuals/92998/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%B4%D0%BB%D1%8F%20%D1%85%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BF%D0%B8%D1%89%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%20Cambro.pdf;https://entero.ru/manuals/510685/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,,11.5 кг,,США,121 л,97.3 кг
https://cdn.entero.ru/mp@2x/b1/5d/b15d96783587f4984b7beb8b067a404c.jpg,Контейнер для сыпучих продуктов NORMA 81 л IB,Контейнер для сыпучих продуктов NORMA 81 л IB,20831,RUB,Да,NORMA,Профоборудование,Нейтральное,Контейнеры для сыпучих продуктов,https://entero.ru/item/235703,"<p>Контейнер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/235703"">NORMA 81 л IB</a></b> предназначен для хранения и транспортировки различных сыпучих продуктов на предприятиях общественного питания и торговли. Модель оснащена съемной крышкой с прозрачной откидной секцией и 4 колесами: 2 поворотными фронтальными и 2 фиксированными задними. Изделие выполнено из ударопрочного пластика.</p>",235703,743 мм,333 мм,711 мм,10 кг,1,743x333x711 мм,0,https://entero.ru/manuals/481033/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,21927,10 кг,,Китай,81 л,
