Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель
https://cdn.entero.ru/mp@2x/5d/c8/5dc8414ae1b16cda4a1ad450bca41a9f.jpg;https://cdn.entero.ru/mp@2x/67/84/6784fac2161301008b9b8bd400ae8390.jpg;https://cdn.entero.ru/mp@2x/ae/6e/ae6ec07cac66021083dd767b7b737d73.jpg,Ларь для овощей КОБОР ЛО-100/60,ЛО 100 60,26785,RUB,Да,КОБОР,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/63069,"<p>Ларь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/63069"">Кобор ЛО-100/60</a></b> предназначен для хранения овощей на предприятиях торговли и общественного питания. Оборудование обеспечивает компактное и аккуратное хранение овощей всех типов.</p>

<p>Овощи помещаются внутрь ларя при помощи широкой откидывающейся верхней крышки. На корпусе изделия имеются вентиляционные отверстия. Каркас конструкции выполнен из высококачественной нержавеющей стали, гарантирующей долгий срок эксплуатации.</p>",63069,1000 мм,600 мм,850 мм,,,,0,https://entero.ru/manuals/89585/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%9A%D0%BE%D0%B1%D0%BE%D1%80%20%D0%9B%D0%9E-100_60.pdf;https://entero.ru/manuals/401435/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239661&hd=2&autoplay=0,29 кг,,Россия
https://cdn.entero.ru/mp@2x/b1/46/b146e37cc863c1fccc5f5460ef41593c.jpg;https://cdn.entero.ru/mp@2x/10/3d/103db3a8f9476784aec79eeaba2695cf.jpg;https://cdn.entero.ru/mp@2x/e4/a7/e4a7c09e95a017497ea092bdca4c359d.jpg,Ларь для овощей КОБОР ЛО-80/50,ЛО 80 50,23034,RUB,Да,КОБОР,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/63068,"<p>Ларь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/63068"">Кобор ЛО-80/50</a></b> предназначен для хранения овощей на предприятиях торговли и общественного питания. Оборудование обеспечивает компактное и аккуратное хранение овощей всех типов.</p>

<p>Овощи помещаются внутрь ларя при помощи широкой откидывающейся верхней крышки. На корпусе изделия имеются вентиляционные отверстия. Каркас конструкции выполнен из высококачественной нержавеющей стали, гарантирующей долгий срок эксплуатации.</p>",63068,800 мм,500 мм,850 мм,,,,0,https://entero.ru/manuals/89586/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%9A%D0%BE%D0%B1%D0%BE%D1%80%20%D0%9B%D0%9E-80_50.pdf;https://entero.ru/manuals/401436/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239661&hd=2&autoplay=0,20 кг,,Россия
https://cdn.entero.ru/mp@2x/56/89/5689d68feec48b79b973590e1a100a92.jpg,Ларь для овощей Assum ЛО-П-12/6 (1200х600х800) (нерж. сталь),Ларь для овощей Assum ЛО-П-12/6 (1200х600х800) (нерж. сталь),16113,RUB,Да,Assum,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/235304,"<p>Ларь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/235304""><b class=""b"">Assum ЛО-П-12/6</b></a> серии Премиум предназначен для временного хранения незамороженных овощей на складах ресторанов, кафе, магазинов, супермаркетов и других предприятий общественного питания и торговли. Модель оснащена съемной откидной крышкой с рукояткой. Корпус выполнен из высококачественной листовой нержавеющей стали AISI 430, каркас – из углового профиля нержавеющей стали AISI 430, подпятники опор – из прочного пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Вентиляционные отверстия для предотвращения образования конденсата</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Ребра жескости для минимизации деформации панелей</li>
<li>Легкость очистки и дезинфекции</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 0,576 м³</li>
<li>Объем в упаковке: 0,137 м³</li>
<li>Диапазон регулировки высоты опор: 35 мм</li>
<li>Толщина стали:
<ul>
<li>Корпус: 0,7 мм</li>
<li>Каркас: 1,5 мм</li>
</ul>
</li>
<li>Габариты профиля каркаса: 40х40 мм</li>
</ul>",235304,1200 мм,600 мм,800 мм,,,,0,https://entero.ru/manuals/479507/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Assum%20%D0%9B%D0%9E-%D0%9F-12_6%20%281200%D1%85600%D1%85800%29%20%28%D0%BD%D0%B5%D1%80%D0%B6.%20%D1%81%D1%82%D0%B0%D0%BB%D1%8C%29.pdf;https://entero.ru/manuals/479509/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,16784,,33.5 кг,Россия,Россия
https://cdn.entero.ru/mp@2x/87/41/87416ea330c41ae0e65675b02b4f0c34.jpg,Ларь для овощей Assum ЛО-С-12/6 (1200х600х800) (оцинкованная сталь),Ларь для овощей Assum ЛО-С-12/6 (1200х600х800) (оцинкованная сталь),12799,RUB,Да,Assum,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/235305,"<p>Ларь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/235305""><b class=""b"">Assum ЛО-С-12/6</b></a> серии Стандарт предназначен для временного хранения незамороженных овощей на складах ресторанов, кафе, магазинов, супермаркетов и других предприятий общественного питания и торговли. Модель оснащена съемной откидной крышкой с рукояткой. Корпус выполнен из высококачественной листовой оцинкованной стали, каркас – из углового профиля оцинкованной стали, подпятники опор – из прочного пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Вентиляционные отверстия для предотвращения образования конденсата</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Ребра жескости для минимизации деформации панелей</li>
<li>Легкость очистки и дезинфекции</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 0,576 м³</li>
<li>Объем в упаковке: 0,152 м³</li>
<li>Диапазон регулировки высоты опор: 35 мм</li>
<li>Толщина стали: 
<ul>
<li>Корпус: 0,7 мм</li>
<li>Каркас: 1,5 мм</li>
</ul>
</li>
<li>Габариты профиля каркаса: 40х40 мм</li>
</ul>",235305,1200 мм,600 мм,800 мм,,,,0,https://entero.ru/manuals/382439/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Assum%20%D0%9B%D0%9E-%D0%A1-12_6%20%281200%D1%85600%D1%85800%29%20%28%D0%BE%D1%86%D0%B8%D0%BD%D0%BA%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D1%81%D1%82%D0%B0%D0%BB%D1%8C%29.pdf;https://entero.ru/manuals/479508/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,13473,,33.5 кг,Россия,Россия
https://cdn.entero.ru/mp@2x/e5/30/e53012ff25b44fbc10f2e0634272b4b1.jpg,Ларь для овощей Luxstahl ЛО - 8/5,Ларь для овощей Luxstahl ЛО - 8/5,18312,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/263535,"<p>Ларь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/263535"">Luxstahl ЛО - 8/5</a></b> предназначен для хранения картофеля и других корнеплодов на предприятиях общественного питания. Изделие оснащено откидной крышкой и позволяет правильно организовать технологические процессы, придерживаться санитарных норм и обеспечивать порядок. Корпус выполнен из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вентиляционные отверстия для предотвращения образования конденсата</li>
<li>Легкость очистки и дезинфекции</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 0,8 мм</li>
</ul>",263535,800 мм,500 мм,850 мм,,,,0,https://entero.ru/manuals/326168/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Luxstahl.pdf,,,,,Россия
https://cdn.entero.ru/mp@2x/e5/8d/e58dc4fcea1b85f7015044d2b386ccec.jpg,Ящик для хранения овощей КОБОР ЛО/2-100/80/430,Ящик для хранения овощей КОБОР ЛО/2-100/80/430,20995,RUB,Да,КОБОР,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/347844,"<p>Ящик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/347844"">Кобор ЛО/2-100/80/430</a></b> используется на предприятиях общественного питания и торговли для хранения овощей и фруктов. Изделие выполнено из высококачественной неравеющей стали AISI 430.</p>",347844,800 мм,1000 мм,500 мм,,,,0,,,,,,Россия
https://cdn.entero.ru/mp@2x/f0/b2/f0b25ab0a889787381a335ad62218014.jpg;https://cdn.entero.ru/mp@2x/f2/e2/f2e265b853ca7ef2ee7d5c71a6e570d3.jpg,Ларь для хранения картофеля Проммаш ЛХК 1050х630х850,Ларь для хранения картофеля Проммаш ЛХК 1050х630х850,24752,RUB,Нет,Проммаш,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/184484,"<p>Ларь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184484""><b class=""b"">ЛХК 1050х630х850</b></a> используется на предприятиях общественного питания и торговли для хранения картофеля и других овощей. Корпус выполнен из крашеного металла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 1050х630х850 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",184484,1050 мм,630 мм,850 мм,60 кг,1,1050x630x850 мм,0,,26615,,50 кг,,Россия
https://cdn.entero.ru/mp@2x/8e/b0/8eb0cc9e6e8e289eafa5c0338c6541b3.jpg,Ларь для хранения крупы Проммаш ЛКР,Ларь для хранения крупы Проммаш ЛКР,54702,RUB,Нет,Проммаш,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/302305,"<p>Ларь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/302305""><b class=""b"">Проммаш ЛКР </b></a>предназначен для хранения различных сыпучих продуктов на предприятиях общественного питания и торговли. Модель оснащена 3 секцими со стеклянными крышками. Корпус выполнен из нержавеющей стали.</p>",302305,1500 мм,600 мм,1100 мм,,,,0,,59459,,,,Россия
https://cdn.entero.ru/mp@2x/f6/fb/f6fb6dbe1b5b9954375dcb522146d5c8.jpg;https://cdn.entero.ru/mp@2x/4c/91/4c91dec01f195a80b30e57ec629a49f3.jpg;https://cdn.entero.ru/mp@2x/61/2e/612eb981bc6d1eb05c7e0bd203976b92.jpg;https://cdn.entero.ru/mp@2x/32/ad/32add477d36decb69dfc6cc1214afbef.jpg;https://cdn.entero.ru/mp@2x/5e/f2/5ef2717113da2a19a29d13d3c27f6512.jpg;https://cdn.entero.ru/mp@2x/f9/29/f929e27ad3f1d2c31042954184bfdac9.jpg,Ларь для овощей Restoinox ЛО-10/6,Ларь для овощей Restoinox ЛО-10/6,28042,RUB,Нет,Restoinox,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/151228,"<p>Ларь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/151228"">Restoinox ЛО-10/6</a></b> предназначен для хранения овощей на предприятиях общественного питания и торговли, обеспечивает компактное и аккуратное хранение овощей всех типов, устанавливается в темном и сухом помещении. Корпус выполнен из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 секции, разделенные между собой перегородкой</li>
<li>Конструкция разборная</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Толщина стенок: 1 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",151228,1000 мм,600 мм,900 мм,47 кг,1,1010x610x910 мм,0,https://entero.ru/manuals/509302/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,29832,,,,Россия
https://cdn.entero.ru/mp@2x/37/f0/37f0f441cec90aac7852d45ccf2fa39c.jpg;https://cdn.entero.ru/mp@2x/21/37/2137af3c5dce56212e667075017767d9.jpg;https://cdn.entero.ru/mp@2x/6d/48/6d48bd3078f642c5a823e660ff38b36c.jpg;https://cdn.entero.ru/mp@2x/bd/a5/bda51b0094ba0924ca32172819a87832.jpg;https://cdn.entero.ru/mp@2x/25/3d/253db439069cf1ab0f5406e52a5f145a.jpg;https://cdn.entero.ru/mp@2x/2d/63/2d6313fc1ffaff8ac9fe842efd2dbae0.jpg,Ларь для овощей Restoinox ЛО-8/5,Ларь для овощей Restoinox ЛО-8/5,25492,RUB,Нет,Restoinox,Профоборудование,Нейтральное,Лари для овощей,https://entero.ru/item/151224,"<p>Ларь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/151224"">Restoinox ЛО-8/5</a></b> предназначен для хранения овощей на предприятиях общественного питания и торговли, обеспечивает компактное и аккуратное хранение овощей всех типов, устанавливается в темном и сухом помещении. Корпус выполнен из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 секции, разделенные между собой перегородкой</li>
<li>Конструкция разборная</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Толщина стенок: 1 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",151224,800 мм,500 мм,900 мм,38 кг,1,810x510x910 мм,0,https://entero.ru/manuals/509300/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,,Россия
