Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Страна-производитель
https://cdn.entero.ru/mp@2x/6d/fa/6dfa665970267b0a7becf93931459751.jpg;https://cdn.entero.ru/mp@2x/4d/9e/4d9e9712bb756225d260f23c8573807d.jpg;https://cdn.entero.ru/mp@2x/42/b8/42b89c32204cb3c6044537a0159f8a41.jpg;https://cdn.entero.ru/mp@2x/c4/84/c4846302549f05d534c21348aaab19ef.jpg;https://cdn.entero.ru/mp@2x/61/62/6162764e31a9ca4f60537d3b33b666cf.jpg;https://cdn.entero.ru/mp@2x/df/16/df16a43263b9a0eb2c56ea9d4bd3854a.jpg,Писсуар антивандальный Oceanus 2-001.1 (нерж. сталь),Н201,37590,RUB,Да,,Профоборудование,Нейтральное,Писсуары,https://entero.ru/item/374030,"<p>Писсуар антивандальный <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/374030""><b class=""b"">Oceanus 2-001.1 </b></a>используется в общественных туалетах предприятий общественного питания и торговли, аэропортов, вокзалов, различных учреждений и других мест массового пребывания. Изделие выполнено из высококачественной нержавеющей стали марки AISI 304, толщиной 1,2-2 мм с матовой поверхностью.</p>

<p>В комплект поставки входят слив сифона и крепления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подвесной тип установки</li>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Эргономичный дизайн</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",374030,300 мм,295 мм,390 мм,4 кг,2,350x350x460 мм,0,https://entero.ru/manuals/504109/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%202-001.1.pdf;https://entero.ru/manuals/516867/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,40859,,Россия
https://cdn.entero.ru/mp@2x/b3/bb/b3bb63bab0d3e5d8cdced73b0e003d52.jpg;https://cdn.entero.ru/mp@2x/4e/f9/4ef9e90d0417d0b250fd2a3b0e416174.jpg;https://cdn.entero.ru/mp@2x/bd/1e/bd1e4af81255c4bab3c67f3c8ae24e7b.jpg,Писсуар-желоб коллективный Oceanus 2-003.1 (R) 600х240х545 мм (нерж. сталь) слив справа,2-003.1 (R),135590,RUB,Нет,,Профоборудование,Нейтральное,Писсуары,https://entero.ru/item/346401,"<p>Коллективный​ писсуар-желоб <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346401""><b class=""b"">Oceanus 2-003.1 (R) </b></a>используется в общественных туалетах предприятий общественного питания и торговли, аэропортов, вокзалов, различных учреждений и других мест массового пребывания. Изделие выполнено из высококачественной нержавеющей стали марки AISI 304.</p>

<p>В комплект поставки входят слив сифона и крепления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настенная установка</li>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Сливное отверстие с правой стороны</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Толщина стали: 1,2 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",346401,600 мм,240 мм,545 мм,9.7 кг,1,650x290x290 мм,0,https://entero.ru/manuals/424887/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%202-003.1%20%28R%29.pdf;https://entero.ru/manuals/424905/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,142726,8.3 кг,Россия
https://cdn.entero.ru/mp@2x/b1/2e/b12e93c892168cbf44c33c9d85189419.jpg,Писсуар-желоб коллективный КОБОР ПС-100,Писсуар-желоб коллективный КОБОР ПС-100,26608,RUB,Нет,КОБОР,Профоборудование,Нейтральное,Писсуары,https://entero.ru/item/219126,"<p>Коллективный​ писсуар-желоб <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/219126"">Кобор ПС-100</a> </b>используется в общественных туалетах на предприятиях пищевой промышленности, общественного питания и торговли. Писсуар выполнен из высококачественной нержавеющей стали AISI 304 толщиной 1,2 мм, обладающей антикоррозийными и антивандальными свойствами, что способствует долговременной эксплуатации и защите от каких-либо повреждений.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип установки: настенный</li>
<li>Подвод воды: левый / правый</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",219126,1000 мм,220 мм,530 мм,,,,0,https://entero.ru/manuals/260191/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,28922,,Россия
https://cdn.entero.ru/mp@2x/a9/6e/a96e32fc48c74a962fd8cd4d885bfd34.jpg,Писсуар-желоб коллективный КОБОР ПС-120,Писсуар-желоб коллективный КОБОР ПС-120,29745,RUB,Нет,КОБОР,Профоборудование,Нейтральное,Писсуары,https://entero.ru/item/219129,"<p>Коллективный​ писсуар-желоб <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/219129"">Кобор ПС-120</a> </b>используется в общественных туалетах на предприятиях пищевой промышленности, общественного питания и торговли. Писсуар выполнен из высококачественной нержавеющей стали AISI 304 толщиной 1,2 мм, обладающей антикоррозийными и антивандальными свойствами, что способствует долговременной эксплуатации и защите от каких-либо повреждений.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип установки: настенный</li>
<li>Подвод воды: левый / правый</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",219129,1200 мм,220 мм,530 мм,,,,0,https://entero.ru/manuals/260192/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,31984,,Россия
https://cdn.entero.ru/mp@2x/d7/61/d761d6d5ea98088627a6976dc983fbd5.jpg,Писсуар-желоб коллективный КОБОР ПС-150,Писсуар-желоб коллективный КОБОР ПС-150,37108,RUB,Нет,КОБОР,Профоборудование,Нейтральное,Писсуары,https://entero.ru/item/219130,"<p>Коллективный​ писсуар-желоб <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/219130"">Кобор ПС-150</a> </b>используется в общественных туалетах на предприятиях пищевой промышленности, общественного питания и торговли. Писсуар выполнен из высококачественной нержавеющей стали AISI 304 толщиной 1,2 мм, обладающей антикоррозийными и антивандальными свойствами, что способствует долговременной эксплуатации и защите от каких-либо повреждений.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип установки: настенный</li>
<li>Подвод воды: левый / правый</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",219130,1500 мм,220 мм,530 мм,,,,0,https://entero.ru/manuals/260193/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,38654,,Россия
https://cdn.entero.ru/mp@2x/28/a1/28a128646795c44b9c529f318bc0edc3.jpg,Писсуар-желоб коллективный КОБОР ПС-180,Писсуар-желоб коллективный КОБОР ПС-180,43586,RUB,Нет,КОБОР,Профоборудование,Нейтральное,Писсуары,https://entero.ru/item/219131,"<p>Коллективный​ писсуар-желоб <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/219131"">Кобор ПС-180</a> </b>используется в общественных туалетах на предприятиях пищевой промышленности, общественного питания и торговли. Писсуар выполнен из высококачественной нержавеющей стали AISI 304 толщиной 1,2 мм, обладающей антикоррозийными и антивандальными свойствами, что способствует долговременной эксплуатации и защите от каких-либо повреждений.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип установки: настенный</li>
<li>Подвод воды: левый / правый</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",219131,1800 мм,220 мм,530 мм,,,,0,https://entero.ru/manuals/260194/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,Россия
https://cdn.entero.ru/mp@2x/87/52/8752cc47a2a35023b787681eb4660002.jpg,Писсуар-желоб коллективный КОБОР ПС-200,Писсуар-желоб коллективный КОБОР ПС-200,47900,RUB,Нет,КОБОР,Профоборудование,Нейтральное,Писсуары,https://entero.ru/item/219133,"<p>Коллективный​ писсуар-желоб <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/219133"">Кобор ПС-200</a> </b>используется в общественных туалетах на предприятиях пищевой промышленности, общественного питания и торговли. Писсуар выполнен из высококачественной нержавеющей стали AISI 304 толщиной 1,2 мм, обладающей антикоррозийными и антивандальными свойствами, что способствует долговременной эксплуатации и защите от каких-либо повреждений.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип установки: настенный</li>
<li>Подвод воды: левый / правый</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",219133,2000 мм,220 мм,530 мм,,,,0,https://entero.ru/manuals/260195/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,Россия
https://cdn.entero.ru/mp@2x/96/b7/96b787922c3471994fa651981bc95cd6.jpg,Писсуар-желоб коллективный КОБОР ПС-220,Писсуар-желоб коллективный КОБОР ПС-220,52201,RUB,Нет,КОБОР,Профоборудование,Нейтральное,Писсуары,https://entero.ru/item/219134,"<p>Коллективный​ писсуар-желоб <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/219134"">Кобор ПС-220</a> </b>используется в общественных туалетах на предприятиях пищевой промышленности, общественного питания и торговли. Писсуар выполнен из высококачественной нержавеющей стали AISI 304 толщиной 1,2 мм, обладающей антикоррозийными и антивандальными свойствами, что способствует долговременной эксплуатации и защите от каких-либо повреждений.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип установки: настенный</li>
<li>Подвод воды: левый / правый</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",219134,2200 мм,220 мм,530 мм,,,,0,https://entero.ru/manuals/260196/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,54376,,Россия
https://cdn.entero.ru/mp@2x/96/91/9691b5fe78ecab8032622a96ba0a1ba8.jpg;https://cdn.entero.ru/mp@2x/98/d4/98d477f92b9f76ae134e7e562a3a62f2.jpg;https://cdn.entero.ru/mp@2x/41/5b/415b854f513f53220ad4e551cecbcc08.jpg,Писсуар-желоб коллективный Oceanus 2-003.1 (L) 600х240х545 мм (нерж. сталь) слив слева,2-003.1 (L),135590,RUB,Нет,,Профоборудование,Нейтральное,Писсуары,https://entero.ru/item/346400,"<p>Коллективный​ писсуар-желоб <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346400""><b class=""b"">Oceanus 2-003.1 (L) </b></a>используется в общественных туалетах предприятий общественного питания и торговли, аэропортов, вокзалов, различных учреждений и других мест массового пребывания. Изделие выполнено из высококачественной нержавеющей стали марки AISI 304.</p>

<p>В комплект поставки входят слив сифона и крепления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настенная установка</li>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Сливное отверстие с левой стороны</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Толщина стали: 1,2 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера со сливом справа.</span></em></p>",346400,600 мм,240 мм,545 мм,9.7 кг,1,650x290x590 мм,0,https://entero.ru/manuals/424886/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%202-003.1%20%28L%29.pdf;https://entero.ru/manuals/424904/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,8.3 кг,Россия
https://cdn.entero.ru/mp@2x/05/f1/05f1bf09c79948fff30dd78d732142a9.jpg;https://cdn.entero.ru/mp@2x/d7/77/d7772a3d40e3ffaa8c780c0403e54a89.jpg;https://cdn.entero.ru/mp@2x/a0/48/a0489c0b27d220955a079a62b4ab10db.jpg,Писсуар-желоб коллективный Oceanus 2-004.1 (R) 900х240х545 мм (нерж. сталь) слив справа,2-004.1 (R),149990,RUB,Нет,,Профоборудование,Нейтральное,Писсуары,https://entero.ru/item/346403,"<p>Коллективный​ писсуар-желоб <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346403""><b class=""b"">Oceanus 2-004.1 (R) </b></a>используется в общественных туалетах предприятий общественного питания и торговли, аэропортов, вокзалов, различных учреждений и других мест массового пребывания. Изделие выполнено из высококачественной нержавеющей стали марки AISI 304.</p>

<p>В комплект поставки входят слив сифона и крепления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настенная установка</li>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Сливное отверстие с правой стороны</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Толщина стали: 1,2 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",346403,900 мм,240 мм,545 мм,12 кг,1,950x290x590 мм,0,https://entero.ru/manuals/424889/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%202-004.1%20%28R%29.pdf;https://entero.ru/manuals/424907/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,11 кг,Россия
