Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Борт,Вес (с упаковкой),Линия 700,Линия 900
https://cdn.entero.ru/mp@2x/4a/7b/4a7b02d0563cac64031073005db05992.jpg;https://cdn.entero.ru/mp@2x/81/04/81043aed725b6c4fb32f4e917687a28e.jpg,Поверхность рабочая Abat РПК-40Н,210000000548 21000000548,26512,RUB,Да,Abat,Профоборудование,Нейтральное,Поверхности рабочие,https://entero.ru/item/19041,"<p>Рабочая поверхность <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19041"">Abat РПК-40Н</a> </b>используется в составе тепловой <a href=""https://entero.ru/list/1981/vendor/abat/?"">линии 700</a> для разделывания продуктов питания на предприятиях общественного питания и торговли. Модель оснащена выдвижным ящиком.</p>

<p>Конструкция выполнена из нержавеющей стали, съемная доска - из березы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры доски: 395x635x18 мм</li>
<li>Допустимая нагрузка: 5 кг</li>
</ul>",19041,настольная,400 мм,750 мм,475 мм,,,,16,https://entero.ru/manuals/105586/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%A0%D0%9F%D0%9A-40%D0%9D.pdf;https://entero.ru/manuals/105587/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg,,22 кг,,Россия,Да,,,
https://cdn.entero.ru/mp@2x/d3/98/d398c0bcd441bda3647eda79847e7085.jpg,Стол-вставка Apach APN-47P/PL,Стол-вставка Apach APN-47P/PL,83867,RUB,Да,Apach,Профоборудование,Нейтральное,Поверхности рабочие,https://entero.ru/item/249159,"<p>Стол-вставка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249159"">Apach APN-47P/PL</a></b> используется в составе тепловой <a href=""https://entero.ru/search.php?text=Apach+Линия+700%09+%09%09%09+%09%09%09+%09%09%09+%09%09%09+%09%09%09+%09%09%09"">линии 700</a> на пердприятиях общественного питания и торговли для размещения посуды, кухонного инвентаря и оборудования. Модель оснащена регулируемыми по высоте ножками. Каркас выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 450x800x1140 мм</li>
</ul>",249159,напольная,400 мм,700 мм,850 мм,37.5 кг,1,450x800x1140 мм,10,https://entero.ru/manuals/304941/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Apach%20Cook%20Line.pdf;https://entero.ru/manuals/304942/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach.pdf,,28 кг,,Россия,,,Да,
https://cdn.entero.ru/mp@2x/c8/22/c82230e849afe06f76205b99c6569001.jpg;https://cdn.entero.ru/mp@2x/95/8c/958cdb13e25f09148fcc6b5dfb6f65aa.jpg,Поверхность рабочая Kocateq 4TN,Поверхность рабочая Kocateq 4TN,25300,RUB,Да,Kocateq,Профоборудование,Нейтральное,Поверхности рабочие,https://entero.ru/item/34214,"<p>Рабочая поверхность <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/34214"">Kocateq 4TN</a></b> используется на предприятиях общественного питания и торговли для создания рабочего пространства. Декоративные ручки с накладками выполнены из нержавеющей стали, поверхности, соприкасающиеся с продуктами, - из нержавеющей стали AISI 304 толщиной 1 мм, дно и задняя стенка - из нержавеющей стали AISI 201 толщиной 1 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Предварительно установленные кабели и вилки (есть возможность изменения точки ввода с задней торцевой стенки на дно)</li>
<li>Усиленная рабочая поверхность</li>
<li>Регулируемые ножки</li>
<li>Скругленные углы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 820х420х410 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Стенд для установки 2 элементов <a href=""https://entero.ru/item/34288"">4B12</a></li>
<li>Стенд для установки 3 элементов <a href=""https://entero.ru/item/34291"">4B13</a></li>
<li>Стенд для установки 4 элементов <a href=""https://entero.ru/item/34293"">4B14</a></li>
</ul>",34214,настольная,360 мм,600 мм,250 мм,,,,0,https://entero.ru/manuals/111295/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf,,,,Ю. Корея,,,,
https://cdn.entero.ru/mp@2x/c3/9a/c39ac181407da7503cc58a442ab786d0.jpg,Стол-вставка Tatra TWT.47,линия 700,37239,RUB,Да,Tatra,Профоборудование,Нейтральное,Поверхности рабочие,https://entero.ru/item/176188,"<p>Стол-вставка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/176188""><b class=""b"">Tatra TWT.47</b></a> используется в составе тепиловой <a href=""https://entero.ru/list/1981/vendor/tatra/?"">линии 700</a> на предприятиях общественного питания и торговли для размещения посуды, кухонного инвентаря и оборудования. Каркас выполнен из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Толщина столешницы: 2 мм</li>
<li>Габариты в упаковке: 500x900x600 мм</li>
</ul>",176188,настольная,400 мм,760 мм,380 мм,26 кг,1,500x900x600 мм,0,https://entero.ru/manuals/417864/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Tatra%20TWT.47.pdf;https://entero.ru/manuals/418275/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/417866/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202024-2025.pdf;https://entero.ru/manuals/470874/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,38791,17 кг,,Турция,,,Да,
https://cdn.entero.ru/mp@2x/d5/6e/d56edb09ab7ef3d849d122d32d2105b1.jpg,Стенд MBM MG7NA477,линии 700,65767,RUB,Да,MBM,Профоборудование,Нейтральное,Поверхности рабочие,https://entero.ru/item/54763,"<p>Нейтральный стенд <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/54763""><b class=""b"">MBM MG7NA477</b></a> используется в составе тепиловой <a href=""https://entero.ru/list/1981/vendor/mbm/?"">линии 700</a> на пердприятиях общественного питания и торговли для размещения посуды, кухонного инвентаря и оборудования. Стенд изготовлен из нержавеющей стали AISI 304 толщиной 1 мм.</p>",54763,напольная,400 мм,700 мм,850 мм,,,,0,,68507,,,Россия,,,Да,
https://cdn.entero.ru/mp@2x/1a/38/1a38b69f0994755313ce36008791c020.jpg,Рабочая поверхность Kovinastroj (Kogast) BM-T47/PR,55739 / линия 700,102367,RUB,Да,Kovinastroj (Kogast),Профоборудование,Нейтральное,Поверхности рабочие,https://entero.ru/item/25469,"<p>Рабочая поверхность <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/25469"">Kovinastroj (Kogast) BM-T47/PR</a></b> используется в составе тепловой <a href=""https://entero.ru/list/1981/vendor/kovinastroj/?"">линии 700</a> на пердприятиях общественного питания и торговли для размещения посуды, кухонного инвентаря и оборудования. Корпус выполнен из нержавеющей стали с окончательной обработкой Scotch Brite.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Выдвижный ящик</li>
<li>Закругленные безопасные края и прослойки</li>
<li>Степень влагозащиты: IPX4</li>
<li>Регулируемые по высоте ножки (50 мм) </li>
<li>Простота и скорость монтажа обеспечивается за счет отсутствия винтов при соединении столешницы и опоры</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры в упаковке: 500х800х1100 мм</li>
</ul>",25469,напольная,400 мм,700 мм,900 мм,,,,0,,,30 кг,,Словения,,,Да,
https://cdn.entero.ru/mp@2x/a0/a4/a0a4fdf071205b2d63c52bcab5b65bc7.jpg,Стол-вставка Apach APN-89P/PL,Стол-вставка Apach APN-89P/PL,129096,RUB,Да,Apach,Профоборудование,Нейтральное,Поверхности рабочие,https://entero.ru/item/261169,"<p>Стол-вставка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/261169"">Apach APN-89P/PL</a> </b>используется в составе тепловой <a href=""https://entero.ru/list/1981/vendor/apach/?"">линии 900-й</a> серии в качестве дополнительного места для установки и хранения посуды, кухонного инвентаря и оборудования. Модель оснащена регулируемыми по высоте ножками. Каркас выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 900x990x1100 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",261169,напольная,800 мм,900 мм,850 мм,53 кг,1,900x990x1100 мм,0,https://entero.ru/manuals/322422/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach%20Cook%20Line.pdf,137336,51 кг,,Италия,Да,,,Да
https://cdn.entero.ru/mp@2x/f1/20/f120dbcddc6ce9b6a6bcb52c7f358a66.jpg,Поверхность рабочая Lincat SD6,Поверхность рабочая Lincat SD6,6805,RUB,Да,Lincat,Профоборудование,Нейтральное,Поверхности рабочие,https://entero.ru/item/41838,"<p>Рабочая поверхность <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/41838"">Lincat SD6</a></b> используется в составе тепловой <a href=""https://entero.ru/list/1981/vendor/tecnoinox/?"">линии 700</a> на предприятиях общественного питания в качестве дополнительного места для обработки ингредиентов для приготовления блюд. Модель оснащена дренажем и отбортовкой.</p>

<p> </p>",41838,настольная,600 мм,600 мм,350 мм,,,,0,,,,,,Да,,,
https://cdn.entero.ru/mp@2x/2c/94/2c94392ca38b28d9042c80283f96ef5c.jpg,Рабочая поверхность Fagor EN9-10,линия 900,12012,RUB,Да,Fagor,Профоборудование,Нейтральное,Поверхности рабочие,https://entero.ru/item/18790,"<p>Модель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/18790""><b class=""b"">Fagor ЕN9-10</b></a> используется в составе тепловой <a href=""https://entero.ru/list/1981/vendor/fagor/?"">линии 900</a> на предприятиях общественного питания и торговли для размещения посуды, кухонного инвентаря и оборудования.</p>",18790,настольная,850 мм,900 мм,290 мм,,,,0,,12916,,,Испания,,,,Да
https://cdn.entero.ru/mp@2x/ab/19/ab1997462ab746e5fd0c530cc417b728.jpg;https://cdn.entero.ru/mp@2x/50/24/50246cfc6ef97aeca1b1aa5ccd98da7a.jpg;https://cdn.entero.ru/mp@2x/52/9b/529bcce7a43f40f03cd8938e9f5d18da.jpg,Поверхность рабочая Kocateq 0M0TN,Поверхность рабочая Kocateq 0M0TN,21521,RUB,Да,Kocateq,Профоборудование,Нейтральное,Поверхности рабочие,https://entero.ru/item/34213,"<p>Рабочая поверхность <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/34213"">Kocateq 0M0TN</a></b> используется в составе тепловой <a href=""https://entero.ru/list/1981/vendor/kocateq/?"">линии</a> на предприятиях общественного питания и торговли для создания рабочего пространства. Декоративные ручки с накладками выполнены из нержавеющей стали, поверхности, соприкасающиеся с продуктами, - из нержавеющей стали AISI 304 толщиной 1 мм, дно и задняя стенка - из нержавеющей стали AISI 201 толщиной 1 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Предварительно установленные кабели и вилки (есть возможность изменения точки ввода с задней торцевой стенки на дно)</li>
<li>Усиленная рабочая поверхность</li>
<li>Регулируемые ножки</li>
<li>Скругленные углы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры в упаковке: 420х820х410 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Стенд для установки элемента шириной 360 мм OMITG</li>
<li>Мостовое соединение для установки элемента HALF <a href=""https://entero.ru/item/41378"">0MPSS</a></li>
<li>Мостовое соединение для установки 2 элементов HALF <a href=""https://entero.ru/item/41382"">2MPSS</a></li>
</ul>",34213,настольная,360 мм,650 мм,250 мм,,,,0,https://entero.ru/manuals/111292/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf,,,,Ю. Корея,,,,
