Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Страна-производитель,Конструкция,Материал,Гастроемкости в комплекте,Вместимость гастроемкостей,Тип гастроемкостей
https://cdn.entero.ru/mp@2x/0c/07/0c071daa9a90043a18fca285c4966918.jpg,Подставка KAYMAN RIGA ПГЗО-824/351,Подставка KAYMAN RIGA ПГЗО-824/351,5859,RUB,Да,KAYMAN,Профоборудование,Нейтральное,Подставки под гастроемкости,https://entero.ru/item/180559,"<p>Подставка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/180559"">KAYMAN RIGA ПГЗО-824/351</a></b> предназначена для хранения и удобного размещения гастроемкостей, а также быстрого доступа к ингредиентам, связанными с изготовлением пиццы, шаурмы, хот догов на предприятиях общественного питания и торговли. Изделие выполнено из оцинкованного уголка толщиной 1,5 мм. </p>

<p>В комплект поставки входят гастроемкости GN 1/6 - 6 шт и GN 1/2 - 1шт.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Конструкция на клепках</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 829х356х115 мм</li>
</ul>",180559,824 мм,351 мм,109 мм,0,https://entero.ru/manuals/403491/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,8252,20 кг,Россия,открытая,оцинкованная сталь,Да,7,"GN 1/6, GN 1/2"
https://cdn.entero.ru/mp@2x/c1/44/c1443bc01a776b9762cf3c04c6b82a1b.jpg;https://cdn.entero.ru/mp@2x/c1/54/c15484a111f8358a959cf3b79f95c7f2.jpg,"Подставка для гастроемкостей Osba SCG 6+1 со стеклом, черная",301006 SCG 6+1 BLACK,12632,RUB,Да,,Профоборудование,Нейтральное,Подставки под гастроемкости,https://entero.ru/item/286850,"<p>Подставка для гастроемкостей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/286850""><b class=""b"">Osba SCG 6+1</b></a> предназначена для размещения гастроемкостей на предприятиях общественного питания и торговли. Каркас выполнен из алюминиевого профиля, стенки - из закаленного стекла.</p>

<p>В комплект поставки входят 1 гастроемкость GN 1/2 глубиной 65 мм и 6 гастроемкостей GN 1/6 глубиной 65 мм.</p>",286850,980 мм,340 мм,400 мм,0,,,,Россия,закрытая,алюминий,Да,7,"GN 1/2, GN 1/6"
https://cdn.entero.ru/mp@2x/62/22/6222a7250e7940af7023687ccfc20814.jpg,Подставка KAYMAN RIGA ПГЗО-1000/351,Подставка KAYMAN RIGA ПГЗО-1000/351,6047,RUB,Да,KAYMAN,Профоборудование,Нейтральное,Подставки под гастроемкости,https://entero.ru/item/180553,"<p>Подставка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/180553"">KAYMAN RIGA ПГЗО-1000/351</a></b> предназначена для хранения и удобного размещения гастроемкостей, а также быстрого доступа к ингредиентам, связанными с изготовлением пиццы, шаурмы, хот догов на предприятиях общественного питания и торговли. Изделие выполнено из оцинкованного уголка толщиной 1,5 мм. </p>

<p>В комплект поставки входят гастроемкости GN 1/3 - 4 шт и GN 1/2 - 1шт.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Конструкция на клепках</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 1005х356х115 мм</li>
</ul>",180553,1000 мм,351 мм,109 мм,0,https://entero.ru/manuals/403492/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,25 кг,Россия,открытая,оцинкованная сталь,Да,5,GN 1/3
https://cdn.entero.ru/mp@2x/dc/d1/dcd14eaddfd713e0ec5596e15e91458f.jpg,Подставка для гастроемкостей Osba SC 5+1 без стекла,301003,6870,RUB,Да,,Профоборудование,Нейтральное,Подставки под гастроемкости,https://entero.ru/item/286869,"<p>Подставка для гастроемкостей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/286869""><b class=""b"">Osba 5+1</b></a> предназначена для размещения гастроемкостей на предприятиях общественного питания и торговли. Каркас выполнен из алюминиевого уголка.</p>

<p>В комплект поставки входят 1 гастроемкость GN 1/2 глубиной 65 мм, 3 гастроемкости GN 1/6 глубиной 65 мм и 2 гастроемкости GN 1/4 глубиной 65 мм.</p>",286869,810 мм,340 мм,80 мм,0,,,,Россия,открытая,алюминий,Да,6,"GN 1/2, GN 1/6"
https://cdn.entero.ru/mp@2x/a1/9a/a19a2edb9eb97a1f7a8623b9a47a0626.jpg,Подставка для гастроемкостей Osba SC 4+1 1/4 без стекла,301002,6870,RUB,Да,,Профоборудование,Нейтральное,Подставки под гастроемкости,https://entero.ru/item/286868,"<p>Подставка для гастроемкостей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/286868""><b class=""b"">Osba SC 4+1 1/4</b></a> предназначена для размещения гастроемкостей на предприятиях общественного питания и торговли. Каркас выполнен из алюминиевого уголка.</p>

<p>В комплект поставки входят 1 гастроемкость GN 1/2 и 4 гастроемкости GN 1/4.</p>",286868,980 мм,280 мм,80 мм,0,,,,Россия,открытая,алюминий,Да,5,"GN 1/2, GN 1/4"
https://cdn.entero.ru/mp@2x/ee/5d/ee5df5714a9b6b90e4565bff48135bae.jpg,Подставка для гастроемкостей Osba SCG 6+1 со стеклом,301004,12632,RUB,Да,,Профоборудование,Нейтральное,Подставки под гастроемкости,https://entero.ru/item/286891,"<p>Подставка для гастроемкостей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/286891""><b class=""b"">Osba SCG 6+1</b></a> предназначена для размещения гастроемкостей на предприятиях общественного питания и торговли. Каркас выполнен из алюминиевого профиля, стенки - из закаленного стекла.</p>

<p>В комплект поставки входят 1 гастроемкость GN 1/2 глубиной 65 мм и 6 гастроемкостей GN 1/6 глубиной 65 мм.</p>",286891,830 мм,360 мм,400 мм,0,,13158,,Россия,закрытая,алюминий,Да,7,"GN 1/2, GN 1/6"
https://cdn.entero.ru/mp@2x/0a/91/0a91eb22f34fc2a85208f38a87e06393.jpg,Подставка для гастроемкостей Osba 4+1 1/3 без стекла,OSI014,6870,RUB,Да,,Профоборудование,Нейтральное,Подставки под гастроемкости,https://entero.ru/item/286890,"<p>Подставка для гастроемкостей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/286890""><b class=""b"">Osba 4+1 1/3</b></a> предназначена для размещения гастроемкостей на предприятиях общественного питания и торговли. Каркас выполнен из алюминиевого уголка.</p>

<p>В комплект поставки входят 1 гастроемкость GN 1/2 глубиной 65 мм и 4 гастроемкости GN 1/3 глубиной 65 мм.</p>",286890,810 мм,340 мм,80 мм,0,,,,Россия,открытая,алюминий,Да,5,"GN 1/2, GN 1/3"
https://cdn.entero.ru/mp@2x/58/40/5840d3d50f722f76bc45c615c8700fee.jpg,Подставка для гастроемкостей Osba SC 6+1 без стекла,301001,6870,RUB,Да,,Профоборудование,Нейтральное,Подставки под гастроемкости,https://entero.ru/item/286855,"<p>Подставка для гастроемкостей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/286855""><b class=""b"">Osba SC 6+1</b></a> предназначена для размещения гастроемкостей на предприятиях общественного питания и торговли. Каркас выполнен из алюминиевого уголка.</p>

<p>В комплект поставки входят 1 гастроемкость GN 1/2 глубиной 65 мм и 6 гастроемкостей GN 1/6 глубиной 65 мм.</p>",286855,810 мм,340 мм,80 мм,0,,,,Россия,открытая,алюминий,Да,7,"GN 1/2, GN 1/6"
https://cdn.entero.ru/mp@2x/ec/41/ec411034d2ada06637a753d49ca1fb4f.jpg,Подставка для гастроемкостей Osba SCG 4+1 со стеклом,301005,12632,RUB,Да,,Профоборудование,Нейтральное,Подставки под гастроемкости,https://entero.ru/item/286892,"<p>Подставка для гастроемкостей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/286892""><b class=""b"">Osba SCG 4+1</b></a> предназначена для размещения гастроемкостей на предприятиях общественного питания и торговли. Каркас выполнен из алюминиевого профиля, стенки - из закаленного стекла.</p>

<p>В комплект поставки входят 1 гастроемкость GN 1/2 глубиной 65 мм и 4 гастроемкости GN 1/4 глубиной 65 мм.</p>",286892,1000 мм,300 мм,400 мм,0,,13730,,Россия,закрытая,алюминий,Да,5,"GN 1/2, GN 1/4"
https://cdn.entero.ru/mp@2x/bc/79/bc7953ad986ebb11b3d55e61190457ff.jpg;https://cdn.entero.ru/mp@2x/a3/9b/a39b8e74d0e6c2e46fa15c1e8d84ba56.jpg,"Подставка для гастроемкостей Osba SCG 4+1 со стеклом, черная",301007 SCG 4+1 BLACK,0,RUB,Нет,,Профоборудование,Нейтральное,Подставки под гастроемкости,https://entero.ru/item/286847,"<p>Подставка для гастроемкостей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/286847""><b class=""b"">Osba SCG 4+1</b></a> предназначена для размещения гастроемкостей на предприятиях общественного питания и торговли. Каркас выполнен из алюминиевого профиля, стенки - из закаленного стекла.</p>

<p>В комплект поставки входят 1 гастроемкость GN 1/2 глубиной 65 мм и 4 гастроемкости GN 1/4 глубиной 65 мм.</p>",286847,1000 мм,300 мм,400 мм,0,,,,Россия,закрытая,алюминий,Да,5,"GN 1/2, GN 1/4"
