Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Установка,Борт,Вес (с упаковкой),Разновидность,Размеры раковины (ДхШ),Глубина раковины,Смеситель,Подогрев воды
https://cdn.entero.ru/mp@2x/1a/2d/1a2d1cba13f4b0a1de1e47d7104a8d86.jpg,Рукомойник консольный ATESY ВРК-400,Рукомойник консольный ATESY ВРК-400,7443,RUB,Да,ATESY,Профоборудование,Нейтральное,Рукомойники,https://entero.ru/item/30616,"<p>Консольный рукомойник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30616""><b class=""b"">ATESY</b></a> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30616""><b class=""b"">ВРК-400</b></a> используется на предприятиях общественного питания и торговли для мытья рук персонала. Ванна выполнена из нержавеющей стали AISI 304 толщиной 0,8 мм.</p>

<p>В комплект поставки входят крепеж для стены и сливной сифон с гидрозатвором.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цельнотянутая ванна</li>
<li>Отверстие под смеситель (смеситель в комплект поставки не входит)</li>
<li>Предназначен для крепления на стену</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр сливного отверстия: 48 мм</li>
</ul>

<p> </p>",30616,с подключением к водопроводу,500 мм,400 мм,360 мм,4 кг,1,430x510x170 мм,0,https://entero.ru/manuals/126577/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%92%D0%A0%D0%9A-400.pdf;https://entero.ru/manuals/126578/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B8%D1%81%D1%85%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8%20%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D0%B0.pdf;https://entero.ru/manuals/126579/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%281%29.pdf;https://entero.ru/manuals/126580/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%282%29.pdf;https://entero.ru/manuals/126581/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%283%29.pdf;https://entero.ru/manuals/126582/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/126583/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%BE%D0%B5%D1%87%D0%BD%D1%8B%D1%85%20%D0%B2%D0%B0%D0%BD%D0%BD%20%D0%B8%20%D1%80%D0%B0%D0%BA%D0%BE%D0%B2%D0%B8%D0%BD%20Atesy.pdf;https://entero.ru/manuals/282269/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,,,3 кг,,Россия,настенный,,,,500х400 мм,100 мм,,
https://cdn.entero.ru/mp@2x/1d/e9/1de9403499b1a356f99073dd1fb7c449.jpg,Рукомойник Техно-ТТ ВМ-12/302,ВМ12/302,43364,RUB,Да,Техно-ТТ,Профоборудование,Нейтральное,Рукомойники,https://entero.ru/item/91651,"<p>Рукомойник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/91651"">Техно-ТТ ВМ-12/302</a></b> используется в моечных цехах на предприятиях общественного питания и торговли. Модель оснащена ножным выключателем и изливом. Сварной каркас выполнен из нержавеющей стали AISI 430, цельнотянутая мойка - из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входит сифон.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем ванны: 13,5 л</li>
<li>Объем упаковки: 0,09 м<sup>3</sup></li>
</ul>",91651,,400 мм,300 мм,850 мм,,,,0,https://entero.ru/manuals/79268/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2%20%D0%92%D0%9C-12_302.doc;https://entero.ru/manuals/504997/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,45171,,7.2 кг,,Россия,напольный,Да,,закрытый,355х255 мм,150 мм,,
https://cdn.entero.ru/mp@2x/4d/07/4d079f654209711aba97cbecbbd40afe.jpg,Рукомойник консольный ATESY ВРК-330,Рукомойник консольный ATESY ВРК-330,6506,RUB,Да,ATESY,Профоборудование,Нейтральное,Рукомойники,https://entero.ru/item/98283,"<p>Консольный рукомойник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/98283"">ATESY ВРК-330</a></b> используется на предприятиях общественного питания и торговли для мытья рук персонала. Ванна выполнена из нержавеющей стали AISI 304, каркас - из нержавеющей стали AISI 430.</p>

<p>В комплект поставки входят крепеж для стены​ и сливной сифон с гидрозатвором.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цельнотянутая ванна</li>
<li>Отверстие под смеситель (смеситель в комплект поставки не входит)</li>
<li>Предназначен для крепления на стену</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр сливного отверстия: 48 мм</li>
</ul>",98283,с подключением к водопроводу,332 мм,337 мм,152 мм,3 кг,1,340x340x160 мм,23,https://entero.ru/manuals/126573/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%92%D0%A0%D0%9A-330.pdf;https://entero.ru/manuals/126574/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B8%D1%81%D1%85%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8%20%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D0%B0.pdf;https://entero.ru/manuals/126575/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%281%29.pdf;https://entero.ru/manuals/126576/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%282%29.pdf;https://entero.ru/manuals/282266/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,,,2 кг,Россия,Россия,настенный,,,,325x265 мм,152 мм,,
https://cdn.entero.ru/mp@2x/03/36/03360448a10e1a9ca97cc998f8b0f9b6.jpg,Рукомойник KAYMAN РМН-400/320,Рукомойник KAYMAN РМН-400/320,28890,RUB,Да,KAYMAN,Профоборудование,Нейтральное,Рукомойники,https://entero.ru/item/86320,"<p>Рукомойник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86320"">KAYMAN РМН-400/320</a></b> используется на предприятиях общественного питания и торговли, а также в поездах дальнего следования. Модель оснащена педалью. Каркас выполнен из нержавеющей стали AISI 430, емкость - из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входят излив и сифон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цельнотянутая мойка</li>
<li>Сварной каркас</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Ванна: 1 мм</li>
<li>Корпус: 0,8 мм</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/126400"">Комплект для подключения к холодной воде</a></li>
<li><a href=""https://entero.ru/item/126090"">Комплект для подключения к горячей и холодной воде</a></li>
</ul>",86320,с подключением к водопроводу,400 мм,320 мм,850 мм,7 кг,1,220x420x680 мм,31,https://entero.ru/manuals/402974/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/497220/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20KAYMAN%20%D0%A0%D0%9C%D0%9D-400_320.pdf;https://entero.ru/manuals/497221/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20KAYMAN%20%D0%A0%D0%9C%D0%9D-400_320.pdf,,,7.2 кг,,Россия,напольный,Да,,,400х300 мм,200 мм,,
https://cdn.entero.ru/mp@2x/e6/4b/e64b51cc8d0e42c0b57d16b92a97c28c.jpg,Рукомойник Техно-ТТ ВМ-12/300,ВМ12/300,16743,RUB,Да,Техно-ТТ,Профоборудование,Нейтральное,Рукомойники,https://entero.ru/item/91649,"<p>Рукомойник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/91649"">Техно-ТТ ВМ-12/300</a></b> используется в моечных цехах на предприятиях общественного питания и торговли. Сварной каркас выполнен из нержавеющей стали AISI 430, цельнотянутая мойка - из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входит сифон.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем мойки: 13,5 л</li>
<li>Объем упаковки: 0,03 м<sup>3</sup></li>
</ul>",91649,с подключением к водопроводу,400 мм,320 мм,210 мм,,,,11,https://entero.ru/manuals/412118/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2%20%D0%92%D0%9C-12_300.pdf;https://entero.ru/manuals/513481/%D0%9E%D1%82%D0%BA%D0%B0%D0%B7%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,17812,,3.8 кг,,Россия,настенный,Да,,,355х255 мм,150 мм,,
https://cdn.entero.ru/mp@2x/8f/cb/8fcb73e4033c9606f3abd09d2c11dd46.jpg,Рукомойник VIATTO VA-WB004,Рукомойник VIATTO VA-WB004,13071,RUB,Да,VIATTO,Профоборудование,Нейтральное,Рукомойники,https://entero.ru/item/202428,"<p>Настенный рукомойник<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/202428"">VIATTO VA-WB004</a></b> используется в туалетных комнатах торговых центров, гостиниц, аэропортов, предприятий общественного питания и других местах массового пребывания. Модель оснащена коленной педалью для подачи воды. Цельнотянутая емкость выполнена из высококачественной нержавеющей стали 304, каркас – из нержавеющей стали 201.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 500х450х260 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото раковина со смесителем, который в комплект поставки не входит и приобретается отдельно.</span></em></p>",202428,с подключением к водопроводу,400 мм,400 мм,240 мм,6.75 кг,1,500x450x260 мм,69,https://entero.ru/manuals/463406/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-WB004.pdf;https://entero.ru/manuals/463407/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,13616,,5.8 кг,Италия,Китай,настенный,Да,,,360х360 мм,135 мм,,
https://cdn.entero.ru/mp@2x/5b/c8/5bc89addbada55ab42efc99d7efa50f7.jpg;https://cdn.entero.ru/mp@2x/fe/b9/feb92cf54e39a0a185dc20af82723316.jpg,Рукомойник Техно-ТТ ВМ-12/301,ВМ12/301,34046,RUB,Да,Техно-ТТ,Профоборудование,Нейтральное,Рукомойники,https://entero.ru/item/54898,"<p>Рукомойник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/54898"">Техно-ТТ ВМ-12/301</a></b> используется в моечных цехах на предприятиях общественного питания и торговли. Модель оснащена коленным выключателем и изливом. Сварной каркас выполнен из нержавеющей стали AISI 430, цельнотянутая мойка - из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входит сифон.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем мойки: 13,5 л</li>
<li>Объем упаковки: 0,03 м<sup>3</sup></li>
</ul>",54898,с подключением к водопроводу,400 мм,300 мм,200 мм,,,,0,https://entero.ru/manuals/77890/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2%20%D0%92%D0%9C-12_301.doc;https://entero.ru/manuals/513482/%D0%9E%D1%82%D0%BA%D0%B0%D0%B7%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,,,4.1 кг,,Россия,настенный,Да,,,355х255 мм,150 мм,,
https://cdn.entero.ru/mp@2x/5d/fb/5dfbd0cef73f9ab42212c7f737be5c33.jpg,Рукомойник KAYMAN РМ-400/320,Рукомойник KAYMAN РМ-400/320,13668,RUB,Да,KAYMAN,Профоборудование,Нейтральное,Рукомойники,https://entero.ru/item/89828,"<p>Рукомойник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89828"">KAYMAN РМ-400/320</a></b> используется на предприятиях общественного питания и торговли, а также в поездах дальнего следования. Каркас выполнен из нержавеющей стали AISI 430, емкость - из нержавеющей стали AISI 304.</p>

<p>Излив в комплект поставки не входит и приобретается отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цельнотянутая мойка</li>
<li>Сварной каркас</li>
</ul>",89828,с подключением к водопроводу,400 мм,320 мм,210 мм,4 кг,1,220x330x410 мм,39,https://entero.ru/manuals/402971/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/497226/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20KAYMAN%20%D0%A0%D0%9C-400_320.pdf;https://entero.ru/manuals/497227/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20KAYMAN%20%D0%A0%D0%9C-400_320.pdf,14238,,3.8 кг,Россия,Россия,настенный,Да,,,400x300 мм,200 мм,,
https://cdn.entero.ru/mp@2x/81/da/81da8d4e8301376ca21c129ca196fdc5.jpg,Рукомойник KAYMAN РМК-400/320,К-РМК-400/320,26061,RUB,Да,KAYMAN,Профоборудование,Нейтральное,Рукомойники,https://entero.ru/item/75776,"<p>Рукомойник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/75776"">KAYMAN РМК-400/320</a></b> используется на предприятиях общественного питания и торговли, а также в поездах дальнего следования. Модель оснащена изливом. Каркас выполнен из нержавеющей стали AISI 430, емкость - из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входят излив и коленный выключатель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цельнотянутая мойка</li>
<li>Сварной каркас</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/126402"">Комплект для подключения к холодной воде</a></li>
<li><a href=""https://entero.ru/item/126401"">Комплект для подключения к горячей и холодной воде</a></li>
</ul>",75776,с подключением к водопроводу,400 мм,320 мм,210 мм,4 кг,1,220x330x410 мм,45,https://entero.ru/manuals/402973/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/497222/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20KAYMAN%20%D0%A0%D0%9C%D0%9A-400_320.pdf;https://entero.ru/manuals/497223/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20KAYMAN%20%D0%A0%D0%9C%D0%9A-400_320.pdf,28023,,4.1 кг,,Россия,настенный,Да,,,400х300 мм,200 мм,,
https://cdn.entero.ru/mp@2x/e2/37/e23795b5da9076a172f586c2d5bd93d0.jpg,Рукомойник ATESY ВР-600,Ванна-рукомойник ВР-600/112,9591,RUB,Да,ATESY,Профоборудование,Нейтральное,Рукомойники,https://entero.ru/item/30612,"<p>Рукомойник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30612"">ATESY ВР-600</a></b> используется на предприятиях общественного питания и торговли для мытья рук персонала​. Раковина выполнена из нержавеющей стали AISI 304 толщиной 0,8 мм, каркас - из оцинкованной стали толщиной 1,2 мм, снизу каркас усилен 4 перемычками из оцинкованной стали толщиной 1,2 мм​, ножки - из нержавеющей стали с пластиковой подложкой внизу​.</p>

<p>В комплект поставки входит сливной сифон с гидрозатвором.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цельнотянутая ванна</li>
<li>Борт с пристенной стороны</li>
<li>Отверстие под смеситель</li>
<li>Полка-решетка</li>
<li>Стойки каркаса представляют собой уголок 40х40 мм</li>
<li>Стойки имеют подгиб (фальцовку) кромок для увеличения жесткости конструкции и исключения травмоопасности</li>
<li>Опорные ножки регулируются по высоте в пределах 20 мм для устранения возможных неровностей пола</li>
<li>Пластиковая подложка в нижней части ножек для предотвращения повреждения пола</li>
<li>Разборный каркас</li>
</ul>",30612,,500 мм,600 мм,870 мм,,,,11,https://entero.ru/manuals/126539/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%92%D0%A0-600.pdf;https://entero.ru/manuals/126541/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B8%D1%81%D1%85%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8%20%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D0%B0.pdf;https://entero.ru/manuals/126540/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%281%29.pdf;https://entero.ru/manuals/126542/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%282%29.pdf;https://entero.ru/manuals/126543/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%283%29.pdf,,,12.2 кг,Россия,Россия,напольный,Да,,открытый,,100 мм,,
