Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Конструкция,Длина излива,Высота излива,Длина шланга
https://cdn.entero.ru/mp@2x/0e/26/0e260efed8b978188ae45e9238d8feb7.jpg,Устройство душирующее CanCan CC.MT02,146602,20346,RUB,Да,CanCan,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/65228,"<p>Душирующие устройство <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/65228"">CanCan CC.MT02</a></b> используется для предварительной очистки посуды перед загрузкой её в посудомоечную машину, а также для мытья овощей и фруктов на предприятиях общественного питания. Модель оснащена смесителем для горячей и холодной воды и кронштейном для крепления на стену. Корпус изготовлен из нержавеющей стали, шланг - из EPDM резины, гибкая оплетка - из нержавеющей стали, покрытие - из ПВХ.</p>

<p><b>Особенности:</b></p>

<ul>
<li>В сборке продукции был использован кран букс раковинного типа с дополнительным краном</li>
<li>Давление воды в арматуре зависит от давления труб, к которым подсоединён комплекс для мойки</li>
<li>Сокращает расходы воды и моющих средств</li>
<li>Пружинная система с лакокрасочным покрытием предотвращает перегибы и поломки шланга</li>
<li>Защитные пластиковые элементы на концах пружины обеспечивают дополнительную износостойкость</li>
<li>Специально разработанный фильтр на выходе воды предотвращает перерасход воды, что способствует экономии ресурсов</li>
<li>Ручной душ способен разворачиваться на 360°</li>
<li>Лёгкий монтаж</li>
</ul>",65228,душирующее устройство,150 мм,492 мм,1130 мм,5 кг,1,820x360x80 мм,140,https://entero.ru/manuals/450101/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20CanCan%20CC.MT02.pdf;https://entero.ru/manuals/450102/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20CanCan%20CC.MT02.pdf;https://entero.ru/manuals/450103/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20CanCan%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/486567/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,4.8 кг,,,,двухвентильный,,,
https://cdn.entero.ru/mp@2x/e8/fe/e8fed7d4c57f43c388d095eb7eb95800.jpg,Устройство душирующее Monolith R 0101020111,Устройство душирующее Monolith R 0101020111,21200,RUB,Да,Monolith,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/162228,"<p>Душирующие устройство <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/162228"">Monolith R 0101020111</a></b> предназначено для удобного удаления крупных остатков пищи с кухонной посуды и инвентаря перед загрузкой в посудомоечную машину в моечных цехах на предприятиях общественного питания. Конструкция выполнена из прочных материалов, устойчивых к коррозии.</p>

<p>В комплект поставки входит гусак.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Межосевое расстояние: 150 мм </li>
<li>Размер: 300х1030 мм </li>
</ul>",162228,душирующее устройство,,,1030 мм,,,,0,https://entero.ru/manuals/189150/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Monolith%20R%200101020111.pdf;https://entero.ru/manuals/526879/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,22796,,Италия,Италия,,двухвентильный,,,
https://cdn.entero.ru/mp@2x/71/42/714211897b2f0e003dfdbcba30121deb.jpg,Смеситель Monolith R 0201020203,Смеситель Monolith R 0201020203,8633,RUB,Да,Monolith,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/131287,"<p>Смеситель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/131287"">Monolith R 0201020203</a></b> предназначен для ежедневного использования и подачи воды на кухнях в пекарнях, столовых, кафе, ресторанах и на других предприятиях общественного питания. Модель устанавливается на кухонную мойку, оснащена удлиненной ручкой и длинным изливом. </p>

<p><b>Характеристики:</b></p>

<ul>
<li>Длина гусака: 225 мм</li>
</ul>",131287,смеситель,54 мм,225 мм,240 мм,,,,0,https://entero.ru/manuals/147325/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Monolith%20R%200201020203.jpg;https://entero.ru/manuals/527743/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,Италия,,,однорычажный,215,155 мм,
https://cdn.entero.ru/mp@2x/ea/4b/ea4bf8f4c822c90d006fa3746d193514.jpg,Устройство душирующее CanCan CC.MT04,Устройство душирующее CanCan CC.MT04,21782,RUB,Да,CanCan,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/72505,"<p>Душирующие устройство <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/72505"">CanCan CC.MT04</a></b> предназначено для удобного удаления крупных остатков пищи с кухонной посуды и инвентаря перед загрузкой в посудомоечную машину в моечных цехах на предприятиях общественного питания. Оплетка шланга выполнена из нержавеющей стали AISI 304, внутренняя часть шлага - из каучука EPDM, трубы, кран, арматура и система крепления - из хромированной латуни. Модель легко устанавливается и проста в использовании.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подвод горячей и холодной воды</li>
<li>Кран</li>
<li>Пружинная система с лакокрасочным покрытием предотвращает перегибы и поломки шланга</li>
<li>Защитные пластиковые элементы на концах пружины обеспечивают дополнительную износостойкость</li>
<li>Специально разработанный фильтр на выходе воды предотвращает перерасход воды, что способствует экономии ресурсов</li>
<li>Душ поворачивается на 360°</li>
<li>Крепление на стену с помощью кронштейна</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная температура подключаемой воды: 100 °С</li>
</ul>",72505,душирующее устройство,220 мм,441 мм,1140 мм,6 кг,1,820x360x80 мм,24,,,4.7 кг,,,,,,,
https://cdn.entero.ru/mp@2x/b9/59/b9596b4d84a8e0cf6cf5852b7a2172a7.jpg,Устройство душирующее Airhot PR-350 MT со смесителем и краном,PR-350 MT,18324,RUB,Да,Airhot,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/126171,"<p>Душирующее устройство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126171""><b class=""b"">Airhot PR-350 MT</b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126171""><b class=""b""> </b></a>предназначено для ежедневного использования и подачи воды на кухнях в пекарнях, столовых, кафе, ресторанах и на других предприятиях общественного питания. Модель оснащена смесителем для горячей и холодной воды и кронштейном для крепления на стену. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр отверстия для установки: 30 мм</li>
<li>Габариты: 150x440x1200 мм</li>
<li>Габариты в упаковке: 780x310x68 мм</li>
</ul>",126171,душирующее устройство,150 мм,440 мм,1200 мм,4 кг,1,780x310x68 мм,0,,19494,3.8 кг,,,,,,,
https://cdn.entero.ru/mp@2x/d1/ca/d1cae47e878d4f10bbafd0fe9ed1dff8.jpg,Устройство душирующее Monolith R 0102010206,Устройство душирующее Monolith R 0102010206,21437,RUB,Да,Monolith,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/162215,"<p>Душирующие устройство <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/162215"">Monolith R 0102010206</a></b> предназначено для удобного удаления крупных остатков пищи с кухонной посуды и инвентаря перед загрузкой в посудомоечную машину в моечных цехах на предприятиях общественного питания. Конструкция выполнена из прочных материалов, устойчивых к коррозии.</p>

<p>В комплект поставки входит гусак.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Межосевое расстояние: 150 мм </li>
<li>Размер: 300х1010 мм </li>
</ul>",162215,душирующее устройство,,300 мм,1010 мм,,,,0,https://entero.ru/manuals/402003/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Monolith%20R%200102010206.pdf;https://entero.ru/manuals/526880/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,Италия,Италия,,двухвентильный,,,
https://cdn.entero.ru/mp@2x/dd/f6/ddf6c9766e42f10c3b2bde2dedf7a5db.jpg,Устройство душирующее Monolith R 0102020210,Устройство душирующее Monolith R 0102020210,42378,RUB,Да,Monolith,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/162294,"<p>Душирующие устройство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/162294""><b class=""b"">Monolith R 0102020210</b></a> предназначено для удобного удаления крупных остатков пищи с кухонной посуды и инвентаря перед загрузкой в посудомоечную машину в моечных цехах на предприятиях общественного питания. Модель с креплением к стене оснащена рычажным краном с локтевым управлением, смесителем и компактным изливом, расположенным на уровне ручки. Душ с наконечником черного цвета выполнен из нержавеющей стали с термопластиком, держатель душа - из пластика.</p>

<p>В комплект поставки входит гусак и крепления.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество монтажных отверстий: 2</li>
<li>
<p>Межосевое расстояние: 155 мм</p>
</li>
</ul>",162294,"душирующее устройство, смеситель",,323 мм,1050 мм,,,,0,https://entero.ru/manuals/189166/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Monolith%20R%200102020210.pdf;https://entero.ru/manuals/527786/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,Италия,Италия,,однорычажный,255,225 мм,
https://cdn.entero.ru/mp@2x/de/8f/de8ff3942bb7e8534ab517af6e72b44f.jpg,Смеситель Monolith R 0201020255,Смеситель Monolith R 0201020255,14179,RUB,Да,Monolith,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/161882,"<p>Смеситель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/161882"">Monolith R 0201020255</a></b> предназначен для ежедневного использования и подачи воды на кухнях в пекарнях, столовых, кафе, ресторанах и на других предприятиях общественного питания. Модель устанавливается на кухонную мойку, оснащена удлиненным рычажным краном черного цвета и поворотным изливом.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина рычага: 310 мм</li>
</ul>",161882,смеситель,64 мм,310 мм,340 мм,,,,0,https://entero.ru/manuals/293908/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Monolith%20R%200201020255.jpg;https://entero.ru/manuals/293909/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Monolith%20R%200201020255.png;https://entero.ru/manuals/527764/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,15084,1.19 кг,Италия,Италия,,однорычажный,255,230 мм,
https://cdn.entero.ru/mp@2x/0a/58/0a5864d3b249fab3763971643addb0f0.jpg,Устройство душирующее CanCan CC.MT01,146601,18520,RUB,Да,CanCan,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/64748,"<p>Душирующие устройство <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/64748"">CanCan CC.MT01</a></b> используется для предварительной очистки посуды перед загрузкой её в посудомоечную машину, а также для мытья овощей и фруктов на предприятиях общественного питания. Модель оснащена смесителем для горячей и холодной воды и кронштейном для крепления на стену. Корпус изготовлен из нержавеющей стали, шланг - из EPDM резины, гибкая оплетка - из нержавеющей стали, покрытие - из ПВХ.</p>

<p><b>Особенности:</b></p>

<ul>
<li>В сборке продукции был использован кран букс раковинного типа</li>
<li>Давление воды в арматуре зависит от давления труб, к которым подсоединён комплекс для мойки</li>
<li>Сокращает расходы воды и моющих средств</li>
<li>Пружинная система с лакокрасочным покрытием предотвращает перегибы и поломки шланга</li>
<li>Защитные пластиковые элементы на концах пружины обеспечивают дополнительную износостойкость</li>
<li>Специально разработанный фильтр на выходе воды предотвращает перерасход воды, что способствует экономии ресурсов</li>
<li>Ручной душ способен разворачиваться на 360°</li>
<li>Лёгкий монтаж</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 820x360x80 мм</li>
</ul>",64748,душирующее устройство,150 мм,440 мм,1200 мм,,,,0,https://entero.ru/manuals/504963/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,4.25 кг,,Турция,,двухвентильный,,,
https://cdn.entero.ru/mp@2x/6e/62/6e62d5f9997bdee72d148264cfcbe17a.jpg,Смеситель локтевой Hurakan HKN-FSM01,Смеситель локтевой Hurakan HKN-FSM01,3505,RUB,Да,Hurakan,Профоборудование,Нейтральное,Смесители и душирующие устройства,https://entero.ru/item/302396,"<p>Локтевой смеситель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/302396"">Hurakan HKN-FSM01</a></b> предназначен для ежедневного использования и подачи воды на кухнях в пекарнях, столовых, кафе, ресторанах и на других предприятиях общественного питания. Модель оснащена эргономичной удлиненной ручкой.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина рукоятки: 180 мм</li>
<li>Диаметр основания: 50 мм</li>
<li>Длина гусака: 210 мм</li>
<li>Макс. отверстие для установки: 360 мм</li>
</ul>",302396,смеситель,,,,0.9 кг,1,255x200x50 мм,9,,5007,0.8 кг,,Китай,0.9 кг,однорычажный,,,
