Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Материал столешницы
https://cdn.entero.ru/mp@2x/74/40/7440a118b2d1601198e99bba4da7b5a3.jpg,Колода для рубки мяса Abat КРМ-50,21000801208,42900,RUB,Да,Abat,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/165425,"<p>Колода для рубки мяса <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/165425""><b class=""b"">Abat КРМ-50 </b></a>используется на предприятиях общественного питания и торговли для разделки мяса и рыбы. Модель оснащена регулируемыми по высоте ножками. Cтолешница выполнена из древесины (бук склееный), сварной крашенный каркас - из стали. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Допустимая нагрузка: 120 кг</li>
</ul>",165425,500 мм,500 мм,800 мм,,,,0,https://entero.ru/manuals/191795/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%9A%D0%A0%D0%9C-50.pdf;https://entero.ru/manuals/191794/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9A%D0%A0%D0%9C-50.pdf,45158,33 кг,,Россия,дерево
https://cdn.entero.ru/mp@2x/4a/79/4a791cf6a9f4eb0d2641c6300530e98a.jpg,Колода разрубочная ATESY КР-С-500-514-02-Д,КР-С-500-514-02-Д (КР-500/700),45682,RUB,Да,ATESY,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/130532,"<p>Разрубочная колода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130532"">ATESY КР-С-500-514-02-Д</a></b> используется на предприятиях общественного питания и торговли для заготовки мясной кулинарии: нарезки антрекотов, шницелей и других полуфабрикатов, а также обработки мяса птицы и рыбы. Каркас выполнен из оцинкованной стали, колода - из натурального бука путем склейки калиброванных деревянных брусков.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Склейка калиброванных деревянных брусков предотвращает коробление</li>
<li>Поверхность промаслена растительным маслом для исключения ее рассыхания</li>
<li>Усилена 6 продольными шпильками (по 3 в каждом направлении)</li>
<li>Все кромки каркаса имеют подгиб, что полностью исключает возможность получения травмы персоналом при эксплуатации и санитарной обработке</li>
<li>Не предназначена для разрубки замороженных туш и полутуш</li>
<li>Полностью разборный каркас</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры колоды: 500х500х150 мм</li>
<li>Толщина металла каркаса: 1,2 мм</li>
<li>Размер профиля ножек: 40х40 мм</li>
</ul>",130532,514 мм,514 мм,700 мм,29 кг,1,182x583x103 мм,0,https://entero.ru/manuals/282260/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,49654,23 кг,,Россия,дерево
https://cdn.entero.ru/mp@2x/be/a5/bea59a427841966f78b3f1ae865a5f99.jpg;https://cdn.entero.ru/mp@2x/a3/dc/a3dc5f734d1a8c10228eb55e6d4c1e91.jpg,"Колода разрубочная Luxstahl 300-600х120-170 мм настольная, дуб, без подставки","Колода разрубочная Luxstahl 300-600х120-170 мм настольная, дуб, без подставки",2153,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/273673,"<p>Разрубочная колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/273673""><b class=""b"">Luxstahl 300-600х120-170 мм</b></a> используется на предприятиях общественного питания и торговли для заготовки мясной кулинарии: нарезки антрекотов, шницелей и других полуфабрикатов, а также обработки мяса птицы и рыбы. Изделие выполнено из древесины твердой породы дуба.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр: 300-600 мм</li>
</ul>",273673,от 300 до 600 мм,,от 120 до 170 мм,,,,0,https://entero.ru/manuals/507310/%D0%9E%D1%82%D0%BA%D0%B0%D0%B7%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,,,,Россия,дерево
https://cdn.entero.ru/mp@2x/e2/f4/e2f4d00c618d6137f853db8dcd35a1f4.jpg,Колода разрубочная ATESY КРН-400,Колода настольная КРН-400,19113,RUB,Да,ATESY,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/30880,"<p>Разрубочная колода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30880"">ATESY КРН-400</a></b> используется на предприятиях общественного питания и торговли для заготовки мясной кулинарии: нарезки антрекотов, шницелей и других полуфабрикатов, а также обработки мяса птицы и рыбы. Изделие выполнено из натурального бука путем склейки калиброванных деревянных брусков.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Склейка калиброванных деревянных брусков предотвращает коробление колоды</li>
<li>Поверхность колоды промаслена растительным маслом для исключения ее рассыхания</li>
<li>Предназначена для настольной установки</li>
</ul>",30880,400 мм,400 мм,100 мм,9 кг,1,400x400x100 мм,0,https://entero.ru/manuals/126428/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B8%D1%81%D1%85%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8%20%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D0%B0.pdf;https://entero.ru/manuals/126429/%D0%A1%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B0%20%D0%BE%20%D1%81%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D0%B8.pdf;https://entero.ru/manuals/282252/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,,8 кг,,Россия,дерево
https://cdn.entero.ru/mp@2x/38/cb/38cbc35b4abbc510ec20dae013e587fb.jpg,"Колода разрубочная Luxstahl 350-390х450-500 мм+300 мм сварная, подставка, дуб","Колода разрубочная Luxstahl 350-390х450-500 мм+300 мм сварная, подставка, дуб",7140,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/273430,"<p>Разрубочная колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/273430""><b class=""b"">Luxstahl 350-390х450-500 мм + 300 мм</b></a> используется на предприятиях общественного питания и торговли для заготовки мясной кулинарии: нарезки антрекотов, шницелей и других полуфабрикатов, а также обработки мяса птицы и рыбы. Изделие выполнено из древесины твердой породы дуба.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Боковая поверхность колоды цилиндрована и пропитана пищевым парафином</li>
<li>Колода разрубочная имеет естественную влажность (30-60%), поэтому допускаются трещины различной длины (ширины не более 3-4 мм)</li>
</ul>

<p><b>Условия хранения и эксплуатации:</b></p>

<ul>
<li>Хранить (без использования) в прохладном темном месте не более 1 месяца</li>
<li>При эксплуатации колоду следует ежедневно обливать холодной водой и посыпать рабочую поверхность солью</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр: 350-390 мм</li>
<li>Высота без подставки: 450-500 мм</li>
<li>Высота подставки: 300 мм</li>
</ul>",273430,от 350 до 390 мм,,800 мм,,,,0,https://entero.ru/manuals/517903/%D0%9E%D1%82%D0%BA%D0%B0%D0%B7%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,8602,,,Россия,дерево
https://cdn.entero.ru/mp@2x/8c/ed/8cedeefbbf9898aad5683b09932d0ea0.jpg,Стол-колода ITERMA СП-240/500/500 Ш430,430 СП 240-500/500 85722,42538,RUB,Да,ITERMA,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/103389,"<p>Стол-колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/103389""><b class=""b"">ITERMA СП-240/500/500</b></a> используется на предприятиях общественного питания и торговли для удобства при нарубке большого количества мяса. Модель оснащена ножками, регулирующимися по высоте. Каркас выполнен из квадратной трубы 40х40 мм из нержавеющей стали AISI 430, столешница - из полипропилена.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Толщина столешницы: 60 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",103389,500 мм,500 мм,850 мм,,,,0,,,19 кг,,Россия,полипропилен
https://cdn.entero.ru/mp@2x/05/0a/050a3d2929c64ab974bf9076e8fb87b9.jpg,"Колода разрубочная Luxstahl 300-600х250-300 мм дуб, без подставки","Колода разрубочная Luxstahl 300-600х250-300 мм дуб, без подставки",4159,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/273431,"<p>Разрубочная колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/273431""><b class=""b"">Luxstahl 300-600х250-300 мм</b></a> используется на предприятиях общественного питания и торговли для заготовки мясной кулинарии: нарезки антрекотов, шницелей и других полуфабрикатов, а также обработки мяса птицы и рыбы. Изделие выполнено из древесины твердой породы дуба.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр: 300-600 мм</li>
</ul>",273431,от 300 до 600 мм,,от 250 до 300 мм,,,,0,,,,,Россия,дерево
https://cdn.entero.ru/mp@2x/e5/30/e530587c7f2fd16728e53c944bbb741c.jpg,Стол-колода ПищТех 600х500х850 бук,Стол-колода ПищТех 600х500х850 бук,26575,RUB,Да,ПищТех,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/315128,"<p>Стол-колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315128""><b class=""b"">ПищТех 600х500х850</b></a> используется на предприятиях общественного питания и торговли для удобства при нарубке большого количества мяса. Модель оснащена регулируемыми по высоте ножками. Каркас выполнен из квадратной трубы 40х40 мм из нержавеющей стали AISI 304, столешница - из бука.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина столешницы: 50 мм</li>
<li>Толщина металла: 1,2 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",315128,600 мм,500 мм,850 мм,,,,0,https://entero.ru/manuals/378903/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20600%D1%85500%D1%85850.pdf;https://entero.ru/manuals/424742/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,27974,22.5 кг,,Россия,дерево
https://cdn.entero.ru/mp@2x/cb/88/cb88d0e231f9bdd06a531bbaf3b251de.jpg,Стол-колода ITERMA СП-240/500/500,СП 240-500/500 / 72077,47362,RUB,Да,ITERMA,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/33177,"<p>Стол-колода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33177"">ITERMA СП-240/500/500</a></b> используется на предприятиях общественного питания и торговли для удобства при нарубке большого количества мяса. Модель оснащена ножками, регулирующимися по высоте. Каркас выполнен из квадратной трубы 40х40 мм из нержавеющей стали AISI 304, столешница - из полипропилена.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Толщина столешницы: 60 мм</li>
</ul>",33177,500 мм,500 мм,850 мм,,,,0,,,19 кг,,Россия,полипропилен
https://cdn.entero.ru/mp@2x/be/90/be90b0a21bc8fd53ea8c5228ea24eb74.jpg,Колода разрубочная MGprof 70536 450 мм красная,Колода разрубочная MGprof 70536 450 мм красная,3879,RUB,Да,,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/329778,"<p>Настольная разрубочная колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/329778""><b class=""b"">MGprof 70536 </b></a>используется на предприятиях общественного питания и торговли для заготовки мясной кулинарии: нарезки антрекотов, шницелей и других полуфабрикатов, а также обработки мяса птицы и рыбы. Изделие выполнено из высококачественного полипропилена.</p>",329778,450 мм,450 мм,50 мм,,,,0,,5463,,,,полипропилен
