Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Количество уровней
https://cdn.entero.ru/mp@2x/f8/a1/f8a1569c995f4e26cfb3a3d0c1482196.jpg,Тележка сервировочная Abat ТС-80,21000801027,33990,RUB,Да,Abat,Профоборудование,Нейтральное,Тележки для сервировки и сбора посуды,https://entero.ru/item/84305,"<p>Сервировочная тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84305"">Abat ТС-80</a></b> предназначена для транспортировки столовых приборов, тарелок с готовыми блюдами, грязной посуды и на предприятиях общественного питания и торговли. Модель оснащена 2 фиксированными и 2 поворотными колесами.</p>

<p>Конструкция выполнена из высококачественной нержавеющей стали</p>

<p><strong>Дополнительные характеристики:</strong></p>

<ul>
<li>Размер полок: 3х 800х500 мм</li>
<li>Допустимая нагрузка: 40 кг</li>
<li>Диаметр колес: 150 мм</li>
</ul>

<p> </p>",84305,сервировочная,963 мм,528 мм,976 мм,,,,0,https://entero.ru/manuals/413762/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A2%D0%A1-80.pdf;https://entero.ru/manuals/413766/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5.pdf;https://entero.ru/manuals/510927/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,19 кг,,,3
https://cdn.entero.ru/mp@2x/16/d1/16d1921e9a6b6368b191a140ccc98b4a.jpg,Тележка сервировочная VIATTO PST03A,Тележка сервировочная VIATTO PST03A,11046,RUB,Да,VIATTO,Профоборудование,Нейтральное,Тележки для сервировки и сбора посуды,https://entero.ru/item/203958,"<p>Сервировочная тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/203958"">VIATTO PST03A</a></b> используется на предприятиях общественного питания для перемещения готовых блюд, напитков и посуды в зал приема пищи, а также для подачи грязной посуды из зала в моечное отделение. Модель оснащена 3 полками. Изделие выполнено из пластика.</p>

<p><b>Допоxлнительные характеристики:</b></p>

<ul>
<li>Размер полок: 790х495 мм</li>
<li>Расстояние между полками: 310 мм</li>
<li>Стандартная нагрузка на полку: 20 кг</li>
<li>Максимальная нагрузка на полку: 50 кг</li>
<li>Цвет: серый</li>
<li>
<p>Габариты в упаковке: 910х550х240 мм</p>
</li>
</ul>

<p><br>
<span style=""color:#FF0000;"">Внимание! Изображение на фото приведено в ознакомительных целях и может отличаться от оригинала.</span></p>",203958,сервировочная,1050 мм,500 мм,960 мм,12 кг,1,910x550x240 мм,11,https://entero.ru/manuals/361115/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20PST03A.pdf;https://entero.ru/manuals/361117/%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,12007,,11 кг,,Китай,3
https://cdn.entero.ru/mp@2x/86/5e/865e3ca86f8f5c3ca1682fb628213e4e.jpg;https://cdn.entero.ru/mp@2x/bd/a6/bda6073adeed79899bf3e76ec38c3db8.jpg,Тележка сервировочная VIATTO RST3B,Тележка сервировочная VIATTO RST3B,10104,RUB,Да,VIATTO,Профоборудование,Нейтральное,Тележки для сервировки и сбора посуды,https://entero.ru/item/192706,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/192706"">VIATTO RST3B</a></b> используется на предприятиях общественного питания для перемещения готовых блюд, напитков и посуды в зал приема пищи, а также для подачи грязной посуды из зала в моечное отделение.. Модель оснащена 2 вместительными полками и 4 поворотными колесами, 2 из которых снабжены стопорами. Каркас выполнен из круглой трубы нержавеющей стали.</p>

<p><b>Допоxлнительные характеристики:</b></p>

<ul>
<li>Размер полок: 785x410 мм</li>
<li>Расстояние между полками: 265 мм</li>
</ul>",192706,сервировочная,810 мм,460 мм,850 мм,13.5 кг,1,810x480x170 мм,79,https://entero.ru/manuals/360407/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/360408/%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BE%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,,,12.5 кг,,Китай,3
https://cdn.entero.ru/mp@2x/7d/b5/7db5aaed600f965934c43d4d1c847b5f.jpg,Тележка для посуды Hurakan HKN-TS3,Тележка для посуды Hurakan HKN-TS3,9191,RUB,Да,Hurakan,Профоборудование,Нейтральное,Тележки для сервировки и сбора посуды,https://entero.ru/item/228321,"<p>Тележка для посуды <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/228321"">Hurakan HKN-TS3</a> </b>предназначена для сервировки обеденных залов, а также для сбора и перевозки грязной посуды на предприятиях общественного питания и торговли. Модель оснащена 3 полками и 4 поворотными колесами. Каркас выполнен из нержавеющей трубы 25,4х25,4 мм.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расстояние между уровнями: 240 мм</li>
<li>
<p>Максимальная нагрузка на полку: 45 кг</p>
</li>
</ul>",228321,для сбора посуды,850 мм,450 мм,900 мм,,,,25,,,,12.3 кг,,Китай,3
https://cdn.entero.ru/mp@2x/ba/e7/bae70477d09517e7ad16c8eaabc399df.jpg;https://cdn.entero.ru/mp@2x/ba/4e/ba4e4d69aa5dfbc9f98d51a7db9c89c7.jpg,Тележка сервировочная VIATTO RST2B,Тележка сервировочная VIATTO RST2B,8372,RUB,Да,VIATTO,Профоборудование,Нейтральное,Тележки для сервировки и сбора посуды,https://entero.ru/item/192511,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/192511"">VIATTO RST2B</a></b> используется на предприятиях общественного питания для перемещения готовых блюд, напитков и посуды в зал приема пищи, а также для подачи грязной посуды из зала в моечное отделение.. Модель оснащена 2 вместительными полками и 4 поворотными колесами, 2 из которых снабжены стопорами. Каркас выполнен из круглой трубы нержавеющей стали.</p>

<p><b>Допоxлнительные характеристики:</b></p>

<ul>
<li>Размер полок: 785x410 мм</li>
<li>Расстояние между полками: 530 мм</li>
</ul>",192511,сервировочная,810 мм,460 мм,850 мм,12 кг,1,810x480x130 мм,152,https://entero.ru/manuals/360405/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/360406/%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,,,11 кг,,Китай,2
https://cdn.entero.ru/mp@2x/b5/eb/b5eb455a2a05ab0b04f32a023bba11eb.jpg,Тележка сервировочная VIATTO PST03B,Тележка сервировочная VIATTO PST03B,8919,RUB,Да,VIATTO,Профоборудование,Нейтральное,Тележки для сервировки и сбора посуды,https://entero.ru/item/203963,"<p>Сервировочная тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/203963"">VIATTO PST03B</a></b> используется на предприятиях общественного питания для перемещения готовых блюд, напитков и посуды в зал приема пищи, а также для подачи грязной посуды из зала в моечное отделение. Модель оснащена 3 полками. Изделие выполнено из пластика.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полок: 620х410 мм</li>
<li>Расстояние между полками: 310 мм</li>
<li>Габариты в упаковке: 720х460х230 мм</li>
<li>Цвет: серый</li>
</ul>",203963,сервировочная,830 мм,420 мм,960 мм,10 кг,1,720x460x230 мм,71,https://entero.ru/manuals/361118/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20PST03B.pdf;https://entero.ru/manuals/361119/%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,,,9 кг,,Китай,3
https://cdn.entero.ru/mp@2x/81/dd/81dd5d14984b6371e0d94818ba4599b9.jpg,Тележка сервировочная Empero EMP.PSV.03-К,Тележка EMP.PSV.03-К сервировочная,17495,RUB,Да,Empero,Профоборудование,Нейтральное,Тележки для сервировки и сбора посуды,https://entero.ru/item/124547,"<p>Сервировочная тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124547"">Empero EMP.PSV.03-К</a></b> используется на предприятиях общественного питания для перемещения готовых блюд, напитков и посуды в зал приема пищи, а также для подачи грязной посуды из зала в моечное отделение. Модель оснащена 3 вместительными полками, 2 из которых закрыты с 3-х сторон, и 4 поворотными колесами, 2 из которых снабжены тормозными устройствами. Стойки выполнены из алюминия, каркас и полки - из ударопрочного пластика.</p>",124547,сервировочная,960 мм,520 мм,1070 мм,,,,0,https://entero.ru/manuals/133378/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Empero%202019.pdf,,,,,,3
https://cdn.entero.ru/mp@2x/10/a5/10a5b6d5f5d1d0b770962f75300f7fa7.jpg,Тележка сервировочная Техно-ТТ ТП-230,ТП230,33170,RUB,Да,Техно-ТТ,Профоборудование,Нейтральное,Тележки для сервировки и сбора посуды,https://entero.ru/item/80992,"<p>Сервировочная тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/80992"">Техно-ТТ ТП-230</a></b> предназначена для доставки готовых блюд, сбора тарелок, чашек и стаканов со столов на предприятиях общественного питания и торговли. Модель оснащена 3 полками и 4 колесами, 2 из которых с тормозными устройствами. Каркас выполнен из квадратной трубы 20х20 мм из нержавеющей стали AISI 304, полки - из нержавеющей стали AISI 304.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты: 800х500х965 мм</li>
<li>Вес: 15,2 кг</li>
<li>Объем упаковки: 0,37 м<sup>3</sup></li>
</ul>",80992,сервировочная,800 мм,500 мм,965 мм,17.8 кг,1,910x500x180 мм,0,https://entero.ru/manuals/80114/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2%20%D0%A2%D0%9F-230.doc;https://entero.ru/manuals/100996/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2.pdf,35287,,15.8 кг,,,3
https://cdn.entero.ru/mp@2x/ac/d3/acd3db8070b9098ab3a4df201531a443.jpg,Тележка для сбора посуды Hurakan HKN-TCD2,213459,10941,RUB,Да,Hurakan,Профоборудование,Нейтральное,Тележки для сервировки и сбора посуды,https://entero.ru/item/168042,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168042"">Hurakan HKN-TCD2</a> </b>используется на предприятиях общественного питания и торговли для сбора и перевозки грязной посуды. Модель оснащена 2 полками и 4 поворотными колесами, 2 из которых оборудованы тормозами. Изделие выполнено из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 880x465x140 мм</li>
</ul>",168042,для сбора посуды,850 мм,450 мм,900 мм,11.5 кг,1,880x465x140 мм,33,https://entero.ru/manuals/454565/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-TCD2.doc,,,10.4 кг,,Китай,2
https://cdn.entero.ru/mp@2x/45/13/4513535bd022ad53ff52039986103808.jpg,Тележка сервировочная Hurakan HKN-TS2,213457,8487,RUB,Да,Hurakan,Профоборудование,Нейтральное,Тележки для сервировки и сбора посуды,https://entero.ru/item/168039,"<p>Сервировочная тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168039"">Hurakan HKN-TS2</a> </b>используется на предприятиях общественного питания и торговли для сервировки обеденных залов, а также для сбора и перевозки грязной посуды. Модель оснащена 2 полками и 4 поворотными колесами, 2 из которых оборудованы тормозами. Изделие выполнено из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 820x465x130 мм</li>
</ul>",168039,сервировочная,850 мм,450 мм,900 мм,11 кг,1,465x820x130 мм,15,https://entero.ru/manuals/194027/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-TS2.pdf,,,9.4 кг,,,2
