Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,Конструкция,Количество ярусов,Максимальная нагрузка,Количество колес,Платформа
https://cdn.entero.ru/mp@2x/cf/82/cf821275175490cc1c06976db1b80e1d.jpg,Контейнер Rubbermaid FG461600BLA,CUBE TRUCK 0.5 M³,0,RUB,Нет,Rubbermaid,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/93851,"<p>Контейнер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93851"">Rubbermaid FG461600BLA</a> </b>предназначен для хранения и транспортировки различных материалов и продуктов на предприятиях общественного питания и в производственных цехах. Изделие оснащено металлической рамой и 4 расположенными в виде ромба колесами, 2 из которых поворотные. Корпус выполнен из полиэтилена.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объём: 500 л</li>
<li>Габариты в упаковке: 1130x800x940 мм</li>
<li>Цвет: черный</li>
</ul>

<p><b>Опции (заказываются отдельно): </b></p>

<ul>
<li>Двойная крышка</li>
</ul>",93851,платформенная,1111 мм,787 мм,940 мм,,,,0,,,,,,США,"для панелей и профилей, складская, производственная",открытая,,226.8 кг,4,
https://cdn.entero.ru/mp@2x/b6/d9/b6d9383038ad171bd73e22755d26a0e2.jpg,Тележка грузовая Abat ТГ-6-1,21000801234 ТГ- 6-1,25370,RUB,Да,Abat,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/24880,"<p>Грузовая тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/24880"">Abat ТГ-6-1</a></b> предназначена для транспортировки кухонного инвентаря и продуктов питания на предприятиях общественного питания и торговли. Модель оснащена 2 фиксированными и 2 поворотными колесами.</p>

<p>Конструкция выполнена из высококачественной нержавеющей стали</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колес: 150 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",24880,платформенная,1260 мм,600 мм,935 мм,29 кг,1,1010610x610x130 мм,0,https://entero.ru/manuals/108474/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A2%D0%93-6-1.jpg;https://entero.ru/manuals/416310/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A2%D0%93-6-1.pdf,27576,,27 кг,,Россия,"производственная, для продуктов",открытая,,300 кг,4,сплошная
https://cdn.entero.ru/mp@2x/0d/45/0d4548a07a0655c72f0247e5c7dc1f8a.jpg,Тележка грузовая ITERMA ТГ 10/6-300,ТГ 10 6 300 74479,12690,RUB,Да,ITERMA,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/103400,"<p>Грузовая тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/103400"">ITERMA ТГ 10/6-300</a></b> используется на предприятиях общественного питания и торговли для перемещения продуктов, кухонной утвари, посуды и прочих предметов. Модель оснащена 4 поворотными колесами, 2 из которых оборудованы тормозами. Изделие выполнено из углеродистой стали, окрашенной порошковой краской.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колес: 125 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель, выполненная из нержавеющей стали.</span></em></p>",103400,платформенная,1000 мм,600 мм,1000 мм,,,,0,,13500,,26.5 кг,,Россия,"производственная, для продуктов, складская",открытая,1,,4,сплошная
https://cdn.entero.ru/mp@2x/b8/f9/b8f9e6f77d75eeca1b7107ffa638552b.jpg,Тележка грузовая ПищТех ТТ-300,н0000044807,17280,RUB,Да,ПищТех,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/96873,"<p>Грузовая тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/96873""><b class=""b"">Пищевые Технологии ТТ-300 </b></a>предназначена для перемещения крупногабаритных тяжелых предметов и продуктов на предприятиях общественного питания и торговли. Модель оснащена 4 колесиками, одно из которых со стопором. Каркас выполнен из профильной трубы, окрашенной порошковой краской, платформа - из листовой стали, окрашенной порошковой краской.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота платформы (от пола): 235 мм</li>
<li>Размер платформы: 900х630 мм</li>
<li>Размер трубы: 40х40 мм</li>
<li>Толщина стали платформы: 2 мм</li>
<li>Диаметр колес: 160 мм</li>
<li>Габариты в упаковке: 1100х630х880 мм</li>
</ul>",96873,платформенная,1100 мм,630 мм,880 мм,,,,0,https://entero.ru/manuals/424761/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20%D0%A2%D0%A2-300.pdf;https://entero.ru/manuals/424762/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,18189,,28 кг,,Россия,"производственная, складская, для продуктов",открытая,1,300 кг,4,сплошная
https://cdn.entero.ru/mp@2x/aa/b1/aab19b67e083d1e8329acf740a109245.jpg;https://cdn.entero.ru/mp@2x/15/f8/15f897d74c34399f37a9beb474c123cc.jpg,Тележка-чан Русская Броня ПМ-ФТЧ (200 л),"ПМ-ФТЧ, V=200л",32384,RUB,Да,Русская Броня,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/40282,"<p>Тележка-чан <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40282"">Русская Броня ПМ-ФТЧ (200 л)</a></b> предназначена для перевозки мяса, рассола и другого применения. Тележка изготовлена из стали AISI 304.</p>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",40282,,650 мм,650 мм,695 мм,,,,0,,34822,,38 кг,,,производственная,открытая,,,4,
https://cdn.entero.ru/mp@2x/e8/5e/e85e1ae856112b16f60984c2916023ff.jpg,Тележка грузовая ITERMA ТГ 10/6-300 нерж.,ТГ 10 6 300 85572,30178,RUB,Да,ITERMA,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/20983,"<p>Грузовая тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/20983""><b class=""b"">ITERMA ТГ 10/6-300</b></a> используется на предприятиях общественного питания и торговли для перемещения продуктов, кухонной утвари, посуды и прочих предметов. Модель оснащена 4 поворотными колесами, 2 из которых оборудованы тормозами. Изделие выполнено из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колес: 125 мм</li>
</ul>",20983,платформенная,1000 мм,600 мм,1000 мм,,,,0,,31766,,26.5 кг,,Россия,"производственная, складская, для продуктов",открытая,1,300 кг,4,сплошная
https://cdn.entero.ru/mp@2x/74/42/7442834caad4b44c19db338070c631cf.jpg,Тележка Техно-ТТ ТП-110М,ТП110М,37238,RUB,Да,Техно-ТТ,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/34560,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/34560"">Техно-ТТ ТП-110М</a></b> используется на предприятиях общественного питания и торговли для транспортировки различного оборудования и продуктов. Модель со съемной ручкой оснащена 4 поворотными резиновыми колесами. Сварной каркас выполнен из трубы 40х40, покрытого порошковой краской, площадка - из нержавеющей стали AISI 430, обод колесных опор - из чугуна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр ручки: 25 мм</li>
<li>Диаметр колес: 150 мм</li>
<li>Объем упаковки: 0,36 м<sup>3</sup></li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",34560,платформенная,1200 мм,700 мм,950 мм,,,,0,https://entero.ru/manuals/77992/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2%20%D0%A2%D0%9F-110%D0%9C.doc;https://entero.ru/manuals/100984/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2.pdf;https://entero.ru/manuals/513485/%D0%9E%D1%82%D0%BA%D0%B0%D0%B7%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,,,42.8 кг,,Россия,"производственная, для продуктов, складская",открытая,1,300 кг,4,сплошная
https://cdn.entero.ru/mp@2x/54/6a/546a60d4efccfa500919866a3e5a0fe4.jpg;https://cdn.entero.ru/mp@2x/12/a3/12a3507426352a9923ef6c5cbefb614f.jpg;https://cdn.entero.ru/mp@2x/85/10/85106ad59d0e17fbcb2f1176cf815e95.jpg;https://cdn.entero.ru/mp@2x/9e/a2/9ea28dbd721440889a51246573ec7e94.jpg;https://cdn.entero.ru/mp@2x/49/80/4980fc83f65d31b97e43b6a6d9f1a1c0.jpg,Тележка производственная Мастер-инструмент ПТ 150,ТП 150,4909,RUB,Да,,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/251576,"<p>Производственная тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251576""><b class=""b"">Мастер-инструмент ТП 150 </b></a>предназначена для транспортировки крупногабаритных и тяжелых грузов на складах, погрузочно-разгрузочных терминалах, строительных и сельскохозяйственных объектах, предприятиях общественного питания, торговли и других отраслей. Модель оснащена сплошной прямоугольной платформой, складной дугообразной ведущей рукояткой, 4 колесами, включая 2 поворотных. Рукоятка выполнена из профиля металлической трубы круглого сечения с антикоррозийным покрытием краской красного цвета, платформа – из металла с нескользящим синим ковриком на рабочей поверхности, колеса – из пластика с резиновыми шинами на металлических креплениях.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты платформы: 700х450 мм</li>
<li>​Диаметр колес: 125 мм</li>
</ul>",251576,платформенная,740 мм,480 мм,825 мм,,,,0,,,,7.5 кг,Россия,Россия,"производственная, складская",открытая,1,150 кг,4,сплошная
https://cdn.entero.ru/mp@2x/27/84/278415d97338e5f450c073881bb745ed.jpg;https://cdn.entero.ru/mp@2x/fa/05/fa05601f91f883d1ad18a26c130f0095.jpg,Тележка-чан Русская Броня ПМ-ФТЧ (100 л),"ПМ-ФТЧ, V=100л",22220,RUB,Да,Русская Броня,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/40281,"<p>Тележка-чан <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40281"">Русская Броня ПМ-ФТЧ (100 л)</a></b> предназначена для перевозки мяса, рассола и другого применения. Тележка изготовлена из стали AISI 304</p>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",40281,,765 мм,560 мм,618 мм,,,,12,,23638,,20 кг,,Россия,"для продуктов, производственная",открытая,1,,,сплошная
https://cdn.entero.ru/mp@2x/62/4e/624e26ce63e02f07803dcba01364a9f8.jpg,Подставка под котел Luxstahl 114401 с колесами,кт843,8259,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/123921,"<p>Подставка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123921""><b class=""b"">Luxstahl 114401</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для перемещения котлов с продуктами питания и готовыми блюдами. Модель оснащена подвижными колесами. Изделие выполнено из нержавеющей стали.</p>",123921,платформенная,420 мм,420 мм,130 мм,,,,0,https://entero.ru/manuals/270313/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Luxstahl.pdf,,,,,Китай,для продуктов,открытая,,,4,сплошная
