Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Остаток,Старая цена,Родина бренда,Страна-производитель,Количество дверей,Количество полок,Количество ящиков
https://cdn.entero.ru/mp@2x/29/74/2974e49ecdaf8025df8940242fd6ab77.jpg;https://cdn.entero.ru/mp@2x/db/b0/dbb0693935f20956afc1019b686fc120.jpg;https://cdn.entero.ru/mp@2x/7d/e8/7de87ac0d0c2b1f50d89ec54a5d672f2.jpg,Модульная кухня для встраиваемого гриля КАМИК Дельта 1300/3285*700*1800(920),351414,884088,RUB,Да,КАМИК,Профоборудование,Нейтральное,Уличные модульные кухни,https://entero.ru/item/290884,"<p>Модульная кухня <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/290884""><b class=""b"">КАМИК Дельта</b></a> предназначена для приготовления большого ассортимента блюд на гриле на летних площадках предприятий общественного питания и торговли, гостиниц, а также во дворах, беседках или на верандах частных жилых или дачных домов. Модули выполнены из высококачественной нержавеющей стали марки AISI 304.</p>

<p><span style=""color:#FF0000;"">Гриль, раковина, смеситель и вытяжка не входят в комплект поставки и заказываются отдельно.</span></p>

<p><span style=""color:#000000;""><b>Комплектация:</b></span></p>

<ul>
<li><span style=""color:#000000;"">Шкаф пенал 351344</span></li>
<li><span style=""color:#000000;"">Модуль для мусора с держателем для бумажных полотенец 351329</span></li>
<li>Модуль универсальный 351332</li>
<li>Модуль 351331 с 3 ящиками</li>
<li><span style=""color:#000000;"">Модуль 351335 для встраиваемого газового гриля, 2 распашные двери</span></li>
<li><span style=""color:#000000;"">​Модуль 351330 для газового баллона</span></li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Премиум фурнитура с доводчиками</li>
<li>Ручки скрытые зацепом</li>
<li>Быстрые сборка и монтаж </li>
<li>Съемный цоколь на магнитах</li>
<li>Борт</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Прочный каркас для длительной эксплуатации</li>
<li>Возможность расширения зоны кухни с помощью совместимых по глубине и высоте аналогичных модулей</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1 мм</li>
<li>Толщина столешницы: 2 мм</li>
<li>Вварная мойка: 500х500х300 мм</li>
</ul>",290884,модульная кухня,3285 мм,700 мм,920 мм,0,960965,Россия,Россия,6,7,
https://cdn.entero.ru/mp@2x/cf/8e/cf8eb859e8c80c9466828b38f6ccb530.jpg,Тумба универсальная КАМИК BULL БЛ-348652 610*610*890 с распашной дверью,БЛ-348652,88093,RUB,Нет,КАМИК,Профоборудование,Нейтральное,Уличные модульные кухни,https://entero.ru/item/249604,"<p>Универсальная тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249604""><b class=""b"">КАМИК BULL БЛ-348652</b></a> предназначена для установки в составе модульной кухни на летних площадках предприятий общественного питания и торговли, гостиниц, а также во дворах, беседках или на верандах частных жилых или дачных домов. Модель оснащена отделением с распашной дверью для хранения инвентаря и устойчивыми опорами. Изделие выполнено из высококачественной нержавеющей стали марки AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность размещения раковины или конфорки</li>
<li>Регулируемые по высоте опоры для компенсации неровностей поверхности</li>
<li>Быстрые сборка и монтаж </li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Прочный каркас для длительной эксплуатации</li>
<li>Возможность расширения зоны кухни с помощью совместимых по глубине и высоте аналогичных модулей</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1 мм​<b>​</b></li>
</ul>

<p><b>​Опции (заказываются отдельно):</b></p>

<ul>
<li>Столешница</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",249604,тумба универсальная,610 мм,610 мм,890 мм,0,,Россия,Россия,1,,
https://cdn.entero.ru/mp@2x/2d/e7/2de73677a0c6bd5ad95e1c1bd9eb117e.jpg;https://cdn.entero.ru/mp@2x/61/ce/61ce83036066273c16c10d3b41ebc975.jpg;https://cdn.entero.ru/mp@2x/c4/4a/c44a8f9a204799b29c3166e21c09a380.jpg,Модульная кухня для встраиваемого гриля КАМИК Бета 2680*610*890,347398/304,341037,RUB,Нет,КАМИК,Профоборудование,Нейтральное,Уличные модульные кухни,https://entero.ru/item/249585,"<p>Модульная кухня <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249585""><b class=""b"">КАМИК Бета</b></a> предназначена для приготовления большого ассортимента блюд на гриле на летних площадках предприятий общественного питания и торговли, гостиниц, а также во дворах, беседках или на верандах частных жилых или дачных домов. Модули выполнены из высококачественной нержавеющей стали марки AISI 304.</p>

<p><span style=""color:#FF0000;"">Гриль и вытяжка не входят в комплект поставки и заказываются отдельно.</span></p>

<p><span style=""color:#000000;""><b>Комплектация:</b></span></p>

<ul>
<li><span style=""color:#000000;"">Тумба <a href=""https://entero.ru/item/249593"">347057/304</a> с 3 выдвижными ящиками</span></li>
<li><span style=""color:#000000;"">Тумба 347341/304 для встраиваимого гриля, 2 выдвижных ящика и 2 отделения с распашной дверью</span></li>
<li><span style=""color:#000000;"">Тумба <a href=""https://entero.ru/item/249592"">347059/304</a> для хранения газового баллона, распашная дверь и выдвижная полка</span></li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Ящики с роликовыми направляющими</li>
<li>Быстрые сборка и монтаж </li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Глухие цокольные опоры для предотвращения попадания мусора под модули</li>
<li>Прочный каркас для длительной эксплуатации</li>
<li>Возможность расширения зоны кухни с помощью совместимых по глубине и высоте аналогичных модулей</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Гриль</li>
<li>Вытяжка</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель с грилем и вытяжкой.</span></em></p>",249585,модульная кухня,2680 мм,610 мм,890 мм,0,370692,Россия,Россия,3,1,5
https://cdn.entero.ru/mp@2x/ac/4e/ac4e63463afd6f926d30ba4045a4a0df.jpg,Панель декоративная завершающая КАМИК BULL БЛ-348674 610*787*20,БЛ-348674,21254,RUB,Нет,КАМИК,Профоборудование,Нейтральное,Уличные модульные кухни,https://entero.ru/item/249611,"<p>Декоративная панель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249611""><b class=""b"">КАМИК BULL БЛ-348674</b></a> предназначена для установки на крайние тумбы в составе уличной модульной кухни для закрывания сквозных отверстий на стенках. Изделие выполнено из высококачественной нержавеющей стали марки AISI 304.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1 мм</li>
</ul>",249611,,610 мм,787 мм,20 мм,0,22140,Россия,Россия,,,
https://cdn.entero.ru/mp@2x/db/d1/dbd14f50ebe414903d6ab38c7e881612.jpg,Панель декоративная завершающая КАМИК 347062/304 610*787*20,347062/304,22166,RUB,Нет,КАМИК,Профоборудование,Нейтральное,Уличные модульные кухни,https://entero.ru/item/249610,"<p>Декоративная панель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249610""><b class=""b"">КАМИК 347062/304</b></a> предназначена для установки на крайние тумбы в составе уличной модульной кухни для закрывания сквозных отверстий на стенках. Изделие выполнено из высококачественной нержавеющей стали марки AISI 304.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1 мм</li>
</ul>",249610,,610 мм,787 мм,20 мм,0,,Россия,Россия,,,
https://cdn.entero.ru/mp@2x/9f/8d/9f8dafabf01e7517e02f1d1444feff3c.jpg,Панель соединительная КАМИК 347061/304 467*890*1 для перехода на угол 45°,347061/304,22231,RUB,Нет,КАМИК,Профоборудование,Нейтральное,Уличные модульные кухни,https://entero.ru/item/249612,"<p>Панель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249612""><b class=""b"">КАМИК 347061/304</b></a> предназначена для соединения 2 тумб в составе уличной модульной кухни под углом 45°, а также под углом 90° при использовании 2 аналогичных панелей. Изделие выполнено из высококачественной нержавеющей стали марки AISI 304.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1 мм</li>
</ul>",249612,,467 мм,890 мм,1 мм,0,23650,Россия,Россия,,,
https://cdn.entero.ru/mp@2x/81/be/81beb5a75ca5080fd5fd1c8637efa183.jpg,Тумба универсальная КАМИК 347060/304 610*610*890 с распашной дверью,347060/304,66274,RUB,Нет,КАМИК,Профоборудование,Нейтральное,Уличные модульные кухни,https://entero.ru/item/249594,"<p>Универсальная тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249594""><b class=""b"">КАМИК 347060/304</b></a> предназначена для установки в составе модульной кухни на летних площадках предприятий общественного питания и торговли, гостиниц, а также во дворах, беседках или на верандах частных жилых или дачных домов. Модель оснащена отделением с распашной дверью для хранения инвентаря и устойчивыми опорами. Изделие выполнено из высококачественной нержавеющей стали марки AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность размещения раковины или конфорки</li>
<li>Регулируемые по высоте опоры для компенсации неровностей поверхности</li>
<li>Быстрые сборка и монтаж </li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Прочный каркас для длительной эксплуатации</li>
<li>Возможность расширения зоны кухни с помощью совместимых по глубине и высоте аналогичных модулей</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1 мм​<b>​</b></li>
</ul>

<p><b>​Опции (заказываются отдельно):</b></p>

<ul>
<li>Столешница</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",249594,тумба универсальная,610 мм,610 мм,890 мм,0,,Россия,Россия,1,,
https://cdn.entero.ru/mp@2x/da/4e/da4e54adc967ea1a0bd89f57f6d9eb6d.jpg,Тумба универсальная КАМИК 347349/304 610*610*890 с распашной дверью и глухим верхним фасадом,347349/304,74414,RUB,Нет,КАМИК,Профоборудование,Нейтральное,Уличные модульные кухни,https://entero.ru/item/249595,"<p>Универсальная тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249595""><b class=""b"">КАМИК 347349/304</b></a> предназначена для установки в составе модульной кухни на летних площадках предприятий общественного питания и торговли, гостиниц, а также во дворах, беседках или на верандах частных жилых или дачных домов. Модель оснащена отделением с распашной дверью для хранения инвентаря и устойчивыми опорами. Изделие выполнено из высококачественной нержавеющей стали марки AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность размещения раковины или конфорки</li>
<li>Регулируемые по высоте опоры для компенсации неровностей поверхности</li>
<li>Быстрые сборка и монтаж </li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Прочный каркас для длительной эксплуатации</li>
<li>Возможность расширения зоны кухни с помощью совместимых по глубине и высоте аналогичных модулей</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1 мм​<b>​</b></li>
</ul>

<p><b>​Опции (заказываются отдельно):</b></p>

<ul>
<li>Столешница</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",249595,,610 мм,610 мм,890 мм,0,80015,Россия,Россия,1,,
https://cdn.entero.ru/mp@2x/a6/ef/a6efa2249c3c5c2edcb9384ae689c637.jpg,Тумба для хранения баллона с сжиженным газом КАМИК 347059/304 610*610*890,347059/304,75158,RUB,Нет,КАМИК,Профоборудование,Нейтральное,Уличные модульные кухни,https://entero.ru/item/249592,"<p>Тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249592""><b class=""b"">КАМИК 347059/304</b></a> предназначена для установки в составе модульной кухни на летних площадках предприятий общественного питания и торговли, гостиниц, а также во дворах, беседках или на верандах частных жилых или дачных домов. Модель оснащена отделением для хранения баллона с сжиженным газом для обслуживания гриля, распашной дверью, а также устойчивыми опорами. Изделие выполнено из высококачественной нержавеющей стали марки AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Выдвижная полка для удобства замены баллона</li>
<li>Регулируемые по высоте опоры для компенсации неровностей поверхности</li>
<li>Быстрые сборка и монтаж </li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Прочный каркас для длительной эксплуатации</li>
<li>Возможность расширения зоны кухни с помощью совместимых по глубине и высоте аналогичных модулей</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1 мм​<b>​</b></li>
</ul>

<p><b>​Опции (заказываются отдельно):</b></p>

<ul>
<li>Столешница</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",249592,тумба для хранения баллона,610 мм,610 мм,890 мм,0,,Россия,Россия,1,1,
https://cdn.entero.ru/mp@2x/a4/b8/a4b87502d9682df30d191fd23930c2ac.jpg,Тумба для раковины или газовой конфорки КАМИК 347056/304 610*610*890 с 2 выдвижными ящиками,347056/304,80057,RUB,Нет,КАМИК,Профоборудование,Нейтральное,Уличные модульные кухни,https://entero.ru/item/249589,"<p>Тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249589""><b class=""b"">КАМИК 347056/304</b></a> предназначена для установки в составе модульной кухни на летних площадках предприятий общественного питания и торговли, гостиниц, а также во дворах, беседках или на верандах частных жилых или дачных домов. Модель оснащена 2 выдвижными ящиками на роликовых направляющих, верхней глухой фасадной панелью в виде фальш-ящика, а также устойчивыми опорами. Изделие выполнено из высококачественной нержавеющей стали марки AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность размещения раковины или конфорки </li>
<li>Регулируемые по высоте опоры для компенсации неровностей поверхности</li>
<li>Быстрые сборка и монтаж </li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Прочный каркас для длительной эксплуатации</li>
<li>Возможность расширения зоны кухни с помощью совместимых по глубине и высоте аналогичных модулей</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1 мм​<b>​</b></li>
</ul>

<p><b>​Опции (заказываются отдельно):</b></p>

<ul>
<li>Столешница</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",249589,"тумба для конфорки, тумба для раковины",610 мм,610 мм,890 мм,0,84271,Россия,Россия,,,2
