Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Вес (без упаковки),Страна-производитель,Тип монтажа,Раковина
https://cdn.entero.ru/mp@2x/2c/ba/2cbadf28391f834e46e4a316275db1b6.jpg;https://cdn.entero.ru/mp@2x/1e/c8/1ec85bfa479859e2ad2a1b50290604cd.jpg;https://cdn.entero.ru/mp@2x/c3/45/c3451eb40ae28c3b5fde5de8147b4226.jpg;https://cdn.entero.ru/mp@2x/81/5a/815aa750d62f78338e0b5c83a65847e0.jpg;https://cdn.entero.ru/mp@2x/2f/1e/2f1e06313cc89cb80edda526ce8990e6.jpg;https://cdn.entero.ru/mp@2x/49/c5/49c551437f77498139e97a45c69b6bd1.jpg;https://cdn.entero.ru/mp@2x/33/b1/33b110b52e5971ab5924551f1dae2781.jpg,Унитаз антивандальный Oceanus 1-001(S) (нерж. сталь) S-выход,1-001(S),104499,RUB,Да,Профоборудование,Нейтральное,Унитазы антивандальные,https://entero.ru/item/349854,"<p>Напольный унитаз-компакт <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/349854""><b class=""b"">Oceanus 1-001(S)</b></a> используется в санитарных узлах предприятий общественного питания и торговли, вокзалов, автозаправок и других мест массового пользования. Модель оснащена сливным бачком и закрытым нисходящим к основанию кожухом с боковыми отверстиями со съемными панелями для удобства технического обслуживания. Корпус выполнен из высококачественной нержавеющей стали марки AISI 304 серебристого оттенка с матовой поверхностью, сиденье – из белого пластика.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Сиденье с откидной крышкой</li>
<li>Запорная арматура Oceanus</li>
<li>Гибкий шланг подачи воды</li>
<li>4 анкера М10Х60 А2 для крепления к полу</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Тип выхода: S (в пол)</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1,2 / 2 мм</li>
<li>Диаметр выхода: 100 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сиденье <a href=""https://entero.ru/item/349872"">15-006.1</a> (нерж. сталь)</li>
<li>Сиденье детское <a href=""https://entero.ru/item/349873"">15-008.1</a> (пластик)</li>
</ul>",349854,620 мм,370 мм,680 мм,21.8 кг,1,810x420x510 мм,0,https://entero.ru/manuals/432004/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%201-001%28S%29.pdf;https://entero.ru/manuals/432006/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,19.4 кг,Россия,напольный,
https://cdn.entero.ru/mp@2x/5f/11/5f11dc65ab92027bd48b9f09dd98039c.jpg;https://cdn.entero.ru/mp@2x/7e/4a/7e4ac222583e798e527d16e36ec34747.jpg;https://cdn.entero.ru/mp@2x/80/e4/80e435dc616cdc8301f1a093762e4541.jpg;https://cdn.entero.ru/mp@2x/c1/2e/c12e2bfbfb36120650cbfff80a40cd8c.jpg;https://cdn.entero.ru/mp@2x/25/68/2568e0d8a0eba69d249a98b2a84a2298.jpg,Унитаз антивандальный Oceanus 1-003.1 (Р) (нерж. сталь) P-выход,1-003.1 (Р),89890,RUB,Да,Профоборудование,Нейтральное,Унитазы антивандальные,https://entero.ru/item/349859,"<p>Подвесной унитаз <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/349859""><b class=""b"">Oceanus 1-003.1(P)</b></a> используется в санитарных узлах предприятий общественного питания и торговли, вокзалов, автозаправок и других мест массового пользования. Модель оснащена закрытым нисходящим к основанию кожухом с боковыми отверстиями со съемными панелями для удобства технического обслуживания. Корпус выполнен из высококачественной нержавеющей стали марки AISI 304 серебристого оттенка с матовой поверхностью, сиденье – из белого пластика.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Сиденье с откидной крышкой</li>
<li>Манжета</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Тип выхода: P (в стену)</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1,2 / 2 мм</li>
<li>Диаметр выхода: 100 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сиденье <a href=""https://entero.ru/item/349872"">15-006.1</a> (нерж. сталь)</li>
<li>Сиденье детское <a href=""https://entero.ru/item/349873"">15-008.1</a> (пластик)</li>
</ul>",349859,550 мм,355 мм,380 мм,14.4 кг,1,600x410x480 мм,0,https://entero.ru/manuals/432016/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%201-003.1%28%D0%A0%29.pdf;https://entero.ru/manuals/432017/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,12.8 кг,Россия,подвесной,
https://cdn.entero.ru/mp@2x/4e/60/4e6023707a47dd4fc062f4648d6576b9.jpg;https://cdn.entero.ru/mp@2x/79/02/7902bf8ed79e8e8a39c77f5243bf8eb6.jpg;https://cdn.entero.ru/mp@2x/87/f1/87f19bbed5d83b2ff8193c188f7bd344.jpg;https://cdn.entero.ru/mp@2x/eb/71/eb71f37beb17d39588dd4ab67b4ca88a.jpg;https://cdn.entero.ru/mp@2x/b0/77/b077013c31ee465475d381c69130e7a0.jpg;https://cdn.entero.ru/mp@2x/ba/29/ba290d0b17ebbf5729930e4192673f25.jpg,Унитаз антивандальный Oceanus 1-001.2(P) (нерж. сталь) P-выход,1-001.2(P),139990,RUB,Да,Профоборудование,Нейтральное,Унитазы антивандальные,https://entero.ru/item/349855,"<p>Напольный унитаз-компакт <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/349855""><b class=""b"">Oceanus 1-001.2(P)</b></a> используется в санитарных узлах предприятий общественного питания и торговли, вокзалов, автозаправок и других мест массового пользования. Модель оснащена закрытым нисходящим к основанию кожухом с боковыми отверстиями со съемными панелями для удобства технического обслуживания. Корпус выполнен из высококачественной нержавеющей стали марки AISI 304 серебристого оттенка с матовой поверхностью, сиденье – из белого пластика.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Сиденье с откидной крышкой</li>
<li>Запорная арматура Oceanus</li>
<li>Гибкий шланг подачи воды</li>
<li>4 анкера М10Х60 А2 для крепления к полу</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Усиленный сливной бачок</li>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Тип выхода: P (в стену)</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1,5 / 2 мм</li>
<li>Диаметр выхода: 100 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сиденье <a href=""https://entero.ru/item/349872"">15-006.1</a> (нерж. сталь)</li>
<li>Сиденье детское <a href=""https://entero.ru/item/349873"">15-008.1</a> (пластик)</li>
</ul>",349855,620 мм,370 мм,680 мм,21.8 кг,1,810x420x510 мм,0,https://entero.ru/manuals/432008/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%201-001.2%28P%29.pdf;https://entero.ru/manuals/432010/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,19.4 кг,Россия,напольный,
https://cdn.entero.ru/mp@2x/9f/00/9f00aef6dbd78692259ec2328dfb90ce.jpg;https://cdn.entero.ru/mp@2x/ac/58/ac5850d954af6d003a32baefbf786bd0.jpg;https://cdn.entero.ru/mp@2x/ed/81/ed818bdaee532e29ef701794bca0a998.jpg;https://cdn.entero.ru/mp@2x/e2/31/e23146fe91a509434a39f239594bcb7c.jpg;https://cdn.entero.ru/mp@2x/a7/3f/a73f55cc6756eaaeb19593157e13211a.jpg;https://cdn.entero.ru/mp@2x/52/15/5215618720b46284a714133725312815.jpg,Унитаз антивандальный Oceanus 1-002(P) (нерж. сталь) P-выход,1-002(P),89990,RUB,Да,Профоборудование,Нейтральное,Унитазы антивандальные,https://entero.ru/item/349857,"<p>Напольный унитаз <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/349857""><b class=""b"">Oceanus 1-002(P)</b></a> используется в санитарных узлах предприятий общественного питания и торговли, вокзалов, автозаправок и других мест массового пользования. Модель оснащена закрытым нисходящим к основанию кожухом с боковыми отверстиями со съемными панелями для удобства технического обслуживания. Корпус выполнен из высококачественной нержавеющей стали марки AISI 304 серебристого оттенка с матовой поверхностью, сиденье – из белого пластика.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Сиденье с откидной крышкой</li>
<li>Манжета</li>
<li>4 анкера М10Х60 А2 для крепления к полу</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Тип выхода: P (в стену)</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1,2 / 2 мм</li>
<li>Диаметр выхода: 100 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сиденье <a href=""https://entero.ru/item/349872"">15-006.1</a> (нерж. сталь)</li>
<li>Сиденье детское <a href=""https://entero.ru/item/349873"">15-008.1</a> (пластик)</li>
</ul>",349857,620 мм,370 мм,400 мм,16.4 кг,1,670x420x510 мм,0,https://entero.ru/manuals/432013/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%201-002%28P%29.pdf;https://entero.ru/manuals/432015/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,14.3 кг,Россия,напольный,
https://cdn.entero.ru/mp@2x/58/d6/58d67ced390dfb26b4d3229dad7fd476.jpg;https://cdn.entero.ru/mp@2x/d9/b2/d9b2516420b0dacf2df45bc2b504d697.jpg;https://cdn.entero.ru/mp@2x/d9/41/d94109a0f6ebd04b4e720da99897cbdd.jpg;https://cdn.entero.ru/mp@2x/ed/df/eddff4442ced0e4040d31971345dcb31.jpg;https://cdn.entero.ru/mp@2x/38/0a/380a7000123e27934f423f85e59d69a1.jpg,Унитаз антивандальный Oceanus 1-011.1(P) (нерж. сталь) P-выход,1-011.1(P),115890,RUB,Да,Профоборудование,Нейтральное,Унитазы антивандальные,https://entero.ru/item/349866,"<p>Напольный унитаз <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/349866""><b class=""b"">Oceanus 1-011.1(P)</b></a> используется в санитарных узлах предприятий общественного питания и торговли, вокзалов, автозаправок и других мест массового пользования. Модель оснащена закрытым нисходящим к основанию кожухом с боковыми отверстиями со съемными панелями для удобства технического обслуживания. Корпус выполнен из высококачественной нержавеющей стали марки AISI 304 серебристого оттенка с матовой поверхностью, сиденье – из белого пластика.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Сиденье с откидной крышкой</li>
<li>4 анкера М10Х60 А2 для крепления к полу</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Тип выхода: P (в стену)</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1,2 / 2 мм</li>
<li>Диаметр выхода: 100 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сиденье <a href=""https://entero.ru/item/349872"">15-006.1</a> (нерж. сталь)</li>
<li>Сиденье детское <a href=""https://entero.ru/item/349873"">15-008.1</a> (пластик)</li>
</ul>",349866,800 мм,370 мм,740 мм,20.8 кг,1,850x420x510 мм,0,https://entero.ru/manuals/432030/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%201-011.1%28P%29.pdf;https://entero.ru/manuals/432031/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,18 кг,Россия,напольный,
https://cdn.entero.ru/mp@2x/ea/18/ea18295fffb551da2a522a3a111bf3d5.jpg;https://cdn.entero.ru/mp@2x/c2/af/c2af01948d696389aa8e91dd8ce0cd21.jpg;https://cdn.entero.ru/mp@2x/35/e3/35e31a9addf0e4b93b6bf8a3c5c0bf03.jpg;https://cdn.entero.ru/mp@2x/b1/88/b1882176dd4848a6b9fec073c56539dc.jpg;https://cdn.entero.ru/mp@2x/99/48/9948fc5cd12e826bb70798046804a600.jpg;https://cdn.entero.ru/mp@2x/6e/e5/6ee5a8f65ba769a4a5461cae78a20b1a.jpg,Унитаз антивандальный Oceanus 1-001.2(S) (нерж. сталь) S-выход,1-001.2(S),139990,RUB,Да,Профоборудование,Нейтральное,Унитазы антивандальные,https://entero.ru/item/349856,"<p>Напольный унитаз-компакт <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/349856""><b class=""b"">Oceanus 1-001.2(S)</b></a> используется в санитарных узлах предприятий общественного питания и торговли, вокзалов, автозаправок и других мест массового пользования. Модель оснащена закрытым нисходящим к основанию кожухом с боковыми отверстиями со съемными панелями для удобства технического обслуживания. Корпус выполнен из высококачественной нержавеющей стали марки AISI 304 серебристого оттенка с матовой поверхностью, сиденье – из белого пластика.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Сиденье с откидной крышкой</li>
<li>Запорная арматура Oceanus</li>
<li>Гибкий шланг подачи воды</li>
<li>4 анкера М10Х60 А2 для крепления к полу</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Усиленный сливной бачок</li>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Тип выхода: S (в пол)</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1,5 / 2 мм</li>
<li>Диаметр выхода: 100 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сиденье <a href=""https://entero.ru/item/349872"">15-006.1</a> (нерж. сталь)</li>
<li>Сиденье детское <a href=""https://entero.ru/item/349873"">15-008.1</a> (пластик)</li>
</ul>",349856,620 мм,370 мм,680 мм,21.8 кг,1,810x420x510 мм,0,https://entero.ru/manuals/432009/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%201-001.2%28S%29.pdf;https://entero.ru/manuals/432011/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,19.4 кг,Россия,напольный,
https://cdn.entero.ru/mp@2x/63/ae/63ae8e7f4fc2020cce1c2c5e00c76fe3.jpg;https://cdn.entero.ru/mp@2x/59/cb/59cbd0a7cd788bf66f3a33611675ed1f.jpg;https://cdn.entero.ru/mp@2x/6e/35/6e359819ab1db118eb35ad6d61ff60a5.jpg;https://cdn.entero.ru/mp@2x/ff/b3/ffb31e8ed95ef294b94eb0d7feb8f57f.jpg,Унитаз антивандальный Oceanus 1-010.1(S) (нерж. сталь) S-выход,1-010.1(S),157990,RUB,Нет,Профоборудование,Нейтральное,Унитазы антивандальные,https://entero.ru/item/349865,"<p>Напольный унитаз-компакт <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/349865""><b class=""b"">Oceanus 1-010.1(S)</b></a> используется в санитарных узлах предприятий общественного питания и торговли, вокзалов, автозаправок и других мест массового пользования. Модель оснащена сливным бачком и закрытым нисходящим к основанию кожухом с боковыми отверстиями со съемными панелями для удобства технического обслуживания. Корпус выполнен из высококачественной нержавеющей стали марки AISI 304 серебристого оттенка с матовой поверхностью, сиденье – из белого пластика.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Сиденье с откидной крышкой</li>
<li>Запорная арматура Oceanus</li>
<li>Гибкий шланг подачи воды</li>
<li>4 анкера М10Х60 А2 для крепления к полу</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Тип выхода: P (в пол)</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1,2 / 2 мм</li>
<li>Диаметр выхода: 100 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сиденье <a href=""https://entero.ru/item/349872"">15-006.1</a> (нерж. сталь)</li>
<li>Сиденье детское <a href=""https://entero.ru/item/349873"">15-008.1</a> (пластик)</li>
</ul>",349865,800 мм,355 мм,815 мм,27.2 кг,1,990x420x570 мм,0,https://entero.ru/manuals/432025/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%201-010.1%28S%29.pdf;https://entero.ru/manuals/432027/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,24.4 кг,Россия,напольный,
https://cdn.entero.ru/mp@2x/23/b7/23b77727f7ee087c7c4f4de7e935a580.jpg;https://cdn.entero.ru/mp@2x/bb/36/bb3652314bc83797fa35ead684d581b1.jpg;https://cdn.entero.ru/mp@2x/71/da/71daa3cd0861e97f1dbb223975100b73.jpg;https://cdn.entero.ru/mp@2x/3c/d1/3cd15d3a880abd5c9dd73deacfed00cc.jpg;https://cdn.entero.ru/mp@2x/c6/15/c61500d6015ef9032129870d592cb503.jpg;https://cdn.entero.ru/mp@2x/6a/b1/6ab19af45e21a4e1a9d2bbe0b1985fbc.jpg,Унитаз антивандальный Oceanus 4-005.1 (нерж. сталь),4-005.1,33790,RUB,Нет,Профоборудование,Нейтральное,Унитазы антивандальные,https://entero.ru/item/349870,"<p>Напольный унитаз <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/349870""><b class=""b"">Oceanus 4-005.1</b></a> типа чаша Генуя используется в санитарных узлах предприятий общественного питания и торговли, вокзалов, автозаправок и других мест массового пользования. Модель оснащена прямоугольной опорной плоскостью с нескользящими рельефными подставками для ног и заглублением по периметру. Корпус выполнен из высококачественной нержавеющей стали марки AISI 304 серебристого оттенка с матовой поверхностью.</p>

<p>В комплект поставки входит рассекатель воды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1,2 мм</li>
<li>Диаметр выхода: 100 мм</li>
</ul>",349870,700 мм,700 мм,220 мм,6.7 кг,1,720x720x245 мм,0,https://entero.ru/manuals/432036/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%204-005.1.pdf;https://entero.ru/manuals/432037/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,5.8 кг,Россия,напольный,
https://cdn.entero.ru/mp@2x/51/1b/511b14d69d6e03bf23c4f000c32f7a9d.jpg;https://cdn.entero.ru/mp@2x/bb/5a/bb5af8a6e6004435b648d886814df8e4.jpg;https://cdn.entero.ru/mp@2x/93/ae/93ae7ceb6692f26f1ff20abe253264c6.jpg;https://cdn.entero.ru/mp@2x/d2/74/d274ba42025e47e4cb7caabd6a9f9466.jpg,Унитаз антивандальный Oceanus 4-002.1 (нерж. сталь),4-002.1,33990,RUB,Нет,Профоборудование,Нейтральное,Унитазы антивандальные,https://entero.ru/item/349869,"<p>Напольный унитаз <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/349869""><b class=""b"">Oceanus 4-002.1</b></a> типа чаша Генуя используется в санитарных узлах предприятий общественного питания и торговли, вокзалов, автозаправок и других мест массового пользования. Модель оснащена 8-угольной опорной плоскостью с нескользящими рельефными подставками для ног. Корпус выполнен из высококачественной нержавеющей стали марки AISI 304 серебристого оттенка с матовой поверхностью.</p>

<p>В комплект поставки входит манжета.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1,2 мм</li>
<li>Диаметр выхода: 100 мм</li>
</ul>",349869,485 мм,360 мм,210 мм,5.2 кг,1,540x410x270 мм,0,https://entero.ru/manuals/432034/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%204-002.1.pdf;https://entero.ru/manuals/432035/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,4.1 кг,Россия,напольный,
https://cdn.entero.ru/mp@2x/e6/b8/e6b824ea4a2babb2089cefd6a7d21dd2.jpg;https://cdn.entero.ru/mp@2x/48/1b/481b044878211823c3116836dadb6ea6.jpg;https://cdn.entero.ru/mp@2x/c2/75/c2750d33fb0457f15932dad85562f904.jpg;https://cdn.entero.ru/mp@2x/24/e0/24e0cb438b4b48b10e7212b14084c65d.jpg,Унитаз антивандальный Oceanus 4-006.1 (нерж. сталь),4-006.1,35790,RUB,Нет,Профоборудование,Нейтральное,Унитазы антивандальные,https://entero.ru/item/349871,"<p>Напольный унитаз <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/349871""><b class=""b"">Oceanus 4-006.1</b></a> типа чаша Генуя используется в санитарных узлах предприятий общественного питания и торговли, вокзалов, автозаправок и других мест массового пользования. Модель оснащена 7-угольной опорной плоскостью с нескользящими рельефными подставками для ног. Корпус выполнен из высококачественной нержавеющей стали марки AISI 304 серебристого оттенка с матовой поверхностью.</p>

<p>В комплект поставки входит манжета.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Антивандальная конструкция</li>
<li>Соответствие европейским стандартам</li>
<li>Возможность 100% вторичной переработки</li>
<li>Длительный срок эксплуатации</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1,2 мм</li>
<li>Диаметр выхода: 100 мм</li>
</ul>",349871,690 мм,430 мм,292 мм,10.2 кг,1,730x490x350 мм,0,https://entero.ru/manuals/432038/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Oceanus%204-006.1.pdf;https://entero.ru/manuals/432039/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,8.4 кг,Россия,напольный,
