Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Назначение,Количество уровней,Вес (с упаковкой),Расстояние между уровнями,Размер противней / подносов,Для теплового оборудования,Совместимое оборудование,Двойная
https://cdn.entero.ru/mp@2x/73/f8/73f8520b76759968ede7e32b78a0d71e.jpg,Тележка-шпилька для противней Hessen ТШП-12 к,ТШП-12 краш. / см493 / ТШП-12 (э),11008,RUB,Да,Hessen,Профоборудование,Нейтральное,Шкафы для одежды,https://entero.ru/item/94425,"<p>Тележка-шпилька <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94425""><b class=""b"">Hessen ТШП-12 </b></a>используется на предприятиях пищевой промышленности, общественного питания и торговли для транспортировки подносов, противней и гастроемкостей. Модель оснащена тормозами. Изделие произведено с использованием программы Technology without Injuries - комплекса технологических решений, направленных на уменьшение травмоопасности для персонала, работающего на оборудовании. Тележка полностью выполнена из углеродистой стали, покрытой полимерной краской.</p>

<p>У шпильки нет ограничителей, которые придерживают подносы.</p>

<p>Загрузка по стороне листа 600 мм</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колес: 75 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",94425,450 мм,600 мм,1700 мм,,Россия,,,0,https://entero.ru/manuals/344877/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F.pdf,11587,,20 кг,для противней,12,,,600х400 мм,,,
https://cdn.entero.ru/mp@2x/5f/a6/5fa6427fd891eb0624013255ae8224e6.jpg,Тележка-шпилька вкатная Abat ТП-20-1/1 для пароконвектомата ПКА 20,ТП 20-1/1 / 11000008706,57300,RUB,Да,Abat,Профоборудование,Нейтральное,Шкафы для одежды,https://entero.ru/item/24872,"<p>Вкатная тележка-шпилька <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/24872""><b class=""b"">Abat ТП-20-1/1</b></a> предназначена для транспортировки противней и гастроемкостей и размещения тележки внутри рабочей камеры пароконвектомата <a href=""https://entero.ru/search.php?text=Abat+ПКА-20"">ПКА 20</a> на предприятиях общественного питания и торговли. Модель оснащена 4 поворотными колесами.</p>

<p>Конструкция выполнена из высококачественной нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Допустимая нагрузка на противень: 4 кг</li>
</ul>

<p> </p>",24872,470 мм,690 мм,1647 мм,69 кг,Россия,1,970x543x2000 мм,0,https://entero.ru/manuals/108536/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A2%D0%9F-20-1_1.jpg;https://entero.ru/manuals/108534/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A2%D0%9F-20-1_1.doc,,,29 кг,"для гастроемкостей, для противней",20,,,GN 1/1,Да,пароконвектомат,
https://cdn.entero.ru/mp@2x/9d/80/9d80ebba18fd031734aa612e56651ec1.jpg,Тележка-шпилька для гастроемкостей Hessen ТШГ-12 нерж.,ТШГ-12 (нерж.) см429,17877,RUB,Да,Hessen,Профоборудование,Нейтральное,Шкафы для одежды,https://entero.ru/item/83684,"<p>Тележка-шпилька <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83684""><b class=""b"">Hessen ТШГ-12</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для хранения и транспортировки противней, подносов и гастроемкостей. Модель оснащена тормозами. Изделие произведено с использованием программы Technology without Injuries - комплекса технологических решений, направленных на уменьшение травмоопасности для персонала, работающего на оборудовании. Тележка полностью выполнена из пищевой нержавеющей стали.</p>

<p>У шпильки нет ограничителей, которые придерживают подносы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 390х550х410 мм</li>
<li>Объём упаковки: 0,09 м<sup>3</sup></li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",83684,600 мм,390 мм,1700 мм,,Россия,,,0,https://entero.ru/manuals/344824/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,18622,,,для гастроемкостей,12,,,GN 1/1,,,
https://cdn.entero.ru/mp@2x/c9/76/c976b69b7d8f5d1ad96cb81987f30155.jpg,Тележка-шпилька для противней Hessen ТШП-12 нерж.,ТШП-12 (нерж) см423,18030,RUB,Да,Hessen,Профоборудование,Нейтральное,Шкафы для одежды,https://entero.ru/item/78348,"<p>Тележка-шпилька <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/78348""><b class=""b"">Hessen ТШП-12</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для хранения и транспортировки противней, подносов и гастроемкостей. Модель оснащена тормозами. Изделие произведено с использованием программы Technology without Injuries - комплекса технологических решений, направленных на уменьшение травмоопасности для персонала, работающего на оборудовании. Тележка полностью выполнена из пищевой нержавеющей стали.</p>

<p>У шпильки нет ограничителей, которые придерживают подносы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 450х620х470 мм</li>
<li>Объём упаковки: 0,13 м<sup>3</sup></li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",78348,450 мм,600 мм,1700 мм,,Россия,,,0,https://entero.ru/manuals/344814/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,для противней,12,,,600х400 мм,,,
https://cdn.entero.ru/mp@2x/a6/1f/a61f480aaf5fc9c808f868dfe33ee4f3.jpg,Тележка-шпилька для гастроемкостей HICOLD НТШ4Т-1/12 (GN 1/1),НТШ4Т-1/12 (GN-1/1),26216,RUB,Да,HICOLD,Профоборудование,Нейтральное,Шкафы для одежды,https://entero.ru/item/46695,"<p>Тележка-шпилька <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/46695""><b class=""b"">HICOLD НТШ4Т-1/12 (GN-1/1)</b></a> предназначена для хранения гастроемкостей в пекарнях и кондитерских цехах. Данное оборудование из нержавеющей стали AISI 430 оснащено каркасом-трубой, 12 уровнями и 4 прорезиненными колесами с двумя блокаторами, защищающими пол от царапин. Особенностями тележки являются высокая маневренность и идеальное проектирование.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 1740x100x580 мм</li>
</ul>

<p> </p>",46695,530 мм,390 мм,1700 мм,20 кг,Россия,1,580x1740x100 мм,0,https://entero.ru/manuals/75053/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20%D0%9D%D0%A2%D0%A84%D0%A2-1_12%20%28GN%201_1%29.doc,,,14.4 кг,для гастроемкостей,12,,,GN 1/1,,,
https://cdn.entero.ru/mp@2x/9e/99/9e99d131f0990510be6769cc31920eaf.jpg,Тележка-шпилька для гастроемкостей ATESY ТГ-Л-2.14-1.1-02,Тележка для гастроемкостей ТГ-Л-2.14-1.1-02 (ТГ-1),24661,RUB,Да,ATESY,Профоборудование,Нейтральное,Шкафы для одежды,https://entero.ru/item/119143,"<p>Тележка-шпилька <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/119143"">ATESY ТГ-Л-2.14-1.1-02</a></b> серии Люкс используется на предприятиях общественного питания и торговли для складирования, временного хранения, а также транспортировки гастроемкостей от кухонного пространства к линиям раздачи готовых блюд и обратно. Модель оснащена вместительной полкой в верхней части. Рамы выполнены из нержавеющей трубы AISI 304 сечением 25х25 мм и приварены друг к другу посредством перемычек из профильной нержавеющей трубы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Верхняя полка для повышения жесткости конструкции</li>
<li>Направляющие имеют концевые отгибы, обеспечивающие фиксацию гастроемкостей и предотвращающие их выпадение при движении тележки</li>
<li>Кромки направляющих имеют подгиб (фальцовку) для исключения травматизма персонала</li>
<li>4 поворотных колеса, 2 из которых оснащены тормозом</li>
<li>Сварная конструкция</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Макс. нагрузка на тележку: 150 кг</li>
<li>Макс. нагрузка на уровень: 20 кг</li>
<li>Диаметр колес: 75 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Гастроемкости, изображенные на фото, в комплект поставки не входят и приобретаются отдельно.</span></em></p>",119143,750 мм,580 мм,1060 мм,21 кг,Россия,1,815x637x1075 мм,0,https://entero.ru/manuals/132329/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A2%D0%93-%D0%9B-2.14-1.1-02.pdf;https://entero.ru/manuals/281954/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,25959,,18 кг,для гастроемкостей,7,,80 мм,"GN 1/1, GN 1/2",,,Да
https://cdn.entero.ru/mp@2x/d1/d2/d1d258fed07322d8f6fe2cb11ae61f59.jpg,Тележка-шпилька вкатная Abat ТШГ-16-01 для расстоечного шкафа ШРТ‑16 и и ротационных печей РПШ-16-2/1,21000804261,60720,RUB,Да,Abat,Профоборудование,Нейтральное,Шкафы для одежды,https://entero.ru/item/84310,"<p>Вкатная тележка-шпилька <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84310""><b class=""b"">Abat ТШГ-16-01</b></a> предназначена для транспортировки противней и гастроемкостей и размещения тележки внутри рабочей камеры пекарского шкафа <a href=""https://entero.ru/search.php?text=РПШ-16-2%2F1"">РПШ-16-2/1</a> на предприятиях общественного питания и торговли. Модель оснащена 4 термостойкими поворотными колесами.</p>

<p>Конструкция выполнена из высококачественной нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Допустимая нагрузка: 200 кг</li>
<li>Диаметр колес: 100 мм</li>
</ul>",84310,650 мм,587 мм,1605 мм,37 кг,Россия,1,1610x600x690 мм,0,https://entero.ru/manuals/108526/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A2%D0%A8%D0%93-16-01.pdf;https://entero.ru/manuals/108525/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A2%D0%A8%D0%93-16-01.pdf;https://entero.ru/manuals/510933/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,66000,,34 кг,"для гастроемкостей, для противней",16,,82 мм,"600х400 мм, GN 2/1, GN 1/1",Да,"расстоечный шкаф, ротационная печь",
https://cdn.entero.ru/mp@2x/df/06/df06d6582146839a655956b8d51f001f.jpg,Тележка-шпилька для гастроемкостей Hessen ТШГ-12 к,ТШГ-12 (э) / ТШГ-12 краш.,10469,RUB,Да,Hessen,Профоборудование,Нейтральное,Шкафы для одежды,https://entero.ru/item/94437,"<p>Тележка-шпилька <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94437""><b class=""b"">Hessen ТШГ-12</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для хранения и транспортировки противней, подносов и гастроемкостей. Модель оснащена тормозами. Изделие произведено с использованием программы Technology without Injuries - комплекса технологических решений, направленных на уменьшение травмоопасности для персонала, работающего на оборудовании. Тележка полностью выполнена из углеродистой стали, покрытой полимерной краской.</p>

<p>У шпильки нет ограничителей, которые придерживают подносы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колес: 75 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",94437,530 мм,390 мм,1700 мм,,Россия,,,0,,,,,для гастроемкостей,12,,,GN 1/1,,,
https://cdn.entero.ru/mp@2x/f1/bb/f1bb94fd8c8f727dc22d419cc28294a9.jpg,Тележка-шпилька для противней Hurakan HKN-TBP6415,Тележка-шпилька для противней Hurakan HKN-TBP6415,15445,RUB,Да,Hurakan,Профоборудование,Нейтральное,Шкафы для одежды,https://entero.ru/item/210158,"<p>Тележка-шпилька <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210158""><b class=""b"">Hurakan HKN-TBP6415 </b></a>используется на предприятиях общественного питания и торговли для транспортировки и хранения противней. Модель оснащена 4 поворотными колесами, 2 из которых снабжены тормозными устройствами. Тележка не подходит для использования внутри ротационных печей или камер шоковой заморозки. Каркас выполнен из стали 201.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 1610x670x120 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Противни, изображенные на фото, в комплект поставки не входят и приобретаются отдельно.</span></em></p>",210158,470 мм,620 мм,1735 мм,23.5 кг,Китай,1,1610x675x120 мм,0,https://entero.ru/manuals/454566/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-TBP6415.pdf,16089,,21.3 кг,для противней,15,,,600х400 мм,,,
https://cdn.entero.ru/mp@2x/0c/97/0c970e0e1261b44a9429b37b03faaa60.jpg,Тележка-шпилька для противней HICOLD НТШ2Т-1/12,Тележка-шпилька для противней HICOLD НТШ2Т-1/12,26545,RUB,Да,HICOLD,Профоборудование,Нейтральное,Шкафы для одежды,https://entero.ru/item/46692,"<p>Тележка-шпилька <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/46692"">HICOLD НТШ2Т-1/12</a></b> предназначена для хранения листов для выпечки в пекарнях и кондитерских цехах. Данное оборудование из нержавеющей стали AISI 430 оснащено каркасом-трубой, 12 уровнями и 4 прорезиненными колесами с двумя блокаторами, защищающими пол от царапин. Особенностями тележки являются высокая маневренность и идеальное проектирование.</p>

<p> </p>",46692,460 мм,610 мм,1700 мм,,Россия,,,0,https://entero.ru/manuals/75051/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20%D0%9D%D0%A2%D0%A82%D0%A2-1_12.doc,28853,,,для противней,12,,,600х400 мм,,,
