Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,Камбузное оборудование,Количество полок,Материал полок,Конструкция дверей,Максимальная нагрузка на полку,Для хлеба
https://cdn.entero.ru/mp@2x/dd/30/dd302d4c7a578dbcb448adc00d8adfa7.jpg;https://cdn.entero.ru/mp@2x/1b/48/1b4864171238e4e2273f1e047fd12f2d.jpg,Шкаф кухонный Abat ШРХ-6-1 РН,21000007909,86412,RUB,Да,Abat,Профоборудование,Нейтральное,Шкафы кухонные,https://entero.ru/item/47751,"<p>Шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47751"">Abat ШРХ-6-1 РН</a></b> предназначен для краткосрочного хранения хлебобулочных изделий на предприятиях общественного питания. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Конструкция разборная, столешница выполнена из высококачественной нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество устанавливаемых лотков: 7</li>
<li>Размер лотка: 456х740х71 мм</li>
<li>Ширина проема: 760 мм</li>
<li>Допустимая нагрузка на шкаф: 105 кг</li>
</ul>",47751,820 мм,560 мм,1800 мм,105 кг,1,870x600x1860 мм,0,https://entero.ru/manuals/109078/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%A8%D0%A0%D0%A5-6-1%20%D0%A0%D0%9D.jpg;https://entero.ru/manuals/414588/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%A8%D0%A0%D0%A5-6-1%20%D0%A0%D0%9D.pdf;https://entero.ru/manuals/510952/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,90960,,71 кг,,Россия,,,,,распашные,15 кг,Да
https://cdn.entero.ru/mp@2x/2e/7d/2e7d6a85e5e03a067d0cc6f083707dfb.jpg;https://cdn.entero.ru/mp@2x/96/de/96de650acb12972a29d11982d4a55f3e.jpg,Шкаф для хлеба Проммаш ШХХ,Шкаф для хлеба Проммаш ШХХ,41566,RUB,Да,Проммаш,Профоборудование,Нейтральное,Шкафы кухонные,https://entero.ru/item/74155,"<p>Шкаф для хлеба <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/74155"">Проммаш ШХХ</a></b> предназначен для хранения хлеба и хлебобулочных изделий в тарелках на предприятиях общественного питания и торговли. Модель оснащена распашными дверями. Сварной каркас выполнен из металла с покрытием, полки - из крашеного металла.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размеры полки: 615х290 мм</li>
<li>Расстояние между полками: 285 мм</li>
</ul>",74155,660 мм,640 мм,1956 мм,,,,0,,43754,,,,Россия,для хлеба,,,,распашные,10 кг,Да
https://cdn.entero.ru/mp@2x/dc/8a/dc8a7c97564d7bc800eac47596dc7319.jpg,Шкаф для хлеба ATESY ШЗХ-С-1200.600-02-К,Шкаф для хлеба ШЗХ-С-1200.600-02-К (ШЗХ-1200),67219,RUB,Да,ATESY,Профоборудование,Нейтральное,Шкафы кухонные,https://entero.ru/item/124045,"<p>Шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124045"">ATESY ШЗХ-С-1200.600-02-К</a></b> серии Стандарт используется на предприятиях общественного питания и торговли для хранения хлеба и хлебобулочных изделий. Модель оснащена дверями-купе с перфорацией и замком. Корпус выполнен из нержавеющей стали AISI 430, полки - из древесины.</p>

<p><b class=""o"">Полки в комплект поставки не входят и приобретаются отдельно.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Надежная и устойчивая конструкция</li>
<li>Все кромки имеют подгиб, что полностью исключает получение травмы персоналом при эксплуатации и санитарной обработке шкафа</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",124045,1200 мм,600 мм,1730 мм,99 кг,1,653x1210x1879 мм,0,https://entero.ru/manuals/282177/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,,,89 кг,,Россия,для хлеба,,,,купе,,Да
https://cdn.entero.ru/mp@2x/e8/e2/e8e24d2c0a9385f94c9539bb57cff028.jpg;https://cdn.entero.ru/mp@2x/e6/00/e600615cf66fe5527df7bc89d2df56ba.jpg;https://cdn.entero.ru/mp@2x/66/38/663883aa434696c9d2e65072899be1c1.jpg,Шкаф для кухонного инвентаря ITERMA Ши-2-600/500/1800,Шкаф для кухонного инвентаря ITERMA Ши-2-600/500/1800,14759,RUB,Да,ITERMA,Профоборудование,Нейтральное,Шкафы кухонные,https://entero.ru/item/227395,"<p>Шкаф для кухонного инвентаря <a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/227395""><b class=""b"">ITERMA СТП-31/1205</b></a> предназначен для складирования и хранения кухонной утвари, уборочного инвентаря и сменной одежды на предприятиях общественного питания и торговли. Модель оснащена 2 распашными дверями. Каркас выполнен из стали окрашенной порошковой краской.</p>",227395,600 мм,500 мм,1800 мм,,,,0,,,,45 кг,,Россия,для посуды и инвентаря,,,,распашные,,
https://cdn.entero.ru/mp@2x/58/64/5864bebc2e6dd8e84243ddc453a347a0.jpg,Шкаф кухонный Assum ШДК-П-900/600/1800 (нерж. сталь),ШДК-П-900/600/1800,34508,RUB,Да,Assum,Профоборудование,Нейтральное,Шкафы кухонные,https://entero.ru/item/235649,"<p>Шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/235649""><b class=""b"">Assum ШДК-П-900/600/1800</b></a> серии Премиум предназначен для хранения посуды и кухонного инвентаря на предприятиях общественного питания и торговли. Модель оснащена дверями-купе и 5 уровнями для хранения: 4 полки и дно. Корпус и полки выполнены из высококачественной нержавеющей стали AISI 430, каркасные стойки – из углового профиля из нержавеющей стали AISI 430, подпятники опор – из прочного пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Отверстия для вентиляции</li>
<li>Замок</li>
<li>Рояльные петли</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Легкость очистки и дезинфекции</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 0,972 м³</li>
<li>Объем в упаковке: 0,293475 м³</li>
<li>Диапазон регулировки высоты опор: 35 мм</li>
<li>Толщина стали:
<ul>
<li>Корпус, полки и ребра жесткости полок: 0,7 мм</li>
<li>Каркасные стойки: 1,5 мм</li>
</ul>
</li>
<li>Габариты профиля каркаса: 40х40 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",235649,900 мм,600 мм,1800 мм,,,,0,https://entero.ru/manuals/479592/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Assum%20%D0%A8%D0%94%D0%9A-%D0%9F-900_600_1800.pdf;https://entero.ru/manuals/479597/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,57 кг,,Россия,для посуды и инвентаря,,5,нержавеющая сталь,купе,,
https://cdn.entero.ru/mp@2x/89/6e/896e5472f730672bf9af5bb45630d7ef.jpg;https://cdn.entero.ru/mp@2x/13/7c/137cd9ef846a343c2fa2f04b7f344cb0.jpg,Шкаф для хлеба ATESY ШЗХ-С-600.600-02-Р,Шкаф для хлеба ШЗХ-С- 600.600-02-Р,50907,RUB,Да,ATESY,Профоборудование,Нейтральное,Шкафы кухонные,https://entero.ru/item/124039,"<p>Шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124039"">ATESY ШЗХ-С-600.600-02-Р</a></b> серии Стандарт используется на предприятиях общественного питания и торговли для хранения хлеба и хлебобулочных изделий. Модель оснащена распашными дверями с перфорацией и замком. Корпус (кроме дна и задней стенки) выполнен из нержавеющей стали AISI 430, дно и задняя стенка - из оцинкованной стали.</p>

<p><b class=""o"">Полки в комплект поставки не входят и приобретаются отдельно.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Надежная и устойчивая конструкция</li>
<li>Все кромки имеют подгиб, что полностью исключает получение травмы персоналом при эксплуатации и санитарной обработке шкафа</li>
<li>Регулируемые по высоте ножки с пластиковым основанием, которое предотвращет повреждение напольного покрытия</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина металла:
<ul>
<li>Элементы шкафа: 0,8 мм</li>
<li>Дно и задняя стенка: 1,2 мм</li>
</ul>
</li>
<li>Диаметр профиля ножек: 50 мм</li>
</ul>

<p><b>Опции (приобретаются отдельно):</b></p>

<ul>
<li>Комплект из 6 полок​ <a href=""https://entero.ru/item/162324"">ATESY 320310</a></li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",124039,600 мм,600 мм,1730 мм,78 кг,1,653x610x1879 мм,0,https://entero.ru/manuals/282189/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,54156,,59 кг,,Россия,для хлеба,,,,распашные,,Да
https://cdn.entero.ru/mp@2x/cd/da/cdda5c7b0696f17c7fa6172f33e79e15.jpg,Шкаф кухонный Assum ШХ-820/560/1800 (нерж. сталь),ШХ-820/560/1800,33389,RUB,Да,Assum,Профоборудование,Нейтральное,Шкафы кухонные,https://entero.ru/item/235647,"<p>Шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/235647""><b class=""b"">Assum ШХ-820/560/1800</b></a> предназначен для временного хранения хлебобулочных изделий на предприятиях общественного питания и торговли. Модель оснащена 2 распашными дверями и 7 парами направляющих для лотков. Корпус выполнен из высококачественной нержавеющей стали AISI 430, каркасные стойки и направляющие – из углового профиля из нержавеющей стали AISI 430, подпятники опор – из прочного пластика.</p>

<p><span style=""color:#ff0000;"">Лотки в комплект поставки не входят и приобретаются отдельно.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Отверстия для вентиляции</li>
<li>Замок</li>
<li>Рояльные петли</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Легкость очистки и дезинфекции</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 0,82656 м³</li>
<li>Объем в упаковке: 0,424258 м³</li>
<li>Расстояние между уровнями: 200 мм</li>
<li>Диапазон регулировки высоты опор: 35 мм</li>
<li>Толщина стали:
<ul>
<li>Корпус: 0,7 мм</li>
<li>Каркасные стойки и направляющие: 1,5 мм</li>
</ul>
</li>
<li>Габариты профиля каркаса: 40х40 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",235647,820 мм,560 мм,1800 мм,,,,0,https://entero.ru/manuals/479590/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Assum%20%D0%A8%D0%A5-820_560_1800.pdf;https://entero.ru/manuals/479595/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,58 кг,,Россия,для хлеба,,,,распашные,,Да
https://cdn.entero.ru/mp@2x/94/5f/945f7ab06e9f7b913ac1681e6952f5e2.jpg,Шкаф кухонный Assum ШДК-С-900/600/1800 (оцинк. сталь),ШДК-С-900/600/1800,24960,RUB,Да,Assum,Профоборудование,Нейтральное,Шкафы кухонные,https://entero.ru/item/235650,"<p>Шкаф <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/235650""><b class=""b"">Assum ШДК-С-900/600/1800</b></a> серии Стандарт предназначен для хранения посуды и кухонного инвентаря на предприятиях общественного питания и торговли. Модель оснащена дверями-купе и 5 уровнями для хранения: 4 полки и дно. Корпус и полки выполнены из высококачественной оцинкованной стали, каркасные стойки – из углового профиля из оцинкованной стали, подпятники опор – из прочного пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Разборная конструкция</li>
<li>Отверстия для вентиляции</li>
<li>Замок</li>
<li>Рояльные петли</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Легкость очистки и дезинфекции</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 0,972 м³</li>
<li>Объем в упаковке: 0,41 м³</li>
<li>Диапазон регулировки высоты опор: 35 мм</li>
<li>Толщина стали:
<ul>
<li>Корпус, полки и ребра жесткости полок: 0,7 мм</li>
<li>Каркасные стойки: 1,5 мм</li>
</ul>
</li>
<li>Габариты профиля каркаса: 40х40 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",235650,900 мм,600 мм,1800 мм,,,,0,https://entero.ru/manuals/479594/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Assum%20%D0%A8%D0%94%D0%9A-%D0%A1-900_600_1800.pdf;https://entero.ru/manuals/479599/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,57 кг,,Россия,для посуды и инвентаря,,5,оцинкованная сталь,купе,,
https://cdn.entero.ru/mp@2x/9b/59/9b597829bfe4c34db17868b664011d6d.jpg,Шкаф для посуды и инвентаря KAYMAN ШПИ-222/0905,Шкаф для посуды и инвентаря KAYMAN ШПИ-222/0905,40899,RUB,Да,KAYMAN,Профоборудование,Нейтральное,Шкафы кухонные,https://entero.ru/item/183038,"<p>Шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/183038"">KAYMAN ШПИ-222/0905</a> </b>используется в производственных цехах, на предприятиях общественного питания и торговли для хранения кухонной утвари, инвентаря и сухих продуктов. Модель оснащена 3 полками и дверями-купе. Корпус выполнен из легированной нержавеющей стали AISI 430 толщиной 0,8 мм, задняя стенка - из оцинкованной стали толщиной 0,5 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сварная конструкция</li>
<li>Невосприимчивость материала к избыточной влаге и химическим веществам</li>
<li>Соответствует стандартам, предъявляемым к специальной мебели</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Габариты в упаковке: 905x505x160 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера с другим количеством полок.</span></em></p>",183038,900 мм,500 мм,1750 мм,,,,0,https://entero.ru/manuals/403453/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,50 кг,,Россия,,,3,,,,
https://cdn.entero.ru/mp@2x/d9/10/d910d905fb645e3760444b3dd7f76a48.jpg,Шкаф кухонный ATESY ШЗК-С-950.600-02-К,Шкаф ШЗК-С- 950.600-02-К (ШЗК-950),59096,RUB,Да,ATESY,Профоборудование,Нейтральное,Шкафы кухонные,https://entero.ru/item/119399,"<p>Кухонный шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/119399"">ATESY ШЗК-С-950.600-02-К</a></b> серии Стандарт используется на предприятиях общественного питания и торговли для хранения столовой и кухонной посуды и инвентаря, а также продуктов питания, не требующих особых условий хранения. Модель оснащена дверями-купе с замком. Дно и задняя стенка выполнены из оцинкованной стали, остальные детали - из нержавеющей стали AISI 430 толщиной 0,8 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 полки внутри шкафа</li>
<li>Возможность изменения высоты полок с шагом 100 мм</li>
<li>Сборная бескаркасная конструкция</li>
<li>Регулируемые по высоте ножки из нержавеющей стали с пластиковой опорной частью (диапазон регулировки ±20 мм)</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",119399,950 мм,600 мм,1730 мм,84 кг,1,653x960x1774 мм,0,https://entero.ru/manuals/132276/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B8%D1%81%D1%85%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8%20%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D0%B0.pdf;https://entero.ru/manuals/132277/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%281%29.pdf;https://entero.ru/manuals/132278/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%282%29.pdf;https://entero.ru/manuals/282224/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,,,75 кг,,Россия,,,2,нержавеющая сталь,купе,30 кг,
