Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,Объем,Цвет,Морозостойкий
https://cdn.entero.ru/mp@2x/30/01/3001a5f9e15884055f897fb0e1b82124.jpg;https://cdn.entero.ru/mp@2x/ce/cd/cecdf5989fce7b9717f57ea2d0a94606.jpg;https://cdn.entero.ru/mp@2x/b0/04/b00460f206afa3637b53d47a0007af7f.jpg;https://cdn.entero.ru/mp@2x/00/e6/00e62c5b36f501f6ea961ba342e894fd.jpg,"Ящик мясо-молочный Luxstahl 600х400х200 мм сплошной, ПЭНД [м/м 2.1(2)]","Ящик мясо-молочный Luxstahl 600х400х200 мм сплошной, ПЭНД [м/м 2.1(2)]",1219,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Ящики для продуктов,https://entero.ru/item/266331,"<p>Ящик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266331""><b class=""b"">Luxstahl 600х400х200 мм </b></a>предназначен для хранения и перемещения мясных и молочных продуктов на предприятиях общественного питания и торговли. Изделие может эксплуатироваться при температуре окружающей среды от -15 до 70 °C. Ящик выполнен из ПЭНД. </p>

<p>Цвет уточняйте при заказе.</p>

<p>Крышка в комплект поставки не входит и приобретается отдельно.</p>",266331,сплошной,600 мм,400 мм,200 мм,0,,1647,,,Россия,"для молока, для мяса",34 л,черный,
https://cdn.entero.ru/mp@2x/21/67/2167a88161e65e60ba107b00d42f3d5e.jpg,"Ящик для пакетов с молоком Luxstahl 400х300х260 мм сплошной, финпак, ПЭНД","Ящик для пакетов с молоком Luxstahl 400х300х260 мм сплошной, финпак, ПЭНД",801,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Ящики для продуктов,https://entero.ru/item/266327,"<p>Ящик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266327""><b class=""b"">Luxstahl 400х300х260 мм </b></a>предназначен для хранения пакетов молока на предприятиях общественного питания и торговли. Изделие может эксплуатироваться при температуре окружающей среды от -15 до 70 °C. Ящик выполнен из ПЭНД.</p>",266327,сплошной,400 мм,300 мм,260 мм,0,,1097,1.63 кг,,Россия,для хлеба,25 л,черный,
https://cdn.entero.ru/mp@2x/75/fb/75fb9df4fb7b33d03a9ec7fd01f8f30c.jpg,"Ящик для овощей и фруктов Luxstahl 600х400х200 мм перфорированный, ПЭНД [2Д]","Ящик для овощей и фруктов Luxstahl 600х400х200 мм перфорированный, ПЭНД [2Д]",1139,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Ящики для продуктов,https://entero.ru/item/266329,"<p>Ящик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266329""><b class=""b"">Luxstahl 600х400х200 мм </b></a>предназначен для хранения и перемещения овощей и фруктов на предприятиях общественного питания и торговли. Изделие может эксплуатироваться при температуре окружающей среды от -15 до 70 °C. Ящик выполнен из ПЭНД. </p>

<p>Цвет уточняйте при заказе.</p>",266329,перфорированный,600 мм,400 мм,200 мм,0,,1560,1.6 кг,,Россия,для овощей и фруктов,30 л,черный,
https://cdn.entero.ru/mp@2x/e8/d1/e8d1083c0d05bcb14d1479afe33ded3c.jpg,Ящик для бутылок ТАРА.РУ 419 420х340х270 мм черный,Ящик для бутылок ТАРА.РУ 419 420х340х270 мм черный,809,RUB,Да,,Профоборудование,Нейтральное,Ящики для продуктов,https://entero.ru/item/366838,"<p>Ящик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366838""><b class=""b"">ТАРА.РУ 419</b></a> серии 400 предназначен для хранения и транспортировки бутылок на предприятиях общественного питания и торговли. Внутренние перегородки предотвращают повреждение при перевозке. Перфорированные стенки и дно обеспечивают вентиляцию и предотвращают скопление влаги. Модель отличается штабелированием, что позволяет удобно складировать ящики друг на друга. Ящик выполнен из полиэтилена низкого давления HDPE, который отличается прочностью, лёгкостью, долговечностью, гигиеничностью и устойчивостью к воздействию агрессивных химических веществ.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура эксплуатации: от 0 до +50 °С</li>
<li>Объем бутылки: до 0,5 л</li>
<li>Вместимость: до 20 бутылок</li>
</ul>",366838,перфорированный,420 мм,340 мм,270 мм,0,https://entero.ru/manuals/477881/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%A2%D0%90%D0%A0%D0%90.%D0%A0%D0%A3.pdf,,1.67 кг,Россия,Россия,для бутылок,38.56 л,черный,
https://cdn.entero.ru/mp@2x/6f/67/6f676cfe6d1be590f867988d98a2f7e0.jpg;https://cdn.entero.ru/mp@2x/f3/fa/f3faafcbd20bdd701b9b2add3d261162.jpg;https://cdn.entero.ru/mp@2x/c0/59/c059f0dd56b0e34c7e52207710bc2ccb.jpg;https://cdn.entero.ru/mp@2x/3e/9b/3e9be18ce8271ea3961fac3300a909ed.jpg,"Ящик для полуфабрикатов Luxstahl 600х400х75 мм сплошной, ПЭНД [ЯП 1.1]","Ящик для полуфабрикатов Luxstahl 600х400х75 мм сплошной, ПЭНД [ЯП 1.1]",998,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Ящики для продуктов,https://entero.ru/item/266326,"<p>Ящик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266326""><b class=""b"">Luxstahl 600х400х75 мм </b></a>предназначен для хранения полуфабриктов на предприятиях общественного питания и торговли. Изделие может эксплуатироваться при температуре окружающей среды от -15 до 70 °C. Ящик выполнен из ПЭНД.</p>

<p>Цвет уточняйте при заказе.</p>",266326,сплошной,600 мм,400 мм,75 мм,0,,1279,,,Россия,для полуфабрикатов,,,
https://cdn.entero.ru/mp@2x/83/01/83017df0d368e0e6ff4d28a8be0240e1.jpg;https://cdn.entero.ru/mp@2x/a2/30/a23050ea29020d454ebde0e9e0f0f1e5.jpg;https://cdn.entero.ru/mp@2x/3e/65/3e65bfd38250436cd98455fdbba09ca8.jpg;https://cdn.entero.ru/mp@2x/15/4a/154a2be5f9c452b50fe18f7c46aa9ff3.jpg,"Ящик колбасный Luxstahl 600х400х250 мм перфорированные бока и дно, ПЭНД [ЯК-253]","ЯЩИК 600х400х250-260мм перфорированные бока и дно, колбасный, ПЭНД цвет в ассортименте [201]",1437,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Ящики для продуктов,https://entero.ru/item/266336,"<p>Ящик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266336""><b class=""b"">Luxstahl 600х400х250 мм </b></a>предназначен для хранения и перемещения колбас на предприятиях общественного питания и торговли. Изделие может эксплуатироваться при температуре окружающей среды от -15 до 70 °C. Ящик выполнен из ПЭНД. </p>

<p>Цвет уточняйте при заказе.</p>

<p>Крышка в комплект поставки не входит и приобретается отдельно.</p>",266336,перфорированный,600 мм,400 мм,250 мм,0,,,,,Россия,для овощей и фруктов,,"белый, зеленый, синий, красный",
https://cdn.entero.ru/mp@2x/c1/e3/c1e3b18b92d660b0c0bafea2c35ab31b.jpg;https://cdn.entero.ru/mp@2x/6a/80/6a8092fafbad711b3fd0adf6c97822fb.jpg;https://cdn.entero.ru/mp@2x/c7/71/c77130ad6b7b188f0a74f33d4b069c79.jpg,"Ящик мясо-молочный Luxstahl 600х400х350 мм сплошной, ПЭНД [603]","Ящик мясо-молочный Luxstahl 600х400х350 мм сплошной, ПЭНД [603]",2181,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Ящики для продуктов,https://entero.ru/item/266333,"<p>Ящик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266333""><b class=""b"">Luxstahl 600х400х350 мм </b></a>предназначен для хранения и перемещения мясных и молочных продуктов на предприятиях общественного питания и торговли. Изделие может эксплуатироваться при температуре окружающей среды от -15 до 70 °C. Ящик выполнен из ПЭНД. </p>

<p>Цвет уточняйте при заказе.</p>

<p>Крышка в комплект поставки не входит и приобретается отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры: 515x360x350 мм</li>
</ul>",266333,сплошной,600 мм,400 мм,350 мм,0,,,,,Россия,"для молока, для мяса",66 л,"красный, белый, серый, синий",
https://cdn.entero.ru/mp@2x/8b/b9/8bb9b162256c667fef5dd0691fe8503a.jpg,"Ящик мясо-молочный Luxstahl 600х400х400 мм конусный, сплошной [605]","Ящик мясо-молочный Luxstahl 600х400х400 мм конусный, сплошной [605]",2384,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Ящики для продуктов,https://entero.ru/item/266334,"<p>Ящик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266334""><b class=""b"">Luxstahl 600х400х400 мм </b></a>предназначен для хранения и перемещения мясных и молочных продуктов на предприятиях общественного питания и торговли. Изделие может эксплуатироваться при температуре окружающей среды от -15 до 70 °C. Ящик выполнен из ПЭНД. </p>

<p>Цвет уточняйте при заказе.</p>

<p>Крышка в комплект поставки не входит и приобретается отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренние размеры: 515x360x350 мм</li>
</ul>",266334,сплошной,600 мм,400 мм,400 мм,0,,,,,,"для мяса, для молока",66 л,,
https://cdn.entero.ru/mp@2x/f4/43/f44307373fdb03dc2825fd5a5112d006.jpg;https://cdn.entero.ru/mp@2x/79/8e/798e2edf42c3feaf47d50675841d8888.jpg;https://cdn.entero.ru/mp@2x/23/c3/23c30b9e6f410d9f8a9e890ada351dde.jpg;https://cdn.entero.ru/mp@2x/72/c7/72c7f019fc7dc6389e8ec4a134fe5ca4.jpg;https://cdn.entero.ru/mp@2x/a2/4b/a24bcf58440aa1caa5df7396453d30e0.jpg;https://cdn.entero.ru/mp@2x/77/28/77286f1a12c38103aa1d2328da997894.jpg;https://cdn.entero.ru/mp@2x/ee/e6/eee64b7662fc899b7349ed6c82965e7b.jpg,Ящик для овощей и фруктов ТАРА.РУ 125-2 ВС 600х400х250 мм серый,Ящик для овощей и фруктов ТАРА.РУ 125-2 ВС 600х400х250 мм серый,721,RUB,Да,,Профоборудование,Нейтральное,Ящики для продуктов,https://entero.ru/item/366486,"<p>Вкладываемый ящик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366486""><b class=""b"">ТАРА.РУ 125-2 ВС </b></a>серии 100 предназначен для хранения и транспортировки овощей, фруктов и другой сельскохозяйственной продукции на предприятиях общественного питания и торговли. Модель имеет сплошные стенки и дно, отличается штабелированием для удобного складирования друг на друга. Конусная конструкция экономит пространство при транспортировке в пустом виде. Ящик выполнен из полиэтилена низкого давления HDPE, который отличается прочностью, лёгкостью, долговечностью, гигиеничностью и устойчивостью к воздействию агрессивных химических веществ.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура эксплуатации: от -18 до +50 °С</li>
</ul>",366486,сплошной,600 мм,400 мм,250 мм,0,https://entero.ru/manuals/477328/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%A2%D0%90%D0%A0%D0%90.%D0%A0%D0%A3.pdf;https://entero.ru/manuals/505931/%D0%9E%D1%82%D0%BA%D0%B0%D0%B7%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,,1.7 кг,Россия,Россия,для овощей и фруктов,,серый,Да
https://cdn.entero.ru/mp@2x/95/40/95405044851e91eea9b276661e6e7e3a.jpg,Ящик для овощей и фруктов ТАРА.РУ 6410-02 600х400х100 мм зеленый,Ящик для овощей и фруктов ТАРА.РУ 6410-02 600х400х100 мм зеленый,799,RUB,Да,,Профоборудование,Нейтральное,Ящики для продуктов,https://entero.ru/item/366687,"<p>Ящик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366687""><b class=""b"">ТАРА.РУ 6410-02</b></a> предназначен для хранения и транспортировки овощей, фруктов и другой сельскохозяйственной продукции на предприятиях общественного питания и торговли. Перфорированные стенки и дно обеспечивают вентиляцию, предотвращают скопление влаги и поддерживают свежесть продуктов. Модель отличается штабелированием, что позволяет удобно складировать ящики друг на друга. Ящик выполнен из полиэтилена низкого давления HDPE, который отличается прочностью, лёгкостью, долговечностью, гигиеничностью и устойчивостью к воздействию агрессивных химических веществ.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренний размер: 565х365х98 мм</li>
</ul>",366687,перфорированный,600 мм,400 мм,100 мм,0,https://entero.ru/manuals/477548/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%A2%D0%90%D0%A0%D0%90.%D0%A0%D0%A3.pdf;https://entero.ru/manuals/517877/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,1.2 кг,Россия,Россия,для овощей и фруктов,20 л,зеленый,
