Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Установка,Управление
https://cdn.entero.ru/mp@2x/3b/d8/3bd82f9d9e1142960e731b747a475967.jpg;https://cdn.entero.ru/mp@2x/b8/e7/b8e7c186964da18e11b8a041d8d39c19.jpg;https://cdn.entero.ru/mp@2x/4e/3b/4e3b073fc97d1ee47cfe72b8cb36bb5e.jpg;https://cdn.entero.ru/mp@2x/a3/1c/a31c7050677fb1c39ffc22ff2adf261d.jpg;https://cdn.entero.ru/mp@2x/0f/fd/0ffd82ea501c6ab14e059593a6393597.jpg;https://cdn.entero.ru/mp@2x/47/1f/471fed80fa8d0b0cfd5ae9e817b95fad.jpg;https://cdn.entero.ru/mp@2x/4f/f7/4ff73fc418586d8bfb817928f09cf4de.jpg,"Дозатор жидких растворов Puff 8197, 1 л",Puff-8197,2324,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Дезинфекторы для рук,https://entero.ru/item/196401,"<p>Локтевой дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/196401""><b class=""b"">Puff 8197 </b></a>предназначен для размещения и дозированной подачи жидких и гелеобразных антисептических растворов и жидкого мыла в санитарных узлах офисов, гостиниц, предприятий общественного питания, медицинских учреждений и других мест средней проходимости. Модель оснащена удобной ручкой. Корпус выполнен из белого ударопрочного АБС-пластика, ручка - из металла.</p>

<p>В комплект поставки входит набор крепежа.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Дозировка: струйная / капельная</li>
<li>Допустимое содержание спирта в растворах до 75%</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 1 л</li>
<li>Дозировка при 1 нажатии: от 1 до 5 мл</li>
</ul>",196401,,,98 мм,235 мм,305 мм,,Россия,,,0,https://entero.ru/manuals/228806/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Puff%208197.jpg,,,0.41 кг,подвесной,локтевое
https://cdn.entero.ru/mp@2x/ab/bd/abbd155f1d8d53be44a3d93da688cfe0.jpg,"Дозатор-стерилизатор Puff 8183 сенсорный, 2 л",1402.008,10997,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Дезинфекторы для рук,https://entero.ru/item/172815,"<p>Автоматический сенсорный дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/172815""><b class=""b"">Puff 8183 </b></a>предназначен для размещения и дозированной подачи жидкого антисептика в санитарных узлах офисов, гостиниц, предприятий общественного питания, медицинских учреждений и других мест средней проходимости. Модель оснащена датчиком приближения и окошком индикации наличия жидкости. Корпус изготовлен белого ударопрочного АБС-пластика с глянцевой поверхностью.</p>

<p>В комплект поставки входят набор крепежа и крепежная планка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Расходный материал: жидкие спиртосодержащие растворы и бесспиртовые антисептики</li>
<li>Капельное распыление</li>
<li>Настенный монтаж</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 2 л</li>
<li>Дальность датчика: от 30 до 100 мм</li>
<li>Источник питания: 220~240 В</li>
<li>Содержание спирта в растворах: не более 75%</li>
</ul>",172815,220 В,,250 мм,165 мм,248 мм,,Россия,,,0,,11455,,3.5 кг,подвесной,сенсорное
https://cdn.entero.ru/mp@2x/62/b2/62b203096480b63fa3e5884a208030c8.jpg;https://cdn.entero.ru/mp@2x/ed/8d/ed8d0b6e715f8b4016a95bc352930675.jpg,Дезинфектор для рук Kocateq HS BIOPROTECT AD 05 STAND,33021,33784,RUB,Да,Kocateq,Профоборудование,Оборудование для дезинфекции и очистки,Дезинфекторы для рук,https://entero.ru/item/126045,"<p>Дезинфектор для рук <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126045"">Kocateq HS BIOPROTECT AD 05 STAND</a></b> используется на предприятиях общественного питания и торговли, в производственных цехах, торговых центрах, отелях и других местах общественного пользования для бесконтактного дозирования антисептика для уничтожения вирусов, бактерий, грибковых инфекций и других микроорганизмов. Корпус выполнен из эмалированной стали черного цвета, стойка - из матовой эмалированной стали черного цвета.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Инжекторная система для бесконтактного покрытия рук антисептиком</li>
<li>Мощная форсунка для создания направленного аэрозольного облака</li>
<li>Световой индикатор низкого уровня антисептика</li>
<li>Вибрационная помпа с защитой от сухого хода</li>
<li>Простое пополнение емкости через откидную крышку, закрывающуюся на ключ</li>
<li>Губка для сбора дезинфицирующего средства</li>
<li>Максимальная продолжительность автоматической работы при нахождении рук в зоне действия: 8 секунд</li>
<li>За 1 секунду распыляется 0,8 мл жидкости</li>
<li>Порт для подключения к турникетам (проход открывается только после дезинфекции рук)</li>
<li>Требует подключения к сети</li>
<li>Площадка для крепления рекламных носителей</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем емкости: 2 л</li>
<li>Объем распыления: 0,8 мл/сек.</li>
<li>Расстояние от рук до сенсорного датчика: от 5 до 11 см</li>
</ul>",126045,220 В,0.025 кВт,282 мм,151 мм,1500 мм,,Южная Корея,,,0,,,,,напольный,сенсорное
https://cdn.entero.ru/mp@2x/9c/fd/9cfd3877c72731897f889d79f106579e.jpg,"Дозатор жидкого мыла Puff 8605m антивандальный матовый, 0.5 л",1402.008,2895,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Дезинфекторы для рук,https://entero.ru/item/172801,"<p>Антивандальный дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/172801""><b class=""b"">Puff 8605m </b></a>предназначен для размещения и дозированной подачи жидкого мыла в санитарных узлах офисов, гостиниц, предприятий общественного питания, медицинских учреждений и других мест средней проходимости. Модель оснащена окошком индикации наличия жидкости и удобной кнопкой с носиком. Корпус изготовлен из нержавеющей стали 304 с мотовой поверхностью.</p>

<p>В комплект поставки входят набор крепежа и крепежная планка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Расходный материал: жидкое мыло, гель для душа, антисептик на гелевой основе без содержания спирта</li>
<li>Настенный монтаж</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 0.5 л</li>
<li>Дозировка при 1 нажатии: 1 мл</li>
</ul>",172801,,,95 мм,100 мм,150 мм,,Россия,,,0,,,,0.47 кг,подвесной,ручное
https://cdn.entero.ru/mp@2x/6c/e1/6ce1b4653d837b9092fb43a71fe6305b.jpg,"Дозатор жидкого мыла Puff 8605 антивандальный глянцевый, 0.5 л",1402.008,2901,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Дезинфекторы для рук,https://entero.ru/item/172784,"<p>Антивандальный дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/172784""><b class=""b"">Puff 8605 </b></a>предназначен для размещения и дозированной подачи жидкого мыла в санитарных узлах офисов, гостиниц, предприятий общественного питания, медицинских учреждений и других мест средней проходимости. Модель оснащена окошком индикации наличия жидкости и удобной кнопкой с носиком. Корпус изготовлен из нержавеющей стали 304 с глянцевой поверхностью.</p>

<p>В комплект поставки входят набор крепежа и крепежная планка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Расходный материал: жидкое мыло, гель для душа, антисептик на гелевой основе без содержания спирта</li>
<li>Настенный монтаж</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 0.5 л</li>
<li>Дозировка при 1 нажатии: 1 мл</li>
</ul>",172784,,,95 мм,100 мм,150 мм,,Россия,,,0,,,,0.34 кг,подвесной,ручное
https://cdn.entero.ru/mp@2x/3e/da/3eda8a03744727347a7ab9b7ff2157d4.jpg;https://cdn.entero.ru/mp@2x/9a/70/9a70c6c9f87298524238fba0d688c87f.jpg;https://cdn.entero.ru/mp@2x/91/a8/91a8fad0160784005d1bbebe7da7727c.jpg;https://cdn.entero.ru/mp@2x/2d/54/2d5414ed8d548e46d4d010a8f7fbca8b.jpg,Дозатор для антисептика Merida ONE DEC401 черный,DEC401,8857,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Дезинфекторы для рук,https://entero.ru/item/313274,"<p>Дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/313274""><b class=""b"">Merida ONE DEC401 </b></a>предназначен для размещения и дозированной подачи жидких антисептиков в общественных санитарных узлах гостиниц, предприятий общепита, медицинских учреждений и других мест массового пребывания. Модель оснащена запираемой на ключ крышкой. Корпус изготовлен из ударопрочного белого АБС-пластика.</p>

<p>В комплект поставки входит набор для крепежа.</p>

<p><span style=""color:#ff0000;"">Внимание! Картридж и контейнер в комплект поставки не входят и приобретаются дополнительно.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Смотровое окошко для индикации уровня жидкости</li>
<li>Равномерное мелкодисперсное распыление</li>
<li>Светодиодный индикатор готовности к работе и наличия препятствий</li>
<li>Подходит для применения людьми с ограниченными возможностями</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем картриджа: 1000 мл</li>
<li>Объем 1 порции: 0,8 мл</li>
<li>Цвет: черный</li>
</ul>",313274,,,154 мм,100 мм,280 мм,,,,,0,https://entero.ru/manuals/487373/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,,подвесной,сенсорное
https://cdn.entero.ru/mp@2x/ab/81/ab81377436f83fe1ebbe3252ad885f41.jpg,"Дозатор для антисептика Merida HARMONY DHB407 сенсорный, 1200 мл",DHB407,9322,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Дезинфекторы для рук,https://entero.ru/item/171582,"<p>Сенсорный наливной спрей-дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/171582""><b class=""b"">Merida HARMONY DHB407 </b></a>предназначен для размещения и дозированной подачи жидкого антисептика в общественных санитарных узлах гостиниц, предприятий общепита, медицинских учреждений и других мест массового пребывания. Модель оснащена запираемой на ключ крышкой. Корпус изготовлен из ударопрочного белого АБС-пластика.</p>

<p>В комплект поставки входит ключ.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Удвоенная рассеивающая головка для максимальной площади распыления на две руки</li>
<li>Светодиодная индикация готовности к работе и замене батарей</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем колбы: 1.2 л</li>
<li>Регулируемая дозировка: 0.4/0.8 мл</li>
</ul>",171582,,,,,,,Китай,,,0,https://entero.ru/manuals/197542/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Merida%202021.pdf,,,,подвесной,сенсорное
https://cdn.entero.ru/mp@2x/c0/24/c024b58d07f7ea77173edc835352589d.jpg,Дозатор MIRTOO 2252NT,Дозатор MIRTOO 2252NT,11662,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Дезинфекторы для рук,https://entero.ru/item/206405,"<p>Сенсорный дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206405"">MIRTOO 2252NT</a></b> используется на предприятиях общественного питания и торговли, а также в производственных цехах, кинотеатрах, заправках, бизнес-центрах и в других местах с большой проходимостью для дозирования кожного антисептика жидкой и гелеобразной форм. Модель оснащена бесконтактным инфракрасным термометром, поддоном, ЖК-экраном с цветной подсветкой (синий и красный), замком с ключом и каплеуловителем. Корпус выполнен из противоударного ABS пластика.</p>

<p><span style=""color:#FF0000;"">Дозатор работает с помощью от 4 батареек тип С или от сети 220V от адаптера, который в комплект поставки не входит.</span></p>

<p><b>Дополонительные характеристики:</b></p>

<ul>
<li>Объем резервуара: 1200 мл</li>
<li>Дозировка: от 0,4 до 0,6 мл</li>
<li>Диапазон измерения температур: от 35,5 до 42 °С</li>
<li>Точность температуры: 0,3 °С</li>
</ul>

<p><b>Опции (приобретается отдельно):</b></p>

<ul>
<li>Напольная стойка</li>
<li>Адаптер</li>
</ul>",206405,220 В,,150 мм,110 мм,276 мм,,,,,0,,,,0.96 кг,"подвесной, напольный",сенсорное
https://cdn.entero.ru/mp@2x/b8/1e/b81ec9f8a1d67939f6372eb2ac90f132.jpg;https://cdn.entero.ru/mp@2x/5a/96/5a960839ad53f31099fa5affd1202536.jpg;https://cdn.entero.ru/mp@2x/f0/43/f043575086a76216240b19834a06bcd9.jpg;https://cdn.entero.ru/mp@2x/f2/0f/f20f4f75723135e6dede8a9f54861f97.jpg;https://cdn.entero.ru/mp@2x/a7/8d/a78dbe806d217c38b72fc35201ab5a4d.jpg,Дезинфектор для рук Kocateq HS BIOPROTECT PRO,32999,14018,RUB,Да,Kocateq,Профоборудование,Оборудование для дезинфекции и очистки,Дезинфекторы для рук,https://entero.ru/item/125364,"<p>Дезинфектор для рук <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125364"">Kocateq HS BIOPROTECT PRO</a></b> используется на предприятиях общественного питания и торговли, в производственных цехах, торговых центрах, отелях и других местах общественного пользования для бесконтактного дозирования антисептика для уничтожения вирусов, бактерий, грибковых инфекций и других микроорганизмов. Корпус выполнен из ABS-пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Инжекторная система для бесконтактного покрытия рук антисептиком</li>
<li>Мощная форсунка для создания направленного аэрозольного облака</li>
<li>Аналоговая кнопка включения</li>
<li>Регулировка количества дезинфицирующего средства на порцию</li>
<li>Простое пополнение емкости через откручивающуюся крышку</li>
<li>Прозрачная шкала для контроля уровня дезинфицирующего средства</li>
<li>Съемный пластиковый каплесборник для сбора дезинфицирующего средства</li>
<li>Амортизаторы, гарантирующие бесшумную работу</li>
<li>Максимальная продолжительность автоматической работы при нахождении рук в зоне действия: 9 циклов</li>
<li>Цикл: 1 сек. распыление - 3 сек. отключение</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем емкости: 1,5 л</li>
<li>Объем распыления: от 0,8 до 1,5 см<sup>3</sup></li>
</ul>",125364,220 В,0.02 кВт,235 мм,150 мм,610 мм,,Южная Корея,,,0,,,,,подвесной,сенсорное
https://cdn.entero.ru/mp@2x/c0/43/c04348a5745a1b8409df6c6a55c33510.jpg,Дозатор антисептика Merida STELLA R DSA112.R (нерж. сталь) Anti Finger,DSA112.R,21583,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Дезинфекторы для рук,https://entero.ru/item/356783,"<p>Автоматический дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/356783""><b class=""b"">Merida STELLA R DSA112.R</b></a> используется для размещения и порционной подачи жидкого антисептика в форме спрея в общественных санитарных узлах гостиниц, вокзалов, предприятий общественного питания, медицинских учреждений и других мест массового пребывания. Модель оснащена наливной колбой, запираемой на ключ крышкой и сенсорным датчиком приближения. Вертикально ориентированный корпус прямоугольного сечения изготовлен из нержавеющей стали с обработанной против отпечатков пальцев поверхностью Anti Finger, упаковка – гофрокороб.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Бесконтактная гигиеничная эксплуатация</li>
<li>Окошко индикации уровня наполнения</li>
<li>Светодиодный индикатор готовности к работе</li>
<li>Оптимальное дозирование с экономичным расходом</li>
<li>Возможность регулировки количества порций за один сеанс</li>
<li>Антивандальная конструкция</li>
<li>Настенный монтаж</li>
<li>Барабанный замок заподлицо с поверхностью, скрытые петли и зашлифованные сварные швы</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Работа от 4 батарей типоразмера AA</li>
<li>Эргономичный дизайн в стиле минимализм</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем колбы: 550 мл</li>
<li>Объем порции: 1 мл</li>
</ul>",356783,,,101 мм,95 мм,275 мм,,,,,0,https://entero.ru/manuals/456338/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Merida%20STELLA%20R%20DSA112.R.jpg,,,1.55 кг,подвесной,сенсорное
