Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Код товара,Напряжение,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Родина бренда,Страна-производитель,Производительность,Назначение,Потребляемая мощность,Тоннельная,Режимы работы,Расход воды,Объем бака
https://cdn.entero.ru/mp@2x/c1/6b/c16bbc442ec34e9c37781d066b3f1a45.jpg,Машина мойки ящиков тоннельная Азимут ММТТ-800,Машина мойки ящиков тоннельная Азимут ММТТ-800,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Машины моющие,https://entero.ru/item/165800,165800,380 В,5900 мм,1500 мм,1750 мм,0,https://entero.ru/manuals/192206/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,Россия,Россия,от 700 до 950 шт/час,для ящиков,,Да,мойка,27 л/мин.,450 л
https://cdn.entero.ru/mp@2x/1e/8e/1e8e8d50c68f890c8cd23c836774b843.jpg;https://cdn.entero.ru/mp@2x/6b/10/6b10211c539b3a4ea26123027d74c63d.jpg,Машина мойки тары Азимут ММЧТ-300,Машина мойки тары Азимут ММЧТ-300,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Машины моющие,https://entero.ru/item/165790,165790,380 В,1428 мм,1564 мм,1185 мм,0,https://entero.ru/manuals/192189/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf;https://entero.ru/manuals/192188/%D0%9E%D0%BF%D1%80%D0%BE%D1%81%D0%BD%D1%8B%D0%B9%20%D0%BB%D0%B8%D1%81%D1%82.doc,,Россия,Россия,15 шт/час,для тары,1 кВт,,мойка,,
https://cdn.entero.ru/mp@2x/68/9f/689f6d8e7bfc88f3b0d783559dc55142.jpg;https://cdn.entero.ru/mp@2x/8e/a4/8ea41d33718089ee88ff9e65599f3808.jpg,Машина мойки тары Азимут ММЧТ-300-Х,Машина мойки тары Азимут ММЧТ-300-Х,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Машины моющие,https://entero.ru/item/165794,165794,380 В,1428 мм,1564 мм,1185 мм,0,https://entero.ru/manuals/192195/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf;https://entero.ru/manuals/192194/%D0%9E%D0%BF%D1%80%D0%BE%D1%81%D0%BD%D1%8B%D0%B9%20%D0%BB%D0%B8%D1%81%D1%82.doc,,Россия,Россия,15 шт/час,для тары,1 кВт,,мойка и дезинфекция,,
https://cdn.entero.ru/mp@2x/46/e7/46e7d056c2f1320ffb57b93272122a77.jpg;https://cdn.entero.ru/mp@2x/7a/f1/7af14d5b0b9d012e3c17801e262f2c36.jpg;https://cdn.entero.ru/mp@2x/0b/41/0b414f34712e32d3bfa689f77254d14a.jpg;https://cdn.entero.ru/mp@2x/ce/41/ce410ab35d4e8d7e37388da12b6d9a09.jpg;https://cdn.entero.ru/mp@2x/15/62/1562fc50930c0f9eed8852c63091bb05.jpg,Машина мойки ящиков тоннельная Азимут ММТТ-1100 DOUBLE TRACK,Машина мойки ящиков тоннельная Азимут ММТТ-1100 DOUBLE TRACK,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Машины моющие,https://entero.ru/item/165795,165795,380 В,5560 мм,1950 мм,1750 мм,0,https://entero.ru/manuals/192198/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,Россия,Россия,от 1000 до 1300 шт/час,для ящиков,,Да,мойка,32 л/мин.,500 л
https://cdn.entero.ru/mp@2x/12/66/126669c476e37a6a65831abaf7f704a0.jpg;https://cdn.entero.ru/mp@2x/84/57/8457a22251832cf60d25154b0a4d3898.jpg;https://cdn.entero.ru/mp@2x/86/a6/86a626babd38be4a1a51df5c6cc8ee36.jpg,Машина мойки ящиков тоннельная Азимут ММТТ-150 стандарт,Машина мойки ящиков тоннельная Азимут ММТТ-150 стандарт,1864641,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Машины моющие,https://entero.ru/item/165797,165797,380 В,3370 мм,1500 мм,1750 мм,0,https://entero.ru/manuals/192203/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,Россия,Россия,от 100 до 200 шт/час,для ящиков,,Да,мойка,12 л/мин.,200 л
https://cdn.entero.ru/mp@2x/7c/c8/7cc86e4807e5aa0f18cb8f8d6a06fd1c.jpg,Машина мойки ящиков тоннельная Азимут ММТТ-300,Машина мойки ящиков тоннельная Азимут ММТТ-300,2237762,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Машины моющие,https://entero.ru/item/165798,165798,380 В,4400 мм,1500 мм,1750 мм,0,https://entero.ru/manuals/192204/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,2355539,Россия,Россия,от 200 до 400 шт/час,для ящиков,,Да,мойка,12 л/мин.,300 л
https://cdn.entero.ru/mp@2x/ce/8d/ce8da18ccd2734772fda30d470a9f938.jpg;https://cdn.entero.ru/mp@2x/20/02/20024d7694aa8b37861c0910e2e8cf33.jpg,Машина мойки тары Азимут ММЧТ-200-Х,Машина мойки тары Азимут ММЧТ-200-Х,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Машины моющие,https://entero.ru/item/165793,165793,380 В,1428 мм,1564 мм,1185 мм,0,https://entero.ru/manuals/192193/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf;https://entero.ru/manuals/192192/%D0%9E%D0%BF%D1%80%D0%BE%D1%81%D0%BD%D1%8B%D0%B9%20%D0%BB%D0%B8%D1%81%D1%82.doc,,Россия,Россия,15 шт/час,для тары,1 кВт,,мойка и дезинфекция,,
https://cdn.entero.ru/mp@2x/67/d4/67d4c731100e35c210812e4784f332bc.jpg;https://cdn.entero.ru/mp@2x/21/6f/216f143a2fa760561ae12d9aed7d0655.jpg;https://cdn.entero.ru/mp@2x/a6/6e/a66eedb6b769e36cb7e6681d43952230.jpg,Машина мойки ящиков тоннельная Азимут ММТТ-150 эконом,Машина мойки ящиков тоннельная Азимут ММТТ-150 эконом,1396228,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Машины моющие,https://entero.ru/item/353637,353637,380 В,3370 мм,1500 мм,1750 мм,0,https://entero.ru/manuals/444555/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,1469714,Россия,Россия,от 100 до 200 шт/час,для ящиков,,Да,мойка,12 л/мин.,200 л
https://cdn.entero.ru/mp@2x/4a/70/4a705eabe26d89641ef7d3c931026ea2.jpg;https://cdn.entero.ru/mp@2x/cc/28/cc2833a95eb7351d8916caaad0e3a009.jpg,Машина мойки тары Азимут ММЧТ-200,Машина мойки тары Азимут ММЧТ-200,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Машины моющие,https://entero.ru/item/165787,165787,380 В,1428 мм,1564 мм,1185 мм,0,https://entero.ru/manuals/192187/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf;https://entero.ru/manuals/192186/%D0%9E%D0%BF%D1%80%D0%BE%D1%81%D0%BD%D1%8B%D0%B9%20%D0%BB%D0%B8%D1%81%D1%82.doc,,Россия,Россия,15 шт/час,для тары,1 кВт,,мойка,,
https://cdn.entero.ru/mp@2x/d8/7a/d87ac065a4cd226d371e62f0035e9881.jpg;https://cdn.entero.ru/mp@2x/33/d4/33d4308c8330a44f393ca049da8e8eb3.jpg,Машина мойки тары Азимут ММПБ-1200,Машина мойки тары Азимут ММПБ-1200,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Машины моющие,https://entero.ru/item/165783,165783,,,,,0,https://entero.ru/manuals/192185/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf;https://entero.ru/manuals/192181/%D0%9E%D0%BF%D1%80%D0%BE%D1%81%D0%BD%D1%8B%D0%B9%20%D0%BB%D0%B8%D1%81%D1%82.doc,,Россия,Россия,15 шт/час,для тары,,,мойка,,
https://cdn.entero.ru/mp@2x/75/9a/759ab6b846fcf34081038449c2973ec8.jpg;https://cdn.entero.ru/mp@2x/20/3e/203e8a8e14ac60e22a36e597a7d6222e.jpg,Машина мойки тары Азимут ММПБ-1200Х,Машина мойки тары Азимут ММПБ-1200Х,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Машины моющие,https://entero.ru/item/165785,165785,,,,,0,https://entero.ru/manuals/192180/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf;https://entero.ru/manuals/192182/%D0%9E%D0%BF%D1%80%D0%BE%D1%81%D0%BD%D1%8B%D0%B9%20%D0%BB%D0%B8%D1%81%D1%82.doc,,Россия,Россия,15 шт/час,для тары,,,мойка и дезинфекция,,
