Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Монтаж,Площадь помещения,Лампы в комплекте,Без ламп,Автомобильный
https://cdn.entero.ru/mp@2x/46/c9/46c979da424dc21fadc4522f42bc8f63.jpg,Рециркулятор Luxstahl РЦ-1,мко741,12984,RUB,Да,Luxstahl,Профоборудование,Оборудование для дезинфекции и очистки,Облучатели и рециркуляторы,https://entero.ru/item/126087,"<p>Рециркулятор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126087""><b class=""b"">Luxstahl РЦ-1 </b></a>используется на предприятиях общественного питания и торговли, в офисах, образовательных и медицинских учреждениях, а также в других местах общественного пользования для обеззараживания воздуха в помещениях. Модель оснащена 1 бактерицидными лампой, производящей ультрафиолетовое излучение, которое губительно влияет на практически все известные вирусы, болезнетворные бактерии и грибы. Все конструктивные элементы выполнены из нержавеющей стали AISI 430 с полированной поверхностью</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вентилятор</li>
<li>Возможна обработка помещений в присутствии людей</li>
<li>Предназначен для настенной установки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Соотношение производительность / площадь: 2 / 1</li>
<li>Лампа: 1х 30 Вт</li>
<li>Длина лампы: 950 мм</li>
</ul>",126087,закрытый,220 В,0.063 кВт,1105 мм,150 мм,150 мм,,Россия,,,0,https://entero.ru/manuals/270439/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Luxstahl.pdf;https://entero.ru/manuals/408596/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Luxstahl%20%D0%A0%D0%A6-1.pdf,14113,,,134 м​3/час,настенный,60 м2,Да,,
https://cdn.entero.ru/mp@2x/b3/47/b347a2faadd773b16b03ab236cd36f12.jpg,Рециркулятор бактерицидный HICOLD ОРБ1 115 нержавеющая сталь,Рециркулятор бактерицидный HICOLD ОРБ1 115 нержавеющая сталь,12670,RUB,Да,HICOLD,Профоборудование,Оборудование для дезинфекции и очистки,Облучатели и рециркуляторы,https://entero.ru/item/126364,"<p>Бактерицидный рециркулятор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126364""><b class=""b"">HICOLD ОРБ1 115</b></a> ​предназначен для обеззараживания воздуха в салонах красоты, фитнес-центрах, школьных и дошкольных учебных заведениях, жилых и офисных помещениях. Обеззараживание воздуха осуществляется с помощью ультрафиолетовой лампы и его рециркуляции с помощью вентиляторов. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип облучателя: закрытый</li>
<li>Предназначен для настенной установки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем помещения: 30 м<sup>3</sup></li>
<li>Источник излучения: лампа, 15 Вт</li>
<li>Цвет: нержавеющая сталь</li>
</ul>",126364,закрытый,220 В,0.25 кВт,120 мм,120 мм,610 мм,,Россия,,,0,https://entero.ru/manuals/457522/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/457531/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,13772,,,60 м​3/час,настенный,,,,
https://cdn.entero.ru/mp@2x/9c/ee/9ceebc3162c0097678f296f8c6d85926.jpg,Рециркулятор-облучатель бактерицидный ATESY РО-1-15-02-1,РО-1- 15-02-1,12814,RUB,Да,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Облучатели и рециркуляторы,https://entero.ru/item/125403,"<p>Бактерицидный рециркулятор-облучатель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125403"">ATESY РО-1-15-02-1</a> </b>используется на предприятиях общественного питания и торговли, в офисах, образовательных и медицинских учреждениях, а также в других местах общественного пользования для обеззараживания воздуха в помещениях. Модель оснащена 1 бактерицидной лампой низкого давления, производящей ультрафиолетовое излучение, которое губительно влияет на практически все известные вирусы, болезнетворные бактерии и грибы. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Безозоновая лампа не требует обязательного проветривания помещения</li>
<li>Отверстия для входа недизинфицированного и выхода дезинфицированного воздуха</li>
<li>Возможно использование в присутствии людей в помещении</li>
<li>Климатический тип: УХЛ 4,2</li>
<li>Предназначен для настенной установки или на специальную подставку</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем помещения (при времени обработки 1 час): 30 м<sup>3</sup></li>
<li>Мин. время обработки: 1 час</li>
<li>Лампа: Philips TUV 15 Вт SLV/25</li>
<li>Срок службы ламп: 9000 ч</li>
<li>УФ-С излучение 1 лампы: 4,9 Вт</li>
<li>Температура в помещении: от 10 до 35 °С</li>
<li>Максимальная относительная влажность воздуха в помещении: 60%</li>
</ul>",125403,закрытый,220 В,0.05 кВт,800 мм,150 мм,95 мм,6 кг,Россия,1,170x810x115 мм,6,https://entero.ru/manuals/135000/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A0%D0%9E-1-15-02-1.pdf;https://entero.ru/manuals/135043/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20%D0%B4%D0%BB%D1%8F%20%D0%B4%D0%B5%D0%B7%D0%B8%D0%BD%D1%84%D0%B5%D0%BA%D1%86%D0%B8%D0%B8%20ATESY.pdf;https://entero.ru/manuals/281261/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf;https://entero.ru/manuals/300129/%D0%A0%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5%20%D1%83%D0%B4%D0%BE%D1%81%D1%82%D0%BE%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D0%B5.pdf,13488,,5.6 кг,30 м​3/час,"настенный, напольный",,Да,,
https://cdn.entero.ru/mp@2x/da/88/da88a541fc9287c90d7106052b73f470.jpg;https://cdn.entero.ru/mp@2x/9f/2c/9f2c757df1e5f06128129add5027f075.jpg;https://cdn.entero.ru/mp@2x/89/22/892273ab1b4916d3f520a0797d369fff.jpg;https://cdn.entero.ru/mp@2x/0b/3e/0b3e7c46e7cc1b35555c4b0558fa0815.jpg,Рециркулятор бактерицидный КОБОР БР2-100,42430,13863,RUB,Да,КОБОР,Профоборудование,Оборудование для дезинфекции и очистки,Облучатели и рециркуляторы,https://entero.ru/item/125752,"<p>Бактерицидный рециркулятор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125752"">Кобор БР2-100</a></b> ​используется на предприятиях общественного питания и торговли, в офисах, образовательных и медицинских учреждениях, а также в других местах общественного пользования для обеззараживания воздуха в помещениях. Модель работает на 2 бактерицидных лампах, производящих ультрафиолетовое излучение, которое губительно влияет на практически все известные вирусы, болезнетворные бактерии и грибы. Корпус выполнен из крашеного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тип облучателя: закрытый</li>
<li>Возможность работы в присутствии людей</li>
<li>Степень обеззараживания до 99%</li>
<li>Возможность непрерывной работы</li>
<li>Высокая прочность металлической конструкции</li>
<li>Возможность установки на стойку</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Лампы: 2х 30 Вт</li>
<li>Длина волны: 253,7 нм</li>
<li>Срок службы ламп: 8000 ч</li>
<li>Электробезопасность: I</li>
</ul>",125752,закрытый,220 В,0.09 кВт,160 мм,130 мм,1080 мм,,Россия,,,0,https://entero.ru/manuals/360473/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg,,,6.5 кг,100 м​3/час,"настенный, напольный",,,,
https://cdn.entero.ru/mp@2x/b3/5f/b35fcb74019cf5bae961787e2aed58fd.jpg,Облучатель бактерицидный Азов ОБН-150 без ламп,Облучатель бактерицидный Азов ОБН-150 без ламп,3953,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Облучатели и рециркуляторы,https://entero.ru/item/126756,"<p>Бактерицидный облучатель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126756""><b class=""b"">Азов ОБН-150 </b></a>используется на предприятиях общественного питания и торговли, а также пищевых производствах для обеззараживания воздуха и поверхностей в помещениях. Корпус покрыт порошковой эмалью, повышающей антикоррозионную устойчивость изделия.</p>

<p><em><span style=""color:#FF0000;"">Бактерицидные лампы PHILIPS TUV 30W (UV-C) в комплект поставки не входят и приобретаются отдельно.</span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>3 режима работы: работающая открытая лампа, работающая экранированная лампа, работают обе лампы</li>
<li>Обеззараживание происходит за счет воздействия ультрафиолетовых лучей, обладающих широким диапазоном действия на бактерии, вирусы, споры, грибы и другие микроорганизмы</li>
<li>Нижние слои воздуха обеззараживаются за счет конвекции</li>
<li>Степень обеззараживания до 99%</li>
<li>Возможна обработка в присутствии людей во режиме работы экранированной лампы</li>
<li>Климатический тип: УХЛ 4,2</li>
<li>Класс электробезопасности по ГОСТ Р 50267,0-92: 1 тип B</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Лампы: Philips TUV 30W (UV-C) 30 Вт</li>
<li>Количество ламп: 2 шт (30 Вт)</li>
<li>Длина волны: 253,7 нм</li>
<li>Срок службы лампы: 8000 часов</li>
<li>Облученность на расстоянии:
<ul>
<li>1 режим: 0,65 Вт/м<sup>2</sup></li>
<li>2 режим: 0,65 Вт/м<sup>2</sup></li>
<li>3 режим: 1,25 Вт/м<sup>2</sup></li>
</ul>
</li>
<li>Производительность:
<ul>
<li>1 режим: 75 м<sup>3</sup>/час</li>
<li>2 режим: 75 м<sup>3</sup>/час</li>
<li>3 режим: 190 м<sup>3</sup>/час</li>
</ul>
</li>
<li>Коэффициент использования бактерицидного потока:
<ul>
<li>1 режим: 0,48</li>
<li>2 режим: 0,48</li>
<li>3 режим: 0,63</li>
</ul>
</li>
<li>Номинальная потребляемая мощность:
<ul>
<li>1 режим: 0,065 кВт</li>
<li>2 режим: 0,065 кВт</li>
<li>3 режим: 0,13 кВт</li>
</ul>
</li>
<li>Бактерицидный поток Ф<sub>бк</sub>: 
<ul>
<li>1 режим: 0,0112 кВт</li>
<li>2 режим: 0,0112 кВт</li>
<li>3 режим: 0,024 кВт</li>
</ul>
</li>
<li>Температура в помещении: от 10 до 35 °С</li>
<li>Максимальная относительная влажность воздуха в помещении: 60%</li>
<li>Срок службы: 5 лет</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",126756,закрытый,220 В,,942 мм,54 мм,116 мм,,Россия,,,24,https://entero.ru/manuals/144452/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/387982/%D0%A0%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5%20%D1%83%D0%B4%D0%BE%D1%81%D1%82%D0%BE%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D0%B5.pdf,5568,,1.8 кг,190 м​3/час,настенный,,,Да,
https://cdn.entero.ru/mp@2x/c0/74/c074d6180c978a5a12e608a298ddd6a4.jpg;https://cdn.entero.ru/mp@2x/d0/a1/d0a1e3d80ad0ec084d27258b9cf86fdc.jpg;https://cdn.entero.ru/mp@2x/dd/dd/ddddeaefed1e7ca842711660b9e6fae2.jpg;https://cdn.entero.ru/mp@2x/c1/fd/c1fdb90901ff3442d9bd8f57c76fa528.jpg;https://cdn.entero.ru/mp@2x/af/95/af957b3b9fe9acbd4d6a3041e22f3c98.jpg,Рециркулятор-облучатель ECOLUMEN УФ-15,Рециркулятор-облучатель ECOLUMEN УФ-15,5387,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Облучатели и рециркуляторы,https://entero.ru/item/181208,"<p>Бактерицидный ультрафиолетовый рециркулятор-облучатель<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/181208"">ECOLUMEN УФ-15</a> </b>предназначен для обеззараживания воздуха в салонах красоты, фитнес-центрах, школьных и дошкольных учебных заведениях, жилых и офисных помещениях. Модель оснащена трехпозиционным переключателем со световой индикацией, закрытой камерой и вентилятором. Корпус выполнен из листовой стали.</p>

<p>Модель в наличии в белом, голубом, красном, сером и черном цвете.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Закрытое облучение без выделения озона</li>
<li>Номинальный и бесшумный режимы работы</li>
<li>Вид климатического исполнения: УХЛ 4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребляемая мощность: 0,02 кВт</li>
<li>Мощность ламп: 0,015 кВт</li>
<li>Объем помещения: 55 м<sup>3</sup></li>
<li>Длина волны лампы: 254 Нм</li>
<li>Вирусная эффективность: 99,9%</li>
<li>Срок службы УФ-лампы: 9000 ч</li>
<li>Частота питающей сети: от 45 до 65 Гц</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Счетчик часов наработки ламп</li>
</ul>",181208,закрытый,,,190 мм,70 мм,600 мм,,Россия,,,0,,,,4.1 кг,60 м​3/час,"настенный, напольный",,Да,,
https://cdn.entero.ru/mp@2x/fe/b9/feb92697e44d08122df6c2ca90105699.jpg,Рециркулятор-облучатель бактерицидный ATESY РО-1-30-02-1,Рециркулятор-облучатель бактерицидный ATESY РО-1-30-02-1,17339,RUB,Да,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Облучатели и рециркуляторы,https://entero.ru/item/125844,"<p>Бактерицидный рециркулятор-облучатель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125844"">ATESY РО-1-30-02-1</a></b> используется на предприятиях общественного питания и торговли, в офисах, образовательных и медицинских учреждениях, а также в других местах общественного пользования для обеззараживания воздуха в помещениях. Модель оснащена 1 бактерицидной лампой низкого давления, производящей ультрафиолетовое излучение, которое губительно влияет на практически все известные вирусы, болезнетворные бактерии и грибы. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Безозоновая лампа не требует обязательного проветривания помещения</li>
<li>Отверстия для входа недизинфицированного и выхода дезинфицированного воздуха</li>
<li>Возможно использование в присутствии людей в помещении</li>
<li>Климатический тип: УХЛ 4,2</li>
<li>Предназначен для настенной установки или на специальную подставку</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем помещения (при времени обработки 1 час): 45 м<sup>3</sup></li>
<li>Мин. время обработки: 1 час</li>
<li>Лампа: Philips TUV 30 Вт 1SL/25</li>
<li>Срок службы ламп: 9000 ч</li>
<li>УФ-С излучение 1 лампы: 12 Вт</li>
<li>Температура в помещении: от 10 до 35 °С</li>
<li>Максимальная относительная влажность воздуха в помещении: 60%</li>
</ul>",125844,закрытый,220 В,0.05 кВт,1242 мм,196 мм,130 мм,12 кг,Россия,1,225x1250x145 мм,0,https://entero.ru/manuals/135993/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A0%D0%9E-1-30-02-1.pdf;https://entero.ru/manuals/135994/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/135995/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20%D0%B4%D0%BB%D1%8F%20%D0%B4%D0%B5%D0%B7%D0%B8%D0%BD%D1%84%D0%B5%D0%BA%D1%86%D0%B8%D0%B8%20ATESY.pdf;https://entero.ru/manuals/281186/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf;https://entero.ru/manuals/300126/%D0%A0%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5%20%D1%83%D0%B4%D0%BE%D1%81%D1%82%D0%BE%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D0%B5.pdf,18644,,11 кг,45 м​3/час,"настенный, напольный",,Да,,
https://cdn.entero.ru/mp@2x/ea/94/ea94f0d90b7260ec9e9d3ef1eb2e0d5b.jpg,Рециркулятор-облучатель бактерицидный ATESY РО-2-30-02-1,Рециркулятор-облучатель бактерицидный ATESY РО-2-30-02-1,26746,RUB,Да,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Облучатели и рециркуляторы,https://entero.ru/item/125845,"<p>Бактерицидный рециркулятор-облучатель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125845"">ATESY РО-2-30-02-1</a></b> используется на предприятиях общественного питания и торговли, в офисах, образовательных и медицинских учреждениях, а также в других местах общественного пользования для обеззараживания воздуха в помещениях. Модель оснащена 2 бактерицидными лампами низкого давления, производящими ультрафиолетовое излучение, которое губительно влияет на практически все известные вирусы, болезнетворные бактерии и грибы. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Безозоновые лампы не требуют обязательного проветривания помещения</li>
<li>Отверстия для входа недизинфицированного и выхода дезинфицированного воздуха</li>
<li>Возможно использование в присутствии людей в помещении</li>
<li>Климатический тип: УХЛ 4,2</li>
<li>Предназначен для настенной установки или на специальную подставку</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем помещения (при времени обработки 1 час): 90 м<sup>3</sup></li>
<li>Мин. время обработки: 1 час</li>
<li>Лампы: 2х Philips 30 Вт 1SL/25</li>
<li>Срок службы ламп: 9000 ч</li>
<li>УФ-С излучение 1 лампы: 12 Вт</li>
<li>Температура в помещении: от 10 до 35 °С</li>
<li>Максимальная относительная влажность воздуха в помещении: 60%</li>
</ul>",125845,закрытый,220 В,0.1 кВт,1242 мм,326 мм,130 мм,17 кг,Россия,1,355x1255x145 мм,0,https://entero.ru/manuals/135996/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A0%D0%9E-2-30-02-1.pdf;https://entero.ru/manuals/135997/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/135998/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20%D0%B4%D0%BB%D1%8F%20%D0%B4%D0%B5%D0%B7%D0%B8%D0%BD%D1%84%D0%B5%D0%BA%D1%86%D0%B8%D0%B8%20ATESY.pdf;https://entero.ru/manuals/281183/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf;https://entero.ru/manuals/300124/%D0%A0%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5%20%D1%83%D0%B4%D0%BE%D1%81%D1%82%D0%BE%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D0%B5.pdf,,,16.5 кг,90 м​3/час,"настенный, напольный",,Да,,
https://cdn.entero.ru/mp@2x/d1/94/d1946e73f9487154f5493f362ff005bc.jpg;https://cdn.entero.ru/mp@2x/c3/d8/c3d8c9aef4a9af1eef61f2d1d7bcfa9d.jpg,Рециркулятор-облучатель бактерицидный ITERMA РБ-15-1-8,E7328,11031,RUB,Да,ITERMA,Профоборудование,Оборудование для дезинфекции и очистки,Облучатели и рециркуляторы,https://entero.ru/item/224060,"<p>Бактерицидный рециркулятор-облучатель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/224060"">ITERMA РБ-15-1-8</a> </b>используется на предприятиях общественного питания и торговли, в офисах, образовательных учреждениях, а также в других местах общественного пользования для очистки и обеззараживания воздуха в помещениях. Модель оснащена 1 бактерицидной лампой, производящей ультрафиолетовое излучение, которое губительно влияет на практически все известные вирусы, болезнетворные бактерии и грибы. Корпус выполнен из шлифованной нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Встроенный вентилятор обеспечивает принудительную циркуляцию воздуха</li>
<li>Может использоваться в присутствии людей</li>
<li>Устанавливается на столе или крепится на стену</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем помещения: от 10 до 15 м<sup>3</sup></li>
<li>Минимальное время обработки: 1 час</li>
<li>Мощность лампы: 0,008 кВт</li>
<li>Срок службы лампы: 9000 ч</li>
<li>УФ излучение лампы: не менее 0,0024 кВт</li>
<li>Длина волны: 253,7 нм</li>
<li>Рекомендуемая высота установки: более 1 м от пола</li>
<li>Температура в помещении: от 10 до 35 °С</li>
<li>Максимальная относительная влажность воздуха в помещении: 60%</li>
<li>Межосевое расстояние для крепления:
<ul>
<li>К стене: 340 мм</li>
<li>На подставку: 280 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 620х170х130 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",224060,закрытый,220 В,0.023 кВт,600 мм,150 мм,125 мм,,Россия,,,0,https://entero.ru/manuals/270634/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ITERMA%20%D0%A0%D0%91-15-1-8.pdf,,,5 кг,15 м​3/час,"настенный, настольный",,,,
https://cdn.entero.ru/mp@2x/80/07/80076e1e160a6ad19a4117fb7254e84e.jpg,Облучатель бактерицидный ATESY ОБПИ-1-15-02,Облучатель бактерицидный ATESY ОБПИ-1-15-02,11129,RUB,Да,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Облучатели и рециркуляторы,https://entero.ru/item/126354,"<p>Бактерицидный облучатель прямого излучения <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126354"">ATESY ОБПИ-1-15-02</a> </b>используется на предприятиях общественного питания и торговли, в офисах, образовательных и медицинских учреждениях, а также в других местах общественного пользования для обеззараживания воздуха в помещениях. Модель оснащена 1 бактерицидной ртутной лампой низкого давления, производящей ультрафиолетовое излучение, которое губительно влияет на практически все известные вирусы, болезнетворные бактерии и грибы. Все детали корпуса выполнены из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Безозоновая лампа не требует обязательного проветривания помещения</li>
<li>Предназначен для использования в отсутствии людей в помещении</li>
<li>Для включения рекомендуется использовать блок управления (приобретается отдельно), который устанавливается в соседнем помещении и управляет работой облучателя</li>
<li>Предназначен для настенной установки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Лампа: Philips TUV 15 Вт</li>
<li>Длина волны: 253,7 нм</li>
<li>Срок службы ламп: 9000 ч</li>
<li>УФ-С излучение: 4,9 Вт</li>
<li>Частота питающего напряжения: 50 Гц</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",126354,закрытый,220 В,0.05 кВт,530 мм,70 мм,75 мм,2 кг,Россия,1,85x558x85 мм,0,https://entero.ru/manuals/136982/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%9E%D0%91%D0%9F%D0%98-1-15-02.pdf;https://entero.ru/manuals/281269/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf;https://entero.ru/manuals/508123/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,1.7 кг,,настенный,20 м2,Да,,
