Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Код товара,Тип,Напряжение,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Назначение,Потребляемая мощность,Турникет,Пропускная способность
https://cdn.entero.ru/mp@2x/6f/68/6f683f74619d2ec2a35bc3eb7337fe53.jpg,Рамка дезинфекции тележек Азимут РДПТ-01,Рамка дезинфекции тележек Азимут РДПТ-01,203183,RUB,Да,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157166,157166,,220 В,588 мм,1292 мм,750 мм,0,https://entero.ru/manuals/185944/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,,,,
https://cdn.entero.ru/mp@2x/76/d9/76d977e9d5ed207c77a52ec829718777.jpg,Санпропускник Азимут ОМГ-104,Санпропускник Азимут ОМГ-104,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/220514,220514,односторонний,380 В,1044 мм,2297 мм,1496 мм,0,https://entero.ru/manuals/262120/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,"дезинфекция ног, дезинфекция рук",0.7 кВт,,
https://cdn.entero.ru/mp@2x/d7/57/d757572518b0c4bb4d5746ed4fff5c2f.jpg,Санпропускник Азимут ОМГ-204,Санпропускник Азимут ОМГ-204,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/220516,220516,односторонний,380 В,978 мм,1896 мм,1632 мм,0,https://entero.ru/manuals/262129/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,"дезинфекция ног, дезинфекция рук",0.5 кВт,,
https://cdn.entero.ru/mp@2x/18/af/18af17b4f74766b79ffaddaf7a89270a.jpg;https://cdn.entero.ru/mp@2x/e4/57/e457301699ecf94b39c7dc75f83f1514.jpg;https://cdn.entero.ru/mp@2x/4e/52/4e521f1f77b5404c7a92e23d3d5e1a88.jpg;https://cdn.entero.ru/mp@2x/13/97/139734fcd303b8fc712db5acdb58dd71.jpg,Санпропускник Азимут ДМГ-001,Санпропускник Азимут ДМГ-001,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/156865,156865,двусторонний,220 В,2060 мм,1800 мм,1500 мм,0,https://entero.ru/manuals/185811/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,полная дезинфекция,,,
https://cdn.entero.ru/mp@2x/a1/91/a1918ae56e18b3e9a3d9e0c44fd11d00.jpg,Санпропускник Азимут БМГ-002,Санпропускник Азимут БМГ-002,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/156857,156857,бестурникетный,,1255 мм,990 мм,1155 мм,0,https://entero.ru/manuals/185807/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,дезинфекция ног,,,
https://cdn.entero.ru/mp@2x/bb/a6/bba60b0a4cee85c79aa385fe9ff0a198.jpg,Модуль гигиены Азимут СМГ-003,Модуль гигиены Азимут СМГ-003,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157123,157123,стационарный,,577 мм,506 мм,951 мм,0,https://entero.ru/manuals/185915/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,дезинфекция ног,0.45 кВт,,
https://cdn.entero.ru/mp@2x/2e/71/2e71826d66f616427c41eb8fa4ce435b.jpg,Санпропускник Азимут БМГ-001,Санпропускник Азимут БМГ-001,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/156856,156856,бестурникетный,,1290 мм,735 мм,270 мм,0,https://entero.ru/manuals/185806/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,дезинфекция ног,,,
https://cdn.entero.ru/mp@2x/a5/f0/a5f0d894b3b54efed3045722ba7ab051.jpg;https://cdn.entero.ru/mp@2x/a7/95/a7950eba628a714366726479454348ab.jpg;https://cdn.entero.ru/mp@2x/4d/1c/4d1c9e3eeabce9200f3d9e0ef8ac8799.jpg;https://cdn.entero.ru/mp@2x/03/89/0389ff0a4140a8a83d4d7da9e8201497.jpg,Санпропускник Азимут БМГ-003,Санпропускник Азимут БМГ-003,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/156858,156858,бестурникетный,380 В,1770 мм,1030 мм,1275 мм,0,https://entero.ru/manuals/185808/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,дезинфекция ног,0.45 кВт,,
https://cdn.entero.ru/mp@2x/ee/1b/ee1b599b15c7a265a1405e3dfd442dfd.jpg,Санпропускник Азимут ДМГ-005,Санпропускник Азимут ДМГ-005,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157089,157089,двусторонний,380 В,1800 мм,1700 мм,1540 мм,0,https://entero.ru/manuals/185905/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,полная дезинфекция,1.5 кВт,,
https://cdn.entero.ru/mp@2x/9a/96/9a96d569cd524ee245fcedd1263b6f77.jpg,Модуль гигиены Азимут МГД-001,Модуль гигиены Азимут МГД-001,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157121,157121,двухпоточный,220 В,1410 мм,1800 мм,1375 мм,0,https://entero.ru/manuals/185913/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,полная дезинфекция,1.7 кВт,,
https://cdn.entero.ru/mp@2x/6a/76/6a76df5af1a2b597da1e2f3ce0e71515.jpg,Модуль гигиены Азимут МГД-002 DV,Модуль гигиены Азимут МГД-002 DV,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157122,157122,двухпоточный,380 В,2363 мм,1800 мм,1518 мм,0,https://entero.ru/manuals/185914/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,полная дезинфекция,3.9 кВт,,
https://cdn.entero.ru/mp@2x/ba/e9/bae9af566d1273dfc83337333f463caa.jpg,Санпропускник Азимут НМГ-002,Санпропускник Азимут НМГ-002,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157126,157126,навесной,220 В,830 мм,830 мм,340 мм,0,https://entero.ru/manuals/185918/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,дезинфекция рук,0.25 кВт,,
https://cdn.entero.ru/mp@2x/8e/9d/8e9d547964b1e314410530fcddf0a34d.jpg,Санпропускник Азимут ПМГ-002 DV,Санпропускник Азимут ПМГ-002 DV,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157157,157157,проходной,220 В,1717 мм,866 мм,1228 мм,0,https://entero.ru/manuals/185926/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,дезинфекция рук,0.35 кВт,,
https://cdn.entero.ru/mp@2x/c6/31/c63185a774b537be260b89548499035f.jpg,Санпропускник Азимут ПМГ-003,Санпропускник Азимут ПМГ-003,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157160,157160,проходной,220 В,1400 мм,870 мм,1260 мм,0,https://entero.ru/manuals/185932/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,дезинфекция рук,0.25 кВт,,
https://cdn.entero.ru/mp@2x/1a/03/1a034e044e058ab6625d07f8c882370e.jpg,Санпропускник Азимут ПМГ-001,Санпропускник Азимут ПМГ-001,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157165,157165,проходной,220 В,1415 мм,865 мм,1260 мм,0,https://entero.ru/manuals/185943/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,дезинфекция рук,0.25 кВт,,
https://cdn.entero.ru/mp@2x/25/69/256939611615559125e599984114b82f.jpg,Санпропускник Азимут БМГ-004,Санпропускник Азимут БМГ-004,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/156860,156860,бестурникетный,380 В,1530 мм,1400 мм,1300 мм,0,https://entero.ru/manuals/185809/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,дезинфекция ног,0.45 кВт,,
https://cdn.entero.ru/mp@2x/c8/3e/c83ea71cbd082b6c1668e3fbb0432969.jpg;https://cdn.entero.ru/mp@2x/47/1c/471c8e480c51b59d5c00fdeb20ab7263.jpg,Санпропускник Азимут БМГ-005,Санпропускник Азимут БМГ-005,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/156863,156863,бестурникетный,380 В,1530 мм,1400 мм,1300 мм,0,https://entero.ru/manuals/185810/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,дезинфекция ног,0.45 кВт,,
https://cdn.entero.ru/mp@2x/e6/86/e6864d993306375a4da0fdf91fa8d7b9.jpg,Санпропускник Азимут ДМГ-002,Санпропускник Азимут ДМГ-002,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/156872,156872,двусторонний,380 В,1800 мм,1700 мм,1540 мм,0,https://entero.ru/manuals/185813/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,полная дезинфекция,,,
https://cdn.entero.ru/mp@2x/5b/5b/5b5b20f7548980d98a45a28a5086245f.jpg,Санпропускник Азимут ДМГ-003,Санпропускник Азимут ДМГ-003,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/156877,156877,двусторонний,,2150 мм,1700 мм,1480 мм,0,https://entero.ru/manuals/185816/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,полная дезинфекция,0.35 кВт,,
https://cdn.entero.ru/mp@2x/fd/b2/fdb2175820d47aea0d4b15945376051b.jpg,Санпропускник Азимут ДМГ-004,Санпропускник Азимут ДМГ-004,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157071,157071,двусторонний,380 В,1800 мм,1700 мм,1540 мм,0,https://entero.ru/manuals/185886/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,полная дезинфекция,0.7 кВт,,
https://cdn.entero.ru/mp@2x/fe/a3/fea3720ddee9106cde89ab52ce6e5e82.jpg,Санпропускник Азимут ДМГ-006,Санпропускник Азимут ДМГ-006,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157105,157105,двусторонний,380 В,2300 мм,1700 мм,1540 мм,0,https://entero.ru/manuals/185911/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,полная дезинфекция,1.7 кВт,,
https://cdn.entero.ru/mp@2x/67/de/67de969b8d43f25d07670f4755b8758b.jpg,Санпропускник Азимут ДМГ-009,Санпропускник Азимут ДМГ-009,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157116,157116,двусторонний,380 В,2164 мм,1712 мм,1519 мм,0,https://entero.ru/manuals/185912/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,полная дезинфекция,1.7 кВт,,
https://cdn.entero.ru/mp@2x/60/c0/60c0487eb2b219c5fdcbc80898b73fa5.jpg,Санпропускник Азимут ПМГ-002,Санпропускник Азимут ПМГ-002,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157132,157132,проходной,220 В,2060 мм,865 мм,1260 мм,0,https://entero.ru/manuals/185922/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,дезинфекция рук,0.35 кВт,,
https://cdn.entero.ru/mp@2x/8f/98/8f9840b1ab73c2ba4fa752df9f784859.jpg,Санпропускник Азимут ПМГ-004,Санпропускник Азимут ПМГ-004,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157163,157163,проходной,220 В,800 мм,340 мм,1260 мм,0,https://entero.ru/manuals/185937/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,,,дезинфекция рук,0.25 кВт,,
https://cdn.entero.ru/mp@2x/8f/09/8f09cdaa7a07f7f5ec0b0360dc2215f8.jpg,Рамка дезинфекции Азимут РД-001,Рамка дезинфекции Азимут РД-001,258553,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157168,157168,,220 В,700 мм,1304 мм,2147 мм,0,https://entero.ru/manuals/185948/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%93%D0%9A%20%D0%90%D0%B7%D0%B8%D0%BC%D1%83%D1%82.pdf,269326,,,,,
https://cdn.entero.ru/mp@2x/f8/7d/f87d29e138eceef69a8cf7a3180c161e.jpg,Станция гигиены обуви FELETI SNP-3/300,C2082,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157972,157972,"бестурникетный, проходной",380 В,1550 мм,1230 мм,1350 мм,0,,,232 кг,дезинфекция ног,1.5 кВт,,
https://cdn.entero.ru/mp@2x/74/a3/74a300b9413b9d4d3f65c1bcc03d06e1.jpg,Станция гигиены обуви FELETI SNP-1,C2080,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157962,157962,"бестурникетный, проходной",220 В,1100 мм,800 мм,1150 мм,0,,,63 кг,дезинфекция ног,0.5 кВт,,
https://cdn.entero.ru/mp@2x/43/07/430795b16fe190edd45e77d42c1143ec.jpg,Станция гигиены рук FELETI SRN-3,C2078,0,RUB,Нет,Профоборудование,Оборудование для дезинфекции и очистки,Санпропускники,https://entero.ru/item/157959,157959,навесной,220 В,1300 мм,970 мм,870 мм,0,,,47 кг,дезинфекция рук,0.2 кВт,Да,от 6 до 8 чел/мин.
