Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Вес,Страна производства,Остаток,Файлы,Старая цена,Объем,Спиртовой,Бактерицидная эффективность,Вес с упаковкой
https://cdn.entero.ru/mp@2x/7b/03/7b0318278a7b180b2a7172608d4099ba.jpg,"Средство моюще-дезинфицирующее Merida CHLORE-ACTIVE 4 В 1 MCA5, 5 л",MCA5,936,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Средства дезинфекции,https://entero.ru/item/172402,"<p>Моюще-дезинфицирующее средство<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/172402""><b class=""b""> Merida CHLORE-ACTIVE 4 В 1 MCA1 </b></a>используется для гигиенической обработки и дезинфекции поверхностей в медицинских и образовательных учреждениях, транспорте, гостиницах, кинотеатрах, на предприятиях общественного питания и других местах массового пребывания. Средство поставляется в пластиковой емкости с ручкой.</p>

<p>Минимальный заказ 4 единицы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Экономичный гелеобразный концентрат с ароматом лимона</li>
<li>Высокая биоцидная активность в отношении бактерий и вирусов</li>
<li>Долгий антисептичекий эффект</li>
<li>Удаление ржавчины и известкового налета</li>
<li>Чистка сантехнической керамики </li>
<li>Основное действующее вещество: гипохлорид натрия</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Дозировка: от 6 мл на 1 л воды</li>
</ul>",172402,жидкость для дезинфекции,,,0,https://entero.ru/manuals/198838/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Merida%202021.pdf;https://entero.ru/manuals/198840/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20Merida%20CHLORE-ACTIVE%204%20%D0%92%201%20MCA5.pdf,1337,5 л,,,
https://cdn.entero.ru/mp@2x/c8/0c/c80c7fa3e3562f7bdd4a380e6d22a4d3.jpg,"Антисептик для кожи Дезснаб-Трейд Дезактив Гель туба 0,05 л","Антисептик для кожи Дезснаб-Трейд Дезактив Гель туба 0,05 л",99,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Средства дезинфекции,https://entero.ru/item/207295,"<p>Антисептик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/207295""><b class=""b"">Дезснаб-Трейд Дезактив Гель</b></a> используется совместно с дезинфекторами для рук в лечебно-профилактических и образовательных учреждениях, на предприятиях общественного питания и торговли, в производственных цехах, торговых центрах, салонах красоты и отелях, а также для индивидуальной обработки рук и ступней ног. Модель оснащена дозатором. Средство обладает антибактериальной активностью в отношении грамположительных и грамотрицательных бактерий (включая микобактерии туберкулеза), эффективно при инфекциях, вирулицидной активностью, фунгицидной активностью в отношении грибов рода Кандида и дерматофитов, плесеней.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав: изопропиловый спирт, н-пропиловый спирт, добавки, смягчающие и увлажняющие компоненты для кожи рук (гиалуронат натрия)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Срок годности: 5 лет</li>
</ul>

<p> </p>",207295,"жидкость для дезинфекции, антибактериальный гель",,Россия,0,,,0.05 л,,,
https://cdn.entero.ru/mp@2x/90/0b/900b3442468f318c488ac0807d2a9286.jpg,"Антисептик для кожи Дезснаб-Трейд Дезактив Гель флакон 0,5 л","Антисептик для кожи Дезснаб-Трейд Дезактив Гель флакон 0,5 л",408,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Средства дезинфекции,https://entero.ru/item/207278,"<p>Антисептик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/207278""><b class=""b"">Дезснаб-Трейд Дезактив Гель</b></a> используется совместно с дезинфекторами для рук в лечебно-профилактических и образовательных учреждениях, на предприятиях общественного питания и торговли, в производственных цехах, торговых центрах, салонах красоты и отелях, а также для индивидуальной обработки рук и ступней ног. Модель оснащена дозатором. Средство обладает антибактериальной активностью в отношении грамположительных и грамотрицательных бактерий (включая микобактерии туберкулеза), эффективно при инфекциях, вирулицидной активностью, фунгицидной активностью в отношении грибов рода Кандида и дерматофитов, плесеней.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав: изопропиловый спирт, н-пропиловый спирт, добавки, смягчающие и увлажняющие компоненты для кожи рук (гиалуронат натрия)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Срок годности: 5 лет</li>
</ul>

<p> </p>",207278,"жидкость для дезинфекции, антибактериальный гель",,Россия,0,,551,0.5 л,,,
https://cdn.entero.ru/mp@2x/b5/a2/b5a2f7e0e60c615c6cdbe8f84920c83f.jpg,"Средство моюще-дезинфицирующее Merida РЕМЕДИН СПРЕЙ ЛАЙТ MK514, 5 л",MK514,1600,RUB,Да,,Профоборудование,Оборудование для дезинфекции и очистки,Средства дезинфекции,https://entero.ru/item/172406,"<p>Моюще-дезинфицирующее средство<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/172406""><b class=""b""> Merida РЕМЕДИН СПРЕЙ ЛАЙТ MK514 </b></a>используется для гигиенической обработки и дезинфекции поверхностей в медицинских и образовательных учреждениях, транспорте, гостиницах, кинотеатрах, на предприятиях общественного питания и других местах массового пребывания. Средство поставляется в пластиковой емкости.</p>

<p>Минимальный заказ 2 единицы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Высокая биоцидная активность в отношении бактерий, вирусов и патогенных грибков</li>
<li>Долгий антисептичекий эффект</li>
<li>Увлажняющие кожу компоненты</li>
<li>Гипоаллергенный состав</li>
<li>Отсутствие красителей</li>
<li>Короткое время экспозиции</li>
</ul>

<p> </p>",172406,антисептический спрей,,,0,https://entero.ru/manuals/198845/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Merida%202021.pdf,,5 л,,,
https://cdn.entero.ru/mp@2x/8d/f8/8df894ef489d79d593222c657d74147c.jpg,Жидкое мыло с антибактериальным эффектом RatioDem P20,201801,0,RUB,Нет,,Профоборудование,Оборудование для дезинфекции и очистки,Средства дезинфекции,https://entero.ru/item/130866,"<p>Жидкое мыло с антибактериальным эффектом<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130866"">RatioDem P20</a></b> используется в медицинских учреждениях, на предприятиях общественного питания и торговли, в салонах красоты, в школьных учреждениях и домах престарелых, в производственных цехах, торговых центрах и отелях для гигиенической обработки рук персонала.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав:
<ul>
<li>анионные ПАВ</li>
<li>неионные ПАВ</li>
<li>ланолин</li>
<li>умягчители</li>
<li>противовоспалительные добавки</li>
</ul>
</li>
<li>Не раздражает и не сушит кожу рук</li>
<li>Бактерицидное воздействие</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 5 л</li>
<li>pH 1% р-ра в дист. воде: от 6 до 6,5</li>
<li>Минимальное разовое количество для обработки рук: 10 мл</li>
</ul>",130866,жидкое мыло,,,0,https://entero.ru/manuals/146593/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D1%81%D1%80%D0%B5%D0%B4%D1%81%D1%82%D0%B2%20Radiotem.pptx,,5 л,,,
https://cdn.entero.ru/mp@2x/6c/f2/6cf2f795b27319f649b9641fbf94b417.jpg,"Салфетки дезинфицирующие ТехноМед ТехноСепт, банка, 90 шт","Салфетки дезинфицирующие ТехноМед ТехноСепт, банка, 90 шт",0,RUB,Нет,,Профоборудование,Оборудование для дезинфекции и очистки,Средства дезинфекции,https://entero.ru/item/213043,"<p>Дезинфицирующие салфетки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/213043""><b class=""b"">ТехноМед ТехноСепт, банка, 90 шт</b></a> используются в медицинских и лечебно-профилактических организациях любого профиля, аптеках, в учреждениях социальной сферы, образования, культуры, спорта, отдыха, на предприятиях общественного питания и торговли, в парикмахерских, салонах красоты и в быту для очистки и экспресс-дезинфекции небольших по площади поверхностей, а также для санитарной обработки рук и ступней ног. Обладают пролонгированным антимикробным эффектом. Салфетки изготовлены из спанлейса.</p>

<p><b class=""o""><span style=""color:#FF0000;"">Минимальный размер заказа - 16 банок, цена указана за 1 шт.</span></b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав:
<ul>
<li>0,2% - алкилдиметилбензиламмоний хлорид (АДБАХ)</li>
<li>70% - изопропиловый спирт (пропанол-2)</li>
<li>Компоненты, улучающие состояние кожи</li>
<li>Вспомогательные компоненты</li>
</ul>
</li>
<li>Антимикробная активность в отношении:
<ul>
<li>Грамотрицательных и грамположительных бактерий, в том числе в отношении возбудителей кишечных инфекций, микобактериозов, туберкулеза – тестировано на Mycobacterium terrae,а также возбудителей ВБИ</li>
<li>Вирусов, в том числе полиомиелита, энтеральных и парентеральных гепатитов, ВИЧ-инфекции, аденовирусов, энтеровирусов, ротавирусов, риновирусов, различных вирусов гриппа, парагриппа, вируса кори, «атипичной пневмонии», герпеса, цитомегаловирусной инфекции, возбудителей ОРВИ</li>
<li>Патогенных грибов, в том числе возбудителей кандидоза и трихофитии, плесневых грибов</li>
<li>Возбудителей особо опасных инфекций</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер салфетки: 125х170 мм</li>
<li>Срок хранения: 6 лет</li>
</ul>",213043,антибактериальные салфетки,,Россия,0,,,,Да,,
https://cdn.entero.ru/mp@2x/b6/eb/b6eb596384985750ac80e6269a4532c6.jpg,Антисептик кожный HARTMANN Кутасепт Ф,5159,0,RUB,Нет,,Профоборудование,Оборудование для дезинфекции и очистки,Средства дезинфекции,https://entero.ru/item/125435,"<p>Кожный антисептик<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125435"">HARTMANN Кутасепт Ф</a></b> используется в медицинских учреждениях, на предприятиях общественного питания и торговли, в салонах красоты, в школьных учреждениях и домах престарелых, в производственных цехах, торговых центрах и отелях для гигиенической обработки рук. Средство оказывает эффективное противомикробное действие на грамположительные (включая микобактерии туберкулеза) и грамоотрицательные бактерии, вирусы-патогены человека, в том числе вирусы гепатита B и ВИЧ, роторовирусы, а также грибы Кандида.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав:
<ul>
<li>63% пропанол-2</li>
<li>0,025% бензалкония хлорид (ЧАС)</li>
<li>Вода</li>
</ul>
</li>
<li>Пролонгированное антимикробное действие </li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 1 л</li>
<li>Минимальное время нанесения: 30 сек.</li>
<li>Рекомендуемое количество для 1 обработки: 3 мл</li>
</ul>",125435,жидкость для дезинфекции,,Германия,0,,,1 л,,,
https://cdn.entero.ru/mp@2x/63/a3/63a3337a017fb3cdbef83aca6c642243.jpg,"Антисептик кожный ТехноМед ТехноСепт, 5 л","Антисептик кожный ТехноМед ТехноСепт, 5 л",0,RUB,Нет,,Профоборудование,Оборудование для дезинфекции и очистки,Средства дезинфекции,https://entero.ru/item/212663,"<p>Кожный антисептик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/212663""><b class=""b"">ТехноМед ТехноСепт, 5 л</b></a> используется в лечебно-профилактических учреждениях любого профиля, в детских дошкольных и школьных учреждениях, на предприятиях общественного питания, в учреждениях социального обеспечения и в быту для антисептической и санитарной обработки кожных покровов, а также для очистки и экспресс-дезинфекции поверхностей приборов и аппаратов, телефонов, комплектующих устройств компьютера, датчиков диагностического оборудования, предметов обстановки и ухода за больными. Средство поставляется в бутылке без дозатора.</p>

<p><span style=""color:#FF0000;"">Минимальный размер заказа - 3 штуки, цена указана за 1 шт.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав:
<ul>
<li>0,2% алкилдиметилбензиламмоний хлорид (АДБАХ)</li>
<li>70% изопропиловый спирт (пропанол-2)</li>
<li>Комоненты, улучшающие состояние кожи</li>
<li>Вспомогательные компоненты</li>
</ul>
</li>
<li>Обладает пролонгированным антимикробным эффектом</li>
<li>Антимикробная активность в отношении:
<ul>
<li>Грамотрицательных и грамположительных бактерий (в т.ч. в отношении возбудителей кишечных инфекций, микобактериозов, туберкулеза – тестировано на Mycobacterium terrae,а также возбудителей ВБИ)</li>
<li>Вирусов (полиомиелита, энтеральных и парентеральных гепатитов, ВИЧ-инфекции, аденовирусов, энтеровирусов, ротавирусов, риновирусов, различных вирусов гриппа, парагриппа, вируса кори, «атипичной пневмонии», герпеса, цитомегаловирусной инфекции, возбудителей ОРВИ)</li>
<li>Патогенных грибов (возбудителей кандидоза и трихофитии, плесневых грибов)</li>
<li>Возбудителей особо опасных инфекций</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Срок хранения: 6 лет</li>
</ul>",212663,жидкость для дезинфекции,,Россия,0,,,5 л,Да,,
https://cdn.entero.ru/mp@2x/bc/f6/bcf6cfbb68e5ed15529ad4ca840f1532.jpg,Антисептик спиртовой BVC 00347 20 л,Антисептик спиртовой BVC 00347 20 л,0,RUB,Нет,BVC,Профоборудование,Оборудование для дезинфекции и очистки,Средства дезинфекции,https://entero.ru/item/128945,"<p>Спиртовой антисептик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128945""><b class=""b"">BVC 00347</b></a> используется для обработки и дезинфекции кожи рук, а также для ля гигиенической обработки поверхностей. Средство убивает 99,9% бактерий и вирусов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав: спирт изопропиловый (70%), вода дистиллированная, глицерин, перекись водорода, алкилдиметилбензил аммония хлорид (АДБАХ) 0,2%, ароматизатор, функциональные добавки</li>
<li>Жидкая консистенция</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 20 л</li>
<li>Срок годности: 5 лет</li>
</ul>",128945,жидкость для дезинфекции,,Китай,0,,,20 л,Да,99.9 %,
https://cdn.entero.ru/mp@2x/23/1d/231d1285532f5576afa9b106ee68bf3a.jpg,Антисептик спиртовой BVC 00358 30 мл,Антисептик спиртовой BVC 00358 30 мл,0,RUB,Нет,BVC,Профоборудование,Оборудование для дезинфекции и очистки,Средства дезинфекции,https://entero.ru/item/128955,"<p>Спиртовой антисептик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128955""><b class=""b"">BVC 00358</b></a> используется для обработки и дезинфекции кожи рук, а также для ля гигиенической обработки поверхностей. Средство убивает 99,9% бактерий и вирусов.</p>

<p><span style=""color:#FF0000;"">Минимальный размер заказа - 386 шт., цена указана за 1 шт.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Состав: спирт изопропиловый (65%), вода дистиллированная, глицерин, загуститель, ароматизатор, функциональные добавки</li>
<li>Гелеобразная консистенция</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 30 мл</li>
<li>Срок годности: 5 лет</li>
<li>Вес с упаковкой: 10 кг</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичный антисептик другого объема.</span></em></p>",128955,антибактериальный гель,,Китай,0,,,0.03 л,Да,99.9 %,10 кг
