Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Вместимость ножей
https://cdn.entero.ru/mp@2x/c6/ba/c6ba5afe84e6e0b6b9f827f17aa0c0ed.jpg;https://cdn.entero.ru/mp@2x/73/b3/73b310d0e3e4f08498598d4c9dc771dd.jpg,Стерилизатор для ножей ATESY СТУ-1-18-02,Стерилизатор для ножей ATESY СТУ-1-18-02,26364,RUB,Да,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для ножей,https://entero.ru/item/106209,"<p>Стерилизатор<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/106209"">ATESY СТУ-1-18-02</a> </b>предназначен для обеззараживания ножей и других инструментов на предприятиях общественного питания и торговли. Модель оснащена бактерицидными лампами низкого давления, таймером и замком для сохранности ножей. Корпус выполнен из нержавеющей стали AISI430, дверь - из тонированного стекла, держатель - из нержавеющей стали, колба - из увиолевого стекла.</p>

<p>В комплект поставки входят нержавеющая решетка-держатель, обеспечивающая размещение в стерилизаторе помимо ножей любого другого металлического кухонного инструмента, и магнитный держатель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ртутная лампа низкого давления ДРБ 8-1</li>
<li>Обеззараживание происходит за счет воздействия ультрафиолетовых лучей</li>
<li>Устройство автоматического отключения работы лампы при открывании двери</li>
<li>Для крепления к стене</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность бактерицидного потока лампы: 0,00016 кВт</li>
<li>Средний срок службы лампы: 5000 часов</li>
<li>Таймер: до 60 мин.</li>
</ul>",106209,ультрафиолетовый,220 В,0.08 кВт,465 мм,145 мм,605 мм,25 кг,Россия,1,540x630x170 мм,12,https://entero.ru/manuals/97212/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A1%D0%A2%D0%A3-1-18-02.pdf;https://entero.ru/manuals/97213/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/97214/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/280017/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239230&hd=2&autoplay=0,24 кг,18 шт.
https://cdn.entero.ru/mp@2x/4f/47/4f47994ddc1e4b56dff1c16fe9a6d5ed.jpg;https://cdn.entero.ru/mp@2x/83/f5/83f5e162a5d83fe6c6fe05fe3e73ce32.jpg,Стерилизатор для ножей Abat СТН-18,41000000004,20900,RUB,Да,Abat,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для ножей,https://entero.ru/item/118398,"<p>Стерилизатор для ножей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/118398"">Abat СТН-18</a></b> используется для обеззараживания и дезинфекции ножей и другого кухонного инвентаря на предприятиях общественного питания и торговли. Модель оснащена ультрафиолетовой безозоновой лампой низкого давления и дверцей с тонированным защитным стеклом и механическим замком. Корпус и держатель выполнены из нержавеющей стали, колба лампы - из увиолевого стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Световые индикаторы включения и работы</li>
<li>Звуковая индикация при завершении процесса стерилизации</li>
<li>Автоматическое отключение процесса стерилизации при открывании двери</li>
<li>Съемный держатель ножей</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Таймер: от 10 до 60 мин.</li>
<li>Бактерицидный поток лампы: 0,0021 кВт</li>
<li>Средний срок службы лампы: 8000 ч</li>
</ul>",118398,ультрафиолетовый,220 В,0.03 кВт,400 мм,152 мм,605 мм,9 кг,Россия,1,610x155x430 мм,39,https://entero.ru/manuals/120558/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%A1%D0%A2%D0%9D-18.pdf;https://entero.ru/manuals/120559/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,8.5 кг,18 шт.
https://cdn.entero.ru/mp@2x/1a/b1/1ab10b581da41c5ae04eaad16eadb055.jpg,Стерилизатор для ножей Airhot KS-10,Стерилизатор для ножей Airhot KS-10,14942,RUB,Да,Airhot,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для ножей,https://entero.ru/item/93953,"<p>Стерилизатор для ножей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93953"">Airhot KS-10</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена ультрафиолетовой обработкой, которая не разрушает структуру материала и препятствует распространению микроорганизмов, и таймером на 60 минут. Корпус выполнен из нержавеющей стали.</p>",93953,ультрафиолетовый,220 В,0.008 кВт,400 мм,135 мм,600 мм,,Китай,,,0,https://entero.ru/manuals/96237/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20KS-10.pdf;https://entero.ru/manuals/359617/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,,10 шт.
https://cdn.entero.ru/mp@2x/3f/d9/3fd98f791f791e745820c0c404857eed.jpg;https://cdn.entero.ru/mp@2x/c4/e7/c4e74a73196ac6225445c77390bceef6.jpg,Стерилизатор для ножей Hurakan HKN-UVA10,163139,15270,RUB,Да,Hurakan,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для ножей,https://entero.ru/item/88182,"<p>Стерилизатор для ножей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88182"">Hurakan HKN-UVA10</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена таймером, УФ-лампой и съемным держателем для ножей.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Время стерилизации: 30 cек.</li>
</ul>",88182,ультрафиолетовый,220 В,0.06 кВт,420 мм,210 мм,590 мм,7 кг,Китай,1,460x500x630 мм,152,https://entero.ru/manuals/414892/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-UVA10.pdf;https://entero.ru/manuals/414893/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454555/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-UVA10.pdf,16419,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241014&hash=35215e00804ad459,6 кг,10 шт.
https://cdn.entero.ru/mp@2x/92/4e/924eab38c965135cf785abf6245babc0.jpg,Стерилизатор для ножей ATESY СТУ-1-18-02-1,Стерилизатор для ножей ATESY СТУ-1-18-02-1,20562,RUB,Да,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для ножей,https://entero.ru/item/125278,"<p>Стерилизатор<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125278"">ATESY СТУ-1-18-02-1</a> </b>предназначен для обеззараживания ножей и других инструментов на предприятиях общественного питания и торговли. Модель оснащена бактерицидными лампами низкого давления, таймером с 0 до 60 мин. и замком для сохранности ножей. Корпус выполнен из нержавеющей стали AISI430, дверь - из тонированного стекла, держатель - из нержавеющей стали, колба - из увиолевого стекла.</p>

<p>В комплект поставки входит нержавеющая решетка-держатель, обеспечивающая размещение в стерилизаторе помимо ножей любого другого металлического кухонного инструмента.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Единовременная дезинфикация 18 поварских ножей и различных инструментов</li>
<li>Ртутная лампа низкого давления ДРБ 8-1</li>
<li>Обеззараживание происходит за счет воздействия ультрафиолетовых лучей</li>
<li>Устройство автоматического отключения работы лампы при открывании двери</li>
<li>Для крепления к стене</li>
<li>Усиленные петли двери</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальный размер ножа:
<ul>
<li>Длина ручки: 140 мм</li>
<li>Длина лезвия: 280 мм</li>
</ul>
</li>
<li>Ширина ячейки: 9 мм</li>
<li>Мощность бактерицидного потока лампы: 0,00016 кВт</li>
<li>Средний срок службы лампы: 5000 часов</li>
<li>Таймер: до 60 мин.</li>
</ul>",125278,ультрафиолетовый,220 В,0.008 кВт,465 мм,145 мм,605 мм,25 кг,Россия,1,540x630x170 мм,0,https://entero.ru/manuals/134875/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A1%D0%A2%D0%A3-1-18-02-1.pdf;https://entero.ru/manuals/134876/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/134877/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/280020/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239230&hd=2&autoplay=0,24 кг,18 шт.
https://cdn.entero.ru/mp@2x/83/99/8399a0b472ab08c035ac96784e5545b3.jpg;https://cdn.entero.ru/mp@2x/e6/c2/e6c2d7154d964031150caefb00497f9b.jpg,Стерилизатор для ножей ITERMA СТН-18,Стерилизатор для ножей ITERMA СТН-18,24835,RUB,Да,ITERMA,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для ножей,https://entero.ru/item/71103,"<p>Стерилизатор для ножей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71103"">ITERMA СТН-18</a></b> используется для обеззараживания и дезинфекции различного кухонного инвентаря на предприятиях общественного питания и торговли. Модель оснащена ультрафиолетовой лампой и дверцей с тонированным защитным стеклом. Конструктивные элементы стерилизатора выполнены из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защитный микровыключатель в дверце</li>
<li>Защитная решетка УФ-лампы</li>
<li>Съемный держатель ножей</li>
<li>Таймер на максимальное время обработки - 60 мин.</li>
</ul>

<p><b>Характеристики</b></p>

<ul>
<li>Диапазон длин волн УФ-излучения: от 205 до 315 нм</li>
</ul>",71103,ультрафиолетовый,220 В,0.08 кВт,400 мм,152 мм,605 мм,,Россия,,,0,https://entero.ru/manuals/84047/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,,,8 кг,18 шт.
https://cdn.entero.ru/mp@2x/61/e6/61e69808bcf19d737d5d315fe732620a.jpg;https://cdn.entero.ru/mp@2x/5c/93/5c93448c7de141f457b12f0078a420bc.jpg,Стерилизатор для ножей ПищТех СДН-20,Стерилизатор для ножей ПищТех СДН-20,16691,RUB,Да,ПищТех,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для ножей,https://entero.ru/item/327443,"<p>Стерилизатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/327443"">ПищТех СДН-20</a> </b>используется на предприятиях общественного питания и торговли для обеззараживания ножей и других кухонных инструментов. Обработка осуществляется с помощью ультрафиолетового света в соответствии с требованиями СЭС. Модель оснащена безозоновой лампой низкого давления и дверью с замком. Корпус и дверь выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Таймер</li>
<li>Автоматическое отключение лампы при открывании двери</li>
<li>Решетка для защиты лампы от механических повреждений</li>
<li>Настенное размещение</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество ламп: 1</li>
<li>Время облучения: от 10 до 120 мин.</li>
<li>Длина волны: 253,7 нм</li>
<li>Срок службы ламп: 8000 часов</li>
</ul>",327443,ультрафиолетовый,220 В,0.015 кВт,510 мм,160 мм,600 мм,,Россия,,,0,https://entero.ru/manuals/421892/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20%D0%A1%D0%94%D0%9D-20.pdf;https://entero.ru/manuals/398027/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20%D0%A1%D0%94%D0%9D-20.pdf;https://entero.ru/manuals/421893/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,17756,,8 кг,20 шт.
https://cdn.entero.ru/mp@2x/dd/74/dd747391ee3a35c69824d665167c2b56.jpg,Стерилизатор для ножей ATESY СТУ-2-36-02,Стерилизатор для ножей ATESY СТУ-2-36-02,36409,RUB,Да,ATESY,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для ножей,https://entero.ru/item/106210,"<p>Стерилизатор<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/106210"">ATESY СТУ-2-36-02</a> </b>предназначен для обеззараживания ножей и других инструментов на предприятиях общественного питания и торговли. Модель оснащена бактерицидными лампами низкого давления, таймером и замком для сохранности ножей. Корпус выполнен из нержавеющей стали AISI430, дверь - из тонированного стекла, держатель - из нержавеющей стали, колба - из увиолевого стекла.</p>

<p>В комплект поставки входят нержавеющая решетка-держатель, обеспечивающая размещение в стерилизаторе помимо ножей любого другого металлического кухонного инструмента, и магнитный держатель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ртутная лампа низкого давления ДРБ 8-1</li>
<li>Обеззараживание происходит за счет воздействия ультрафиолетовых лучей</li>
<li>Устройство автоматического отключения работы лампы при открывании двери</li>
<li>Для крепления к стене</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность бактерицидного потока лампы: 0,00016 кВт</li>
<li>Средний срок службы лампы: 5000 часов</li>
<li>Таймер: до 60 мин.</li>
</ul>",106210,ультрафиолетовый,220 В,0.08 кВт,900 мм,145 мм,605 мм,33 кг,Россия,1,640x935x170 мм,0,https://entero.ru/manuals/97218/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A1%D0%A2%D0%A3-2-36-02.pdf;https://entero.ru/manuals/97216/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/97217/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/280019/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,39575,https://vk.com/video_ext.php?oid=-177656185&id=456239230&hd=2&autoplay=0,32 кг,36 шт.
https://cdn.entero.ru/mp@2x/6e/30/6e30b7a59c91a1d89396df433f377466.jpg;https://cdn.entero.ru/mp@2x/41/d0/41d019b93e15e1bff5f9caddb8a5eb5e.jpg;https://cdn.entero.ru/mp@2x/90/34/903476f7483e96a6bb0267ef85faf1f7.jpg,Стерилизатор для ножей Kocateq DH25KS,Стерилизатор для ножей Kocateq DH25KS,15772,RUB,Да,Kocateq,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для ножей,https://entero.ru/item/123470,"<p>Стерилизатор для ножей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123470"">Kocateq DH25KS</a> </b>используется на предприятиях общественного питания и торговли. Модель оснащена ультрафиолетовой обработкой, которая не разрушает структуру материала и препятствует распространению микроорганизмов, и таймером на 60 минут. Корпус выполнен из нержавеющей стали AISI 201 толщиной 0,8 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Крепление типа гребенка</li>
<li>УФ-лампа Philips мощностью 8 Вт</li>
<li>Отключение лампы при открывании двери</li>
<li>Световые индикаторы подключения к сети и работы аппарата</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальная ширина лезвия ножей: 30 мм</li>
<li>Габариты в упаковке: 460х200х640 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",123470,ультрафиолетовый,220 В,0.08 кВт,350 мм,125 мм,570 мм,,Ю. Корея,,,0,https://entero.ru/manuals/130748/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/280309/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20DH25KS.docx,16779,,,14 шт.
https://cdn.entero.ru/mp@2x/36/b2/36b2419be8605f9efeb5331ffcf7f8ed.jpg,Стерилизатор для ножей Apach AUV16,Стерилизатор для ножей Apach AUV16,41782,RUB,Да,Apach,Профоборудование,Оборудование для дезинфекции и очистки,Стерилизаторы для ножей,https://entero.ru/item/93623,"<p>Стерилизатор для ножей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93623"">Apach AUV16</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена электромеханическим управлением, держателем, который позволяет обеззараживать ножи с двух сторон без необходимости их поворачивать. Корпус выполнен из нержавеющей стали AISI 430, дверца и держатель ножей - из плексигласа.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество ламп: 2</li>
<li>Максимальная длина лезвия ножа: 310 мм</li>
<li>Таймер: от 0 до 120 мин.</li>
<li>Мощность:
<ul>
<li>Стерилизатор: 0,07 кВт</li>
<li>Лампы: 2х 0,08 кВт</li>
</ul>
</li>
<li>Габариты в упаковке: 470х250х700 мм</li>
</ul>",93623,ультрафиолетовый,220 В,,400 мм,140 мм,620 мм,,Италия,,,29,https://entero.ru/manuals/289848/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20AUV16.pdf;https://entero.ru/manuals/289849/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach.pdf,43981,,9 кг,15 шт.
