Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Установка,Объем,Вместимость,Потребляемая мощность,Гастроемкость
https://cdn.entero.ru/mp@2x/09/bb/09bb3fdc5c9faf334c8302a2c047b582.jpg,Витрина для мороженого UGUR UDR 7 SCE,Витрина для мороженого UGUR UDR 7 SCE,109632,RUB,Да,UGUR,Профоборудование,Оборудование для кафе-мороженого,Витрины для мороженого,https://entero.ru/item/121710,"<p>Витрина для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121710"">UGUR UDR 7 SCE</a></b> предназначен для демонстрации, охлаждения и долгосрочного хранения мягкого мороженого на предприятиях общественного питания и торговли. Модель оснащена 2 раздвижными створками и механическим термостатом. Створки выполнены из закаленного стекла.</p>

<p>В комплект поставки входят 7 емкостей для мороженого, замок с ключом, колеса со стопперами и скребок для чистки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическое охлаждение</li>
<li>Автоматическая оттайка</li>
<li>Хладагент: R404a</li>
<li>Климатический класс: 4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем:
<ul>
<li>Общий: 352 л</li>
<li>Полезный: 325 л</li>
</ul>
</li>
<li>Объем емкости для мороженого: 7х 4,8 л</li>
<li>Суточное энергопотребление: 4,9 кВт/ч</li>
<li>Размеры морозильной камеры: 1180x495x708 мм</li>
<li>Габариты в упаковке: 1400x750x1010 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Брендирование</li>
</ul>",121710,от -22 до -12 °С,220 В,1300 мм,615 мм,949 мм,,Турция,,,0,https://entero.ru/manuals/127090/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20UGUR%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/404618/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20UGUR%20UDR%207%20SCE.pdf,116630,,65 кг,напольная,352 л,7 шт.,0.3 кВт,
https://cdn.entero.ru/mp@2x/b0/20/b020956f8e922e1443b37b2c14b81eef.jpg,Витрина для мороженого UGUR UDR 5 SCE,Витрина для мороженого UGUR UDR 5 SCE,95826,RUB,Да,UGUR,Профоборудование,Оборудование для кафе-мороженого,Витрины для мороженого,https://entero.ru/item/121709,"<p>Витрина для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121709"">UGUR UDR 5 SCE</a></b> предназначен для демонстрации, охлаждения и долгосрочного хранения мягкого мороженого на предприятиях общественного питания и торговли. Модель оснащена 2 раздвижными створками и механическим термостатом. Створки выполнены из закаленного стекла.</p>

<p>В комплект поставки входят 5 емкостей для мороженого, замок с ключом, колеса со стопперами и скребок для чистки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическое охлаждение</li>
<li>Автоматическая оттайка</li>
<li>Хладагент: R404a</li>
<li>Климатический класс: 4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем:
<ul>
<li>Общий: 264 л</li>
<li>Полезный: 238 л</li>
</ul>
</li>
<li>Объем емкости для мороженого: 5х 4,8 л</li>
<li>Суточное энергопотребление: 2,9 кВт/ч</li>
<li>Размеры морозильной камеры: 890x495x708 мм</li>
<li>Габариты в упаковке: 1100x750x1010 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Брендирование</li>
</ul>",121709,от -22 до -12 °С,220 В,1010 мм,615 мм,949 мм,74 кг,Турция,1,1100x750x1010 мм,0,https://entero.ru/manuals/127089/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20UGUR%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,100869,,66 кг,напольная,264 л,5 шт.,0.22 кВт,
https://cdn.entero.ru/mp@2x/49/a0/49a0625f6d282fa9b6461172cd955771.jpg;https://cdn.entero.ru/mp@2x/7e/4b/7e4bfbe9fb720bc7c3dfd90ff16eb59e.jpg;https://cdn.entero.ru/mp@2x/fa/06/fa067873181258e677a9e3ccb6a54991.jpg;https://cdn.entero.ru/mp@2x/2f/91/2f91d2f3d42f370c3863a94335b66bb8.jpg,Витрина для мороженого Cooleq ID-8,Витрина для мороженого Cooleq ID-8,84884,RUB,Да,Cooleq,Профоборудование,Оборудование для кафе-мороженого,Витрины для мороженого,https://entero.ru/item/117618,"<p>Витрина для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117618"">Cooleq ID-8</a></b> используется на предприятиях общественного питания и торговли для демонстрации и хранения мороженого, сорбета и йогурт-мороженого. Модель оснащена регулятором температуры и стеклянной дверцей. Корпус выполнен из нержавеющей стали, крышка - из стекла.</p>

<p>В комплект поставки входят 8 гастроемкостей GN1/6-100 из нержавеющей стали с крышками.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Создает идеальные условия для сохранения качества и свежести мороженого</li>
<li>Имеет привлекательный дизайн</li>
<li>Позволяет показать широкий ассортимент продукции</li>
<li>Хладагент R290</li>
<li>Функция авторазморозки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 8х GN 1/6</li>
</ul>",117618,от -25 до -18 °С,220 В,805 мм,666 мм,356 мм,39 кг,Китай,1,900x730x430 мм,0,https://entero.ru/manuals/119198/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20ID-8.pdf;https://entero.ru/manuals/256352/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Cooleq%20ID-8.png;https://entero.ru/manuals/470760/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Cooleq%20ID-8.pdf;https://entero.ru/manuals/483016/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,88421,,35 кг,настольная,67 л,8 шт.,0.22 кВт,GN 1/6
https://cdn.entero.ru/mp@2x/bb/8f/bb8fe6750c6a94304770bdde31b075a7.jpg,Витрина для мороженого UGUR UDR 14 ANKA,Витрина для мороженого UGUR UDR 14 ANKA,376757,RUB,Да,UGUR,Профоборудование,Оборудование для кафе-мороженого,Витрины для мороженого,https://entero.ru/item/121711,"<p>Витрина для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121711"">UGUR UDR 14 ANKA</a></b> предназначен для демонстрации, охлаждения и долгосрочного хранения мягкого мороженого на предприятиях общественного питания и торговли. Модель оснащена 2 раздвижными створками и цифровым контроллером. Створки выполнены из закаленного стекла.</p>

<p>В комплект поставки входят 14 емкостей для мороженого 360х250</p>

<p><b>Особенности:</b></p>

<ul>
<li>Статическое охлаждение</li>
<li>Автоматическая оттайка</li>
<li>Хладагент: R404a</li>
<li>Климатический класс: 4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем:
<ul>
<li>Общий: 398 л</li>
<li>Полезный: 427 л</li>
</ul>
</li>
<li>Суточное энергопотребление: 6,4 кВт/ч</li>
<li>Размеры морозильной камеры: 1230x785x602 мм</li>
<li>Габариты в упаковке: 1475x1250x1290 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Брендирование</li>
</ul>",121711,от -22 до -12 °С,220 В,1390 мм,1115 мм,1210 мм,,Турция,,,0,https://entero.ru/manuals/127091/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20UGUR%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/351364/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,190 кг,напольная,427 л,14 шт.,1.25 кВт,360х165 мм
https://cdn.entero.ru/mp@2x/58/8c/588c20c15b5e0ba0ff7c8bd419cec361.jpg,"Витрина для мороженого Марихолодмаш Veneto VN-1,75","Veneto-VN-1,75 4.320.136",170112,RUB,Да,Марихолодмаш,Профоборудование,Оборудование для кафе-мороженого,Витрины для мороженого,https://entero.ru/item/124409,"<p>Витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124409"">Марихолодмаш Veneto VN-1,75</a></b> предназначена для демонстрации мороженого на предприятиях общественного питания и торговли. Моедль оснащена светодиодной подсветкой. Оборудование работает при температуре окружающей среды от 12 до 25 °С.</p>

<p>​<b>Особенности:</b></p>

<ul>
<li>Тип охлаждения: динамическое</li>
<li>Компрессор: Embraco</li>
<li>Контроллер: Carel, Evco, Danfoss</li>
<li>Способ оттаивания: ТЭН</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Полезный объем выкладки: 0,28 м<sup>3</sup></li>
<li>Энергопотребление: 18,7 кВт</li>
<li>Мощность оттаивания: 2,1 кВт</li>
<li>Номинальная мощность ламп: 0,028 кВт</li>
</ul>",124409,-20 °С,220 В,1750 мм,865 мм,1320 мм,310 кг,Россия,1,395x1005x1385 мм,0,,,,280 кг,напольная,280 л,,0.78 кВт,
https://cdn.entero.ru/mp@2x/6c/8b/6c8bdf2b850bef62b0a762949c74d65a.jpg;https://cdn.entero.ru/mp@2x/70/70/7070aa0eb3d72531188f5c0f2d7ca4a1.jpg,Витрина для мороженого Koreco RTD67L,RTD 67L,99774,RUB,Да,Koreco,Профоборудование,Оборудование для кафе-мороженого,Витрины для мороженого,https://entero.ru/item/76208,"<p>Витрина для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/76208"">Koreco RTD67L</a></b> используется на предприятиях общественного питания и торговли для демонстрации и хранения мороженого, сорбета и йогурт-мороженого. Корпус трапециевидного сечения, зауженный к низу, выполнен из нержавеющей стали, крышка - из стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Прямое статическое охлаждение</li>
<li>Автоматическая оттайка</li>
<li>Цифровой дисплей</li>
<li>Аналоговый выключатель On / Off</li>
<li>Крышка с доводчиком</li>
<li>Закругленные углы и дно ванны с дренажным отверстием облегчают процесс ухода</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Глубина гастроемкостей: 150 мм</li>
<li>Хладагент: R134a / R600a</li>
<li>Мощность: 0,14 кВт</li>
<li>Габариты в упаковке: 820х750х440 мм</li>
</ul>",76208,от -22 до -18 °С,220 В,765 мм,610 мм,320 мм,,Ю. Корея,,,0,https://entero.ru/manuals/109462/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Koreco.pdf;https://entero.ru/manuals/280316/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Koreco%20RTD67L.docx,,,,настольная,67 л,8 шт.,,GN 1/6
https://cdn.entero.ru/mp@2x/a8/43/a8435f2f98e92c0761d705902822a473.jpg,Витрина для мороженого EasyBest SAMOA 9,Витрина для мороженого EasyBest SAMOA 9,323390,RUB,Да,,Профоборудование,Оборудование для кафе-мороженого,Витрины для мороженого,https://entero.ru/item/320628,"<p>Витрина для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/320628"">EasyBest SAMOA 9</a></b> используется на предприятиях общественного питания и торговли для демонстрации и хранения мороженого и сорбета. Модель оснащена внутренней светодиодной подсветкой и 4 поворотными колесами. </p>

<p><b class=""o"">Гастроемкости в комплект поставки не входят и приобретаются отдельно.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Динамическое охлаждение</li>
<li>Автоматическая и ручная оттайка</li>
<li>Дополнительный объем для хранения резерва</li>
<li>Подъемная дверца со стороны персонала</li>
<li>Хладагент: R404а</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 9 емкостей по 5 л (360х165х120 мм) + 9 емкостей (запас)</li>
</ul>",320628,от -20 до -12 °С,220 В,1722 мм,670 мм,1315 мм,,Китай,,,0,,344032,,175 кг,напольная,,18 шт.,0.82 кВт,360х165 мм
https://cdn.entero.ru/mp@2x/99/6c/996cbdbf3eb1f2f5c9c44ebb35085897.jpg,Витрина для мороженого EasyBest SAMOA 7,Витрина для мороженого EasyBest SAMOA 7,329472,RUB,Да,,Профоборудование,Оборудование для кафе-мороженого,Витрины для мороженого,https://entero.ru/item/320627,"<p>Витрина для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/320627"">EasyBest SAMOA 7</a></b> используется на предприятиях общественного питания и торговли для демонстрации и хранения мороженого и сорбета. Модель оснащена внутренней светодиодной подсветкой и 4 поворотными колесами. </p>

<p><b class=""o"">Гастроемкости в комплект поставки не входят и приобретаются отдельно.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Динамическое охлаждение</li>
<li>Автоматическая и ручная оттайка</li>
<li>Дополнительный объем для хранения резерва</li>
<li>Подъемная дверца со стороны персонала</li>
<li>Хладагент: R404а</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 7 емкостей по 5 л (360х165х120 мм) + 7 емкостей (запас)</li>
</ul>",320627,от -20 до -12 °С,220 В,1370 мм,670 мм,1315 мм,,Китай,,,0,,358122,,135 кг,напольная,,14 шт.,0.72 кВт,360х165 мм
https://cdn.entero.ru/mp@2x/86/c5/86c5bdc49418d9fa9fef3605fe3950bf.jpg,Витрина для мороженого Hurakan HKN-ICS67,207075,86665,RUB,Да,Hurakan,Профоборудование,Оборудование для кафе-мороженого,Витрины для мороженого,https://entero.ru/item/123641,"<p>Витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123641"">Hurakan HKN-ICS67</a></b> предназначена для демонстрации, охлаждения и хранения мороженого на предприятиях общественного питания и торговли. Оборудование работает на хладагенте R600a.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер емкости: 335x140x115 мм</li>
<li>Объем емкости: 5 л</li>
<li>Мощность: 0,16 кВт</li>
<li>Габариты в упаковке: 880x715x420 мм</li>
</ul>",123641,от -25 до -18 °С,220 В,805 мм,666 мм,358 мм,33 кг,Китай,1,880x715x420 мм,0,https://entero.ru/manuals/416864/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-ICS67.pdf;https://entero.ru/manuals/416865/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-ICS67.pdf;https://entero.ru/manuals/370862/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416866/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,91226,,30 кг,настольная,67 л,4 шт.,,
https://cdn.entero.ru/mp@2x/be/a2/bea2f4d01100b9767a7ba9284fca7a35.jpg,Витрина для мороженого EasyBest SMART 8,Витрина для мороженого EasyBest SMART 8,320736,RUB,Да,,Профоборудование,Оборудование для кафе-мороженого,Витрины для мороженого,https://entero.ru/item/320626,"<p>Витрина для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/320626"">EasyBest SMART 8</a></b> используется на предприятиях общественного питания и торговли для демонстрации и хранения мороженого и сорбета. Модель оснащена внутренней светодиодной подсветкой и 4 поворотными колесами. </p>

<p><b class=""o"">Гастроемкости в комплект поставки не входят и приобретаются отдельно.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Динамическое охлаждение</li>
<li>Автоматическая и ручная оттайка</li>
<li>Дополнительный объем для хранения резерва</li>
<li>Подъемная дверца со стороны персонала</li>
<li>Хладагент: R404а</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 6 емкостей по 5 л (360х165х120 мм) + 6 емкостей (запас)</li>
</ul>",320626,от -20 до -12 °С,220 В,860 мм,827 мм,1315 мм,,Китай,,,0,,337617,,110 кг,напольная,,12 шт.,0.61 кВт,360х165 мм
