Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Количество емкостей,Общий объем,Потребляемая мощность,Способ установки,Помпа,Объем одной емкости,Ночное хранение
https://cdn.entero.ru/mp@2x/9a/a2/9aa211fbf14141f4ad2670b54662b8e2.jpg,Фризер для мороженого Cooleq IF-3,Фризер для мороженого Cooleq IF-3,152652,RUB,Да,Cooleq,Профоборудование,Оборудование для кафе-мороженого,Фризеры для мороженого,https://entero.ru/item/52311,"<p>Фризер для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/52311"">Cooleq IF-3</a></b> используется на предприятиях общественного питания и торговли для приготовления мороженого, сорбета и других холодных десертов. Модель оснащена панелью управления, 2 компрессорами (одним на бункер, вторым - на цилиндр) и счетчиком порций и работает с использованием жидкой смеси или сухого порошка. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит держатель для рожков.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 вкуса: 2 отдельных и 1 смешанный</li>
<li>Функция ночного охлаждения:
<ul>
<li>Загрузочный контейнер охлаждается (5-6°C).</li>
<li>Чистка загрузочного контейнера требуется реже</li>
<li>Экономия сырья для мороженого</li>
</ul>
</li>
<li>Регулировка твердости мороженого</li>
<li>Счетчик порций</li>
<li>Информативный дисплей</li>
<li>2 компрессора</li>
<li>Хладагент: R290</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность компрессоров: 0,9 + 0,18 кВт</li>
<li>Полезный объем бункера: 2х3.5 л</li>
<li>Общий объем бункера: 2х3.7 л</li>
<li>Макс. уровень шума: 32дБ</li>
<li>Максимальная температура окружающей среды: +30</li>
<li>Вес хладогента: 360+65 г</li>
</ul>",52311,для мягкого мороженого,220 В,2.2 кВт,540 мм,750 мм,850 мм,104 кг,Китай,1,580x740x760 мм,0,https://entero.ru/manuals/97584/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Cooleq%20IF-3.pdf;https://entero.ru/manuals/53413/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20IF-3.pdf;https://entero.ru/manuals/474523/%D0%A0%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D0%BD%D1%8B%D0%B9%20%D0%B1%D1%83%D0%BA%D0%BB%D0%B5%D1%82%20%D0%BD%D0%B0%20Cooleq%20IF-3.pdf;https://entero.ru/manuals/483112/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,164142,,97 кг,20 кг/ч,2,7 л,,настольный,,3.5 л,Да
https://cdn.entero.ru/mp@2x/f3/21/f3217dc2c799157326709355d0fb94af.jpg,Фризер для мороженого Cooleq IF-15,Фризер для мороженого Cooleq IF-15,23731,RUB,Да,Cooleq,Профоборудование,Оборудование для кафе-мороженого,Фризеры для мороженого,https://entero.ru/item/105198,"<p>Фризер для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105198"">Cooleq IF-15</a></b> используется на предприятиях общественного питания и торговли для приготовления мороженого, сорбета и других холодных десертов. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка твердости</li>
<li>
<p>Хладагент: R600a</p>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от -23 до -14 °C</li>
<li>Габариты в упаковке: 285x422x370 мм</li>
</ul>",105198,для твердого мороженого,220 В,0.15 кВт,241 мм,390 мм,323 мм,11 кг,Китай,1,285x422x370 мм,0,https://entero.ru/manuals/285714/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20IF-15.pdf;https://entero.ru/manuals/483015/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,9.6 кг,1 кг/ч,1,,,настольный,,1.5 л,
https://cdn.entero.ru/mp@2x/15/68/1568d7bb8dd55870d944cfe15f655dca.jpg;https://cdn.entero.ru/mp@2x/28/be/28be47aa503508ab46c109c21f93b904.jpg;https://cdn.entero.ru/mp@2x/e6/87/e687941b6bbbab131761dd5292bafcc9.jpg;https://cdn.entero.ru/mp@2x/ec/bd/ecbd889c657f9539d37749777b598673.jpg,Фризер для мягкого мороженого Waring WCIC20E,WRWCIC20E,57411,RUB,Да,Waring,Профоборудование,Оборудование для кафе-мороженого,Фризеры для мороженого,https://entero.ru/item/175957,"<p>Фризер для мягкого мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175957"">Waring WCIC20E</a> </b>используется на предприятиях общественного питания и торговли для приготовления мороженого и десертов на его основе. Модель оснащена сенсорным дисплеем удобным для чтения. Цилиндры и бункеры выполнены из нержавеющей стали.</p>

<p><b>Особенности</b>:</p>

<ul>
<li>Сенсорный дисплей</li>
<li>Прозрачная крышка</li>
<li>Функция «Keep Cool» поддерживает оптимальную температуру мороженого после завершения процесса</li>
<li>Встроенный компрессор не требует предварительного замораживания</li>
<li>Съемная чаша для удобной очистки</li>
</ul>

<p> </p>

<p> </p>",175957,для мягкого мороженого,220 В,1.8 кВт,424 мм,262 мм,284 мм,13.85 кг,США,1,500x370x320 мм,15,https://entero.ru/manuals/485892/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Waring%20WCIC20E.pdf;https://entero.ru/manuals/485893/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Waring%20WCIC20E.pdf;https://entero.ru/manuals/485894/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240613&hd=2&autoplay=0,12.4 кг,4 кг/ч,1,,,,,2 л,Да
https://cdn.entero.ru/mp@2x/42/b4/42b4f36fcae442c07b4974dd1e5bc0e6.jpg,Фризер для мороженого Cooleq IF-1,Фризер для мороженого Cooleq IF-1,118827,RUB,Да,Cooleq,Профоборудование,Оборудование для кафе-мороженого,Фризеры для мороженого,https://entero.ru/item/52310,"<p>Фризер для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/52310"">Cooleq IF-1</a></b> используется на предприятиях общественного питания и торговли для приготовления мороженого, сорбета и других холодных десертов. Модель оснащена панелью управления, 2 компрессорами и 1 рожком и работает с использованием жидкой смеси или сухого порошка. Корпус изготовлен из нержавеющей стали.</p>

<p><b>Особенности:​</b></p>

<ul>
<li>1 рожок (1 вкус)</li>
<li>Функция ночного охлаждения:
<ul>
<li>Загрузочный контейнер охлаждается (5-6°C).</li>
<li>Чистка загрузочного контейнера требуется реже</li>
<li>Экономия сырья для мороженого</li>
</ul>
</li>
<li>Регулировка твердости мороженого</li>
<li>Хладагент: R290</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность компрессоров: 0,69 + 0,18 кВт</li>
<li>Полезный объем бункера: 3.5 л</li>
<li>Общий объем бункера: 3.7 л</li>
<li>Температура: -18°C</li>
<li>Макс. уровень шума: 32дБ</li>
<li>Максимальная температура окружающей среды: +30</li>
</ul>",52310,для мягкого мороженого,220 В,1.5 кВт,440 мм,750 мм,850 мм,91 кг,Китай,1,510x740x900 мм,0,https://entero.ru/manuals/97583/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Cooleq%20IF-1.pdf;https://entero.ru/manuals/35826/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20IF-1.pdf;https://entero.ru/manuals/474517/%D0%A0%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D0%BD%D1%8B%D0%B9%20%D0%B1%D1%83%D0%BA%D0%BB%D0%B5%D1%82%20%D0%BD%D0%B0%20Cooleq%20IF-1.pdf;https://entero.ru/manuals/483111/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,126412,,83 кг,16 кг/ч,1,3.7 л,,настольный,,3.5 л,Да
https://cdn.entero.ru/mp@2x/f7/7e/f77eb45af8c8269b69ee8eda666323fe.jpg;https://cdn.entero.ru/mp@2x/ec/75/ec755e9797391895b99b694187ca6d4d.jpg;https://cdn.entero.ru/mp@2x/70/62/706235c84feb1a9fe7e8bb854b869b90.jpg;https://cdn.entero.ru/mp@2x/9d/67/9d67660f2af550893192a09f262ba60b.jpg;https://cdn.entero.ru/mp@2x/97/3a/973ac6ab70bbbdead413e2dc7f12a585.jpg;https://cdn.entero.ru/mp@2x/28/46/2846ef3c13f97a79a81701375c4c675e.jpg;https://cdn.entero.ru/mp@2x/dc/1b/dc1b6d79cb0101ede66e0906bcea97af.jpg;https://cdn.entero.ru/mp@2x/11/8e/118e916412f8ee3aeac6b59f91ae47eb.jpg;https://cdn.entero.ru/mp@2x/99/12/9912e927338855a343ec0022cf3fecf4.jpg;https://cdn.entero.ru/mp@2x/e1/30/e130ab9bbc2b972a0b57c4d6ed768454.jpg,"Фризер для мягкого мороженого Hualian HIM-03 (помпа, ночное хранение, 3 рожка)","Фризер для мягкого мороженого Hualian HIM-03 (помпа, ночное хранение, 3 рожка)",135240,RUB,Да,Hualian,Профоборудование,Оборудование для кафе-мороженого,Фризеры для мороженого,https://entero.ru/item/223179,"<p>Фризер для мороженого <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/223179""><b class=""b"">Hualian HIM-03</b></a> используется в кафе, кинотеатрах, парках развелечений, торговых центрах, на предприятиях общественного питания и торговли для приготовления мягкого мороженого из молочной или фруктовой смеси путем одновременного ее взбивания, охлаждения и насыщения воздухом. Модель оснащена 2 бункерами для загрузки сырья, 3 порционными рожками для выкладки готового мороженого, помпой для перекачки готовой смеси из бункера в охладитель, дополнительным радиатором с возлушным охлаждением и 2 шнеками, обеспечивающими равномерное затвердевание смеси. Корпус выполнен из нержавеющей стали SUS 304, обеспечивающей долговечность и гигиеничность эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Режим ночного хранения позволяет охлаждать смесь для приготовления мороженого в ночное время или в перерывах между рабочими циклами</li>
<li>Возможность получения 3 вкусов мороженого: 2 самостоятельных и 1 смешанный</li>
<li>Электронно-цифровая панель с удобным, интуитивно понятным интерфейсом: 4 мембранные кнопки, позволяющие легко настраивать режим работы, отображение температуры в бункере, количество выданных порций и степень готовности мороженого</li>
<li>Интеллектуальная система контроля температуры</li>
<li>Функция подсчета порций</li>
<li>Механическая регулировка твердости мороженого от 1 до 15</li>
<li>Функция Fresh, обеспечивающая оптимальное охлаждение смеси</li>
<li>Специальный режим мойки для санитарно-гигиенической обработки</li>
<li>Однородная консистенция продукта</li>
<li>Высокая скорость приготовления</li>
<li>Хладагент R22/R404A</li>
<li>Простота ухода</li>
<li>Качественное исполнение </li>
<li>Привлекательный яркий внешний вид </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расчетная производительность:от 18 до 25 л/час</li>
<li>Мощность компрессора ночного хранения: 0,3 кВт</li>
</ul>",223179,для мягкого мороженого,220 В,1.7 кВт,518 мм,740 мм,780 мм,129.6 кг,Китай,1,621x888x936 мм,0,https://entero.ru/manuals/371285/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hualian%20HIM-03.pdf,140875,,108 кг,от 11 до 16 кг/ч,2,,,настольный,Да,5 л,Да
https://cdn.entero.ru/mp@2x/54/41/5441ab47172444101fbec641d885dee1.jpg;https://cdn.entero.ru/mp@2x/91/4d/914da290a61046db2ea87c8f5c1bd360.jpg,Фризер для мороженого Hurakan HKN-BQ66TPS,Фризер для мороженого Hurakan HKN-BQ66TPS,157515,RUB,Да,Hurakan,Профоборудование,Оборудование для кафе-мороженого,Фризеры для мороженого,https://entero.ru/item/83623,"<p>Фризер для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83623"">Hurakan HKN-BQ66TPS</a></b> используется на предприятиях общественного питания и торговли для производства мягкого мороженого путем смешивания сухой смеси с молоком или водой и осуществления ряда автоматизированных процессов (охлаждение, взбивание и т.д.). Модель оснащена электронной системой управления, помпой подачи воздуха в продукт и 3 дозаторами.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Независимая система испарения</li>
<li>Функция электронного регулирования температуры</li>
<li>Режим ночного хранения</li>
<li>2 компрессора</li>
<li>Высокопрочный кожух</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество видов мороженого: 2 + 1</li>
<li>Габариты в упаковке: 610х760х900 мм</li>
</ul>",83623,для мягкого мороженого,220 В,1.85 кВт,540 мм,665 мм,790 мм,108 кг,Китай,1,610x760x900 мм,0,https://entero.ru/manuals/58872/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-BQ66TPS.docx;https://entero.ru/manuals/414208/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-BQ66TPS.pdf;https://entero.ru/manuals/414209/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454784/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-BQ66TPS.pdf,,,90 кг,от 18 до 22 кг/ч,2,12 л,,настольный,,6 л,Да
https://cdn.entero.ru/mp@2x/29/b6/29b6d68c0f3b5b429e38a15be54585cc.jpg,Фризер для мороженого Cooleq IFE-3,Фризер для мороженого Cooleq IFE-3,117075,RUB,Да,Cooleq,Профоборудование,Оборудование для кафе-мороженого,Фризеры для мороженого,https://entero.ru/item/105876,"<p>Фризер для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105876"">Cooleq IFE-3</a></b> используется на предприятиях общественного питания и торговли для приготовления мороженого, сорбета и других холодных десертов. Модель оснащена панелью управления и 3 рожками и работает с использованием жидкой смеси или сухого порошка. Корпус изготовлен из окрашенного металла.</p>

<p><b>Особенности:​</b></p>

<ul>
<li>Воздушный тип охлажнения</li>
<li>3 вкуса: 2 отдельных и 1 смешанный</li>
<li>Хладагент: R290</li>
<li>Климатический класс: N</li>
<li>Без ночного режима</li>
<li>Счетчик порций</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 20 кг/ч</li>
<li>Полезный объем бункера: 2х3.5 л</li>
<li>Общий объем бункера: 2х3.7 л</li>
<li>Макс. уровень шума: 32дБ</li>
<li>Мощность компрессора: 0,9 кВт</li>
<li>Вес хладогента: 360 г</li>
</ul>",105876,для мягкого мороженого,220 В,2 кВт,540 мм,750 мм,850 мм,110 кг,Китай,1,580x740x760 мм,0,https://entero.ru/manuals/97590/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20IFE-3.pdf;https://entero.ru/manuals/474510/%D0%A0%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D0%BD%D1%8B%D0%B9%20%D0%B1%D1%83%D0%BA%D0%BB%D0%B5%D1%82.pdf;https://entero.ru/manuals/483114/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,94 кг,20 кг/ч,2,от 7 до 7.4 л,,настольный,,от 3.5 до 3.7 л,
https://cdn.entero.ru/mp@2x/a8/c2/a8c25ecd6fbec58cb6102cd528a42576.jpg;https://cdn.entero.ru/mp@2x/31/14/31140730240105ad500e439eb335b4fa.jpg;https://cdn.entero.ru/mp@2x/77/ca/77cadec81a20d8815f1cdb8bb024a943.jpg,Фризер для мороженого Hurakan HKN-BQ6TP,206418,124280,RUB,Да,Hurakan,Профоборудование,Оборудование для кафе-мороженого,Фризеры для мороженого,https://entero.ru/item/123637,"<p>Фризер для мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123637"">Hurakan HKN-BQ6TP</a></b> используется на предприятиях общественного питания и торговли для производства мягкого мороженого путем смешивания сухой смеси с молоком или водой и осуществления ряда автоматизированных процессов (охлаждение, взбивание и т.д.). Модель оснащена электронной системой управления и помпой подачи воздуха в продукт. Корпус выполнен из крашенного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Компрессор: Tecumseh</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 340x600x890 мм</li>
</ul>",123637,для мягкого мороженого,220 В,1.2 кВт,210 мм,554 мм,740 мм,46 кг,Китай,1,340x600x890 мм,0,https://entero.ru/manuals/413326/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-BQ6TP.pdf;https://entero.ru/manuals/413327/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454782/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-BQ6TP.pdf,130821,,43 кг,от 16 до 18 кг/ч,1,6 л,,настольный,,6 л,
https://cdn.entero.ru/mp@2x/6f/f2/6ff2d486fdb7f71eaedba177dae18305.jpg,Фризер для мягкого мороженого Hualian HIM-03 (3 рожка),HIM-03,118220,RUB,Да,Hualian,Профоборудование,Оборудование для кафе-мороженого,Фризеры для мороженого,https://entero.ru/item/287954,"<p>Фризер для мороженого <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/287954""><b class=""b"">Hualian HIM-03</b></a> используется на предприятиях общественного питания и торговли для приготовления мягкого мороженого из жидкой смеси. Модель оснащена электронно-механическим управлением с информативным дисплеем, 2 бункерами и 3 порционными рожками. Корпус выполнен из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Функции:
<ul>
<li>Подсчет выданных порций</li>
<li>Механическая регулировка твердости мороженого</li>
<li>Режим мойки для упрощения санитарно-гигиенического ухода</li>
</ul>
</li>
<li>Два бункера для загрузки готовых сухих смесей 2-х видов </li>
<li>Приготовление мороженого 3-х различных вкусов (два – моно и один – комбинация из этих двух) </li>
<li>Порционирование в вафельные рожки или креманки путем нажатия рычага</li>
<li>Компактная настольная конструкция</li>
<li>Стильный привлекательный дизайн</li>
<li>Экологическая безопасность благодаря использованию хладагента R22/R404A</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расчетная производительность: от 18 до 25 л/час</li>
</ul>",287954,для мягкого мороженого,220 В,1.7 кВт,518 мм,740 мм,780 мм,,Китай,,,0,https://entero.ru/manuals/371282/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hualian%20HIM-03%20%283%20%D1%80%D0%BE%D0%B6%D0%BA%D0%B0%29.pdf,,,108 кг,от 11 до 16 кг/ч,2,,,настольный,,5 л,
https://cdn.entero.ru/mp@2x/03/67/036760b094e566b4d1ae3bf5f581638d.jpg,Фризер для мороженого Koreco SSI 224 DIGITAL,SSI224DIGITAL,201226,RUB,Да,Koreco,Профоборудование,Оборудование для кафе-мороженого,Фризеры для мороженого,https://entero.ru/item/327595,"<p>Фризер для мороженого <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/327595""><b class=""b"">Koreco SSI 224DIGITAL</b></a> используется на предприятиях общественного питания и торговли для приготовления мягкого мороженого и десертов на его основе. Модель оснащена сенсорной панелью управления, 2 бункерами, 2 цилиндрами и 3 рожками. Цилиндры и бункеры выполнены из нержавеющей стали AISI 304, мешалки - из пластика.</p>

<p>В комплект поставки входят набор прокладок, инструмент для разбирания, щетка для чистки цилиндра и пищевая смазка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 компрессора Embaco</li>
<li>Предохлаждение (pre-cooling system) для ускорения процесса приготовления мороженого и предотвращения закисания смеси</li>
<li>Функция ночного хранения - вторичная система охлаждения, при которой температура в цилиндрах поддерживается: 10 градусов Цельсия, что позволяет оставить аппарат на ночь без слива остатка смеси</li>
<li>Электрическая помпа подачи воздуха в цилиндры для увеличения степени взбитости </li>
<li>Возможность регулирования мягкости мороженого</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 210 шт./ч</li>
<li>Время приготовления 1 порции: 11 мин (при температуре +20 градусов и влажности 50% )</li>
<li>Количество выдаваемых подряд порций (100 мл): от 7 до 8 шт</li>
<li>Время восстановления до готовности для приготовления новой порции: 5 мин</li>
<li>Количество рожков: 3</li>
<li>Количество бункеров: 2</li>
<li>Объем одного бункера: 5,5 л </li>
<li>Объем одного цилиндра: 1,7 л </li>
<li>Мощность помпы: 5 Вт </li>
</ul>",327595,для мягкого мороженого,220 В,2 кВт,550 мм,720 мм,770 мм,123 кг,Ю. Корея,1,610x775x895 мм,0,https://entero.ru/manuals/428616/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/476043/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Koreco%20SSI%20224%20DIGITAL.pdf,,,,,2,11 л,,настольный,Да,5.5 л,Да
