Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Температурный режим,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Назначение,Объем,Вес (с упаковкой),Цвет,Гастронормированный,Размер гастроемкости,Вместимость гастроемкостей,Время поддержания температуры,Глубина гастроемкости
https://cdn.entero.ru/mp@2x/dd/ec/ddec239c431f0346b09b8547116cbc45.jpg;https://cdn.entero.ru/mp@2x/3b/06/3b062a3fa76a63728604f3572dac12a1.jpg,Термос профессиональный VIATTO VA-TP10SS,Термос профессиональный VIATTO VA-TP10SS,11505,RUB,Да,VIATTO,Профоборудование,Оборудование для кейтеринга,Термоконтейнеры,https://entero.ru/item/247768,"<p>Профессиональный термос​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/247768"">VIATTO VA-TP10SS</a> </b>предназначен для поддержания температуры горячих блюд и их перемещения на предприятиях общественного питания и торговли. Модель оснащена крышкой со специальным клапаном, которая крепится на 6 заклепках. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер внутренней колбы: 300х170 мм</li>
</ul>",247768,для пищевой промышленности,,330 мм,330 мм,220 мм,7 кг,Китай,1,380x380x265 мм,135,https://entero.ru/manuals/408200/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-TP10SS.pdf;https://entero.ru/manuals/525539/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,12505,,6.24 кг,"для горячих блюд, для холодных блюд",10 л,,нерж. сталь,,,,,
https://cdn.entero.ru/mp@2x/b8/90/b89043bc368a0795a3788122a79db4db.jpg,Термос профессиональный VIATTO VA-TP15SS,Термос профессиональный VIATTO VA-TP15SS,12073,RUB,Да,VIATTO,Профоборудование,Оборудование для кейтеринга,Термоконтейнеры,https://entero.ru/item/256017,"<p>Профессиональный термос​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/256017"">VIATTO VA-TP15SS</a></b> предназначен для сохранения температуры блюд и их перемещения на предприятиях общественного питания и торговли. Модель оснащена крышкой со специальным клапаном, которая крепится на 6 заклепках. Корпус выполнен из нержавеющей стали, основание - из пластика.</p>

<p> </p>",256017,для пищевой промышленности,,330 мм,330 мм,280 мм,7.9 кг,Китай,1,380x380x320 мм,213,https://entero.ru/manuals/462799/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-TP15SS.pdf;https://entero.ru/manuals/525540/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,12576,,7.3 кг,"для горячих блюд, для холодных блюд",15 л,,нерж. сталь,,,,,
https://cdn.entero.ru/mp@2x/65/92/659225b6ef6e12678e9542510d3e8de4.jpg,Термос профессиональный VIATTO VA-TP25SS,Термос профессиональный VIATTO VA-TP25SS,14927,RUB,Да,VIATTO,Профоборудование,Оборудование для кейтеринга,Термоконтейнеры,https://entero.ru/item/267269,"<p>Профессиональный термос​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/267269"">VIATTO VA-TP25SS</a></b> предназначен для сохранения температуры блюд и их перемещения на предприятиях общественного питания и торговли. Модель оснащена крышкой со специальным клапаном, которая крепится на 6 заклепках. Корпус выполнен из нержавеющей стали, основание - из пластика.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры внутренней колбы: 300x300x380 мм</li>
</ul>",267269,для пищевой промышленности,,330 мм,330 мм,430 мм,9.44 кг,Китай,1,380x380x470 мм,89,https://entero.ru/manuals/408181/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-TP25SS.pdf;https://entero.ru/manuals/525541/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,16225,,8.64 кг,для горячих блюд,25 л,,нерж. сталь,,,,8 ч,
https://cdn.entero.ru/mp@2x/8a/de/8ade77e3a830ecd3c7f69ba0a9e0a26b.jpg;https://cdn.entero.ru/mp@2x/d1/e6/d1e617a2e8b6564bf6ff80aed55452cc.jpg;https://cdn.entero.ru/mp@2x/f2/16/f2162b6305b3044d308ab6143dd0fc7c.jpg;https://cdn.entero.ru/mp@2x/52/53/52539916fd8a2df62353418cdb78364f.jpg;https://cdn.entero.ru/mp@2x/fd/af/fdafe278bcedb97ec4372a50ba3dd4c0.jpg;https://cdn.entero.ru/mp@2x/01/e4/01e4fc6048ede818569c789b5471f9ff.jpg;https://cdn.entero.ru/mp@2x/8a/f4/8af46545a8dab726e885d0723944a01f.jpg;https://cdn.entero.ru/mp@2x/3c/6b/3c6bc2e576edfc1603faaa9bd603a199.jpg,Термоконтейнер Cambro EPP180 110 черный,EPP180110,7110,RUB,Да,Cambro,Профоборудование,Оборудование для кейтеринга,Термоконтейнеры,https://entero.ru/item/106777,"<p>Термоконтейнер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/106777""><b class=""b"">Cambro EPP180 110</b></a> серии Cam GoBox предназначен для хранения и транспортировки продуктов и готовых блюд. Изделие позволяет сохранять температуру своего содержимого неизменной на протяжении длительного периода времени. Корпус выполнен из полипропилена с пенным наполнителем.</p>

<p><b class=""o"">Гастроемкости в комплект поставки не входят и приобретаются отдельно.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Одно отделение</li>
<li>Вертикальная загрузка</li>
<li>Герметичная крышка</li>
<li>Специальные углубления во внутренних стенках для легкой загрузки и разгрузки гастроемкостей</li>
<li>Две удобные встроенные ручки по бокам для переноски</li>
<li>Область маркировки во фронтальной части надежно удерживает пластмассовые зажимы для меню (приобретаются отдельно), облегчая распознавание содержимого</li>
<li>Уникальная конструкция позволяет размещать термоконтейнеры друг на друге, экономя до 30% рабочего пространства</li>
<li>Не рекомендуется загружать металлические гастроемкости, чья температура превышает 120 °С</li>
<li>Химически инертен, не подвержен воздействию масла, жира и большинства других химических веществ</li>
<li>Безопасен для продуктов питания</li>
<li>Высокая ударопрочность</li>
<li>Подходит для мытья в посудомоечной машине</li>
<li>Соответствует требованиям HACCP</li>
<li>Может быть полностью утилизирован</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость:
<ul>
<li>1х GN 1/1 глубиной 200 мм</li>
<li>2х GN 1/1 глубиной 100 мм</li>
<li>3х GN 1/1 глубиной 65 мм</li>
<li>1х GN 1/1 глубиной 150 мм и 1х GN 1/1 глубиной 65 мм</li>
<li>1х GN 1/1 глубиной 100 мм и 1х GN 1/1 глубиной 65 мм</li>
</ul>
</li>
<li>Внутренние размеры камеры: 538х338х253 мм</li>
<li>Цвет: черный</li>
</ul>",106777,для пищевой промышленности,от 0.3 до 87 °C,600 мм,400 мм,316 мм,,США,,,64,https://entero.ru/manuals/98256/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D1%82%D0%B5%D1%80%D0%BC%D0%BE%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%B9%D0%BD%D0%B5%D1%80%D1%8B%20%D0%B8%20%D0%B0%D0%BA%D1%81%D0%B5%D1%81%D1%81%D1%83%D0%B0%D1%80%D1%8B%20Cambro%20Cam%20GoBox.pdf;https://entero.ru/manuals/98255/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Cambro.pdf;https://entero.ru/manuals/510723/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,,,1.2 кг,"для выпечки, для холодных блюд, для горячих блюд",46 л,,,,GN 1/1 (530х325),"1 шт., 2 шт., 3 шт.",4 ч,"65, 100, 150, 200"
https://cdn.entero.ru/mp@2x/a6/1e/a61e3d4117e56210ad217caf2435504a.jpg;https://cdn.entero.ru/mp@2x/ca/84/ca8496dcc70ea5f8529facc57a319f17.jpg,Термоконтейнер Kocateq CN10Q,Термоконтейнер Kocateq CN10Q,5957,RUB,Да,Kocateq,Профоборудование,Оборудование для кейтеринга,Термоконтейнеры,https://entero.ru/item/124614,"<p>Термоконтейнер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124614"">Kocateq CN10Q</a> </b>предназначен для поддержания в течение длительного времени готовых блюд и напитков в разогретом и охлажденном виде и их доставки до индивидуального пользователя в офисы, школы, банковские учреждения, кейтеринговые компании, на предприятия общественного питания и фабрики-кухни. Корпус цельнолитой, выполнен из пищевого полиэтилена, толщиной 3 мм, с инжекцией пенополиуретана высокой плотности, защелки - из металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сохраняет тепло / холод в течении 5 часов</li>
<li>Термопорт с упрочненной внутренней цилиндрической емкостью из нержавеющей стали</li>
<li>Клапан компенсации давления и силиконовым уплотнителем</li>
<li>Защелки для фиксации крышки</li>
<li>Закругленные поверхности дна емкости для простой очистки</li>
<li>Возможна мойка в посудомоечной машине до 80 °C</li>
<li>Соответствуем стандартом HACCР</li>
</ul>",124614,для пищевой промышленности,от -40 до 120 °C,320 мм,320 мм,320 мм,,Ю. Корея,,,0,https://entero.ru/manuals/133551/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf,,,,"для горячих блюд, для холодных блюд, для напитков",9.5 л,,,,,,,
https://cdn.entero.ru/mp@2x/25/ac/25ac846d82e963ab868e031ff1712f18.jpg;https://cdn.entero.ru/mp@2x/62/67/626706caee162e7aaffbd7a3550a289d.jpg;https://cdn.entero.ru/mp@2x/d4/e6/d4e6d7b6febc69abc18946224ca3f40a.jpg;https://cdn.entero.ru/mp@2x/a6/35/a63558a445340281d7262bbbe463693d.jpg,Термоконтейнер NORMA UPC150,Термоконтейнер NORMA UPC150,13567,RUB,Да,NORMA,Профоборудование,Оборудование для кейтеринга,Термоконтейнеры,https://entero.ru/item/260720,"<p>Термоконтейнер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/260720"">NORMA UPC150</a></b> предназначен для хранения и транспортировки приготовленных блюд, напитков, льда, свежих фруктов и других пищевых продуктов с длительным поддержанием температуры. Модель оснащена герметичной крышкой с 4 механическими защелками. Корпус выполнен из прочного полипропилена серого цвета, изоляция – толстый слой из пенополиуретана.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Верхняя загрузка </li>
<li>Вместимость гастроемкостей стандартных размеров</li>
<li>Длительное поддержание первоначальной температуры содержимого</li>
<li>Интегрированные в корпус ручки для удобства транспортировки</li>
<li>Легкость очистки и дезинфекции с помощью стандартных моющих средств</li>
<li><b>​</b>Возможность компактного штабелирования нескольких аналогичных моделей</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость гастроемкостей:
<ul>
<li>3хGN 1/3 глубиной 150 мм</li>
<li>2хGN 1/2 глубиной 150 мм</li>
<li>1хGN 1/1 глубиной 150 мм<em>​</em></li>
</ul>
</li>
<li>Максимальное повышение температуры в течение 4 ч:
<ul>
<li>Горячее содержимое: 10 °C</li>
<li>Холодное содержимое: 5 °C</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/346520"">Элемент холодильный</a></li>
</ul>",260720,для пищевой промышленности,,640 мм,450 мм,280 мм,8.25 кг,Китай,1,704x495x308 мм,0,https://entero.ru/manuals/500972/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,14747,,7.5 кг,"для горячих блюд, для холодных блюд",,,серый,,,"1 шт., 2 шт., 3 шт.",4 ч,150
https://cdn.entero.ru/mp@2x/c1/a7/c1a75cc6dc75f64bbe0e9419d54c089d.jpg,Термоконтейнер VIATTO JW-SIF для GN1/1,Термоконтейнер VIATTO JW-SIF для GN1/1,26524,RUB,Да,VIATTO,Профоборудование,Оборудование для кейтеринга,Термоконтейнеры,https://entero.ru/item/185814,"<p>Термоконтейнер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/185814""><b class=""b"">Viatto JW-SIF</b></a> используется на предприятиях общественного питания и торговли для временного хранения и транспортировки продуктов питания и готовых блюд с сохранением их температуры неизменной на протяжении относительно длительного периода времени.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость:
<ul>
<li>3х GN 1/1 глубиной 150 мм</li>
<li>4х GN 1/1 глубиной 100 мм</li>
<li>6х GN 1/1 глубиной 65 мм</li>
</ul>
</li>
</ul>",185814,для пищевой промышленности,,680 мм,477 мм,620 мм,,Китай,,,19,,27920,,18 кг,"для горячих блюд, для холодных блюд, для выпечки",,,серый,,GN 1/1 (530х325),"6 шт., 4 шт., 3 шт.",4 ч,"65, 100, 150"
https://cdn.entero.ru/mp@2x/4d/f0/4df0a054f2441f82b8910aeecc853cf7.jpg;https://cdn.entero.ru/mp@2x/ab/07/ab07c159595578a8c6681f6fb2ceb272.jpg;https://cdn.entero.ru/mp@2x/08/73/08735e055759ebfbc690a5e8bfda585e.jpg;https://cdn.entero.ru/mp@2x/dd/5e/dd5e9f873af184f638830b8b449b2307.jpg;https://cdn.entero.ru/mp@2x/50/d1/50d162e8808914e081c75a13ccec9468.jpg;https://cdn.entero.ru/mp@2x/ab/3c/ab3ceb7cbf8d95d6a9870915c7577106.jpg;https://cdn.entero.ru/mp@2x/60/38/6038da1b2d536df1f0dbba4b74465c06.jpg,Термоконтейнер Cambro EPP160 110 черный,EPP160110 / EPP160-110,6427,RUB,Да,Cambro,Профоборудование,Оборудование для кейтеринга,Термоконтейнеры,https://entero.ru/item/106776,"<p>Термоконтейнер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/106776""><b class=""b"">Cambro EPP160 110</b></a> серии Cam GoBox предназначен для хранения и транспортировки продуктов и готовых блюд. Изделие позволяет сохранять температуру своего содержимого неизменной на протяжении длительного периода времени. Корпус выполнен из полипропилена с пенным наполнителем.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Одно отделение</li>
<li>Вертикальная загрузка</li>
<li>Герметичная крышка</li>
<li>Специальные углубления во внутренних стенках для легкой загрузки и разгрузки гастроемкостей</li>
<li>Две удобные встроенные ручки по бокам для переноски</li>
<li>Область маркировки во фронтальной части надежно удерживает пластмассовые зажимы для меню (приобретаются отдельно), облегчая распознавание содержимого</li>
<li>Уникальная конструкция позволяет размещать термоконтейнеры друг на друге, экономя до 30% рабочего пространства</li>
<li>Не рекомендуется загружать металлические гастроемкости, чья температура превышает 120 °С</li>
<li>Химически инертен, не подвержен воздействию масла, жира и большинства других химических веществ</li>
<li>Безопасен для продуктов питания</li>
<li>Высокая ударопрочность</li>
<li>Подходит для мытья в посудомоечной машине</li>
<li>Соответствует требованиям HACCP</li>
<li>Может быть полностью утилизирован</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость:
<ul>
<li>1х GN 1/1 глубиной 150 мм</li>
<li>1х GN 1/1 глубиной 100 мм и 1х GN 1/1 глубиной 65 мм</li>
<li>2х GN 1/1 глубиной 65 мм</li>
</ul>
</li>
<li>Внутренние размеры камеры: 538х338х193 мм</li>
<li>Цвет: черный</li>
</ul>",106776,для пищевой промышленности,от 0.3 до 87 °C,600 мм,400 мм,257 мм,,США,,,19,https://entero.ru/manuals/98254/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D1%82%D0%B5%D1%80%D0%BC%D0%BE%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%B9%D0%BD%D0%B5%D1%80%D1%8B%20%D0%B8%20%D0%B0%D0%BA%D1%81%D0%B5%D1%81%D1%81%D1%83%D0%B0%D1%80%D1%8B%20Cambro%20Cam%20GoBox.pdf;https://entero.ru/manuals/98253/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Cambro.pdf;https://entero.ru/manuals/510722/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,,,1.07 кг,"для холодных блюд, для горячих блюд",35.5 л,,,,GN 1/1 (530х325),"1 шт., 2 шт.",4 ч,"65, 100, 150"
https://cdn.entero.ru/mp@2x/3c/41/3c416b913e6fda416f8bb164d1181512.jpg,Термос Hurakan HKN-TB15,Термос Hurakan HKN-TB15,12472,RUB,Да,Hurakan,Профоборудование,Оборудование для кейтеринга,Термоконтейнеры,https://entero.ru/item/204559,"<p>Термос <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/204559""><b class=""b"">Hurakan HKN-TB15</b></a> предназначен для поддержания температуры горячих блюд и их перемещения на предприятиях общественного питания и торговли. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 380x380x325 мм</li>
</ul>",204559,для пищевой промышленности,,300 мм,300 мм,230 мм,10 кг,Китай,1,380x380x325 мм,55,https://entero.ru/manuals/416073/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416074/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,13268,,,для горячих блюд,15 л,,нерж. сталь,,,,,
https://cdn.entero.ru/mp@2x/58/60/5860ea4a5b82f2cf8dd8de6895b1162a.jpg;https://cdn.entero.ru/mp@2x/15/09/1509b71836327443a166963721e3f94c.jpg;https://cdn.entero.ru/mp@2x/78/b4/78b49ed258799c6cfa40cd647b6308a7.jpg;https://cdn.entero.ru/mp@2x/7b/39/7b3975919a77630b0acf313de075ec33.jpg,Термоконтейнер Kocateq A03FH,Термоконтейнер Kocateq A03FH,64669,RUB,Да,Kocateq,Профоборудование,Оборудование для кейтеринга,Термоконтейнеры,https://entero.ru/item/168503,"<p>Термоконтейнер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168503"">Kocateq A03FH</a> </b>предназначен для поддержания в течение длительного времени готовых вторых блюд в разогретом и охлажденном виде и их доставки до индивидуального пользователя в офисы, школы, банковские учреждения, кейтеринговые компании, на предприятия общественного питания и фабрики-кухни. Корпус цельнолитой, выполнен из пищевого полиэтилена, толщиной 3 мм, с инжекцией пенополиуретана высокой плотности.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровой контроллер для отслеживания температуры внутри контейнера</li>
<li>Горизонтальная загрузка </li>
<li>Нагревательный элемент для подогрева встроен в дверь с возможностью отключения</li>
<li>Дверь контейнера с компенсационным клапаном и силиконовой прокладкой</li>
<li>Термоустойчив, возможна мойка в посудомоечной машине до 80 ° C</li>
<li>Закругленные углы и гладкая механически прочная поверхность для простой санитарной обработки</li>
<li>Направляющие для форматов GN 1/1, GN 2/3, GN 1/2, GN 1/3 с глубиной от 20 до 200 мм</li>
<li>Складывающиеся ручки для переноски</li>
<li>Соответствует требованиям стандартов HACCP</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость гастроемкостей GN 1/1:
<ul>
<li>Глубина 20/40/65 мм: 6</li>
<li>Глубина 100/150/200 мм: 2</li>
</ul>
</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,3 кВт</li>
<li>Внутренние размеры: 335х550х550 мм</li>
<li>
<p>Габариты с упаковкой: 440х705х635 мм</p>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Тележка для перемещения (В02)</li>
</ul>",168503,для пищевой промышленности,от -40 до 120 °C,695 мм,425 мм,620 мм,,Ю. Корея,,,0,,69537,,20 кг,"для горячих блюд, для холодных блюд",90 л,,,Да,GN 1/1 (530х325),6 шт.,8 ч,"65, 20, 40, 100, 150, 200"
