Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Цвет,Количество отделений
https://cdn.entero.ru/mp@2x/9f/3e/9f3efb31fe9106c84fb80370c968da3d.jpg;https://cdn.entero.ru/mp@2x/ca/a1/caa1b2842f2182dedb9ebd83d6a6f0c8.jpg;https://cdn.entero.ru/mp@2x/81/07/8107dc014b8f510ca5a0ee92c40a5dab.jpg;https://cdn.entero.ru/mp@2x/12/e0/12e0dca54ef8635bf273504e36630e84.jpg;https://cdn.entero.ru/mp@2x/7a/07/7a07305486d54d2e794d78ea3164e148.jpg,Термоподнос Tribeca TT-6NL 542х390х120 мм на 6 предметов с крышкой с зажимом (полипропилен),TT-6NL,6672,RUB,Да,,Профоборудование,Оборудование для кейтеринга,Термоподносы,https://entero.ru/item/330505,"<p>Термоподнос <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/330505""><b class=""b"">Tribeca TT-6NL </b></a>используется службами доставки предприятий общественного питания и пищевой промышленности, а также в быту, во время туристических походов, пикника, рыбалки или дорожных путешествий для транспортировки приготовленных блюд и других пищевых продуктов в автономных изотермических условиях. Модель прямоугольно ориентированной формы оснащена 6 секциями для посуды и плотно прилегающей крышкой. Корпус выполнен из высококачественного полипропилена в комбинации серого и голубого тонов, термоизоляция – из экологичного пенополиуретана высокой плотности.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>

<p><span style=""color:#FF0000;"">Посуда не входит в комплект поставки и приобретается отдельно.</span></p>

<p><b>Особенности:</b> </p>

<ul>
<li>Преимущества материала:
<ul>
<li>Устойчивость к температурным перепадам, солнечным лучам и коррозии</li>
<li>Безопасность для пищевой промышленности</li>
<li>Возможность 100% переработки</li>
</ul>
</li>
<li>Верхняя загрузка</li>
<li>Возможность использования в качестве столика</li>
<li>Текстурная поверхность для предотвращения скольжения</li>
<li>Углубления в секциях для удобства извлечения посуды</li>
<li>Надежная фиксация крышки 2 зажимами</li>
<li>Возможность компактного штабелирования</li>
<li>Возможность мойки в посудомоечной машине</li>
<li>Высокоэффективный термоизоляционный слой</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры окружающей среды: от -40 до 100 °С</li>
<li>Плотность термоизоляционного слоя: от 38 до 40 кг/м³</li>
<li>Параметры используемой посуды: 
<ul>
<li>Тарелка основная: 230 мм</li>
<li>Чашка бульонная: 120 мм</li>
<li>2 салатника: 170 мм</li>
<li>Салатник: 14 мм</li>
<li>Чашка чайная: 170 мл</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>​Салатник Bonna GRM17DKY (62870)</li>
<li>Cалатник Bonna GRM14DKY (62868)</li>
<li>Cалатник Bonna BNC11KS (62731)</li>
<li>Чашка чайная Bonna <a href=""https://entero.ru/item/162504"">BNC02CF</a> </li>
<li>Тарелка Bonna BNC23DZ (62740)</li>
<li>Тарелка глубокая Bonna GRM20CK (68288)</li>
<li>Салатник Bonna <a href=""https://entero.ru/item/246781"">BNC11KS</a></li>
</ul>",330505,для пищевой промышленности,542 мм,390 мм,120 мм,,Турция,,,0,https://entero.ru/manuals/392008/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Tribeca%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,8.8 кг,"серый, голубой",6
https://cdn.entero.ru/mp@2x/54/8d/548d94ef9c903cf3fc28a038d1829a6c.jpg,Термоподнос Kocateq CH1,Термоподнос Kocateq CH1,5345,RUB,Да,Kocateq,Профоборудование,Оборудование для кейтеринга,Термоподносы,https://entero.ru/item/41421,"<p>Термоподнос <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/41421"">Kocateq CH1</a></b> предназначен для поддержания в течение длительного времени готовых блюд и напитков в разогретом и охлажденном виде и их доставки до индивидуального пользователя в офисы, школы, банковские учреждения, кейтеринговые компании, на предприятия общественного питания и фабрики-кухни. Корпус выполнен из полипропилена с инжекцией пенополиуретана высокой плотности, защелки - из металла.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Прямоугольная с герметичной крышкой МА2 150х105х45 мм</li>
<li>Круглая с герметичной крышкой МА5 диаметром 110 мм и высотой 45 мм</li>
<li>Прямоугольная с герметичной крышкой МА6 150х105х45 мм</li>
<li>Прямоугольная с герметичной крышкой 100х100х40 мм</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>5 изолированных отделений для одновременной транспортировки холодных и горячих блюд</li>
<li>Отделение для столовых приборов</li>
<li>Защелки для фиксации крышки</li>
<li>Специальная форма дна и крышки для перевозки контейнеров, уложенных в стопку</li>
</ul>

<p><b>Дополнительные xарактеристики:</b></p>

<ul>
<li>Габариты в упаковке: 400x300x100 мм</li>
</ul>",41421,для пищевой промышленности,395 мм,297 мм,90 мм,,Ю. Корея,,,0,https://entero.ru/manuals/111444/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf,,,серый,5
https://cdn.entero.ru/mp@2x/d6/06/d6060d937bef22bb7c1a743a1e3477b6.jpg,Термоконтейнер Kocateq CH1L,Термоконтейнер Kocateq CH1L,7760,RUB,Да,Kocateq,Профоборудование,Оборудование для кейтеринга,Термоподносы,https://entero.ru/item/97134,"<p>Термоконтейнер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/97134"">Kocateq CH1L</a></b> предназначен для поддержания в течение длительного времени готовых блюд и напитков в разогретом и охлажденном виде и их доставки до индивидуального пользователя в офисы, школы, банковские учреждения, кейтеринговые компании, на предприятия общественного питания и фабрики-кухни. Корпус выполнен из полипропилена с инжекцией пенополиуретана высокой плотности, защелки - из металла.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Прямоугольная с герметичной крышкой МА02А 180х130х42 мм</li>
<li>Круглая с герметичной крышкой МА05А диаметром 140 мм и высотой 52 мм</li>
<li>Прямоугольная с герметичной крышкой МА06А 180х130х42 мм</li>
<li>Прямоугольная с герметичной крышкой МА01А 130х130х42 мм</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>5 изолированных отделений для одновременной транспортировки холодных и горячих блюд</li>
<li>Отделение для столовых приборов</li>
<li>Защелки для фиксации крышки</li>
<li>Специальная форма дна и крышки для перевозки контейнеров, уложенных в стопку</li>
</ul>

<p><b>Дополнительные xарактеристики:</b></p>

<ul>
<li>Габариты в упаковке: 460x360x100 мм</li>
</ul>",97134,для пищевой промышленности,467 мм,357 мм,90 мм,,Ю. Корея,,,0,https://entero.ru/manuals/111442/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf,,,серый,5
https://cdn.entero.ru/mp@2x/e8/fd/e8fd11ed4d40c2cfbc18b4fadfe82cd7.jpg;https://cdn.entero.ru/mp@2x/07/3f/073f50aa46992bc101e66253e93e699f.jpg;https://cdn.entero.ru/mp@2x/6c/93/6c932b94055053844f90b92ffbfc60d0.jpg;https://cdn.entero.ru/mp@2x/a8/0f/a80f0c675db619907a2778fac3200d36.jpg;https://cdn.entero.ru/mp@2x/0a/2b/0a2b356fef3bedc47c270fd17ed3f3a1.jpg;https://cdn.entero.ru/mp@2x/87/41/874119f5b7598f64c909c342c65e6b96.jpg,Термоподнос Tribeca TT-5NL 542х390х120 мм на 5 предметов с крышкой с зажимом (полипропилен),TT-5NL,6672,RUB,Да,,Профоборудование,Оборудование для кейтеринга,Термоподносы,https://entero.ru/item/330504,"<p>Термоподнос <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/330504""><b class=""b"">Tribeca TT-5NL </b></a>используется службами доставки предприятий общественного питания и пищевой промышленности, а также в быту, во время туристических походов, пикника, рыбалки или дорожных путешествий для транспортировки приготовленных блюд и других пищевых продуктов в автономных изотермических условиях. Модель прямоугольно ориентированной формы оснащена 5 секциями для посуды и плотно прилегающей крышкой. Корпус выполнен из высококачественного полипропилена в комбинации серого и голубого тонов, термоизоляция – из экологичного пенополиуретана высокой плотности.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>

<p><span style=""color:#FF0000;"">Посуда не входит в комплект поставки и приобретается отдельно.</span></p>

<p><b>Особенности:</b> </p>

<ul>
<li>Преимущества материала:
<ul>
<li>Устойчивость к температурным перепадам, солнечным лучам и коррозии</li>
<li>Безопасность для пищевой промышленности</li>
<li>Возможность 100% переработки</li>
</ul>
</li>
<li>Верхняя загрузка</li>
<li>Возможность использования в качестве столика</li>
<li>Текстурная поверхность для предотвращения скольжения</li>
<li>Углубления в секциях для удобства извлечения посуды</li>
<li>Надежная фиксация крышки 2 зажимами</li>
<li>Возможность компактного штабелирования</li>
<li>Возможность мойки в посудомоечной машине</li>
<li>Высокоэффективный термоизоляционный слой</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры окружающей среды: от -40 до 100 °С</li>
<li>Плотность термоизоляционного слоя: от 38 до 40 кг/м³</li>
<li>Параметры используемой посуды: 
<ul>
<li>Тарелка основная: 230 мм</li>
<li>Тарелка глубокая: 200 мм</li>
<li>Чашка бульонная: 120 мм</li>
<li>Салатник: 170 мм</li>
<li>Чашка чайная: 170 мл</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>​Салатник Bonna GRM17DKY (62870)</li>
<li>Cалатник Bonna GRM14DKY (62868)</li>
<li>Cалатник Bonna BNC11KS (62731)</li>
<li>Чашка чайная Bonna <a href=""https://entero.ru/item/162504"">BNC02CF</a> </li>
<li>Тарелка Bonna BNC23DZ (62740)</li>
<li>Тарелка глубокая Bonna GRM20CK (68288)</li>
</ul>",330504,для пищевой промышленности,542 мм,390 мм,120 мм,,Турция,,,0,https://entero.ru/manuals/392009/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Tribeca%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,8.8 кг,"серый, голубой",5
https://cdn.entero.ru/mp@2x/55/ba/55baeecb9c23729ce712cb0253401a2e.jpg;https://cdn.entero.ru/mp@2x/a1/bf/a1bfdee3e14adecacbd031421f57397c.jpg;https://cdn.entero.ru/mp@2x/e0/2f/e02fb117915104760269ddfe3439d0f4.jpg;https://cdn.entero.ru/mp@2x/a3/5e/a35e6f8f2e76381cc740d772f5585159.jpg;https://cdn.entero.ru/mp@2x/74/28/7428e301be2d7890c8b34aca4102170e.jpg;https://cdn.entero.ru/mp@2x/ad/a8/ada8cebad139343e1c202c497048009f.jpg,Термоподнос Foodatlas H1,Термоподнос Foodatlas H1,5864,RUB,Да,Foodatlas,Профоборудование,Оборудование для кейтеринга,Термоподносы,https://entero.ru/item/254552,"<p>Термоконтейнер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/254552"">Foodatlas H1</a></b> предназначен для поддержания в течение длительного времени готовых блюд и напитков в разогретом и охлажденном виде и их доставки до индивидуального пользователя в офисы, школы, банковские учреждения, кейтеринговые компании, на предприятия общественного питания и фабрики-кухни. Модель оснащена специальным зажимом, обеспечивающим фиксацию внутренних емкостей. Корпус выполнен из полипропилена.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Квадратный ящик для еды с крышкой МА1 100x100x42 мм, объем 0,4 л</li>
<li>Чаша для супа с крышкой 110x110x52 мм, объем 0,4 л</li>
<li>Прямоугольная с крышкой МА06А 150х100х42 мм, объем 0,6 л: 2 шт.</li>
</ul>

<p><b>Дополнительные xарактеристики:</b></p>

<ul>
<li>Размеры внутренней камеры: 160x110x35 мм</li>
<li>Рабочий температурный режим: от -20 до 100 °С</li>
</ul>",254552,для пищевой промышленности,390 мм,290 мм,100 мм,2 кг,Китай,1,400x300x100 мм,0,https://entero.ru/manuals/350510/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20H1.pdf,,2.2 кг,бежевый,4
https://cdn.entero.ru/mp@2x/e7/a6/e7a675b49f8649e601818bd22852aecb.jpg;https://cdn.entero.ru/mp@2x/0e/33/0e331bfed624617333253168b2e50eb5.jpg;https://cdn.entero.ru/mp@2x/4a/bf/4abf4e9fa25e16c0903a785c268cab18.jpg;https://cdn.entero.ru/mp@2x/e7/76/e776ed7cdde9f8bfcdeb61cbe350b296.jpg;https://cdn.entero.ru/mp@2x/ba/0b/ba0ba96dcf19b510e1ac5eea52233cb2.jpg;https://cdn.entero.ru/mp@2x/ec/0f/ec0f07a2861c8408280509e34acc73a6.jpg;https://cdn.entero.ru/mp@2x/1c/82/1c8251653809c4a14260a97e0af91538.jpg,Термоподнос Tribeca TT-5N 542х387х120 мм на 5 предметов с крышкой (полипропилен),TT-5N,6153,RUB,Да,,Профоборудование,Оборудование для кейтеринга,Термоподносы,https://entero.ru/item/330502,"<p>Термоподнос <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/330502""><b class=""b"">Tribeca TT-5N </b></a>используется службами доставки предприятий общественного питания и пищевой промышленности, а также в быту, во время туристических походов, пикника, рыбалки или дорожных путешествий для транспортировки приготовленных блюд и других пищевых продуктов в автономных изотермических условиях. Модель прямоугольно ориентированной формы оснащена 5 секциями для посуды и плотно прилегающей крышкой. Корпус выполнен из высококачественного полипропилена в комбинации серого и голубого тонов, термоизоляция – из экологичного пенополиуретана высокой плотности.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>

<p><span style=""color:#FF0000;"">Посуда не входит в комплект поставки и приобретается отдельно.</span></p>

<p><b>Особенности:</b> </p>

<ul>
<li>Преимущества материала:
<ul>
<li>Устойчивость к температурным перепадам, солнечным лучам и коррозии</li>
<li>Безопасность для пищевой промышленности</li>
<li>Возможность 100% переработки</li>
</ul>
</li>
<li>Верхняя загрузка</li>
<li>Возможность использования в качестве столика</li>
<li>Текстурная поверхность для предотвращения скольжения</li>
<li>Углубления в секциях для удобства извлечения посуды</li>
<li>Возможность компактного штабелирования</li>
<li>Возможность мойки в посудомоечной машине</li>
<li>Высокоэффективный термоизоляционный слой</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры окружающей среды: от -40 до 100 °С</li>
<li>Плотность термоизоляционного слоя: от 38 до 40 кг/м³</li>
<li>Параметры используемой посуды: 
<ul>
<li>Тарелка основная: 230 мм</li>
<li>Тарелка глубокая: 200 мм</li>
<li>Чашка бульонная: 120 мм</li>
<li>Салатник: 170 мм</li>
<li>Чашка чайная: 170 мл</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>​Салатник Bonna GRM17DKY (62870)</li>
<li>Cалатник Bonna GRM14DKY (62868)</li>
<li>Cалатник Bonna BNC11KS (62731)</li>
<li>Чашка чайная Bonna <a href=""https://entero.ru/item/162504"">BNC02CF</a> </li>
<li>Тарелка Bonna BNC23DZ (62740)</li>
<li>Тарелка глубокая Bonna GRM20CK (68288)</li>
</ul>",330502,для пищевой промышленности,542 мм,387 мм,120 мм,,Турция,,,0,https://entero.ru/manuals/392011/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Tribeca%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,8.5 кг,"серый, голубой",5
https://cdn.entero.ru/mp@2x/32/67/3267a361da6a6d289ee659f94308a2e5.jpg;https://cdn.entero.ru/mp@2x/42/eb/42eb9ce85a059bbee1c3df147a873142.jpg;https://cdn.entero.ru/mp@2x/1f/2c/1f2c4aa9167eede7ccad9d238f250717.jpg;https://cdn.entero.ru/mp@2x/0e/19/0e195e4a026cc109ea9ead601e4cd3e2.jpg;https://cdn.entero.ru/mp@2x/93/54/93544d8b0bcc3424121bb6cc9e7779d5.jpg,Термоподнос Tribeca TT-6N 542х387х120 мм на 6 предметов с крышкой (полипропилен),TT-6N,6153,RUB,Да,,Профоборудование,Оборудование для кейтеринга,Термоподносы,https://entero.ru/item/330503,"<p>Термоподнос <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/330503""><b class=""b"">Tribeca TT-6N </b></a>используется службами доставки предприятий общественного питания и пищевой промышленности, а также в быту, во время туристических походов, пикника, рыбалки или дорожных путешествий для транспортировки приготовленных блюд и других пищевых продуктов в автономных изотермических условиях. Модель прямоугольно ориентированной формы оснащена 6 секциями для посуды и плотно прилегающей крышкой. Корпус выполнен из высококачественного полипропилена в комбинации серого и голубого тонов, термоизоляция – из экологичного пенополиуретана высокой плотности.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>

<p><span style=""color:#FF0000;"">Посуда не входит в комплект поставки и приобретается отдельно.</span></p>

<p><b>Особенности:</b> </p>

<ul>
<li>Преимущества материала:
<ul>
<li>Устойчивость к температурным перепадам, солнечным лучам и коррозии</li>
<li>Безопасность для пищевой промышленности</li>
<li>Возможность 100% переработки</li>
</ul>
</li>
<li>Верхняя загрузка</li>
<li>Возможность использования в качестве столика</li>
<li>Текстурная поверхность для предотвращения скольжения</li>
<li>Углубления в секциях для удобства извлечения посуды</li>
<li>Возможность компактного штабелирования</li>
<li>Возможность мойки в посудомоечной машине</li>
<li>Высокоэффективный термоизоляционный слой</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры окружающей среды: от -40 до 100 °С</li>
<li>Плотность термоизоляционного слоя: от 38 до 40 кг/м³</li>
<li>Параметры используемой посуды: 
<ul>
<li>Тарелка основная: 230 мм</li>
<li>Чашка бульонная: 120 мм</li>
<li>2 салатника: 170 мм</li>
<li>Салатник: 14 мм</li>
<li>Чашка чайная: 170 мл</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>​Салатник Bonna GRM17DKY (62870)</li>
<li>Cалатник Bonna GRM14DKY (62868)</li>
<li>Cалатник Bonna BNC11KS (62731)</li>
<li>Чашка чайная Bonna <a href=""https://entero.ru/item/162504"">BNC02CF</a> </li>
<li>Тарелка Bonna BNC23DZ (62740)</li>
<li>Тарелка глубокая Bonna GRM20CK (68288)</li>
<li>Салатник Bonna <a href=""https://entero.ru/item/246781"">BNC11KS</a></li>
</ul>",330503,для пищевой промышленности,542 мм,387 мм,120 мм,,Турция,,,0,https://entero.ru/manuals/392010/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Tribeca%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,7888,8.5 кг,"серый, голубой",6
https://cdn.entero.ru/mp@2x/63/8b/638baa8440f7000ee4618931ca546420.jpg,Термоподнос Cambro ITPD3753T000,Термоподнос Cambro ITPD3753T000,23900,RUB,Да,Cambro,Профоборудование,Оборудование для кейтеринга,Термоподносы,https://entero.ru/item/267878,"<p>Термоподнос​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/267878"">Cambro ITPD3753T000</a></b> предназначен для поддержания в течение длительного времени готовых блюд и напитков в разогретом и охлажденном виде и их доставки до индивидуального пользователя в офисы, школы, банковские учреждения, кейтеринговые компании, на предприятия общественного питания и фабрики-кухни. Модель оснащена специальным зажимом, обеспечивающим фиксацию внутренних емкостей. Корпус выполнен из полипропилена с теплоизоляцией из пеноматериала.</p>

<p>В комплект поставки входит тарелка из фарфора с двумя отделениями с пластиковой крышкой, подставка под тарелку - пеллета, две миски 400 мл и одна миска 500 мл из фарфора, пластиковые крышки к мискам.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Поддержание первичной температуры пищи</li>
<li>Одновременная подачу четырех блюд</li>
<li>Подходит для мытья в туннельных посудомоечной машинах со специальной лентой</li>
<li>Легко штабелируется</li>
</ul>

<p><b>Дополнительные xарактеристики:</b></p>

<ul>
<li>Сохраняет тепло содержимого: до 60 минут</li>
<li>
<p>Габариты упаковки: 390х290х100 мм</p>
</li>
</ul>",267878,для пищевой промышленности,530 мм,370 мм,105 мм,,США,,,0,,,,"серый, синий",5
https://cdn.entero.ru/mp@2x/87/58/87586468bdb6c4c437afb7436515c9dd.jpg;https://cdn.entero.ru/mp@2x/35/7b/357b343be3f458310ed3c736572436e3.jpg;https://cdn.entero.ru/mp@2x/d0/86/d0863cdd19e72bbaafc8e71bb443839a.jpg;https://cdn.entero.ru/mp@2x/12/f6/12f6adf9022ef739068a7072b4ebf697.jpg;https://cdn.entero.ru/mp@2x/aa/85/aa85da19a3920a81af8cac5507779eed.jpg,Термоподнос Cambro EPP ITENEPP107 без посуды,B8574,5218,RUB,Нет,Cambro,Профоборудование,Оборудование для кейтеринга,Термоподносы,https://entero.ru/item/106740,"<p>Термоподнос <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/106740""><b class=""b"">Cambro EPP ITENEPP107</b></a> используется на предприятиях общественного питания для временного хранения и транспортировки посуды с готовыми блюдами. Модель выполнена из вспененного полипропилена, отличающегося прочностью и легкостью.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Гарантированно сохраняет тепло содержимого до 45 минут</li>
<li>Специальная область для индивидуальной маркировки подноса</li>
<li>Штабелируется</li>
<li>Соответствует всем требованиям безопасности</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Посуда, изображенная на фото, в комплект поставки не входит.</span></em></p>",106740,для пищевой промышленности,530 мм,370 мм,118 мм,,США,,,0,https://entero.ru/manuals/98187/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D0%BE%D0%B4%D0%BD%D0%BE%D1%81%D0%BE%D0%B2%20Cambro.pdf;https://entero.ru/manuals/98188/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Cambro%202016-2017.pdf,7051,0.6 кг,серый,6
https://cdn.entero.ru/mp@2x/ec/f8/ecf8d2384bda41a15ca778bd22150265.jpg,Термоподнос OZTI на 6 отсеков,8220.0T100.00,0,RUB,Нет,OZTI,Профоборудование,Оборудование для кейтеринга,Термоподносы,https://entero.ru/item/341925,"<p>Термоподнос <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/341925""><b class=""b"">OZTI </b></a>предназначен для поддержания в течение длительного времени готовых блюд и напитков в разогретом и охлажденном виде и их доставки до индивидуального пользователя в офисы, школы, банковские учреждения, кейтеринговые компании, на предприятия общественного питания и фабрики-кухни. </p>",341925,для пищевой промышленности,540 мм,380 мм,110 мм,,Турция,,,0,https://entero.ru/manuals/421607/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20OZTI%202024%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,,6
