Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Страна производства,Остаток,Файлы,Старая цена,Вес (без упаковки),Назначение
https://cdn.entero.ru/mp@2x/16/2a/162a41efba431de86664474830039a9c.jpg;https://cdn.entero.ru/mp@2x/21/a9/21a9fbd00cca8ec97f0fbeb29f8567fb.jpg;https://cdn.entero.ru/mp@2x/d0/72/d072c01a1bb6070be3ffe1a0b00c8298.jpg;https://cdn.entero.ru/mp@2x/60/75/60754c07abee37891aa1f3988ba9a2e6.jpg,Термосумка Luxstahl для обедов 500х250х350 мм фольгированная черная,2067,4470,RUB,Да,Luxstahl,Профоборудование,Оборудование для кейтеринга,Термосумки,https://entero.ru/item/125273,"<p>Термосумка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125273""><b class=""b"">Luxstahl</b></a> используется на предприятиях общественного питания и торговли для временного хранения и транспортировки пиццы и других готовых блюд. Модель позволяет сохранять температуру своего содержимого неизменной на протяжении длительного периода времени. Верхний материал выполнен из ткани Оксфорд 1680D c полиуретановой водоотталкивающей пропиткой PU, утеплитель - нетканый материал, состоящий из полых волокон в форме пружин, внутренняя фольга - высокопрочная полиэфирная пленка, покрытая слоем алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Утеплитель: холлофайбер ХАРД 650 гр, толщина 2 см</li>
<li>Объем: 44 л</li>
<li>Цвет: черный</li>
</ul>",125273,500 мм,250 мм,350 мм,Китай,0,,,,для горячих блюд
https://cdn.entero.ru/mp@2x/d2/91/d291a044fc4b381ca2a28f1973286bbd.jpg;https://cdn.entero.ru/mp@2x/51/2a/512a81457b148840e8ac973f39e0f590.jpg;https://cdn.entero.ru/mp@2x/72/6e/726ee9629091ff439517356ec5a850ba.jpg;https://cdn.entero.ru/mp@2x/62/ae/62aeff31f52db8e4fe957827a59d9902.jpg,Термосумка Luxstahl для обедов 450х200х300 мм фольгированная красная,1925,4088,RUB,Да,Luxstahl,Профоборудование,Оборудование для кейтеринга,Термосумки,https://entero.ru/item/125271,"<p>Термосумка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125271""><b class=""b"">Luxstahl</b></a> используется на предприятиях общественного питания и торговли для временного хранения и транспортировки пиццы и других готовых блюд. Модель позволяет сохранять температуру своего содержимого неизменной на протяжении длительного периода времени. Верхний материал выполнен из ткани Оксфорд 1680D c полиуретановой водоотталкивающей пропиткой PU, утеплитель - нетканый материал, состоящий из полых волокон в форме пружин, внутренняя фольга - высокопрочная полиэфирная пленка, покрытая слоем алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина коробки: до 45 см</li>
<li>Утеплитель: холлофайбер ХАРД 650 гр, толщина 2 см</li>
<li>Цвет: красный</li>
</ul>",125271,450 мм,200 мм,300 мм,Китай,0,https://entero.ru/manuals/507954/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,,,для горячих блюд
https://cdn.entero.ru/mp@2x/4d/a1/4da1b3b7b92cc3ed2f34066bae9f14c9.jpg;https://cdn.entero.ru/mp@2x/e0/7a/e07a515accb2d4668eb003b70b724373.jpg;https://cdn.entero.ru/mp@2x/04/5d/045d6a0d2271ba4e06c5464ab3b49493.jpg;https://cdn.entero.ru/mp@2x/eb/a7/eba7981731f02b285ae06ee64d74f739.jpg,Термосумка Luxstahl для обедов 600х400х450 мм фольгированная красная,1928,5153,RUB,Да,Luxstahl,Профоборудование,Оборудование для кейтеринга,Термосумки,https://entero.ru/item/125274,"<p>Термосумка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125274""><b class=""b"">Luxstahl</b></a> используется на предприятиях общественного питания и торговли для временного хранения и транспортировки пиццы и других готовых блюд. Модель позволяет сохранять температуру своего содержимого неизменной на протяжении длительного периода времени. Верхний материал выполнен из ткани Оксфорд 1680D c полиуретановой водоотталкивающей пропиткой PU, утеплитель - нетканый материал, состоящий из полых волокон в форме пружин, внутренняя фольга - высокопрочная полиэфирная пленка, покрытая слоем алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Утеплитель: холлофайбер ХАРД 650 гр, толщина 2 см</li>
<li>Цвет: красный</li>
</ul>",125274,600 мм,400 мм,450 мм,Китай,0,https://entero.ru/manuals/507969/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,6964,,для горячих блюд
https://cdn.entero.ru/mp@2x/ed/ce/edce359ad205eb1f63b067a70707fe16.jpg;https://cdn.entero.ru/mp@2x/83/23/8323302fed578dbd31372fdbbe08d3a0.jpg;https://cdn.entero.ru/mp@2x/c3/84/c384f89499cd6baf1b9c1f7d35ad1f2e.jpg;https://cdn.entero.ru/mp@2x/fb/bd/fbbdad91ecd5da3e29b29bdce06eff87.jpg,Термосумка Luxstahl для обедов 600х400х450 мм фольгированная черная,2068,5153,RUB,Да,Luxstahl,Профоборудование,Оборудование для кейтеринга,Термосумки,https://entero.ru/item/125275,"<p>Термосумка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125275""><b class=""b"">Luxstahl</b></a> используется на предприятиях общественного питания и торговли для временного хранения и транспортировки пиццы и других готовых блюд. Модель позволяет сохранять температуру своего содержимого неизменной на протяжении длительного периода времени. Верхний материал выполнен из ткани Оксфорд 1680D c полиуретановой водоотталкивающей пропиткой PU, утеплитель - нетканый материал, состоящий из полых волокон в форме пружин, внутренняя фольга - высокопрочная полиэфирная пленка, покрытая слоем алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Утеплитель: холлофайбер ХАРД 650 гр, толщина 2 см</li>
<li>Объем: 108 л</li>
<li>Цвет: черный</li>
</ul>",125275,600 мм,400 мм,450 мм,Китай,0,https://entero.ru/manuals/507971/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,,,для горячих блюд
https://cdn.entero.ru/mp@2x/5f/35/5f35d4af6e10d3053fd98e5cc7ee9899.jpg;https://cdn.entero.ru/mp@2x/98/21/9821f6b44afe006df52b5a34aed24405.jpg;https://cdn.entero.ru/mp@2x/48/b3/48b3f9e4e37adeb05fb596abb2ebc824.jpg;https://cdn.entero.ru/mp@2x/f2/b0/f2b0d70d41c7261b8cc17a0c1dfc5a2c.jpg;https://cdn.entero.ru/mp@2x/42/cc/42cc2825bc2053d038ee162b6275e7d9.jpg;https://cdn.entero.ru/mp@2x/02/ce/02ce24bedc38bec64d42205b34752725.jpg,Термосумка Luxstahl на 9-10 пицц 420х420х500 мм фольгированная с вентиляцией красная,10514,4909,RUB,Да,Luxstahl,Профоборудование,Оборудование для кейтеринга,Термосумки,https://entero.ru/item/125264,"<p>Термосумка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125264""><b class=""b"">Luxstahl</b></a> используется на предприятиях общественного питания и торговли для временного хранения и транспортировки пиццы и других готовых блюд. Модель с вентиляцией позволяет сохранять температуру своего содержимого неизменной на протяжении длительного периода времени. Люверсы предназначены для вывода излишков влаги из термосумки. Верхний материал выполнен из ткани Оксфорд 1680D c полиуретановой водоотталкивающей пропиткой PU, утеплитель - нетканый материал, состоящий из полых волокон в форме пружин, внутренняя фольга - высокопрочная полиэфирная пленка, покрытая слоем алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 9-10 пицц диаметром 35 см</li>
<li>Ширина коробки: до 35 см</li>
<li>Люверс: 6 мм</li>
<li>Утеплитель: холлофайбер ХАРД 650 гр, толщина 2 см</li>
<li>Цвет: красный</li>
</ul>",125264,420 мм,420 мм,500 мм,Китай,0,https://entero.ru/manuals/507964/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,6294,,"для пиццы, для горячих блюд"
https://cdn.entero.ru/mp@2x/c5/56/c5566f2761c972d25029d89fd5144c74.jpg,Сумка для пиццы HENDI Kitchen Line 709887,Сумка для пиццы HENDI Kitchen Line 709887,3154,RUB,Да,HENDI,Профоборудование,Оборудование для кейтеринга,Термосумки,https://entero.ru/item/290565,"<p>Сумка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/290565""><b class=""b"">HENDI Kitchen Line 709887</b></a> используется на предприятиях общественного питания и торговли для временного хранения и транспортировки пиццы и других готовых блюд. Модель позволяет сохранять температуру своего содержимого неизменной на протяжении длительного периода времени. Изделие оснащено ручками для перноски, застежкой-липучкой и прозрачным карманом для купюр. Сумка выполнена из прочного полиэстера, изоляция - из пеноматериала.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 4 пиццы 350х350 мм</li>
<li>Толщина изоляции: 5 мм</li>
<li>Плотность материала:
<ul>
<li>Внешний: 600 D</li>
<li>Внутренний: 210 D</li>
</ul>
</li>
</ul>",290565,360 мм,360 мм,200 мм,Китай,0,,4150,0.29 кг,для пиццы
https://cdn.entero.ru/mp@2x/1a/e3/1ae33f183c3545ad0e288c30e2719bb9.jpg,Термосумка P.L. Proff Cuisine 81200228 на 6 пицц (45 см),IPDB-618R,3904,RUB,Да,,Профоборудование,Оборудование для кейтеринга,Термосумки,https://entero.ru/item/274763,"<p>Термосумка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/274763""><b class=""b""><font color=""#3383d0"">P.L. Proff Cuisine 81200228 </font></b></a>используется на предприятиях пищевой промышленности, общественного питания и торговли для доставки пиццы в горячем виде. Изделие выполнено из высококачественной прочной плотной ткани красного цвета.</p>",274763,510 мм,480 мм,340 мм,Китай,0,,4942,0.99 кг,для пиццы
https://cdn.entero.ru/mp@2x/18/f2/18f2c8ac195b3d50f4dc7d54f01389ec.jpg;https://cdn.entero.ru/mp@2x/59/02/59029219ff0366bfb236640471ec0720.jpg;https://cdn.entero.ru/mp@2x/6a/56/6a567ddda21edc70f9ee8b91345ca39f.jpg;https://cdn.entero.ru/mp@2x/d5/c3/d5c3d460093ed3d487df0eb219c50e87.jpg;https://cdn.entero.ru/mp@2x/87/e3/87e333aa506d067ec5408e28137a212b.jpg;https://cdn.entero.ru/mp@2x/d1/4f/d14fc83811ec5bc3e8bd9531c710ef4a.jpg,Термосумка Luxstahl на 5-6 пицц 420х420х300 мм фольгированная большая с вентиляцией черная,1613,4470,RUB,Да,Luxstahl,Профоборудование,Оборудование для кейтеринга,Термосумки,https://entero.ru/item/125262,"<p>Термосумка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125262""><b class=""b"">Luxstahl</b></a> используется на предприятиях общественного питания и торговли для временного хранения и транспортировки пиццы и других готовых блюд. Модель с вентиляцией позволяет сохранять температуру своего содержимого неизменной на протяжении длительного периода времени. Люверсы предназначены для вывода излишков влаги из термосумки. Верхний материал выполнен из ткани Оксфорд 1680D c полиуретановой водоотталкивающей пропиткой PU, утеплитель - нетканый материал, состоящий из полых волокон в форме пружин, внутренняя фольга - высокопрочная полиэфирная пленка, покрытая слоем алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 5-6 пицц диаметром 35 см</li>
<li>Ширина коробки: до 35 см</li>
<li>Люверс: 6 мм</li>
<li>Утеплитель: холлофайбер ХАРД 650 гр, толщина 2 см</li>
<li>Цвет: черный</li>
</ul>",125262,420 мм,420 мм,300 мм,Китай,0,https://entero.ru/manuals/507960/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,6386,,"для пиццы, для горячих блюд"
https://cdn.entero.ru/mp@2x/51/7f/517f5a721cce05130397791105081554.jpg;https://cdn.entero.ru/mp@2x/13/95/13951d3b9d2f1cb497b1138fad319dc9.jpg;https://cdn.entero.ru/mp@2x/3c/e7/3ce74206042f551812afd00ec22858e0.jpg;https://cdn.entero.ru/mp@2x/c2/23/c223c6dfb835de56c68769841a063129.jpg;https://cdn.entero.ru/mp@2x/53/62/536239f1291bf0ab1a1872a1f53b2e70.jpg;https://cdn.entero.ru/mp@2x/8c/29/8c29e946d08168d09a94b00b3e74928e.jpg,Термосумка Luxstahl на 9-10 пицц 420х420х500 мм фольгированная с вентиляцией черная,10613,4909,RUB,Да,Luxstahl,Профоборудование,Оборудование для кейтеринга,Термосумки,https://entero.ru/item/125265,"<p>Термосумка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125265""><b class=""b"">Luxstahl</b></a> используется на предприятиях общественного питания и торговли для временного хранения и транспортировки пиццы и других готовых блюд. Модель с вентиляцией позволяет сохранять температуру своего содержимого неизменной на протяжении длительного периода времени. Люверсы предназначены для вывода излишков влаги из термосумки. Верхний материал выполнен из ткани Оксфорд 1680D c полиуретановой водоотталкивающей пропиткой PU, утеплитель - нетканый материал, состоящий из полых волокон в форме пружин, внутренняя фольга - высокопрочная полиэфирная пленка, покрытая слоем алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 9-10 пицц диаметром 35 см</li>
<li>Ширина коробки: до 35 см</li>
<li>Люверс: 6 мм</li>
<li>Утеплитель: холлофайбер ХАРД 650 гр, толщина 2 см</li>
<li>Цвет: черный</li>
</ul>",125265,420 мм,420 мм,500 мм,Китай,0,https://entero.ru/manuals/507965/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,,,"для пиццы, для горячих блюд"
https://cdn.entero.ru/mp@2x/ba/04/ba0445f6e1bea414140f8a68e4367ec6.jpg,Термосумка P.L. Proff Cuisine 81200224 на 2 пиццы (45 см),IPDB-216R,1801,RUB,Да,,Профоборудование,Оборудование для кейтеринга,Термосумки,https://entero.ru/item/274760,"<p>Термосумка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/274760""><b class=""b""><font color=""#3383d0"">P.L. Proff Cuisine 81200224 </font></b></a>используется на предприятиях пищевой промышленности, общественного питания и торговли для доставки пиццы в горячем виде. Изделие выполнено из высококачественной прочной плотной ткани красного цвета. </p>",274760,460 мм,460 мм,,Китай,0,,,0.43 кг,для пиццы
