Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Объем,Цвет,Материал корпуса,Монтаж
https://cdn.entero.ru/mp@2x/a2/c4/a2c407251a0e1068bece33731bac6cb3.jpg,Дозатор для жидкого мыла Merida HARMONY MINI DHB102,DHB102,4227,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры для жидкого мыла,https://entero.ru/item/171543,"<p>Дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/171543"">Merida HARMONY MINI DHB102</a> </b>предназначен для размещения и дозированной подачи жидкого мыла в общественных санитарных узлах гостиниц, предприятий общепита, медицинских учреждений и других мест массового пребывания. Модель оснащена запираемой на ключ емкостью. Корпус изготовлен из ударопрочного белого АБС-пластика.</p>

<p>Минимальный заказ 2 единицы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Заправка мыла из любой канистры</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество порций 1 полной заправки: около 500</li>
</ul>",171543,нажимной,93 мм,102 мм,204 мм,,Китай,,,0,https://entero.ru/manuals/197462/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Merida%202021.pdf;https://entero.ru/manuals/197463/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,5093,,,0.5 л,белый,пластик,настенный
https://cdn.entero.ru/mp@2x/80/21/802143a68553492fad778e8dce4c663c.jpg,Диспенсер для жидкого мыла ПЛАСТХОЗ 500мл,Диспенсер для жидкого мыла ПЛАСТХОЗ 500мл,827,RUB,Да,ПЛАСТХОЗ,Профоборудование,Оборудование для общественных санузлов,Диспенсеры для жидкого мыла,https://entero.ru/item/268142,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/268142""><b class=""b"">ПЛАСТХОЗ </b></a>предназначен для подачи жидкого мыла в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других мест большой проходимости. Корпус выполнен из белого пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Надежный дозирующий механизм</li>
<li>Крепится к стене</li>
<li>Прозрачное окно: визуальный контроль уровня средства и своевременная заправка</li>
<li>Простота ухода и очистки</li>
<li>Стильный дизайн</li>
<li>Компактность</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Разовая дозировка: 1 мл</li>
</ul>",268142,нажимной,80 мм,70 мм,215 мм,,Россия,,,0,,1009,,,0.5 л,,пластик,настенный
https://cdn.entero.ru/mp@2x/b2/31/b23191d887ba26b01d40927c4e6cbbb0.jpg;https://cdn.entero.ru/mp@2x/97/e1/97e11ca8be146f2a680a0e2991600aa5.jpg;https://cdn.entero.ru/mp@2x/5e/4c/5e4cbac872a57663aeee6419ef083a79.jpg;https://cdn.entero.ru/mp@2x/10/b5/10b5561f6af8bf8d3bdb11a96f76e981.jpg;https://cdn.entero.ru/mp@2x/f1/6a/f16aefa51776275889b2875f03c0ec19.jpg,Дозатор для жидкого мыла Vulcan 06-1000A 1000 мл нерж. сталь глянцевый,06-1000A,2399,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры для жидкого мыла,https://entero.ru/item/346362,"<p>Дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346362""><b class=""b"">Vulcan 06-1000A </b></a>предназначен для размещения и дозированной подачи жидкого мыла или антисептика в санитарных узлах гостиниц, предприятий общественного питания и торговли, медицинских и образовательных учреждений, развлекательных комплексов и других мест массового пребывания. Модель оснащена нажимной дозирующей ручкой с круглым наконечником. Вертикально ориентированный корпус изготовлен из нержавеющей стали с глянцевой серебристой поверхностью.</p>

<p>В комплект поставки входят монтажная планка, 3 дюбеля и 3 шурупа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Прозрачное круглое окошко для визуального контроля уровня мыла</li>
<li>Настенный монтаж</li>
<li>Эргономичный дизайн</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",346362,нажимной,122 мм,97 мм,202 мм,,Китай,,,0,https://entero.ru/manuals/424638/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,2962,,0.41 кг,1 л,нерж. сталь,сталь,настенный
https://cdn.entero.ru/mp@2x/88/11/881105796b4d42981ca8d1f08971d102.jpg;https://cdn.entero.ru/mp@2x/d9/9e/d99e00bbb8a407a28bbd00c58fe0bcfb.jpg;https://cdn.entero.ru/mp@2x/f8/72/f8726fd944e0f54ab04f6bd4742d5313.jpg;https://cdn.entero.ru/mp@2x/e5/20/e520bc65ef9a6f5fd68aa0b2f37fb8a5.jpg,"Диспенсер для жидкого мыла BINELE mBase DE03BW картриджный, белый","Диспенсер для жидкого мыла BINELE mBase DE03BW картриджный, белый",3365,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры для жидкого мыла,https://entero.ru/item/207155,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/207155""><b class=""b"">BINELE mBase DE03BW </b></a>предназначен для размещения и дозированной подачи жидкого мыла в общественных санитарных узлах гостиниц, предприятий общепита, медицинских учреждений и других мест массового пребывания. Модель оснащена защитой от несанкционированного доступа. Корпус изготовлен из ударопрочного АБС-пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Смотровое окно для отслеживания дозируемого средства</li>
<li>Возможность регулирования дозы</li>
<li>Используется с наливным контейнером или одноразовым картриджем</li>
<li>Удобная система открытия с помощью ключа или кнопки</li>
<li>Защита от протечек</li>
<li>Подходит для применения людьми с ограниченными возможностями</li>
<li>Объем контейнера экономит время на частый долив средства</li>
<li>Рекомендуется применять в местах с большим потоком людей</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Дозировка: от 0,5 до 1 мл</li>
</ul>",207155,нажимной,154 мм,100 мм,280 мм,,Россия,,,0,,,,0.6 кг,1 л,белый,пластик,настенный
https://cdn.entero.ru/mp@2x/6c/9b/6c9b9600a07e7b5163d31b85ba18ace1.jpg,Дозатор для жидкого мыла Merida HARMONY MAXI DHB101,DHB101,5126,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры для жидкого мыла,https://entero.ru/item/171537,"<p>Дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/171537"">Merida HARMONY MAXI DHB101</a> </b>предназначен для размещения и дозированной подачи жидкого мыла в общественных санитарных узлах гостиниц, предприятий общепита, медицинских учреждений и других мест массового пребывания. Модель оснащена запираемой на ключ емкостью. Корпус изготовлен из ударопрочного белого АБС-пластика.</p>

<p>Минимальный заказ 2 единицы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Заправка мыла из любой канистры</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество порций 1 полной заправки: около 1200</li>
</ul>",171537,нажимной,140 мм,126 мм,257 мм,,Китай,,,0,https://entero.ru/manuals/197457/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Merida%202021.pdf;https://entero.ru/manuals/197458/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/197460/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%20Merida%20HARMONY%20MAXI%20DHB101.pdf,7119,,,1.2 л,белый,пластик,настенный
https://cdn.entero.ru/mp@2x/d7/87/d7879b72700bca6d3a25477ecb65994e.jpg,"Дозатор жидкого мыла CLEANEQ KW-7226 1,2 л (АБС пластик) черный глянец",KW-7226 черный глянец,1571,RUB,Да,CLEANEQ,Профоборудование,Оборудование для общественных санузлов,Диспенсеры для жидкого мыла,https://entero.ru/item/355238,"<p>Дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/355238""><b class=""b"">CLEANEQ KW-7226</b></a> предназначен для размещения и дозированной подачи жидкого мыла в общественных санитарных узлах гостиниц, предприятий общественного питания, вокзалов, медицинских учреждений и других мест массового пребывания. Модель оснащена широкой нажимной кнопкой. Вертикально ориентированный корпус с обтекаемым фронтом изготовлен из ударопрочного АБС пластика с поверхностью черный глянец, кнопка серого цвета.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Окошко для визуального контроля уровня наполнения</li>
<li>Оптимальное дозирование с экономичным расходом</li>
<li>Запираемая на ключ крышка </li>
<li>Настенный монтаж</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем дозы одного нажатия: 1 мл</li>
</ul>",355238,нажимной,138 мм,102 мм,232 мм,,Китай,,,0,https://entero.ru/manuals/451228/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20CLEANEQ.pdf,1893,,0.52 кг,1.2 л,,пластик,настенный
https://cdn.entero.ru/mp@2x/cf/53/cf5310cabb8d396f2b83313393e5c6ad.jpg,Дозатор для жидкого мыла Китай RGS-3049A 500 мл,Дозатор для жидкого мыла Китай RGS-3049A 500 мл,2477,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры для жидкого мыла,https://entero.ru/item/268572,"<p>Дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/268572""><b class=""b"">Китай 500мл </b></a>предназначен для порционной подачи моющего средства на кухне общепита, отелей, торговых центров, больниц и учебных заведений. Модель оснащена креплением на стену и смотровым окошком для контроля наличия средства. Изделие выполнено из нержавеющей стали с зеркальной полировкой.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Приводится в действие нажатием на кнопку</li>
<li>Антивандальный корпус </li>
</ul>",268572,нажимной,150 мм,100 мм,55 мм,,Китай,,,0,,3539,,,500 л,нерж. сталь,сталь,настенный
https://cdn.entero.ru/mp@2x/65/f2/65f2bb04f5e05497fa933c94d42d0f4d.jpg,Диспенсер для жидкого мыла Merida ONE DEC001,DEC001,4713,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры для жидкого мыла,https://entero.ru/item/296189,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/296189"">Merida ONE DEC001</a></b> предназначен для размещения и дозированной подачи жидкого мыла в общественных санитарных узлах гостиниц, предприятий общепита, медицинских учреждений и других мест массового пребывания. Модель оснащена смотровым окном для отслеживания дозируемого средства. Корпус изготовлен из ударопрочного АБС-пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Объем контейнера экономит время на частый долив средства</li>
<li>Механический с регулированием дозы</li>
<li>Подходит для применения людьми с ограниченными возможностями</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: черный</li>
</ul>",296189,нажимной,154 мм,100 мм,280 мм,,Россия,,,0,,6201,,,1 л,черный,пластик,настенный
https://cdn.entero.ru/mp@2x/b4/80/b48061b326c5e0f16bf6d61e73ed77f7.jpg,"Диспенсер для жидкого мыла Starmix CJ 1008 S наливной, шлифованная сталь",CJ1008 S,5032,RUB,Да,Starmix,Профоборудование,Оборудование для общественных санузлов,Диспенсеры для жидкого мыла,https://entero.ru/item/225415,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225415""><b class=""b"">Starmix CJ 1008 S </b></a>предназначен для подачи жидкого мыла в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других мест большой проходимости. Модель оснащена смотровым окошком для контроля уровня мыла. Корпус выполнен из шлифованной нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подходит для использования жидкого мыла в картриджах</li>
<li>Надежный дозирующий механизм</li>
<li>Антивандальная защита</li>
<li>Крепится к стене</li>
<li>На корпусе не остается следов</li>
<li>Герметичная конструкция</li>
<li>Простая заправка расходного материала и удобное обслуживание</li>
<li>Простота ухода и очистки</li>
<li>Стильный дизайн</li>
<li>Компактность</li>
</ul>",225415,нажимной,105 мм,70 мм,160 мм,,Германия,,,0,,,,,0.7 л,нерж. сталь,пластик,настенный
https://cdn.entero.ru/mp@2x/6a/87/6a87d3ca2f356654ea2d24a5cd89a196.jpg;https://cdn.entero.ru/mp@2x/ac/ea/acea06f6f07f4e3c87ff54a5d26aacad.jpg;https://cdn.entero.ru/mp@2x/72/c4/72c40918b8f1a687c9b1976404a065ad.jpg,"Диспенсер для спрей-жидкости BINELE iSpray DS20RB наливной сенсорный, черный","Диспенсер для спрей-жидкости BINELE iSpray DS20RB наливной сенсорный, черный",8586,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры для жидкого мыла,https://entero.ru/item/207345,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/207345""><b class=""b"">BINELE iSpray DS20RB </b></a>предназначен для размещения и дозированной подачи спрей-жидкости в общественных санитарных узлах гостиниц, предприятий общепита, медицинских учреждений и других мест массового пребывания. Модель оснащена защитой от несанкционированного доступа. Корпус изготовлен из ударопрочного АБС-пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>4 батарейки LR14 типа С со сроком службы до 80000 циклов</li>
<li>3 положения для регулирования дозы подачи средства</li>
<li>Смотровое окно для отслеживания дозируемого средства</li>
<li>Удобная система открытия с помощью ключа или кнопки</li>
<li>Используется с наливным контейнером или одноразовым картриджем</li>
<li>Объем контейнера экономит время на частый долив средства</li>
<li>Защита от протечек</li>
<li>Подходит для применения людьми с ограниченными возможностями</li>
<li>Рекомендуется применять в местах с большим потоком людей</li>
<li>Максимальное соблюдение гигиены</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Дозировка: 0,5/1/1,5 мл</li>
<li>Область срабатывания сенсора: 70-100 мм</li>
</ul>",207345,бесконтактный,154 мм,100 мм,280 мм,,Россия,,,0,https://entero.ru/manuals/242656/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20BINELE%20iSpray%20DS20RB%20%D0%BD%D0%B0%D0%BB%D0%B8%D0%B2%D0%BD%D0%BE%D0%B9%20%D1%81%D0%B5%D0%BD%D1%81%D0%BE%D1%80%D0%BD%D1%8B%D0%B9_%20%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9.docx,,,1 кг,1 л,черный,пластик,настенный
