Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Материал,Цвет,Расходный материал
https://cdn.entero.ru/mp@2x/29/8c/298cd2d0be9a928652329d3847a75dab.jpg;https://cdn.entero.ru/mp@2x/2d/f1/2df16e8fbe03fb27aefd708e77268d74.jpg;https://cdn.entero.ru/mp@2x/af/8d/af8d69d721c47f46b80f1b3e82e00fa0.jpg;https://cdn.entero.ru/mp@2x/e4/d7/e4d768f1b571fd602bb15776cd876b09.jpg;https://cdn.entero.ru/mp@2x/76/53/765393da5a0f5e5be63cd3cf34b7e4be.jpg;https://cdn.entero.ru/mp@2x/3f/50/3f5064b14da4f732626f690d70eb5f7a.jpg,Диспенсер для бумажных полотенец Merida HARMONY CHB301 автоматический,CHB301,12853,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры,https://entero.ru/item/171302,"<p>Автоматический диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/171302""><b class=""b"">Merida HARMONY CHB301 </b></a>предназначен для гигиеничного размещения и дозированной подачи бумажных полотенец из рулона с адаптером в общественных санитарных узлах гостиниц, предприятий общепита, медицинских учреждений и других мест массового пребывания. Модель запирается на ключ. Корпус изготовлен из ударопрочного АБС-пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Дозирующее отверстие специальной формы для точного и экономного полистового расхода</li>
<li>Контроль наличия полотенец через полупрозрачную крышку</li>
<li>Рычаг для принудительного вытягивания рулона</li>
<li>Светодиодный индикатор окончания рулона</li>
<li>Современный лаконичный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр рулона: 190 мм </li>
<li>Длина 1 полотенца: 270 мм</li>
</ul>",171302,341 мм,222 мм,384 мм,3.45 кг,1,350x240x400 мм,0,https://entero.ru/manuals/197167/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Merida%202021.pdf;https://entero.ru/manuals/197168/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,3.45 кг,,Китай,,пластик,белый,бумажные полотенца
https://cdn.entero.ru/mp@2x/c6/8f/c68f123f5f5b0653e9658c76709e85e0.jpg;https://cdn.entero.ru/mp@2x/1d/5d/1d5d1c8f14487ebe40d1afbf1330bdf5.jpg,Диспенсер для туалетной бумаги Jofel AE51000,100270,2644,RUB,Да,Jofel,Профоборудование,Оборудование для общественных санузлов,Диспенсеры,https://entero.ru/item/189710,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/189710"">Jofel AE51000</a></b> серии Azur используется в туалетных комнатах кафе, баров, ресторанов, торговых центров и офисов для гигиеничного размещения и дозированной подачи туалетной бумаги. Модель оснащена смотровым окном для контроля расхода. Корпус выполнен из белого ABS-пластика.</p>

<p>В комплект поставки входят черный ключ с 2 выступами, 3 дюбеля и 3 винта для крепления на стену.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Диспенсер для промышленных рулонов бумаги</li>
<li>Замок с ключом и смотровое окно для контроля расхода</li>
<li>Передняя часть откидывается для заправки рулона бумаги</li>
<li>Возможность клеевой фиксации (материалы не входят в комплект поставки и приобретаются отдельно)</li>
<li>Прочность, надежность и долговечность</li>
<li>Простая очистка, замена рулона и обслуживание</li>
<li>Актуальный современный дизайн</li>
<li>Легко вписывается в любую планировку и интерьер</li>
<li>Рекомендуется для заведений со средней или высокой проходимостью</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр посадочной втулки: 45 мм</li>
<li>Макс. диаметр рулона: 220 мм</li>
<li>Макс. длина рулона: 300 м</li>
<li>Габариты в упаковке: 275х131х284 мм</li>
</ul>",189710,270 мм,118 мм,278 мм,,,,0,https://entero.ru/manuals/220535/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Jofel%20AE51000.pdf;https://entero.ru/manuals/220537/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Jofel%20AE51000.jpg,,0.67 кг,,Испания,,пластик,белый,туалетная бумага
https://cdn.entero.ru/mp@2x/88/73/8873c5d6838c9df7484270cb49040f4d.jpg,"Диспенсер для бумажных полотенец Puff 5610 антивандальный, матовая сталь",1402.008,4904,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры,https://entero.ru/item/172657,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/172657""><b class=""b"">Puff 5610 </b></a>предназначен для гигиеничного размещения и дозированной подачи бумажных полотенец в санитарных узлах офисов, гостиниц, предприятий общественного питания, медицинских учреждений и других мест средней проходимости. Модель имеет окошко индикации наличия бумаги. Корпус изготовлен из нержавеющей стали 201 с матовой поверхностью.</p>

<p>В комплект поставки входит набор крепежа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Расходный материал: листовые бумажные полотенца Z и V сложения</li>
<li>Настенный монтаж</li>
<li>Ручное управление</li>
<li>Антивандальная защита</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка: от 250 до 375 шт.</li>
<li>Размер листа: 275х210х85 мм</li>
<li>Размер листа в сложенном виде: 270х85 мм</li>
</ul>",172657,280 мм,102 мм,260 мм,,,,0,,,1.3 кг,,Россия,,нерж. сталь,,бумажные полотенца
https://cdn.entero.ru/mp@2x/42/63/4263a9807764f39f7350a67e6bb1ac98.jpg;https://cdn.entero.ru/mp@2x/c3/63/c363df990cb9f7e6715b53f26a807250.jpg;https://cdn.entero.ru/mp@2x/9c/8c/9c8cb7c977e6fcd5f150d2b22c8ec65a.jpg;https://cdn.entero.ru/mp@2x/9c/aa/9caacec479fb3c9a9a69ce2d86cb2b50.jpg;https://cdn.entero.ru/mp@2x/70/27/70272bb76b8d4885ac333e37c0842127.jpg,Диспенсер для туалетной бумаги Merida MINI BQM201 матовый,BQM201,6397,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры,https://entero.ru/item/171021,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/171021""><b class=""b"">Merida MINI BQM201 </b></a>предназначен для гигиеничного размещения и подачи туалетной бумаги в общественных санитарных узлах гостиниц, предприятий общепита, медицинских учреждений и других мест массового пребывания. Модель оснащена замком и окошком контроля количества бумаги. Корпус изготовлен из хромированного металла. </p>

<p>В комплект поставки входит запасной ключ.</p>

<p>Минимальный заказ: 2 ед.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Матовая поверхность</li>
<li>Настенный монтаж</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 0,8 мм</li>
<li>Диаметр рулона: до 190 мм </li>
</ul>",171021,260 мм,118 мм,265 мм,1.3 кг,1,265x125x275 мм,0,https://entero.ru/manuals/196760/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Merida%202021.pdf,,1.35 кг,,Китай,,нерж. сталь,хром,туалетная бумага
https://cdn.entero.ru/mp@2x/3b/37/3b37eaaf355233e2261fbdc7730a493b.jpg,Диспенсер для бумажных полотенец VIATTO OK-518B (нерж. сталь),Диспенсер для бумажных полотенец VIATTO OK-518B (нерж. сталь),2285,RUB,Да,VIATTO,Профоборудование,Оборудование для общественных санузлов,Диспенсеры,https://entero.ru/item/204577,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/204577""><b class=""b"">VIATTO OOK-518B </b></a>предназначен для размещения и подачи бумажных полотенец в общественных санитарных узлах офисов, предприятий общепита, медицинских учреждений и других мест большой проходимости. Подходит для листовых полотенец Z-сложения длиной до 230 мм. Изделие выполнено из нержавеющей стали.</p>

<p> </p>",204577,283 мм,100 мм,260 мм,1.62 кг,1,303x120x280 мм,14,https://entero.ru/manuals/463146/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/463147/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,1.6 кг,,Китай,1.62 кг,нерж. сталь,,бумажные полотенца
https://cdn.entero.ru/mp@2x/e4/11/e4116ceb2018ec96131165204b1c9e01.jpg;https://cdn.entero.ru/mp@2x/6a/2d/6a2df9538d576467b73558841ebaf033.jpg;https://cdn.entero.ru/mp@2x/f1/17/f117a240ee753281923699b16b257378.jpg;https://cdn.entero.ru/mp@2x/de/f4/def4ec15cad45c36c87d0392f3e9faa6.jpg;https://cdn.entero.ru/mp@2x/88/9f/889fd5c9dce656a5da5d67d44ad19104.jpg,"Диспенсер для бумажных полотенец Merida HARMONY AHB102, Z-сложение",AHB102,4227,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры,https://entero.ru/item/171301,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/171301""><b class=""b"">Merida HARMONY AHB102 </b></a>предназначен для гигиеничного размещения и дозированной подачи отдельных листов бумажных полотенец Z-сложения в общественных санитарных узлах гостиниц, предприятий общепита, медицинских учреждений и других мест массового пребывания. Модель запирается на ключ. Корпус изготовлен из ударопрочного АБС-пластика.</p>

<p>Минимальный заказ: 2 ед.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Дозирующее отверстие специальной формы для точного и экономного полистового расхода</li>
<li>Контроль наличия полотенец через полупрозрачную крышку</li>
<li>Антивандальный замок - клевер</li>
<li>Современный лаконичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: до 700 шт.</li>
</ul>",171301,324 мм,110 мм,348 мм,1.4 кг,1,330x115x370 мм,0,https://entero.ru/manuals/197165/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Merida%202021.pdf;https://entero.ru/manuals/197166/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,1.4 кг,,Китай,,пластик,белый,бумажные полотенца
https://cdn.entero.ru/mp@2x/d8/7e/d87e46c26ad5129e41cc61e294c88e73.jpg;https://cdn.entero.ru/mp@2x/ca/cd/cacd5c7f30596daab029ca121e41727d.jpg;https://cdn.entero.ru/mp@2x/18/d4/18d4c200c01419a7d02cc31be1a04f02.jpg;https://cdn.entero.ru/mp@2x/34/16/34161cbe41e0dd8775accf9f02a08434.jpg;https://cdn.entero.ru/mp@2x/5e/c4/5ec4b60c73b02dbfc3e863398f731d8e.jpg;https://cdn.entero.ru/mp@2x/04/4b/044bba96a640f741f5dc04ce8a680e9b.jpg,Диспенсер для туалетной бумаги Merida HARMONY MAXI BHB101,BHB101,4227,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры,https://entero.ru/item/171315,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/171315""><b class=""b"">Merida HARMONY HARMONY MAXI BHB101 </b></a>предназначен для размещения и подачи туалетной бумаги из рулонов в общественных санитарных узлах гостиниц, предприятий общепита, медицинских учреждений и других мест массового пребывания. Модель запирается на ключ. Корпус изготовлен из ударопрочного АБС-пластика.</p>

<p>Минимальный заказ: 2 ед.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Дозирующее отверстие специальной формы для точного и экономного полистового расхода</li>
<li>Контроль наличия бумаги через полупрозрачную крышку</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр втулки: от 60 мм</li>
<li>Максимальный диаметр рулона: 230 мм<b>​</b></li>
</ul>",171315,258 мм,121 мм,277 мм,0.95 кг,1,270x140x285 мм,0,https://entero.ru/manuals/197188/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Merida%202021.pdf;https://entero.ru/manuals/197189/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,0.85 кг,,Китай,,пластик,белый,туалетная бумага
https://cdn.entero.ru/mp@2x/2d/51/2d513679b9331a0c6703e885f3d59c5c.jpg;https://cdn.entero.ru/mp@2x/c0/e1/c0e12b10ec9dbb750b7d94cb228f6178.jpg;https://cdn.entero.ru/mp@2x/d6/bd/d6bdede1236c0303a4b40b14de7a9525.jpg;https://cdn.entero.ru/mp@2x/17/78/1778b320968e756a8908e131215beace.jpg,Автоматический диспенсер для освежителя воздуха Merida HARMONY LED GHB702,GHB702,4713,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры,https://entero.ru/item/313760,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/313760""><b class=""b"">Merida​ HARMONY Bluetooth GHB701</b></a> предназначен для распыления освежителя воздуха в общественных санитарных узлах офисов, предприятий общественного питания, медицинских учреждений и других мест большой проходимости. Модель оснащена замком. Корпус выполнен из высокопрочного глянцевого ABS-пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Индикация замены баллончика (красный) и правильной работы (зеленый)</li>
<li>3 режима работы: день / ночь / сутки</li>
<li>Современный лаконичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем помещения: до 170 м<sup>3</sup></li>
<li>Интервалы распыления: 7,5 / 15 / 30 мин.</li>
<li>Объем баллончика: 270 мл</li>
</ul>",313760,88 мм,88 мм,224 мм,0.5 кг,1,95x90x240 мм,0,,6638,0.4 кг,Россия,Россия,,пластик,белый,освежитель воздуха
https://cdn.entero.ru/mp@2x/e6/be/e6be5abe04e10732b87fbc8e2570d9fc.jpg,Диспенсер гигиенических покрытий на унитаз Merida STELLA R BLACK GSC001.R (нерж. сталь) черный,GSC001.R,12157,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры,https://entero.ru/item/357033,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/357033""><b class=""b"">Merida STELLA R BLACK GSC001.R</b></a> предназначен для размещения и подачи гигиенических покрытий на унитаз в общественных санитарных узлах гостиниц, вокзалов, предприятий общественного питания, медицинских учреждений и других мест массового пребывания. Модель оснащена запираемой на ключ крышкой и фронтальным прямоугольным отверстием для выдачи. Вертикально ориентированный корпус прямоугольного сечения изготовлен из нержавеющей стали марки AISI 304 с матовым покрытием черной порошковой краской, упаковка – гофрокороб.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Антивандальная конструкция</li>
<li>Барабанный замок заподлицо с поверхностью, скрытые петли и зашлифованные сварные соединения боковых стенок</li>
<li>Настенный монтаж</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный дизайн в стиле минимализм</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Тип сложения гигиенических покрытий: 1/4</li>
<li>Максимальная вместимость: 100 шт.</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",357033,220 мм,40 мм,285 мм,,,,0,,,1.2 кг,,,,нерж. сталь,черный,гигиенические покрытия на унитаз
https://cdn.entero.ru/mp@2x/33/10/33100e7cc9debbc94626b224ce2e5652.jpg,"Диспенсер для туалетной бумаги Merida STELLA R MINI BSC203.R матовый, черный",BSC203.R,14144,RUB,Да,,Профоборудование,Оборудование для общественных санузлов,Диспенсеры,https://entero.ru/item/313878,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/313878""><b class=""b"">Merida STELLA R MINI BSP203.R </b></a>предназначен для размещения и подачи туалетной бумаги в рулонах в общественных санитарных узлах гостиниц, предприятий общепита, медицинских учреждений и других мест массового пребывания. Модель оснащена запираемым на ключ барабанным замком и окошком индикации наличия бумаги. Корпус изготовлен из полированной нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Скрытые петли, замок заподлицо с поверхностью и зашлифованные сварные соединения боковых стенок для безупречной эстетики внешнего вида</li>
<li>Контроль наличия бумаги через окошко </li>
<li>Черное порошковое покрытие</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр рулона: 210 мм</li>
<li>Диаметр втулки: от 55 мм</li>
<li>Толщина стали: 1 мм</li>
</ul>",313878,225 мм,107 мм,270 мм,2 кг,1,280x120x335 мм,0,,,1.95 кг,,Россия,,нерж. сталь,черный,туалетная бумага
