Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Страна-производитель,Производительность,Потребляемая мощность,Скорость вращения,Максимальная загрузка,Размер чаши (ШxГxВ),Термодатчик
https://cdn.entero.ru/mp@2x/93/3e/933e882955344e0bd78bf368bc2cad9e.jpg;https://cdn.entero.ru/mp@2x/b7/4e/b74e4ad3fa82cb382f6e59ab3db8471f.jpg;https://cdn.entero.ru/mp@2x/e1/77/e17759db899bc09f7afbbb44770bee6f.jpg,Меланжер Kadzama 7 кг lite,Меланжер Kadzama 7 кг lite,208078,RUB,Нет,,Профоборудование,Оборудование для шоколада,Меланжеры,https://entero.ru/item/231690,"<p>Меланжер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231690"">Kadzama 7 кг lite</a></b> предназначен для перетирания какао-бобов, сахара, орехов и других твердых ингредиентов до однородной массы на предприятиях общественного питания и торговли. Модель оснащена каменными жерновами, съемными перемешивающими скребками и чашей без крышки. Корпус частично выполнен из стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемый прижим камней</li>
<li>Запатентованные камни со спиральной проточкой обеспечивают высокую эффективность помола</li>
<li>Регулируемая скорость вращения</li>
<li>Кнопка аварийной остановки</li>
<li>Автоматический выключатель на задней стенке корпуса</li>
<li>Отвод тепла через неприкрытые металлом части корпуса (дно и задняя стенка)</li>
<li>Переключатель On/Off</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка: от 4,5 до 7 кг</li>
<li>Габариты в упаковке: 680х450х680 мм</li>
</ul>",231690,220 В,390 мм,600 мм,600 мм,55 кг,1,680x450x680 мм,0,https://entero.ru/manuals/278525/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kadzama%207%20%D0%BA%D0%B3%20lite.pdf,216748,https://vk.com/video_ext.php?oid=-177656185&id=456239205&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240127&hd=2&autoplay=0,50 кг,Россия,от 100 до 110 кг/мес.,0.55 кВт,от 0 до 90 об/мин.,7 кг,282х282х185 мм,
https://cdn.entero.ru/mp@2x/e2/fa/e2facb51e6ea65519808d5782759d1c7.jpg;https://cdn.entero.ru/mp@2x/6d/ad/6dadf9ed98327a9c67c1438d38e39bb4.jpg;https://cdn.entero.ru/mp@2x/28/a0/28a0af30353d2e59f9ae667865efa342.jpg,Меланжер Kadzama 7 кг,Меланжер Kadzama 7 кг,264827,RUB,Нет,,Профоборудование,Оборудование для шоколада,Меланжеры,https://entero.ru/item/231688,"<p>Меланжер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231688"">Kadzama 7 кг</a></b> предназначен для перетирания какао-бобов, сахара, орехов и других твердых ингредиентов до однородной массы на предприятиях общественного питания и торговли. Модель оснащена каменными жерновами, съемными перемешивающими скребками и чашей с крышкой. Корпус выполнен из стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемый прижим камней</li>
<li>Запатентованные камни со спиральной проточкой обеспечивают высокую эффективность помола</li>
<li>Регулируемая скорость вращения</li>
<li>Датчик, останавливающий вращение чаши при снятии крышки</li>
<li>Кнопка аварийной остановки</li>
<li>Автоматический выключатель на задней стенке корпуса</li>
<li>Кнопки Старт и Стоп</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка: от 4,5 до 7 кг</li>
<li>Габариты в упаковке: 650х500х650 мм</li>
</ul>",231688,220 В,450 мм,550 мм,580 мм,50 кг,1,650x500x650 мм,0,https://entero.ru/manuals/278523/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kadzama%207%20%D0%BA%D0%B3.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239205&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239296&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240127&hd=2&autoplay=0,45 кг,Россия,от 100 до 110 кг/мес.,0.55 кВт,от 0 до 90 об/мин.,7 кг,282х282х185 мм,
https://cdn.entero.ru/mp@2x/7e/22/7e223259485ec5115a2e9d6a702300b3.jpg;https://cdn.entero.ru/mp@2x/55/3b/553bac7942c15c22f868243a8b5fc616.jpg;https://cdn.entero.ru/mp@2x/66/d6/66d6c8f74d7726cd1db7db31685705d8.jpg;https://cdn.entero.ru/mp@2x/c9/fa/c9fa0366253515e01e9669a2b9c4bb93.jpg,Меланжер 100% Chef Premier Chocolate Wet Miller,Меланжер 100% Chef Premier Chocolate Wet Miller,51054,RUB,Нет,,Профоборудование,Оборудование для шоколада,Меланжеры,https://entero.ru/item/355175,"<p>Меланжер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/355175"">100% Chef Premier Chocolate Wet Miller</a></b> предназначен для перетирания какао-бобов, сахара, орехов и других твердых ингредиентов до однородной массы на предприятиях общественного питания и торговли. Модель оснащена роликами и 2 боковыми лопатками, направляющими пасту к центру 2 камней, ускоряя процесс конширования. Ролики выполнены из гранита.</p>

<p>В комплект поставки входят мерный стакан и чистящая лопатка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настольная установка</li>
<li>Измельчение с низким уровнем воздействия: сохранение пищевой ценности</li>
<li>Система охлаждения для предотвращения перегрева двигателя</li>
<li>Мощный двигатель</li>
<li>Герметичные подшипники</li>
<li>Компактный размер</li>
<li>Сертификаты UL и CE</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время неприрывной работы: 72 ч</li>
<li>Вместимость: 2 л</li>
<li>Размер измельченных частиц: менее 20 микрон</li>
<li>Диаметр роликового камня: 105 мм</li>
<li>Толщина валика: 35 мм</li>
</ul>",355175,220 В,220 мм,220 мм,360 мм,,,,0,,,,,Испания,,от 0.2 до 0.2 кВт,от 120 до 140 об/мин.,1.5 кг,200х200х140 мм,
https://cdn.entero.ru/mp@2x/d4/85/d485efb3760084ed9505a01743f8a5ef.jpg;https://cdn.entero.ru/mp@2x/9b/29/9b29cf0771d8613ca99f2a2fbe946426.jpg;https://cdn.entero.ru/mp@2x/96/e5/96e5cf7f391de78475cf9f267da62204.jpg,Меланжер Abat МШ-07,11000009913,260700,RUB,Нет,Abat,Профоборудование,Оборудование для шоколада,Меланжеры,https://entero.ru/item/231832,"<p>Настольный меланжер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231832"">Abat МШ-07</a></b> предназначен для перетирания какао-бобов, сахара, орехов и других твердых ингредиентов до однородной пасты на предприятиях общественного питания и торговли, используемого при приготовлении шоколада, урбеча и ореховых паст. Модель оснащена электромеханической панелью управления и каменными жерновами. Перетирание сыпучих ингредиентов осуществляется с помощью жерновов во вращаемой чаше аппарата. Металлические детали машины, контактирующие с продуктами, выполнены из нержавеющей стали, пластиковые - из полиамида. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка скорости вращения чаши</li>
<li>Регулировка зазора между жерновами и гранитным диском</li>
<li>Блокировка работы при открытой крышке</li>
<li>Скребки для перемешивания продукта и создания однородной массы</li>
<li>Для вращающихся и трущихся поверхностей применена смазка Molykote G0050FG с наличием пищевого допуска H1 NSF</li>
<li>Установка без дополнительного монтажа</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Рабочая температура: от 10 до 45 °С</li>
<li>Максимальный уровень шума: 80 дБ</li>
</ul>",231832,220 В,615 мм,580 мм,620 мм,,,,0,https://entero.ru/manuals/318499/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%9C%D0%A8-07.pdf;https://entero.ru/manuals/352911/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%9C%D0%A8-07.pdf;https://entero.ru/manuals/461369/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9C%D0%A8-07.pdf,271563,,72 кг,Россия,,0.55 кВт,от 0 до 90 об/мин.,7 кг,,
https://cdn.entero.ru/mp@2x/29/16/29163f44cce79c817abdcc7c750296a2.jpg;https://cdn.entero.ru/mp@2x/97/fb/97fb5b1e155559f4d2152272b9fbefb2.jpg;https://cdn.entero.ru/mp@2x/bb/73/bb7333b6ee72c57afc8fa4347b756dda.jpg,Меланжер Kadzama 20 кг lite,Меланжер Kadzama 20 кг lite,485516,RUB,Нет,,Профоборудование,Оборудование для шоколада,Меланжеры,https://entero.ru/item/231693,"<p>Меланжер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231693"">Kadzama 20 кг lite</a></b> предназначен для перетирания какао-бобов, сахара, орехов и других твердых ингредиентов до однородной массы на предприятиях общественного питания и торговли. Модель оснащена каменными жерновами, съемными перемешивающими скребками и чашей без крышки. Корпус выполнен из стали, чаша - из нержавеющей стали AISI 304 с гранитным дном.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемый прижим камней</li>
<li>Запатентованные камни со спиральной проточкой обеспечивают высокую эффективность помола</li>
<li>Регулируемая скорость вращения</li>
<li>Ручной поворотный механизм с плавным ходом позволяет выгрузить содержимое чаши даже в случае отключения электроэнергии</li>
<li>Кнопка аварийной остановки</li>
<li>Переключатель On/Off</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка: от 12 до 20 кг</li>
<li>Габариты в упаковке: 1200х800х1450 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Вибросито</li>
</ul>",231693,220 В,875 мм,680 мм,1050 мм,,,,0,,505746,https://vk.com/video_ext.php?oid=-177656185&id=456239205&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240127&hd=2&autoplay=0,130 кг,Россия,300 кг/мес.,1.1 кВт,от 0 до 90 об/мин.,20 кг,,
https://cdn.entero.ru/mp@2x/61/d7/61d74a0ca98beb652d2387c7766283c3.jpg;https://cdn.entero.ru/mp@2x/f2/e3/f2e32e9c8bdc111a51fc33bcc8ee0647.jpg;https://cdn.entero.ru/mp@2x/03/82/03828f7cfb8e1947a918aeb4e4c9d6a8.jpg,Меланжер Kadzama 35 кг,Меланжер Kadzama 35 кг,725121,RUB,Нет,,Профоборудование,Оборудование для шоколада,Меланжеры,https://entero.ru/item/231742,"<p>Меланжер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231742"">Kadzama 35 кг</a></b> предназначен для перетирания какао-бобов, сахара, орехов и других твердых ингредиентов до однородной массы на предприятиях общественного питания и торговли. Модель оснащена каменными жерновами, съемными перемешивающими скребками и чашей с крышкой. Корпус выполнен из стали, чаша - из нержавеющей стали AISI 304 с гранитным дном.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемый прижим камней</li>
<li>Запатентованные камни со спиральной проточкой обеспечивают высокую эффективность помола</li>
<li>Регулируемая скорость вращения:
<ul>
<li>В ручном режиме - при помощи поворотного регулятора</li>
<li>В автоматическом режиме - при помощи контроллера с цифровым дисплеем, на котором задается верхний предел температуры массы. Скорость вращения будет автоматически снижаться при приближении к заданному значению </li>
</ul>
</li>
<li>Ручной поворотный механизм с плавным ходом позволяет выгрузить содержимое чаши даже в случае отключения электроэнергии</li>
<li>Датчик, останавливающий вращение чаши при снятии крышки</li>
<li>Кнопка аварийной остановки</li>
<li>Кнопки Старт и Стоп</li>
<li>Колеса со стопорами</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка: от 20 до 40 кг</li>
<li>Габариты в упаковке: 1200х800х1450 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Вибросито</li>
</ul>",231742,220 В,910 мм,680 мм,1100 мм,195 кг,1,1200x800x1450 мм,0,https://entero.ru/manuals/278575/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kadzama%2035%20%D0%BA%D0%B3.pdf,771405,https://vk.com/video_ext.php?oid=-177656185&id=456239205&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240127&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240508&hd=2&autoplay=0,170 кг,Россия,от 525 до 550 кг/мес.,2.2 кВт,от 0 до 90 об/мин.,40 кг,444х444х345 мм,Да
https://cdn.entero.ru/mp@2x/ed/1c/ed1c9c5f911c1525c278b88fa5e0d289.jpg;https://cdn.entero.ru/mp@2x/81/05/8105eee1e6ec02e20714632048e5c03c.jpg;https://cdn.entero.ru/mp@2x/40/83/4083015c361e62a095c0ebb0722bbd21.jpg,Меланжер Kadzama 85 кг,Меланжер Kadzama 85 кг,1171584,RUB,Нет,,Профоборудование,Оборудование для шоколада,Меланжеры,https://entero.ru/item/231805,"<p>Меланжер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231805"">Kadzama 85 кг</a></b> предназначен для перетирания какао-бобов, сахара, орехов и других твердых ингредиентов до однородной массы на предприятиях общественного питания и торговли. Модель оснащена каменными жерновами, съемными перемешивающими скребками и чашей с крышкой. Корпус выполнен из стали, чаша - из нержавеющей стали AISI 304 с гранитным дном.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемый прижим камней</li>
<li>Запатентованные камни со спиральной проточкой обеспечивают высокую эффективность помола</li>
<li>Регулируемая скорость вращения:
<ul>
<li>В ручном режиме - при помощи поворотного регулятора</li>
<li>В автоматическом режиме - при помощи контроллера с цифровым дисплеем, на котором задается верхний предел температуры массы. Скорость вращения будет автоматически снижаться при приближении к заданному значению </li>
</ul>
</li>
<li>Ручной поворотный механизм с плавным ходом позволяет выгрузить содержимое чаши даже в случае отключения электроэнергии</li>
<li>Датчик, останавливающий вращение чаши при снятии крышки</li>
<li>Кнопка аварийной остановки</li>
<li>Кнопки Старт и Стоп</li>
<li>Колеса со стопорами</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка: от 50 до 85 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Вибросито</li>
</ul>",231805,220 В,1150 мм,850 мм,1250 мм,,,,0,https://entero.ru/manuals/278621/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kadzama%2085%20%D0%BA%D0%B3.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239205&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240127&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240190&hd=2&autoplay=0,325 кг,Россия,от 1275 до 1350 кг/мес.,3 кВт,от 0 до 90 об/мин.,85 кг,594х594х509 мм,Да
https://cdn.entero.ru/mp@2x/79/1c/791c1f5a1d3b5566bbd10195af52d87a.jpg;https://cdn.entero.ru/mp@2x/66/54/66541600221ffdb95cf34b19d180b17a.jpg;https://cdn.entero.ru/mp@2x/14/17/141716a4b670f6df28533532379dc0ff.jpg;https://cdn.entero.ru/mp@2x/68/6c/686caff42f797a6266b62f8985b2a4ba.jpg;https://cdn.entero.ru/mp@2x/7e/1b/7e1bca8aa8a01e4f0ae7e08355e5fc92.jpg;https://cdn.entero.ru/mp@2x/60/06/6006c8493438f17f053a5a54bdc437c9.jpg;https://cdn.entero.ru/mp@2x/bb/cf/bbcfb51bb9d56b49838eb18faa855a6f.jpg,Меланжер-рафинер 100% Chef Twin Stones PRO для мокрого измельчения,Меланжер-рафинер 100% Chef Twin Stones PRO для мокрого измельчения,37417,RUB,Нет,,Профоборудование,Оборудование для шоколада,Меланжеры,https://entero.ru/item/355038,"<p>Меланжер-рафинер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/355038""><b class=""b"">100% Chef Twin Stones PRO</b></a> предназначен для перетирания какао-бобов, сахара, орехов и других твердых ингредиентов до однородной массы на предприятиях общественного питания и торговли. Чаша выполнена из нержавеющей стали, жернова - из черного гранита.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настольная установка</li>
<li>Метод мокрого измельчения</li>
<li>Бесшумный двигатель</li>
<li>Тепловой выключатель: предотвращение перегрева</li>
<li>Сертификат СЕ</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время неприрывной работы: 48 ч</li>
<li>Размер измельченных частиц: менее 20 микрон</li>
<li>Диаметр роликового камня: 100 мм</li>
</ul>",355038,220 В,250 мм,250 мм,460 мм,,,,0,,39805,,,Испания,,от 0.2 до 0.2 кВт,130 об/мин.,от 2.5 до 2.5 кг,250х250х170 мм,Да
https://cdn.entero.ru/mp@2x/da/3f/da3f65791aca7ed081bafc00a24c751d.jpg;https://cdn.entero.ru/mp@2x/b5/0a/b50a16fd47ddd6545f2cb0fd4e4450c1.jpg;https://cdn.entero.ru/mp@2x/41/ae/41aeb207a8170f2265555c708c393320.jpg,Меланжер Kadzama 65 кг,Меланжер Kadzama 65 кг,945810,RUB,Нет,,Профоборудование,Оборудование для шоколада,Меланжеры,https://entero.ru/item/231794,"<p>Меланжер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231794"">Kadzama 65 кг</a></b> предназначен для перетирания какао-бобов, сахара, орехов и других твердых ингредиентов до однородной массы на предприятиях общественного питания и торговли. Модель оснащена каменными жерновами, съемными перемешивающими скребками и чашей с крышкой. Корпус выполнен из стали, чаша - из нержавеющей стали AISI 304 с гранитным дном.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемый прижим камней</li>
<li>Запатентованные камни со спиральной проточкой обеспечивают высокую эффективность помола</li>
<li>Регулируемая скорость вращения:
<ul>
<li>В ручном режиме - при помощи поворотного регулятора</li>
<li>В автоматическом режиме - при помощи контроллера с цифровым дисплеем, на котором задается верхний предел температуры массы. Скорость вращения будет автоматически снижаться при приближении к заданному значению </li>
</ul>
</li>
<li>Ручной поворотный механизм с плавным ходом позволяет выгрузить содержимое чаши даже в случае отключения электроэнергии</li>
<li>Датчик, останавливающий вращение чаши при снятии крышки</li>
<li>Кнопка аварийной остановки</li>
<li>Кнопки Старт и Стоп</li>
<li>Колеса со стопорами</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка: от 40 до 65 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Вибросито</li>
</ul>",231794,220 В,1070 мм,800 мм,1180 мм,,,,0,https://entero.ru/manuals/278597/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kadzama%2065%20%D0%BA%D0%B3.pdf,995589,https://vk.com/video_ext.php?oid=-177656185&id=456239205&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240127&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239447&hd=2&autoplay=0,270 кг,Россия,1000 кг/мес.,3 кВт,от 0 до 90 об/мин.,65 кг,534х534х459 мм,Да
https://cdn.entero.ru/mp@2x/7b/ac/7bace18bbf723b1764bfb08a477d1c11.jpg;https://cdn.entero.ru/mp@2x/1a/3d/1a3db1ac363f888e33b325fbce95ad1a.jpg;https://cdn.entero.ru/mp@2x/f0/70/f0708c1e008a52d95684c29ed99da705.jpg,Вибросито Kadzama 240 мм для меланжеров,Вибросито Kadzama 240 мм для меланжеров,85218,RUB,Нет,,Профоборудование,Оборудование для шоколада,Меланжеры,https://entero.ru/item/231699,"<p>Вибросито<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231699""><b class=""b""> </b></a>используется совместно с меланжерами <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231699""><b class=""b"">Kadzama </b></a>с загрузкой от 20 до 90 кг на предприятиях общественного питания и торговли для очистки шоколада от недостаточно мелких частичек какао и от случайно попавших во время помола посторонних элементов. Модель оснащена регулятором мощности вибрации. Корпус выполнен из нержавеющей стали AISI 304.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр сита: 240 мм</li>
<li>Размер ячейки сита: 1 мм</li>
<li>Потребляемая мощность: 0,1 кВт*ч</li>
<li>Напряжение: 220 В</li>
<li>Габариты: 450х540х350 мм</li>
<li>Вес: 14,5 кг</li>
<li>Габариты в упаковке: 600х510х400 мм</li>
<li>Вес с упаковкой: 16,5 кг</li>
</ul>",231699,,,,,,,,0,https://entero.ru/manuals/278538/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kadzama%20240%20%D0%BC%D0%BC%20%D0%B4%D0%BB%D1%8F%20%D0%BC%D0%B5%D0%BB%D0%B0%D0%BD%D0%B6%D0%B5%D1%80%D0%BE%D0%B2.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240807&hd=2&autoplay=0,,,,,,,,
