Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Объем ванны,Вес (с упаковкой),Количество ванн,Максимальная загрузка,Перемешивание
https://cdn.entero.ru/mp@2x/26/55/265513214c083ddbc912cc80769c9db4.jpg;https://cdn.entero.ru/mp@2x/39/65/3965047574e7f6c8960b0de81d1c609a.jpg;https://cdn.entero.ru/mp@2x/96/a2/96a253dd29ca21f85869c0e0a804f5ac.jpg;https://cdn.entero.ru/mp@2x/36/f3/36f33604fc36aeec31940f04ab5bad14.jpg;https://cdn.entero.ru/mp@2x/e7/3c/e73c38bfc066dbfe24d205857dee1b71.jpg;https://cdn.entero.ru/mp@2x/d2/1b/d21b265a09842d91edf456c034e6d9b5.jpg;https://cdn.entero.ru/mp@2x/1c/a7/1ca7e74ba731d71096252f3cef86c344.jpg,Температор шоколада Kocateq DHC meltingchoc pro,Температор шоколада Kocateq DHC meltingchoc pro,23008,RUB,Да,Kocateq,Профоборудование,Оборудование для шоколада,Темперы для шоколада,https://entero.ru/item/188418,"<p>Температор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/188418"">Kocateq DHC meltingchoc pro</a> </b>предназначен для плавления и поддержания в горячем состоянии шоколада и глазури на предприятиях общественного питания и торговли. Модель оснащена 1 ванной под 2 гастроемкости, электронным термостатом для установки температуры, термощупом и нагреватеольными пластинами, расположенными по бокам и на дне камеры. Корпус выполнен из нержавеющей стали AISI 201, нагревательная пластина - из алюминия. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Сухой нагрев</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 0 до 85 °С</li>
<li>Вместимость гастроемкостей: 1x GN 2/3 / 2x GN 1/3 / 4x GN 1/6 / 6x GN 1/9</li>
<li>Загрузка расплавленного шоколада:
<ul>
<li>Максимальная: 12 кг</li>
<li>1 гастроемкость: 6 кг</li>
</ul>
</li>
<li>Внутренние размеры: 353x325x150 мм</li>
<li>Габариты в упаковке: 535x435x330 мм</li>
</ul>",188418,темперирующая ванна,220 В,0.5 кВт,465 мм,355 мм,260 мм,,,,0,https://entero.ru/manuals/279015/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20DHC%20meltingchoc%20pro.pdf;https://entero.ru/manuals/424790/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B8%20%D0%B3%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B5%D0%BC%D0%BA%D0%BE%D1%81%D1%82%D0%B5%D0%B9%20Kocateq%20DHC%20meltingchoc%20pro.jpg,23967,,,,Ю. Корея,,,,1,12 кг,
https://cdn.entero.ru/mp@2x/75/e7/75e70f603ce3873743e263957e6f172a.jpg;https://cdn.entero.ru/mp@2x/eb/87/eb879cdbf1a05fbdb642dab16387623c.jpg,Подогреватель для шоколада EKSI HW-23,Подогреватель для шоколада EKSI HW-23,10210,RUB,Да,EKSI,Профоборудование,Оборудование для шоколада,Темперы для шоколада,https://entero.ru/item/59323,"<p>Подогреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/59323"">EKSI HW-23</a></b> используется на предприятиях общественного питания и торговли для темперирования и поддержания в горячем виде шоколада и соусов. Модель оснащена 3 емкостями для работы с различными видами шоколада одновременно, 3 ТЭНами, 3 термостами независимой регулировки температуры и керамическими подогревателями. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 3 GN 1/6 глубиной 100 мм с крышками.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 30 до 110 °C</li>
</ul>",59323,темперирующая ванна,220 В,2 кВт,230 мм,640 мм,180 мм,9 кг,1,276x768x216 мм,13,https://entero.ru/manuals/64964/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EKSI%20HW-23.doc;https://entero.ru/manuals/93634/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EKSI.pdf,,,8.5 кг,Китай,Китай,,,,3,,
https://cdn.entero.ru/mp@2x/c4/f7/c4f7cc0c49fb6fe9994b413ca37b8fc9.jpg,Подогреватель для шоколада Hurakan HKN-CHM03,Подогреватель для шоколада Hurakan HKN-CHM03,12389,RUB,Да,Hurakan,Профоборудование,Оборудование для шоколада,Темперы для шоколада,https://entero.ru/item/250485,"<p>Подогреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/250485"">Hurakan HKN-CHM03</a></b> используется на предприятиях общественного питания и торговли для темперирования и поддержания в горячем виде шоколада и соусов. Модель оснащена 3 емкостями для работы с различными видами шоколада одновременно и 3 термостатами независимой регулировки температуры. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 3 GN 1/6 глубиной 100 мм с крышками.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 30 до 110 °С</li>
<li>Габариты в упаковке: 730х250х210 мм</li>
</ul>",250485,автоматическая темперирующая машина,220 В,1.2 кВт,660 мм,220 мм,160 мм,5 кг,1,250x740x190 мм,9,https://entero.ru/manuals/416015/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-CHM03.pdf;https://entero.ru/manuals/416016/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-CHM03.pdf;https://entero.ru/manuals/416017/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/307230/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/495213/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241098&hash=e819da6877dc3181,,,Китай,,,,3,,
https://cdn.entero.ru/mp@2x/65/fd/65fd630d612a0bbda27a1a7c8ee2a004.jpg;https://cdn.entero.ru/mp@2x/72/e8/72e8fc44f334f022de0489da55cbff04.jpg;https://cdn.entero.ru/mp@2x/5e/1f/5e1fc98b193270217da8e8be4c131cee.jpg;https://cdn.entero.ru/mp@2x/00/87/0087c77087b2c5bd270d0fe0d1bcdc9c.jpg;https://cdn.entero.ru/mp@2x/01/11/0111f0f5b685a6f05097470b6122dbc1.jpg;https://cdn.entero.ru/mp@2x/0d/a0/0da0fde030e4cce14891a03e5f40509f.jpg,Температор Kocateq DHC meltingchoc mini,Температор Kocateq DHC meltingchoc mini,18921,RUB,Да,Kocateq,Профоборудование,Оборудование для шоколада,Темперы для шоколада,https://entero.ru/item/262099,"<p>Температор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/262099""><b class=""b"">Kocateq DHC meltingchoc mini </b></a>предназначен для плавления и поддержания в горячем состоянии шоколада и глазури на предприятиях общественного питания и торговли. Модель оснащена ванной под гастроемкость, электронным термостатом для установки температуры, термощупом и нагревательными пластинами. Корпус выполнен из нержавеющей стали AISI 201, пластины - из алюминия.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровой контроллер с корректировкой гистерезиса</li>
<li>Сухой 3D нагрев</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 20 до 95 °C</li>
<li>Внутренние габариты ванны: 325x176х150 мм (GN 1/3)</li>
<li>Вместимость: от 1 до 6 кг шоколада</li>
<li>Вместимость ванной:
<ul>
<li>GN 1/6: 2 гастроемкости</li>
<li>GN 1/9: 3 гастроемкости</li>
</ul>
</li>
<li>Габариты упаковки: 435х369х330 мм</li>
</ul>",262099,темперирующая ванна,220 В,0.5 кВт,355 мм,288 мм,260 мм,,,,0,https://entero.ru/manuals/424794/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20DHC%20meltingchoc%20mini.docx,20566,,,Ю. Корея,Ю. Корея,,,,1,6 кг,
https://cdn.entero.ru/mp@2x/7f/93/7f936bd74cef8114aef5b6f9a8b97d28.jpg,Температор Hurakan HKN-CTM44,Температор Hurakan HKN-CTM44,20884,RUB,Да,Hurakan,Профоборудование,Оборудование для шоколада,Темперы для шоколада,https://entero.ru/item/257928,"<p>Температор<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/257928"">Hurakan HKN-CTM44</a></b> предназначен для плавления и поддержания в горячем состоянии шоколада и глазури на предприятиях общественного питания и торговли. Модель оснащена цифровой панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Без использования воды</li>
<li>2 съемные емкости GN 1/4 глубиной 150 мм</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 0 до 99 °С</li>
</ul>",257928,темперирующая ванна,220 В,0.25 кВт,285 мм,345 мм,295 мм,12 кг,1,310x370x320 мм,70,https://entero.ru/manuals/416908/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453720/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-CTM44.pdf;https://entero.ru/manuals/484335/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-CTM44.pdf,,,11.7 кг,Китай,Китай,,4 л,,2,,
https://cdn.entero.ru/mp@2x/c5/7f/c57f428347f1161ed923a4af7b78a4c8.jpg,Подогреватель для шоколада Hurakan HKN-CHM02,Подогреватель для шоколада Hurakan HKN-CHM02,11535,RUB,Да,Hurakan,Профоборудование,Оборудование для шоколада,Темперы для шоколада,https://entero.ru/item/250486,"<p>Подогреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/250486"">Hurakan HKN-CHM02</a></b> используется на предприятиях общественного питания и торговли для темперирования и поддержания в горячем виде шоколада и соусов. Модель оснащена 2 емкостями для работы с различными видами шоколада одновременно и 2 термостатами независимой регулировки температуры. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 2 GN 1/6 глубиной 100 мм с крышками.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 30 до 110 °С</li>
<li>Габариты в упаковке: 480х220х160 мм</li>
</ul>",250486,автоматическая темперирующая машина,220 В,1 кВт,220 мм,480 мм,160 мм,3.9 кг,1,190x560x250 мм,25,https://entero.ru/manuals/416013/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-CHM02.pdf;https://entero.ru/manuals/416014/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/307234/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/484321/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-CHM02.pdf;https://entero.ru/manuals/495214/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,12142,,,,Китай,,,,2,,
https://cdn.entero.ru/mp@2x/4d/9e/4d9e9e1bb7054204794df2a199342802.jpg,Аппарат для плавки шоколада Martellato MC101,Аппарат для плавки шоколада Martellato MC101,45952,RUB,Да,Martellato,Профоборудование,Оборудование для шоколада,Темперы для шоколада,https://entero.ru/item/100281,"<p>Аппарат для плавки шоколада <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/100281"">Martellato MC101</a> </b>используется на предприятиях общественного питания и торговли, в частных домах и квартирах. Модель оснащена регулятором температуры. Корпус выполнен из термостойкого пластика, гастроемкость - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: GN 1/3 высотой 100 мм</li>
<li>Внутренние размеры: 180x325x100 мм</li>
</ul>",100281,темперирующая ванна,,,240 мм,400 мм,135 мм,3.1 кг,1,260x420x150 мм,11,,,,2.99 кг,Италия,,,3.6 л,,1,,
https://cdn.entero.ru/mp@2x/05/1e/051ea158672bf9b8faf5affc355cb646.jpg,Аппарат для плавки шоколада Martellato MC100,Аппарат для плавки шоколада Martellato MC100,66021,RUB,Да,Martellato,Профоборудование,Оборудование для шоколада,Темперы для шоколада,https://entero.ru/item/227950,"<p>Аппарат для плавки шоколада <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/227950"">Martellato MC100</a> </b>используется на предприятиях общественного питания и торговли, в частных домах и квартирах. Модель оснащена термостатом для регулировки температуры. Корпус выполнен из термостойкого пластика, резервуар - из анодированного алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 3x GN 1/6 глубиной 100 мм</li>
</ul>",227950,темперирующая ванна,220 В,1 кВт,610 мм,260 мм,135 мм,5 кг,1,660x320x190 мм,6,,70990,,4.34 кг,Италия,Италия,,,,3,,
https://cdn.entero.ru/mp@2x/5e/62/5e622afdb9cff6a212b3f52b946ad81f.jpg,Аппарат для плавки шоколада Martellato MC107,Аппарат для плавки шоколада Martellato MC107,51626,RUB,Да,Martellato,Профоборудование,Оборудование для шоколада,Темперы для шоколада,https://entero.ru/item/134662,"<p>Аппарат для плавки шоколада <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/134662"">Martellato MC107</a> </b>используется на предприятиях общественного питания и торговли, в частных домах и квартирах. Модель оснащена сухим нагревом, ручным термостатом, 3 съемными емкостями и 1 терморегулятором. Корпус выполнен из термостойкого пластика, гастроемкости - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 3x GN 1/9 высотой 100 мм</li>
<li>Размеры емкости: 83x150x100 мм</li>
</ul>",134662,темперирующая ванна,,,395 мм,265 мм,135 мм,4 кг,1,450x310x210 мм,0,https://entero.ru/manuals/156356/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Martellato%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,54343,,2.96 кг,Италия,,,0.8 л,,3,,
https://cdn.entero.ru/mp@2x/12/6c/126c4fff92778153c465a49c42b1b069.jpg;https://cdn.entero.ru/mp@2x/39/f0/39f0616ff3d06a3d23829498ab375574.jpg;https://cdn.entero.ru/mp@2x/72/2a/722a1a286c033807626a61ddba24b7d2.jpg,Подогреватель для шоколада Rosso HW-22,Подогреватель для шоколада Rosso HW-22,12406,RUB,Да,Rosso,Профоборудование,Оборудование для шоколада,Темперы для шоколада,https://entero.ru/item/365699,"<p>Подогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365699""><b class=""b"">Rosso HW-22</b></a> используется на предприятиях общественного питания и торговли для темперирования и поддержания в горячем виде шоколада. Модель оснащена 2 емкостями для работы с различными видами шоколада одновременно и 2 термостами независимой регулировки температуры. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 2 GN 1/6 глубиной 100 мм с крышками.</p>",365699,темперирующая ванна,220 В,1 кВт,220 мм,480 мм,160 мм,4 кг,1,595x420x285 мм,0,,12923,,3.3 кг,,Китай,,,,2,,
