Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Объем
https://cdn.entero.ru/mp@2x/e7/ab/e7ab6a753929c3c480e14b5b2d6cb0d5.jpg;https://cdn.entero.ru/mp@2x/0f/25/0f257a7c13c99a6dc34755f4bc96164d.jpg,Аппарат для варки кукурузы Airhot CS-30,A8679,11345,RUB,Да,Airhot,Профоборудование,Оборудование фаст-фуд,Аппараты для варки кукурузы,https://entero.ru/item/83398,"<p>Аппарат для варки кукурузы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83398"">Airhot CS-30</a></b> используется на предприятиях общественного питания и торговли для быстрого приготовления початков кукурузы на пару в больших объемах. Модель оснащена аварийным термостатом, индикатором нагрева, краном для слива и закрытым ТЭНом. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят перфорированная вставка и разделитель внутренней ёмкости, что позволяет одновременно готовить кукурузу в початках и зёрна в больших объемах.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический контроль уровня и температуры воды</li>
<li>Возможность слива отработанной воды через кран</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: до 30 початков (зависит от размера кукурузы)</li>
<li>Температурный режим: от 30 до 110 °C</li>
<li>Скорость приготовления после закипания воды при полной загрузке: от 30 до 40 минут</li>
</ul>",83398,220 В,2 кВт,490 мм,485 мм,560 мм,8 кг,1,435x435x510 мм,0,https://entero.ru/manuals/462303/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20CS-30.pdf;https://entero.ru/manuals/481822/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,6.92 кг,,Китай,30 л
https://cdn.entero.ru/mp@2x/71/ba/71ba1863e8f6afd0fce7da22541fc4da.jpg,Аппарат для варки кукурузы VIATTO VA-EC40,157830,12362,RUB,Да,VIATTO,Профоборудование,Оборудование фаст-фуд,Аппараты для варки кукурузы,https://entero.ru/item/127628,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127628"">VIATTO VA-EC40</a></b> предназначена для приготовления на пару кукурузы в початках и зернах на предприятиях общественного питания и торговли. Приготовленная таким образом кукуруза получается не только сытной, но и полезной, сохраняет яркий вкус и аромат. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Терморегулятор, позволяющий регулировать температуру</li>
<li>Функция подогрева</li>
<li>Перфорированная вставка внутри для загрузки продукта</li>
<li>Компактная, но вместительная модель</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость:
<ul>
<li>Початки: 40 шт.</li>
<li>Зерна: 8 кг</li>
</ul>
</li>
<li>Рабочая температура: от 30 до 110 °С</li>
</ul>",127628,220 В,2.5 кВт,430 мм,430 мм,530 мм,8.2 кг,1,440x435x583 мм,140,https://entero.ru/manuals/409331/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-EC40.pdf;https://entero.ru/manuals/409332/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/464136/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,6.89 кг,,Китай,40 л
https://cdn.entero.ru/mp@2x/50/36/5036a3d80aa0b229efd6e025c5f5d59a.jpg;https://cdn.entero.ru/mp@2x/57/c3/57c3c8260cc8c6e75dd1e92784351665.jpg;https://cdn.entero.ru/mp@2x/37/21/3721dd6e3ccbf68fdb67c0b8df6cfc09.jpg,"Аппарат для варки кукурузы Hurakan HKN-CDC48, без крана для слива воды",HKN-CDC48,11913,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Аппараты для варки кукурузы,https://entero.ru/item/123943,"<p>Аппарат для варки кукурузы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123943""><b class=""b"">Hurakan HKN-CDC48</b></a> используется на предприятиях общественного питания и торговли для быстрого приготовления початков кукурузы на пару. Модель оснащена механическим управлением, терморегулятором и индикацией работы. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит перфорированное сито для зерен.</p>",123943,220 В,2.5 кВт,440 мм,440 мм,440 мм,6 кг,1,440x435x435 мм,73,https://entero.ru/manuals/390410/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-CDC48.pdf;https://entero.ru/manuals/416944/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416945/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/476900/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-CDC48_%20%D0%B1%D0%B5%D0%B7%20%D0%BA%D1%80%D0%B0%D0%BD%D0%B0%20%D0%B4%D0%BB%D1%8F%20%D1%81%D0%BB%D0%B8%D0%B2%D0%B0%20%D0%B2%D0%BE%D0%B4%D1%8B.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241228&hash=f1e4fe00621aff55,6.5 кг,,Китай,48 л
https://cdn.entero.ru/mp@2x/4c/b4/4cb467471a5d3bc52f032afc65101a0e.jpg,Аппарат для варки кукурузы ROAL DP-400D,н0000147535,12029,RUB,Да,ROAL,Профоборудование,Оборудование фаст-фуд,Аппараты для варки кукурузы,https://entero.ru/item/104026,"<p>Аппарат для варки кукурузы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://m.entero.ru/item/104026"">ROAL DP-400D</a> </b>используется на предприятиях общественного питания и торговли для быстрого приготовления початков кукурузы на пару. Модель оснащена автоматическим термостатом, регулирующим температуру. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка: 30 шт.</li>
</ul>",104026,220 В,2.5 кВт,500 мм,470 мм,580 мм,,,,0,https://entero.ru/manuals/95665/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ROAL%20DP-400D.pdf,13075,,,,Китай,40 л
https://cdn.entero.ru/mp@2x/5f/47/5f47b0e6aa84bcdbcf3534b56c4c34bd.jpg,Аппарат для варки кукурузы GASTRORAG DK-EC-40,Аппарат для варки кукурузы GASTRORAG DK-EC-40,17425,RUB,Да,GASTRORAG,Профоборудование,Оборудование фаст-фуд,Аппараты для варки кукурузы,https://entero.ru/item/51550,"<p>Аппарат для варки кукурузы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/51550"">GASTRORAG DK-EC-40</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена функцией подогрева, терморегулятором, позволяющим выставлять необходимую температуру и перфорированной вставкой. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость:
<ul>
<li>Зерна: 8 кг</li>
<li>Початков: 40</li>
</ul>
</li>
<li>Температурный режим: от 30 до 110 °C</li>
</ul>",51550,220 В,2.5 кВт,400 мм,470 мм,510 мм,,,,0,https://entero.ru/manuals/60661/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20GASTRORAG%20DK-EC-40.pdf;https://entero.ru/manuals/116555/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20GASTRORAG.pdf,18737,,7.1 кг,,Китай,40 л
https://cdn.entero.ru/mp@2x/dc/ef/dcefc67005edee7010df29a5c4c319b5.jpg,Аппарат для варки кукурузы Hualian CS-48,Аппарат для варки кукурузы Hualian CS-48,11868,RUB,Да,Hualian,Профоборудование,Оборудование фаст-фуд,Аппараты для варки кукурузы,https://entero.ru/item/290324,"<p>Аппарат для варки кукурузы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/290324"">Hualian CS-48</a> </b>предназначен для быстрого приготовления початков кукурузы на пару на предприятиях общественного питания и торговли. Модель оснащена полусферической крышкой с рукояткой, боковыми транспортировочными рукоятками и электромеханическим управлением. Корпус цилиндрической формы выполнен из пищевой нержавеющей стали, фурнитура – из черного пластика.</p>

<p>В комплект поставки входят перфорированное сито с перегородкой для кукурузных зерен и металлическая подставка.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Регулировка температуры с помощью поворотного переключателя</li>
<li>Автоматическое поддержание заданной температуры</li>
<li>Светодиодный индикатор активации нагрева </li>
<li>Сливной кран </li>
<li>Термоизолированные рукоятки</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Полезный объем: 15 л</li>
</ul>",290324,220 В,2.5 кВт,,,,,,,0,,,,6 кг,Китай,Китай,30 л
https://cdn.entero.ru/mp@2x/44/61/446146a48e65fd28fb4d255946de8f87.jpg,Аппарат для варки кукурузы Airhot CS-40,Аппарат для варки кукурузы Airhot CS-40,11684,RUB,Нет,Airhot,Профоборудование,Оборудование фаст-фуд,Аппараты для варки кукурузы,https://entero.ru/item/335053,"<p>Аппарат для варки кукурузы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/335053"">Airhot CS-40</a> </b>предназначен для быстрого приготовления початков кукурузы на пару на предприятиях общественного питания и торговли. Модель оснащена полусферической крышкой с рукояткой, боковыми транспортировочными рукоятками и электромеханическим управлением. Корпус цилиндрической формы выполнен из нержавеющей стали, фурнитура – из черного пластика.</p>

<p>В комплект поставки входит разделитель.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Регулировка температуры с помощью термостата с поворотным переключателем</li>
<li>Автоматический контроль заданной температуры </li>
<li>Светодиодный индикатор активации нагрева</li>
<li>Предохранительный термостат для защиты от перегрева</li>
<li>Закрытый трубчатый электронагреватель (ТЭН)</li>
<li>Внешний индикатор уровня воды</li>
<li>Сливной кран </li>
<li>Термоизолированные рукоятки</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон регулировки температуры: от 10 до 110 °С</li>
</ul>",335053,220 В,2 кВт,480 мм,480 мм,580 мм,8.3 кг,1,430x430x530 мм,0,https://entero.ru/manuals/410039/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20CS-40.pdf,12563,,7.11 кг,,Китай,40 л
https://cdn.entero.ru/mp@2x/f8/0f/f80ff8a1a70e97d6b29a530ac0c2333c.jpg,Аппарат для варки кукурузы Hurakan HKN-CDC30,Аппарат для варки кукурузы Hurakan HKN-CDC30,11254,RUB,Нет,Hurakan,Профоборудование,Оборудование фаст-фуд,Аппараты для варки кукурузы,https://entero.ru/item/158088,"<p>Аппарат для варки кукурузы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/158088"">Hurakan HKN-CDC30</a></b> используется на предприятиях общественного питания и торговли для быстрого приготовления початков кукурузы на пару. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит перфорированное сито для зерен.</p>",158088,220 В,2.5 кВт,480 мм,480 мм,545 мм,8 кг,1,450x450x490 мм,0,https://entero.ru/manuals/186390/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-CDC30.pdf;https://entero.ru/manuals/416942/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416943/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,11972,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241228&hash=f1e4fe00621aff55,6.9 кг,,Китай,30 л
https://cdn.entero.ru/mp@2x/cc/4e/cc4ee05dfc273063979c61a576d05b9a.jpg,Аппарат для варки кукурузы ROAL DP-300D,н0000132065,0,RUB,Нет,ROAL,Профоборудование,Оборудование фаст-фуд,Аппараты для варки кукурузы,https://entero.ru/item/87821,"<p>Пароварка​<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/87821"">ROAL DP-300D</a></b> предназначена для варки кукурузы на предприятиях общественного питания и уличной торговли. Кукуруза варится на пару, поэтому сохраняет все витамины и микроэлементы. Модель оснащена автоматическим термостатом. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 20 шт.</li>
<li>Время приготовления: от 30 до 40 мин.</li>
</ul>",87821,220 В,2.5 кВт,430 мм,470 мм,550 мм,,,,0,https://entero.ru/manuals/95672/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ROAL%20DP-300D.pdf,,,6.9 кг,,Китай,30 л
https://cdn.entero.ru/mp@2x/fc/22/fc22e634df475522b7370bcde6df5132.jpg;https://cdn.entero.ru/mp@2x/18/17/1817e3ee1b5112819bc2ea21b00b8617.jpg,Аппарат для варки кукурузы Kocateq ES48C,ES 48 C,0,RUB,Нет,Kocateq,Профоборудование,Оборудование фаст-фуд,Аппараты для варки кукурузы,https://entero.ru/item/296076,"<p>Пароварка настольная <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/296076"">Kocateq ES48C</a></b> используется на предприятиях общественного питания и торговли, в госпиталях, школах и детских садах для для варки початков кукурузы. Модель оснащена вставной сеткой с выдвижными ручками, механической панелью управления и термостатом для регулировки температуры. Корпус выполнен из нержавеющей стали AISI 202.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Без тепловой изоляции</li>
<li>Нагревательный элемент скрыт в дне для простой очистки от накипи</li>
<li>Световые индикаторы подключения к электрической сети и подачи напряжения на ТЭНы</li>
<li>Смотровое стекло для визуального контроля уровня воды</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр сетки: 385 мм</li>
<li>Высота сетки: 150 мм</li>
</ul>",296076,220 В,2.5 кВт,430 мм,430 мм,480 мм,,,,0,https://entero.ru/manuals/358102/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/358105/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,,,Ю. Корея,
