Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Конструкция,Цвет,Тип попкорна,Разовая загрузка,С тележкой
https://cdn.entero.ru/mp@2x/a7/c1/a7c1fa431a49ea63fe53a59acd9dbbff.jpg;https://cdn.entero.ru/mp@2x/2b/69/2b6974c748124dd5754739684cf99127.jpg,Аппарат для попкорна Hurakan HKN-PCORN,144235,12662,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/60365,"<p>Аппарат для попкорна<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/60365"">Hurakan HKN-PCORN</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена панорамным стеклом и двойным дном с подогревом. Корпус выполнен из алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 0,5 чаша/мин.</li>
<li>Температурный режим: от 220 до 240 °С</li>
<li>Дозировка на порцию:
<ul>
<li>Масло: 50 мл</li>
<li>Сахар: 100 г</li>
<li>Зерно: 150 г</li>
</ul>
</li>
<li>Габариты в упаковке: 600x470x790 мм</li>
</ul>",60365,220 В,1.3 кВт,510 мм,380 мм,680 мм,17 кг,Китай,1,415x565x720 мм,15,https://entero.ru/manuals/65863/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-PCORN.pdf;https://entero.ru/manuals/415373/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-PCORN.pdf;https://entero.ru/manuals/415374/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-PCORN.pdf;https://entero.ru/manuals/415375/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415376/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241063&hash=5baf8251d7ba0af0,14.35 кг,1.5 кг/ч,настольный,красный,,,
https://cdn.entero.ru/mp@2x/f9/81/f98119660792b31f5825c990c4aa4d9d.jpg,Аппарат для попкорна Hurakan HKN-PCORN2,Аппарат для попкорна Hurakan HKN-PCORN2,13072,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/73481,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73481"">Hurakan HKN-PCORN2</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена высокопрочным панорамным стеклом и двойным дном с подогревом. Корпус выполнен из алюминия, внутренняя часть чаши - из алюминия с тефлоновым покрытием, внешняя часть чаши - из нержавеющей стали 201.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 0,5 чаша/мин.</li>
<li>Температурный режим: от 50 до 250 °С</li>
<li>Дозировка на порцию:
<ul>
<li>Масло: 50 мл</li>
<li>Сахар: 100 г</li>
<li>Зерно: 150 г</li>
</ul>
</li>
<li>Габариты в упаковке: 610х475х795 мм</li>
</ul>",73481,220 В,1.3 кВт,560 мм,420 мм,760 мм,17 кг,Китай,1,610x475x795 мм,8,https://entero.ru/manuals/415368/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-PCORN2.pdf;https://entero.ru/manuals/415369/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-PCORN2.pdf;https://entero.ru/manuals/415370/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-PCORN2.pdf;https://entero.ru/manuals/415371/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415372/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,13906,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241063&hash=5baf8251d7ba0af0;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241321&hash=3c499d8f0eab1bc0,16 кг,30 кг/ч,настольный,красный,соленый / сладкий,,
https://cdn.entero.ru/mp@2x/0a/00/0a00fc3781fca5e212ea845c3f32815e.jpg,Аппарат для попкорна Airhot POP-6E,D9932,12405,RUB,Да,Airhot,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/173871,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173871"">Airhot POP-6E</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена съемной чашей с антипригарным тефлоновым покрытием, подсветкой готового продукта и поддоном для сбора нераскрывшихся зерен и шелухи. Корпус выполнен из алюминия, стенки - из упрочненного стекла, задняя стенка - из оргстекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Раздельное включение вращения мешалки, нагрева чаши, освещения и подогрева дна</li>
</ul>

<p><b>Дополнительные характеристики:</b> </p>

<ul>
<li>Производительность: 227 гр/мин.</li>
<li>Габариты в упаковке: 565x415x720 мм</li>
</ul>",173871,220 В,1.44 кВт,500 мм,370 мм,680 мм,,Китай,,,0,https://entero.ru/manuals/201943/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20POP-6.pdf;https://entero.ru/manuals/201942/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20POP-6.pdf,12922,,16 кг,,настольный,красный,,,
https://cdn.entero.ru/mp@2x/da/fa/dafa1c9df50018433fe0b5f58d65e5d2.jpg,Аппарат для попкорна Enigma RC-6097,Аппарат для попкорна Enigma RC-6097,15319,RUB,Да,Enigma,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/346504,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346504"">Enigma RC-6097</a></b> используется на предприятиях общественного питания и торговли, в развлекательных центрах и кинотеатрах, а также на открытых площадках для приготовления воздушной кукурузы с различными вкусовыми добавками. Котел выполнен из нержавеющей стали, боковые панели - из закаленного стекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем котла: 0,22 кг</li>
<li>Объем без упаковки: 0,1178 м³</li>
<li>Объем упаковки: 0,141653 м³</li>
<li>Габариты в упаковке: 550x495x680 мм</li>
</ul>",346504,220 В,0.81 кВт,505 мм,425 мм,660 мм,,Китай,,,0,https://entero.ru/manuals/424868/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Enigma%20RC-6097.pdf,16651,,15.9 кг,4.8 кг/ч,настольный,,соленый / сладкий,от 192 до 230 г,
https://cdn.entero.ru/mp@2x/be/de/bede29e98b065e04c2b8d86a88fa8c96.jpg;https://cdn.entero.ru/mp@2x/14/f9/14f9ba67eb347ce343342fb18d56316a.jpg,Аппарат для попкорна Airhot POP-6,Аппарат для попкорна Airhot POP-6,14746,RUB,Да,Airhot,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/42114,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/42114"">Airhot POP-6</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена съемной чашей с антипригарным тефлоновым покрытием, подсветкой готового продукта и поддоном для сбора нераскрывшихся зерен и шелухи. Корпус выполнен из алюминия, стенки - из упрочненного стекла, задняя стенка - из оргстекла.</p>",42114,220 В,1.44 кВт,560 мм,420 мм,760 мм,,Китай,,,0,https://entero.ru/manuals/96077/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20POP-6.pdf;https://entero.ru/manuals/96076/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20POP-6.pdf,16028,,18.5 кг,,настольный,серебряный,сладкий,,
https://cdn.entero.ru/mp@2x/cc/ea/ccea4ea57a979b516b217023dae35c1c.jpg,Аппарат для попкорна Enigma BR-8315-A,Аппарат для попкорна Enigma BR-8315-A,272592,RUB,Да,Enigma,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/340207,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/340207"">Enigma BR-8315-A</a></b> используется на предприятиях общественного питания и торговли. Корпус и котел с поверхностью выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем котла: 16 унций</li>
</ul>",340207,220 В,2.2 кВт,686 мм,666 мм,990 мм,,Китай,,,0,https://entero.ru/manuals/404386/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Enigma%20BR-8315-A.pdf,293110,,,,настольный,нерж. сталь,,,
https://cdn.entero.ru/mp@2x/48/7b/487b3e850ccbd1609a3884fcbf1cd5ca.jpg,Аппарат для попкорна Hualian HP-6B,Аппарат для попкорна Hualian HP-6B,11801,RUB,Да,Hualian,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/125152,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125152"">Hualian HP-6B</a></b> используется на предприятиях пищевой промышленности, общественного питания и торговли.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время приготовления 1 загрузки: 2 мин.</li>
</ul>",125152,220 В,1.44 кВт,560 мм,420 мм,760 мм,,Китай,,,0,,12293,,23 кг,,настольный,красный,,230 г,
https://cdn.entero.ru/mp@2x/f4/39/f4393e13820c96ccd7cce76aa6021bc7.jpg;https://cdn.entero.ru/mp@2x/1b/ad/1bad9151e13e04bfcb2157ec7c1b2ae8.jpg;https://cdn.entero.ru/mp@2x/c8/d7/c8d7a4f0fc762f241650643058e1696f.jpg;https://cdn.entero.ru/mp@2x/b5/58/b558c235825614d447178ebfee6f877b.jpg,Витрина для попкорна RoboLabs VTP1-075n,43627,110561,RUB,Да,RoboLabs,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/37595,"<p>Витрина для попкорна напольная насыпная односекционная <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/37595"">RoboLabs VTP1-075n</a></b> используется на предприятиях общественного питания и торговли для демонстрации и хранения попкорна в стаканах. Модель оснащена подогревом и подсветкой.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Регулировка температуры: от 30 до 85 °C</li>
<li>Габариты в упаковке: 795x1040x940 мм</li>
</ul>",37595,220 В,0.7 кВт,750 мм,710 мм,700 мм,,Россия,,,0,https://entero.ru/manuals/271711/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%A2%D0%9C%20VTP1-075n.pdf,,,39 кг,,настольный,серебряный,,,
https://cdn.entero.ru/mp@2x/fe/cf/fecf9af5467b23829cddcd7857e9bc8d.jpg;https://cdn.entero.ru/mp@2x/79/8a/798ad02a178622957fcda0a6c5d93f42.jpg;https://cdn.entero.ru/mp@2x/f4/50/f45047d9fe886d272d81c38b17fc1809.jpg;https://cdn.entero.ru/mp@2x/94/78/9478aa557927141be9b4613d2ac92248.jpg;https://cdn.entero.ru/mp@2x/60/09/6009d6098d6110baa8f62d6ff2224b4d.jpg;https://cdn.entero.ru/mp@2x/82/3a/823ac23b2c8011b18b6b5196ce49417a.jpg;https://cdn.entero.ru/mp@2x/2e/2a/2e2a0ccb9e05f3e42e911eb980a41c8d.jpg;https://cdn.entero.ru/mp@2x/20/9c/209c13c3cfe19076da3a1a59575ad849.jpg;https://cdn.entero.ru/mp@2x/3b/db/3bdbf6e199659f7ebc4fa4ea548a024f.jpg;https://cdn.entero.ru/mp@2x/73/21/7321b98450a77144fbcee7e5fb71a8de.jpg;https://cdn.entero.ru/mp@2x/6c/7c/6c7cb97e86abbe41fb24fddfc8c6eea8.jpg;https://cdn.entero.ru/mp@2x/48/c5/48c5e358979b9c6faa4dd29e7ac5be03.jpg,Аппарат для попкорна RoboLabs Robopopstar 72,Аппарат для попкорна RoboLabs Robopopstar 72,381786,RUB,Да,RoboLabs,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/279709,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/279709"">RoboLabs Robopopstar 72</a></b> предназначен для раскрытия кукурузного зерна при помощи горячего воздуха на предприятиях пищевой промышленности. Модель оснащена системой перемешивания, индикацией температуры, оптимальной для раскрытия зерна и подогреваемой трубкой для подачи масла. Оборудование выполнено из нержавеющей стали.</p>

<p>В комплект поставки входят 2 мерные емкости для соленого и сладкого попкорна.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Система пружин для помощи оператору при выгрузке готового попкорна из котла</li>
<li>Переключатель для соленого / сладкого попкорна</li>
<li>Рукоятка для опрокидывания котла рассположена справа</li>
<li>Возможность подключения автоматической системы подачи масла</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность (при классическом соотношении зерна и масла 3 к 1):
<ul>
<li>Соленого попкорна: до 30 кг/час</li>
<li>Сладкого попкорна: до 25 кг/час</li>
</ul>
</li>
</ul>",279709,380 В,6.5 кВт,610 мм,830 мм,820 мм,97 кг,Россия,1,685x935x880 мм,0,https://entero.ru/manuals/502726/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,401880,https://vk.com/video_ext.php?oid=-177656185&id=456240610&hd=2&autoplay=0,50 кг,от 25 до 30 кг/ч,настольный,серебряный,"сладкий, соленый",2000 г,
https://cdn.entero.ru/mp@2x/82/03/8203293f599177a1ea0b26352e6e06a5.jpg;https://cdn.entero.ru/mp@2x/4a/ed/4aede27859b8a48522f2d52d6c243812.jpg;https://cdn.entero.ru/mp@2x/1e/29/1e2909c1158e3a1b3ffbe17e6c1e79b3.jpg;https://cdn.entero.ru/mp@2x/2e/fc/2efcf5a31f4ce90a7933ea5c330cf044.jpg;https://cdn.entero.ru/mp@2x/69/20/6920b96745b3371001d77bf66bcc8797.jpg;https://cdn.entero.ru/mp@2x/7e/95/7e955eb01ecfa0b8739e0f7ec4846092.jpg;https://cdn.entero.ru/mp@2x/43/9b/439b969b6a0a206dc5b90bfc15edad89.jpg;https://cdn.entero.ru/mp@2x/ad/fd/adfda062be6370a2fe5f4be20b0fabf6.jpg;https://cdn.entero.ru/mp@2x/20/cf/20cf21e796b815b76165285486e4ebf2.jpg;https://cdn.entero.ru/mp@2x/29/c0/29c0473d05997bd53b55b4004297cb7e.jpg;https://cdn.entero.ru/mp@2x/ac/89/ac89a8b1db06eabba06132c599a8846c.jpg,Аппарат для попкорна Foodatlas JTP6A Eco,JTP6A FoodAtlas Eco,10795,RUB,Да,Foodatlas,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/84969,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84969"">Foodatlas JTP6A Eco</a></b> используется на предприятиях общественного питания и торговли. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: от 210 до 245 °С</li>
<li>Температура подогрева: от 0 до 70 °С</li>
<li>Объем чаши: 8 унций</li>
<li>Мощность:
<ul>
<li>Нагрев чаши: 1 кВт</li>
<li>Подогрев: 0,35 кВт</li>
</ul>
</li>
<li>Объем чаши: 8 унций</li>
<li>Габариты в упаковке: 495x410x650 мм</li>
</ul>

<p> </p>

<p> </p>

<p> </p>",84969,220 В,от 0.35 до 1 кВт,463 мм,362 мм,610 мм,,Китай,,,0,https://entero.ru/manuals/415947/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416020/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Foodatlas%20JTP6A%20Eco.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239637&hd=2&autoplay=0,15 кг,от 1.8 до 2.5 кг/ч,настольный,красный,,,
