Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Установка,Диаметр чаши,Материал ловителя,Терморегулятор
https://cdn.entero.ru/mp@2x/9d/cd/9dcdfbcc8060ed9ac6c8c5e43b89c125.jpg;https://cdn.entero.ru/mp@2x/63/6c/636c71d11582939bf9bf9e036fb6c90a.jpg;https://cdn.entero.ru/mp@2x/eb/4f/eb4fe42d4c19ec7cf078d461898e4a80.jpg;https://cdn.entero.ru/mp@2x/0a/b4/0ab4b5c31467c4357ef90743ce899fea.jpg;https://cdn.entero.ru/mp@2x/15/5b/155b5b15733ff7ca3e518ad273f3c094.jpg;https://cdn.entero.ru/mp@2x/00/ec/00ecacf07c8998fbd419644528f59a23.jpg;https://cdn.entero.ru/mp@2x/64/2b/642bf6504a4e132df18cc9c1026634d5.jpg,Аппарат для сахарной ваты Airhot CF-1,Аппарат для сахарной ваты Airhot CF-1,13780,RUB,Да,Airhot,Профоборудование,Оборудование фаст-фуд,Аппараты для сахарной ваты,https://entero.ru/item/42122,"<p>Аппарат для сахарной ваты <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/42122"">Airhot CF-1</a></b> используется на предприятиях общественного питания и торговли. На металлический бокс конструкции ставится специальная чаша из нержавеющей стали, где тонкие нити накручиваются на палочку и становятся сладкой ватой. Модель проста и удобна в использовании. Корпус выполнен из окрашенной стали, чаша-ловитель - из нержавеющей стали.</p>

<p><span style=""color:#ff0000;"">Купол в комплект поставки не входит и приобретается отдельно.</span></p>

<p>В комплект поставки входит мерная ложка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ящик для сахара и ароматизаторов</li>
<li>Съемный кабель питания</li>
</ul>",42122,220 В,0.9 кВт,520 мм,520 мм,500 мм,13 кг,Китай,1,530x530x410 мм,0,https://entero.ru/manuals/96079/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20CF-1.pdf;https://entero.ru/manuals/96078/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20CF-1.pdf;https://entero.ru/manuals/481827/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,10 кг,3 кг/ч,настольная,520 мм,нерж. сталь,
https://cdn.entero.ru/mp@2x/a6/6e/a66e5c302694aba44cfde42ca8493eca.jpg;https://cdn.entero.ru/mp@2x/c8/0a/c80a86a646f9ec2b155d89ff7e123298.jpg;https://cdn.entero.ru/mp@2x/08/fd/08fd793cf97115da15ab50f53824b755.jpg;https://cdn.entero.ru/mp@2x/ae/c8/aec80ab6efc36eec46442dcd15f24db9.jpg;https://cdn.entero.ru/mp@2x/bb/7c/bb7c3278d3ba76a644961846831f538f.jpg,Аппарат для сахарной ваты Enigma CC-3E,CC-3E (w/o cart),14366,RUB,Да,Enigma,Профоборудование,Оборудование фаст-фуд,Аппараты для сахарной ваты,https://entero.ru/item/86308,"<p>Аппарат для сахарной ваты <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86308"">Enigma CC-3E</a> </b>используется на предприятиях общественного питания и торговли. Прибор оснащен ТЭНом для нагрева, прямым (безременным) приводом головки. Ловитель выполнен из алюминия.</p>

<p><span style=""color:#ff0000;"">Купол в комплект поставки не входит и приобретается отдельно.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Горизонтальная подача ваты</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренний диаметр ловителя: 500 мм</li>
<li>Производительность: 200 порций/ч</li>
<li>Вес порции: 15 г</li>
<li>Высота ловителя: 180 мм</li>
</ul>",86308,220 В,0.945 кВт,670 мм,520 мм,1100 мм,10 кг,Китай,1,565x585x445 мм,0,https://entero.ru/manuals/417330/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Enigma%20CC-3E.pdf;https://entero.ru/manuals/506568/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,8.5 кг,3 кг/ч,настольная,520 мм,алюминий,
https://cdn.entero.ru/mp@2x/3c/cf/3ccf867affc03bc2ba8f1ad19c8bf282.jpg;https://cdn.entero.ru/mp@2x/69/28/6928e7012d68a56bc8d43249c4ddb710.jpg;https://cdn.entero.ru/mp@2x/7c/cf/7ccfff8b55075fd08255309a11eb0002.jpg;https://cdn.entero.ru/mp@2x/aa/1b/aa1b25965e9ba885b328b462b4e56e6c.jpg,Аппарат для сахарной ваты Hurakan HKN-C2,149920,14178,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Аппараты для сахарной ваты,https://entero.ru/item/73480,"<p>Аппарат для сахарной ваты <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73480"">Hurakan HKN-C2</a></b><b class=""b""> </b>используется на предприятиях общественного питания и торговли. Корпус выполнен из крашеного металла, чаша-ловитель - из нержавеющей стали.</p>

<p><span style=""color:#ff0000;"">Купол в комплект поставки не входит и приобретается отдельно.</span></p>

<p>В комплект поставки входит ложка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Нагрев: 0,9 кВт</li>
<li>Двигатель: 0,08 кВт</li>
</ul>
</li>
<li>Габариты в упаковке: 540x540x430 мм</li>
</ul>",73480,220 В,0.9 кВт,520 мм,520 мм,500 мм,13 кг,Китай,1,530x530x410 мм,55,https://entero.ru/manuals/270855/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-C2.pdf;https://entero.ru/manuals/414699/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-C2.pdf;https://entero.ru/manuals/414700/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-C2.pdf;https://entero.ru/manuals/414701/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414702/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241016&hash=80fd0202ef8104e0;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241090&hash=edecb465b4f9188d,10.5 кг,2.8 кг/ч,настольная,520 мм,нерж. сталь,
https://cdn.entero.ru/mp@2x/7a/aa/7aaa93c863f19dfdb46814796e329c8e.jpg;https://cdn.entero.ru/mp@2x/17/37/1737e57ed86cee39af25efa2dad23a67.jpg;https://cdn.entero.ru/mp@2x/ca/8b/ca8b26f400304550de10337090d5658c.jpg,Аппарат для сахарной ваты Hurakan HKN-C1,144251,14178,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Аппараты для сахарной ваты,https://entero.ru/item/60369,"<p>Аппарат для сахарной ваты<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/60369"">Hurakan HKN-C1</a></b> используется на предприятиях общественного питания и торговли. Корпус выполнен из крашеного металла, чаша-ловитель - из нержавеющей стали.</p>

<p><span style=""color:#ff0000;"">Купол в комплект поставки не входит и приобретается отдельно.</span></p>

<p>В комплект поставки входит ложка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 2,8 до 3 кг/час</li>
<li>Мощность:
<ul>
<li>Нагрев: 0,9 кВт</li>
<li>Двигатель: 0,08 кВт</li>
</ul>
</li>
<li>Габариты в упаковке: 530x540x410 мм</li>
</ul>",60369,220 В,0.98 кВт,520 мм,520 мм,505 мм,13 кг,Китай,1,530x530x410 мм,21,https://entero.ru/manuals/270852/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-C1.pdf;https://entero.ru/manuals/414692/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-C1.pdf;https://entero.ru/manuals/414694/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-C1.pdf;https://entero.ru/manuals/414695/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414697/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,10.5 кг,3 кг/ч,настольная,520 мм,нерж. сталь,
https://cdn.entero.ru/mp@2x/b6/11/b61156c8805f511160037ffcb4ed34fa.jpg;https://cdn.entero.ru/mp@2x/fe/cb/fecb5d495afb4eaee278bc8262965b30.jpg;https://cdn.entero.ru/mp@2x/d9/5a/d95a3dfbf47378d046456802a4cfd142.jpg;https://cdn.entero.ru/mp@2x/7f/c3/7fc369832422a5c85f7c15595633731d.jpg;https://cdn.entero.ru/mp@2x/f7/10/f710cba879590c77cb82412262fa7dce.jpg,Аппарат для сахарной ваты RoboLabs Carnival (пластиковый ловитель),156435,91201,RUB,Да,RoboLabs,Профоборудование,Оборудование фаст-фуд,Аппараты для сахарной ваты,https://entero.ru/item/142832,"<p>Аппарат для сахарной ваты <a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/142832""><b class=""b"">RoboLabs Carnival</b></a> используется на предприятиях общественного питания и торговли. Модель оснащена регулятором точной настройки мощности, индикатором мощности нагрева (стрелочным вольтметром) и защитой регулятора настройки.</p>

<p><span style=""color:#ff0000;"">Купол в комплект поставки не входит и приобретается отдельно.</span></p>

<p>В комплект поставки входит пластиковый ловитель диаметром 50 см</p>

<p><b>Особенности:</b></p>

<ul>
<li>ТЭН для нагрева</li>
<li>Вертикальная подача</li>
<li>Снижение вибраций на корпусе за счет пружинной подвески шасси двигателя</li>
<li>Ручки для удобной транспортировки</li>
<li>Окно для обслуживание щеточного узла</li>
<li>Силиконовое кольцо позволяет регулировать силу вертикального потока воздуха, что бывает необходимо делать при изменении влажности воздуха и отработке разнообразных трюков</li>
<li>Запатентованная конструкция для работы при высоких температуре и влажности воздуха окружающей среды</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время нагрева: 60 сек.</li>
<li>​Частота вращения прядильной головы аппарата: 2900 об/мин.</li>
<li>Цвет корпуса: золотистый</li>
</ul>",142832,220 В,1.45 кВт,560 мм,560 мм,410 мм,18 кг,Россия,1,560x555x420 мм,0,https://entero.ru/manuals/166899/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%A2%D0%9C%20Carnival.pdf;https://entero.ru/manuals/500937/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,97022,https://vk.com/video_ext.php?oid=-177656185&id=456239820&hd=2&autoplay=0,15 кг,5 кг/ч,настольная,500 мм,пластик,Да
https://cdn.entero.ru/mp@2x/7b/0e/7b0e0bd5d8c3f6125d33cc5ff3a4d88e.jpg;https://cdn.entero.ru/mp@2x/99/f3/99f346a515ffb0059ddded6f9976d1ee.jpg,Аппарат сахарной ваты Enigma CC-3E (с тележкой),CC-3E (with cart),19833,RUB,Да,Enigma,Профоборудование,Оборудование фаст-фуд,Аппараты для сахарной ваты,https://entero.ru/item/315828,"<p>Аппарат для сахарной ваты <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315828""><b class=""b"">Enigma CC-3E </b></a>используется на предприятиях общественного питания и торговли. Прибор оснащен ТЭНом для нагрева и прямым (безременным) приводом головки. Ловитель выполнен из алюминия.</p>

<p>В комплект поставки входит тележка с 2 опорами, 2 колесами и ручкой для транспортировки.</p>

<p><em><span style=""color:#FF0000;"">Купол в комплект поставки не входит и приобретается отдельно.</span></em></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренний диаметр ловителя: 500 мм</li>
<li>Производительность: 200 порций/час</li>
<li>Вес порции: 15 г</li>
<li>Высота ловителя: 180 мм</li>
</ul>",315828,220 В,0.945 кВт,670 мм,520 мм,1100 мм,20 кг,Китай,1,570x570x735 мм,0,https://entero.ru/manuals/417309/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Enigma%20CC-3E%20%28%D1%81%20%D1%82%D0%B5%D0%BB%D0%B5%D0%B6%D0%BA%D0%BE%D0%B9%29.pdf;https://entero.ru/manuals/506567/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,21326,,18 кг,3 кг/ч,напольная,520 мм,алюминий,
https://cdn.entero.ru/mp@2x/6a/fd/6afd9e064eeb4b1f56db0e27bb09a2a4.jpg;https://cdn.entero.ru/mp@2x/60/ff/60ffb6f7a0420d6a4fe1d6fb975d221c.jpg,Аппарат для сахарной ваты RoboLabs Focus Pro,141096,71033,RUB,Да,RoboLabs,Профоборудование,Оборудование фаст-фуд,Аппараты для сахарной ваты,https://entero.ru/item/198748,"<p>Аппарат для сахарной ваты <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/198748""><b class=""b"">ТТМ Focus Pro</b></a> используется на предприятиях общественного питания и торговли в локациях с высокой проходимостью. Модель оснащена регулятором точной настройки мощности, вольтометром для установки точного значения напряжения и ручками для переноски. Ловитель выполнен из белого пластика.</p>

<p><span style=""color:#ff0000;"">Купол в комплект поставки не входит и приобретается отдельно.</span></p>

<p>В комплект поставки входят ловитель, сетка для ловителя и комплект держателей для сетки.</p>

<p><b>Особенности:x</b></p>

<ul>
<li>Горизонтальная подача волокна</li>
<li>Нагревательный элемент: ТЭН</li>
<li>Сетчатый диффузор</li>
<li>Пружинная подвеска шасси для исключения передачи вибрации на корпус</li>
<li>2 пары щеток</li>
<li>Окно для обслуживания щеточного узла</li>
<li>Увеличенная емкость прядильной головы</li>
<li>Работоспособность даже при падении напряжения до 130-150 В</li>
<li>Высокая производительность</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева: не более 15 сек.</li>
<li>Частота вращения: 2900 об/мин.</li>
<li>Габариты в упаковке: 690x690x260 мм</li>
<li>Цвет корпуса: фуксия</li>
</ul>",198748,220 В,1.6 кВт,670 мм,670 мм,470 мм,18 кг,Россия,1,690x690x260 мм,0,https://entero.ru/manuals/475744/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20RoboLabs%20Focus%20Pro.pdf,,,15 кг,5 кг/ч,настольная,660 мм,платик,Да
https://cdn.entero.ru/mp@2x/0f/8d/0f8d94e997aeff259ac680f2d9fbdba7.jpg;https://cdn.entero.ru/mp@2x/ab/a1/aba171a0cfbfcd33787accd6b57304ff.jpg,Аппарат для сахарной ваты Airhot CF-2,Аппарат для сахарной ваты Airhot CF-2,17943,RUB,Да,Airhot,Профоборудование,Оборудование фаст-фуд,Аппараты для сахарной ваты,https://entero.ru/item/52177,"<p>Аппарат для сахарной ваты <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/52177"">Airhot CF-2</a> </b>используется на предприятиях общественного питания и торговли. На металлический бокс конструкции ставится специальная чаша из нержавеющей стали, где тонкие нити накручиваются на палочку и становятся сладкой ватой. Модель проста и удобна в использовании. Корпус выполнен из окрашенной стали, чаша-ловитель - из нержавеющей стали.</p>

<p><span style=""color:#ff0000;"">Купол в комплект поставки не входит и приобретается отдельно.</span></p>

<p>В комплект поставки входит мерная ложка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ременный привод</li>
<li>Ящик для сахара и ароматизаторов</li>
<li>Съемный кабель питания</li>
</ul>

<p> </p>",52177,220 В,0.9 кВт,730 мм,730 мм,500 мм,17 кг,Китай,1,730x730x410 мм,0,https://entero.ru/manuals/96081/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20CF-2.pdf;https://entero.ru/manuals/96080/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20CF-2.pdf;https://entero.ru/manuals/481826/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,15 кг,3 кг/ч,настольная,730 мм,нерж. сталь,
https://cdn.entero.ru/mp@2x/f9/23/f923fead429b80c90462584d139f9d80.jpg,Аппарат для сахарной ваты Hurakan HKN-C2-T (с тележкой),161306,20755,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Аппараты для сахарной ваты,https://entero.ru/item/91107,"<p>Аппарат для сахарной ваты <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/91107""><b class=""b"">Hurakan HKN-C2-T</b></a> используется на предприятиях общественного питания и торговли. Модель оснащена тележкой. Корпус выполнен из крашеного металла, чаша - из нержавеющей стали.</p>

<p><span style=""color:#ff0000;"">Купол в комплект поставки не входит и приобретается отдельно.</span></p>

<p>В комплект поставки входит ложка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 540x530x500 мм</li>
</ul>",91107,220 В,0.9 кВт,940 мм,520 мм,890 мм,19.5 кг,Китай,1,540x530x500 мм,7,https://entero.ru/manuals/78408/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-C2-T.docx;https://entero.ru/manuals/414709/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-C2-T.pdf;https://entero.ru/manuals/414708/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414710/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,22080,,,2.8 кг/ч,напольная,520 мм,нерж. сталь,
https://cdn.entero.ru/mp@2x/4e/3d/4e3d6b48cc0b9ddcee269debb1bc118c.jpg;https://cdn.entero.ru/mp@2x/b6/62/b66260d0fb2268225b3a2a88c6578cb1.jpg,Аппарат для сахарной ваты RoboLabs Carnival XL (алюминиевый ловитель),135626,113827,RUB,Да,RoboLabs,Профоборудование,Оборудование фаст-фуд,Аппараты для сахарной ваты,https://entero.ru/item/142828,"<p>Аппарат для сахарной ваты <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/142828""><b class=""b"">RoboLabs Carnival XL</b></a> используется на предприятиях общественного питания и торговли. Модель оснащена регулятором точной настройки мощности, индикатором мощности нагрева (стрелочным вольтметром) и защитой регулятора настройки.</p>

<p><span style=""color:#ff0000;"">Купол в комплект поставки не входит и приобретается отдельно.</span></p>

<p>В комплект поставки входит алюминиевый ловитель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Кнопка ""Быстрый старт"", позволяющая сократить время холодного старта до 20 сек.</li>
<li>ТЭН для нагрева</li>
<li>Вертикальная подача</li>
<li>Снижение вибраций на корпусе за счет пружинной подвески шасси двигателя</li>
<li>Ручки для удобной транспортировки</li>
<li>Окно для обслуживание щеточного узла</li>
<li>Силиконовое кольцо позволяет регулировать силу вертикального потока воздуха, что бывает необходимо делать при изменении влажности воздуха и отработке разнообразных трюков</li>
<li>Запатентованная конструкция для работы при высоких температуре и влажности воздуха окружающей среды</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренний диаметр ловителя: 500 мм</li>
<li>Частота вращения прядильной головы аппарата: 2900 об/мин.</li>
<li>Цвет корпуса: золотистый</li>
</ul>",142828,220 В,1.45 кВт,560 мм,560 мм,410 мм,18.6 кг,Россия,1,555x560x420 мм,0,https://entero.ru/manuals/166897/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%A2%D0%9C%20Carnival%20XL.pdf,,,15 кг,5 кг/ч,настольная,520 мм,алюминий,Да
