Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Подключение,Количество зон нагрева,Вес (с упаковкой),Газовая мощность,Привод,Максимальная загрузка,Длина вертела
https://cdn.entero.ru/mp@2x/57/32/5732c46ff651b6a5af27c984d2ef20b1.jpg,Гриль для шаурмы Grill Master Ф2ШМС/1,211207 / Ф2ШМС/1 21211,44600,RUB,Да,Grill Master,Профоборудование,Оборудование фаст-фуд,Грили для шаурмы,https://entero.ru/item/128784,"<p>Электрический гриль для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128784"">Grill Master Ф2ШМС/1</a></b> предназначен для запекания специально подготовленного свиного, говяжьего, бараньего и куриного мяса, используемого для приготовления шаурмы, на предприятиях общественного питания и торговли. Модель оснащена 2 независимо регулируемыми нагревательными элементами и лотком для сбора жира. Все корпусные элементы выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Стеклокерамическая поверхность</li>
<li>2 спиральных нагревателя с регуляторами мощности</li>
<li>4 режима работы нагревателей</li>
<li>Усиленный мотор с верхним расположением</li>
<li>Моментальный выход на рабочий режим</li>
<li>Низкая ужарка и оптимальная сочность готового продукта</li>
<li>Боковые съемные экраны для сохранения жара и защиты от брызг</li>
<li>Низкое энергопотребление</li>
<li>Современный внешний вид</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 570х560х700 мм</li>
</ul>",128784,,2.74 кВт,430 мм,775 мм,749 мм,29 кг,Россия,1,570x560x700 мм,21,https://entero.ru/manuals/141980/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A42%D0%A8%D0%9C%D0%A1_1.pdf;https://entero.ru/manuals/141981/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Grill%20Master%20%D0%A42%D0%A8%D0%9C%D0%A1_1.jpg,,,16.8 кг,220 В,2 шт.,,,электрический,20 кг,480 мм
https://cdn.entero.ru/mp@2x/4f/be/4fbe69bb869e289dcbf88dbfa39642d5.jpg,Гриль для шаурмы Osba 3.3S+ с двигателем,110039,47625,RUB,Да,,Профоборудование,Оборудование фаст-фуд,Грили для шаурмы,https://entero.ru/item/286288,"<p>Гриль для шаурмы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/286288""><b class=""b"">Osba 3.3S+</b></a> предназначен для обжарки большого количества различных видов мяса и птицы для приготовления начинки для шаурмы, донера и других блюд на предприятиях общественного питания и торговли. Модель оснащена 3 нагревательными элементами и керамическим стеклом для защиты спирали от попадания масла. Корпус выполнен из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима мощности нагрева</li>
<li>Система с одной направляющей для регулировки расстояния от мяса до зоны нагрева</li>
<li>Простой уход и очистка</li>
</ul>",286288,,6 кВт,510 мм,670 мм,1000 мм,50 кг,Россия,1,790x470x1140 мм,0,https://entero.ru/manuals/404310/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Osba%203.3S.pdf,,,30 кг,"220 В, 380 В",3 шт.,,,электрический,60 кг,790 мм
https://cdn.entero.ru/mp@2x/40/11/4011b1ed84832bd5bcb9b4215a11b8a7.jpg,Аппарат для шаурмы Eletto SD 17,ESD17,54480,RUB,Да,,Профоборудование,Оборудование фаст-фуд,Грили для шаурмы,https://entero.ru/item/269414,"<p>Аппарат для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/269414"">Eletto SD 17</a></b> предназначен для обжарки большого количества различных видов мяса и птицы для приготовления начинки для шаурмы, донера и других блюд на предприятиях общественного питания и торговли. Модель оснащена поддоном для сбора излишков жира. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Независимая работа нагревательных элементов</li>
<li>Керамическое стекло для защиты ТЭНов от попадания масла</li>
<li>Специальные отражатели для усиления теплоотдачи, ускорения процесса приготовления и уменьшения энергопотребления</li>
<li>Усиленная конструкция</li>
<li>Верхний электропривод</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 910х540х400 мм</li>
</ul>",269414,,4.8 кВт,540 мм,640 мм,1100 мм,,Турция,,,0,https://entero.ru/manuals/331819/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Eletto%20SD%2017.doc,57347,,25 кг,220 В,4 шт.,,,электрический,50 кг,
https://cdn.entero.ru/mp@2x/61/8e/618efa46a884eb3fcf72fa1c4224d75d.jpg,Гриль для шаурмы FIMAR GYR60,Гриль для шаурмы FIMAR GYR60,160165,RUB,Да,FIMAR,Профоборудование,Оборудование фаст-фуд,Грили для шаурмы,https://entero.ru/item/94071,"<p>Гриль для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94071"">FIMAR GYR60</a></b> используется на предприятиях общественного питания и торговли для приготовления мясной начинки. Модель оснащена 3 уровнями мощности, инфракрасными ТЭНами с керамическим покрытием и жаростойким защитным стеклом. Корпус, шампур, лопатка и поддон для сбора отходов выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двигатель верхнего привода вращения</li>
<li>Посекторная регулировка ТЭНов</li>
<li>Регулировка расстояния от шампура до ТЭнов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка: от 10 до 30 кг</li>
<li>Максимальный диаметр куска мяса: 470 мм</li>
<li>Габариты в упаковке: 625х625х1130 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/98195"">ACCOLGYR100</a></li>
<li>ACCOLGYR80D</li>
<li>ACCOLGYR80HM</li>
<li>Комплект защитных стекол</li>
<li>Вытяжной колпак с фильтром с активированным углем</li>
</ul>",94071,,4.2 кВт,510 мм,530 мм,870 мм,,Италия,,,0,https://entero.ru/manuals/82501/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20FIMAR%20GYR60.pdf;https://entero.ru/manuals/87401/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20FIMAR.pdf;https://entero.ru/manuals/302914/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20FIMAR%20GYR60.pdf;https://entero.ru/manuals/376081/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/376082/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/376083/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/376084/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%28%D0%B4%D0%BE%2006.10.2027%29.pdf,170388,,26 кг,"220 В, 380 В",6 шт.,,,электрический,30 кг,от 410 до 460 мм
https://cdn.entero.ru/mp@2x/65/3e/653e16625ad5b1fa331c9a9649b44183.jpg,Гриль для шаурмы Airhot GRE-80,Гриль для шаурмы Airhot GRE-80,32166,RUB,Да,Airhot,Профоборудование,Оборудование фаст-фуд,Грили для шаурмы,https://entero.ru/item/32989,"<p>Гриль для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32989"">Airhot GRE-80</a></b> используется на предприятиях общественного питания и торговли для приготовления мясной начинки для шаурмы. Принцип действия заключается в том, что приготовленная мясная нарезка насаживается на специальный нож, который вращается вокруг своей оси около электрических ТЭНов до ее полной готовности. Модель оснащена поддоном для сбора жира. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 зоны нагрева</li>
<li>6 ТЭНов</li>
<li>Регулировка расстояния между ТЭНом и корпусом</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Регулируемое расстояние между ТЭНом и корпусом: от 150 до 220 мм</li>
</ul>

<p> </p>",32989,от 50 до 300 °С,8.1 кВт,520 мм,635 мм,970 мм,33 кг,Китай,1,570x635x980 мм,0,https://entero.ru/manuals/96146/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20GRE-80.pdf;https://entero.ru/manuals/96145/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20GRE-80.pdf,34587,,31 кг,380 В,3 шт.,,,электрический,30 кг,650 мм
https://cdn.entero.ru/mp@2x/90/9e/909e3f014d36ee2aa5630c0c1d04d121.jpg,Гриль для шаурмы OZTI 3E,8859.000E3.8T,128524,RUB,Да,OZTI,Профоборудование,Оборудование фаст-фуд,Грили для шаурмы,https://entero.ru/item/27417,"<p>Гриль для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/27417"">OZTI 3E</a></b> предназначен для обжарки большого количества различных видов мяса и птицы на предприятиях общественного питания, а также в производственных цехах, деятельность которых связана с выпуском гастрономических товаров. Корпус выполнен из нержавеющей стали, панель перед нагревательными элементами - из керамического стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Независимая работа нагревательных элементов</li>
<li>Система с двумя направляющими для выбора положения мяса: рядом, вдали или под углом</li>
<li>Выбор направления вращения вертела</li>
<li>Верхний привод</li>
<li>Восьмиугольный поддон для сбора жира</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная высота насадки мяса: 450 мм</li>
<li>Скорость вращения вертела: 1 об/мин.</li>
<li>Класс защиты: IP 21</li>
</ul>",27417,,5.4 кВт,450 мм,560 мм,987 мм,,Турция,,,0,https://entero.ru/manuals/80875/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20OZTI%203E.doc;https://entero.ru/manuals/421237/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20OZTI%203E.pdf;https://entero.ru/manuals/421246/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20OZTI%202024%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,27.5 кг,380 В,,,,электрический,40 кг,450 мм
https://cdn.entero.ru/mp@2x/b5/eb/b5eb141b4dc8671188e8bfaceeae37a1.jpg,Аппарат для шаурмы Eletto SD 14,ESD14,46193,RUB,Да,,Профоборудование,Оборудование фаст-фуд,Грили для шаурмы,https://entero.ru/item/269413,"<p>Аппарат для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/269413"">Eletto SD 14</a></b> предназначен для обжарки большого количества различных видов мяса и птицы для приготовления начинки для шаурмы, донера и других блюд на предприятиях общественного питания и торговли. Модель оснащена поддоном для сбора излишков жира. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Независимая работа нагревательных элементов</li>
<li>Керамическое стекло для защиты ТЭНов от попадания масла</li>
<li>Специальные отражатели для усиления теплоотдачи, ускорения процесса приготовления и уменьшения энергопотребления</li>
<li>Усиленная конструкция</li>
<li>Верхний электропривод</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 760х530х400 мм</li>
</ul>",269413,,3.6 кВт,540 мм,640 мм,940 мм,,Турция,,,0,https://entero.ru/manuals/331818/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Eletto%20SD%2014.doc,,,22 кг,220 В,3 шт.,,,электрический,30 кг,
https://cdn.entero.ru/mp@2x/6e/62/6e62f1d216e133db18fb2faf9c57d4c5.jpg,Гриль для шаурмы Hurakan HKN-GRM20 220В,170143,25480,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Грили для шаурмы,https://entero.ru/item/93458,"<p>Гриль для шаурмы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93458""><b class=""b"">Hurakan HKN-GRM20</b></a> используется на предприятиях общественного питания и торговли для запекания специально подготовленного свиного, говяжьего, бараньего и куриного мяса. Модель оснащена 2 зонами нагрева и регулируемым расстоянием между ТЭНами и мясом. Корпус выполнен из нержавеющей стали.</p>",93458,,4 кВт,450 мм,600 мм,650 мм,20 кг,Китай,1,400x550x800 мм,12,https://entero.ru/manuals/415913/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-GRM20.pdf;https://entero.ru/manuals/415914/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GRM20.pdf;https://entero.ru/manuals/415915/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415916/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453722/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GRM20%20220%D0%92.pdf,26542,,16.5 кг,220 В,2 шт.,,,ручной,,400 мм
https://cdn.entero.ru/mp@2x/eb/f7/ebf722b597d94facce35ade189ec94c8.jpg,Гриль для шаурмы Hurakan HKN-GRM30 220В,170144,28026,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Грили для шаурмы,https://entero.ru/item/93459,"<p>Гриль для шаурмы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93459""><b class=""b"">Hurakan HKN-GRM30</b></a> используется на предприятиях общественного питания и торговли для запекания специально подготовленного свиного, говяжьего, бараньего и куриного мяса. Модель оснащена 3 зонами нагрева и регулируемым расстоянием между ТЭНами и мясом. Корпус выполнен из нержавеющей стали.</p>",93459,,6 кВт,450 мм,600 мм,762 мм,22 кг,Китай,1,515x635x855 мм,20,https://entero.ru/manuals/415909/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-GRM30.pdf;https://entero.ru/manuals/415910/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GRM30.pdf;https://entero.ru/manuals/415911/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415912/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453723/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GRM30%20220%D0%92.pdf,30463,,18 кг,220 В,3 шт.,,,ручной,,600 мм
https://cdn.entero.ru/mp@2x/e2/0a/e20a51ff4c0179faf3b78cf9fd5e44a6.jpg,Гриль для шаурмы Osba 3.3K+ с двигателем,110036,39000,RUB,Да,,Профоборудование,Оборудование фаст-фуд,Грили для шаурмы,https://entero.ru/item/286297,"<p>Гриль для шаурмы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/286297""><b class=""b"">Osba 3.3K+</b></a> предназначен для обжарки большого количества различных видов мяса и птицы для приготовления начинки для шаурмы, донера и других блюд на предприятиях общественного питания и торговли. Модель оснащена 3 нагревательными элементами и защитной сеткой. Корпус выполнен из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима мощности нагрева</li>
<li>Система с одной направляющей для регулировки расстояния от мяса до зоны нагрева</li>
</ul>",286297,,6 кВт,510 мм,670 мм,1000 мм,,Россия,,,0,https://entero.ru/manuals/404313/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Osba%203.3K.pdf,,,25 кг,"220 В, 380 В",3 шт.,,,электрический,60 кг,790 мм
