Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Количество контейнеров,Объем 1 контейнера
https://cdn.entero.ru/mp@2x/42/46/4246d7dbb8c0e115d895ca522a30f986.jpg;https://cdn.entero.ru/mp@2x/59/87/59878c46b012c9bf62c6ddb475df0091.jpg;https://cdn.entero.ru/mp@2x/fd/27/fd27f872482dc0d796ac18071a962532.jpg;https://cdn.entero.ru/mp@2x/34/df/34df239960340d56d62c5c71d879adcd.jpg;https://cdn.entero.ru/mp@2x/2f/bf/2fbffd63673be58ec06de6de3066421e.jpg,Дозатор City Sourcing для соусов Heinz,122474,11406,RUB,Да,,Профоборудование,Оборудование фаст-фуд,Дозаторы,https://entero.ru/item/116305,"<p>Дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116305""><b class=""b"">City Sourcing</b></a> используется на предприятиях общественного питания и торговли для порционной подачи соусов Heinz из балка (пакета). Герметичный пакет с соусом соединяется через коннектор с дозатором, обеспечивая максимальную гигиеническую защиту продукта и легкость в работе.</p>

<p>В комплект поставки входят 3 цветные ручки дозатора (тёмно-красная, жёлтая и синяя) и наклейки для оформления дозатора в соответствии с подаваемым соусом.</p>

<p><b>Совместимость с соусами Heinz:</b></p>

<ul>
<li>Томатный кетчуп</li>
<li>Горчичный соус</li>
<li>Майонезный соус (28%)</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Выполненный из упругого материала носик дозатора имеет скрытое отверстие, открывающееся под давлением соуса при нажатии на ручку дозатора</li>
<li>После завершение цикла дозирования отверстие самостоятельно закрывается - это препятствует высыханию соуса в носике</li>
<li>Отсутствие необходимости переливать продукт</li>
<li>Позволяет расходовать соус без потерь - нет списаний и остатков</li>
<li>Стильный внешний вид</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер порции: 25 мл</li>
<li>Вес пакета с соусом: 2 к</li>
<li>Цвет корпуса: коричневый</li>
</ul>",116305,280 мм,130 мм,350 мм,,,,0,,12134,1 кг,,Китай,1,
https://cdn.entero.ru/mp@2x/0f/7d/0f7dcf0e1887b84024587169551dd6aa.jpg,Дозатор для соусов Kalando KD002 3 set,32923,47704,RUB,Да,,Профоборудование,Оборудование фаст-фуд,Дозаторы,https://entero.ru/item/123934,"<p>Помповый дозатор для соусов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123934"">Kalando KD002 3 set</a></b> используется на предприятиях общественного питания и торговли, в частных домах и квартирах для хранения и дозирования холодных и густых соусов. Изделие выполнено из нержавеющей стали.</p>

<p>В комплект поставки входят 3 гастроемкости GN 1/6 глубиной 200 мм.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 3х 2,5 л</li>
<li>Объем дозировки: до 30 мл</li>
<li>Размеры: 500x180х340 мм</li>
<li>Цвет наконечников: красный, белый, оранжевый</li>
</ul>",123934,340 мм,180 мм,500 мм,,,,0,,51852,,,Турция,3,2.5 л
https://cdn.entero.ru/mp@2x/bb/e0/bbe048b055d1b65dd065b805c6009f86.jpg,Дозатор для соусов MVQ 099020,11324,13410,RUB,Да,MVQ,Профоборудование,Оборудование фаст-фуд,Дозаторы,https://entero.ru/item/118490,"<p>Дозатор для соусов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/118490"">MVQ 099020</a></b> используется на предприятиях общественного питания и торговли, в частных домах и квартирах для хранения и порционной подачи густых и неоднородных соусов. Изделие оснащено термоизолированным корпусом, что предотвращает образование конденсата. Корпус и помпы выполнены из высококачественной нержавеющей стали, которая легко моется и не впитывает запахов, емкости - из полупрозрачного полипропилена.</p>",118490,185 мм,300 мм,380 мм,4.5 кг,1,195x365x275 мм,0,https://entero.ru/manuals/480149/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,14419,4 кг,Германия,Китай,2,3.2 л
https://cdn.entero.ru/mp@2x/82/ed/82ed829f5c6930f0affbc382fe6c497e.jpg,Дозатор для соусов Kalando KD006 2 set,32924,30800,RUB,Да,,Профоборудование,Оборудование фаст-фуд,Дозаторы,https://entero.ru/item/123935,"<p>Помповый дозатор для соусов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123935"">Kalando KD006 2 set</a></b> используется на предприятиях общественного питания и торговли, в частных домах и квартирах для хранения и дозирования холодных и густых соусов. Основание выполнено из нержавеющей стали, емкости - из нержавеющей стали со стеклянными вставками для контроля количества соуса.</p>

<p>В комплект поставки входят 2 цилиндрические емкости.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем дозировки: до 30 мл</li>
<li>Размеры емкости: 2х 100х100х455 мм</li>
<li>Цвет наконечников: красный, белый</li>
</ul>",123935,290 мм,140 мм,470 мм,,,,0,,,,,Турция,2,2 л
https://cdn.entero.ru/mp@2x/72/7e/727ee122a7c6c288e7783a768c6bdb25.jpg,Диспенсер для соусов Hurakan HKN-SDS32,Диспенсер для соусов Hurakan HKN-SDS32,14806,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Дозаторы,https://entero.ru/item/213370,"<p>Диспенсер для соусов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/213370""><b class=""b"">Hurakan HKN-SDS32</b></a> используется на предприятиях общественного питания и уличной торговли для дозирования холодных густых соусов. Модель оснащена 2 помпами. Изделие выполнено из нержавеющей стали.</p>",213370,364 мм,186 мм,255 мм,4 кг,1,385x195x280 мм,12,https://entero.ru/manuals/417058/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/483875/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-SDS32.pdf,16093,,,Китай,,
https://cdn.entero.ru/mp@2x/42/18/4218f1aa674673a24f07d469787219e4.jpg,Диспенсер для соуса Gastroplast 1500 мл d=12 см h=18/30 см с дозатором 25 мл (полипропилен) прозрачный,Диспенсер для соуса Gastroplast 1500 мл d=12 см h=18/30 см с дозатором 25 мл (полипропилен) прозрачный,1065,RUB,Да,,Профоборудование,Оборудование фаст-фуд,Дозаторы,https://entero.ru/item/364537,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/364537""><b class=""b"">Gastroplast 1500 мл</b></a> предназначен для дозированной подачи соуса на предприятиях общественного питания и торговли. Емкость круглого сечения оснащена крышкой и разборной помпой с нажимным дозатором. Емкость и крышка выполнены из прозрачного полипропилена (PP) без содержания токсичного бисфенола A (BPA).</p>

<p><b>Особенности:</b></p>

<ul>
<li>Мерная шкала</li>
<li>Герметичная фиксация крышки с помощью защелок</li>
<li>Ударопрочность</li>
<li>Устойчивость к температурным перепадам</li>
<li>Возможность эксплуатации в микроволновой печи</li>
<li>Возможность мойки в посудомоечной машине</li>
<li>Возможность вторичной переработки</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон рабочей температуры: от -40 до 70 °C</li>
<li>Объем емкости: 1500 мл</li>
<li>Объем дозирования: 25 мл</li>
<li>Высота емкости: 180 мм</li>
</ul>",364537,120 мм,120 мм,300 мм,,,,0,https://entero.ru/manuals/474193/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Gastroplast.pdf;https://entero.ru/manuals/507546/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,0.25 кг,Турция,Турция,1,1.5 л
https://cdn.entero.ru/mp@2x/24/d2/24d29c55ebcae551a94384f4097b0acd.jpg,Дозатор для соусов MVQ 099010,11323,7136,RUB,Да,MVQ,Профоборудование,Оборудование фаст-фуд,Дозаторы,https://entero.ru/item/118489,"<p>Дозатор для соусов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/118489"">MVQ 099010</a></b> используется на предприятиях общественного питания и торговли, в частных домах и квартирах для хранения и порционной подачи густых и неоднородных соусов. Изделие оснащено термоизолированным корпусом, что предотвращает образование конденсата. Корпус и помпа выполнены из высококачественной нержавеющей стали, которая легко моется и не впитывает запахов, емкость - из полупрозрачного полипропилена.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 3,2 л</li>
<li>Размер: 300x185x380 мм</li>
<li>Вес: 3 кг</li>
</ul>",118489,185 мм,185 мм,250 мм,2.4 кг,1,195x195x275 мм,0,https://entero.ru/manuals/480153/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,1.9 кг,,Китай,1,3.2 л
https://cdn.entero.ru/mp@2x/df/1e/df1eea0b259565dbead958bffdcb1d37.jpg,Диспенсер для соуса Gastroplast GDK-02 2 л с дозатором 25 мл (полипропилен) красный,GDK-02,1267,RUB,Да,,Профоборудование,Оборудование фаст-фуд,Дозаторы,https://entero.ru/item/367649,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/367649""><b class=""b"">Gastroplast GDK-02</b></a> предназначен для дозированной подачи кетчупа и других соусов на предприятиях общественного питания и торговли. Емкость прямоугольного сечения оснащена крышкой и разборной помпой с нажимным дозатором. Емкость и крышка выполнены из прозрачного полипропилена (PP) без содержания токсичного бисфенола A (BPA), крышка имеет красную маркировку.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Мерная шкала в литрах</li>
<li>Цветовая маркировка</li>
<li>Помпа с блокирующим подачу соуса фиксатором для удобства транспортировки</li>
<li>Ударопрочность</li>
<li>Устойчивость к температурным перепадам</li>
<li>Возможность эксплуатации в микроволновой печи</li>
<li>Возможность мойки в посудомоечной машине</li>
<li>Возможность вторичной переработки</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон рабочей температуры: от -40 до 70 °C</li>
<li>Объем емкости: 2000 мл</li>
<li>Объем дозирования: 25 мл</li>
</ul>",367649,170 мм,160 мм,145 мм,0.7 кг,,,0,https://entero.ru/manuals/483569/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Gastroplast%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/507554/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,Турция,Турция,1,2 л
https://cdn.entero.ru/mp@2x/69/54/6954a08330091ade0fcdaa051fc697ac.jpg,Диспенсер для соуса Gastroplast GDM-02 2 л с дозатором 25 мл (полипропилен) белый,GDM-02,1267,RUB,Да,,Профоборудование,Оборудование фаст-фуд,Дозаторы,https://entero.ru/item/367650,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/367650""><b class=""b"">Gastroplast GDM-02</b></a> предназначен для дозированной подачи майонеза и других соусов на предприятиях общественного питания и торговли. Емкость прямоугольного сечения оснащена крышкой и разборной помпой с нажимным дозатором. Емкость и крышка выполнены из прозрачного полипропилена (PP) без содержания токсичного бисфенола A (BPA), крышка имеет белую маркировку.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Мерная шкала в литрах</li>
<li>Цветовая маркировка</li>
<li>Помпа с блокирующим подачу соуса фиксатором для удобства транспортировки</li>
<li>Ударопрочность</li>
<li>Устойчивость к температурным перепадам</li>
<li>Возможность эксплуатации в микроволновой печи</li>
<li>Возможность мойки в посудомоечной машине</li>
<li>Возможность вторичной переработки</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон рабочей температуры: от -40 до 70 °C</li>
<li>Объем емкости: 2000 мл</li>
<li>Объем дозирования: 25 мл</li>
</ul>",367650,170 мм,160 мм,145 мм,0.7 кг,,,0,https://entero.ru/manuals/483568/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Gastroplast%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/507545/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,Турция,Турция,1,2 л
https://cdn.entero.ru/mp@2x/48/9a/489a957a7292ad0633748d3ec04c5cd8.jpg,Диспенсер для соусов VIATTO VA-CD3,Диспенсер для соусов VIATTO VA-CD3,6921,RUB,Да,VIATTO,Профоборудование,Оборудование фаст-фуд,Дозаторы,https://entero.ru/item/256748,"<p>Диспенсер для соусов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/256748""><b class=""b"">VIATTO VA-CD3</b></a> используется на предприятиях общественного питания и уличной торговли для хранения и дозирования соусов и топпингов. Изделие выполнено из нержавеющей стали, внутренние поверхности - из бесшовного пластика.</p>",256748,175 мм,305 мм,358 мм,3 кг,1,195x195x280 мм,6,https://entero.ru/manuals/375366/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-CD3.pdf;https://entero.ru/manuals/525594/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,2.2 кг,,Китай,1,3 л
