Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Диаметр лезвия,Беспроводной
https://cdn.entero.ru/mp@2x/dc/6d/dc6dee9adb075c1e71ed80bfc21d0625.jpg,Нож электрический для шаурмы Airhot KS100E,Нож электрический для шаурмы Airhot KS100E,8642,RUB,Да,Airhot,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/117779,"<p>Электрический нож для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117779"">Airhot KS100E</a></b> используется на на предприятиях общественного питания и торговли. Модель оснащена кнопкой включения с влагозащитой. Все части, соприкасающиеся с продуктами, выполнены из нержавеющей стали. В качестве источника энергии используется легкий блок питания для подключения к сети.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезки: от 0 до 8 мм</li>
<li>Длина шнура: 3 м</li>
</ul>",117779,220 В,0.08 кВт,230 мм,185 мм,280 мм,1 кг,1,230x180x265 мм,0,https://entero.ru/manuals/119523/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20KS100E.pdf,,,1.3 кг,,Китай,60 кг/час,100 мм,
https://cdn.entero.ru/mp@2x/39/25/392540ca0e8784195b2573130beb4a24.jpg,Нож электрический для шаурмы Airhot KS-100C беспроводной,D4164,16079,RUB,Да,Airhot,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/182158,"<p>Электрический нож для шаурмы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/182158""><b class=""b"">Airhot KS-100C</b></a> используется для нарезки приготовленного на гриле мяса на предприятиях общественного питания и торговли. Модель оснащена полуавтоматическим управлением с функцией влагозащиты. Все части, соприкасающиеся с продуктами, выполнены из нержавеющей стали. В качестве источника энергии используется Li-ion аккумулятор.</p>

<p>В комплект поставки входят 2 аккумулятора.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезки: от 0 до 8 мм</li>
<li>Скорость вращения ножа: 3400 об./мин.</li>
<li>Емкость аккумулятора: 2000 мА/ч</li>
<li>Время непрерывной работы: от 28 до 30 мин.</li>
<li>Время работы на холостом ходу: 115 мин.</li>
<li>Время зарядки: 90 мин.</li>
<li>Габариты в упаковке: 205х195х165 мм</li>
</ul>",182158,220 В,0.08 кВт,192 мм,127 мм,180 мм,2 кг,1,240x190x258 мм,0,https://entero.ru/manuals/211577/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20KS-100C.pdf,,,1.37 кг,,Китай,,100 мм,Да
https://cdn.entero.ru/mp@2x/63/fe/63fe20557e8956984ad57433a9ad79c7.jpg,Нож электрический для шаурмы Hurakan HKN-ODKM,207300,8742,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/123669,"<p style=""text-align: justify;""><span style=""text-align: left;"">Электрический нож для шаурмы </span><b class=""b"" style=""text-align: left;""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123669"">Hurakan HKN-ODKM</a></b><span style=""text-align: left;""> используется на предприятиях общественного питания и торговли.</span></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 233x188x210 мм</li>
</ul>",123669,220 В,0.08 кВт,190 мм,110 мм,165 мм,3 кг,1,240x190x210 мм,0,https://entero.ru/manuals/413290/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-ODKM.pdf;https://entero.ru/manuals/413291/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,1.6 кг,Россия,,,,
https://cdn.entero.ru/mp@2x/18/22/1822d0194d6bd9133058eb7ec3029050.jpg;https://cdn.entero.ru/mp@2x/8e/7c/8e7c9a424a4f3e5b11d04cb84aa8bae4.jpg,Нож электрический для шаурмы Kocateq BLEK03,6550,10331,RUB,Да,Kocateq,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/139918,"<p>Электрический нож для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/139918"">Kocateq BLEK03</a></b> используется на предприятиях общественного питания и торговли для нарезания мяса, обжариваемого на вертеле. Модель оснащена запатентованной системой защиты от порезов. Все части, соприкасающиеся с продуктами, выполнены из нержавеющей стали AISI 304, корпус - из нескользящего пластика.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Гладкий нож</li>
<li>Зубчатый нож</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировочный винт для установки толщины нарезки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезки: от 0 до 8 мм</li>
<li>Габариты в упаковке: 230х180х270 мм</li>
</ul>",139918,220 В,0.08 кВт,180 мм,110 мм,190 мм,,,,0,https://entero.ru/manuals/163040/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/278962/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20BLEK03.pdf,11229,,2 кг,Ю. Корея,,,100 мм,
https://cdn.entero.ru/mp@2x/1d/5e/1d5ebd6ffeccd7c6b082047b1c01e0ce.jpg;https://cdn.entero.ru/mp@2x/b4/59/b4590bc2d3a2e96febadda82719293f9.jpg;https://cdn.entero.ru/mp@2x/eb/97/eb9743ced6c23e8c0f6040a849ad3643.jpg;https://cdn.entero.ru/mp@2x/65/7c/657c2678c77d8b7a39bfb4f62240bc35.jpg;https://cdn.entero.ru/mp@2x/fb/92/fb92fd47cd6cd46ea5fba744d8bda056.jpg,Нож электрический для шаурмы Kocateq BLEK04,Нож электрический для шаурмы Kocateq BLEK04,16814,RUB,Да,Kocateq,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/89207,"<p>Электрический нож для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89207"">Kocateq BLEK04</a></b> используется на предприятиях общественного питания и торговли для нарезания мяса, обжариваемого на вертеле. Модель оснащена запатентованной системой защиты от порезов. Все части, соприкасающиеся с продуктами, выполнены из нержавеющей стали AISI 304.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Аккумулятор Li-Ion</li>
<li>Гладкий нож</li>
<li>Зубчатый нож</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезки: от 0 до 5 мм</li>
</ul>",89207,220 В,0.1 кВт,250 мм,125 мм,220 мм,,,,0,https://entero.ru/manuals/111209/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/278960/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20BLEK04.pdf,18276,,2 кг,Ю. Корея,,,100 мм,
https://cdn.entero.ru/mp@2x/2f/6c/2f6c91bfedb6295e2720f117d6b87c6d.jpg,Нож электрический для гриль-шаурмы VIATTO VKC-100E,Нож электрический для гриль-шаурмы VIATTO VKC-100E,10074,RUB,Да,VIATTO,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/116377,"<p>Электрический нож для гриль-шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116377"">VIATTO VKC-100E</a></b> предназначен для нарезки любого вида и сорта готового мяса на предприятиях общественного питания и торговли. Модель оснащена вертикальной рукояткой и регулировкой толщины нарезки.</p>",116377,220 В,0.08 кВт,280 мм,240 мм,190 мм,3 кг,1,330x290x240 мм,0,https://entero.ru/manuals/464028/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VKC-100E.pdf;https://entero.ru/manuals/464029/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/464030/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VKC-100E.png,,,2.5 кг,,Китай,,100 мм,
https://cdn.entero.ru/mp@2x/85/13/8513bdd5654f2133a774e664dc981609.jpg,Нож Kocateq BLEK04 round knife,Нож Kocateq BLEK04 round knife,9176,RUB,Да,Kocateq,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/373271,"<p>Нож предназначен для электрического ножа для шаурмы <a href=""https://entero.ru/item/89207?srsltid=AfmBOorQSAF5wmZNQTplY_8emhvKEqPyVU9DFJoUPo6nJR9Pm0DXZszy"">Kocateq BLEK04</a> на предприятиях общественного питания и торговли.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр: 100 мм</li>
<li>Толщина: 2 мм</li>
</ul>",373271,,,,,,,,,0,,,,,,,,,
https://cdn.entero.ru/mp@2x/c7/89/c789bd6368a786fb4fa46e4cafb35959.jpg;https://cdn.entero.ru/mp@2x/bd/66/bd6607d8f5e92470a957bfb721e72daa.jpg;https://cdn.entero.ru/mp@2x/44/a6/44a644582d9a3ec1701732db8e3f047f.jpg;https://cdn.entero.ru/mp@2x/f5/83/f583c225bd060687ee0de592febbf93c.jpg;https://cdn.entero.ru/mp@2x/1c/cd/1ccdb6fdd7f6cdcd8930da2d259321b5.jpg;https://cdn.entero.ru/mp@2x/dd/07/dd07a1995b9b8ff7d962ba1afaadccaf.jpg;https://cdn.entero.ru/mp@2x/86/08/86085acdd42395e55a432c644e0acb3e.jpg,Нож электрический для шаурмы Rosso KS-100E,Нож электрический для шаурмы Rosso KS-100E,11170,RUB,Да,Rosso,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/367614,"<p>Проводной электрический нож для шаурмы<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/367614"">Rosso KS-100E</a></b> используется на на предприятиях общественного питания и торговли для нарезки мяса, кебаба. </p>

<p>В комплект поставки входят 2 сменных ножа.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезки: от 0 до 8 мм</li>
</ul>",367614,220 В,0.08 кВт,200 мм,110 мм,190 мм,2.34 кг,1,280x190x240 мм,0,,11883,,,,Китай,,100 мм,
https://cdn.entero.ru/mp@2x/f7/53/f753413a2a00578236efaf4f72ad6692.jpg;https://cdn.entero.ru/mp@2x/b0/f5/b0f52fc37952b5ed7819b1c741f25ecc.jpg;https://cdn.entero.ru/mp@2x/8e/2f/8e2f18e00b6e4f979c6f5add7aa43d2e.jpg;https://cdn.entero.ru/mp@2x/33/0e/330edc83f48d9ffc83d88a055589ca86.jpg;https://cdn.entero.ru/mp@2x/57/3e/573e0b56a14f5cc0d8cf5e1e736dba3a.jpg;https://cdn.entero.ru/mp@2x/ec/5f/ec5f71dfe2abbdca049385ad3fea7d22.jpg,Нож электрический для шаурмы беспроводной Rosso KSE-100DC,KSE100DC,16802,RUB,Да,Rosso,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/367615,"<p>Беспроводной электрический нож для шаурмы<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/367615""><b class=""b""> Rosso KS-100E</b></a> используется на на предприятиях общественного питания и торговли для нарезки мяса, кебаба. </p>

<p>В комплект поставки входят зарядное устройство и запасной аккумулятор.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезки: от 5 до 8 мм</li>
<li>Максимальная ширина нарезки: 80 мм</li>
<li>Скорость вращения ножа: 3400 об/мин.</li>
<li>Время непрерывной работы: от 28 до 30 мин.</li>
<li>Время работы на холостом ходу: 115 мин.</li>
<li>Время зарядки: 90 мин.</li>
<li>Емкость аккумулятора: 2000 мА/ч</li>
</ul>",367615,220 В,0.08 кВт,280 мм,110 мм,200 мм,1 кг,1,205x195x165 мм,0,,17874,,,,Китай,,100 мм,Да
https://cdn.entero.ru/mp@2x/72/d4/72d443757225fe4e51cdd19e9eae24d2.jpg,Нож электрический для шаурмы VIATTO VA-KS100E,Нож электрический для шаурмы VIATTO VA-KS100E,0,RUB,Нет,VIATTO,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/220185,"<p>Электрический нож для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/220185"">VIATTO VA-KS100E</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена регулировочным винтом для задания толщины резки и шнуром питания. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина реза: от 0 до 8 мм</li>
<li>Габариты в упаковке: 150х120х200 мм</li>
</ul>",220185,220 В,0.08 кВт,142 мм,112 мм,190 мм,,,,0,https://entero.ru/manuals/408212/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-KS100E.pdf;https://entero.ru/manuals/408213/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,1.4 кг,,Китай,60 кг/час,100 мм,
