Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Количество ячеек,Размер ячейки (ШxГxВ)
https://cdn.entero.ru/mp@2x/88/c0/88c048688b9d11ea5acd44082f41a176.jpg;https://cdn.entero.ru/mp@2x/bb/d3/bbd3c87209a0dca570eb1f391cd05dc6.jpg,Кассета для тарелок Abat МПК-700К.1102.00.00.090 (500х500),720000027144 72000027144,1984,RUB,Да,Abat,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/104744,"<p>Кассета для тарелок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/104744""><b class=""b""> Abat МПК-700К.1102.00.00.090 </b></a>используется совместно с посудомоечными машинами (кроме моделей МПК-65-65, МПК-400Ф и МПК-400Ф-01) на предприятиях общественного питания и торговли.</p>",104744,кассета для тарелок,500 мм,500 мм,106 мм,,,500x500 мм,54,,2390,1 кг,,Россия,,,
https://cdn.entero.ru/mp@2x/34/f2/34f252f7a663444a307ef3c565c6dc95.jpg;https://cdn.entero.ru/mp@2x/8c/25/8c25ad0032364b3d5f9afeb175178068.jpg;https://cdn.entero.ru/mp@2x/d9/1d/d91ddc33f1633cf7703a99a56d6a49b1.jpg,Кассета для стаканов Abat МПК-700К.1102.00.00.091 (500х500),720000027183 72000027183,1984,RUB,Да,Abat,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/104745,"<p>Кассета для стаканов​ <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/104745""><b class=""b""> Abat МПК-700К.1102.00.00.091 </b></a>используется совместно с посудомоечными машинами (кроме моделей МПК-65-65, МПК-400Ф и МПК-400Ф-01) на предприятиях общественного питания и торговли.</p>",104745,кассета для стаканов,500 мм,500 мм,90 мм,,,500x500 мм,87,,2645,,,,,,
https://cdn.entero.ru/mp@2x/9c/81/9c81ababa339b348a5bd4c8eecfe2f66.jpg;https://cdn.entero.ru/mp@2x/bc/d6/bcd60a9cb09f3894c5fcc37a1a3661c2.jpg;https://cdn.entero.ru/mp@2x/dc/06/dc06caeaa64198fd6722038ffb9a93a6.jpg,Кассета для столовых приборов Abat МПК-700К.1102.00.00.092 (500х500),720000027222 72000027222,2145,RUB,Да,Abat,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/106663,"<p>Кассета для столовых приборов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/106663""><b class=""b""> Abat МПК-700К.1102.00.00.092 </b></a>используется совместно с посудомоечными машинами (кроме моделей МПК-65-65, МПК-400Ф и МПК-400Ф-01) на предприятиях общественного питания и торговли.</p>

<p> </p>

<p> </p>",106663,кассета для столовых приборов,500 мм,500 мм,90 мм,,,500x500 мм,53,,,,,,,,
https://cdn.entero.ru/mp@2x/3e/75/3e75578c6fb84bbd11bbb1e4d7082b9a.jpg,Стакан для приборов Abat МПК-700ЛТ (127x127),22000027361,247,RUB,Да,Abat,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/227035,"<p>Стакан для приборов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/227035""><b class=""b"">Abat МПК-700ЛТ</b></a> используется совместно с <a href=""https://entero.ru/search.php?text=%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%BE%D0%BC%D0%BE%D0%B5%D1%87%D0%BD%D0%B0%D1%8F%20%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0%20abat"">посудомоечными машинами Abat</a> на предприятиях общественного питания и торговли, в частных домах и квартирах.</p>

<p> </p>",227035,стакан для столовых приборов,127 мм,127 мм,130 мм,,,,39,,305,,,,,,
https://cdn.entero.ru/mp@2x/97/28/972843ff8d17a7db2fb956a675747485.jpg,Кассета для тарелок Tatra TBP 520 (500х500),Кассета для тарелок Tatra TBP 520 (500х500),3166,RUB,Да,Tatra,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/163327,"<p>Кассета для тарелок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/163327""><b class=""b"">Tatra TBP 520 </b></a>серии Tribeca используется совместно с посудомоечными машинами на предприятиях общественного питания и торговли. Модель выполнена из прочного полипропилена.</p>

<p>Подходит для всех видов посудомоечных машин, использующих кассету размером 500х500 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Устойчива к воздействию высокой температуры и жидкой агрессивной среды, создаваемой моющим средством</li>
<li>Стенки и дно кассеты сконструированы таким образом, чтобы обеспечить максимальное проникновение струй воды во время цикла мойки и высокое качество сушки</li>
<li>Штабелируется со всеми кассетами серии Tribeca размером 500х500 мм</li>
</ul>",163327,кассета для тарелок,500 мм,500 мм,100 мм,,,500x500 мм,353,,4523,1.8 кг,,,,,
https://cdn.entero.ru/mp@2x/bd/e2/bde261e03249e35463a9f5241bc8cdf2.jpg,Кассета для тарелок SMEG Professional PB50D01,Кассета для тарелок SMEG Professional PB50D01,6478,RUB,Да,,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/40428,"<p>Кассета для тарелок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40428""><b class=""b"">Smeg PB50D01</b></a> используется совместно с посудомоечными машинами серий 500 и 600 на предприятиях пищевой промышленности, общественного питания и торговли. Модель выполнена из полипропилена.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Вместимость: 18х Ø 250 мм</li>
</ul>",40428,кассета для тарелок,500 мм,500 мм,140 мм,,,500x500 мм,0,https://entero.ru/manuals/60777/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Smeg.pdf,9124,2.6 кг,,Италия,,,
https://cdn.entero.ru/mp@2x/f9/10/f9103cd7593c7b73921b9b225c8e5f44.jpg;https://cdn.entero.ru/mp@2x/8f/da/8fda7d1823206a8dbee000063d9ab6f7.jpg;https://cdn.entero.ru/mp@2x/f9/56/f95645652f6ad471e293caf911b3ba0b.jpg,Кассета универсальная SMEG Professional PB50G02 (500х500),Кассета универсальная SMEG Professional PB50G02 (500х500),6705,RUB,Да,,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/123497,"<p>Универсальная кассета <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123497""><b class=""b"">Smeg PB50G02 </b></a>используется совместно с посудомоечными машинами серии 400 на предприятиях пищевой промышленности, общественного питания и торговли. Модель выполнена из полипропилена.</p>

<p> </p>",123497,,500 мм,500 мм,145 мм,,,500x500 мм,0,,,2.6 кг,,Италия,,,
https://cdn.entero.ru/mp@2x/1a/8e/1a8ea0733ef682075ae07dc7febf06c0.jpg,Кассета для стаканов Tatra TBG 5 (500х500),Кассета для стаканов Tatra TBG 5 (500х500),2917,RUB,Да,Tatra,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/163302,"<p>Кассета для стаканов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/163302""><b class=""b"">Tatra TBG 5 </b></a>серии Tribeca используется совместно с посудомоечными машинами на предприятиях общественного питания и торговли. Модель выполнена из прочного полипропилена.</p>

<p>Подходит для всех видов посудомоечных машин, использующих кассету размером 500х500 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Устойчива к воздействию высокой температуры и жидкой агрессивной среды, создаваемой моющим средством</li>
<li>Стенки и дно кассеты сконструированы таким образом, чтобы обеспечить максимальное проникновение струй воды во время цикла мойки и высокое качество сушки</li>
<li>Штабелируется со всеми кассетами серии Tribeca размером 500х500 мм</li>
<li>Без разделителей</li>
</ul>",163302,кассета для стаканов,500 мм,500 мм,100 мм,,,500x500 мм,276,,,1.5 кг,,,,,
https://cdn.entero.ru/mp@2x/66/47/6647daf8608bb273141603133a109916.jpg;https://cdn.entero.ru/mp@2x/de/c1/dec1ef2326dfb68dc99ad8925c4599ff.jpg,Кассета для столовых приборов SMEG Professional PHOOS03(280х250),Кассета для столовых приборов SMEG Professional PHOOS03(280х250),3521,RUB,Да,,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/89709,"<p>Кассета для столовых приборов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89709""><b class=""b"">Smeg PHOOS03</b></a> с 8 отсеками используется совместно с посудомоечными машинами, в которых умещаются кассеты 500х500 мм, на предприятиях пищевой промышленности, общественного питания и торговли. Модель выполнена из полипропилена.</p>",89709,кассета для столовых приборов,280 мм,250 мм,250 мм,,,280х250 мм,0,https://entero.ru/manuals/73372/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Smeg.pdf,4890,1.9 кг,,Италия,,,
https://cdn.entero.ru/mp@2x/9e/a2/9ea2add3bce4149ec2fce0bbca61aba2.jpg,Кассета для столовых приборов Tatra TBC 5 (500х500),Кассета для столовых приборов Tatra TBC 5 (500х500),2870,RUB,Да,Tatra,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/163319,"<p>Кассета для столовых приборов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/163319""><b class=""b"">Tatra TBC 5 </b></a>серии Tribeca используется совместно с посудомоечными машинами на предприятиях общественного питания и торговли. Модель выполнена из прочного полипропилена.</p>

<p>Подходит для всех видов посудомоечных машин, использующих кассету размером 500х500 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Устойчива к воздействию высокой температуры и жидкой агрессивной среды, создаваемой моющим средством</li>
<li>Стенки и дно кассеты сконструированы таким образом, чтобы обеспечить максимальное проникновение струй воды во время цикла мойки и высокое качество сушки</li>
<li>Штабелируется со всеми кассетами серии Tribeca размером 500х500 мм</li>
<li>Без разделителей</li>
</ul>",163319,стакан для столовых приборов,500 мм,500 мм,100 мм,,,500x500 мм,130,,,1.4 кг,,,,,
