Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,Производительность по стаканам
https://cdn.entero.ru/mp@2x/32/9e/329ee89621ae68bfcb3e09bb06632737.jpg,Аппарат для сушки и полировки бокалов Empero EMP.BPR.002,Аппарат EMP.BPR.002 для полировки стаканов и бокалов,107707,RUB,Да,Empero,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/124563,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124563"">Empero EMP.BPR.002</a></b> используется на предприятиях общественного питания и торговли для сушки и полировки стаканов и бокалов. Модель оснащена 5 специальными полировальными валиками: 4 длинных и 1 короткий. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сушка горячим воздухом</li>
<li>Механическая полировка валиками</li>
<li>Гигиеничен и легко чистится</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность двигателя: 0,37 кВт</li>
</ul>",124563,220 В,1.49 кВт,360 мм,340 мм,510 мм,,,,0,https://entero.ru/manuals/133395/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Empero%202019.pdf;https://entero.ru/manuals/410841/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Empero%20EMP.BPR.002.pdf,114582,https://vk.com/video_ext.php?oid=-177656185&id=456240362&hd=2&autoplay=0,19.5 кг,,Турция,для бокалов,от 300 до 360 шт./ч
https://cdn.entero.ru/mp@2x/70/85/708577e55438099d7c2ddc90d70cd9bf.jpg,Аппарат для сушки и полировки бокалов Hurakan HKN-GP1000,Аппарат для сушки и полировки бокалов Hurakan HKN-GP1000,95650,RUB,Да,Hurakan,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/162701,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/162701"">Hurakan HKN-GP1000</a></b> используется на предприятиях общественного питания и торговли для сушки и полировки стаканов и бокалов. Модель оснащена 5 сменными щетками из микрофибры. Корпус выполнен из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 1,35 кВт</li>
</ul>",162701,220 В,1.35 кВт,330 мм,290 мм,510 мм,20 кг,1,390x420x450 мм,20,https://entero.ru/manuals/413121/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GP1000.pdf;https://entero.ru/manuals/413122/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GP1000.pdf;https://entero.ru/manuals/413123/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,15 кг,Китай,Китай,для бокалов,330 шт./ч
https://cdn.entero.ru/mp@2x/a1/12/a112c91678abf4495b5283a628dfd2a5.jpg,Аппарат для сушки и полировки бокалов Empero EMP.BPR.001,Аппарат EMP.BPR.001 для полировки стаканов и бокалов,136353,RUB,Да,Empero,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/124562,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124562"">Empero EMP.BPR.001</a></b> используется на предприятиях общественного питания и торговли для сушки и полировки стаканов и бокалов. Модель оснащена 8 специальными полировальными валиками: 6 длинных и 2 коротких. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сушка горячим воздухом</li>
<li>Механическая полировка валиками</li>
<li>Гигиеничен и легко чистится</li>
</ul>",124562,220 В,2.62 кВт,595 мм,322 мм,510 мм,,,,0,https://entero.ru/manuals/133394/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Empero%202019.pdf;https://entero.ru/manuals/410842/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Empero%20EMP.BPR.001.pdf,142034,https://vk.com/video_ext.php?oid=-177656185&id=456240362&hd=2&autoplay=0,27 кг,Турция,,для бокалов,от 600 до 720 шт./ч
https://cdn.entero.ru/mp@2x/4f/56/4f56dc29cc91c11b70883331bf6d2dca.jpg,Аппарат для полировки столовых приборов Empero EMP.CKP.02,Аппарат для полировки столовых приборов Empero EMP.CKP.02,214879,RUB,Да,Empero,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/331193,"<p>Полировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/331193"">Empero EMP.CKP.02</a></b> предназначен для качественной сушки и полировки столовых приборов на предприятиях общественного питания. После обработки на поверхности не остается разводов и тусклых пробелов. Модель оснащена верхним загрузочным отсеком и автоматической фронтальной выгрузкой. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 7000 шт./час</li>
<li>Вместимость полировочного материала: 5 кг</li>
<li>Мощность ультрафиолетовой лампы: 8 Вт</li>
</ul>",331193,220 В,0.18 кВт,660 мм,650 мм,710 мм,,,,0,https://entero.ru/manuals/392394/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Empero.pdf,383713,,70 кг,,Турция,для столовых приборов,
https://cdn.entero.ru/mp@2x/cf/42/cf423d8405856772317cdef3952c6be2.jpg,Аппарат для сушки и полировки бокалов EKSI EGP-1000,Аппарат для сушки и полировки бокалов EKSI EGP-1000,99352,RUB,Да,EKSI,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/296970,"<p>Аппарат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/296970""><b class=""b"">EKSI EGP-1000</b></a> используется на предприятиях общественного питания и торговли для сушки и полировки стаканов и бокалов. Модель оснащена 5 щетками из микрофибры.</p>",296970,220 В,1.35 кВт,350 мм,317 мм,500 мм,17.7 кг,1,415x395x460 мм,0,https://entero.ru/manuals/475642/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EKSI%20EGP-1000.pdf,106830,,15.4 кг,,Китай,для бокалов,330 шт./ч
https://cdn.entero.ru/mp@2x/71/a0/71a00598a4b4d4bb0ef4e32a84d724c3.jpg,Аппарат для мойки бокалов Hurakan HKN-EGW5,Аппарат для мойки бокалов Hurakan HKN-EGW5,24644,RUB,Да,Hurakan,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/170827,"<p>Аппарат для мойки​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/170827"">Hurakan HKN-EGW5</a></b> предназначен для качественной мойки бокалов и стаканов на предприятиях общественного питания, в кафе, барах и ресторанах. Водонепроницаемая конструкция выполнена из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Подходит для любой раковины​</li>
<li>После мойки в течение 15 мин. / 200 стаканов, необходим перерыв 15 мин. </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры щеток: 150 / 190 мм </li>
<li>Габариты в упаковке: 500х280х400 мм </li>
</ul>",170827,220 В,0.24 кВт,213 мм,356 мм,433 мм,11.3 кг,1,500x280x400 мм,0,https://entero.ru/manuals/417126/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/420326/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-EGW5.pdf;https://entero.ru/manuals/483812/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-EGW5.pdf,25941,,9.9 кг,Китай,Китай,для бокалов,600 шт./ч
https://cdn.entero.ru/mp@2x/6f/a6/6fa699e553d84e3e4d1628dcc93e0cf8.jpg;https://cdn.entero.ru/mp@2x/61/11/6111fb13896365c45421ad6d3642c1c7.jpg,Машина для сушки и полировки столовых приборов Vema AP2091/E,Машина для сушки и полировки столовых приборов Vema AP2091/E,294084,RUB,Да,Vema,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/231327,"<p>Машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231327""><b class=""b"">Vema AP2091/E</b></a> используется на предприятиях общественного питания и торговли для полировки, дезинфекции и и стерилизации натуральным образом столовых приборов. Модель выполнена из нержавеющей стали.</p>

<p>В комплект поставки входит 6 кг абсорбирующего материала.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Стерилизация: 90° С в нижней части сушильного бака </li>
<li>Запатентованная антипылевая защита</li>
<li>Абсорбирующий материал: растительный гранулят</li>
<li>Возможность извлечения корзины с приборами из гранулята, пока он еще вибрирует</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность по приборам: 2000 шт/час</li>
<li>Продолжительность цикла сушки: 2 мин.</li>
<li>Количество грануляна на загрузку: 6 кг</li>
<li>Габариты в упаковке: 500х500х470 мм</li>
</ul>",231327,220 В,1.1 кВт,375 мм,480 мм,415 мм,40 кг,1,470x500x500 мм,0,https://entero.ru/manuals/279546/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vema%20AP2091_E.pdf,319657,,36 кг,Италия,,,
https://cdn.entero.ru/mp@2x/54/20/5420be0f03e628e64b066f756d96d9bf.jpg;https://cdn.entero.ru/mp@2x/f3/c2/f3c26b905d23979b98a8b81237e62388.jpg;https://cdn.entero.ru/mp@2x/c5/09/c509c1d4a97cccea9fc4afd4665e4c2a.jpg;https://cdn.entero.ru/mp@2x/b7/79/b779b6c30fdb2d423a24503e22ba8b90.jpg;https://cdn.entero.ru/mp@2x/d4/73/d47396a69a09e7c9bb7443e52b10f345.jpg,Полировщик столовых приборов Frucosol SH3000,Полировщик столовых приборов Frucosol SH3000,509335,RUB,Да,Frucosol,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/125957,"<p>Полировщик столовых приборов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125957"">Frucosol SH3000</a></b> используется на предприятиях общественного питания и торговли для сушки и полировки вилок, ложек, ножей и других столовых приборов. Машина гарантирует полное отсутствие каких-либо следов воды или извести на поверхности столовых приборов. Изделие полностью выполнено из высококачественной нержавеющей стали, отличающейся прочностью и функциональностью.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручной запуск цикла</li>
<li>Автоматический процесс сушки, полировки и стерилизации и автоматическое окончание цикла</li>
<li>Экологически чистый гранулят растительного происхождения (рекомендуется менять каждые 4 месяца) очень хорошо впитывает влагу и обеспечивает идеальную полировку столовых приборов</li>
<li>​УФ-лампа для стерилизации столовых приборов и гранулята</li>
<li>Лопастный мотор в конце цепи обеспечивает машину горячим воздухом и гарантирует удаление влаги</li>
<li>Гарантирует идеальную чистоту столовых приборов, полное отсутствие каких-либо следов воды или извести на их поверхности и профессиональную полировку</li>
<li>Позволяет значительно сократить время сушки столовых приборов</li>
<li>Съемный поднос для сбора отполированных столовых приборов</li>
<li>Подходит как для столовых приборов из нержавеющей стали, так и для столовых приборов из серебра</li>
<li>Компактные размеры</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Комплект сменного натурального гранулята </li>
<li>Подставка-тележка на колесах</li>
</ul>",125957,220 В,0.75 кВт,570 мм,550 мм,400 мм,,,,0,https://entero.ru/manuals/136251/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Frucosol%20SH3000.pdf;https://entero.ru/manuals/136252/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D0%BE%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA%D0%BE%D0%B2%20%D1%81%D1%82%D0%BE%D0%BB%D0%BE%D0%B2%D1%8B%D1%85%20%D0%BF%D1%80%D0%B8%D0%B1%D0%BE%D1%80%D0%BE%D0%B2%20Frucosol.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239299&hd=2&autoplay=0,48 кг,Испания,,,от 3000 до 3500 шт./ч
https://cdn.entero.ru/mp@2x/48/a7/48a71134df56e6bad32f70cbb06f9783.jpg;https://cdn.entero.ru/mp@2x/d2/73/d27340fda14335c5b61cfe65a026c05a.jpg,Аппарат для мойки бокалов EKSI FM-01A,Аппарат для мойки бокалов EKSI FM-01A,18869,RUB,Да,EKSI,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/342256,"<p>Аппарат для мойки​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/342256"">EKSI FM-01A</a></b> предназначен для качественной мойки бокалов и стаканов на предприятиях общественного питания, в кафе, барах и ресторанах. Модель оснащена тумблером механического вкючения и 5 щетками для мойки. Водонепроницаемая конструкция выполнена из нержавеющей стали. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность: 1/3 л.с.</li>
</ul>",342256,220 В,0.25 кВт,214 мм,356 мм,433 мм,11.3 кг,1,298x425x520 мм,8,https://entero.ru/manuals/498443/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EKSI%20FM-01A.pdf,26956,,9.94 кг,Китай,Китай,для бокалов,600 шт./ч
https://cdn.entero.ru/mp@2x/3a/a1/3aa1701f9477062d99711e9d0532c6d6.jpg,Аппарат для полировки столовых приборов Tatra TCP 1,Аппарат для полировки столовых приборов Tatra TCP 1,151464,RUB,Да,Tatra,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/371686,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371686"">Tatra TCP 1</a></b> используется на предприятиях общественного питания и торговли для автоматизированной полировки и дезинфекции столовых приборов из нержавеющей стали и серебра. Модель оснащена загрузочным отсеком сверху, ультрафиолетовой (УФ) лампой и электронной панелью управления на фронтальной стенке. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят кукурузные гранулы для полировки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полировка с помощью адсорбирующих гранул растительного происхождения</li>
<li>Эффективная дезинфекция с помощью УФ лампы</li>
<li>Дополнительный обдув вентилятором перед выгрузкой</li>
<li>Устойчивые опоры</li>
<li>Фронтальная выгрузка</li>
<li>Настольная установка</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность УФ лампы: 0,008 кВт</li>
<li>Загрузка гранул: 3 кг</li>
<li>Масса гранул в комплекте: 5 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Гранулы для полировки <a href=""https://entero.ru/item/371682"">TCP 1 кг</a></li>
</ul>",371686,220 В,0.55 кВт,560 мм,590 мм,430 мм,42 кг,1,650x630x550 мм,0,https://entero.ru/manuals/496867/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202025.pdf;https://entero.ru/manuals/496868/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/517368/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tatra%20TCP%201.pdf;https://entero.ru/manuals/517369/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Tatra%20TCP%201.pdf,172118,,,Турция,Турция,для столовых приборов,3000 шт./ч
