Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Объем
https://cdn.entero.ru/mp@2x/4d/ec/4decae1543424405f285fd6d0a9f489b.jpg,Тележка для белья ПищТех ТБ-300,ТБ-300 (950х610х845 мм; об. 300 л.),17873,RUB,Да,ПищТех,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/259562,"<p>Тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/259562""><b class=""b"">Пищевые Технологии ТБ-300</b></a> предназначена для временного хранения и транспортировки сухого грязного и чистого белья на предприятиях общественного питания, в медицинских, образовательных и спортивных учреждениях, а также в отелях и гостиницах. Модель состоит из дна, боковых ручек, перекладины и ограничительных прутков, вваренных между дном и трубами, а также 4 поворотных колес с обрезиненным ободом, позволяющим тележке легко маневрировать. Изделие выполнено полностью из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Расстояние между прутками не позволяет белью выпадать</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Грузоподъемность: не более 150 кг</li>
</ul>",259562,тележка для белья,950 мм,610 мм,845 мм,,Россия,,,0,https://entero.ru/manuals/424818/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,,15 кг,300 л
https://cdn.entero.ru/mp@2x/cb/b5/cbb51b4c488db912e40fd19229c6487d.jpg,Тележка для белья ЦКТ ТП-25С,Тележка для белья ЦКТ ТП-25С,26097,RUB,Да,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/40308,"<p>Тележка для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40308""><b class=""b"">ЦКТ ТП-25С</b></a> выполнена из нержавеющей стали высокого качества и установлена на 4 поворотных колеса европейского производства.</p>


<p><b>Характеристики:</b></p>

<ul>
<li>Габариты: 920x660x750 мм</li>
<li>Объем: 280 л</li>
<li>Загрузочная масса сухого белья: 30 кг</li>
<li>Максимальная грузоподъемность: 150 кг</li>
<li>Диаметр колес: 150 мм</li>
</ul>",40308,тележка для белья,920 мм,660 мм,750 мм,,,,,11,https://entero.ru/manuals/527273/%D0%9E%D1%82%D0%BA%D0%B0%D0%B7%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,28366,15 кг,280 л
https://cdn.entero.ru/mp@2x/a6/fd/a6fdb6a8d5b1cab721830266d9cea64f.jpg,Тележка-стеллаж для белья ПищТех ТСБ-500,Тележка-стеллаж для белья ПищТех ТСБ-500,24881,RUB,Да,ПищТех,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/268188,"<p>Тележка-стеллаж для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/268188""><b class=""b"">Пищевые технологии ТСБ-500</b></a> используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах, а также в частных домах и квартирах для временного размещения и транпортировки белья. Модель оснащена 4 поворотными колесами с прорезиненным ободом, 3 полками, ограничительными трубами и прутками, расстояние между которыми не позволяет белью выпадать. Сварная конструкция выполнена из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Грузоподъемность: 100 кг</li>
<li>Диаметр колес: 100 мм</li>
</ul>",268188,"тележка для белья, стеллаж для белья",1050 мм,437 мм,1640 мм,,Россия,,,0,https://entero.ru/manuals/331075/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%B5%D0%B2%D1%8B%D0%B5%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8%20%D0%A2%D0%A1%D0%91-500.pdf;https://entero.ru/manuals/424819/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,26754,22 кг,500 л
https://cdn.entero.ru/mp@2x/83/c2/83c2e55bd94d9f93c31b27ef5a845ea5.jpg,Тележка для белья ЦКТ ТП-10Д,Тележка для белья ЦКТ ТП-10Д,20440,RUB,Да,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/40306,"<p>Тележка для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40306""><b class=""b"">ЦКТ ТП-10Д</b></a> предназначена для транспортировки чистого или грязного белья в прачечных, химчистках и отелях. Модель установлена на 4 поворотных колеса европейского производства. Изделие выполнено из нержавеющей стали высокого качества.</p>",40306,тележка для белья,635 мм,485 мм,560 мм,,,,,0,,,,100 л
https://cdn.entero.ru/mp@2x/d1/df/d1df32a0aa8e40789ad14a82fc99be2e.jpg;https://cdn.entero.ru/mp@2x/9a/be/9abebfb00f8964d5bc5c68bbeaaa4425.jpg,Тележка для прачечной REDGASTRO LC-Q,Тележка для прачечной REDGASTRO LC-Q,17526,RUB,Да,,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/335177,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/335177"">REDGASTRO LC-Q</a></b> используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах для временного размещения и транспортировки белья. Модель выполнена из нержавеющей стали и ткани.</p>",335177,тележка для белья,910 мм,560 мм,920 мм,,Китай,,,30,,,,
https://cdn.entero.ru/mp@2x/b0/de/b0de0847d99fdebe3ee20eae1e3f052a.jpg,Тележка для прачечной REDGASTRO LC-C,Тележка для прачечной REDGASTRO LC-C,19043,RUB,Да,,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/335176,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/335176"">REDGASTRO LC-C</a></b> используется в отелях, ресторанах, прачечных, химчистках, больницах, спортивных клубах для временного размещения и транспортировки белья. Модель выполнена из нержавеющей стали и ткани.</p>",335176,тележка для белья,910 мм,560 мм,920 мм,,Китай,,,0,,20476,,
https://cdn.entero.ru/mp@2x/7e/82/7e8249f0fb5295549e19b86ee97e56e4.jpg;https://cdn.entero.ru/mp@2x/78/f3/78f3c1ca60eae701d8a30572b3a8fa00.jpg;https://cdn.entero.ru/mp@2x/ab/3b/ab3b0c4fa45e1ad270b289229ab245dd.jpg;https://cdn.entero.ru/mp@2x/e2/4d/e24d9e4b8727f3c92eef5a49f97db85d.jpg;https://cdn.entero.ru/mp@2x/26/bd/26bd78fc8ffad4f58bc3e284de1fcb66.jpg;https://cdn.entero.ru/mp@2x/6b/b8/6bb8be751b5b3610f95c1d7cc80bfebb.jpg,"Вешалка напольная DOBRIN BONNY, чёрный мрамор, чёрный",LM-Y-256_BM-MR_M-black,3898,RUB,Да,,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/369560,"<p>Напольная вешалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/369560""><b class=""b"">DOBRIN BONNY</b></a> используется в прачечных, отелях, гостевых домах, офисах, а также в домашних условиях для для размещения одежды. Вешалка оснащена крючками для одежды. Модель изготовлена из металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Простой монтаж </li>
<li>Прочная консрукция</li>
<li>Современный дизайн в стиле Лофт.</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество крючков для одежды: 10 шт</li>
<li>Max нагрузка на вешалку: 50 кг</li>
<li>Max нагрузка на крючок: 5.5 кг</li>
<li>Общее количество рожков: 16 шт</li>
</ul>",369560,стойка для одежды,410 мм,410 мм,1740 мм,9 кг,Италия,,,0,,,,
https://entero.ru/i/nofoto-m.jpg,Тележка для белья ЦКТ ТП-19,Тележка для белья ЦКТ ТП-19,0,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145761,"<p>Тележка для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145761""><b class=""b"">ЦКТ ТП-19</b></a> предназначена для транспортировки чистого или грязного белья в прачечных, химчистках и отелях. Модель оснащена рамой, установленной на 4 поворотных колеса. Тележка выполнена из металла в виде сетчатого короба, с полимерным покрытием высокого качества. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колёс: 100 мм</li>
</ul>",145761,тележка для белья,850 мм,550 мм,800 мм,,,,,0,,,,240 л
https://cdn.entero.ru/mp@2x/c4/46/c44662a7f2ac5b572bcab596ce37a9d7.jpg,Тележка ЦКТ ТМ-1,Тележка ЦКТ ТМ-1,0,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145928,"<p>Тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145928""><b class=""b"">ЦКТ ТМ-1</b></a> предназначена для сбора мусора в прачечных, химчистках и отелях. Модель оснащена рамой, установленной на 4 поворотных колеса. Изделие выполнено из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр колёс: 75 мм</li>
</ul>",145928,тележка для белья,,,,,,,,0,,,,
https://entero.ru/i/nofoto-m.jpg,Тележка для белья ЦКТ ТП-25М,Тележка для белья ЦКТ ТП-25М,0,RUB,Нет,ЦКТ,Профоборудование,Прачечное,Вспомогательное оборудование,https://entero.ru/item/145766,"<p>Тележка для белья <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145766""><b class=""b"">ЦКТ ТП-25М</b></a> предназначена для транспортировки чистого или грязного белья в прачечных, химчистках и отелях. Тележка установлена на 4 колеса. Мешок выполнен из плотной водонепроницаемой ткани, корзина - из нержавеющей стали высокого качества в виде сетчатого короба и окантовкой в виде трубки.</p>

<p><span style=""color:#FF0000;"">Внимание! Минимальныя партия заказа 5 шт.</span></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li> Диаметр колес: 125 мм</li>
</ul>",145766,тележка для белья,660 мм,920 мм,750 мм,,,,,0,,,10.2 кг,250 л
