Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Диаметр барабана,Скорость глажения,Вид нагрева,Температура нагрева,Ширина зоны глажения,Мощность нагрева,Количество валов
https://cdn.entero.ru/mp@2x/66/82/66826f7730ea59c0f95ba054bd9af917.jpg,Каландр гладильный Fagor PS-20/160 M E,19098344,1071888,RUB,Да,Fagor,Профоборудование,Прачечное,Гладильно-сушильные катки,https://entero.ru/item/331616,"<p>Гладильный каландр <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/331616""><b class=""b"">Fagor PS-20/160 M E</b></a> используется в прачечных образовательных, оздоровительных заведений, производственных предприятий, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для сушки и глажения прямого белья сразу после отжима. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Подача белья на возврат</li>
<li>Регулируемая скорость и температура глажения</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота загрузки: 990 мм</li>
<li>Уровень звука: 63 дБ</li>
<li>Объем испарения:10-12 л/ч</li>
<li>Количество спиралей: 3</li>
<li>Мощность спирали: 4 КВт</li>
<li>Общая мощность: 12 КВт</li>
<li>Мощность двигателя: 0,37 кВт</li>
<li>Мощность нагрева: 12 кВт</li>
<li>Общая мощность: 12,37 (кВт)</li>
<li>Габариты упаковки: 2340x770x1400 мм</li>
</ul>

<p> </p>

<p> </p>",331616,380 В,2128 мм,686 мм,1110 мм,,,,0,https://entero.ru/manuals/392630/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Fagor%20PS-20_160%20M%20E.pdf,,,203 кг,,Испания,от 13 до 15 кг/ч,200 мм,от 1.5 до 6 м/мин.,электро,,1600 мм,15 кВт,1
https://cdn.entero.ru/mp@2x/3f/72/3f724f63a2c4aea12cd0e30451886a3c.jpg,Каландр гладильный Fagor PS-35/200 M E,19091168,1700910,RUB,Да,Fagor,Профоборудование,Прачечное,Гладильно-сушильные катки,https://entero.ru/item/331626,"<p>Гладильный каландр <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/331626""><b class=""b"">Fagor PS-35/200 M E</b></a> используется в прачечных образовательных, оздоровительных заведений, производственных предприятий, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для сушки и глажения прямого белья сразу после отжима. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Подача белья на возврат</li>
<li>Регулируемая скорость и температура глажения</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота загрузки: 990 мм</li>
<li>Уровень звука: 63 дБ</li>
<li>Объем испарения:21-28 л/ч</li>
<li>Количество спиралей: 6</li>
<li>Мощность спирали: 3,5 КВт</li>
<li>Мощность двигателя: 0,52 кВт</li>
<li>Мощность нагрева: 21 кВт</li>
<li>Общая мощность: 21,52 (кВт)</li>
<li>Габариты упаковки: 2780x770x1400 мм</li>
</ul>

<p> </p>

<p> </p>",331626,380 В,2552 мм,686 мм,11152 мм,,,,0,https://entero.ru/manuals/392637/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Fagor%20PS-35_200%20M%20E.pdf,,,435 кг,,Испания,от 35 до 40 кг/ч,325 мм,от 1.5 до 10 м/мин.,электро,,2000 мм,21.49 кВт,1
https://cdn.entero.ru/mp@2x/ca/07/ca072bb20bb32f926d4a49f55a37a739.jpg,Каландр гладильный Fagor PS-20/200 M E,19098347,1151965,RUB,Да,Fagor,Профоборудование,Прачечное,Гладильно-сушильные катки,https://entero.ru/item/331625,"<p>Гладильный каландр <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/331625""><b class=""b"">Fagor PS-20/200 M E</b></a> используется в прачечных образовательных, оздоровительных заведений, производственных предприятий, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для сушки и глажения прямого белья сразу после отжима. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Подача белья на возврат</li>
<li>Регулируемая скорость и температура глажения</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота загрузки: 990 мм</li>
<li>Уровень звука: 63 дБ</li>
<li>Объем испарения:12-14 л/ч</li>
<li>Количество спиралей: 3</li>
<li>Мощность спирали: 5 КВт</li>
<li>Общая мощность: 15 КВт</li>
<li>Мощность двигателя: 0,37 кВт</li>
<li>Мощность нагрева: 18 кВт</li>
<li>Общая мощность: 18,37 (кВт)</li>
<li>Габариты упаковки: 2780x770x1400 мм</li>
</ul>

<p> </p>

<p> </p>",331625,380 В,2478 мм,686 мм,1110 мм,,,,0,https://entero.ru/manuals/392634/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Fagor%20PS-20_200%20M%20E.pdf,,,237 кг,,Испания,от 19 до 21 кг/ч,200 мм,от 1.5 до 6 м/мин.,электро,,2000 мм,18.37 кВт,1
https://cdn.entero.ru/mp@2x/60/0f/600f5b6a91d95e642aadf737c39e40c9.jpg;https://cdn.entero.ru/mp@2x/9b/69/9b694e2442df35db0ec7285a6d6d465f.jpg,Каландр гладильный Girbau PB5125,901322,3164000,RUB,Да,Girbau,Профоборудование,Прачечное,Гладильно-сушильные катки,https://entero.ru/item/37342,"<p>Каландр гладильный <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/37342"">Girbau PB5125</a> </b>используется в прачечных всех типов, образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для сушки и глажения прямого белья с остаточной влажностью 50%. Модель имеет возможность устанавливать различные программы обработки белья в зависимости от типа ткани. Гладильные ремни изготовлены из термостойкого и прочного армированного материала Nomex, вал - нержавеющая сталь с хромированным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Пристенный каландр с горизонтальной загрузкой</li>
<li>Вход и выдача проглаженного белья с передней стороны машины, что дает возможность обслуживания ее одним оператором.</li>
<li>Использование гладильного вала 80-100%</li>
<li>Автоматическая система регулировки скорости глажения Autospeed в зависимости от типа белья и его влажности</li>
<li>Система Optifeed с отображением в режиме реального времени на панели управления зоны подачи с самой высокой температурой и подсветкой на гладильной поверхности</li>
<li>Приспособление защиты пальцев для обеспечения безопасной работы оператора</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина вала: 2530 мм</li>
<li>Вентилятор для отвода воздуха: 0,55 кВт</li>
<li>Испарительная способность: 40 л/ч</li>
<li>Воздухоотвод: Ø 130 мм, 1077 м³/ч </li>
</ul>",37342,380 В,3470 мм,1173 мм,1630 мм,,,,0,,3295833,,1265 кг,,Испания,от 64 до 80 кг/ч,510 мм,от 1 до 9 м/мин.,электро,,2530 мм,49.18 кВт,1
https://cdn.entero.ru/mp@2x/2a/fb/2afb793aebfd59a096027a1b3d72a208.jpg,Каландр гладильный Fagor PS-50/260 TP2 E,Каландр гладильный Fagor PS-50/260 TP2 E,0,RUB,Нет,Fagor,Профоборудование,Прачечное,Гладильно-сушильные катки,https://entero.ru/item/294012,"<p>Гладильный каландр <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/294012""><b class=""b"">Fagor</b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/294012""><b class=""b""> PS-35/200 M E</b></a> используется в прачечных образовательных, оздоровительных заведений, производственных предприятий, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для сушки и глажения прямого белья сразу после отжима. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Подача белья на возврат</li>
<li>Регулируемая скорость и температура глажения</li>
<li>
<p>5 предустановленных программ, возможность установки новых программ</p>
</li>
</ul>",294012,380 В,3444 мм,1070 мм,1420 мм,,,,0,,,,1180 кг,,Испания,от 60 до 80 кг/ч,500 мм,от 1 до 8 м/мин.,электро,,2600 мм,41.37 кВт,1
https://cdn.entero.ru/mp@2x/59/69/59697f9987d83547f5431a6ef2a79d14.jpg,Каландр гладильный Fagor PS-35/260 M PLUS E,Каландр гладильный Fagor PS-35/260 M PLUS E,0,RUB,Нет,Fagor,Профоборудование,Прачечное,Гладильно-сушильные катки,https://entero.ru/item/341813,"<p>Гладильный каландр <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/341813""><b class=""b"">Fagor PS-35/260 M PLUS E</b></a> используется в прачечных образовательных, оздоровительных заведений, производственных предприятий, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для сушки и глажения прямого белья сразу после отжима. Панели выполнены из нержавеющей стали и искусственной кожи.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Микропроцессорное управление</li>
<li>Фронтальная подача белья</li>
<li>Увеличенная поверхность контакта с белем</li>
<li>Режимы работы:
<ul>
<li>Ручной: выбор скорости и температуры</li>
<li>Автоматический: автоматическая регулировка скорости глажки в зависимости от температуры</li>
</ul>
</li>
<li>Ролик с инвертором: бережное управление для предотвращения износа ремней и механических элементов</li>
<li>Ленты для подачи и глажки Nomex: устойчивы к высоким температурам</li>
<li>Автоматическая остановка при температуре 80 °C: продлевает срок службы гладильных лент</li>
<li>Легкий доступ ко всем компонентам: простота эксплуатации и обслуживания</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальный уровень шума: 63 дБ</li>
<li>Регулируемая высота подачи: 990 мм</li>
<li>Мощность:
<ul>
<li>Двигатель: 0,37 кВт</li>
<li>Вентилятор: 2х 0,12 кВт</li>
</ul>
</li>
<li>Поток воздуха: 1000 м<sup>3</sup>/ч</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Интеллектуальная система контроля влажности: автоматическая регулировка скорости глажки в зависимости от остаточной влажности</li>
<li>Никелированный цилиндр</li>
</ul>",341813,380 В,3202 мм,686 мм,1112 мм,585 кг,1,3430x770x1400 мм,0,https://entero.ru/manuals/406466/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Fagor%20PS-35_260%20M%20PLUS%20E%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,545 кг,,Испания,50 кг/ч,325 мм,от 1.5 до 12 м/мин.,электро,,2600 мм,40.5 кВт,
https://cdn.entero.ru/mp@2x/06/38/063808e47e1a3ac2df8e8eab0c32b4db.jpg,Каландр гладильный Вязьма ВК-1640,ВК-1640.2231,952534,RUB,Нет,Вязьма,Профоборудование,Прачечное,Гладильно-сушильные катки,https://entero.ru/item/134818,"<p>Гладильный каландр <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/134818"">Вязьма ВК-1640</a> </b>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для сушки и глажения прямого белья с остаточной влажностью 50%. Модель имеет возможность устанавливать различные программы обработки белья в зависимости от типа ткани. Гладильные ленты изготовлены из термостойкого и прочного армированного материала NOMEX и Meta Armid, а ленты подающего транспортера - из армированного материала NOMEX, вал - с хромированным покрытием.</p>

<p>В комплект поставки входит вентилятор.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Автоматическое микрокомпьютерное управление</li>
<li>Интеллектуальная система поддержания заданной температуры</li>
<li>Встроенный вытяжной вентилятор</li>
<li>Новая конструкция нагревателей обеспечивает максимально эффективную передачу тепла от нагревателей на поверхность гладильного вала и минимальные потери тепла</li>
<li>Индикация скорости и температуры глажения на панели контроллера</li>
<li>Плавная регулировка скорости глажения</li>
<li>Прижимной цилиндр с мягкой обмоткой обеспечивает плотный прижим ткани к поверхности гладильного вала</li>
<li>Увеличенный диаметр гладильного вала</li>
<li>Фторопластовые съемники бережно отделяют бельё от гладильного вала на выходе из зоны глажения</li>
<li>Аварийный ручной привод при пропадании электропитания</li>
<li>Аварийная защитная панель управления:
<ul>
<li>Панель в верхней части позволяет остановить движение лент при неосторожном попадании в зону рук оператора или не расправленного белья</li>
<li>В нижней части - педаль для остановки транспортеров и для включения реверсивного движения</li>
</ul>
</li>
<li>Легкий доступ ко всем обслуживаемым местам каландра</li>
</ul>

<p>​​<b>Характеристики:</b></p>

<ul>
<li>Высота загрузки: 1000 мм</li>
<li>Время подогрева до рабочей температуры: 30 мин.</li>
</ul>

<p><br>
<em>* - Ориентировочное значение получено для эталонного х/б белья с остаточной влажностью не более 50% при максимальном использовании ширины глажения.</em></p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",134818,380 В,2130 мм,1025 мм,1225 мм,,,,0,https://entero.ru/manuals/156648/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/156649/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0.pdf,1035363,https://vk.com/video_ext.php?oid=-177656185&id=456239944&hd=2&autoplay=0,570 кг,,Россия,40 кг/ч,414 мм,от 1 до 6 м/мин.,электро,от 80 до 180 °С,1600 мм,22.5 кВт,
https://cdn.entero.ru/mp@2x/b7/a8/b7a88622f776f7bd07a8c90794287c11.jpg,Каландр гладильный Вязьма ВК-1424,ВК-1424.2231,709919,RUB,Нет,Вязьма,Профоборудование,Прачечное,Гладильно-сушильные катки,https://entero.ru/item/134776,"<p>Гладильный каландр <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/134776"">Вязьма ВК-1424</a> </b>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для сушки и глажения прямого белья с остаточной влажностью 50%. Модель имеет возможность устанавливать различные программы обработки белья в зависимости от типа ткани. Гладильные ленты изготовлены из термостойкого и прочного армированного материала NOMEX и Meta Armid, а ленты подающего транспортера - из армированного материала NOMEX, вал - с хромированным покрытием.</p>

<p>В комплект поставки входят частотный преобразователь и вентилятор.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Автоматическое микрокомпьютерное управление</li>
<li>Интеллектуальная система поддержания заданной температуры</li>
<li>Частотный преобразователь</li>
<li>Встроенный вытяжной вентилятор</li>
<li>Новая конструкция нагревателей обеспечивает максимально эффективную передачу тепла от нагревателей на поверхность гладильного вала и минимальные потери тепла</li>
<li>Индикация скорости и температуры глажения на панели контроллера</li>
<li>Плавная регулировка скорости глажения</li>
<li>Прижимной цилиндр с мягкой обмоткой обеспечивает плотный прижим ткани к поверхности гладильного вала</li>
<li>Увеличенный диаметр гладильного вала</li>
<li>Фторопластовые съемники бережно отделяют бельё от гладильного вала на выходе из зоны глажения</li>
<li>Аварийный ручной привод при пропадании электропитания</li>
<li>Аварийная защитная панель управления:
<ul>
<li>Панель в верхней части позволяет остановить движение лент при неосторожном попадании в зону рук оператора или не расправленного белья</li>
<li>В нижней части - педаль для остановки транспортеров и для включения реверсивного движения</li>
</ul>
</li>
<li>Легкий доступ ко всем обслуживаемым местам каландра</li>
</ul>

<p>​​<b>Характеристики:</b></p>

<ul>
<li>Время подогрева до рабочей температуры: 20 мин.</li>
</ul>

<p><em>* - Ориентировочное значение получено для эталонного х/б белья с остаточной влажностью не более 50% при максимальном использовании ширины глажения.</em></p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",134776,380 В,2000 мм,600 мм,1105 мм,,,,0,https://entero.ru/manuals/156553/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/156554/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0.pdf,739499,https://vk.com/video_ext.php?oid=-177656185&id=456239944&hd=2&autoplay=0,310 кг,,Россия,25 кг/ч,240 мм,от 1 до 8 м/мин.,электро,от 90 до 170 °С,1400 мм,12 кВт,
https://cdn.entero.ru/mp@2x/1f/6c/1f6c220a7f6908de49024c5727e2faf8.jpg,Каландр гладильный Kromluks KBSU-E/320/1800,Каландр гладильный Kromluks KBSU-E/320/1800,750975,RUB,Нет,,Профоборудование,Прачечное,Гладильно-сушильные катки,https://entero.ru/item/224199,"<p>Гладильный каландр <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/224199"">Kromluks KBSU-E/320/1800</a></b> используется в прачечных образовательных, оздоровительных заведений, производственных предприятий, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для сушки и глажения прямого белья сразу после отжима, с остаточной влажностью 50%. Ленты выполнены из термостойкого материала ""Nomex"", вал имеет хромированное покрытие.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сенсорная система защиты рук оператора</li>
<li>Установка: анкерные болты</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>ТЭН: 14 кВт</li>
<li>Двигатель: 0,75 кВт</li>
<li>Вентилятор: 0,37 кВт</li>
</ul>
</li>
<li>Сечение кабеля: 4х6 мм<sup>2</sup>​</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Размер вала по заказу</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",224199,,2560 мм,950 мм,1160 мм,,,,0,,,,680 кг,,Турция,,320 мм,,электро,,1800 мм,14 кВт,
https://cdn.entero.ru/mp@2x/51/3f/513fce5b5fade877e66d827e1aefd2cd.jpg,Каландр гладильный Вязьма ВК-2450,ВК-2450.2231,1436887,RUB,Нет,Вязьма,Профоборудование,Прачечное,Гладильно-сушильные катки,https://entero.ru/item/81272,"<p>Гладильный каландр <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/81272"">Вязьма ВК-2450</a> </b>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для сушки и глажения прямого белья с остаточной влажностью 50%. Модель имеет возможность устанавливать различные программы обработки белья в зависимости от типа ткани. Гладильные ленты изготовлены из термостойкого и прочного армированного материала NOMEX и Meta Armid, а ленты подающего транспортера - из армированного материала NOMEX, вал - с хромированным покрытием.</p>

<p>В комплект поставки входят частотный преобразователь и вентилятор.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Автоматическое микрокомпьютерное управление</li>
<li>Интеллектуальная система поддержания заданной температуры</li>
<li>Частотный преобразователь</li>
<li>Встроенный вытяжной вентилятор</li>
<li>Новая конструкция нагревателей обеспечивает максимально эффективную передачу тепла от нагревателей на поверхность гладильного вала и минимальные потери тепла</li>
<li>Индикация скорости и температуры глажения на панели контроллера</li>
<li>Плавная регулировка скорости глажения</li>
<li>Прижимной цилиндр с мягкой обмоткой обеспечивает плотный прижим ткани к поверхности гладильного вала</li>
<li>Увеличенный диаметр гладильного вала</li>
<li>Фторопластовые съемники бережно отделяют бельё от гладильного вала на выходе из зоны глажения</li>
<li>Аварийный ручной привод при пропадании электропитания</li>
<li>Аварийная защитная панель управления:
<ul>
<li>Панель в верхней части позволяет остановить движение лент при неосторожном попадании в зону рук оператора или не расправленного белья</li>
<li>В нижней части - педаль для остановки транспортеров и для включения реверсивного движения</li>
</ul>
</li>
<li>Легкий доступ ко всем обслуживаемым местам каландра</li>
</ul>

<p>​​<b>Характеристики:</b></p>

<ul>
<li>Высота загрузки: 1000 мм</li>
<li>Время подогрева до рабочей температуры: 30 мин.</li>
<li>Габариты в упаковке: 3060х900х1400 мм</li>
</ul>

<p><br>
<em>* Ориентировочное значение получено для эталонного х/б белья с остаточной влажностью не более 50% при максимальном использовании ширины глажения.</em></p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",81272,380 В,3060 мм,900 мм,1400 мм,,,,0,https://entero.ru/manuals/55091/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/120646/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0.pdf;https://entero.ru/manuals/302918/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%92%D1%8F%D0%B7%D1%8C%D0%BC%D0%B0%20%D0%92%D0%9A-2450.pdf,1528603,https://vk.com/video_ext.php?oid=-177656185&id=456239944&hd=2&autoplay=0,850 кг,,Россия,85 кг/ч,514 мм,от 1 до 8 м/мин.,электро,от 80 до 200 °С,2400 мм,41.4 кВт,
