Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Размеры рабочей поверхности,Вид нагрева,Емкость бака
https://cdn.entero.ru/mp@2x/f9/9b/f99b4301c779d25532bfb4539fe5f950.jpg;https://cdn.entero.ru/mp@2x/33/7d/337d1b7f14ddd11582ba4ed2e1dafbed.jpg;https://cdn.entero.ru/mp@2x/97/50/97501eb69a2988e8d0bc9cfbbd90d7dd.jpg;https://cdn.entero.ru/mp@2x/06/e4/06e4f5f6ba3e260dbe3ea0a42e060f0d.jpg;https://cdn.entero.ru/mp@2x/7c/de/7cdee420d2d8faca913df350a27c0fba.jpg;https://cdn.entero.ru/mp@2x/43/45/434580bbc30d73fda57cfaa2759d8cc6.jpg,Гладильный пресс MIE Romeo III White,380626,29590,RUB,Да,MIE,Профоборудование,Прачечное,Гладильные прессы,https://entero.ru/item/182063,"<p>Паровой гладильный пресс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/182063""><b class=""b"">MIE Romeo III White</b></a> используется в прачечных, гостиницах, салонах красоты, больницах, детских учреждениях, а также домах и квартирах для глажки большого объема белья и одежды. Модель оснащена встроенным парогенератором, микроконтроллером, антикальционным фильтром, электронной панелью управления с дисплеем и съемным резервуаром для воды. Рабочие поверхности имеют тефлоновое покрытие. </p>

<p>В комплект поставки входят 2 чехла для платформы пресса, 2 картридж-фильтра для воды, подкладка для утюжки контурных областей и сумка. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Готовый пар равномерно распределяется внутри рабочего пространства</li>
<li>Профессиональное качество работы</li>
<li>Возможность гладить практически все виды тканей от нежного шелка до плотных пледов </li>
<li>Возможность смены положения</li>
<li>Нагрев рабочей поверхности обеспечивает качество глажки - пар проникает глубоко в волокна, убирая даже серьезные заломы, одновременно ткань подсушивается </li>
<li>Направленный пар действует на ткань одновременно с обеих сторон, обеспечивая 100% проникновение и повышая производительность</li>
<li>Функция дозалива </li>
<li>Индикатор готовности пара</li>
<li>Индикатор отсутствия воды</li>
<li>Защита от перегрева и случайного повреждения одежды</li>
<li>Функция автоотключения электропитания </li>
<li>Широкий угол открывания </li>
<li>Увеличенное расстояние между гладильными поверхностями </li>
<li>Антиминеральный картридж фильтра очищает воду от солей, препятствуя образованию накипи</li>
<li>Тефлоновое покрытие</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество режимов подачи пара: 2</li>
<li>Давление прессования: 60 кг </li>
<li>Производительность пара:
<ul>
<li>Стандартная: 90 г/мин. </li>
<li>Повышенная в режим Booster: 120 г/мин.</li>
</ul>
</li>
<li>Диапазон температур: от 60 до 220 °C</li>
<li>Время ожидания готовности: 3 мин. </li>
<li>Длина электрического шнура: 1,8 м </li>
<li>Габариты в упаковке: 850х320х640 мм </li>
</ul>",182063,220 В,2.2 кВт,820 мм,270 мм,580 мм,,,,0,https://entero.ru/manuals/211463/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MIE%20Romeo%20III%20White.pdf,31147,,12.5 кг,,,5.4 кг/ч,810х290 мм,пар,0.8 л
https://cdn.entero.ru/mp@2x/f8/e2/f8e214597ab8d3b7fceffa38c39e17ea.jpg,Пресс гладильный Kromluks KUP 1 VK (ручное управление),KUP1VK,537287,RUB,Да,,Профоборудование,Прачечное,Гладильные прессы,https://entero.ru/item/366876,"<p>Гладильный пресс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366876""><b class=""b"">Kromluks KUP 1 VK</b></a> используется в прачечных образовательных, оздоровительных заведений, производственных предприятий, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для глажки белья и одежды. Модель оснащена надежным парогенератором и вакуумной системой. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручное управление</li>
<li>Равномерное распределение пара</li>
<li>Долгий срок службы роликовых подшипников и тефлоновых прокладок паровых клапанов</li>
<li>Возможность работы 24 часа х 7 дней в неделю</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расход пара: 24 кг/ч</li>
</ul>",366876,,20.55 кВт,1500 мм,1350 мм,1350 мм,,,,0,,,,350 кг,,Турция,24 кг/ч,,пар,
https://cdn.entero.ru/mp@2x/b8/18/b8182a1213cc8ea23e030d0595588acf.jpg;https://cdn.entero.ru/mp@2x/98/4d/984d4e4dc7c9f280b19557ae1280f6ad.jpg,"Пресс гладильный Ghidini P88 U3 AP (парогенератор, вакуум, таймер)","Q11C01_Z16L01_201089_30B110 P88 AP -AIR-OPERATED PRESS MOD. P88, PEDAL OPERATED COMPLETE WITH U3 UTILITY BUCKS AND SAFETY FRAME",1499316,RUB,Да,,Профоборудование,Прачечное,Гладильные прессы,https://entero.ru/item/375039,"<p>Гладильный пресс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375039""><b class=""b"">Ghidini P88 U3 AP</b></a> используется в прачечных образовательных, оздоровительных заведений, производственных предприятий, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для глажки белья и одежды. Модель оснащена педальным управлением и рамой безопасности.</p>

<p><em><span style=""color:#ff0000;"">Требуется подключение внешнего источника сжатого воздуха.</span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Z16L01: встроенное вакуумное устройство</li>
<li>201089: встроенный 16-литровый бойлер мощностью 12 кВт</li>
<li>30B110: электронная предустановка рабочего цикла, 19 программ</li>
<li>Нижняя плита с подачей пара и вакуумом</li>
<li>Верхняя плита с подачей пара</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребление воздуха: 20 л/мин.</li>
</ul>",375039,380 В,6.18 кВт,1370 мм,1080 мм,1250 мм,88 кг,,,0,https://entero.ru/manuals/507126/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Ghidini.pdf,1629691,,,Италия,,,1170x360/220 мм,пар,
https://cdn.entero.ru/mp@2x/92/fe/92fe866dcd4765612e4e973131c94c6b.jpg,Пресс гладильный Вязьма ВР-150,Пресс гладильный Вязьма ВР-150,1264115,RUB,Нет,Вязьма,Профоборудование,Прачечное,Гладильные прессы,https://entero.ru/item/146213,"<p>Гладильный пресс <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/146213"">Вязьма ВР-150</a> </b>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для глажения прямого и фасонного белья из хлопчатобумажных, шерстяных и синтетических тканей. Модель имеет закругленные углы, что облегчает глажение рукавов и брюк. </p>

<p>Принцип глажения состоит в поочередном прижиме гладильных столов с уложенным на них бельем к нагретой верхней гладильной плите, пока один стол прижат - происходит процесс глажения, в это время на втором столе оператор раскладывает другое белье. По окончании глажения первый стол опускается, как только оператор нажимает педаль - столы меняются местами. Процесс глажения повторяется для второго стола. Выглаженное белье заменяется новым, и цикл повторяется. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Два вращающихся гладильных стола</li>
<li>Сенсорный контроллер (до 50 режимов работы)</li>
<li>Функция Smart Heat Control : снижение расхода электроэнергии, ускорение прогрева, повышенная производительность</li>
<li>Пружины Spring Press</li>
<li>Гладильная плита с хромированным покрытием</li>
<li>Чехлы из импортной жаропрочной ткани</li>
<li>Безопасная эксплуатация</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Высота загрузки: от 880 до 980 мм</li>
<li>Макс. прижимная сила: 3,5 т.</li>
<li>Мощность:
<ul>
<li>Электродвигатель привода вентилятора: 0,37 кВт</li>
<li>Элементы нагрева: 10,8 кВт</li>
</ul>
</li>
<li>Удельный расход:
<ul>
<li>Электроэнергия: 0,573 кВт*ч/кг</li>
<li>Сжатый воздух: 0,369 м<sup>3</sup>/кг</li>
</ul>
</li>
<li>Макс. остаточная влажность после глажения: 10%</li>
</ul>",146213,380 В,10.8 кВт,1705 мм,1560 мм,1150 мм,,,,0,https://entero.ru/manuals/172219/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg,,https://vk.com/video_ext.php?oid=-177656185&id=456239628&hd=2&autoplay=0,620 кг,Россия,Россия,19.5 кг/ч,1500x540 мм,электро,
https://cdn.entero.ru/mp@2x/63/61/636147583cec108f227c242979dafa15.jpg;https://cdn.entero.ru/mp@2x/02/8f/028f08ab219ad5a46381e1517171f2de.jpg,Гладильный пресс ELITEX ГП-1Э,Гладильный пресс ELITEX ГП-1Э,1029606,RUB,Нет,ELITEX,Профоборудование,Прачечное,Гладильные прессы,https://entero.ru/item/71769,"<p>Автоматический карусельный гладильный пресс <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71769"">ELITEX ГП-1Э</a></b> используется в прачечных, гостиницах, салонах красоты, больницах и детских учреждениях для глажения прямого и фасонного белья при остаточной влажности белья не более 50%. Для обработки белья применяется сжатый воздух и во время глажения изделие не деформируется. Один человек может одновременно обслуживать два пресса. Оборудование отличается высокой производительностью, простотой управления и обслуживания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электрический нагрев</li>
<li>3 зоны регулировки температуры глажения</li>
<li>Электронное управление</li>
<li>Микропроцессор для управления</li>
<li>Цифровая индикация температуры</li>
<li>Усовершенствованный поворотный механизм нижних гладильных плит</li>
<li>Кнопка аварийной остановки</li>
<li>Все комплектующие легко заменяются при ремонте</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Высота загрузки: от 800 до 1000 мм</li>
<li>Минимальное расстояние между прессами или стеной: 0,8 м</li>
<li>Давление сжатого воздуха: 0,4 МПа</li>
<li>Удельный расход:
<ul>
<li>Электроэнергия: 0,52 кВт·ч/кг</li>
<li>Сжатый воздух: 100 л/мин.</li>
</ul>
</li>
<li>Крепление к фундаменту: 4хМ16</li>
<li>Габаритная площадь: 3,6 м<sup>2</sup></li>
<li>Мощность:
<ul>
<li>ТЭН: 11,25 кВт</li>
<li>Вентилятор: 0,18 кВт</li>
</ul>
</li>
<li>Габариты в упаковке: 1900х2020х1350 мм</li>
</ul>

<p><b>Дополнительные опции (приобретаются отдельно):</b></p>

<ul>
<li>Компрессор Remeza СБ 4/С- 50.LB30A</li>
</ul>

<p><br>
<em>* Производительность указана для остаточной влажности от 15% до 20%.</em></p>

<p><b><span style=""color:#B22222;""><em>Внимание! Компрессор в комплекте не поставляется, приобретается отдельно.</em></span></b></p>",71769,380 В,,1780 мм,2020 мм,1170 мм,,,,0,https://entero.ru/manuals/40300/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,1095326,,840 кг,Россия,Россия,16.5 кг/ч,1500x540 мм,электро,
https://cdn.entero.ru/mp@2x/57/de/57dee25fa37139a8fe48fb4460339dba.jpg;https://cdn.entero.ru/mp@2x/7d/fd/7dfd9b13075c982c57640f426b9b43ee.jpg,Гладильный пресс ELITEX ГП-1П,Гладильный пресс ELITEX ГП-1П,1029606,RUB,Нет,ELITEX,Профоборудование,Прачечное,Гладильные прессы,https://entero.ru/item/71773,"<p>Автоматический карусельный гладильный пресс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71773""><b class=""b"">ELITEX ГП-1П</b></a> используется в прачечных, гостиницах, салонах красоты, больницах и детских учреждениях для глажения прямого и фасонного белья при остаточной влажности белья не более 50%. Для обработки белья применяется сжатый воздух и во время глажения изделие не деформируется. Один человек может одновременно обслуживать два пресса. Оборудование отличается высокой производительностью, простотой управления и обслуживания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 зоны регулировки температуры глажения</li>
<li>Электронное управление</li>
<li>Микропроцессор для управления</li>
<li>Цифровая индикация температуры</li>
<li>Усовершенствованный поворотный механизм нижних гладильных плит</li>
<li>Кнопка аварийной остановки</li>
<li>Все комплектующие легко заменяются при ремонте</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота загрузки: от 800 до 1000 мм</li>
<li>Размер гладильной плиты: 1500х540 мм</li>
<li>Минимальное расстояние между прессами или стеной: 0,8 м</li>
<li>Давление сжатого воздуха: от 0,4 до 0,6 МПа</li>
<li>Удельный расход:
<ul>
<li>Электроэнергия: 0,014 кВт·ч/кг</li>
<li>Пар: 1 кг/кг</li>
<li>Сжатый воздух: 100 л/мин.</li>
</ul>
</li>
<li>Крепление к фундаменту: 4хМ16</li>
<li>Габаритная площадь: 3,6 м<sup>2</sup></li>
<li>Мощность вентилятора: 0,18 кВт</li>
<li>Габариты в упаковке: 1900х2020х1350 мм</li>
</ul>

<p><em>* Производительность указана при влажности от 15 до 20%.</em></p>",71773,380 В,,1780 мм,2020 мм,1170 мм,,,,0,https://entero.ru/manuals/40301/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,1072506,,840 кг,Россия,Россия,17.5 кг/ч,,пар,
https://cdn.entero.ru/mp@2x/2c/a1/2ca19cbe258c10504ebcb632f88ec4fc.jpg,Пресс гладильный Вязьма ВР-150П,Пресс гладильный Вязьма ВР-150П,1264115,RUB,Нет,Вязьма,Профоборудование,Прачечное,Гладильные прессы,https://entero.ru/item/146226,"<p>Гладильный пресс <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/146226"">Вязьма ВР-150П</a> </b>используется в прачечных образовательных, оздоровительных заведениях, производственных предприятиях, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для глажения прямого и фасонного белья из хлопчатобумажных, шерстяных и синтетических тканей. Модель имеет закругленные углы, что облегчает глажение рукавов и брюк. </p>

<p>Принцип глажения состоит в поочередном прижиме гладильных столов с уложенным на них бельем к нагретой верхней гладильной плите, пока один стол прижат - происходит процесс глажения, в это время на втором столе оператор раскладывает другое белье. По окончании глажения первый стол опускается, как только оператор нажимает педаль - столы меняются местами. Процесс глажения повторяется для второго стола. Выглаженное белье заменяется новым, и цикл повторяется. </p>

<p>В комплект поставки входит воздушный компрессор.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Паровой обогрев</li>
<li>Два вращающихся гладильных стола</li>
<li>Сенсорный контроллер (до 50 режимов работы)</li>
<li>Функция Smart Heat Control : снижение расхода электроэнергии, ускорение прогрева, повышенная производительность</li>
<li>Пружины Spring Press</li>
<li>Гладильная плита с хромированным покрытием</li>
<li>Чехлы из импортной жаропрочной ткани</li>
<li>Безопасная эксплуатация</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Высота загрузки: от 880 до 980 мм</li>
<li>Макс. прижимная сила: 3,5 т.</li>
<li>Мощность электродвигателя вентилятора: 0,37 кВ</li>
<li>Удельный расход:
<ul>
<li>Электроэнергия: 0,002 кВт*ч/кг</li>
<li>Пар: 1 дм<sup>3</sup>/кг</li>
<li>Сжатый воздух: 0,351 м<sup>3</sup>/кг</li>
</ul>
</li>
<li>Макс. остаточная влажность после глажения: 10%</li>
</ul>",146226,380 В,0.37 кВт,1705 мм,1605 мм,1150 мм,,,,0,https://entero.ru/manuals/172223/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg,,,640 кг,Россия,Россия,20 кг/ч,1500x540 мм,пар,
https://cdn.entero.ru/mp@2x/53/ee/53ee9fcac3dc45d25edc379d8c48add7.jpg,Пресс гладильный MAC5 XP 900,Пресс гладильный MAC5 XP 900,0,RUB,Нет,,Профоборудование,Прачечное,Гладильные прессы,https://entero.ru/item/194107,"<p>Гладильный пресс <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194107"">MAC5 XP 900</a> </b>используется в прачечных, гостиницах, салонах красоты, больницах, детских учреждениях, а также домах и квартирах для глажки большого объема белья и одежды. Модель оснащена подогревом гладильной поверхности, антикальционным фильтром, механическим управлением и автоматическим отключением.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Давление прессования: 45 кг (33г/см²)</li>
<li>Температурный режим: от 60 до 220 °С</li>
<li>Время ожидания готовности: 180 сек.</li>
</ul>",194107,220 В,1 кВт,680 мм,580 мм,270 мм,12 кг,1,720x360x600 мм,0,https://entero.ru/manuals/226641/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MAC5%20XP%20900.pdf,,,8 кг,Италия,Румыния,,680х250 мм,,
https://cdn.entero.ru/mp@2x/9a/d0/9ad0ca7dea29d23dcc61a48aaa0d3035.jpg,Пресс гладильный MAC5 SP 2150,Пресс гладильный MAC5 SP 2150,0,RUB,Нет,,Профоборудование,Прачечное,Гладильные прессы,https://entero.ru/item/194097,"<p>Паровой гладильный пресс <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194097"">MAC5 SP 2150</a> </b>используется в прачечных, гостиницах, салонах красоты, больницах, детских учреждениях, а также домах и квартирах для глажки большого объема белья и одежды. Модель оснащена подогревом гладильной поверхности, дозаливом, антикальционным фильтром, механическим управлением и автоматическим отключением.</p>

<p>В комплект поставки входят чехол для платформы пресса, картридж-фильт для воды и подкладка для утюжки контурных областей.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Давление прессования: 45 кг (33г/см²)</li>
<li>Температурный режим: от 60 до 220 °С</li>
<li>Длина электрического шнура: 175 мм</li>
<li>Время ожидания готовности: 180 сек.</li>
<li>Габариты в упаковке: 710х595х355,5 мм</li>
</ul>",194097,220 В,2.2 кВт,675 мм,590 мм,265 мм,,,,0,https://entero.ru/manuals/226614/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MAC5%20SP%202150.pdf,,,9.8 кг,Италия,Румыния,7.2 кг/ч,660х250 мм,пар,0.75 л
https://cdn.entero.ru/mp@2x/64/29/642962ba0147f9315698653fb11d931a.jpg,Картридж антиминеральный MAC5 для SP 2150,Картридж антиминеральный MAC5 для SP 2150,1470,RUB,Нет,,Профоборудование,Прачечное,Гладильные прессы,https://entero.ru/item/194113,"<p>Антиминеральный картридж используется совместно с прессом <a href=""https://entero.ru/item/194097""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194113""><b class=""b"">MAC5 SP 2150 </b></a></a> в прачечных, гостиницах, салонах красоты, больницах, детских учреждениях, а также домах и квартирах для контроля жесткости воды. По мере использования пресса цветные гранулы внутри картриджа начинают терять свой цвет, что является сигналом для его замены.</p>",194113,,,,,,,,,0,,,,,,,,,,
