Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Вес (с упаковкой),Размер рабочей поверхности,Нагрев рабочей поверхности,Встроенный парогенератор,Вакуум,Наддув,Электропаровой утюг
https://cdn.entero.ru/mp@2x/07/94/0794387c898758c716f6483fb85959a1.jpg,Стол гладильный EOLO TS-01,Стол гладильный EOLO TS-01,126500,RUB,Да,EOLO,Профоборудование,Прачечное,Гладильные столы,https://entero.ru/item/89231,"<p><span style=""font-size: 12px;"">Профессиональный гладильный стол </span><b class=""b"" style=""font-size: 12px;""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89231"">EOLO TS-01</a></b><span style=""font-size: 12px;""> используется в прачечных, отелях, гостевых домах и отелях для глажки белья и одежды. Модель оснащена сменным многослойным высокотемпературным чехлом, большой подставкой для парогенератора, полкой для белья, рукавной платформой и колесиками для перемещения. Гладильная поверхность выполнена из специального паропропускающего материала, подставка - из нержавеющей стали.</span></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Доска: 0,7 кВт</li>
<li>Бойлер: 1,3 кВт</li>
<li>Утюг: 0,85 кВт</li>
<li>Вакуум: 0,15 кВт</li>
<li>Наддув: 0,15 кВт</li>
</ul>
</li>
<li>Вместимость бойлера: 3,5 л</li>
<li>Давление пара: 3 бар</li>
<li>Размеры подставки: 360x160 мм</li>
</ul>

<p><b>Опции (заказываются отдельно): </b></p>

<ul>
<li>Рукавная платформа</li>
</ul>

<p><br>
<em>* Габариты указаны в сложенном состоянии.</em></p>",89231,220 В,3.15 кВт,450 мм,420 мм,1280 мм,,Италия,,,0,https://entero.ru/manuals/113732/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,131771,35 кг,,1120x420 мм,Да,Да,Да,Да,Да
https://cdn.entero.ru/mp@2x/7b/18/7b1855613bba24eea4cfa5a222e4a733.jpg,Гладильная доска EOLO AS-07,Гладильная доска EOLO AS-07,81650,RUB,Да,EOLO,Профоборудование,Прачечное,Гладильные столы,https://entero.ru/item/89230,"<p><span style=""font-size: 12px;"">Профессиональная гладильная доска </span><b class=""b"" style=""font-size: 12px;"">EOLO AS-06</b><span style=""font-size: 12px;""> используется в прачечных, отелях, гостевых домах и отелях для глажки белья и одежды. Модель оснащена большой подставкой для бойлера с утюгом и полкой для белья.</span><span style=""font-size: 12px;""> </span></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Доска: 0,7 кВт</li>
<li>Бойлер: 0,9 кВт</li>
<li>Утюг: 0,85 кВт</li>
<li>Вакуум: 0,15 кВт</li>
</ul>
</li>
<li>Вместимость бойлера: 2 л</li>
<li>Давление пара: 3 бар</li>
<li>Размеры подставки: 280x215 мм</li>
</ul>

<p><b>Опции (заказываются отдельно): </b></p>

<ul>
<li>Рукавная платформа</li>
</ul>

<p><br>
<em>* Габариты указаны в сложенном состоянии.</em></p>",89230,,0.85 кВт,520 мм,250 мм,1320 мм,,Италия,,,0,https://entero.ru/manuals/113683/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf;https://entero.ru/manuals/498778/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg;https://entero.ru/manuals/498779/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,85052,24 кг,,1120x420 мм,Да,Да,Да,,Да
https://cdn.entero.ru/mp@2x/87/3d/873d70ca179b1572aa42f66949c9c52a.jpg,Стол гладильный Kromluks KUP2011K,Стол гладильный Kromluks KUP2011K,163579,RUB,Да,,Профоборудование,Прачечное,Гладильные столы,https://entero.ru/item/224239,"<p>Гладильный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/224239"">Kromluks KUP2011K</a></b> используется в прачечных образовательных, оздоровительных заведений, производственных предприятий, в поликлиниках, гостиницах, детских садах, общежитиях, больницах, роддомах и воинских частях для глажки белья и одежды. Модель оснащена парогенератором, баком для воды, насосом и утюгом.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полностью автоматическая система</li>
<li>Легкая глажка благодаря вакуумному мотору</li>
<li>Платформа для удобной глажки рукавов</li>
<li>Возможность работы 24 часа х 7 дней в неделю</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребляемая мощность:
<ul>
<li>Стол: 7,42 кВт</li>
<li>Утюг: 0,8 кВт</li>
</ul>
</li>
</ul>",224239,,,1520 мм,440 мм,1100 мм,,Турция,,,0,https://entero.ru/manuals/442946/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kromluks%20KUP2011K.pdf;https://entero.ru/manuals/442947/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D0%BD%D0%B0%20Kromluks%20KUP2011K.pdf,,115 кг,,,,Да,Да,,Да
https://cdn.entero.ru/mp@2x/dd/da/ddda4c7a9c1e29c5ce50ce6acb5563c8.jpg,Стол гладильный EOLO TS-03,Стол гладильный EOLO TS-03,114540,RUB,Да,EOLO,Профоборудование,Прачечное,Гладильные столы,https://entero.ru/item/89232,"<p><span style=""font-size: 12px;"">Профессиональный гладильный стол </span><b class=""b"" style=""font-size: 12px;""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89232"">EOLO TS-03</a></b><span style=""font-size: 12px;""> используется в прачечных, отелях, гостевых домах и отелях для глажки белья и одежды. Модель оснащена сменным многослойным высокотемпературным чехлом, большой подставкой для парогенератора, полкой для белья, рукавной платформой и колесиками для перемещения. Гладильная поверхность выполнена из специального паропропускающего материала, подставка - из нержавеющей стали, окрашенной эмалью.</span></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Доска: 0,7 кВт</li>
<li>Бойлер: 1,3 кВт</li>
<li>Утюг: 0,85 кВт</li>
<li>Вакуум: 0,15 кВт</li>
</ul>
</li>
<li>Вместимость бойлера: 3,5 л</li>
<li>Давление пара: 3 бар</li>
<li>Размеры подставки: 360x160 мм</li>
</ul>

<p><b>Опции (заказываются отдельно): </b></p>

<ul>
<li>Рукавная платформа</li>
</ul>

<p><br>
<em>* Габариты указаны в сложенном состоянии.</em></p>",89232,220 В,3 кВт,450 мм,420 мм,1280 мм,,Италия,,,0,https://entero.ru/manuals/113733/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,34 кг,,1120x420 мм,Да,Да,Да,,Да
https://cdn.entero.ru/mp@2x/59/18/5918f180e1b7cef3992fc94e165832ab.jpg,Гладильный стол Ghidini TPA 2.0,Z25C00,56304,RUB,Да,,Профоборудование,Прачечное,Гладильные столы,https://entero.ru/item/292930,"<p>Профессиональный гладильный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/292930"">Ghidini TPA 2.0</a></b> используется в прачечных, отелях, гостевых домах и отелях для глажки белья и одежды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемая высота</li>
<li>Легкое складывание: компактное хранение</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Нагрев гладильной поверхности: 0,6 кВт<br>
Вакуумный двигатель: 0,1 кВт</li>
</ul>
</li>
<li>Уровень интенсивности звука: < 70 дБ(A)</li>
<li>Рабочая температура: + 5 ÷ + 80 °C</li>
<li>Влажность при работе: макс. 90 %</li>
<li>Температура хранения: - 20 ÷ + 50 °C</li>
</ul>",292930,220 В,0.7 кВт,1380 мм,380 мм,930 мм,24 кг,Италия,1,1450x430x350 мм,37,https://entero.ru/manuals/453852/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Ghidini%20TPA%202.0.docx;https://entero.ru/manuals/465514/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Ghidini%20%28%D0%B0%D0%BD%D0%B3%D0%BB%29.pdf,59267,22 кг,,1100х380х240 мм,Да,,Да,,
https://cdn.entero.ru/mp@2x/6f/00/6f00c8c0161966a8baf11b7045371bdc.jpg,Стол гладильный EOLO TS-02,Стол гладильный EOLO TS-02,161000,RUB,Да,EOLO,Профоборудование,Прачечное,Гладильные столы,https://entero.ru/item/121801,"<p>Профессиональный гладильный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121801"">EOLO TS-02</a></b> используется в прачечных, отелях, гостевых домах и отелях для глажки белья и одежды. Модель оснащена сменным многослойным высокотемпературным чехлом, большой подставкой для парогенератора, полкой для белья, термореле, автоматическим наполнением бойлера из емкости с водой и колесиками для перемещения.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Доска: 0,7 кВт</li>
<li>Утюг: 0,85 кВт</li>
<li>Вакуум: 0,15 кВт</li>
</ul>
</li>
<li>Вместимость бойлера: 2,8 л</li>
<li>Давление пара: 3 бар</li>
<li>Размеры подставки: 360x160 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Рукавная платформа</li>
</ul>

<p><br>
<em>* Габариты указаны в сложенном состоянии.</em></p>",121801,220 В,1.8 кВт,1400 мм,600 мм,650 мм,,Италия,,,0,https://entero.ru/manuals/127518/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,173118,46 кг,,1290x510 мм,Да,Да,Да,,Да
https://cdn.entero.ru/mp@2x/11/86/1186e7e06cf138c708bdd1dc532aa7ec.jpg,Гладильная доска EOLO AS-01,Гладильная доска EOLO AS-01,60950,RUB,Да,EOLO,Профоборудование,Прачечное,Гладильные столы,https://entero.ru/item/89225,"<p>Профессиональная гладильная доска <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89225""><b class=""b"">EOLO AT-01</b></a> используется в прачечных, отелях, гостевых домах и отелях для глажки белья и одежды. Модель оснащена большой подставкой для бойлера с утюгом, полкой для белья, поворотной рукавной платформой, термостатом от 30 до 90 °C, встроенной розеткой для подключения парогенератора и колесиками для перемещения в сложенном состоянии. Доска легко складывается для хранения.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Доска: 0,7 кВт</li>
<li>Вакуум: 0,15 кВт</li>
<li>Наддув: 0,15 кВт</li>
</ul>
</li>
<li>Размеры подставки: 415x260 мм</li>
</ul>

<p><br>
<em>* Габариты указаны в сложенном состоянии.</em></p>",89225,,1 кВт,520 мм,250 мм,1320 мм,,Италия,,,0,https://entero.ru/manuals/113678/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,63490,18 кг,,1120x420 мм,Да,,Да,Да,
https://cdn.entero.ru/mp@2x/07/f9/07f953a176d08dd357f8b02b1a1e8177.jpg,Гладильная доска EOLO AS-03,Гладильная доска EOLO AS-03,51750,RUB,Да,EOLO,Профоборудование,Прачечное,Гладильные столы,https://entero.ru/item/89226,"<p>Профессиональная гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89226"">EOLO AS-03</a></b> используется в прачечных, отелях, гостевых домах и отелях для глажки белья и одежды. Модель оснащена большой подставкой для бойлера с утюгом, полкой для белья, поворотной рукавной платформой, термостатом от 30 до 90 °C, встроенной розеткой для подключения парогенератора и колесиками для перемещения в сложенном состоянии. Доска легко складывается для хранения.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Доска: 0,7 кВт</li>
<li>Вакуум: 0,15 кВт</li>
</ul>
</li>
<li>Размеры подставки: 415x260 мм</li>
</ul>

<p><br>
<em>* Габариты указаны в сложенном состоянии.</em></p>",89226,,0.85 кВт,520 мм,250 мм,1320 мм,,Италия,,,0,https://entero.ru/manuals/113679/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,55053,17 кг,,1120x420 мм,Да,,Да,,
https://cdn.entero.ru/mp@2x/2c/59/2c5953bde7b31d196872997102317ed5.jpg,Гладильная доска EOLO AS-04,Гладильная доска EOLO AS-04,51750,RUB,Да,EOLO,Профоборудование,Прачечное,Гладильные столы,https://entero.ru/item/89228,"<p>Профессиональная гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89228"">EOLO AS-04</a></b> используется в прачечных, отелях, гостевых домах и отелях для глажки белья и одежды. Модель оснащена большой подставкой для бойлера с утюгом, полкой для белья, термостатом от 30 до 90 °C, встроенной розеткой для подключения парогенератора и колесиками для перемещения в сложенном состоянии. Доска легко складывается для хранения.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Доска: 0,7 кВт</li>
<li>Вакуум: 0,15 кВт</li>
</ul>
</li>
<li>Размеры подставки: 360x160 мм</li>
</ul>

<p><br>
<em>* Габариты указаны в сложенном состоянии.</em></p>",89228,,1 кВт,520 мм,250 мм,1320 мм,,Италия,,,0,https://entero.ru/manuals/113680/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,55053,17.5 кг,,1120x420 мм,Да,,Да,Да,
https://cdn.entero.ru/mp@2x/95/17/951740530dae3a0b05726436eac055d3.jpg,Гладильная доска EOLO AS-06,Гладильная доска EOLO AS-06,48300,RUB,Да,EOLO,Профоборудование,Прачечное,Гладильные столы,https://entero.ru/item/89229,"<p>Профессиональная гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89229"">EOLO AS-06</a></b> используется в прачечных, отелях, гостевых домах и отелях для глажки белья и одежды. Модель оснащена большой подставкой для бойлера с утюгом, полкой для белья, термостатом от 30 до 90 °C, встроенной розеткой для подключения парогенератора и колесиками для перемещения в сложенном состоянии. Доска легко складывается для хранения.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Доска: 0,7 кВт</li>
<li>Вакуум: 0,15 кВт</li>
</ul>
</li>
<li>Размеры подставки: 415x260 мм</li>
</ul>

<p><br>
<em>* Габариты указаны в сложенном состоянии.</em></p>",89229,,0.85 кВт,520 мм,250 мм,1320 мм,,Италия,,,0,https://entero.ru/manuals/113682/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,16 кг,,1120x420 мм,Да,,Да,,
