Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Объем бойлера,Регулятор подачи пара
https://cdn.entero.ru/mp@2x/65/1d/651d9b0d6b7f390ae8b9dac322f09f50.jpg,Парогенератор EOLO GV-02,Парогенератор EOLO GV-02,50600,RUB,Да,EOLO,Профоборудование,Прачечное,Парогенераторы,https://entero.ru/item/89234,"<p>Парогенератор с утюгом <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89234"">EOLO GV-02</a></b> используется в прачечных, отелях, гостевых домах и офисах для влажно-тепловой обработки белья и одежды. Модель оснащена электрическим утюгом, позволяющим работать в вертикальном состоянии, бойлером и ТЭНом для защиты от перегрева. Корпус выполнен из нержавеющей стали, бойлер - из меди со специальным внутренним покрытием против накипи, позволяющим использовать водопроводную воду.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощное производство сухого пара</li>
<li>Встроенный манометр для регулировки пара</li>
<li>Индикаторы, уведомляющие о готовности пара и окончании воды</li>
<li>Полуавтоматическое наполнение бойлера и производство пара</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Бойлер: 0,9 кВт</li>
<li>Утюг: 0,85 кВт</li>
<li>Паровая щетка: 0,35 кВт</li>
</ul>
</li>
<li>Рабочее давление: 3 бар</li>
<li>Габариты в упаковке: 270x390x300 мм</li>
<li>Вес: 
<ul>
<li>Общий: 6,8 кг</li>
<li>Утюг: 1,55 кг</li>
</ul>
</li>
</ul>",89234,220 В,,240 мм,365 мм,265 мм,,,,0,https://entero.ru/manuals/113727/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,6.8 кг,Италия,,,2.4 л,Да
https://cdn.entero.ru/mp@2x/45/87/4587c40c5913caaa63ea3c2ddd2dd584.jpg,Парогенератор EOLO GV-06,Парогенератор EOLO GV-06,69000,RUB,Да,EOLO,Профоборудование,Прачечное,Парогенераторы,https://entero.ru/item/89240,"<p>Парогенератор с утюгом <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89240"">EOLO GV-06</a></b> используется в прачечных, отелях, гостевых домах и офисах для влажно-тепловой обработки белья и одежды. Модель оснащена электрическим утюгом, позволяющим работать в вертикальном состоянии, бойлером и ТЭНом для защиты от перегрева. Корпус выполнен из нержавеющей стали, бойлер - из меди со специальным внутренним покрытием против накипи, позволяющим использовать водопроводную воду.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощное производство сухого пара</li>
<li>Встроенный манометр для регулировки давления пара</li>
<li>Регулировка количества пара</li>
<li>Индикаторы, уведомляющие о готовности пара и окончании воды</li>
<li>Полуавтоматическое наполнение бойлера и производство пара</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Бойлер: 2,2 кВт</li>
<li>Утюг: 0,85 кВт</li>
<li>Паровая щетка: 0,35 кВт</li>
</ul>
</li>
<li>Рабочее давление: 3 бар</li>
<li>Габариты в упаковке: 290x480x450 мм</li>
<li>Вес: 
<ul>
<li>Общий: 10 кг</li>
<li>Утюг: 1,55 кг</li>
</ul>
</li>
</ul>",89240,220 В,,260 мм,450 мм,405 мм,,,,0,https://entero.ru/manuals/113728/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,10 кг,Италия,,,5 л,Да
https://cdn.entero.ru/mp@2x/59/f2/59f259ddff98311dbfec64d1f97e617a.jpg,Парогенератор Ghidini BETA 3,Парогенератор Ghidini BETA 3,42383,RUB,Да,,Профоборудование,Прачечное,Парогенераторы,https://entero.ru/item/337129,"<p>Парогенератор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/337129"">Ghidini BETA 3</a> </b>используется в прачечных, отелях, гостевых домах и офисах для влажно-тепловой обработки белья и одежды. Модель оснащена теплоизолированным алюминиевым котлом из алюминия с ручной подачей воды и электропаровым утюгом. Корпус выполнен из литого алюминия.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручная подача воды</li>
<li>Автоматический контроль давления с помощью термостата</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Парогенератор: 1 кВт</li>
<li>Утюг: 0,8 кВт</li>
</ul>
</li>
<li>Давление пара: 2,6 бар</li>
<li>Уровень интенсивности звука: 70 дБ(A)</li>
<li>Рабочая температура: + 5 ÷ + 80 °C</li>
<li>Влажность при работе: макс. 90 %</li>
<li>Температура хранения: - 20 ÷ + 50 °C</li>
</ul>",337129,220 В,1.8 кВт,420 мм,230 мм,300 мм,9 кг,1,600x440x450 мм,27,https://entero.ru/manuals/453849/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Ghidini%20BETA%203.docx;https://entero.ru/manuals/465512/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Ghidini%20%28%D0%B0%D0%BD%D0%B3%D0%BB%29.pdf,44614,8 кг,Италия,Италия,,1.75 л,
https://cdn.entero.ru/mp@2x/59/6f/596f00c43a87c790d0385c684b2867ae.jpg,Парогенератор Ghidini Moon,G01A02,50921,RUB,Да,,Профоборудование,Прачечное,Парогенераторы,https://entero.ru/item/292927,"<p>Парогенератор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/292927"">Ghidini Moon</a> </b>используется в прачечных, отелях, гостевых домах и офисах для влажно-тепловой обработки белья и одежды. Модель оснащена электропаровым утюгом. Корпус, котел и обтекатель выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручная загрузка</li>
<li>Автоматическая регулировка давления с помощью реле давления</li>
<li>3 предохранительных устройства на котле: предохранительный клапан, термостат и реле давления</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Парогенератор: 1 кВт</li>
<li>Утюг: 0,8 кВт</li>
</ul>
</li>
<li>Давление пара: 2,5 бар</li>
</ul>",292927,220 В,1.8 кВт,430 мм,250 мм,180 мм,,,,9,https://entero.ru/manuals/465511/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Ghidini%20%28%D0%B0%D0%BD%D0%B3%D0%BB%29.pdf,,,Италия,Италия,,2 л,
https://cdn.entero.ru/mp@2x/9d/af/9daf7c51c1aaec9ee692d476c074df9c.jpg,Парогенератор EOLO GV-03,Парогенератор EOLO GV-03,58650,RUB,Да,EOLO,Профоборудование,Прачечное,Парогенераторы,https://entero.ru/item/89236,"<p>Парогенератор с утюгом <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89236"">EOLO GV-03</a></b> используется в прачечных, отелях, гостевых домах и офисах для влажно-тепловой обработки белья и одежды. Модель оснащена электрическим утюгом, позволяющим работать в вертикальном состоянии, бойлером и ТЭНом для защиты от перегрева. Корпус выполнен из нержавеющей стали, бойлер - из меди со специальным внутренним покрытием против накипи, позволяющим использовать водопроводную воду.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощное производство сухого пара</li>
<li>Встроенный манометр для регулировки пара</li>
<li>Индикаторы, уведомляющие о готовности пара и окончании воды</li>
<li>Полуавтоматическое наполнение бойлера и производство пара</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Бойлер: 1,3 кВт</li>
<li>Утюг: 0,85 кВт</li>
<li>Паровая щетка: 0,35 кВт</li>
</ul>
</li>
<li>Рабочее давление: 3 бар</li>
<li>Габариты в упаковке: 290x430x350 мм</li>
<li>Вес: 
<ul>
<li>Общий: 8 кг</li>
<li>Утюг: 1,55 кг</li>
</ul>
</li>
</ul>",89236,220 В,,250 мм,400 мм,340 мм,,,,0,https://entero.ru/manuals/113725/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,62394,8 кг,Италия,,,3.5 л,Да
https://cdn.entero.ru/mp@2x/ae/2b/ae2b8da97fbc8500721db5210fb54af8.jpg,Парогенератор EOLO GV-01,GV01,41400,RUB,Да,EOLO,Профоборудование,Прачечное,Парогенераторы,https://entero.ru/item/89233,"<p>Парогенератор с утюгом <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89233"">EOLO GV-01</a></b> используется в прачечных, отелях, гостевых домах и офисах для влажно-тепловой обработки белья и одежды. Модель оснащена электрическим утюгом, позволяющим работать в вертикальном состоянии, бойлером и ТЭНом для защиты от перегрева. Корпус выполнен из нержавеющей стали, бойлер - из меди со специальным внутренним покрытием против накипи, позволяющим использовать водопроводную воду.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощное производство сухого пара</li>
<li>Индикатор, уведомляющий о готовности пара</li>
<li>Полуавтоматическое наполнение бойлера и производство пара</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Бойлер: 0,9 кВт</li>
<li>Утюг: 0,85 кВт</li>
<li>Паровая щетка: 0,35 кВт</li>
</ul>
</li>
<li>Рабочее давление: 3 бар</li>
<li>Габариты в упаковке: 270x390x300 мм</li>
<li>Вес: 
<ul>
<li>Общий: 6 кг</li>
<li>Утюг: 1,55 кг</li>
</ul>
</li>
</ul>",89233,220 В,,240 мм,365 мм,180 мм,,,,0,https://entero.ru/manuals/113724/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,45000,6 кг,Италия,,,1.5 л,
https://cdn.entero.ru/mp@2x/ab/e2/abe2d1f2ff54e2a39cf24e948f5dfdc8.jpg,Парогенератор EOLO GV-04,Парогенератор EOLO GV-04,49450,RUB,Да,EOLO,Профоборудование,Прачечное,Парогенераторы,https://entero.ru/item/89237,"<p>Парогенератор с утюгом <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89237"">EOLO GV-04</a></b> используется в прачечных, отелях, гостевых домах и офисах для влажно-тепловой обработки белья и одежды. Модель оснащена электрическим утюгом, позволяющим работать в вертикальном состоянии, бойлером и ТЭНом для защиты от перегрева. Корпус выполнен из нержавеющей стали, бойлер - из меди со специальным внутренним покрытием против накипи, позволяющим использовать водопроводную воду.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощное производство сухого пара</li>
<li>Индикатор, уведомляющий о готовности пара</li>
<li>Полуавтоматическое наполнение бойлера и производство пара</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Бойлер: 0,9 кВт</li>
<li>Утюг: 0,85 кВт</li>
<li>Паровая щетка: 0,35 кВт</li>
</ul>
</li>
<li>Рабочее давление: 3 бар</li>
<li>Габариты в упаковке: 270x390x300 мм</li>
<li>Вес: 
<ul>
<li>Общий: 6,2 кг</li>
<li>Утюг: 1,55 кг</li>
</ul>
</li>
</ul>",89237,220 В,,245 мм,365 мм,230 мм,,,,0,https://entero.ru/manuals/113726/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,6.2 кг,Италия,,,2 л,
https://cdn.entero.ru/mp@2x/86/47/8647ae364c604862525a1a53bfc1440b.jpg,Парогенератор Ghidini Speedy Vapor,P02A00,263342,RUB,Да,,Профоборудование,Прачечное,Парогенераторы,https://entero.ru/item/375035,"<p>Парогенератор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375035"">Ghidini Speedy Vapor</a></b> используется в прачечных, отелях, гостевых домах и офисах для чистки и дезинфекции обуви. Модель оснащена парогенератором с клапаном, кабиной для дезинфекции и сушки обуви, распылителем для химических препаратов и паровыми пистолетами для чистки верха и внутри обуви.</p>",375035,220 В,от 2 до 11.8 кВт,630 мм,1115 мм,1950 мм,165 кг,,,0,,283163,,Италия,Италия,,4 л,
https://cdn.entero.ru/mp@2x/84/a9/84a95eea1c9a6bb793791b5e10ee61cd.jpg,Парогенератор Ghidini Maxi 16,Парогенератор Ghidini Maxi 16,371771,RUB,Да,,Профоборудование,Прачечное,Парогенераторы,https://entero.ru/item/337131,"<p>Парогенератор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/337131""><b class=""b"">Ghidini Maxi 16 </b></a>используется в прачечных, отелях, гостевых домах и офисах для влажно-тепловой обработки белья и одежды. Модель оснащена 6 независимыми наборами нагревательных элементов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический контроль уровня воды</li>
<li>2 предохранительных устройства: реле давления и предохранительный клапан</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочее давление пара: от 0,3 до 7 бар</li>
<li>Мощность двигателя насоса 0,55 кВт</li>
</ul>",337131,380 В,1.5 кВт,440 мм,550 мм,980 мм,,,,0,https://entero.ru/manuals/465510/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Ghidini%20%28%D0%B0%D0%BD%D0%B3%D0%BB%29.pdf,395501,72 кг,Италия,Италия,,16 л,
https://cdn.entero.ru/mp@2x/b8/90/b89091ae26bc3b30751b46457d7894a8.jpg;https://cdn.entero.ru/mp@2x/6f/e0/6fe035d709a8b1a9c707289decad74fd.jpg,Парогенератор Ghidini Maxi 24 (бак для возврата конденсата),G08032_Z24B00_Z24B03,631033,RUB,Да,,Профоборудование,Прачечное,Парогенераторы,https://entero.ru/item/362369,"<p>Парогенератор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/362369""><b class=""b"">Ghidini Maxi 24 </b></a>используется в прачечных, отелях, гостевых домах и офисах для влажно-тепловой обработки белья и одежды. Модель оснащена 6 независимыми наборами нагревательных элементов и баком для возврата конденсата.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность работы от водопровода или специального резервуара </li>
<li>Возможность изменять рабочее давление </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Общая мощность: 22,55 кВт</li>
<li>Рабочее давление пара: от 0,3 до 7 бар</li>
<li>Мощность двигателя насоса 0,55 кВт</li>
<li>Максимальная производительность пара: 29,7 кг/час</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Двойная группа резисторов</li>
<li>Корпус из нержавеющей стали AISI 304</li>
<li>Каждый компонент, контактирующий с водой, из нержавеющей стали AISI 304</li>
</ul>",362369,380 В,от 6 до 22 кВт,580 мм,660 мм,730 мм,,,,0,,,,Италия,Италия,495 г/мин.,24.9 л,
