Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Назначение,С натяжением
https://cdn.entero.ru/mp@2x/f1/cf/f1cfeace39c04752083d03041e356eaa.jpg;https://cdn.entero.ru/mp@2x/61/e9/61e92ee4fa844889169d2c7fb6bb0032.jpg,Пароманекен Ghidini Majestic A,B25A02,697305,RUB,Да,,Профоборудование,Прачечное,Пароманекены,https://entero.ru/item/291917,"<p>Пароманекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291917"">Ghidini Majestic A</a> </b>используется на предприятиях, в отелях, прачечных, химчистках для финишной обработки пальто, курток, платьев и другой одежды. Модель оснащена встроенным электрическим парогенератором, автоматической подачей воды и автоконтролем давления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Микропроцессор с возможностью установки 9 программ</li>
<li>Полностью автоматизированые рабочие циклы</li>
<li>3 таймера регулировки времени отпаривания и сушки</li>
<li>Вентилятор</li>
<li>Опора (рама) может вращаться на 360°</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочее давление пара: 4,5 бар</li>
<li>Мощность:
<ul>
<li>Парогенератор: 10,5 кВт</li>
<li>Вакуумный двигатель: 0,6 кВт</li>
<li>Двигатель вентилятора: 0,7 кВт</li>
</ul>
</li>
<li>Габариты в упаковке: 1390х640х1910 мм</li>
</ul>",291917,380 В,11.8 кВт,1360 мм,610 мм,1780 мм,151 кг,1,1390x640x1910 мм,8,https://entero.ru/manuals/354390/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Ghidini%20Majestic%20A%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/354391/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Ghidini.pdf,,130 кг,Италия,для верхней одежды,
https://cdn.entero.ru/mp@2x/b7/cf/b7cf6bc236c8b958c47bdfcb45cc65e2.jpg;https://cdn.entero.ru/mp@2x/fb/ec/fbec29d32f176daf96329f272c60bd36.jpg,Манекен гладильный EOLO SA19,Манекен гладильный EOLO SA19,454250,RUB,Да,EOLO,Профоборудование,Прачечное,Пароманекены,https://entero.ru/item/89204,"<p>Профессиональный гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89204"">EOLO SA19</a> </b>используется в прачечных, отелях, гостевых домах и кораблях для финишной обработки рубашек, маек, блузоки джинсов. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные материалы, размером от XS до XXXL. Манекен не предназначен для тяжелых курток, пиджаков и пуховиков. Модель оснащена встроенным парогенератором, щеткой-отпаривателем, вентилятором максимальной мощности, индикатором нагрева и подставкой на колесах. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входят чехлы для глажения рубашек и брюк.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двигатель: type Ind</li>
<li>Натяжение плечей, манжет, воротничка и низа рубашки</li>
<li>Износостойкий чехол</li>
<li>Таймер, позволяющий настроить необходимое время сушки и глажения</li>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Объем бойлера: 3,5 л</li>
<li>Время глажения 1-го изделия:</li>
<li style=""margin-left: 40px;"">Рубашка: 5 мин.</li>
<li style=""margin-left: 40px;"">Брюки: 10 мин.</li>
<li>Максимальное время работы: от 8 до 16 ч/сутки</li>
<li>Максимальное давление: 55 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 450x450x800мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Планка прижима передней части рубашки</li>
</ul>",89204,220 В,3.65 кВт,350 мм,350 мм,1600 мм,,,,0,https://entero.ru/manuals/72092/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA19.pdf;https://entero.ru/manuals/113723/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,473177,27 кг,Италия,"для верхней одежды, для брюк",Да
https://cdn.entero.ru/mp@2x/aa/cf/aacfe6956b2d16b36e1686c72a3bc9aa.jpg,Манекен гладильный EOLO SA11,Манекен гладильный EOLO SA11,313950,RUB,Да,EOLO,Профоборудование,Прачечное,Пароманекены,https://entero.ru/item/89196,"<p>Профессиональный гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89196"">EOLO SA11</a> </b>используется в прачечных, отелях и гостевых домах для финишной обработки рубашек, маек и блузок. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные, размером от XS до XXXL. Модель оснащена вентилятором повышенной мощности, индикатором нагрева и подставкой на колесах. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входит чехол для глажения рубашек.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двигатель: type Ind</li>
<li>Износостойкий чехол</li>
<li>Таймер, позволяющий настроить необходимое время сушки и глажения</li>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения 1-й рубашки: 5 мин.</li>
<li>Максимальное время работы: от 8 до 16 ч/сутки</li>
<li>Максимальное давление: 55 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 450x450x800мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Планка прижима передней части рубашки</li>
<li>Чехол брюки <a href=""https://entero.ru/item/89245"">Олива</a></li>
</ul>",89196,220 В,2 кВт,350 мм,350 мм,1600 мм,,,,0,https://entero.ru/manuals/72074/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA11.pdf;https://entero.ru/manuals/113712/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,330474,20 кг,Италия,для верхней одежды,Да
https://cdn.entero.ru/mp@2x/04/46/0446d6aeddb2884fd06bcac378d2f4ff.jpg;https://cdn.entero.ru/mp@2x/24/6a/246aadabfe1777a3f534213834850e0f.jpg,Манекен гладильный EOLO SA18,Манекен гладильный EOLO SA18,425500,RUB,Да,EOLO,Профоборудование,Прачечное,Пароманекены,https://entero.ru/item/89203,"<p>Профессиональный гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89203"">EOLO SA18</a> </b>используется в прачечных, отелях, гостевых домах и кораблях для финишной обработки рубашек, маек, блузоки джинсов. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные материалы, размером от XS до XXXL. Манекен не предназначен для тяжелых курток, пиджаков и пуховиков. Модель оснащена встроенным парогенератором, щеткой-отпаривателем, вентилятором максимальной мощности, индикатором нагрева и подставкой на колесах. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входят чехлы для глажения рубашек и брюк.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двигатель: type Ind</li>
<li>Натяжение плечей, манжет, воротничка и низа рубашки</li>
<li>Износостойкий чехол</li>
<li>Таймер, позволяющий настроить необходимое время сушки и глажения</li>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем бойлера: 2 л</li>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения 1-го изделия:</li>
<li style=""margin-left: 40px;"">Рубашка: 6 мин.</li>
<li style=""margin-left: 40px;"">Брюки: 10 мин.</li>
<li>Максимальное время работы: от 8 до 16 ч/сутки</li>
<li>Максимальное давление: 40 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 450x450x800мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Планка прижима передней части рубашки</li>
</ul>",89203,220 В,2.9 кВт,350 мм,270 мм,1550 мм,,,,0,https://entero.ru/manuals/72090/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA18.pdf;https://entero.ru/manuals/113722/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,18 кг,Италия,для верхней одежды,Да
https://cdn.entero.ru/mp@2x/7a/8b/7a8b500857c72dd63b7118701eb8d42a.jpg,Пароманекен EOLO SA21B,Пароманекен EOLO SA21B,1069500,RUB,Да,EOLO,Профоборудование,Прачечное,Пароманекены,https://entero.ru/item/89205,"<p>Автоматический пароманекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89205"">EOLO SA21B</a> </b>используется на предприятиях, в отелях, прачечных , химчистках для финишной обработки рубашек, маек и блузок. Модель оснащена встроенным парогенератором и электрическим вентилятором. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция пропаривания обрабатываемого изделия всей поверхностью манекена</li>
<li>3 режима:
<ul>
<li>Пропаривание</li>
<li>Горячий надув</li>
<li>Холодный воздушный надув</li>
</ul>
</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность пара: 10,2 кг/ч</li>
<li>Мощность:
<ul>
<li>Общее: 10 кВт</li>
<li>Бойлер: 7,5 кВт</li>
<li>Насос: 0,5 кВт</li>
<li>Вентилятор: 0,75 кВт</li>
</ul>
</li>
<li>Объем бойлера: 9 л</li>
<li>Давление:
<ul>
<li>Рабочее: 4,2 бар</li>
<li>Воздух: 140 бар</li>
</ul>
</li>
</ul>",89205,380 В,,630 мм,1800 мм,1300 мм,,,,0,https://entero.ru/manuals/72094/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA21B.pdf;https://entero.ru/manuals/113729/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,140 кг,Италия,для верхней одежды,
https://cdn.entero.ru/mp@2x/95/5f/955f2cc077c5d1decda4660f7ebc7f4b.jpg;https://cdn.entero.ru/mp@2x/1c/ca/1cca5d4af628a24ec2fa63079af26c6b.jpg,Манекен гладильный EOLO SA07,Манекен гладильный EOLO SA07,230000,RUB,Да,EOLO,Профоборудование,Прачечное,Пароманекены,https://entero.ru/item/89195,"<p>Профессиональный гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89195"">EOLO SA07</a> </b>используется в прачечных, отелях и гостевых домах для финишной обработки рубашек, маек, блузок, штанов и джинсов. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные, размером от XS до XXXL. Модель оснащена вентилятором повышенной мощности, индикатором нагрева и крестовиной-подставкой c газлифтом, регулируемой по высоте. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входят чехлы для глажения рубашек и штанов и растяжки для манжет, воротничка и брюк.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двигатель: type Ind</li>
<li>Износостойкий чехол</li>
<li>Возможность регулирования натяжения низа рубашки</li>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения
<ul>
<li>Рубашка: 6 мин.</li>
<li>Брюки: 9 мин.</li>
</ul>
</li>
<li>Максимальное время работы: от 8 до 16 ч/сутки</li>
<li>Максимальное давление: 40 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 360x500x520мм</li>
</ul>",89195,220 В,1.85 кВт,500 мм,500 мм,1600 мм,,,,0,https://entero.ru/manuals/72072/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA07.pdf;https://entero.ru/manuals/113707/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,11 кг,Италия,для верхней одежды,Да
https://cdn.entero.ru/mp@2x/95/76/9576b273c0bec1b03d8991b2ce486662.jpg,Манекен гладильный EOLO SA12,Манекен гладильный EOLO SA12,313950,RUB,Да,EOLO,Профоборудование,Прачечное,Пароманекены,https://entero.ru/item/89197,"<p>Профессиональный гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89197"">EOLO SA12</a> </b>используется в прачечных, отелях и гостевых домах для финишной обработки брюк и джинсов. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные материалы, размером от XS до XXXL. Модель оснащена вентилятором повышенной мощности, индикатором нагрева и подставкой на колесах. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входит чехол для глажения штанов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двигатель: type Ind</li>
<li>Износостойкий чехол</li>
<li>Таймер, позволяющий настроить необходимое время сушки и глажения</li>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения брюк: 10 мин.</li>
<li>Максимальное время работы: от 8 до 16 ч/сутки</li>
<li>Максимальное давление: 55 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 450x450x800мм</li>
</ul>",89197,220 В,2 кВт,350 мм,350 мм,1650 мм,,,,0,https://entero.ru/manuals/72076/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA12.pdf;https://entero.ru/manuals/113715/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,341250,19 кг,Италия,для брюк,Да
https://cdn.entero.ru/mp@2x/81/9d/819d9e6be3553b54d4835aa473abd779.jpg;https://cdn.entero.ru/mp@2x/d5/d0/d5d0020250cf633493825524fbc9875f.jpg,Манекен гладильный EOLO SA07 INOX,Манекен гладильный EOLO SA07 INOX,241500,RUB,Да,EOLO,Профоборудование,Прачечное,Пароманекены,https://entero.ru/item/89347,"<p>Профессиональный гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89347"">EOLO SA07 INOX</a> </b>используется в прачечных, отелях и гостевых домах для финишной обработки рубашек, маек, блузок, штанов и джинсов. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные, размером от XS до XXXL. Модель оснащена вентилятором повышенной мощности, индикатором нагрева и регулируемой по высоте крестовиной-подставкой с газлифтом и прорезиненными колесами, которые обеспечивают бесшумное перемещение манекена и предотвращают повреждение напольного покрытия. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию, и имеет хромированное покрытие, крестовина - из нержавеющей стали.</p>

<p>В комплект поставки входят чехлы для глажения рубашек и штанов и растяжки для манжет, воротничка и брюк.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двигатель: type Ind</li>
<li>Износостойкий чехол</li>
<li>Возможность регулирования натяжения низа рубашки</li>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения
<ul>
<li>Рубашка: 6 мин.</li>
<li>Брюки: 9 мин.</li>
</ul>
</li>
<li>Максимальное время работы: от 8 до 16 ч/сутки</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 360x500x520мм</li>
</ul>",89347,220 В,1.85 кВт,600 мм,600 мм,1600 мм,,,,0,https://entero.ru/manuals/72395/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA07.pdf;https://entero.ru/manuals/113708/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,12 кг,Италия,для верхней одежды,Да
https://cdn.entero.ru/mp@2x/1d/ed/1ded169676f44694e46708f5e150ed85.jpg,Манекен гладильный EOLO SA13,Манекен гладильный EOLO SA13,333500,RUB,Да,EOLO,Профоборудование,Прачечное,Пароманекены,https://entero.ru/item/89198,"<p>Профессиональный гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89198"">EOLO SA13</a> </b>используется в прачечных, отелях и гостевых домах для финишной обработки халатов, платьев и другой длин. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные материалы, размером от XS до XXXL. Манекен не предназначен для тяжелых курток, пиджаков и пуховиков. Модель оснащена вентилятором повышенной мощности, индикатором нагрева и подставкой на колесах. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию. </p>

<p>В комплект поставки входит удлиненный чехол для глажения халатов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двигатель: type Ind</li>
<li>Натяжение плечей, манжет, воротника и низа халата</li>
<li>Износостойкий чехол</li>
<li>Таймер, позволяющий настроить необходимое время сушки и глажения</li>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Максимальная производительность: 60 шт./смена (8 часов)</li>
<li>Время глажения 1-й рубашки: от 7 до 8 мин.</li>
<li>Максимальное время работы: от 8 до 16 ч/сутки</li>
<li>Максимальное давление: 55 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 450x450x800мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Планка прижима передней части рубашки</li>
</ul>",89198,220 В,2.1 кВт,350 мм,350 мм,1750 мм,,,,0,https://entero.ru/manuals/72078/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA11.pdf;https://entero.ru/manuals/113717/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,354787,20 кг,Италия,для верхней одежды,Да
https://cdn.entero.ru/mp@2x/0b/69/0b69a5ef1905e796ad60f4ee8dda92db.jpg,Пароманекен EOLO SA21C,Пароманекен EOLO SA21C,839500,RUB,Да,EOLO,Профоборудование,Прачечное,Пароманекены,https://entero.ru/item/89206,"<p>Автоматический пароманекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89206"">EOLO SA21C</a> </b>используется на предприятиях, в отелях, прачечных , химчистках для финишной обработки рубашек, маек и блузок. Модель оснащена электрическим вентилятором и не имеет собственного парогенератора. Для работы необходимо подключать манекен к внешнему источнику пара. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция пропаривания обрабатываемого изделия всей поверхностью манекена</li>
<li>3 режима:
<ul>
<li>Пропаривание</li>
<li>Горячий надув</li>
<li>Холодный воздушный надув</li>
</ul>
</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность пара: от 10 до 14 кг/ч</li>
<li>Давление:
<ul>
<li>Рабочее: 5 бар</li>
<li>Воздух: 115 бар</li>
</ul>
</li>
</ul>",89206,380 В,2.8 кВт,630 мм,1800 мм,1300 мм,,,,0,https://entero.ru/manuals/72096/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA21C.pdf;https://entero.ru/manuals/113730/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,883684,115 кг,Италия,для верхней одежды,
