Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Тип,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,Вес (с упаковкой),Материал,Цвет,Предмет одежды,Рукава,Размер одежды,Длина,Размер обуви
https://cdn.entero.ru/mp@2x/5c/4e/5c4ef82d5e1dd705c792b4151b2ad417.jpg,Халат Ursus ХАЛ100-030 р.46,Халат Ursus ХАЛ100-030 р.46,767,RUB,Да,,Профоборудование,Спецодежда,https://entero.ru/item/195670,"<p>Халат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/195670""><b class=""b"">Ursus ХАЛ100-030 </b></a>используется продавцами на предприятиях торговли, работниками сферы услуг и техническим персоналом гостиниц. Модель оснащена центральной застежкой на молнию, декоративным воротником и карманом, разделенным на 2 части. Изделие сшито из материала Нейлон, состоящего на 100% из полиамида.</p>

<p><em><span style=""color:#FF0000;"">Минимальная сумма заказа 25000 рублей.</span></em></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Плотность: 100 г/м<sup>2</sup></li>
<li>Цвет: васильковый</li>
</ul>",195670,женская,,,,0,,959,,,Россия,"для сферы услуг, для продавцов, для гостиниц",,нейлон,синий,халат,короткие,46,,
https://cdn.entero.ru/mp@2x/70/18/7018263277b8c2e58a0f4fd2bf0f27c1.jpg,Халат Ursus ХАЛ100-030 р.50,Халат Ursus ХАЛ100-030 р.50,767,RUB,Да,,Профоборудование,Спецодежда,https://entero.ru/item/195672,"<p>Халат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/195672""><b class=""b"">Ursus ХАЛ100-030 </b></a>используется продавцами на предприятиях торговли, работниками сферы услуг и техническим персоналом гостиниц. Модель оснащена центральной застежкой на молнию, декоративным воротником и карманом, разделенным на 2 части. Изделие сшито из материала Нейлон, состоящего на 100% из полиамида.</p>

<p><em><span style=""color:#FF0000;"">Минимальная сумма заказа 25000 рублей.</span></em></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Плотность: 100 г/м<sup>2</sup></li>
<li>Цвет: васильковый</li>
</ul>",195672,женская,,,,0,,1065,,,Россия,"для сферы услуг, для продавцов, для гостиниц",,нейлон,синий,халат,короткие,50,,
https://cdn.entero.ru/mp@2x/f0/d8/f0d8c51930821b8c84064bd09ef6d4c1.jpg,"Рубашка поварская P.L. Proff Cuisine ""Корабли"" размер XL мужская","Рубашка поварская P.L. Proff Cuisine ""Корабли"" размер XL мужская",3511,RUB,Да,,Профоборудование,Спецодежда,https://entero.ru/item/300480,"<p>Мужская рубашка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/300480""><b class=""b"">P.L. Proff Cuisine ""Корабли"" размер ХL </b></a>используется в качестве предмета поварской формы на предприятиях общественного питания и торговли. Модель с элегантным дизайном оснащена воротником-стойкой, длинными рукавами и застегивается на мелкие пуговицы. Изделие сшито из синей ткани с паттерном в виде светлых крапин.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",300480,мужская,,,,0,,4810,,,Россия,для поваров,,,синий,рубашка,длинные,XL,,
https://cdn.entero.ru/mp@2x/db/d5/dbd5605c5f52731f5414181788fd19b4.jpg,Фартук Ursus ФАР100-200 бордовый,Фартук Ursus ФАР100-200 бордовый,338,RUB,Да,,Профоборудование,Спецодежда,https://entero.ru/item/195607,"<p>Фартук <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/195607""><b class=""b"">Ursus ФАР100-200 </b></a>используется продавцами на предприятиях торговли, работниками сферы услуг и техническим персоналом гостиниц. Модель универсального размера, оснащена грудкой, карманом, разделенным строчками на части, и завязками на уровне талии. Изделие сшито из материала Нейлон, состоящего на 100% из полиамида.</p>

<p><em><span style=""color:#FF0000;"">Минимальная сумма заказа 25000 рублей.</span></em></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Плотность: 100 г/м<sup>2</sup></li>
</ul>",195607,женская,,,,0,,,,,Россия,"для сферы услуг, для продавцов, для гостиниц",,нейлон,бордовый,фартук,,,,
https://cdn.entero.ru/mp@2x/74/23/74231a4a6d3596ca49fc5487df31fa24.jpg,Фартук Ursus ФАР100-030 васильковый,Фартук Ursus ФАР100-030 васильковый,338,RUB,Да,,Профоборудование,Спецодежда,https://entero.ru/item/195610,"<p>Фартук <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/195610""><b class=""b"">Ursus ФАР100-030 </b></a>используется продавцами на предприятиях торговли, работниками сферы услуг и техническим персоналом гостиниц. Модель универсального размера, оснащена грудкой, карманом, разделенным строчками на части, и завязками на уровне талии. Изделие сшито из материала Нейлон, состоящего на 100% из полиамида.</p>

<p><em><span style=""color:#FF0000;"">Минимальная сумма заказа 25000 рублей.</span></em></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Плотность: 100 г/м<sup>2</sup></li>
</ul>",195610,женская,,,,0,,483,,,Россия,"для сферы услуг, для продавцов, для гостиниц",,нейлон,синий,фартук,,,,
https://cdn.entero.ru/mp@2x/b9/24/b924a1695854c64b4b0cdaacaf96ed64.jpg,Фартук Ursus ФАР100-001 темно-синий,Фартук Ursus ФАР100-001 темно-синий,338,RUB,Да,,Профоборудование,Спецодежда,https://entero.ru/item/195612,"<p>Фартук <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/195612""><b class=""b"">Ursus ФАР100-001 </b></a>используется продавцами на предприятиях торговли, работниками сферы услуг и техническим персоналом гостиниц. Модель универсального размера, оснащена грудкой, карманом, разделенным строчками на части, и завязками на уровне талии. Изделие сшито из материала Нейлон, состоящего на 100% из полиамида.</p>

<p><em><span style=""color:#FF0000;"">Минимальная сумма заказа 25000 рублей.</span></em></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Плотность: 100 г/м<sup>2</sup></li>
</ul>",195612,женская,,,,0,,463,,,Россия,"для сферы услуг, для продавцов, для гостиниц",,нейлон,синий,фартук,,,,
https://cdn.entero.ru/mp@2x/82/61/8261badcce61e56296cafd19b4170213.jpg;https://cdn.entero.ru/mp@2x/60/a3/60a3f50bc12d0af79e312c63e61acdcf.jpg,Бандана Клен 00800 белая,со0711 Бандана белая [00800],377,RUB,Да,,Профоборудование,Спецодежда,https://entero.ru/item/168116,"<p>Бандана <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168116""><b class=""b"">Клен 00800</b></a> используется поварами на предприятиях общественного питания и торговли. Изделие сшито из материала ТиСи, состоящего на 35% из хлопка и на 65% из полиэстера.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Плотность: 120 г/м<sup>2</sup></li>
</ul>

<p> </p>",168116,женская,,,,0,,471,,Россия,Россия,для поваров,,"хлопок, полиэстер",белый,головной убор,,,,
https://cdn.entero.ru/mp@2x/a2/33/a233771f682e86fc212c87091f85ee7c.jpg,Фартук поварской P.L. Proff Cuisine Chef 100х100 см (65% полиэстер / 35% хлопок) черный,99004011,419,RUB,Да,,Профоборудование,Спецодежда,https://entero.ru/item/301590,"<p>Фартук <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/301590""><b class=""b"">P.L. Proff Cuisine Chef 100х100 см </b></a>используется в качестве предмета поварской формы на предприятиях общественного питания и торговли. Модель оснащена поясом с завязками. Изделие сшито из черной комбинированной ткани, состоящей на 65% из полиэстера и на 35% из хлопка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина: 1000 мм</li>
</ul>",301590,универсальная,,,,0,,,,Китай,Китай,для поваров,,"хлопок, полиэстер",черный,фартук,,,100 мм,
https://cdn.entero.ru/mp@2x/fb/0f/fb0f51f53d3455a00604bb4482fa843b.jpg,Фартук поварской P.L. Proff Cuisine Chef 89х108 см (65% полиэстер / 35% хлопок) черный,Фартук поварской P.L. Proff Cuisine Chef 89х108 см (65% полиэстер / 35% хлопок) черный,473,RUB,Да,,Профоборудование,Спецодежда,https://entero.ru/item/300425,"<p>Фартук <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/300425""><b class=""b"">P.L. Proff Cuisine Chef 89х108 см </b></a>используется в качестве предмета поварской формы на предприятиях общественного питания и торговли. Модель оснащена поясом с завязками. Изделие сшито из черной комбинированной ткани, состоящей на 65% из полиэстера и на 35% из хлопка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина: 890 мм</li>
</ul>",300425,универсальная,,,,0,,577,0.287 кг,Китай,Китай,для поваров,,"полиэстер, хлопок",черный,фартук,,,108 мм,
https://cdn.entero.ru/mp@2x/73/d8/73d8fc0d82b3bc1eca788032ba7f3c9e.jpg,Фартук поварской P.L. Proff Cuisine Chef 89х108 см (65% полиэстер / 35% хлопок) бордовый,Фартук поварской P.L. Proff Cuisine Chef 89х108 см (65% полиэстер / 35% хлопок) бордовый,473,RUB,Да,,Профоборудование,Спецодежда,https://entero.ru/item/300426,"<p>Фартук <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/300426""><b class=""b"">P.L. Proff Cuisine Chef 89х108 см </b></a>используется в качестве предмета поварской формы на предприятиях общественного питания и торговли. Модель оснащена поясом с завязками. Изделие сшито из бордовой комбинированной ткани, состоящей на 65% из полиэстера и на 35% из хлопка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина: 890 мм</li>
</ul>",300426,универсальная,,,,0,,,,Китай,Китай,для поваров,,"полиэстер, хлопок",бордовый,фартук,,,108 мм,
