Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Вес,Количество мест,Размеры,Остаток,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Материал,Максимальная нагрузка,Количество перекладин,Высота подъема,Длина лестницы,Глубина ступени
https://cdn.entero.ru/mp@2x/1c/5a/1c5a4b0766c13a1d80644806625301f3.jpg;https://cdn.entero.ru/mp@2x/8e/15/8e15355c5efb6e574f65bbd9b5e969e6.jpg;https://cdn.entero.ru/mp@2x/c1/bd/c1bd8c1cdd2bca2509dee5c26e49a548.jpg;https://cdn.entero.ru/mp@2x/01/3a/013a32a034cb36e8d39c5608c7a71e39.jpg,Лестница-трансформер Мастер-инструмент МИ ПРОФИ 4х8,Лестница-трансформер Мастер-инструмент МИ ПРОФИ 4х8,20575,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233946,"<p>Лестница-трансформер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233946""><b class=""b"">Мастер-инструмент МИ ПРОФИ 4х8 </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Модель оснащена большим замком. Лестница изготовлена из алюминия, замки - из стали, заглушки - из резинопластика. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Рифленые ступеньки обеспечивают хорошее сцепление стопы с поверхностью</li>
<li>Противоскользящие заглушки для устойчивости на скользких и неровных покрытиях </li>
<li>Европейские и немецкие сертификаты соответствия </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 4</li>
<li>Количество ступеней в одной секции: 8</li>
<li>Высота в положении лестницы: 9150 мм</li>
<li>Высота в положении стремянки: 4450 мм </li>
<li>Высота в положении помост: 2380 мм </li>
<li>Габариты: 2350х250х350 мм </li>
</ul>

<p> ​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233946,раздвижная,,,,,0,21658,21 кг,,Россия,алюминий,,,,,
https://cdn.entero.ru/mp@2x/9f/eb/9feb79c24060aa275fca48caace9e499.jpg,Лестница трехсекционная Мастер-инструмент 3х10 ПРОФИ,Лестница трехсекционная Мастер-инструмент 3х10 ПРОФИ,14122,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233694,"<p>Трехсекционная лестница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233694""><b class=""b"">Мастер-инструмент 3х10 ПРОФИ </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Лестница изготовлена из алюминия. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Уникальная система трансформации</li>
<li>Возможность использования каждой секции отдельно</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 3</li>
<li>Количество ступеней в одной секции: 10</li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233694,раздвижная,2820 мм,,,,0,,14.5 кг,,Россия,алюминий,150 кг,10,от 4.51 до 6.73 м,480 мм,
https://cdn.entero.ru/mp@2x/78/ff/78ffe36e83df08ca27d92ef86d754160.jpg;https://cdn.entero.ru/mp@2x/c6/41/c641a97ec8d397dad2734271116a66f5.jpg,Лестница-стремянка телескопическая Мастер-инструмент МИ ПРОФИ 3.2м/6.4м 9 ступ.,Лестница-стремянка телескопическая Мастер-инструмент МИ ПРОФИ 3.2м/6.4м 9 ступ.,18111,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233635,"<p>Телескопическая лестница-стремянка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233635""><b class=""b"">Мастер-инструмент МИ ПРОФИ 3.2м/6.4м 9 ступ. </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Модель оснащена высокопрочными шарнирами. Лестница изготовлена из алюминия, замки - из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Ударопрочное покрытие</li>
<li>Защита от коррозии</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 2</li>
<li>Шаг ступени: 350 мм</li>
<li>Ширина основания: 480 мм </li>
<li>Высота в сложенном виде: 970 мм </li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233635,раздвижная,990 мм,25.2 кг,1,1188x624x264 мм,0,,21 кг,,Россия,алюминий,150 кг,9,220 м,520 мм,520 мм
https://cdn.entero.ru/mp@2x/6b/63/6b639616dde242545f77caa9d862f314.jpg;https://cdn.entero.ru/mp@2x/17/33/1733660bb4723f0efdc60bc861e76cfa.jpg,Лестница-стремянка телескопическая Мастер-инструмент МИ ПРОФИ 2.2м/4.4м 7 ступ.,Лестница-стремянка телескопическая Мастер-инструмент МИ ПРОФИ 2.2м/4.4м 7 ступ.,13323,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233632,"<p>Телескопическая лестница-стремянка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233632""><b class=""b"">Мастер-инструмент МИ ПРОФИ 2.2м/4.4м 7 ступ. </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Модель оснащена высокопрочными шарнирами. Лестница изготовлена из алюминия, замки - из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Ударопрочное покрытие</li>
<li>Защита от коррозии</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 2</li>
<li>Шаг ступени: 300 мм</li>
<li>Ширина основания: 480 мм </li>
<li>Высота в сложенном виде: 910 мм </li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233632,раздвижная,930 мм,16.8 кг,1,1116x624x252 мм,0,,14 кг,,Россия,алюминий,150 кг,7,210 м,520 мм,520 мм
https://cdn.entero.ru/mp@2x/2e/ba/2eba3e7897717112fe4478667d95a6b9.jpg,Стремянка Мастер-инструмент 3 ступени (краш. сталь),Сталь 3ст,2385,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/251599,"<p>Стремянка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251599""><b class=""b"">Мастер-инструмент 3 ступени </b></a>используется для подъема на необходимую высоту при выполнении строительных, ремонтных, отделочных или иных видов работ. Модель оснащена 1 рабочей секцией, расширенной верхней ступенью и дугообразной опорной рукояткой. Корпус изготовлен из стали с антикоррозийным покрытием краской красного цвета. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота в сложенном виде: 1300 мм </li>
<li>Высота верхней ступени в рабочем положении: 600 мм</li>
</ul>",251599,раскладная,420 мм,,,,0,,3 кг,Россия,Россия,сталь,150 кг,3,0.6 м,,80 мм
https://cdn.entero.ru/mp@2x/63/af/63af11e144ce8ff6ff21b2c349c64dc0.jpg,"Лестница трехсекционная Мастер-инструмент Стандарт, 6 ступеней","Лестница трехсекционная Мастер-инструмент Стандарт, 6 ступеней",8278,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233699,"<p>Трехсекционная лестница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233699""><b class=""b"">Мастер-инструмент Стандарт </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Модель оснащена перемычкой в виде ленты. Лестница изготовлена из алюминия. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность использования первой секции отдельно </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 3</li>
<li>Количество ступеней в одной секции: 6</li>
<li>Толщина профиля: 1,3 мм </li>
<li>Ширина ступени: 30 мм</li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233699,приставная,600 мм,,,,0,,8.9 кг,,Россия,алюминий,150 кг,6,от 1.74 до 3.46 м,,
https://cdn.entero.ru/mp@2x/b7/ee/b7ee0b4f77cd4bd29e77d78e92959f76.jpg;https://cdn.entero.ru/mp@2x/46/33/46331749b9839c5029fe5e7c12cf09ba.jpg;https://cdn.entero.ru/mp@2x/bb/b4/bbb4b128e1637977dfece65ffd02bda0.jpg,Лестница-стремянка телескопическая Мастер-инструмент МИ 1.6м/3.2м 5 ступ.,Лестница-стремянка телескопическая Мастер-инструмент МИ 1.6м/3.2м 5 ступ.,9675,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233624,"<p>Телескопическая лестница-стремянка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233624""><b class=""b"">Мастер-инструмент МИ 1.6м/3.2м 5 ступ. </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Модель оснащена высокопрочными шарнирами. Лестница изготовлена из алюминия, замки - из нержавеющей стали. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 2</li>
<li>Шаг ступени: 300 мм</li>
<li>Ширина основания: 480 мм </li>
<li>Высота в сложенном виде: 850 мм </li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233624,раздвижная,870 мм,,,,0,,11.2 кг,,Россия,алюминий,150 кг,5,от 1.6 до 3.2 м,520 мм,190 мм
https://cdn.entero.ru/mp@2x/65/ef/65efbb3a454f19829cdb2fd7ab3b7503.jpg,Лестница-трансформер Мастер-инструмент Стандарт 4х4,Лестница-трансформер Мастер-инструмент Стандарт 4х4,11014,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233950,"<p>Лестница-трансформер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233950""><b class=""b"">Мастер-инструмент Стандарт 4х4 </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Модель оснащена маленьким замком. Лестница изготовлена из алюминия, замки - из стали, заглушки - из резинопластика. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Рифленые ступеньки обеспечивают хорошее сцепление стопы с поверхностью</li>
<li>Противоскользящие заглушки для устойчивости на скользких и неровных покрытиях </li>
<li>Европейские и немецкие сертификаты соответствия </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 4</li>
<li>Количество ступеней в одной секции: 4</li>
<li>Высота в положении стремянки: 2350 мм </li>
<li>Высота в положении помост: 1290 мм </li>
<li>Габариты: 1220х360х270 мм </li>
</ul>

<p> ​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233950,раздвижная,,,,,0,,13 кг,,Россия,алюминий,150 кг,,4.77 м,,
https://cdn.entero.ru/mp@2x/af/cc/afcc115c115906cd8a28affc14ddeb59.jpg;https://cdn.entero.ru/mp@2x/7d/23/7d2384e40b9473e54029fdff3d13fe0c.jpg;https://cdn.entero.ru/mp@2x/3b/d4/3bd4cde8dc369451e494c2b70bd2781a.jpg,Лестница-стремянка телескопическая Мастер-инструмент МИ 1.9м/3.8м 6 ступ.,Лестница-стремянка телескопическая Мастер-инструмент МИ 1.9м/3.8м 6 ступ.,11232,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233625,"<p>Телескопическая лестница-стремянка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233625""><b class=""b"">Мастер-инструмент МИ 1.9м/3.8м 6 ступ </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Модель оснащена высокопрочными шарнирами. Лестница изготовлена из алюминия, замки - из нержавеющей стали. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 2</li>
<li>Высота в положении лестницы: 3800 мм</li>
<li>Высота в положении стремянки: 18600</li>
<li>Высота в сложенном виде: 880 мм</li>
<li>Максимальная нагрузка: 150 кгс/м2</li>
<li>Кол-во ступеней в секции: 6</li>
<li>Шаг ступени: 300 мм</li>
<li>Ширина основания: 480 мм</li>
<li>Габариты упаковки: 900х520х200 мм</li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233625,раздвижная,900 мм,15.6 кг,1,1080x624x240 мм,0,,13 кг,,Россия,алюминий,150 кг,6,200 м,3800 мм,520 мм
https://cdn.entero.ru/mp@2x/b7/61/b761ff40a8fd98e0b839761893f19e37.jpg;https://cdn.entero.ru/mp@2x/89/43/8943e473b3b17bf72eff1428108d8486.jpg,Лестница телескопическая Мастер-инструмент МИ ПРОФИ 4.8 м 14 ступеней,ТЕЛ ПРОФИ 4.8М,11769,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/251587,"<p>Телескопическая лестница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251587""><b class=""b"">Мастер-инструмент МИ ПРОФИ 4.8 м 14 ступеней </b></a>используется для подъема на необходимую высоту при выполнении строительных, ремонтных, отделочных или иных видов работ. Модель оснащена высокопрочными шарнирными замками. Корпус изготовлен из алюминия, замки – из нержавеющей стали. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота в сложенном виде: 940 мм </li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",251587,раздвижная,,,,,0,,,Россия,Россия,"алюминий, нерж. сталь",,14,4.8 м,500 мм,
