Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Объем воды,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (в упаковке)
https://cdn.entero.ru/mp@2x/52/75/527599053b23802674bb93f2e2ccd18d.jpg;https://cdn.entero.ru/mp@2x/45/0e/450ede9747277800424b4d7504b8c9cd.jpg;https://cdn.entero.ru/mp@2x/b9/d7/b9d7210f947c1687503c00d6de152067.jpg;https://cdn.entero.ru/mp@2x/f8/22/f8221eb9c4a775054d19bf16909bb998.jpg;https://cdn.entero.ru/mp@2x/1d/d5/1dd5c2e51442b42e468af75d79a8afd4.jpg,Ротационный кипятильник (термостат) Airhot SV-15,SOUSVIDE SV-15,8512,RUB,Да,Airhot,Профоборудование,Тепловое,Аппараты Sous Vide,https://entero.ru/item/149701,"<p>Термостат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/149701"">Airhot SV-15</a></b> используется на предприятиях общественного питания и торговли для обеспечения установленной температуры воды и поддержания ее в течение заданного времени при приготовления блюд по технологии Sous Vide, придавая им нежнейший вкус и сохраняя все важные микроэлементы продуктов. Модель оснащена сенсорной панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Циркуляционный насос обеспечивает постоянную температуру приготовления</li>
<li>Настройка температуры в C° и F°</li>
<li>Таймер на 99 часов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Погрешность температуры, не более: 0,1 °C</li>
</ul>",149701,погружной,15 л,от 0 до 90 °С,220 В,1.1 кВт,70 мм,115 мм,395 мм,1.4 кг,Китай,1,115x150x415 мм,0,https://entero.ru/manuals/177407/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SV-15.pdf,,,
https://cdn.entero.ru/mp@2x/a7/76/a776317c967b50d2a61190095f19a985.jpg;https://cdn.entero.ru/mp@2x/bc/de/bcde1119881b57a5f89bcaa8f82bba7c.jpg;https://cdn.entero.ru/mp@2x/4d/70/4d70a597972f712dddede4ecd31a8008.jpg;https://cdn.entero.ru/mp@2x/ec/78/ec78f8113527085dd20da5cd09f4ffe4.jpg;https://cdn.entero.ru/mp@2x/f4/20/f420f01a6f52d6454098b59cf1c41fdd.jpg;https://cdn.entero.ru/mp@2x/b6/8d/b68d0e185e23b8fc0657d1629c8e7c06.jpg;https://cdn.entero.ru/mp@2x/ad/b2/adb20d4b97389db4965764e3d8f0e8bd.jpg,Кипятильник Kocateq BM200SV ротационный погружной су-вид типа,Кипятильник Kocateq BM200SV ротационный погружной су-вид типа,18829,RUB,Да,Kocateq,Профоборудование,Тепловое,Аппараты Sous Vide,https://entero.ru/item/194213,"<p>Погружной ротационный кипятильник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194213""><b class=""b"">Kocateq BM200SV</b></a> су-вид типа используется на предприятиях общественного питания и торговли для поддержания постоянной температуры воды в произвольной емкости с ее активным перемешиванием и дальнейшего использования для приготовления чая, горячих и растворимых напитков, лапши, супов, пюре и других блюд. Модель оснащена монтажной скобой и сенсорной панелью управления с LED-дисплеем. Корпус и контактирующие с водой элементы выполнены из нержавеющей стали AISI 304, верхняя панель – из термостойкого черного пластика.</p>

<p>Гастроемкости и крышки в комплект поставки не входят.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Мощный кольцевой трубчатый электронагреватель</li>
<li>ПИД-регулятор контроля температуры</li>
<li>Автоматическое отключение при погружении выше максимального и ниже минимального уровней, отмеченных на фронтальной панели корпуса</li>
<li>Простое управление с помощью интуитивно понятной панели</li>
<li>Отображение заданной и актуальной температуры воды в градусах Цельсия и Фаренгейта, заданного и оставшегося времени приготовления на дисплее</li>
<li>Установка в емкость подходящей глубины с помощью монтажной скобы</li>
<li>Возможность использования стандартных крышек гастроемкостей при самостоятельной установке выреза под прибор</li>
<li>Класс электрозащиты: IP65 </li>
<li>Комфортная и безопасная эксплуатация</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон рабочей температуры: 0 до 90 °С</li>
<li>Точность регулировки температуры: ±0.5 °C</li>
<li>Точность датчика: ± 0,1 °С</li>
<li>Настройка таймера: от 1 мин. до 99 часов с шагом 1 мин.</li>
<li>Рекомендуемая глубина емкостей: 200 мм</li>
<li>Максимальный размер активной зоны c учетом максимального допустимого уровня воды 175 мм при продольном расположении пакетов в гастроемкости:
<ul>
<li>GN 1/1: 280х380х175 мм</li>
<li>GN 2/3: 280х210х175 мм</li>
</ul>
</li>
</ul>",194213,погружной,от 5 до 22 л,от 0 до 90 °С,220 В,2 кВт,370 мм,100 мм,160 мм,3 кг,Китай,1,390x190x130 мм,0,https://entero.ru/manuals/226693/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Koreco_Kocateq%202019_2020.pdf;https://entero.ru/manuals/345450/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20BM200SV.docx,20031,,
https://cdn.entero.ru/mp@2x/b3/8c/b38c54d1851ebc6ea442f274f949f615.jpg,Ротационный кипятильник (термостат) Sirman Softcooker XP,E5162,75054,RUB,Да,Sirman,Профоборудование,Тепловое,Аппараты Sous Vide,https://entero.ru/item/195522,"<p>Термостат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/195522"">Sirman Softcooker XP</a> </b>предназначен для приготовления широкого спектра блюд по технологии Sous Vide на предприятиях общественного питания. Модель оснащена устройством блокировки двигателя при выявлении перенапряжения и превышения температуры. Конструкция изготовлена из нержавеющей стали с классом защиты IP X3.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронная панель управления с отображением рабочей температуры</li>
<li>25 программ приготовления с возможностью отложенного старта</li>
<li>Устройство блокировки двигателя при выявлении перенапряжения и превышения температуры</li>
<li>Счетчик количества циклов и времени работы аппарата</li>
<li>Циркуляционный насос для равномерного нагрева воды</li>
<li>Ручка из нержавеющей стали для удобства переноски аппарата</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 330x455x240 мм</li>
</ul>",195522,погружной,от 50 до 80 л,от 24 до 99 °С,220 В,2 кВт,130 мм,260 мм,380 мм,4.5 кг,Италия,1,240x330x455 мм,0,https://entero.ru/manuals/419096/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sirman%20Softcooker%20XP%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/419097/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sirman%20Softcooker%20XP.pdf;https://entero.ru/manuals/227881/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/501568/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,80703,https://vk.com/video_ext.php?oid=-177656185&id=456239253&hd=2&autoplay=0,
https://cdn.entero.ru/mp@2x/89/c2/89c2af248b3ad2d9b04cd659da47385f.jpg,Ротационный кипятильник (термостат) Apach ASV2 New,378949,74301,RUB,Да,Apach,Профоборудование,Тепловое,Аппараты Sous Vide,https://entero.ru/item/207207,"<p>Ротационный кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/207207"">Apach ASV2 New</a></b> предназначен для приготовления широкого спектра блюд по технологии Sous Vide на предприятиях общественного питания и торговли. Модель оснащена дисплеем с индикацией рабочей температуры, зажимом для закрепления на емкости и циркуляционной помпой, которая обеспечивает заданную температуру по всему объему. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Новая интуитивно понятная панель управления</li>
<li>Новое программное обеспечение</li>
<li>Клавиша Display помогает отслеживать процесс приготовления и планировать время</li>
<li>Возможность задавать и переименовывать 25 программ</li>
<li>Продолжительность времени нагрева устанавливается только в предварительно запрограммированных самим пользователем программах готовки</li>
<li>Отложенный старт позволяет отложить запуск программы на время от 10 минут до 24 часов с шагом настройки 10 минут</li>
<li>Electronics care: автоматическая вентиляция в конце цикла приготовления</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 240х340х460 мм</li>
</ul>",207207,погружной,43 л,от 30 до 99 °С,220 В,2 кВт,130 мм,260 мм,380 мм,4.5 кг,Италия,1,240x340x460 мм,48,https://entero.ru/manuals/242480/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Apach%20ASV2%20New.pdf;https://entero.ru/manuals/256034/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Apach%20ASV2%20New.docx;https://entero.ru/manuals/289411/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20ASV2%20New.pdf;https://entero.ru/manuals/289412/%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%20%D0%BD%D0%B8%D0%B7%D0%BA%D0%BE%D1%82%D0%B5%D0%BC%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BF%D1%80%D0%B8%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20Sous%20Vide.pdf;https://entero.ru/manuals/372134/%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20Apach%20ASV2%20New.docx,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241107&hash=635d922b97fef612,
https://cdn.entero.ru/mp@2x/c9/ab/c9ab9e09b0c7c48ca1752996d5eeca9f.jpg;https://cdn.entero.ru/mp@2x/a5/17/a517ca76244317af06d2d8494791e9e6.jpg;https://cdn.entero.ru/mp@2x/c7/e9/c7e9ab840156f12f05d7867bae691ca5.jpg;https://cdn.entero.ru/mp@2x/9e/ad/9ead5469c26d2099f3afcaaf64ad8dbc.jpg;https://cdn.entero.ru/mp@2x/df/ca/dfcabab2160c5053bc377ff3ed9086bd.jpg;https://cdn.entero.ru/mp@2x/ef/83/ef835e86db9f5b0dffccf4871a9640a4.jpg;https://cdn.entero.ru/mp@2x/de/8f/de8fe69f7eda57a8b33ae925c1d310ab.jpg;https://cdn.entero.ru/mp@2x/36/83/3683dbcd571b66a38ea21907770cede0.jpg;https://cdn.entero.ru/mp@2x/64/92/649270b2d6823d9d22a3dc0aa5bf0577.jpg;https://cdn.entero.ru/mp@2x/2b/97/2b9758311da80c11022fe5bb62bf7b74.jpg;https://cdn.entero.ru/mp@2x/a2/97/a2978f3c0ba23765dc92e2850d276df9.jpg;https://cdn.entero.ru/mp@2x/ce/23/ce237312bf74808d3d217f63e08709a0.jpg;https://cdn.entero.ru/mp@2x/29/6f/296f0fb6ab88cbceba028dc6105cc289.jpg;https://cdn.entero.ru/mp@2x/7a/6a/7a6a08740c826081891a1283b6e5b79d.jpg,Ротационный кипятильник (термостат) InnoCook Chef,Ротационный кипятильник (термостат) InnoCook Chef,53649,RUB,Да,,Профоборудование,Тепловое,Аппараты Sous Vide,https://entero.ru/item/121612,"<p>Ротационный кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121612"">InnoCook Chef</a></b> предназначен для приготовления широкого спектра блюд по технологии Sous Vide на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления. Корпус полностью выполнен из пищевой нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Циркуляция воды при помощи мощного аэронасоса</li>
<li>Функция контроля температуры мотора</li>
<li>Защита от прегерева</li>
<li>Индикация градусов в C° или F°</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Точность температуры: 0,1 °С</li>
<li>Потенциал работы мотора: 50000 ч</li>
<li>Минимальная рабочая глубина: 100 мм</li>
<li>Длина шнура питания: 200 см</li>
</ul>",121612,погружной,70 л,от 20 до 95 °С,220 В,1.8 кВт,130 мм,260 мм,380 мм,3.5 кг,Россия,1,210x405x265 мм,0,https://entero.ru/manuals/498748/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20InnoCook%20Chef.pdf,,,
https://cdn.entero.ru/mp@2x/d9/79/d9793539c85a710ac2968fc6aa937ee9.jpg,Аппарат Sous Vide Hurakan HKN-SV40,171771,24548,RUB,Да,Hurakan,Профоборудование,Тепловое,Аппараты Sous Vide,https://entero.ru/item/93519,"<p><span class=""b"">Аппарат Sous Vide </span><b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93519"">Hurakan HKN-SV40</a></b> используется на предприятиях общественного питания и торговли для приготовления пищи в герметичных пакетах в горячей воде при невысоких температурах, что позволяет сохранить в продуктах все питательные вещества, витамины и минералы и обеспечить насыщенный вкус мяса и овощей. Модель оснащена цифровой панелью управления с ЖК-дисплеем, термостатом, таймером на 24 часа и универсальным креплением. Корпус выполнен из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем резервуара: 40 л</li>
<li>Рабочая глубина: от 115 до 175 мм</li>
<li>Шаг установки температуры: 0,1 °C</li>
</ul>",93519,погружной,40 л,от 25 до 99 °С,220 В,1.5 кВт,140 мм,60 мм,340 мм,2.47 кг,Китай,1,180x200x400 мм,96,https://entero.ru/manuals/416495/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-SV40.pdf;https://entero.ru/manuals/416496/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SV40.pdf;https://entero.ru/manuals/416497/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/485485/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/485486/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SV40.pdf,26683,,
https://cdn.entero.ru/mp@2x/24/01/24017224a25a48aac562678c1750165a.jpg;https://cdn.entero.ru/mp@2x/9d/04/9d04b09af16aa8d01f9316c51fb8e8e4.jpg;https://cdn.entero.ru/mp@2x/82/49/824952e45e794d8e5fbebf15ffd6f60e.jpg;https://cdn.entero.ru/mp@2x/99/69/99697a024bd62ffc4d10b96766d280c0.jpg,Ротационный кипятильник (термостат) Airhot SOUS-VIDE SV-30,Ротационный кипятильник (термостат) Airhot SOUS-VIDE SV-30,22595,RUB,Да,Airhot,Профоборудование,Тепловое,Аппараты Sous Vide,https://entero.ru/item/91602,"<p>Термостат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/91602""><b class=""b"">Airhot SV-30</b></a> используется на предприятиях общественного питания и торговли для приготовления блюд по технологии Sous Vide, придавая им нежнейший вкус и сохраняя все важные микроэлементы продуктов. Модель оснащена электронной панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Циркуляционный насос обеспечивает постоянную температуру приготовления</li>
<li>Настройка температуры в C° и F°</li>
<li>Таймер на 24 часа</li>
</ul>",91602,погружной,30 л,от 5 до 99 °С,220 В,1.5 кВт,140 мм,110 мм,332 мм,2.5 кг,Китай,1,185x195x420 мм,0,https://entero.ru/manuals/96230/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SV-30.pdf,24037,,
https://cdn.entero.ru/mp@2x/7e/74/7e7490e7d2d7b0e31cc78d6c302d42f5.jpg;https://cdn.entero.ru/mp@2x/3a/7f/3a7fc551d8bc176455928852e3a9a79c.jpg;https://cdn.entero.ru/mp@2x/17/4b/174bc21809ca2df949b77955f8045844.jpg;https://cdn.entero.ru/mp@2x/38/3f/383f504f1885e4a0da0f3bcaf138fc38.jpg;https://cdn.entero.ru/mp@2x/5b/75/5b759d1a85f183be3ddc9b69f46d3131.jpg,Ротационный кипятильник (термостат) Airhot SV-40,SOUSVIDE SV-40,23047,RUB,Да,Airhot,Профоборудование,Тепловое,Аппараты Sous Vide,https://entero.ru/item/149700,"<p>Термостат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/149700"">Airhot SV-40</a></b> используется на предприятиях общественного питания и торговли для обеспечения установленной температуры воды и поддержания ее в течение заданного времени при приготовления блюд по технологии Sous Vide, придавая им нежнейший вкус и сохраняя все важные микроэлементы продуктов. Модель оснащена сенсорной панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Циркуляционный насос обеспечивает постоянную температуру приготовления</li>
<li>Настройка температуры в C° и F°</li>
<li>Таймер на 99 часов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Погрешность температуры, не более: 0,1 °C</li>
</ul>",149700,погружной,40 л,от 0 до 90 °С,220 В,2 кВт,90 мм,115 мм,356 мм,2.2 кг,Китай,1,125x183x395 мм,0,https://entero.ru/manuals/177402/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SV-40.pdf,,,
https://cdn.entero.ru/mp@2x/fa/e9/fae91217d06190e4fd0b6b06649d5a8c.jpg;https://cdn.entero.ru/mp@2x/89/e9/89e98c39b4900c935e386427d9d1bd00.jpg;https://cdn.entero.ru/mp@2x/3e/88/3e885205430860f396c9b32dc90962f5.jpg;https://cdn.entero.ru/mp@2x/7d/bf/7dbf0814162dc5f3027c685c792a3946.jpg;https://cdn.entero.ru/mp@2x/90/1b/901b7f318fadc9e9c2672d1a30e89fbe.jpg;https://cdn.entero.ru/mp@2x/1b/b5/1bb51b9ff4f1748a5c4ee140d052fcae.jpg;https://cdn.entero.ru/mp@2x/2b/b2/2bb284796f5a0c922347c854fa93eff8.jpg;https://cdn.entero.ru/mp@2x/43/66/43663c3a198717fd3e5145c66a20b4b0.jpg;https://cdn.entero.ru/mp@2x/04/78/0478f4874ec929f6612d51102b3d2cf1.jpg;https://cdn.entero.ru/mp@2x/00/c4/00c4edc52cbeb145b0aabce1f3066721.jpg,Ротационный кипятильник (термостат) InnoCook Compact на 30 литров,Ротационный кипятильник (термостат) InnoCook Compact на 30 литров,44900,RUB,Да,,Профоборудование,Тепловое,Аппараты Sous Vide,https://entero.ru/item/121613,"<p>Ротационный кипятильник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121613""><b class=""b"">InnoCook Compact</b></a> предназначен для приготовления широкого спектра блюд по технологии Sous Vide на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления. Корпус полностью выполнен из пищевой нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от прегерева</li>
<li>Надежность и простота эксплуатации</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Точность температуры: 0,1 °С</li>
<li>Потенциал работы мотора: 50000 ч</li>
<li>Мин. рабочая глубина: 100 мм</li>
<li>Длина шнура питания: 200 см</li>
</ul>",121613,погружной,30 л,от 20 до 90 °С,220 В,1.3 кВт,90 мм,180 мм,290 мм,2.5 кг,Россия,1,240x385x145 мм,0,https://entero.ru/manuals/498749/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20InnoCook%20Compact.pdf,,,
https://cdn.entero.ru/mp@2x/87/36/8736b4aaf2df702112ea7c081f7cac7a.jpg;https://cdn.entero.ru/mp@2x/23/8f/238f2e7430205da7a36b68597ec04fc1.jpg,Термостат погружной Hurakan HKN-SV40E,07022138,23507,RUB,Да,Hurakan,Профоборудование,Тепловое,Аппараты Sous Vide,https://entero.ru/item/257227,"<p>Погружной термостат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/257227"">Hurakan HKN-SV40E</a></b> предназначен для приготовления широкого спектра блюд по технологии Sous Vide на предприятиях общественного питания и торговли. Модель оснащена цифровой панелью управления с ЖК-дисплеем, таймером, настройкой температуры в C°и F° и универсальным креплением. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальное время установки таймера: 99 ч 59 мин.</li>
<li>Минимальный шаг установки температуры: 0,1 °С</li>
<li>Габариты в упаковке: 130х120х400 мм</li>
</ul>",257227,погружной,от 5 до 40 л,от 25 до 90 °С,220 В,2 кВт,90 мм,115 мм,365 мм,2.5 кг,Китай,1,130x120x400 мм,236,https://entero.ru/manuals/416494/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-SV40E.pdf;https://entero.ru/manuals/412517/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/473736/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-SV40E.pdf;https://entero.ru/manuals/495290/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,24486,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241050&hash=78e35d0fa4e660cd,
