Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Количество сегментов,Вес (без упаковки),Родина бренда,Страна-производитель,Длина формы
https://cdn.entero.ru/mp@2x/7f/e1/7fe12772e68d0d1071618d4f58bc8a5a.jpg,Аппарат для корн-догов Airhot WS-1,Аппарат для корн-догов Airhot WS-1,10969,RUB,Да,Airhot,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/75133,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/75133"">Airhot WS-1</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Модель оснащена терморегулятором и электронным таймером. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Время приготовления вафель: от 2 до 3 мин.</li>
<li>Размер рабочей поверхности: 295х185 мм</li>
<li>Размер одной вафли: 140х40х15 мм</li>
</ul>",75133,220 В,1.5 кВт,335 мм,271 мм,245 мм,9 кг,1,350x385x280 мм,0,https://entero.ru/manuals/96075/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WS-1.pdf,11923,,5,8 кг,Китай,,
https://cdn.entero.ru/mp@2x/41/45/4145d69ac061fd133908a510ca6397b5.jpg,Аппарат для корн-догов Airhot WS-3,Аппарат для корн-догов Airhot WS-3,11037,RUB,Да,Airhot,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/175589,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175589"">Airhot WS-3</a></b> используется на предприятиях общественного питания и торговли для выпекания корн-догов. Каждая вафля может быть наполнена начинкой. Модель оснащена терморегулятором и таймером. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>",175589,220 В,1.55 кВт,335 мм,300 мм,245 мм,10 кг,1,380x360x280 мм,0,https://entero.ru/manuals/203906/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20WS-3.pdf,11497,,6,9 кг,Китай,Китай,
https://cdn.entero.ru/mp@2x/ab/e4/abe41b651f491f4b8e95ad6cb788c93b.jpg;https://cdn.entero.ru/mp@2x/f2/d9/f2d96cd746546f5da54d16e2a105c4a1.jpg,Аппарат для корн-догов Hurakan HKN-HCP6,Аппарат для корн-догов Hurakan HKN-HCP6,11310,RUB,Да,Hurakan,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/83139,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83139"">Hurakan HKN-HCP6</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Корпус более чем на 90% выполнен из металла (нержавеющая сталь, железо, алюминий и металлические пластины с гальваническим покрытием).</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 410х395х305 мм</li>
</ul>",83139,220 В,1.55 кВт,360 мм,330 мм,245 мм,9 кг,1,440x370x300 мм,42,https://entero.ru/manuals/414916/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-HCP6.pdf;https://entero.ru/manuals/414917/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-HCP6.pdf;https://entero.ru/manuals/414918/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-HCP6.pdf;https://entero.ru/manuals/414919/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414920/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,6,8.5 кг,Россия,,
https://cdn.entero.ru/mp@2x/1f/3c/1f3cd21d2d763540e3f399704d09ca04.jpg,Вафельница для корн-догов Airhot WS-2 CORN DOG,Вафельница для корн-догов Airhot WS-2 CORN DOG,12862,RUB,Да,Airhot,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/132398,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/132398""><b class=""b"">Airhot WS-2</b></a> используется на предприятиях общественного питания и торговли для приготовления корн-догов - фигурных вафель на палочке. При желании можно использовать различные начинки - сыр, бекон, запекать сосиски в вафле. Модель оснащена терморегулятором и электронным таймером. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время приготовления вафель: от 2 до 3 мин.</li>
<li>Размер рабочей поверхности: 321x183 мм</li>
</ul>",132398,220 В,1.6 кВт,335 мм,300 мм,245 мм,9 кг,1,440x370x300 мм,0,,,,6,8 кг,Китай,,321х183 мм
https://cdn.entero.ru/mp@2x/36/67/3667d5005e1ae2fe5d96c91c8e935959.jpg;https://cdn.entero.ru/mp@2x/cd/b8/cdb8fc31c5833179fb69504e6d5d09ff.jpg,Аппарат для корн-догов Hurakan HKN-HCP5,Аппарат для корн-догов Hurakan HKN-HCP5,10913,RUB,Да,Hurakan,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/83138,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83138"">Hurakan HKN-HCP5</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Корпус выполнен из металла, жарочные поверхности - из чугуна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество одновременно выпекаемых корн-догов: 5 </li>
</ul>",83138,220 В,1.55 кВт,360 мм,330 мм,245 мм,8.46 кг,1,355x385x290 мм,8,https://entero.ru/manuals/414921/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-HCP5.pdf;https://entero.ru/manuals/414922/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-HCP5.pdf;https://entero.ru/manuals/330724/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-HCP5.pdf;https://entero.ru/manuals/414923/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414924/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,11610,,5,7.5 кг,Россия,,
https://cdn.entero.ru/mp@2x/64/31/64317e478379a4692eb866fa249b9989.jpg;https://cdn.entero.ru/mp@2x/b0/4c/b04c097b9094f25cbdca9b40487ee8fa.jpg;https://cdn.entero.ru/mp@2x/26/d5/26d520777d949267abf2d4e7dfa2b6a7.jpg;https://cdn.entero.ru/mp@2x/8d/bf/8dbfa8b1592eaecfb2d00475e911bfdf.jpg,Аппарат для корн-догов Foodatlas EB-Q1 Eco,EB-Q1 FoodAtlas Eco,10979,RUB,Да,Foodatlas,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/87138,"<p>Аппарат для корн-догов<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/87138"">Foodatlas EB-Q1 Eco</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Модель оснащена терморегулятором. Рабочая поверхность быстро разогревается, подпекая тесто.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 0 до 300 °С</li>
<li>Размеры рабочей поверхности: 320x185 мм</li>
<li>Размеры 1 формы для изделий: 40x140 мм</li>
<li>Толщина материала корпуса: 0,8 мм</li>
<li>Габариты в упаковке: 420x350x300 мм</li>
</ul>",87138,220 В,1.5 кВт,380 мм,330 мм,270 мм,,,,0,https://entero.ru/manuals/351312/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20EB-Q1%20Eco.pdf,11680,https://vk.com/video_ext.php?oid=-177656185&id=456240566&hd=2&autoplay=0,6,10.5 кг,Китай,,
https://cdn.entero.ru/mp@2x/8f/34/8f34f8f1fb2a6ab5380db6b4fddcdaca.jpg,Аппарат для корн-догов Hualian HX-117,Аппарат для корн-догов Hualian HX-117,11456,RUB,Да,Hualian,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/289654,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/289654"">Hualian HX-117</a> </b>используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте с кукурузной мукой. Модель оснащена трубчатыми электронагревателями (ТЭНами), откидной крышкой и электромеханической панелью управления. Корпус выполнен из нержавеющей стали и алюминия, жарочные поверхности с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры</li>
<li>Таймер для настройки длительности приготовления </li>
<li>Автоматический контроль заданной температуры</li>
<li>Светодиодные индикаторы питания и нагрева</li>
<li>Съемный поддон для сбора масла и излишков теста</li>
<li>Термоизолированная рукоятка для безопасного захвата </li>
<li>Компактные габариты для удобства транспортировки</li>
<li>Эргономичный современный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Средняя длительность цикла приготовления: от 3 до 5 мин.</li>
<li>Минимальное расстояние до стены при эксплуатации: 100 мм</li>
</ul>",289654,220 В,1.55 кВт,360 мм,330 мм,245 мм,10 кг,1,405x400x305 мм,0,,,,5,9 кг,Китай,Китай,
https://cdn.entero.ru/mp@2x/1c/df/1cdf3f5f8ec4b4732ef7122429bc464a.jpg,Вафельница Airhot WBS-5 CRISPY STICKS,C1956,11810,RUB,Да,Airhot,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/115590,"<p>Аппарат для корн-догов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115590""><b class=""b"">Airhot WBS-5 </b></a>используется на предприятиях общественного питания и торговли для выпекания хрустящих вафельных палочек. Модель оснащена терморегулятором и электронным таймером. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время приготовления вафель: от 2 до 3 мин.</li>
<li>Размер рабочей поверхности: 185x185 мм</li>
</ul>",115590,220 В,1.3 кВт,260 мм,470 мм,180 мм,8 кг,1,310x520x200 мм,0,https://entero.ru/manuals/114959/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WBS-5.pdf,,,5,7 кг,Китай,Китай,
https://cdn.entero.ru/mp@2x/51/1f/511f3cb6823499a0ad7982208a61d559.jpg;https://cdn.entero.ru/mp@2x/f0/0a/f00afe9d873c7fc1691200584bd3fdc0.jpg;https://cdn.entero.ru/mp@2x/29/e5/29e594f59daada544d9b6d135bcf13c8.jpg;https://cdn.entero.ru/mp@2x/f7/7b/f77b41acb45b3952ea0c4d8c0952c4c8.jpg;https://cdn.entero.ru/mp@2x/a7/9b/a79b646f9942f661fa422a9e97fb93f6.jpg;https://cdn.entero.ru/mp@2x/b0/8d/b08d246bb2a1198fc49a275119b2f9e8.jpg,Аппарат для корн-догов Rosso HX-117,Аппарат для корн-догов Rosso HX-117,11991,RUB,Да,Rosso,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/375455,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375455"">Rosso HX-117</a></b> используется на предприятиях общественного питания и торговли для приготовления фигурных вафель на палочке с разнообразными начинками: сосиски, сыр, бекон, топпинги, фрукты и мороженое. Модель оснащена терморегулятором и электронным таймером. Корпус выполнен из нержавеющей стали, рабочая поверхность - из чугуна с антипригарным тефлоновым покрытием.</p>",375455,220 В,1.6 кВт,,,,10.5 кг,1,335x300x245 мм,0,,,,5,,Китай,Китай,
https://cdn.entero.ru/mp@2x/fd/61/fd612e950e99eaaa04e09eb7af1634ad.jpg;https://cdn.entero.ru/mp@2x/63/25/6325eb29de546f38a671256818aa35c9.jpg;https://cdn.entero.ru/mp@2x/17/1d/171d57734b3e0f3e04b6c98c385534b3.jpg;https://cdn.entero.ru/mp@2x/66/26/662647022029c6e1099fc421b577601b.jpg,Аппарат для корн-догов Crazy Pan CP-CD05,Аппарат для корн-догов Crazy Pan CP-CD05,12109,RUB,Да,,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/116666,"<p>Аппарат для корн-догов<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116666"">Crazy Pan CP-CD05</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Модель оснащена терморегулятором, 2 ТЭНами и звуковым таймером на 5 минут. Корпус выполнен из нержавеющей стали, рабочая поверхность имеет антипригарное покрытие.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300 °С</li>
<li>Габариты в упаковке: 385x360x290 мм</li>
</ul>",116666,220 В,1.55 кВт,335 мм,340 мм,455 мм,,,,0,https://entero.ru/manuals/413775/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Crazy%20Pan%20CP-CD05.docx,13020,,5,8 кг,Китай,,
