Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Видео,Вес (без упаковки),Страна-производитель,Температура фильтрации,Потребляемая мощность,Объем бака для фильтрации
https://cdn.entero.ru/mp@2x/98/11/9811ae71e344c134420fc513e7d2dbfe.jpg;https://cdn.entero.ru/mp@2x/22/a3/22a3ff0b3e07d4a7f9910663a59d46c7.jpg;https://cdn.entero.ru/mp@2x/c2/dc/c2dc7de21b5a187d446a7141d49c5d60.jpg;https://cdn.entero.ru/mp@2x/d6/91/d6919b5b7d45ce9f8ea6d74cbc12b8bc.jpg,Аппарат для фильтрации фритюрного масла Точка Роста RS 65,Аппарат для фильтрации фритюрного масла Точка Роста RS 65,230000,RUB,Да,Профоборудование,Тепловое,Аппараты для фильтрации масла,https://entero.ru/item/366467,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366467"">Точка Роста RS 65</a></b> предназначен для фильтрации фритюрного масла с целью его дальшейшего использования на предприятиях общественного питания и торговли.</p>

<p>В комплект поставки входят 60 фильтров и 2 пакетика Абсорбер RS (каждый по 180г).</p>

<p><b>Особенности:</b></p>

<ul>
<li>Экономия до 50% фритюрного масла</li>
<li>Окупаемость меньше 8 месяцев</li>
<li>Компактный размер: подходит для небольших помещений с ограниченным пространством</li>
<li>Все используемые материалы пригодны для пищевой промышленности</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Градиент фильтрации: до 5 мкм</li>
</ul>",366467,220 В,120 мм,193 мм,535 мм,11 кг,1,310x310x615 мм,0,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241118&hash=23f7f1865305bbc3,9.8 кг,Россия,от 140 до 200 °C,0.2 кВт,
https://cdn.entero.ru/mp@2x/96/53/9653f45778a40804c924d606bc53e6b2.jpg;https://cdn.entero.ru/mp@2x/1b/d0/1bd0c16c6a044352864435c703a5e0a7.jpg;https://cdn.entero.ru/mp@2x/77/47/7747d8579549a0a00115936790788b16.jpg;https://cdn.entero.ru/mp@2x/47/57/4757241888fd78a82a44844290c005e5.jpg,Аппарат для фильтрации фритюрного масла Точка Роста RS Pro 20,Аппарат для фильтрации фритюрного масла Точка Роста RS Pro 20,300000,RUB,Да,Профоборудование,Тепловое,Аппараты для фильтрации масла,https://entero.ru/item/366468,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366468"">Точка Роста RS Pro 20</a></b> предназначен для фильтрации фритюрного масла с целью его дальшейшего использования на предприятиях общественного питания и торговли.</p>

<p>В комплект поставки входят 100 фильтров, 20 пакетиков порошка для фильтрa (каждый по 180г), 3 пакетика Абсорбер RS (каждый по 180г)</p>

<p><b>Особенности:</b></p>

<ul>
<li>Экономия до 50% фритюрного масла</li>
<li>Окупаемость меньше 8 месяцев</li>
<li>Рекомендуется для помещений где используется несколько фритюрниц</li>
<li>Все используемые материалы пригодны для пищевой промышленности</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Градиент фильтрации: до 2 мкм</li>
</ul>",366468,220 В,450 мм,330 мм,350 мм,45 кг,1,550x410x420 мм,0,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241120&hash=9e6abb4e7eb146e5,42 кг,Россия,от 140 до 200 °C,0.2 кВт,20 л
https://cdn.entero.ru/mp@2x/e7/7f/e77fdbcd799af428a6717cb5c2825b27.jpg;https://cdn.entero.ru/mp@2x/4a/eb/4aeba831c4d968c5bd955b7302e8c643.jpg;https://cdn.entero.ru/mp@2x/8a/f6/8af69946b3a908f10b3b14146e07cb75.jpg;https://cdn.entero.ru/mp@2x/36/c9/36c90b18a4f61b347d3ef16a93fdb645.jpg;https://cdn.entero.ru/mp@2x/00/84/008450633f3a541ddfe9d03fdd8e3d71.jpg;https://cdn.entero.ru/mp@2x/e5/d1/e5d1250ed4ec3d80136da90c731c56d8.jpg,Аппарат для фильтрации фритюрного масла Точка Роста RS Pro 40,Аппарат для фильтрации фритюрного масла Точка Роста RS Pro 40,360000,RUB,Да,Профоборудование,Тепловое,Аппараты для фильтрации масла,https://entero.ru/item/366469,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366469"">Точка Роста RS Pro 40</a></b> предназначен для фильтрации фритюрного масла с целью его дальшейшего использования на предприятиях общественного питания и торговли.</p>

<p>В комплект поставки входят 100 фильтров, 20 пакетиков порошка для фильтрa (каждый по 180г), 3 пакетика Абсорбер RS (каждый по 180г)</p>

<p><b>Особенности:</b></p>

<ul>
<li>Экономия до 50% фритюрного масла</li>
<li>Окупаемость меньше 8 месяцев</li>
<li>Рекомендуется для помещений где используется несколько фритюрниц</li>
<li>Все используемые материалы пригодны для пищевой промышленности</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Градиент фильтрации: до 2 мкм</li>
</ul>",366469,220 В,342 мм,590 мм,350 мм,35 кг,1,710x510x405 мм,0,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241121&hash=4877a6f21961dab0,31 кг,Россия,от 140 до 200 °C,0.2 кВт,40 л
https://cdn.entero.ru/mp@2x/bd/4a/bd4a6ef2da2c833a1cf4e1561dbf46ce.jpg;https://cdn.entero.ru/mp@2x/1e/a7/1ea71ac47e7b2b340e1ad71fd1302d87.jpg;https://cdn.entero.ru/mp@2x/af/d2/afd25a77bdde33634d2558c54fca7287.jpg;https://cdn.entero.ru/mp@2x/84/7c/847c2da902b2ff9f000923e19e2c663c.jpg;https://cdn.entero.ru/mp@2x/13/f6/13f63b48699d15c9ccbbcf796111d91d.jpg;https://cdn.entero.ru/mp@2x/9e/ad/9ead8e6582a3741ee75bdf1f711d8e8a.jpg,Аппарат для фильтрации фритюрного масла Точка Роста RS Pro 58,Аппарат для фильтрации фритюрного масла Точка Роста RS Pro 58,390000,RUB,Да,Профоборудование,Тепловое,Аппараты для фильтрации масла,https://entero.ru/item/366470,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366470"">Точка Роста RS Pro 58</a></b> предназначен для фильтрации фритюрного масла с целью его дальшейшего использования на предприятиях общественного питания и торговли.</p>

<p>В комплект поставки входят 100 фильтров, 20 пакетиков порошка для фильтрa (каждый по 180г), 3 пакетика Абсорбер RS (каждый по 180г), филтр-сетка грубой очистки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Экономия до 50% фритюрного масла</li>
<li>Окупаемость меньше 8 месяцев</li>
<li>Рекомендуется для помещений где используется несколько фритюрниц больше 30 л</li>
<li>Все используемые материалы пригодны для пищевой промышленности</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Градиент фильтрации: до 2 мкм</li>
</ul>",366470,220 В,372 мм,740 мм,350 мм,,,,0,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241122&hash=e0a8de9782b1e69b,40 кг,Россия,от 140 до 200 °C,0.2 кВт,58 л
https://cdn.entero.ru/mp@2x/3b/6b/3b6b8f16f4cae4eb11697f671ef6189c.jpg,Фильтр-порошок Точка Роста для RS Pro 20/40,Фильтр-порошок Точка Роста для RS Pro 20/40,5712,RUB,Да,Профоборудование,Тепловое,Аппараты для фильтрации масла,https://entero.ru/item/366476,"<p>Фильтр-порошок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366476""><b class=""b"">Точка Роста</b></a> предназначен для очистки масла и продления долговечности фильтрующего элемента в аппаратах <a href=""https://entero.ru/item/366468"" target=""_blank"">RS Pro 20</a> и<a href=""https://entero.ru/item/366469"" target=""_blank""> RS Pro 40</a>.</p>

<p>В комплект поставки входят 48 пакетов по 180 гр. каждый.</p>",366476,,,,,,,,0,,,,,,
https://cdn.entero.ru/mp@2x/45/a0/45a05c12887940daa14136ee2e1ad283.jpg,Сменный фильтр Точка Роста для RS Pro 40/58 (100 шт.),Сменный фильтр Точка Роста для RS Pro 40/58 (100 шт.),6855,RUB,Да,Профоборудование,Тепловое,Аппараты для фильтрации масла,https://entero.ru/item/366474,"<p>Комплект сменных фильтров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366474""><b class=""b"">Точка Роста</b></a> предназначен для совместного использования с аппаратами для фильтрации фритюрного масла <a href=""https://entero.ru/item/366469"" target=""_blank"">RS Pro 40</a> и <a href=""https://entero.ru/item/366470"" target=""_blank"">RS Pro 58</a>.</p>

<p>В комплект поставки входят 100 фильтров.</p>",366474,,,,,,,,0,,,,,,
https://cdn.entero.ru/mp@2x/17/5c/175c73dce109bde6ac6ee20cf13dbce5.jpg;https://cdn.entero.ru/mp@2x/76/52/76528ba8f686d7f6739f019e0174bf92.jpg,Сменный фильтр Точка Роста для RS 65 (50 шт.),Сменный фильтр Точка Роста для RS 65 (50 шт.),6464,RUB,Да,Профоборудование,Тепловое,Аппараты для фильтрации масла,https://entero.ru/item/366471,"<p>Комплект сменных фильтров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366471""><b class=""b"">Точка Роста</b></a> предназначен для совместного использования с аппаратом для фильтрации фритюрного масла <a href=""https://entero.ru/item/366467"" target=""_blank"">RS 65</a>.</p>

<p>В комплект поставки входят 50 фильтров.</p>",366471,,,,,,,,0,,,,,,
https://cdn.entero.ru/mp@2x/60/ad/60ada8fc3951f0e94ea951a4df721148.jpg,Сменный фильтр Точка Роста для RS Pro 20 (100 шт.),Сменный фильтр Точка Роста для RS Pro 20 (100 шт.),6855,RUB,Да,Профоборудование,Тепловое,Аппараты для фильтрации масла,https://entero.ru/item/366473,"<p>Комплект сменных фильтров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366473""><b class=""b"">Точка Роста</b></a> предназначен для совместного использования с аппаратом для фильтрации фритюрного масла <a href=""https://entero.ru/item/366468"" target=""_blank"">RS Pro 20</a>.</p>

<p>В комплект поставки входят 100 фильтров.</p>",366473,,,,,,,,0,,,,,,
https://cdn.entero.ru/mp@2x/87/5d/875da56093aaf7f079dcf9177c2d526c.jpg;https://cdn.entero.ru/mp@2x/52/01/52013b031b4f446e10328b96097b5eb9.jpg;https://cdn.entero.ru/mp@2x/4f/09/4f0989e1b639d47fb744a07a8e12d873.jpg;https://cdn.entero.ru/mp@2x/8b/e2/8be24adecf6d7b44c34eee295e102bda.jpg;https://cdn.entero.ru/mp@2x/3d/4f/3d4f0e50e42917a87f1947c470245696.jpg,Сетка-фильтр грубой очистки Точка Роста для RS Pro 20/40,Сетка-фильтр грубой очистки Точка Роста для RS Pro 20/40,8627,RUB,Да,Профоборудование,Тепловое,Аппараты для фильтрации масла,https://entero.ru/item/366475,"<p>Сетка-фильтр грубой очистки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366475""><b class=""b"">Точка Роста</b></a> предназначен для совместного использования с аппаратами для фильтрации фритюрного масла <a href=""https://entero.ru/item/366468"" target=""_blank"">RS Pro 20</a> и<a href=""https://entero.ru/item/366469"" target=""_blank""> RS Pro 40</a>.</p>",366475,,,,,,,,0,,,,,,
https://cdn.entero.ru/mp@2x/c1/f8/c1f8958e17093f00e312c354aaddcb53.jpg,Костюм защитный Точка Роста термостойкий,Костюм защитный Точка Роста термостойкий,8994,RUB,Да,Профоборудование,Тепловое,Аппараты для фильтрации масла,https://entero.ru/item/366479,"<p>Защитный термостойкий костюм предназначен для совместного использования с аппаратами для фильтрации фритюрного масла <a href=""https://entero.ru/search.php?text=Точка+Роста+"" target=""_blank"">Точка Роста</a>.</p>

<p>В состав костюма входит защитная маска, термостойкий фартук и термостойкие перчатки.</p>",366479,,,,,,,,0,,,,,,
