Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Дозатор теста,Объем ванны,Емкость дозатора,Масса пончика,Расстоечный шкаф
https://cdn.entero.ru/mp@2x/b0/4b/b04b60244c26cf356bc4f75cfc853a9b.jpg;https://cdn.entero.ru/mp@2x/bb/ff/bbff7ed04207d2b506dafa9609ab3841.jpg;https://cdn.entero.ru/mp@2x/e7/f9/e7f9a65af50cd2361b97bee4fbd5a119.jpg,Аппарат пончиковый ATESY Гольфстрим-1-34-3,Аппарат пончиковый ATESY Гольфстрим-1-34-3,55514,RUB,Да,ATESY,Профоборудование,Тепловое,Аппараты пончиковые,https://entero.ru/item/248431,"<p>Пончиковый аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/248431"">ATESY Гольфстрим-1-34-3</a></b> используется на предприятиях общественного питания и торговли для формирования и приготовления в разогретом масле пончиков традиционной формы. Модель оснащена фритюрной ванной, ручным дозатором теста, блоком управления с электронагревателем и поддоном для выкладки готовых пончиков. Все части аппарата, контактирующие с продуктами питания, изготовлены из пищевой нержавеющей стали.</p>

<p>В комплект поставки входит кулинарный пинцет.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Жарка пончиков происходит в масле (фритюре) при температуре 190 °С, для чего масло заливается во фритюрную ванну и нагревается ТЭНом</li>
<li>Температура нагрева масла регулируется терморегулятором, находящимся в блоке управления нагревом</li>
<li>Фритюрная ванна имеет маркировку уровня масла (max и min) и кран для слива масла</li>
<li>Ручной дозатор формирует пончик стандартного размера и веса, который падает в разогретое масло и поджаривается до готовности с одной стороны, а после переворачивания его кулинарным пинцетом – с другой (готовность пончика определяется визуально, признаком готовности служит ярко-золотистая корочка на поверхности пончика)</li>
<li>Дозатор позволяет формировать пончики правильной формы при любой густоте теста, обеспечивает одинаковую массу формируемых пончиков, способен работать на пончиковых смесях (тип Теграл Ринго)</li>
<li>Форма дозатора облегчает натекание теста в дозирующую головку</li>
<li>Оригинальная конструкция дозатора теста разработана и запатентована компанией ATESY</li>
<li>Специальный поддон для выкладки готовых пончиков позволяет излишкам масла стекать обратно в ванну, тем самым существенно снижая расход масла</li>
<li>Специальная решетка в ванне препятствует пригоранию продукта на ТЭНе</li>
<li>Прост в эксплуатации - не требует специальной квалификации персонала</li>
<li>Съемный дозатор теста из нержавеющей стали легко разбирается и моется в посудомоечной машине</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем заливаемого фритюра: 8 л</li>
<li>Время разогрева фритюра до 190 °С: 25 мин.</li>
<li>Размеры ванны: 400х315х115 мм</li>
<li>Диаметр поршня (калибр): 34 мм</li>
</ul>",248431,от 50 до 190 °С,220 В,3.9 кВт,505 мм,770 мм,550 мм,11 кг,1,480x500x350 мм,0,https://entero.ru/manuals/306179/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%93%D0%BE%D0%BB%D1%8C%D1%84%D1%81%D1%82%D1%80%D0%B8%D0%BC-1-34-3.pdf,,,10 кг,,Россия,200 шт/час,Да,16 л,6 л,30 гр,
https://cdn.entero.ru/mp@2x/25/c1/25c14ea1e23140db5ccc111ba1a17d10.jpg;https://cdn.entero.ru/mp@2x/8a/27/8a2758062ab7f991ae2d1d2e39403a73.jpg,Пончиковый аппарат Sikom ПРФ 11/900 (D36),ПРФ-11/900,284029,RUB,Да,Sikom,Профоборудование,Тепловое,Аппараты пончиковые,https://entero.ru/item/23014,"<p>Пончиковый аппарат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/23014""><b class=""b"">Sikom ПРФ 11/900</b></a> используется на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления, делителем-дозатором и сменной плунжерой парой 36 мм. Корпус выполнен из высококачественной нержавеющей стали, делитель-дозатор - из пищевого алюминиевого сплава.</p>

<p><b class=""o"">Подднон для выгрузки пончиков в комплект поставки не входит и приобретается отдельно.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность изготовления дрожжевых и смесевых пончиков</li>
<li>Ванна с кольцевым движением фритюра</li>
<li>Автоматический переворот и выгрузка поничков</li>
<li>Формовка и отсаживание по 1 пончику в ручей</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная производительность:
<ul>
<li>Дрожжевые пончики: 350 шт./ч</li>
<li>Смесевые пончики: 400 шт./ч</li>
</ul>
</li>
<li>Время разогрева: не более 20 мин.</li>
<li>Габариты в упаковке: 1260х510х470 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Поддон для выгрузки</li>
<li>Сменные плунжерные пары разных размеров</li>
</ul>",23014,,380 В,5.15 кВт,1200 мм,550 мм,600 мм,39 кг,1,1260x510x470 мм,0,https://entero.ru/manuals/58085/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sikom%20%D0%9F%D0%A0%D0%A4%2011_900.pdf;https://entero.ru/manuals/58086/%D0%A1%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D0%BE-%D1%8D%D0%BF%D0%B8%D0%B4%D0%B5%D0%BC%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B7%D0%B0%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D0%B5.jpg;https://entero.ru/manuals/58087/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/112905/%D0%A0%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D1%8B.docx,295864,https://vk.com/video_ext.php?oid=-177656185&id=456240415&hd=2&autoplay=0;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241249&hash=3a3884bf2af73840,30 кг,,Россия,от 350 до 400 шт/час,Да,16 л,7 л,от 35 до 55 гр,
https://cdn.entero.ru/mp@2x/41/2f/412fe85867332254dad4ff1343490190.jpg,Аппарат для пончиков Hurakan HKN-ADM02E,350423,67033,RUB,Да,Hurakan,Профоборудование,Тепловое,Аппараты пончиковые,https://entero.ru/item/168688,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168688"">Hurakan HKN-ADM02E</a></b> используется на предприятиях общественного питания и торговли для приготовления пончиков. Корпус выполнен из нержавеющей стали.</p>

<p>Изделие не имеет узла переворота и выброса пончиков.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем дозатора: 4,7л</li>
<li>Диаметр пончиков: 50 / 70 / 90 мм</li>
<li>Производительность: 1 пончик/5-6 сек.</li>
<li>
<p>Габариты в упаковке: 1010x460x340 мм</p>
</li>
</ul>",168688,от 50 до 300 °С,220 В,2.5 кВт,1000 мм,550 мм,560 мм,38 кг,1,1010x460x340 мм,0,https://entero.ru/manuals/300134/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-ADM02E.pdf;https://entero.ru/manuals/300135/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-ADM02E.pdf;https://entero.ru/manuals/416503/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/300136/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,69826,,37 кг,,Китай,от 600 до 720 шт/час,Да,15 л,4.7 л,,
https://cdn.entero.ru/mp@2x/dd/46/dd46b9d8a437d4f3b4c075c32bc7e901.jpg;https://cdn.entero.ru/mp@2x/48/08/480806b729b9d4094d0246b1e800a78b.jpg,Аппарат пончиковый ATESY Гольфстрим-2-34-3,Аппарат пончиковый ATESY Гольфстрим-2-34-3,69924,RUB,Да,ATESY,Профоборудование,Тепловое,Аппараты пончиковые,https://entero.ru/item/248493,"<p>Пончиковый аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/248493"">ATESY Гольфстрим-2-34-3</a></b> используется на предприятиях общественного питания и торговли для формирования и приготовления в разогретом масле пончиков традиционной формы. Модель оснащена фритюрной ванной, ручным дозатором теста, 2 блоками управления с электронагревателями и поддоном для выкладки готовых пончиков. Все части аппарата, контактирующие с продуктами питания, изготовлены из пищевой нержавеющей стали.</p>

<p>В комплект поставки входит кулинарный пинцет.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Жарка пончиков происходит в масле (фритюре) при температуре 190 °С, для чего масло заливается во фритюрную ванну и нагревается 2 ТЭНами</li>
<li>Температура нагрева масла регулируется терморегуляторами, находящимися в блоках управления нагревом</li>
<li>Фритюрная ванна имеет маркировку уровня масла (max и min) и кран для слива масла</li>
<li>Ручной дозатор формирует пончик стандартного размера и веса, который падает в разогретое масло и поджаривается до готовности с одной стороны, а после переворачивания его кулинарным пинцетом – с другой (готовность пончика определяется визуально, признаком готовности служит ярко-золотистая корочка на поверхности пончика)</li>
<li>Дозатор позволяет формировать пончики правильной формы при любой густоте теста, обеспечивает одинаковую массу формируемых пончиков, способен работать на пончиковых смесях (тип Теграл Ринго)</li>
<li>Форма дозатора облегчает натекание теста в дозирующую головку</li>
<li>Оригинальная конструкция дозатора теста разработана и запатентована компанией ATESY</li>
<li>Специальный поддон для выкладки готовых пончиков позволяет излишкам масла стекать обратно в ванну, тем самым существенно снижая расход масла</li>
<li>Специальная решетка в ванне препятствует пригоранию продукта на ТЭНах</li>
<li>Прост в эксплуатации - не требует специальной квалификации персонала</li>
<li>Съемный дозатор теста из нержавеющей стали легко разбирается и моется в посудомоечной машине</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем заливаемого фритюра: 13 л</li>
<li>Время разогрева фритюра до 190 °С: 25 мин.</li>
<li>Размеры ванны: 600х315х115 мм</li>
<li>Диаметр поршня (калибр): 34 мм</li>
</ul>",248493,от 50 до 190 °С,220 В,7.8 кВт,970 мм,505 мм,505 мм,17.76 кг,1,1164x606x606 мм,0,https://entero.ru/manuals/306185/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%93%D0%BE%D0%BB%D1%8C%D1%84%D1%81%D1%82%D1%80%D0%B8%D0%BC-2-34-3.pdf;https://entero.ru/manuals/306186/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,72838,https://vk.com/video_ext.php?oid=-177656185&id=456240799&hd=2&autoplay=0,14.8 кг,,Россия,300 шт/час,Да,23 л,6 л,30 гр,
https://cdn.entero.ru/mp@2x/75/15/75154956b66d3e5ac42df4894c3609c8.jpg;https://cdn.entero.ru/mp@2x/9d/dd/9ddd4e18d7c8c90d9fbb85b9898bd1f6.jpg,Пончиковый аппарат Sikom ПРФ-11/240 (D36),Пончиковый аппарат Sikom ПРФ-11/240 (D36),264270,RUB,Да,Sikom,Профоборудование,Тепловое,Аппараты пончиковые,https://entero.ru/item/161553,"<p>Пончиковый аппарат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/161553""><b class=""b"">Sikom ПРФ-11/240</b></a> используется на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления, делителем-дозатором и плунжерной парой. Корпус выполнен из высококачественной нержавеющей стали, делитель-дозатор - из пищевого алюминиевого сплава.</p>

<p><b class=""o"">Поддон для выгрузки в комплект поставки не входит и приобретается отдельно.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность изготовления дрожжевых и смесевых пончиков</li>
<li>Ванна с кольцевым двиджением фритюра</li>
<li>Автоматический переворот и выгрузка пончиков</li>
<li>Формовка и отсаживание по 1 пончику в ручей</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Время разогрева: не более 25 мин.</li>
<li>Диаметр пончиков: от 80 до 85 мм</li>
<li>Максимальная производительность пончиков:
<ul>
<li>Дрожжевых: 200 шт./ч</li>
<li>Смесевых: 240 шт./ч</li>
</ul>
</li>
<li>Габариты в упаковке: 850х525х560 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Поддон для выгрузки</li>
<li>Плунжерные пары разных размеров</li>
</ul>",161553,,220 В,2.65 кВт,790 мм,550 мм,600 мм,31 кг,1,850x525x560 мм,6,https://entero.ru/manuals/344431/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sikom%20%D0%9F%D0%A0%D0%A4-11_240%20%28D36%29.pdf;https://entero.ru/manuals/475847/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sikom%20%D0%9F%D0%A0%D0%A4-11_240.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241102&hash=55f784baa624f25f;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241103&hash=6fd7ac02714240ca,27 кг,,Россия,от 200 до 240 шт/час,Да,8 л,7 л,от 35 до 55 гр,
https://cdn.entero.ru/mp@2x/4b/b9/4bb94ac282189c4ccff15335ba87353f.jpg;https://cdn.entero.ru/mp@2x/79/41/7941f33be47b245fc5530b197ba44728.jpg;https://cdn.entero.ru/mp@2x/38/2e/382e9ec4532c473c99f23de9fb965525.jpg;https://cdn.entero.ru/mp@2x/83/2d/832d36c7796d78e72a1f979ac5d93c2c.jpg;https://cdn.entero.ru/mp@2x/8a/71/8a71ca4866330f2a4fea5fd9176c6215.jpg;https://cdn.entero.ru/mp@2x/f3/66/f3664d50c15c51c27e0e8fd84a5107d0.jpg,Аппарат пончиковый KAYMAN ПА-200-34 А,Аппарат пончиковый KAYMAN ПА-200-34 А,51280,RUB,Да,KAYMAN,Профоборудование,Тепловое,Аппараты пончиковые,https://entero.ru/item/255116,"<p>Пончиковый аппарат<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/255116"">KAYMAN ПА-200-34 А</a></b> используется на предприятиях общественного питания и торговли для формирования и приготовления в разогретом масле пончиков традиционной формы. Модель состоит из фритюрной ванны, ручного дозатора, блока управления с электронагревателем и поддона для выкладки пончиков со специальными отверстиями для стекания излишков масла. Все части аппарата выполнены из пищевой нержавеющей стали AISI 430.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Кран для слива масла</li>
<li>​Терморегулятор в блоке управления </li>
<li>ТЭН для нагрева ванны</li>
<li>Специальная решетка в ванне препятствует пригоранию продукта на ТЭНе</li>
<li>Маркировка максимального и минимального уровня в ванне</li>
<li>Оригинальная конструкция дозатора, позволяющая формировать пончики правильной формы и одинаковой массы</li>
<li>Дозатор легко разбирается и моется в посудомоечной машине</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры ванны: 400x315x115</li>
<li>Объем заливаемого масла: 8 л</li>
<li>Диаметр поршня: 34 мм</li>
<li>Время разогрева масла до температуры 190 °С: 25 мин.</li>
</ul>",255116,от 50 до 190 °С,220 В,3.9 кВт,770 мм,505 мм,550 мм,11 кг,1,480x500x350 мм,0,https://entero.ru/manuals/453742/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20KAYMAN%20%D0%9F%D0%90-200-34%20%D0%90.pdf;https://entero.ru/manuals/453743/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,10 кг,,Россия,200 шт/час,Да,16 л,6 л,30 гр,
https://cdn.entero.ru/mp@2x/e9/c6/e9c60ddd7eaa9acdca506a236ddae9eb.jpg,Аппарат пончиковый Grill Master Ф3АПЭ,21604 / 109794,53990,RUB,Да,Grill Master,Профоборудование,Тепловое,Аппараты пончиковые,https://entero.ru/item/64348,"<p>Пончиковый аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/64348"">Grill Master Ф3АПЭ</a></b> используется на предприятиях общественного питания и торговли для приготовления пончиков. Модель оснащена механическим приводом, 2 боковыми съемными рабочими поверхностями для готовых продуктов, кран для слива масла, защитной сеткой в фритюрной ванне и 4 ножками. Корпус выполнен из нержавеющей стали, крышка - из жаропрочного стекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время приготовления: от 7 до 10 мин.</li>
<li>Полезный объем: 52 л</li>
<li>Размер фритюрной ванны: 650х450х175 мм</li>
<li>Размеры с открытыми площадками для продуктов: 1232х804х307 мм</li>
</ul>",64348,от 50 до 250 °С,"380 В, 220 В",5.4 кВт,800 мм,736 мм,258 мм,25 кг,1,900x836x408 мм,10,,,,,,Россия,,,от 45 до 55 л,,,
https://cdn.entero.ru/mp@2x/99/cb/99cb562a531e968debeb6d0d88b3e37d.jpg,Пончиковый аппарат Sikom ПРФ-11/300А (D36),Пончиковый аппарат Sikom ПРФ-11/300А (D36),159901,RUB,Да,Sikom,Профоборудование,Тепловое,Аппараты пончиковые,https://entero.ru/item/164013,"<p>Пончиковый аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/164013"">Sikom ПРФ-11/300А (D36)</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена автоматическим делителем-дозатором и плунжерной парой 36 мм. Корпус выполнен из высококачественной нержавеющей стали, делитель-дозатор из пищевого алюминиевого сплава. </p>

<p><b class=""o"">Поддон для выгрузки пончиков в комплект не входит и приобретается отдельно.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность приготовления дрожжевых и смесевых пончиков</li>
<li>Автоматическое дозирование</li>
<li>Ручной переворот и выгрузка готового продукта</li>
<li>Простое управление, не требующее специальных навыков</li>
<li>Компактный размер</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева: не более 20 мин.</li>
<li>Габариты в упаковке: 725x580x470 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Поддон для выгрузки</li>
<li>Сменные плунжерные пары разных размеров</li>
</ul>",164013,,380 В,5.1 кВт,1330 мм,560 мм,600 мм,26 кг,1,580x725x470 мм,0,https://entero.ru/manuals/190720/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sikom%20%D0%9F%D0%A0%D0%A4%2011_300%D0%90.pdf;https://entero.ru/manuals/475980/%D0%A1%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D0%BE-%D1%8D%D0%BF%D0%B8%D0%B4%D0%B5%D0%BC%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B7%D0%B0%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D0%B5.jpg;https://entero.ru/manuals/475981/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/475982/%D0%A0%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D1%8B.docx,,https://vk.com/video_ext.php?oid=-177656185&id=456240001&hd=2&autoplay=0;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241101&hash=cd326f59b5fb7ca1,23 кг,,Россия,300 шт/час,Да,12 л,7 л,от 35 до 55 гр,
https://cdn.entero.ru/mp@2x/85/2c/852c8ed2d1fd472a68d499038353ed25.jpg,Аппарат для чуррос Airhot SVC-3,Аппарат для чуррос Airhot SVC-3,15333,RUB,Да,Airhot,Профоборудование,Тепловое,Аппараты пончиковые,https://entero.ru/item/120707,"<p>Аппарат для чуррос​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/120707"">Airhot SVC-3</a></b> используется на предприятиях общественного питания и торговли для приготовления чуррос - традиционный испанский десерт ввиду хрустящей палочки, по вкусу напоминающий пончик. Готовое тесто закладывается сверху в бочок, затем крутится ручка для выдавливания чуррос прямо в масло фритюра. Готовый чуррос можно посыпать корицей, сахарной пудрой, макать в шоколад или джем, добавлять начинки, или посыпать солью. Модель оснащена 2 скоростями хода поршня. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 4 насадки для чуррос .</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер цилиндра: Ø 140х200 мм</li>
</ul>",120707,,,,300 мм,220 мм,508 мм,,,,0,https://entero.ru/manuals/124780/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SVC-3.pdf;https://entero.ru/manuals/149120/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,10 кг,,Китай,,Да,,3 л,,
https://cdn.entero.ru/mp@2x/f8/b3/f8b38a04cb7534535ebd1db28282f30f.jpg;https://cdn.entero.ru/mp@2x/35/13/35130cd91c0bd64b51ad7744674857d4.jpg,Аппарат для чуррос Hurakan HKN-CHR5,Аппарат для чуррос Hurakan HKN-CHR5,18615,RUB,Да,Hurakan,Профоборудование,Тепловое,Аппараты пончиковые,https://entero.ru/item/312571,"<p>Аппарат для чуррос​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/312571"">Hurakan HKN-CHR5</a></b> используется на предприятиях общественного питания и торговли для приготовления чуррос - традиционный испанский десерт ввиду хрустящей палочки, по вкусу напоминающий пончик. Готовое тесто закладывается сверху в бочок, затем крутится ручка для выдавливания чуррос прямо в масло фритюра. </p>",312571,,,,305 мм,330 мм,670 мм,12 кг,1,630x320x270 мм,10,https://entero.ru/manuals/416505/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/495301/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,20016,,12 кг,,Китай,,,,5 л,,
