Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Источник тепла,Количество жарочных поверхностей,Материал жарочной поверхности,Диаметр,Автоматическая
https://cdn.entero.ru/mp@2x/17/43/1743f1a0f0f7c67a65c53b44176c3286.jpg;https://cdn.entero.ru/mp@2x/0a/c9/0ac9735cb6714849fd91a57cd4cb1fc0.jpg;https://cdn.entero.ru/mp@2x/63/32/6332f591cbeb6bbbd7037b57d06277bd.jpg;https://cdn.entero.ru/mp@2x/ff/27/ff27eae48f0c4bda4c919539936c7898.jpg;https://cdn.entero.ru/mp@2x/2c/c3/2cc3b3d84d28df890d05e39cfce4f301.jpg,Блинница Airhot BE-1,Блинница Airhot BE-1,11870,RUB,Да,Airhot,Профоборудование,Тепловое,Блинницы,https://entero.ru/item/32403,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32403"">Airhot BE-1</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена световым индикатором нагрева и термостатом, отключающим и включающим нагревательный элемент в процессе работы. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>

<p>В комплект поставки входит тестораспределитель. Штекер питания в комплект поставки не входит и приобретается отдельно: для подключения к электропитанию необходим штекер от 25 до 32 А.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическое поддержание температурного режима</li>
<li>Легкая очистка</li>
</ul>

<p> </p>",32403,от 50 до 300 °C,3 кВт,450 мм,470 мм,230 мм,16 кг,Китай,1,520x500x260 мм,0,https://entero.ru/manuals/481836/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/491733/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20BE-1.pdf,12902,,14 кг,220 В,1,чугун,400 мм,
https://cdn.entero.ru/mp@2x/46/57/4657a91faf7e5c938520580fa2174777.jpg;https://cdn.entero.ru/mp@2x/eb/88/eb88cb61ad03c11dda076b7521a19f7e.jpg;https://cdn.entero.ru/mp@2x/fe/1f/fe1f4528563e1e0dd7cee0de003f0f19.jpg;https://cdn.entero.ru/mp@2x/f7/03/f703f665f09414d3117e20875144d757.jpg;https://cdn.entero.ru/mp@2x/53/46/5346675199d994974362893904b2893a.jpg,Блинница Airhot BE-2,Блинница Airhot BE-2,21042,RUB,Да,Airhot,Профоборудование,Тепловое,Блинницы,https://entero.ru/item/32404,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32404"">Airhot BE-2</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена световым индикатором нагрева и термостатом, отключающим и включающим нагревательный элемент в процессе работы. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>

<p>В комплект поставки входит тестораспределитель. Штекер питания в комплект поставки не входит и приобретается отдельно: для подключения к электропитанию необходим штекер от 25 до 32 А.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическое поддержание температурного режима</li>
<li>Легкая очистка</li>
</ul>

<p> </p>",32404,от 50 до 300 °C,6 кВт,860 мм,470 мм,230 мм,28 кг,Китай,1,910x520x260 мм,0,https://entero.ru/manuals/481834/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/491736/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20BE-2.pdf,22149,,26 кг,220 В,2,чугун,400 мм,
https://cdn.entero.ru/mp@2x/62/45/624561216a64109fdb5bd816dffb222a.jpg;https://cdn.entero.ru/mp@2x/63/cb/63cb952259494333796262d2ce46df55.jpg;https://cdn.entero.ru/mp@2x/fd/c6/fdc68b7bb386c7c8323ff2c15bf466aa.jpg;https://cdn.entero.ru/mp@2x/1d/13/1d13249d1f85d3bd7ab2bd9215ac1c74.jpg;https://cdn.entero.ru/mp@2x/7c/4c/7c4c77bb12b1efc8e6a8d6d96190fb69.jpg;https://cdn.entero.ru/mp@2x/59/50/5950a606e3db7b7e9abcb46979b7d9ba.jpg;https://cdn.entero.ru/mp@2x/80/a4/80a4f45e27486ebbaf6e7565266e383d.jpg;https://cdn.entero.ru/mp@2x/cb/08/cb085cb7b8be5730089420909228a939.jpg;https://cdn.entero.ru/mp@2x/7c/80/7c8034f98e05b28e8dafd3c99cf88bb9.jpg;https://cdn.entero.ru/mp@2x/1d/8a/1d8af06af5720fbb101606aebfc3ec93.jpg;https://cdn.entero.ru/mp@2x/46/3f/463f4bd79dd7f04c5143af70e828aaaa.jpg;https://cdn.entero.ru/mp@2x/c5/fb/c5fb23c08cb1d39b7c638186b21d0e53.jpg,Автомат блинный автоматический Sikom RoboCrepeMaker 200 РК-1.2.20,Автомат блинный автоматический Sikom RoboCrepeMaker 200 РК-1.2.20,406136,RUB,Да,Sikom,Профоборудование,Тепловое,Блинницы,https://entero.ru/item/235897,"<p>Автоматический блинный аппарат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/235897""><b class=""b"">Sikom РК-1.2.20</b></a> предназначен для формования, выпекания и стопирования блинных заготовок различной формы. Незаменим в качестве помощника в кафе, бистро или ресторане. </p>

<p>Тесто, используемое для традиционной жарки на сковороде не подойдет для автоматических машин СИКОМ. Нужно быть готовым к проработкам и изменению своей рецептуры. Начинать тестирование рекомендуем с рецептур из видео-роликов и Руководства по эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двухсторонняя обжарка блинов</li>
<li>Автоматическое нанаесение теста, переворачивание и стопирование</li>
<li>Автодолив теста в каретку</li>
<li>Регулировка расхода теста</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Масса блина: от 40 до 60 гр</li>
<li>Производительность: от 90 до 120 шт/час</li>
<li>Время жарки: от 30 до 40 сек</li>
<li>Время разогрева: 15 мин</li>
<li>Объем бутылки для теста: 3 л</li>
<li>Габариты аппарата без съемной емкости для теста: 985х510х265 мм</li>
<li>Размеры чугунной жарочной поверхности: 510х250 мм</li>
<li>Габариты упаковки: 755x1100x745 мм</li>
</ul>",235897,250 °C,3 кВт,610 мм,1000 мм,620 мм,,"Россия, Тайвань",,,0,https://entero.ru/manuals/451051/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Sikom%20RoboCrepeMaker%20200%20%D0%A0%D0%9A-1.2.20.pdf;https://entero.ru/manuals/451054/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sikom%20RoboCrepeMaker%20200%20%D0%A0%D0%9A-1.2.20.pdf;https://entero.ru/manuals/451055/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,427512,https://vk.com/video_ext.php?oid=-177656185&id=456240340&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239715&hd=2&autoplay=0;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241004&hash=7e2696146479b8c6,54 кг,220 В,,чугун,210 мм,Да
https://cdn.entero.ru/mp@2x/f1/ce/f1cea0077ec1c28c06851d5b2051db34.jpg,Блинница ATESY Масленица БА-2/5,"БА-2/5 ""Масленица""",64538,RUB,Да,ATESY,Профоборудование,Тепловое,Блинницы,https://entero.ru/item/20427,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/20427"">ATESY Масленица БА-2/5</a></b> используется на предприятиях общественного питания и торговли для выпекания традиционных русских блинов круглой формы. Модель оснащена 2 ручками терморегуляторов, позволяющими осуществлять регулировку температуры жарочных поверхностей. Корпус выполнен из нержавеющей стали, жарочные поверхности - из жаропрочного чугуна.</p>

<p>В комплект поставки входят деревянная лопатка для распределения теста на жарочной поверхности и лопатка для переворачивания блинов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Жарочные поверхности из термостойкого чугуна гарантируют качественное и равномерное поджаривание блинов по всей поверхности, обеспечивают высокие антипригарные свойства и устойчивость к механическим повреждениям</li>
<li>Нагрев поверхностей осуществляется ТЭНами, расположенными снизу</li>
<li>Независимая регулировка температуры жарочных поверхностей</li>
<li>Конструкция аппарата позволяет производить тщательную гигиеническую обработку всех поверхностей и узлов, контактирующих с пищевыми продуктами в процессе работы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность блинов: 60 шт./ч</li>
<li>Время приготовления блина: 2 мин.</li>
</ul>",20427,от 50 до 250 °C,5 кВт,806 мм,444 мм,220 мм,32 кг,Россия,1,470x830x260 мм,8,https://entero.ru/manuals/124915/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%9C%D0%B0%D1%81%D0%BB%D0%B5%D0%BD%D0%B8%D1%86%D0%B0%20%D0%91%D0%90-2_5.pdf;https://entero.ru/manuals/124916/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D1%8B%D0%B9%20%D1%87%D0%B5%D1%80%D1%82%D0%B5%D0%B6%20ATESY%20%D0%9C%D0%B0%D1%81%D0%BB%D0%B5%D0%BD%D0%B8%D1%86%D0%B0%20%D0%91%D0%90-2_5.pdf;https://entero.ru/manuals/124917/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%281%29.pdf;https://entero.ru/manuals/124918/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%282%29.pdf;https://entero.ru/manuals/281509/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY.pdf,70150,https://vk.com/video_ext.php?oid=-177656185&id=456240521&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239908&hd=2&autoplay=0,31 кг,220 В,2,чугун,360 мм,
https://cdn.entero.ru/mp@2x/a1/e8/a1e83f01344452301a096f990c1a3e43.jpg,"Блинница ATESY Масленица БА-1/2,5",Блинный аппарат Масленица БА-1/2.5,51981,RUB,Да,ATESY,Профоборудование,Тепловое,Блинницы,https://entero.ru/item/30402,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30402"">ATESY Масленица БА-1/2,5</a> </b>используется на предприятиях общественного питания и торговли для выпекания традиционных русских блинов круглой формы. Модель оснащена ручкой терморегулятора, позволяющей осуществлять регулировку температуры жарочной поверхности. Корпус выполнен из нержавеющей стали, жарочная поверхность - из жаропрочного чугуна.</p>

<p>В комплект поставки входят деревянная лопатка для распределения теста на жарочной поверхности и лопатка для переворачивания блинов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Жарочная поверхность из термостойкого чугуна гарантирует качественное и равномерное поджаривание блинов по всей поверхности, обеспечивает высокие антипригарные свойства и устойчивость к механическим повреждениям</li>
<li>Нагрев поверхности осуществляется ТЭНом, расположенным снизу</li>
<li>Конструкция аппарата позволяет производить тщательную гигиеническую обработку всех поверхностей и узлов, контактирующих с пищевыми продуктами в процессе работы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность блинов: 30 шт./ч</li>
<li>Время приготовления блина: 2 мин.</li>
</ul>",30402,от 50 до 250 °C,2.5 кВт,406 мм,444 мм,220 мм,18 кг,Россия,1,470x430x260 мм,0,https://entero.ru/manuals/124913/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%9C%D0%B0%D1%81%D0%BB%D0%B5%D0%BD%D0%B8%D1%86%D0%B0%20%D0%91%D0%90-1_2_5.pdf;https://entero.ru/manuals/124914/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D1%8B%D0%B9%20%D1%87%D0%B5%D1%80%D1%82%D0%B5%D0%B6%20ATESY%20%D0%9C%D0%B0%D1%81%D0%BB%D0%B5%D0%BD%D0%B8%D1%86%D0%B0%20%D0%91%D0%90-1_2_5.pdf;https://entero.ru/manuals/281514/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,55894,https://vk.com/video_ext.php?oid=-177656185&id=456240521&hd=2&autoplay=0,17 кг,220 В,1,чугун,360 мм,
https://cdn.entero.ru/mp@2x/e0/cd/e0cd051f94170dbd929a60c487bf3aad.jpg,Блинница Roller Grill CDE 400,Блинница Roller Grill CDE 400,95056,RUB,Да,Roller Grill,Профоборудование,Тепловое,Блинницы,https://entero.ru/item/32130,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32130"">Roller Grill CDE 400</a></b> предназначена не только для жарки блинов, но также для приготовления гречневых лепешек, индийских темпура, индонезийских чапати и т.д. на предприятиях общественного питания и торговли. Модель оснащена 2 терморегуляторами и независимым управлением каждой поверхности. Рабочая поверхность изготовлена из чугуна с эмалевым покрытием, которое позволяет жарить с минимальным количеством жира. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит деревянная палочка для распределения теста по поверхности.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 120 блинов в час</li>
</ul>

<p> </p>",32130,от 0 до 300 °C,7.2 кВт,860 мм,500 мм,240 мм,40.5 кг,Франция,1,540x960x260 мм,0,https://entero.ru/manuals/20556/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/304789/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roller%20Grill%20CDE%20400.pdf;https://entero.ru/manuals/461787/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Roller%20Grill.pdf,,,34 кг,380 В,2,чугун,400 мм,
https://cdn.entero.ru/mp@2x/e8/83/e8837df2ca48fa0ca985899e9d99a04c.jpg;https://cdn.entero.ru/mp@2x/d4/b9/d4b97ba9c786306be37ad00285bf73c7.jpg,Автомат блинный Imperia (La Monferrina) C1 круглая форма 195 мм (нержавеющая сталь),9276 / 65520 / C1Round52045,522350,RUB,Да,Imperia (La Monferrina),Профоборудование,Тепловое,Блинницы,https://entero.ru/item/22537,"<p>Блинный автомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/22537""><b class=""b"">La Monferrina C1</b></a> используется на предприятиях общественного питания для формования и выпекания блинов круглой формы. Модель оснащена панелью управления с цифровым дисплеем для контроля температуры барабана. Корпус и детали, контактирующие с тестом, выполнены из нержавеющей стали, барабан - из легированной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулирующий и автоматически поддерживающий температуру жарочного барабана термостат</li>
<li>Таймер, регулирующий периодичность нанесения теста на жарочный барабан</li>
<li>Жарочный барабан с защитной сеткой</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр блина: 190 мм -/+ 2 мм (в зависимости от густоты теста)</li>
<li>Производительность: 300 шт./ч</li>
<li>Объем бака для теста: 4 л</li>
</ul>",22537,,3.3 кВт,420 мм,1000 мм,490 мм,,Италия,,,0,https://entero.ru/manuals/93029/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Imperia%20%28La%20Monferrina%29%20C1.pdf;https://entero.ru/manuals/123525/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20La%20Monferrina%20C1.pdf,555691,,40 кг,220 В,1,сталь,195 мм,
https://cdn.entero.ru/mp@2x/8e/a2/8ea28474775c8aba721fb7c21ee248a6.jpg,Блинница Hurakan HKN-CDE400,Блинница Hurakan HKN-CDE400,21474,RUB,Да,Hurakan,Профоборудование,Тепловое,Блинницы,https://entero.ru/item/60549,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/60549"">Hurakan HKN-CDE400</a></b> предназначена для выпечки блинов круглой формы на предприятиях общественного питания и торговли. Модель оснащена электромеханической системой управления. Корпус выполнен из нержавеющей стали.</p>",60549,,6 кВт,880 мм,450 мм,230 мм,31.63 кг,Китай,1,930x560x310 мм,11,https://entero.ru/manuals/66017/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-CDE400.pdf;https://entero.ru/manuals/415404/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-CDE400.pdf;https://entero.ru/manuals/415405/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-CDE400.pdf;https://entero.ru/manuals/415406/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415407/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,23090,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241038&hash=7755d4c1c4fad6d3;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241065&hash=2237bda58a68434d,21.6 кг,220 В,2,чугун,400 мм,
https://cdn.entero.ru/mp@2x/00/72/007218956481a55f70939a4584eb13a0.jpg;https://cdn.entero.ru/mp@2x/45/74/4574d3aeafa578caaaee9c5b10a1db33.jpg,Блинница Roller Grill CFE 400,400 CFE,33950,RUB,Да,Roller Grill,Профоборудование,Тепловое,Блинницы,https://entero.ru/item/47552,"<p>Блинница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47552"">Roller Grill CFE 400</a> </b>предназначена не только для жарки блинов, но также для приготовления гречневых лепешек, индийских темпура, индонезийских чапати и т.д. на предприятиях общественного питания и торговли. Модель оснащена терморегулятором. Рабочая поверхность изготовлена из чугуна с эмалевым покрытием, которое позволяет жарить с минимальным количеством жира. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит деревянная палочка для распределения теста по поверхности.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 60 блинов в час</li>
</ul>",47552,от 0 до 300 °C,3.6 кВт,400 мм,400 мм,200 мм,18 кг,Франция,1,488x485x267 мм,8,https://entero.ru/manuals/20609/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/417216/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roller%20Grill%20CFE%20400.pdf;https://entero.ru/manuals/461782/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Roller%20Grill.pdf,36505,,15 кг,220 В,1,чугун,400 мм,
https://cdn.entero.ru/mp@2x/28/10/2810772253748cc18744495c02401f40.jpg,Блинница Grill Master Ф2БкрЭ 350 мм,21807,75260,RUB,Да,Grill Master,Профоборудование,Тепловое,Блинницы,https://entero.ru/item/42215,"<p>Блинница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/42215""><b class=""b"">Grill Master Ф2БкрЭ</b></a> предназначена для выпекания блинов на предприятих общественного питания и торговли. Модель оснащена 2 термостатами с улучшенной теплоизоляцией и 2 ТЭНами специальной формы для идеального нагрева поверхности. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит раскаточная палочка для распределения теста по жарочной поверхности.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Распределение тепла происходит равномерно по всей поверхности благодаря особому расположению нагревательных элементов.</li>
<li>Гладкая поверхность позволяет готовить блины с минимальным добавлением масла</li>
<li>Чугун обладает антипригарным свойством, что минимизирует возможность прилипания блинов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время приготовления: от 2 до 5 мин.</li>
</ul>

<p><b>Дополнительные опции (заказываются отдельно):</b></p>

<ul>
<li>Жарочные поверхности диаметром: 350/380 мм</li>
</ul>",42215,от 50 до 320 °C,4.3 кВт,740 мм,415 мм,140 мм,35 кг,Россия,1,800x500x250 мм,0,https://entero.ru/manuals/514775/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A42%D0%91%D0%BA%D1%80%D0%AD.docx,,,30 кг,220 В,2,чугун,350 мм,
