Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Видео,Родина бренда,Страна-производитель,Установка,Подключение,Количество зон нагрева,Размеры рабочей поверхности,Борт,Материал решеток
https://cdn.entero.ru/mp@2x/d0/e4/d0e427a41ff202becf697f7b8f1443e8.jpg,Вапо-гриль Roller Grill CES 600,Вапо-гриль Roller Grill CES 600,56212,RUB,Да,Roller Grill,Профоборудование,Тепловое,Вапо-грили,https://entero.ru/item/308267,"<p>Вапо гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/308267"">Roller Grill CES 600</a></b> предназначен для приготовления мяса, рыбы и овощей с поджаристой корочкой снаружи и мягкой текстурой внутри на предприятиях общественного питания и торговли. Благодаря косвенному нагреву от инфракрасных ТЭНов и испарению воды сохраняется мягкость и цвет продуктов. Модель оснащена механической панелью управления с терморегулятором и встроенным резервуаром для воды. Корпус и рабочая поверхность выполнены из нержавеющей стали, устойчивой к высоким температурам и интенсивной нагрузке.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Равномерная мощность нагрева</li>
<li>Сочетание принципа гриля и паровой обработки: одновременное обжаривание и увлажнение</li>
<li>2 подъемных нагревательных элемента</li>
<li>Независимое управление обеими конфорками</li>
<li>Залив воды в ручном формате</li>
<li>Поддон для воды GN 1/1</li>
<li>Эффект жарки продуктов на древесном и угольном гриле</li>
<li>Приготовление продуктов без потери сочности и объема</li>
<li>Жир стекает в емкость с водой, что уменьшает задымленность в помещении и исключает возможность возгорания жира</li>
<li>Легкая очистка решетки с помощью металлической щетки</li>
</ul>",308267,350 °С,7.8 кВт,600 мм,515 мм,420 мм,22 кг,1,550x660x510 мм,7,https://entero.ru/manuals/369434/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Roller%20Grill.pdf;https://entero.ru/manuals/496782/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roller%20Grill%20CES%20600.pdf,,Франция,Франция,настольная,380 В,2,510х310 мм,,
https://cdn.entero.ru/mp@2x/a8/f0/a8f0f22f87b08e148b199ac0d7e459cf.jpg,Вапо-гриль Apach APGEW-47P/PL,Вапо-гриль Apach APGEW-47P/PL,180890,RUB,Да,Apach,Профоборудование,Тепловое,Вапо-грили,https://entero.ru/item/250936,"<p>Водяной гриль (вапо-гриль) <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/250936"">Apach APGEW-47P/PL</a> </b>700-й серии предназначен для обжарки мяса, рыбы и овощей на предприятиях общественного питания и торговли. Модель с бортами оснащена съемным лотком для сбора остатков пищи, масла и жира и закрытой подставкой с регулируемыми по высоте ножками. Корпус, панель управления и вытяжная решетка выполнены из нержавеющей стали AISI 304, боковые и задняя панели - из нержавеющей стали AISI 430, лоток - из нержавеющей стали, рабочая поверхность – из чугуна.</p>

<p>В комплект поставки входит 2 двусторонние решетки.</p>

<p><b class=""b"">Особенности:</b></p>

<ul>
<li>Залив воды в ручном формате</li>
<li>Легкая очистка решетки с помощью металлической щетки</li>
</ul>

<p> </p>",250936,,6 кВт,400 мм,700 мм,850 мм,44 кг,1,470x800x1140 мм,11,https://entero.ru/manuals/498969/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Apach%20APGEW-47P_PL.pdf;https://entero.ru/manuals/498970/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241393&hash=f7e013464817e731;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241394&hash=d00691559fc4ac48,,Италия,напольная,380 В,1,352х475 мм,Да,чугун
https://cdn.entero.ru/mp@2x/b9/4b/b94b7d44b1f0c9c9175357ac152c69d1.jpg;https://cdn.entero.ru/mp@2x/95/74/9574da0d82fc76928dcea86ed8caf718.jpg,Вапо-гриль Vortmax WGE 74,Вапо-гриль Vortmax WGE 74,98183,RUB,Да,Vortmax,Профоборудование,Тепловое,Вапо-грили,https://entero.ru/item/335020,"<p>Вапо-гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/335020"">Vortmax WGE 74</a></b> предназначен для приготовления мяса, рыбы и овощей с поджаристой корочкой снаружи и мягкой текстурой внутри на предприятиях общественного питания и торговли. Благодаря косвенному нагреву ТЭНов и испарению воды сохраняется мягкость и цвет продуктов. Модель оснащена термостатом, трехуровневым переключателем температуры, регулируемыми по высоте ножками, ящиком для воды и клапаном слива спереди. Корпус выполнен из нержавеющей стали толщиной 15/10 мм.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Количество уровней регулировки температуры: 3</li>
<li>Сечение кабеля: 5x2 мм</li>
</ul>",335020,,3.75 кВт,400 мм,730 мм,280 мм,52 кг,1,420x800x530 мм,0,https://entero.ru/manuals/496765/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vortmax%20WGE%2074.pdf,,,Китай,настольная,"газ, 380 В",1,,,
https://cdn.entero.ru/mp@2x/c5/35/c535b79c82add29ba5917a7513119b14.jpg,Вапо-гриль Tatra TWG.47,Вапо-гриль Tatra TWG.47,144202,RUB,Да,Tatra,Профоборудование,Тепловое,Вапо-грили,https://entero.ru/item/333455,"<p>Водяной гриль (вапо-гриль) <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/333455""><b class=""b"">Tatra TWG.47</b></a> предназначен для жарки мяса, птицы, рыбы, овощей и быстрого разогрева полуфабрикатов на предприятиях общественного питания и торговли. Модель оснащена съемным контейнером для воды, расположенным под решеткой. Корпус выполнен из нержавеющей стали, жарочная решетка - из нержавеющей стали AISI 304, устойчивой к высоким температурам и интенсивной нагрузке.</p>

<p><b>Особенности:</b></p>

<ul>
<li>12 уровней мощности нагрева</li>
<li>Подъемная решетка с фиксацией в поднятом положении для удобства очистки</li>
<li>Залив и слив воды вручную</li>
<li>Более деликатное приготовление продуктов за счет испаряющейся воды</li>
<li>Может использоваться как самостоятельно, так и в составе технологической линии</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина столешницы: 2 мм</li>
</ul>",333455,,3.75 кВт,400 мм,760 мм,415 мм,31 кг,1,500x900x600 мм,0,https://entero.ru/manuals/417556/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Tatra%20TWG.47.pdf;https://entero.ru/manuals/417557/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tatra%20TWG.47.pdf;https://entero.ru/manuals/418428/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/417559/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202024-2025.pdf;https://entero.ru/manuals/474100/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Tatra%20TWG.47.pdf;https://entero.ru/manuals/509701/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,Турция,настольная,380 В,1,266х415 мм,Да,нерж. сталь
https://cdn.entero.ru/mp@2x/6a/db/6adbf43bb18e85d8aea45922b69a33b2.jpg,Вапо-гриль Apach APGEW-87P/PL,Вапо-гриль Apach APGEW-87P/PL,289630,RUB,Да,Apach,Профоборудование,Тепловое,Вапо-грили,https://entero.ru/item/250937,"<p>Вапо-гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/250937"">Apach APGEW-87P/PL</a></b> 700-й серии предназначен для приготовления мяса, рыбы и овощей с поджаристой корочкой снаружи и мягкой текстурой внутри на предприятиях общественного питания и торговли. Благодаря косвенному нагреву от инфракрасных ТЭНов и испарению воды сохраняется мягкость и цвет продуктов. Модель с бортами оснащена съемными лотками для сбора остатков пищи, масла и жира и закрытой подставкой с регулируемыми по высоте ножками. Корпус, панель управления и вытяжная решетка выполнены из нержавеющей стали AISI 304, боковые и задняя панели - из нержавеющей стали AISI 430, лотки - из нержавеющей стали, рабочая поверхность – из чугуна.</p>

<p>В комплект поставки входят 4 двусторонние решетки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Панель управления механическая</li>
<li>Подключения к холодной воде и канализации</li>
<li>Система автоматического контроля над водой</li>
<li>Равномерная мощность нагрева</li>
<li>Сочетание принципа гриля и паровой обработки: одновременное обжаривание и увлажнение</li>
<li>Приготовление продуктов без потери сочности и объема</li>
<li>Жир стекает в емкость с водой, что уменьшает задымленность в помещении и исключает возможность возгорания жира</li>
<li>Легкая очистка решетки </li>
</ul>",250937,от 0 до 300 °С,12 кВт,800 мм,700 мм,850 мм,80 кг,1,900x800x1130 мм,0,https://entero.ru/manuals/497190/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Apach%20APGEW-87P_PL.pdf,,,Италия,напольная,380 В,2,704х475 мм,Да,чугун
https://cdn.entero.ru/mp@2x/7f/9a/7f9aef27ea99268ea60fd1ffad1e3c2d.jpg,Вапо-гриль Fagor B-E705U I (вапо),Вапо-гриль Fagor B-E705U I (вапо),154407,RUB,Да,Fagor,Профоборудование,Тепловое,Вапо-грили,https://entero.ru/item/210301,"<p>Вапо-гриль <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210301""><b class=""b"">Fagor B-E705U I</b></a> предназначен для приготовления мяса, рыбы и овощей с поджаристой корочкой снаружи и мягкой текстурой внутри на предприятиях общественного питания и торговли. Благодаря косвенному нагреву ТЭНов и испарению воды сохраняется мягкость и цвет продуктов. Модель оснащена термостатом, ящиком для воды и регулируемыми по высоте ножками. Изделие выполнено из нержавеющей стали толщиной 1,5 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>9 элементов с равномерной системой нагрева</li>
<li>Поддон для сбора жира и сока</li>
<li>Легкая система очистки</li>
<li>Световые индикаторы нагрева</li>
</ul>",210301,от 0 до 400 °С,4.08 кВт,400 мм,730 мм,850 мм,69 кг,1,440x822x1075 мм,0,,,,Испания,напольная,380 В,1,270х430 мм,Да,нерж. сталь
https://cdn.entero.ru/mp@2x/2f/66/2f66be0e33c2281ffed3c25122b385c3.jpg,Вапо-гриль VEROTERM VT7GDE05VV,Вапо-гриль VEROTERM VT7GDE05VV,172611,RUB,Да,VEROTERM,Профоборудование,Тепловое,Вапо-грили,https://entero.ru/item/377300,"<p>Напольный электрический водяной гриль (вапо-гриль) <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/377300""><b class=""b"">VEROTERM VT7GDE05VV </b></a>предназначен для приготовления мяса, рыбы и овощей с поджаристой корочкой снаружи и мягкой текстурой внутри на предприятиях общественного питания и торговли. Благодаря косвенному нагреву от инфракрасных ТЭНов и испарению воды сохраняется мягкость и цвет продуктов. Модель оснащена механической панелью управления, полузакрытым стендом без двери и регулируемыми по высоте ножками. Корпус выполнен из нержавеющей стали AISI 304, нагревательные элементы и ножки - из нержавеющей стали.</p>

<p>В комплект поставки входит съемная гастроемкость GN 1/1 для воды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Предохранительный термостат с автоматическим сбросом: для защиты нагревательных элементов</li>
<li>Регулятор энергопотребления</li>
<li>Экономия электроэнергии</li>
<li>Быстая и легкая очистка</li>
<li>Возможность мыть поддон в посудомоечной машине</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время нагрева до 250°C: 5 мин.</li>
<li>Максимальтная рабочая температура: 400°C</li>
</ul>",377300,,4.1 кВт,400 мм,700 мм,850 мм,33 кг,1,510x810x1080 мм,0,https://entero.ru/manuals/518869/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VEROTERM%20VT7GDE05VV.pdf,,Италия,,напольная,380 В,,,,
https://cdn.entero.ru/mp@2x/d1/8d/d18df8a4c9a6fc905d97e7eea56b59af.jpg,Вапо-гриль Apach Cook Line APGEW-49P/PL,Вапо-гриль Apach Cook Line APGEW-49P/PL,204831,RUB,Да,Apach,Профоборудование,Тепловое,Вапо-грили,https://entero.ru/item/370578,"<p>Вапо-гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/370578"">Apach Cook Line APGEW-49P/PL</a></b> используется на предприятиях общественного питания и торговли для обжарки мяса, рыбы и овощей, благодаря испаряющейся влаге из расположенного под нагревательными элементами резервуара для воды происходит более деликатное приготовление продукта. Модель оснащена закрытым стендом и электромеханической панелью управления. Фронтальная панель корпуса, столешница и вытяжная решетка выполнены из нержавеющей стали марки AISI 304, боковые и задняя панели – из нержавеющей стали марки AISI 430, жарочные решетки – из чугуна.</p>

<p>В комплект поставки входят 2 двухсторонние жарочные решетки</p>

<p><b>Особенности:</b></p>

<ul>
<li>Включение, выключение и регулировка мощности нагрева с помощью термостата с поворотным переключателем</li>
<li>Светодиодные индикаторы питания и нагрева</li>
<li>Выдвижной резервуар для воды</li>
<li>Лоток для сбора остатков пищи, масла и жира</li>
<li>Задний и боковые борты для защиты от брызг</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Эксплуатация в качестве самостоятельного прибора или в составе тепловой линии 900</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали корпуса: 1 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера. Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",370578,от 80 до 230 °С,7 кВт,400 мм,900 мм,850 мм,55 кг,1,490x990x1140 мм,0,https://entero.ru/manuals/494474/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach%20Cook%20Line.pdf;https://entero.ru/manuals/494482/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20Apach%20Cook%20Line.pdf,,,Италия,напольная,380 В,1,640х370 мм,Да,чугун
https://cdn.entero.ru/mp@2x/b2/63/b26307e63528b27418303bcae5fd47e4.jpg,Вапо-гриль Tatra TWG.87,Вапо-гриль Tatra TWG.87,206780,RUB,Да,Tatra,Профоборудование,Тепловое,Вапо-грили,https://entero.ru/item/333454,"<p>Водяной гриль <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/333454""><b class=""b"">Tatra TWG.87</b></a> предназначен для жарки мяса, птицы, рыбы, овощей и быстрого разогрева полуфабрикатов на предприятиях общественного питания и торговли. Модель оснащена съемным контейнером для воды, расположенным под решеткой. Корпус выполнен из нержавеющей стали, жарочная решетка - из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>12 уровней мощности нагрева</li>
<li>Подъемная решетка с фиксацией в поднятом положении для удобства очистки</li>
<li>Залив и слив воды вручную</li>
<li>Более деликатное приготовление продуктов за счет испаряющейся воды</li>
<li>Может использоваться как самостоятельно, так и в составе технологической линии</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер решетки: 634х415 мм</li>
<li>Толщина столешницы: 2 мм</li>
<li>Габариты в упаковке: 900х900х600 мм</li>
</ul>",333454,,8.75 кВт,800 мм,760 мм,415 мм,45 кг,1,900x900x600 мм,0,https://entero.ru/manuals/417560/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Tatra%20TWG.87.pdf;https://entero.ru/manuals/417561/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tatra%20TWG.87.pdf;https://entero.ru/manuals/418426/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/417563/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202024-2025.pdf;https://entero.ru/manuals/474099/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Tatra%20TWG.87.pdf;https://entero.ru/manuals/509694/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,Турция,настольная,380 В,2,634х415 мм,Да,нерж. сталь
https://cdn.entero.ru/mp@2x/3d/b2/3db26d4fe89cc224db610374b416dc49.jpg,Вапо-гриль Tatra TWG 2735,Вапо-гриль Tatra TWG 2735,89832,RUB,Нет,Tatra,Профоборудование,Тепловое,Вапо-грили,https://entero.ru/item/265173,"<p>Водяной гриль (вапо-гриль) <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265173""><b class=""b"">Tatra​ TWG 2735</b></a> предназначен для приготовления мяса, рыбы и овощей с поджаристой корочкой снаружи и мягкой текстурой внутри на предприятиях общественного питания и торговли. Благодаря косвенному нагреву от инфракрасных ТЭНов и испарению воды сохраняется мягкость и цвет продуктов. Модель оснащена механической панелью управления с терморегулятором и встроенным резервуаром для воды. Корпус и рабочая поверхность выполнены из нержавеющей стали, устойчивой к высоким температурам и интенсивной нагрузке. </p>

<p><b>Особенности:</b></p>

<ul>
<li>7 уровней мощности нагрева</li>
<li>Залив воды вручную </li>
<li>Емкость с водой расположена под решеткой </li>
<li>Класс защиты: IPX4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренняя влажность: от 70 до 85%</li>
</ul>",265173,,2.7 кВт,400 мм,600 мм,445 мм,36 кг,1,500x690x575 мм,0,https://entero.ru/manuals/418417/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Tatra%20TWG%202735.pdf;https://entero.ru/manuals/328385/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tatra%20TWG%202735.pdf;https://entero.ru/manuals/418419/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/418420/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202024-2025.pdf;https://entero.ru/manuals/473844/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Tatra%20TWG%202735.pdf;https://entero.ru/manuals/509702/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,https://vk.com/video_ext.php?oid=-177656185&id=456239785&hd=2&autoplay=0,,Турция,настольная,220 В,1,270х345 мм мм,,нерж. сталь
