Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Вес (с упаковкой),Количество рабочих секций,Количество сегментов для вафель,Тип вафель
https://cdn.entero.ru/mp@2x/35/b6/35b68c827f0f2adaccfc0c184b99b386.jpg;https://cdn.entero.ru/mp@2x/f3/fa/f3fa0607ba0375cc37a00a7d913aaa9a.jpg;https://cdn.entero.ru/mp@2x/3c/90/3c90fb9594ee02359cb5ece68396776a.jpg;https://cdn.entero.ru/mp@2x/df/63/df630cf4c397c8c59bcca5e9a312d2df.jpg;https://cdn.entero.ru/mp@2x/54/7d/547d2cedbb92f8d462dc261243353e4d.jpg;https://cdn.entero.ru/mp@2x/ca/52/ca52f5e4c480a61bca429b7de6f22c2b.jpg,Вафельница Hurakan HKN-GES2M,Вафельница Hurakan HKN-GES2M,10817,RUB,Да,Hurakan,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/73485,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73485"">Hurakan HKN-GES2M</a></b> используется на предприятиях общественного питания и торговли для приготовления бельгийских вафель квадратной формы. Модель оснащена регулируемым термостатом. Корпус выполнен из нержавеющей стали, рабочая поверхность - из чугуна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер вафли: 4х4 ячейки</li>
<li>Габариты в упаковке: 350х450х300 мм</li>
</ul>",73485,220 В,1.15 кВт,300 мм,380 мм,250 мм,7.9 кг,Китай,1,390x340x280 мм,26,https://entero.ru/manuals/65865/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-GES2M.docx;https://entero.ru/manuals/412637/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GES2M.pdf;https://entero.ru/manuals/412638/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GES2M.pdf;https://entero.ru/manuals/412700/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412639/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241040&hash=063a2506b58c13a8,7.84 кг,,,1,4,"квадратные, бельгийские"
https://cdn.entero.ru/mp@2x/af/92/af92772f41f2456108d82c710b397949.jpg;https://cdn.entero.ru/mp@2x/5e/44/5e44f6559654fa34ec4ff98899b3b62e.jpg;https://cdn.entero.ru/mp@2x/6d/e7/6de760985b1f755e11cb264270141bfc.jpg;https://cdn.entero.ru/mp@2x/6e/c4/6ec4682e413c2f06251fba86dbebf9bf.jpg;https://cdn.entero.ru/mp@2x/73/32/7332fc925b86b77ce0691e94372dd113.jpg;https://cdn.entero.ru/mp@2x/4f/f6/4ff65f33ff0d24dba7ae0ffb204707f9.jpg;https://cdn.entero.ru/mp@2x/74/37/74370018c4bc193c8be75e4fc2c3d785.jpg;https://cdn.entero.ru/mp@2x/40/15/401527795755f10375276e3d3bd2912b.jpg;https://cdn.entero.ru/mp@2x/c1/0a/c10ac56bfdb3552485d53fbe7976a8d3.jpg;https://cdn.entero.ru/mp@2x/92/24/9224f82f5e81770d8a56e9148bb4987f.jpg;https://cdn.entero.ru/mp@2x/60/3a/603ad7024e744f5e72704805a96a43db.jpg;https://cdn.entero.ru/mp@2x/38/9b/389bf034ee6a36c222964e0c3025b8a6.jpg;https://cdn.entero.ru/mp@2x/cd/cb/cdcb4c827fdd427ae5fd720782f8d221.jpg;https://cdn.entero.ru/mp@2x/b3/ba/b3ba77a58ef5d5085a0552e1a1d9bcbb.jpg;https://cdn.entero.ru/mp@2x/b0/cd/b0cd944a993db0cd24870da80c02ed2c.jpg;https://cdn.entero.ru/mp@2x/14/4b/144b81a496157549b4049a1fbd68c870.jpg,Вафельница VIATTO VA-WM4D,Вафельница VIATTO VA-WM4D,7257,RUB,Да,VIATTO,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/197142,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/197142"">VIATTO VA-WM4D</a> </b>предназначена для приготовления мягких бельгийских вафель на предприятиях общественного питания и торговли. Модель оснащена электронной панелью управления с дисплеем. Корпус выполнен из пластика с отделкой из нержавеющей стали, рабочая поверхность - из алюминия с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>4 программы: бельгийские, шоколадные, классические и пахтовые вафли</li>
<li>Пользовательский режим</li>
<li>7 степеней прожарки</li>
<li>Возможность выбора текстуры:
<ul>
<li>Хрустящая корочка и влажная серцевина</li>
<li>Однородная структура</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 160 до 210 °С</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель с 1 рабочей секцией.</span></em></p>",197142,220 В,1.6 кВт,351 мм,189 мм,322 мм,5.2 кг,Китай,1,195x355x315 мм,0,https://entero.ru/manuals/398371/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-WM4D.pdf;https://entero.ru/manuals/398372/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-WM4D.pdf;https://entero.ru/manuals/398373/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20VIATTO%20VA-WM4D.pdf,9807,,4.4 кг,,,1,2,бельгийские
https://cdn.entero.ru/mp@2x/04/8c/048c6c43eca79e3cf5bc1dbe5c7ae3ed.jpg,Вафельница для UFO-бургеров Hurakan HKN-GES15,Вафельница для UFO-бургеров Hurakan HKN-GES15,14267,RUB,Да,Hurakan,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/315290,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315290"">Hurakan HKN-GES15</a></b> используется на предприятиях общественного питания и торговли для приготовления корейских UFO-бургеров в форме НЛО. Корпус выполнен из нержавеющей стали, рабочая поверхность - из литого алюминия с анипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300°C</li>
<li>Диаметр бургера: 100 мм</li>
</ul>",315290,220 В,1.3 кВт,250 мм,450 мм,300 мм,8.5 кг,Китай,1,510x310x370 мм,107,https://entero.ru/manuals/412682/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412683/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/446051/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GES15.pdf;https://entero.ru/manuals/483265/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-GES15.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241226&hash=2b01627b6202210c;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241040&hash=063a2506b58c13a8;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241311&hash=3494caa3d048fc05,7 кг,,,1,1,нло-бургеры
https://cdn.entero.ru/mp@2x/6b/27/6b27f6a93c225f65849361bedf8c2568.jpg,Вафельница GASTRORAG ZU-HF-1E,Вафельница GASTRORAG ZU-HF-1E,11709,RUB,Да,GASTRORAG,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/83349,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83349"">GASTRORAG ZU-HF-1E</a></b> используется на предприятиях общественного питания и торговли для выпекания прямоугольных бельгийских и венских вафель. Модель оснащена термостатом, поверхностью с антипригарным покрытием и таймером. Корпус выполнен из нержавеющей стали, пресс-форма - из чугуна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300 °С</li>
</ul>",83349,220 В,1.2 кВт,250 мм,430 мм,290 мм,,Китай,,,0,https://entero.ru/manuals/58148/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20GASTRORAG%20ZU-HF-1E.pdf;https://entero.ru/manuals/116587/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20GASTRORAG.pdf,,,11.6 кг,,,1,4,"бельгийские, венские, прямоугольные"
https://cdn.entero.ru/mp@2x/ec/65/ec6594117c524c5acc4a1239aa1f1721.jpg,Вафельница Airhot WE-1B BELGIAN,WE-1B,10661,RUB,Да,Airhot,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/42125,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/42125""><b class=""b"">Airhot WE-1B </b></a>используется на предприятиях общественного питания и торговли для выпекания бельгийских вафель. Модель оснащена терморегулятором и электронным таймером. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время приготовления вафель: от 2 до 3 мин.</li>
<li>Размер рабочей поверхности: 185х185 мм</li>
<li>Толщина вафли: 12 мм</li>
</ul>",42125,220 В,1 кВт,382 мм,305 мм,233 мм,8 кг,Китай,1,420x340x260 мм,0,https://entero.ru/manuals/96094/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20WE-1B.pdf;https://entero.ru/manuals/96093/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WE-1B.pdf,,,7.2 кг,,,1,4,"бельгийские, квадратные"
https://cdn.entero.ru/mp@2x/36/a4/36a4e941503c7382ee5ba5739e234867.jpg,Вафельница Hurakan HKN-GES2L,Вафельница Hurakan HKN-GES2L,12454,RUB,Да,Hurakan,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/105663,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105663"">Hurakan HKN-GES2L</a></b> используется на предприятиях общественного питания и торговли для приготовления бельгийских вафель прямоугольной формы. Модель оснащена регулируемым термостатом. Корпус выполнен из нержавеющей стали, рабочая поверхность - из чугуна с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Температурный режим: от 50 до 300 °C</li>
<li>Размер вафли: 160х100 мм</li>
</ul>",105663,220 В,1.8 кВт,382 мм,305 мм,233 мм,9.67 кг,Китай,1,400x350x260 мм,11,https://entero.ru/manuals/95803/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-GES2L.docx;https://entero.ru/manuals/412646/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GES2L.pdf;https://entero.ru/manuals/412647/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GES2L.pdf;https://entero.ru/manuals/412699/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412648/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241040&hash=063a2506b58c13a8,8.9 кг,,,1,2,"бельгийские, прямоугольные"
https://cdn.entero.ru/mp@2x/44/b5/44b5213592c7cbee017fe593c27482d7.jpg;https://cdn.entero.ru/mp@2x/52/99/529956881307f6dcfbd2eb5999b15c34.jpg,Вафельница Hurakan HKN-GED2M,Вафельница Hurakan HKN-GED2M,21205,RUB,Да,Hurakan,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/73483,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73483"">Hurakan HKN-GED2M</a></b> используется на предприятиях общественного питания и торговли для приготовления бельгийских вафель квадратной формы. Модель оснащена регулируемыми термостатами. Корпус выполнен из нержавеющей стали, рабочая поверхность - из чугуна.</p>",73483,220 В,3.2 кВт,630 мм,380 мм,250 мм,20.5 кг,Китай,1,540x440x260 мм,35,https://entero.ru/manuals/65864/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-GED2M.docx;https://entero.ru/manuals/412670/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GED2M.pdf;https://entero.ru/manuals/412671/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GED2M.pdf;https://entero.ru/manuals/412688/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412672/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,22089,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241040&hash=063a2506b58c13a8,14.53 кг,,,2,8,"бельгийские, квадратные"
https://cdn.entero.ru/mp@2x/e8/32/e832e039e4b4d04f9e5f193d5c39650b.jpg,Вафельница Hurakan HKN-GES1M,Вафельница Hurakan HKN-GES1M,7214,RUB,Да,Hurakan,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/73484,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73484"">Hurakan HKN-GES1M</a></b> используется на предприятиях общественного питания и торговли для приготовления бельгийских вафель в форме сегментов 1/4 круга. Модель оснащена регулируемым термостатом. Корпус выполнен из нержавеющей стали, рабочая поверхность - из чугуна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300 °C</li>
</ul>",73484,220 В,1 кВт,250 мм,360 мм,270 мм,6.17 кг,Китай,1,410x300x300 мм,24,https://entero.ru/manuals/43165/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-GES1M.docx;https://entero.ru/manuals/412627/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GES1M.pdf;https://entero.ru/manuals/412629/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GES1M.pdf;https://entero.ru/manuals/412695/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412628/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241040&hash=063a2506b58c13a8,5.4 кг,,,1,4,"бельгийские, круглые сегментные"
https://cdn.entero.ru/mp@2x/11/5f/115fe0457aa79732fa35c016b9e89f7d.jpg;https://cdn.entero.ru/mp@2x/99/71/99713d33d847a5326e09803d49e60c9a.jpg;https://cdn.entero.ru/mp@2x/22/5c/225cd3aa06786ba99ac4b135d9849864.jpg;https://cdn.entero.ru/mp@2x/8b/38/8b381d78be91f5c0b8ae22d973e715ef.jpg;https://cdn.entero.ru/mp@2x/d8/1d/d81ded433ccb417450e6afee52891a72.jpg;https://cdn.entero.ru/mp@2x/0f/8d/0f8dc2cfe0d822a932fd41a96f736e34.jpg,Вафельница для UFO-бургеров Crazy Pan CP-WFM-UFO,Вафельница для UFO-бургеров Crazy Pan CP-WFM-UFO,14390,RUB,Да,,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/333994,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/333994"">Crazy Pan CP-WFM-UFO</a></b> используется на предприятиях общественного питания и торговли для приготовления корейских UFO-бургеров в форме НЛО. Корпус выполнен из нержавеющей стали, рабочая поверхность - из литого алюминия с анипригарным покрытием.</p>",333994,220 В,1.3 кВт,250 мм,450 мм,300 мм,,Китай,,,0,https://entero.ru/manuals/449367/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Crazy%20Pan%20CP-WFM-UFO.pdf,15641,,9 кг,,,1,,нло-бургеры
https://cdn.entero.ru/mp@2x/4b/82/4b82ff49fe020f25efcfaf41ce50f2ff.jpg,Вафельница для UFO-бургеров Airhot WB,Вафельница для UFO-бургеров Airhot WB,13975,RUB,Да,Airhot,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/347409,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/347409"">Airhot WB</a></b> используется на предприятиях общественного питания и торговли для выпекания корейских бургеров UFO. Модель оснащена электромеханической панелью управления с термостатом. Корпус выполнен из нержавеющей стали, рабочая поверхность - из алюминия с антипригарным тефлоновым покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр рабочей поверхности: 100 мм</li>
<li>Температура нагрева: от 50 до 300 °С</li>
</ul>",347409,220 В,1.3 кВт,250 мм,400 мм,300 мм,9 кг,Китай,1,500x325x375 мм,0,https://entero.ru/manuals/432001/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WB.pdf,14557,,8.3 кг,,,1,1,нло-бургеры
