Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Установка,Назначение,Объем,Гастронормированная,Количество уровней,Вес (с упаковкой)
https://cdn.entero.ru/mp@2x/72/41/724196c1e72cce7e3c55e540297a0071.jpg,Витрина паровая Airhot HWS-4 для пянсе,D9935,28843,RUB,Да,Airhot,Профоборудование,Тепловое,Витрины тепловые,https://entero.ru/item/163185,"<p>Тепловая витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/163185""><b class=""b"">Airhot HWS-4 паровая для пянсе</b></a> используется на предприятиях общественного питания и торговли для подогревания и демонстрации корейских паровых пирожков пян-се, булочек, пирогов и различных закусок. Модель оснащена 5 полками, крышей с сетчатой решеткой, подсветкой и терморегулятором. Корпус выполнен из нержавеющей стали толщиной 0,8 мм, боковые стенки - из изоляционного стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Доступ со стороны оператора</li>
<li>Резервуар с водой, обеспечивающий необходимую влажность</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Размер полок: 298x298 мм</li>
<li>Габариты в упаковке: 500x440x790 мм</li>
</ul>",163185,от 30 до 110 °C,220 В,1.1 кВт,450 мм,390 мм,760 мм,27 кг,Китай,1,500x440x790 мм,0,https://entero.ru/manuals/327007/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HWS-4%20%D0%BF%D0%B0%D1%80%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%8F%D0%BD%D1%81%D0%B5.pdf;https://entero.ru/manuals/478642/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/481839/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,25.6 кг,настольная,для выпечки,36 л,,,
https://cdn.entero.ru/mp@2x/02/de/02de35479a927778b487bca610105d2a.jpg;https://cdn.entero.ru/mp@2x/3d/3e/3d3e887b50cbe23aa734806766cc1a3f.jpg,Витрина тепловая Hurakan HKN-WD1,Витрина тепловая Hurakan HKN-WD1,12060,RUB,Да,Hurakan,Профоборудование,Тепловое,Витрины тепловые,https://entero.ru/item/60434,"<p>Тепловая витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/60434"">Hurakan HKN-WD1</a></b> предназначена для демонстрации, подогрева и кратковременного хранения готовых блюд на предприятиях общественного питания и торговли. Модель оснащена 3 полками-решетками и декоративной подсветкой. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 435х530х560 мм</li>
</ul>",60434,от 30 до 110 °C,220 В,0.85 кВт,350 мм,425 мм,500 мм,17 кг,Китай,1,435x530x560 мм,9,https://entero.ru/manuals/65889/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-WD1.pdf;https://entero.ru/manuals/414936/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-WD1.pdf;https://entero.ru/manuals/414937/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-WD1.pdf;https://entero.ru/manuals/414938/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,13109,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241042&hash=78aeb041cedd2609,11 кг,настольная,для готовых блюд,,,,
https://cdn.entero.ru/mp@2x/77/b9/77b9ff426eb67cd6a97825efbabf5778.jpg;https://cdn.entero.ru/mp@2x/d8/0d/d80d51821d6f4053837e55f3e01bdbaa.jpg,Витрина тепловая Airhot HW-2,Витрина тепловая Airhot HW-2,14504,RUB,Да,Airhot,Профоборудование,Тепловое,Витрины тепловые,https://entero.ru/item/52200,"<p>Тепловая витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/52200"">Airhot HW-2</a></b> предназначена для демонстрации, подогрева и кратковременного хранения пиццы, булочек, пирогов и различных закусок на предприятиях общественного питания и торговли. Модель оснащена терморегулятором и 2 полками-решетками. Корпус выполнен из окрашенной стали.</p>",52200,от 0 до 80 °C,220 В,1.2 кВт,660 мм,500 мм,620 мм,23 кг,Китай,1,740x545x665 мм,0,https://entero.ru/manuals/96113/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20HW-2.pdf;https://entero.ru/manuals/96111/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HW-2.pdf;https://entero.ru/manuals/481849/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,15108,,21 кг,настольная,"для пиццы, для выпечки",,Да,,
https://cdn.entero.ru/mp@2x/b7/31/b7316ad7618b2373e78ba194be7346d0.jpg,Витрина тепловая Hurakan HKN-WD3M,Витрина тепловая Hurakan HKN-WD3M,20345,RUB,Да,Hurakan,Профоборудование,Тепловое,Витрины тепловые,https://entero.ru/item/80035,"<p>Тепловая витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/80035"">Hurakan HKN-WD3M</a></b> предназначена для демонстрации, подогрева и кратковременного хранения готовых блюд на предприятиях общественного питания и торговли. Модель оснащена 3 регулируемыми по высоте полками-решётками и поддоном для воды. Корпус выполнен из нержавеющей стали.</p>",80035,от 30 до 110 °C,220 В,1.84 кВт,655 мм,437 мм,610 мм,36 кг,Китай,1,720x550x680 мм,21,https://entero.ru/manuals/414932/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-WD3M.pdf;https://entero.ru/manuals/414933/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-WD3M.pdf;https://entero.ru/manuals/414934/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-WD3M.pdf;https://entero.ru/manuals/414935/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,21644,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241042&hash=78aeb041cedd2609,33 кг,настольная,для готовых блюд,,,,
https://cdn.entero.ru/mp@2x/2f/ca/2fcab6dc7dba5cb532b4e5fb7eb92011.jpg,Витрина тепловая Airhot HW-355,Витрина тепловая Airhot HW-355,15993,RUB,Да,Airhot,Профоборудование,Тепловое,Витрины тепловые,https://entero.ru/item/125396,"<p>Тепловая витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125396"">Airhot HW-355</a></b> предназначена для демонстрации, подогрева и кратковременного хранения пиццы, булочек, пирогов и различных закусок на предприятиях общественного питания и торговли. Модель оснащена 3 полками, терморегулятором, температурным дисплеем, LED-подсветкой и доступом с задней стороны. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полок:
<ul>
<li>Верхняя: 280х340 мм</li>
<li>Средняя: 280х320 мм</li>
<li>Нижняя: 280х300 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 420х510х610 мм</li>
</ul>",125396,от 30 до 85 °C,220 В,1 кВт,370 мм,450 мм,580 мм,21 кг,Китай,1,420x510x610 мм,0,https://entero.ru/manuals/134989/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HW-355.pdf;https://entero.ru/manuals/481848/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,19 кг,настольная,"для пиццы, для выпечки",,,,
https://cdn.entero.ru/mp@2x/b8/df/b8df396220204af85d03412f6d51ce3b.jpg;https://cdn.entero.ru/mp@2x/2a/b1/2ab1e8e429ec6881a5fea495c03920dc.jpg;https://cdn.entero.ru/mp@2x/44/dc/44dcbd121a623a2789f9d1afee87952e.jpg;https://cdn.entero.ru/mp@2x/36/74/3674a2e003ef1bf2786fbd6453bce2e8.jpg;https://cdn.entero.ru/mp@2x/60/f9/60f940311c99bb6cd1896ecdecf1055e.jpg,"Витрина тепловая Carboma Asia AC45 HWB 0,7-1 (self)","Asia AC45 HWB 0,7-1 Мармит (self)",26816,RUB,Да,Carboma,Профоборудование,Тепловое,Витрины тепловые,https://entero.ru/item/259579,"<p>Тепловая витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/259579""><b class=""b"">Carboma AC45 HWB 0,7-1 (self) </b></a>серии Asia используется в небольших барах и кафе, на предприятиях общественного питания и торговли для поддержания в горячем состоянии, кратковременного хранения, демонстрации и продажи различных закусок и блюд, пиццы и выпечки. Модель оснащена системой пароувлажнения (типа мармит), задними створками-слайдерами, 3 полками-решетками с возможностью регулирования угла, термометром, термостатом и выдвижным поддоном для сбора крошек. Корпус и полки выполнены из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Верхняя LED-подсветка</li>
<li>Доступ с двух сторон</li>
<li>Гастроемкость для воды</li>
<li>Регулируемые ножки-опоры </li>
<li>Современный кубический дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Экспозиционная площадь: 0,55 м<sup>2</sup></li>
<li>Энергопотребление: 18 кВт/сутки</li>
<li>Угол регулировки полок: 9°</li>
<li>Температура окружающего воздуха: от 12 до 25 °С</li>
<li>Относительная влажность: не более 60%</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Полка из нержавеющей стали</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичные модели других размеров.</span></em></p>",259579,от 30 до 90 °C,220 В,1.5 кВт,660 мм,450 мм,620 мм,45.6 кг,Россия,1,792x540x744 мм,0,https://entero.ru/manuals/319613/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Carboma%20AC45%20HWB%200_7-1%20%28self%29.pdf;https://entero.ru/manuals/319615/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Carboma%20AC45%20HWB%200_7-1%20%28self%29.jpg,,,38 кг,настольная,"для готовых блюд, для выпечки, для пиццы",,,3,
https://cdn.entero.ru/mp@2x/f7/62/f762228622c41394537067358be2d935.jpg,Витрина тепловая Airhot HW-60-1,Витрина тепловая Airhot HW-60-1,19932,RUB,Да,Airhot,Профоборудование,Тепловое,Витрины тепловые,https://entero.ru/item/122699,"<p>Тепловая витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122699"">Airhot HW-60-1</a></b> предназначена для демонстрации, подогрева и кратковременного хранения пиццы, булочек, пирогов и различных закусок на предприятиях общественного питания и торговли. Модель оснащена 3 полками, функцией увлажнения, терморегулятором, температурным дисплеем, LED-подсветкой и доступом с задней стороны. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полок:
<ul>
<li>Верхняя: 580х360 мм</li>
<li>Средняя: 580х340 мм</li>
<li>Нижняя: 580х320 мм</li>
</ul>
</li>
</ul>",122699,от 30 до 90 °C,220 В,1.84 кВт,660 мм,485 мм,610 мм,34 кг,Китай,1,720x540x675 мм,0,https://entero.ru/manuals/129434/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HW-60-1.pdf;https://entero.ru/manuals/481847/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,31 кг,настольная,"для пиццы, для выпечки",,,,
https://cdn.entero.ru/mp@2x/8f/98/8f98eaae9141b4802b138ac1d8071f1e.jpg,Витрина тепловая Airhot HW-50,Витрина тепловая Airhot HW-50,27184,RUB,Да,Airhot,Профоборудование,Тепловое,Витрины тепловые,https://entero.ru/item/88102,"<p>Тепловая витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88102"">Airhot HW-50</a></b> предназначена для демонстрации, подогрева и кратковременного хранения пиццы, булочек, пирогов и различных закусок на предприятиях общественного питания и торговли. Модель оснащена функцией пароувлажнения и 4 шторками с 2-х сторон. Корпус выполнен из нержавеющей стали.</p>",88102,от 30 до 90 °C,220 В,0.8 кВт,554 мм,361 мм,376 мм,15 кг,Китай,1,624x442x427 мм,0,https://entero.ru/manuals/96116/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20HW-50.pdf;https://entero.ru/manuals/96115/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HW-50.pdf;https://entero.ru/manuals/481837/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,13.7 кг,настольная,"для выпечки, для пиццы",,,,
https://cdn.entero.ru/mp@2x/8b/66/8b66af4561346cdf53c4ea373daf2de9.jpg,Витрина тепловая Rosso HW-1P,Витрина тепловая Rosso HW-1P,11603,RUB,Да,Rosso,Профоборудование,Тепловое,Витрины тепловые,https://entero.ru/item/271516,"<p>Тепловая витрина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/271516""><b class=""b"">Rosso </b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/271516""><b class=""b"">HW-1P </b></a>предназначена для демонстрации и поддержания блюд в горячем состоянии на предприятиях общественного питания и торговли. Модель оснащена термостатом, декоративной лампой освещения для лучшего вида пищевых продуктов, поворотным переключателем для выбора температуры и 3 полками из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрый и равномерный нагрев</li>
<li>Индикатор питания</li>
<li>Поддержание влажности воздуха внутри витрины</li>
<li>Гнутое фасадное стекло</li>
<li>3 полки-решетки </li>
<li>Подсветка</li>
</ul>",271516,,220 В,0.75 кВт,430 мм,350 мм,500 мм,22 кг,Китай,1,505x415x590 мм,0,https://entero.ru/manuals/334183/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rosso%20HW-1P.pdf,12476,,18 кг,настольная,для готовых блюд,,,3,
https://cdn.entero.ru/mp@2x/12/b3/12b334fe32c980449e9cc172299d6859.jpg,Витрина тепловая UNIS Kentucky Hot High 3GN1/1,1135130,28500,RUB,Да,UNIS,Профоборудование,Тепловое,Витрины тепловые,https://entero.ru/item/25891,"<p>Тепловая витрина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/25891"">UNIS Kentucky Hot High 3GN1/1</a></b> предназначена для демонстрации и подогрева пиццы, круассанов, булочек, выпечки с горячей начинкой, пирогов и различных закусок на предприятиях общественного питания и торговли. Модель оснащена выставочной панелью, 2 съемными полками-решетками и люминесцентными лампами. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Конвекционная система</li>
<li>Регулировка влажности</li>
<li>Равномерное распределение горячего воздуха при помощи принудительной циркуляции воздуха</li>
<li>Механический термостат</li>
<li>Стеклянными раздвижными дверцами в задней части витрины</li>
<li>Переднее закругленное стекло легко заменяется</li>
<li>Лоток с водой</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 3 гастроемкости GN 1/1 глубиной 20 мм (530х325 мм)</li>
<li>Размер решетки:
<ul>
<li>950x400x172 мм</li>
<li>950x340 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 1250x900x930 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Передняя подсвеченная панель</li>
<li>Доска для резки</li>
</ul>",25891,от 30 до 90 °C,220 В,2.26 кВт,1080 мм,775 мм,745 мм,,Чехия,,,0,,,,94 кг,настольная,,,Да,,
