Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Подключение
https://cdn.entero.ru/mp@2x/81/06/8106b3300c13f9e7de5ca746693a0aca.jpg,Гриль Саламандра Airhot SGE-570,Гриль Саламандра Airhot SGE-570,10756,RUB,Да,Airhot,Профоборудование,Тепловое,Грили Саламандра,https://entero.ru/item/125399,"<p>Гриль Salamander <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125399"">Airhot SGE-570</a></b> предназначен для обжаривания стейков и сосисок, приготовления сэндвичей, полуфабрикатов, подогрева булочек, гамбургеров, хот-догов и поддержания готовых блюд в разогретом состоянии на предприятиях общественного питания и торговли. Модель оснащена съемным поддоном для сбора жира и крошек. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Нагревательные элементы в гриле расположены в верхней части</li>
<li>Фиксированный вверх </li>
<li>Регулятор температуры от 50-300°С</li>
<li>Решетку с ручками можно перемещать по уровням относительно нагревательного элемента, регулируя интенсивность нагрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество зон нагрева: 1 </li>
<li>Размер полки: 450х250 мм</li>
<li>Габариты в упаковке: 665х350х305 мм</li>
</ul>",125399,с подвижной решеткой,от 50 до 300 °C,2 кВт,610 мм,310 мм,280 мм,12 кг,Китай,1,670x360x310 мм,0,https://entero.ru/manuals/134995/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SGE-570.pdf;https://entero.ru/manuals/481881/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,11 кг,220 В
https://cdn.entero.ru/mp@2x/35/e9/35e9abfc32b2730802207cb02c5392d2.jpg,Гриль Саламандра Airhot SGE-938,Гриль Саламандра Airhot SGE-938,13780,RUB,Да,Airhot,Профоборудование,Тепловое,Грили Саламандра,https://entero.ru/item/52195,"<p>Гриль Salamander <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/52195"">Airhot SGE-938</a></b> предназначен для обжаривания стейков и сосисок, приготовления сэндвичей, полуфабрикатов, подогрева булочек, гамбургеров, хот-догов и поддержания готовых блюд в разогретом состоянии на предприятиях общественного питания и торговли. Модель оснащена съемным поддоном для сбора жира и крошек. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Нагревательные элементы расположены в верхней части</li>
<li>Фиксированный вверх </li>
<li>Регулятор температуры от 50-300°С</li>
<li>Решетку с ручками можно перемещать по уровням относительно нагревательного элемента, регулируя интенсивность нагрева</li>
</ul>",52195,с подвижной решеткой,от 50 до 300 °C,2.2 кВт,580 мм,390 мм,380 мм,16 кг,Китай,2,580x390x380 мм,0,https://entero.ru/manuals/96136/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20SGE-938.pdf;https://entero.ru/manuals/96135/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SGE-938.pdf;https://entero.ru/manuals/481883/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,14817,,15.8 кг,220 В
https://cdn.entero.ru/mp@2x/52/48/5248fe78036f8a507d2eff5b3cdb8c2c.jpg,Гриль Саламандра Airhot SGE-460,Гриль Саламандра Airhot SGE-460,29596,RUB,Да,Airhot,Профоборудование,Тепловое,Грили Саламандра,https://entero.ru/item/32942,"<p>Гриль Salamander <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32942""><b class=""b"">Airhot SGE-460</b></a> предназначен для обжаривания стейков и сосисок, приготовления сэндвичей, полуфабрикатов, подогрева булочек, гамбургеров, хот-догов и поддержания готовых блюд в разогретом состоянии на предприятиях общественного питания и торговли. Модель оснащена съемным поддоном для сбора жира и крошек. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Нагревательные элементы в гриле расположены в верхней части</li>
<li>Быстрый нагрев</li>
<li>Температура и интенсивность готовки регулируется перемещением нагревательного элемента относительно продуктов</li>
<li>Подвижная верхняя часть гриля и съемный поддон</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество зон нагрева: 1</li>
<li>Подвижная верхняя часть: от 0 до 140 мм</li>
</ul>",32942,с подвижной верхней частью,от 50 до 300 °C,2.8 кВт,450 мм,515 мм,530 мм,31 кг,Китай,1,490x570x580 мм,0,https://entero.ru/manuals/96132/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20SGE-460.pdf;https://entero.ru/manuals/96131/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SGE-460.pdf;https://entero.ru/manuals/322828/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Airhot%20SGE-460.pdf;https://entero.ru/manuals/481885/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,31154,,35 кг,220 В
https://cdn.entero.ru/mp@2x/d4/77/d4779f245a81de0666ff06aa65d24e21.jpg,Гриль Саламандра Sirman PRO 1/1 G 220В,PRO I 1Ф / PRO 1/1GN / 25415/MOBILE PRO I/1 G,140337,RUB,Да,Sirman,Профоборудование,Тепловое,Грили Саламандра,https://entero.ru/item/25081,"<p>Гриль Salamander <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/25081""><b class=""b"">Sirman PRO 1/1 G </b></a>предназначен для обжаривания стейков и сосисок, приготовления сэндвичей, полуфабрикатов, подогрева булочек, гамбургеров, хот-догов и поддержания готовых блюд в разогретом состоянии на предприятиях общественного питания и торговли. Модель оснащена армированными нагревательными элементами и выдвижным лотком для сбора крошек.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронные регуляторы энергии</li>
<li>Дымоудалители</li>
<li>Корпус из нержавеющей стали</li>
<li>Рельефная плита из хромированной стали</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры зоны выпекания: 585x350 мм</li>
<li>Габариты в упаковке: 750x630x630 мм</li>
</ul>",25081,с подвижной верхней частью,,3.4 кВт,600 мм,545 мм,510 мм,66 кг,Италия,1,750x630x630 мм,24,https://entero.ru/manuals/45750/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sirman%201_1%20G.pdf;https://entero.ru/manuals/419116/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sirman%20PRO%201_1%20G.pdf;https://entero.ru/manuals/45751/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Sirman%20PRO%201_1%20G.jpg;https://entero.ru/manuals/72758/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,150900,,56 кг,220 В
https://cdn.entero.ru/mp@2x/67/e7/67e705278299dd7bd3fd9aaf82f7732b.jpg,Гриль Саламандра VIATTO VA-SS-6000-X с 2 зонами нагрева,4630169227657,34947,RUB,Да,VIATTO,Профоборудование,Тепловое,Грили Саламандра,https://entero.ru/item/215834,"<p>Гриль-саламандер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/215834""><b class=""b"">VIATTO VA-SS-6000-X</b></a> предназначен для жарки мяса, птицы, рыбы, овощей и быстрого разогрева полуфабрикатов на предприятиях общественного питания и торговли. Модель оснащена регулируемой по высоте верхней панелью, 2 независимыми зонами нагрева и панелью управления с поворотными регуляторами температуры и светодиодными индикаторами питания и нагрева. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон регулировки высоты верхней панели: 140 мм</li>
<li>Габариты рабочей поверхности: 590х320 мм</li>
<li>Габариты в упаковке: 600х550х570 мм</li>
</ul>",215834,с подвижной верхней частью,от 50 до 300 °C,4 кВт,600 мм,450 мм,470 мм,48 кг,Китай,1,660x550x570 мм,0,https://entero.ru/manuals/408259/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-SS-6000-X.pdf;https://entero.ru/manuals/408260/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/463013/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-SS-6000-X%20%D1%81%202%20%D0%B7%D0%BE%D0%BD%D0%B0%D0%BC%D0%B8%20%D0%BD%D0%B0%D0%B3%D1%80%D0%B5%D0%B2%D0%B0.png,37986,,42 кг,220 В
https://cdn.entero.ru/mp@2x/5c/77/5c77fd27ecbacfa28a99d4c076a22330.jpg,Гриль Саламандра Hurakan HKN-SAL600MBM,Гриль Саламандра Hurakan HKN-SAL600MBM,34989,RUB,Да,Hurakan,Профоборудование,Тепловое,Грили Саламандра,https://entero.ru/item/71823,"<p>Гриль Salamander <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71823"">Hurakan HKN-SAL600MBM</a></b> предназначен для обжаривания стейков и сосисок, приготовления сэндвичей, полуфабрикатов, подогрева булочек, гамбургеров, хот-догов и поддержания готовых блюд в разогретом состоянии на предприятиях общественного питания и торговли. Модель оснащена регуляторами мощности, индикаторами нагрева и поддоном для масла. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая система управления</li>
<li>2 зоны нагрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 660х570х570 мм</li>
</ul>",71823,с подвижной верхней частью,от 50 до 300 °C,4 кВт,600 мм,480 мм,530 мм,41 кг,Китай,1,570x670x580 мм,15,https://entero.ru/manuals/415382/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-SAL600MBM.pdf;https://entero.ru/manuals/415383/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-SAL600MBM.pdf;https://entero.ru/manuals/415384/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SAL600MBM.pdf;https://entero.ru/manuals/415385/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415386/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,37222,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241041&hash=bc9d6ffc2649baa2,38.5 кг,220 В
https://cdn.entero.ru/mp@2x/0b/0d/0b0de66a07b9dacfd709b5ed84f5026d.jpg,Гриль Саламандра Airhot SGE-600,Гриль Саламандра Airhot SGE-600,34253,RUB,Да,Airhot,Профоборудование,Тепловое,Грили Саламандра,https://entero.ru/item/40949,"<p>Гриль Salamander <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40949""><b class=""b"">Airhot SGE-600</b></a> предназначен для обжаривания стейков и сосисок, приготовления сэндвичей, полуфабрикатов, подогрева булочек, гамбургеров, хот-догов и поддержания готовых блюд в разогретом состоянии на предприятиях общественного питания и торговли. Модель оснащена 2 зонами нагрева и съемным поддоном для сбора жира и крошек. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Нагревательные элементы в гриле расположены в верхней части</li>
<li>Быстрый нагрев</li>
<li>Температура и интенсивность готовки регулируется перемещением нагревательного элемента относительно продуктов</li>
<li>Подвижная верхняя часть гриля и съемный поддон</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Подвижная верхняя часть: от 0 до 140 мм</li>
</ul>",40949,с подвижной верхней частью,от 50 до 300 °C,3.7 кВт,600 мм,515 мм,530 мм,33 кг,Китай,1,670x570x580 мм,0,https://entero.ru/manuals/96134/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20SGE-600.pdf;https://entero.ru/manuals/96133/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SGE-600.pdf;https://entero.ru/manuals/322827/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Airhot%20SGE-600.pdf;https://entero.ru/manuals/481886/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,36439,,43 кг,220 В
https://cdn.entero.ru/mp@2x/67/b4/67b4a6548b0370285196a70b90ed05db.jpg;https://cdn.entero.ru/mp@2x/b0/83/b08370c0174cd6e8c770a92acc835c68.jpg,Гриль Саламандра Rosso HES-936,Гриль Саламандра Rosso HES-936,11064,RUB,Да,Rosso,Профоборудование,Тепловое,Грили Саламандра,https://entero.ru/item/291883,"<p>Гриль Salamander <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291883"">Rosso HES-936</a></b> предназначен для обжаривания стейков и сосисок, приготовления сэндвичей, полуфабрикатов, подогрева булочек, гамбургеров, хот-догов и поддержания готовых блюд в разогретом состоянии на предприятиях общественного питания и торговли. Модель оснащена регулируемой по высоте полкой-решеткой.</p>",291883,с подвижной решеткой,от 50 до 300 °C,2 кВт,610 мм,310 мм,280 мм,10 кг,Китай,1,650x350x320 мм,0,https://entero.ru/manuals/354365/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rosso%20HES-936.doc,12026,,10.8 кг,220 В
https://cdn.entero.ru/mp@2x/69/a8/69a849f91fb31fcdac46042ddbbcedb9.jpg;https://cdn.entero.ru/mp@2x/07/10/0710ff03ef1118b46dc858b08a48c325.jpg;https://cdn.entero.ru/mp@2x/e0/14/e014b068fcaae9f3815a9593b2e53476.jpg,Гриль Саламандра EKSI HES-600,Гриль Саламандра EKSI HES-600,24718,RUB,Да,EKSI,Профоборудование,Тепловое,Грили Саламандра,https://entero.ru/item/59249,"<p>Гриль Salamander <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/59249""><b class=""b"">EKSI HES-450</b></a> предназначен для обжаривания стейков и сосисок, приготовления сэндвичей, полуфабрикатов, подогрева булочек, гамбургеров, хот-догов на предприятиях общественного питания и торговли. Модель оснащена 2 терморегуляторами с индивидуальным термостатом для каждой зоны, регулирующейся по высоте верхней чатью, эргономичной ненагревающейся ручкой и съемной решеткой с поддоном для сбора жира. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер рабочей поверхности: 584х314 мм</li>
</ul>",59249,с подвижной верхней частью,300 °C,4 кВт,600 мм,450 мм,470 мм,37.3 кг,Китай,1,670x575x580 мм,6,https://entero.ru/manuals/93554/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EKSI.pdf;https://entero.ru/manuals/495583/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EKSI%20HES-600.docx,35311,,37.3 кг,220
https://cdn.entero.ru/mp@2x/e8/c8/e8c8bd853b49eb84b96dfccdc6ab12e8.jpg,Гриль Саламандра Sirman PRO 1/2 G,15757,110607,RUB,Да,Sirman,Профоборудование,Тепловое,Грили Саламандра,https://entero.ru/item/128803,"<p>Гриль Salamander <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128803"">Sirman PRO 1/2 G</a> </b>предназначен для обжаривания стейков и сосисок, приготовления сэндвичей, полуфабрикатов, подогрева булочек, гамбургеров, хот-догов и поддержания готовых блюд в разогретом состоянии на предприятиях общественного питания и торговли. Корпус выполнен из высококачественной нержавеющей стали AISI 304, рельефная плита - из хромированной стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронные регуляторы энергии</li>
<li>Дымоудалители</li>
<li>Армированные нагревательные элементы</li>
<li>Выдвижной лоток для сбора крошек</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры зоны выпекания: 385x350 мм</li>
<li>Габариты в упаковке: 500x630x650 мм</li>
</ul>",128803,с подвижной верхней частью,,1.7 кВт,400 мм,545 мм,510 мм,,Италия,,,0,https://entero.ru/manuals/419113/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sirman%20PRO%201_2%20G.pdf;https://entero.ru/manuals/419114/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sirman%20PRO%201_2%20G.pdf;https://entero.ru/manuals/419715/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,45 кг,220 В
