Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Подключение,Тип гриля,Количество кур,Количество ТЭНов,Электрическая мощность,Газовая мощность
https://cdn.entero.ru/mp@2x/34/e1/34e1333435fb089bb979ffe1344f4442.jpg,Гриль для кур Grill Master Ф3КМЭ(э),21134,56600,RUB,Да,Grill Master,Профоборудование,Тепловое,Грили для кур,https://entero.ru/item/117916,"<p>Гриль для кур <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117916"">Grill Master Ф3КМЭ(э)</a></b> используется на предприятиях общественного питания и торговли для приготовления тушек кур, куриных окорочков, грудок и других продуктов. Модель оснащена итальянским мотором-редуктором, таймером с звуковой сигнализацией на 120 минут, съемным барабаном для легкой мойки и поддоном для сбора жира. Оборудование выполнено из нержавеющей стали со вставками из стали, корзины - из нержавеющего прутка, двери - из закаленного стекла с энергосберегающим покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество корзин: 4 шт.</li>
<li>Вместимость корзины: 2 тушки (1,6 кг)</li>
<li>Время приготовления: 50 мин.</li>
</ul>",117916,от 50 до 300 °С,220 В,608 мм,540 мм,665 мм,42.4 кг,Россия,1,730x530x710 мм,7,https://entero.ru/manuals/119775/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A43%D0%9A%D0%9C%D0%AD%28%D1%8D%29.docx,58958,,33 кг,электричество,карусельный,8,3,3.75 кВт,
https://cdn.entero.ru/mp@2x/7e/09/7e099079a6cc7ec57a5ac4c3603b9091.jpg,Гриль для кур ATESY Командор-2/3-Э,Командор 2/3 Э / «КОМАНДОР»-2/3-Э,85642,RUB,Да,ATESY,Профоборудование,Тепловое,Грили для кур,https://entero.ru/item/83129,"<p>Гриль для кур <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83129"">ATESY Командор-2/3-Э</a></b> используется на предприятиях общественного питания и торговли для обжаривания целых тушек кур на вертелах (шампурах). Модель оснащена 3 съемными шампурами, каждый из которых рассчитан на 5 кур. Корпус и все внутренние элементы, контактирующие с продуктами, выполнены из пищевой нержавеющей стали AISI 430, двери - из закаленного термостойкого стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Приготовление тушек осуществляется благодаря инфракрасному излучению 3 пар ТЭНов, расположенных на задней стенке гриля</li>
<li>ТЭНы имеют специальные отражатели, повышающие эффективность нагрева продукта</li>
<li>Интенсивность нагрева верхней пары ТЭНов регулируется терморегулятором, ручка которого расположена на передней панели гриля, средняя и нижняя пары ТЭНов включаются соответствующими выключателями</li>
<li>Одновременное вращение 3 шампуров осуществляется 1 электродвигателем</li>
<li>Постоянная скорость вращения шампуров и оптимальное расстояние от тушки до ТЭНов обеспечивают равномерную прожарку кур и высокую производительность гриля</li>
<li>Шампур имеет 3 спицы и оснащен торцевыми фиксаторами кур, исключающими проворачивание кур во время приготовления</li>
<li>Специальный узел вращения и поддержки шампура обеспечивает быструю установку и выемку шампура из гриля</li>
<li>Поддон для сбора жира в основании гриля</li>
<li>В положении открытых дверей шампуры с курами легко вынимаются из гриля</li>
<li>Дверцы имеют магнитный фиксатор закрытого положения</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество шампуров: 3</li>
<li>Максимальное количество одновременно загружаемых тушек (1 / 1,7 кг): 15 / 12</li>
<li>Время полного оборота вертела: 30 сек.</li>
<li>Время приготовления при полной загрузке камеры: от 80 до 100 мин.</li>
</ul>",83129,от 50 до 250 °С,220 В,945 мм,460 мм,825 мм,65 кг,Россия,1,990x480x940 мм,0,https://entero.ru/manuals/124274/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%9A%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%BE%D1%80-2_3-%D0%AD.pdf;https://entero.ru/manuals/124275/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D1%8B%D0%B9%20%D1%87%D0%B5%D1%80%D1%82%D0%B5%D0%B6%20ATESY%20%D0%9A%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%BE%D1%80-2_3-%D0%AD.pdf;https://entero.ru/manuals/124276/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%281%29.pdf;https://entero.ru/manuals/124277/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%282%29.pdf,93089,,40.2 кг,электричество,шампурный,15,6,6.4 кВт,
https://cdn.entero.ru/mp@2x/42/7f/427fe375b59b4487fb50c05e2ef6b7b4.jpg;https://cdn.entero.ru/mp@2x/25/bc/25bc94e0c886241e4bab2e76525a7af1.jpg,Гриль для кур ATESY Командор-4Э-Т,Гриль для кур ATESY Командор-4Э-Т,68311,RUB,Да,ATESY,Профоборудование,Тепловое,Грили для кур,https://entero.ru/item/105883,"<p>Гриль для кур <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105883"">ATESY Командор-4Э-Т</a></b> используется на предприятиях общественного питания и торговли для жарки тушек кур, цыплят, куриных окорочков, грудок и других продуктов питания. Модель оснащена 4 легкосъемными садками (люльками), вращающимися вокруг центральной оси внутри рабочей камеры. Корпус выполнен из пищевой нержавеющей стали AISI 430, садки для кур - из нержавеющего прутка, двери - из закаленного термостойкого ударопрочного стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Позволяет готовить как целые тушки кур, так и их отдельные части</li>
<li>Приготовление продуктов осуществляется посредством инфракрасного излучения ТЭНов, расположенных на передней, задней и верхней частях рабочей камеры</li>
<li>Каждый ТЭН имеет отражатель, повышающий эффективность нагрева продукта</li>
<li>Сочетание скорости вращения и мощности привода обеспечивает качественное приготовление кур при любой (даже несимметричной) загрузке</li>
<li>Механизм торможения позволяет четко фиксировать положение садков во время остановки вращения, исключая проворот</li>
<li>Интенсивность нагрева плавно регулируется терморегуляторами, ручки которых расположены на передней панели</li>
<li>Таймер (от 15 до 120 мин.) автоматически отключает нагрев и подает звуковой сигнал по окончании установленного времени</li>
<li>Поддон для сбора влаги и жира, стекающего с кур, на дне рабочей камеры</li>
<li>Двери фиксируются магнитными защелками в закрытом положении</li>
<li>Угол и положение открытых дверей не препятствуют выемке садка с курами</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество одновременно загружаемых кур (до 1,2 кг каждая): 8</li>
<li>Количество садков: 4</li>
<li>Время полного оборота садков: 95 сек.</li>
<li>Время приготовления при полной загрузке камеры: от 60 до 70 мин.</li>
<li>Мощность ТЭНа: 1,2 кВт</li>
</ul>",105883,от 50 до 250 °С,220 В,630 мм,465 мм,505 мм,33 кг,Россия,1,700x510x545 мм,0,https://entero.ru/manuals/124286/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%9A%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%BE%D1%80-4%D0%AD-%D0%A2.pdf;https://entero.ru/manuals/124287/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D1%8B%D0%B9%20%D1%87%D0%B5%D1%80%D1%82%D0%B5%D0%B6%20ATESY%20%D0%9A%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%BE%D1%80-4%D0%AD-%D0%A2.pdf;https://entero.ru/manuals/124288/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%281%29.pdf;https://entero.ru/manuals/124289/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%282%29.pdf,71906,,25 кг,электричество,карусельный,8,3,3.6 кВт,
https://cdn.entero.ru/mp@2x/ab/99/ab994dc236feb67bfa7b920e8ab7f8be.jpg;https://cdn.entero.ru/mp@2x/36/9b/369b9533ac412b6f6eb323f4188914d9.jpg,Гриль для кур ATESY Командор-5Э-Т,Командор-5Э-Т (карусельный) / «КОМАНДОР»-5Э-Т (КАРУСЕЛЬНЫЙ),78760,RUB,Да,ATESY,Профоборудование,Тепловое,Грили для кур,https://entero.ru/item/94968,"<p>Гриль для кур <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94968"">ATESY Командор-5Э-Т</a></b> используется на предприятиях общественного питания и торговли для жарки тушек кур, цыплят, куриных окорочков, грудок и других продуктов питания. Модель оснащена 4 легкосъемными садками (люльками), вращающимися вокруг центральной оси внутри рабочей камеры. Корпус выполнен из пищевой нержавеющей стали AISI 430, садки для кур - из нержавеющего прутка, двери - из закаленного термостойкого ударопрочного стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Позволяет готовить как целые тушки кур, так и их отдельные части</li>
<li>Приготовление продуктов осуществляется посредством инфракрасного излучения ТЭНов, расположенных на передней, задней и верхней частях рабочей камеры</li>
<li>Каждый ТЭН имеет отражатель, повышающий эффективность нагрева продукта</li>
<li>Сочетание скорости вращения и мощности привода обеспечивает качественное приготовление кур при любой (даже несимметричной) загрузке</li>
<li>Механизм торможения позволяет четко фиксировать положение садков во время остановки вращения, исключая проворот</li>
<li>Интенсивность нагрева плавно регулируется терморегуляторами, ручки которых расположены на передней панели</li>
<li>Таймер (до 120 мин.) автоматически отключает нагрев и подает звуковой сигнал по окончании установленного времени</li>
<li>Поддон для сбора влаги и жира, стекающего с кур, на дне рабочей камеры</li>
<li>Двери фиксируются магнитными защелками в закрытом положении</li>
<li>Угол и положение открытых дверей не препятствуют выемке садка с курами</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество одновременно загружаемых кур (до 1,2 кг каждая): 12</li>
<li>Количество садков: 4</li>
<li>Время полного оборота садков: 95 сек.</li>
<li>Время приготовления при полной загрузке камеры: от 60 до 70 мин.</li>
<li>Мощность ТЭНа: 2 кВт</li>
</ul>",94968,от 50 до 250 °С,220 В,860 мм,465 мм,530 мм,38 кг,Россия,1,800x500x580 мм,0,https://entero.ru/manuals/124278/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%9A%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%BE%D1%80-5%D0%AD-%D0%A2.pdf;https://entero.ru/manuals/124279/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D1%8B%D0%B9%20%D1%87%D0%B5%D1%80%D1%82%D0%B5%D0%B6%20ATESY%20%D0%9A%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%BE%D1%80-5%D0%AD-%D0%A2.pdf;https://entero.ru/manuals/124280/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%281%29.pdf;https://entero.ru/manuals/124281/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%282%29.pdf,83787,,33 кг,электричество,карусельный,12,3,6 кВт,
https://cdn.entero.ru/mp@2x/0b/79/0b79188470c5440addb15b2e50ee9d8f.jpg,Гриль для кур Sikom МК-3.8.1,МК-3.8 (МК-3.8.1),42949,RUB,Да,Sikom,Профоборудование,Тепловое,Грили для кур,https://entero.ru/item/20343,"<p>Гриль для кур <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/20343"">Sikom МК-3.8.1</a></b> предназначен для приготовления кур-гриль в заведениях быстрого питания, супермаркетах и уличной торговли. Модель оснащена электромеханической панелью управления. Корпус выполнен из нержавеющей стали, дверь и задняя стенка - из жаропрочного стекла.</p>

<p>В комплект поставки входит съемный вертел, 4 люльки-корзины и поддон.</p>

<p><b> Особенности:</b></p>

<ul>
<li>Съемные нижние рефлекторы: удобство очистки</li>
<li>Привод вращения вертела с автоматическим тормозом: предотвращение самопроизвольного проворота вертела при загрузке и выгрузке продукции</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева до 200°C: не более 30 мин.</li>
<li>Примерное время приготовления куры (в зависимости от размера): от 40 до 60 мин.</li>
<li>Габариты в упаковке: 625х700х640 мм</li>
</ul>",20343,,220 В,590 мм,540 мм,550 мм,30 кг,Россия,1,625x700x640 мм,7,https://entero.ru/manuals/11633/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sikom%20%D0%9C%D0%9A-3.8.1.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240359&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240191&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240637&hd=2&autoplay=0;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241113&hash=33c7e1ce9cdb8bd3,28 кг,электричество,карусельный,8,4,3.35 кВт,
https://cdn.entero.ru/mp@2x/dd/fe/ddfea3789f8529e8dc8607c632fdc409.jpg,Гриль для кур KAYMAN ГЭ-4C8 A,Гриль для кур KAYMAN ГЭ-4C8 A,56399,RUB,Да,KAYMAN,Профоборудование,Тепловое,Грили для кур,https://entero.ru/item/236176,"<p>Гриль для кур <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/236176"">KAYMAN ГЭ-4C8 A</a> </b>используется на предприятиях общественного питания и торговли для жарки тушек кур, цыплят, куриных окорочков, грудок и других продуктов питания. Модель оснащена 4 легкосъемными садками (люльками), вращающимися вокруг центральной оси внутри рабочей камеры, и ТЭНами, расположенными на передней, задней и верхней частях рабочей камеры. Корпус выполнен из пищевой нержавеющей стали AISI 430, садки для кур - из нержавеющего прутка, двери - из закаленного термостойкого ударопрочного стекла.</p>

<p>В комплект поставки входит поддон для сбора влаги и жира.</p>

<p><b>Особенности:</b></p>

<ul>
<li>ТЭНы для инфракрасного излучения с отражателем, повышающим эффективность нагрева продукта</li>
<li>Терморугелятор для плавной регулировки интенсивности нагрева</li>
<li>Механизм торможения позволяет четко фиксировать положение садков во время остановки вращения, исключая проворот</li>
<li>Магнитная защелка для фиксации двери в закрытом положении</li>
<li>Возможность легко вынимать садки с курами при открытой двери</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время приготовления при полной загрузке камеры: от 60 до 70 мин.</li>
<li>Максимальный вес 1 куры: 1,2 кг</li>
</ul>",236176,от 50 до 250 °С,220 В,640 мм,475 мм,505 мм,33 кг,Россия,1,700x510x545 мм,0,,58749,,25 кг,электричество,карусельный,8,,3.6 кВт,
https://cdn.entero.ru/mp@2x/95/7e/957e2d0f04a1a7c382d4d1f11e583eea.jpg,Гриль для кур Sikom МК-8.8,Гриль для кур Sikom МК-8.8,62292,RUB,Да,Sikom,Профоборудование,Тепловое,Грили для кур,https://entero.ru/item/20338,"<p>Гриль для кур <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/20338"">Sikom МК-8.8</a></b> предназначен для приготовления кур-гриль в заведениях быстрого питания, супермаркетах и уличной торговли. Модель оснащена электромеханической панелью управления и таймером. Корпус выполнен из нержавеющей стали, дверь и задняя стенка - из жаропрочного стекла.</p>

<p>В комплект поставки входит съемный вертел, 4 люльки-корзины и поддон.</p>

<p><b> Особенности:</b></p>

<ul>
<li>Самоочищающаяся зубчатая муфта: облегчает установку вертела, устраняет люфт при неравномерной загрузке и продлевает срок службы электродвигателя</li>
<li>Лампы подсветки вынесены за пределы зоны нагрева: улучшение освещенности рабочей камеры и рабочей зоны, повышение безопасности эксплуатации</li>
<li>Конструкция подвеса исключает случайное падение люльки</li>
<li>Поддон со сливной пробкой</li>
<li>Съемные отражатели</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Подставка Т-8.8</li>
<li>Шампур для жарки окорочков и крылышек</li>
</ul>",20338,от 50 до 250 °С,220 В,650 мм,650 мм,580 мм,36 кг,Россия,1,710x745x635 мм,0,https://entero.ru/manuals/11636/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sikom%20%D0%9C%D0%9A-8.8.pdf,65571,https://vk.com/video_ext.php?oid=-177656185&id=456240191&hd=2&autoplay=0,35 кг,электричество,карусельный,8,,3.5 кВт,
https://cdn.entero.ru/mp@2x/e3/57/e3572b3550584f03d1e769ccc0c47c86.jpg,Гриль для кур Sikom МК-3.12,Гриль для кур Sikom МК-3.12,49228,RUB,Да,Sikom,Профоборудование,Тепловое,Грили для кур,https://entero.ru/item/30225,"<p>Гриль для кур <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30225"">Sikom МК-3.12</a></b> предназначен для приготовления кур-гриль в заведениях быстрого питания, супермаркетах и уличной торговли. Модель оснащена электромеханической панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 4 люльки-корзины и поддон.</p>

<p><b> Особенности:</b></p>

<ul>
<li>Привод вращения вертела с автоматическим тормозом: предотвращение самопроизвольного проворота вертела при загрузке и выгрузке продукции</li>
<li>Режимы работы:
<ul>
<li>Вращение вертела</li>
<li>Вращение вертела + нагрев снизу</li>
<li>Вращение вертела + нагрев снизу и сверху​</li>
</ul>
</li>
<li>Лампа индикации нагрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время нагрева до 200°C: не более 15 мин.</li>
<li>Время приготовления: от 40 до 60 мин.</li>
<li>Габариты в упаковке: 710х930х640 мм</li>
</ul>",30225,,220 В,785 мм,540 мм,550 мм,40 кг,Россия,1,710x930x640 мм,0,https://entero.ru/manuals/11635/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sikom%20%D0%9C%D0%9A-3.12.pdf,53509,https://vk.com/video_ext.php?oid=-177656185&id=456240109&hd=2&autoplay=0,36 кг,электричество,карусельный,12,3,5.1 кВт,
https://cdn.entero.ru/mp@2x/1f/7f/1f7f813b665b601128b9fe34b35bc153.jpg,Гриль для кур ATESY Командор-4Э,Командор-4Э (карусельный) / «КОМАНДОР»-4Э (КАРУСЕЛЬНЫЙ),61105,RUB,Да,ATESY,Профоборудование,Тепловое,Грили для кур,https://entero.ru/item/47667,"<p>Гриль для кур <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47667"">ATESY Командор-4Э</a></b> используется на предприятиях общественного питания и торговли для жарки тушек кур, цыплят, куриных окорочков, грудок и других продуктов питания. Модель оснащена 4 легкосъемными садками (люльками), вращающимися вокруг центральной оси внутри рабочей камеры. Корпус выполнен из пищевой нержавеющей стали AISI 430, садки для кур - из нержавеющего прутка, двери - из закаленного термостойкого ударопрочного стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Позволяет готовить как целые тушки кур, так и их отдельные части</li>
<li>Приготовление продуктов осуществляется посредством инфракрасного излучения ТЭНов, расположенных на передней, задней и верхней частях рабочей камеры</li>
<li>Каждый ТЭН имеет отражатель, повышающий эффективность нагрева продукта</li>
<li>Сочетание скорости вращения и мощности привода обеспечивает качественное приготовление кур при любой (даже несимметричной) загрузке</li>
<li>Механизм торможения позволяет четко фиксировать положение садков во время остановки вращения, исключая проворот</li>
<li>Интенсивность нагрева плавно регулируется терморегулятором, ручка которого расположена на передней панели</li>
<li>Поддон для сбора влаги и жира, стекающего с кур, на дне рабочей камеры</li>
<li>Двери фиксируются магнитными защелками в закрытом положении</li>
<li>Угол и положение открытых дверей не препятствуют выемке садка с курами</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество одновременно загружаемых кур (до 1,2 кг каждая): 8</li>
<li>Количество садков: 4</li>
<li>Время полного оборота садков: 95 сек.</li>
<li>Время приготовления при полной загрузке камеры: от 60 до 70 мин.</li>
<li>Мощность ТЭНа: 1,2 кВт</li>
</ul>",47667,от 50 до 250 °С,220 В,640 мм,475 мм,505 мм,33 кг,Россия,1,700x510x545 мм,7,https://entero.ru/manuals/124291/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%9A%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%BE%D1%80-4%D0%AD.pdf;https://entero.ru/manuals/124292/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D1%8B%D0%B9%20%D1%87%D0%B5%D1%80%D1%82%D0%B5%D0%B6%20ATESY%20%D0%9A%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%BE%D1%80-4%D0%AD.pdf;https://entero.ru/manuals/124293/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%281%29.pdf;https://entero.ru/manuals/124294/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%282%29.pdf,65005,,25 кг,электричество,карусельный,8,3,3.6 кВт,
https://cdn.entero.ru/mp@2x/c9/12/c912efbf180a752fde1800b8cdda7c3f.jpg,Гриль для кур Sikom МК-3.8В,МК-3.8.1В,48358,RUB,Да,Sikom,Профоборудование,Тепловое,Грили для кур,https://entero.ru/item/20344,"<p>Гриль для кур <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/20344"">Sikom МК-3.8В</a></b> предназначен для приготовления кур-гриль в заведениях быстрого питания, супермаркетах и уличной торговли. Модель оснащена электромеханической панелью управления, подсветкой и верхней тепловой витриной. Корпус выполнен из нержавеющей стали, дверь и задняя стенка - из жаропрочного стекла.</p>

<p>В комплект поставки входит съемный вертел, 4 люльки-корзины и поддон.</p>

<p><b> Особенности:</b></p>

<ul>
<li>Съемные нижние рефлекторы: удобство очистки</li>
<li>Функционирование тепловой витрины за счет утилизации тепла, выделяемого грилем при работе</li>
<li>Привод вращения вертела с автоматическим тормозом: предотвращение самопроизвольного проворота вертела при загрузке и выгрузке продукции</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева до 200°C: не более 30 мин.</li>
<li>Примерное время приготовления куры (в зависимости от размера): от 40 до 60 мин.</li>
<li>Габариты в упаковке: 625х660х800 мм</li>
</ul>",20344,,220 В,580 мм,540 мм,750 мм,39 кг,Россия,1,625x660x800 мм,0,https://entero.ru/manuals/11634/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sikom%20%D0%9C%D0%9A-3.8.1%D0%92.pdf,52563,https://vk.com/video_ext.php?oid=-177656185&id=456239202&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240637&hd=2&autoplay=0;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241113&hash=33c7e1ce9cdb8bd3,37 кг,электричество,карусельный,8,4,3.4 кВт,
