Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Количество зон нагрева,Материал жарочной поверхности,Структура верхней поверхности,Структура нижней поверхности,Размер верхней рабочей поверхности,Размер нижней рабочей поверхности
https://cdn.entero.ru/mp@2x/3d/8a/3d8a3189c9d606f88ce3882262e4275d.jpg,Гриль прижимной Hurakan HKN-PE34R,Гриль прижимной Hurakan HKN-PE34R,11310,RUB,Да,Hurakan,Профоборудование,Тепловое,Грили контактные,https://entero.ru/item/45418,"<p>Прижимной гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/45418"">Hurakan HKN-PE34R</a></b> предназначен для обжаривания стейков и сосисок, приготовления сэндвичей, полуфабрикатов, подогрева булочек, гамбургеров, хот-догов на предприятиях общественного питания и торговли. Высокая скорость приготовления достигается благодаря встроенным в обе части аппарата тепловым элементам, которые плотно прилегают к продукту. Модель оснащена регулируемым термостатом, индикатором нагрева и лотком для сбора жира. Корпус выполнен из нержавеющей стали.</p>",45418,от 50 до 300 °C,220 В,2.2 кВт,430 мм,370 мм,210 мм,18 кг,Китай,1,500x450x270 мм,24,https://entero.ru/manuals/66042/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-PE34R.doc;https://entero.ru/manuals/412931/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-PE34R.pdf;https://entero.ru/manuals/412937/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412941/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453816/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-PE34R.pdf;https://entero.ru/manuals/468972/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-PE34R.pdf,12293,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241013&hash=aa1c37042d4d71f1;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241033&hash=6b3ed7ee646216c8,17.5 кг,,1,чугун,рифленая,рифленая,340х230 мм,340х230 мм
https://cdn.entero.ru/mp@2x/5c/7f/5c7f1f40b4811de1265c70dd4f8df1e6.jpg;https://cdn.entero.ru/mp@2x/b5/44/b544984e0216a81cddbb491072451787.jpg;https://cdn.entero.ru/mp@2x/61/13/61138807225edfbea53052465a30b9a4.jpg;https://cdn.entero.ru/mp@2x/6e/c1/6ec1d926fea3163b02c58c39c53585e7.jpg,Гриль прижимной Airhot CG,Гриль прижимной Airhot CG,9507,RUB,Да,Airhot,Профоборудование,Тепловое,Грили контактные,https://entero.ru/item/42128,"<p>Прижимной гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/42128"">Airhot CG</a> </b>предназначен для жарки мяса, птицы, рыбы, овощей, а также для приготовления стейков, гамбургеров и горячих сэндвичей на предприятиях общественного питания и торговли. Высокая скорость приготовления достигается благодаря встроенным в обе части аппарата тепловым элементам, которые плотно прилегают к продукту. Модель оснащена терморегулятором и съёмным поддоном для сбора жира и крошек. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>",42128,от 50 до 300 °C,220 В,1.8 кВт,400 мм,300 мм,210 мм,15 кг,Китай,1,440x365x265 мм,0,https://entero.ru/manuals/96151/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20CG.pdf;https://entero.ru/manuals/96149/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20CG.pdf;https://entero.ru/manuals/481876/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,13.8 кг,,1,чугун,рифленая,рифленая,220х230 мм,220х230 мм
https://cdn.entero.ru/mp@2x/80/ab/80ab080566c5c4989d228e3d50cae747.jpg,Гриль прижимной Sirman CORT RR,34A2301002SI / CORT RR,41073,RUB,Да,Sirman,Профоборудование,Тепловое,Грили контактные,https://entero.ru/item/24185,"<p>Прижимной гриль <a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/24185""><b class=""b"">Sirman CORT R</b></a> предназначен для жарки мяса, птицы, рыбы, овощей, а также для приготовления стейков, гамбургеров и горячих сэндвичей на предприятиях общественного питания и торговли. Модель оснащена регулируемым термостатом и армированными нагревательными элементами, которые прилегают вплотную к плите для оптимальной тепловой проводимости. Корпус изделия выполнен из нержавеющей стали, рабочая поверхность - из чугуна с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая панель управления</li>
<li>Поворотный тумблер для регулирования температуры нагрева рабочей поверхности </li>
<li>Световой индикатор гаснет при наборе температуры</li>
<li>Самобалансируемая и регулируемая верхняя плита</li>
<li>Резиновые ножки регулируются по высоте</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 430x420x270 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Механический таймер</li>
</ul>",24185,от 0 до 300 °C,220 В,2.1 кВт,380 мм,435 мм,235 мм,23 кг,Италия,1,420x440x270 мм,13,https://entero.ru/manuals/45756/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sirman%20CORT%20R.pdf;https://entero.ru/manuals/419678/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sirman%20CORT.pdf;https://entero.ru/manuals/45757/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Sirman%20CORT%20R.jpg;https://entero.ru/manuals/72754/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/501585/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,43695,,22 кг,,1,чугун,рифленая,рифленая,355x255 мм,355x255 мм
https://cdn.entero.ru/mp@2x/da/34/da34482b45f33f699c714438369ce6cb.jpg,Гриль прижимной Airhot CGL,Гриль прижимной Airhot CGL,11683,RUB,Да,Airhot,Профоборудование,Тепловое,Грили контактные,https://entero.ru/item/83399,"<p>Прижимной гриль <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83399""><b class=""b"">Airhot CGL </b></a>предназначен для жарки мяса, птицы, рыбы, овощей, а также для приготовления стейков, гамбургеров и горячих сэндвичей на предприятиях общественного питания и торговли. Высокая скорость приготовления достигается благодаря встроенным в обе части аппарата тепловым элементам, которые плотно прилегают к продукту. Модель оснащена терморегулятором и съёмным поддоном для сбора жира и крошек. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>",83399,от 50 до 300 °C,220 В,2.2 кВт,425 мм,400 мм,220 мм,18 кг,Китай,1,500x445x280 мм,0,https://entero.ru/manuals/96152/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20CGL.pdf;https://entero.ru/manuals/481873/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,,1,чугун,рифленая,рифленая,360x235 мм,360x235 мм
https://cdn.entero.ru/mp@2x/dd/b6/ddb6f099df8c7ccca5385f59e6300f9f.jpg,Гриль прижимной Hurakan HKN-PE44R,140675,17313,RUB,Да,Hurakan,Профоборудование,Тепловое,Грили контактные,https://entero.ru/item/45410,"<p>Прижимной гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/45410"">Hurakan HKN-PE44R</a></b> предназначен для обжаривания стейков и сосисок, приготовления сэндвичей, полуфабрикатов, подогрева булочек, гамбургеров, хот-догов на предприятиях общественного питания и торговли. Высокая скорость приготовления достигается благодаря встроенным в обе части аппарата тепловым элементам, которые плотно прилегают к продукту. Модель оснащена регулируемыми термостатами, индикаторами нагрева и лотком для сбора жира. Корпус выполнен из нержавеющей стали.</p>",45410,300 °C,220 В,3.6 кВт,570 мм,390 мм,210 мм,30 кг,Китай,1,630x440x270 мм,49,https://entero.ru/manuals/412977/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-PE44R.pdf;https://entero.ru/manuals/412983/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-PE44R.pdf;https://entero.ru/manuals/412987/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412990/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453814/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-PE44R.pdf;https://entero.ru/manuals/468975/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241013&hash=aa1c37042d4d71f1,27.2 кг,,2,,рифленая,рифленая,,
https://cdn.entero.ru/mp@2x/cf/33/cf3393bd626fa8928319a810e4ccd8de.jpg;https://cdn.entero.ru/mp@2x/b7/7e/b77e90d222c41f3fd69170a459af6214.jpg,Гриль прижимной Airhot DCG,Гриль прижимной Airhot DCG,18147,RUB,Да,Airhot,Профоборудование,Тепловое,Грили контактные,https://entero.ru/item/32941,"<p>Прижимной гриль <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32941""><b class=""b"">Airhot DCG </b></a>предназначен для жарки мяса, птицы, рыбы, овощей, а также для приготовления стейков, гамбургеров и горячих сэндвичей на предприятиях общественного питания и торговли. Высокая скорость приготовления достигается благодаря встроенным в обе части аппарата тепловым элементам, которые плотно прилегают к продукту. Модель оснащена терморегулятором и съёмным поддоном для сбора жира и крошек. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>

<ul>
</ul>",32941,от 50 до 300 °C,220 В,3.6 кВт,600 мм,400 мм,220 мм,26.16 кг,Китай,1,630x440x265 мм,0,https://entero.ru/manuals/96154/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20DCG.pdf;https://entero.ru/manuals/96153/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20DCG.pdf;https://entero.ru/manuals/481870/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,19513,,24 кг,,2,чугун,рифленая,рифленая,215х215 мм,475х230 мм
https://cdn.entero.ru/mp@2x/94/47/94478eaf844724ce89a16a5d07e62570.jpg,Гриль для изготовления закрытых сэндвичей Mr.Pocket PSG-D,Гриль для изготовления закрытых сэндвичей Mr.Pocket PSG-D,90776,RUB,Да,Mr.Pocket,Профоборудование,Тепловое,Грили контактные,https://entero.ru/item/84404,"<p>Гриль для изготовления закрытых сэндвичей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84404"">Mr.Pocket PSG-D</a></b> используется на предприятиях общественного питания и торговли для запекания хлебных тостов или лепешек таким образом, чтобы начинка оставалась в закрытом пространстве между ними. Модель оснащена 2 регуляторами температуры и таймером для фиксации времени приготовления. Особая конструкция формы спекания позволяет отрезать лишнюю внешнюю часть тоста и получить прочный шов.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная производительность: 140 шт./час</li>
<li>Возможный диапазон температур: от 100 до 280 °C</li>
<li>Время прогрева: 30 мин.</li>
<li>Время приготовления: 30 сек.</li>
<li>
<p>Габариты в упаковке: 490x500x335 мм</p>
</li>
</ul>",84404,от 5 до 32 °C,220 В,1.06 кВт,437 мм,430 мм,285 мм,,Китай,,,0,,,https://vk.com/video_ext.php?oid=-177656185&id=456239397&hd=2&autoplay=0,,,2,алюминий,гладкая,гладкая,,
https://cdn.entero.ru/mp@2x/e3/bd/e3bd57fa9dc8f053b69aacc4ed68c16d.jpg;https://cdn.entero.ru/mp@2x/51/f4/51f415e20df3f489460b1442bb6d1667.jpg;https://cdn.entero.ru/mp@2x/27/5d/275d4a2392f3df2bf1d5dfd1d107b1f9.jpg;https://cdn.entero.ru/mp@2x/57/a2/57a201604ceabec17ef0aa7c7fe06cce.jpg;https://cdn.entero.ru/mp@2x/f4/3c/f43c118fb46c0c7c18c268d5e75b00ea.jpg,Гриль прижимной Airhot CG-FG,Гриль прижимной Airhot CG-FG,10567,RUB,Да,Airhot,Профоборудование,Тепловое,Грили контактные,https://entero.ru/item/114634,"<p>Прижимной гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/114634"">Airhot CG-FG</a> </b>предназначен для жарки мяса, птицы, рыбы, овощей, а также для приготовления стейков, гамбургеров и горячих сэндвичей на предприятиях общественного питания и торговли. Высокая скорость приготовления достигается благодаря встроенным в обе части аппарата тепловым элементам, которые плотно прилегают к продукту. Модель оснащена терморегулятором и съёмным поддоном для сбора жира и крошек. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>",114634,от 50 до 300 °C,220 В,1.8 кВт,305 мм,400 мм,220 мм,14 кг,Китай,1,365x440x265 мм,0,https://entero.ru/manuals/113953/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20CG-FG.pdf;https://entero.ru/manuals/481874/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,,1,чугун,рифленая,гладкая,216х224 мм,236x224 мм
https://cdn.entero.ru/mp@2x/40/7f/407f5e63f28ee23fbc2c790c35cf07a7.jpg;https://cdn.entero.ru/mp@2x/c7/4b/c74bec946bf1ef52db435d56c7deb4f5.jpg;https://cdn.entero.ru/mp@2x/eb/02/eb02dca5e343614e21f8fc85543a7c8c.jpg;https://cdn.entero.ru/mp@2x/eb/bd/ebbd4fa72a7eadef4e990ab3b9e167d2.jpg;https://cdn.entero.ru/mp@2x/ec/1b/ec1bf8c1921425eef80c77f6f94e5c02.jpg,Гриль прижимной VIATTO GH-811H,Гриль прижимной VIATTO GH-811H,9060,RUB,Да,VIATTO,Профоборудование,Тепловое,Грили контактные,https://entero.ru/item/92743,"<p>Прижимной гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/92743"">VIATTO GH-811H</a></b> предназначен для жарки мяса, птицы, рыбы, овощей и быстрого разогрева полуфабрикатов на предприятиях общественного питания и торговли. Рабочие поверхности имеют антипригарное покрытие.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребляемая мощность: 1,8 кВт</li>
<li>Габариты в упаковке: 430х390х270 мм</li>
</ul>",92743,300 °C,220 В,1.8 кВт,305 мм,400 мм,220 мм,14.8 кг,Китай,1,430x390x270 мм,57,https://entero.ru/manuals/409639/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20GH-811H.pdf;https://entero.ru/manuals/409640/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/86261/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/464181/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20GH-811H.pdf,,,13.8 кг,,1,,рифленая,рифленая,230х240 мм,230х240 мм
https://cdn.entero.ru/mp@2x/9c/d5/9cd5e91d4485157a7521a73b2099c6fe.jpg,Гриль прижимной Tatra TCG 3627 RR,213814,32935,RUB,Да,Tatra,Профоборудование,Тепловое,Грили контактные,https://entero.ru/item/128587,"<p>Прижимной гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128587"">Tatra TCG 3627 RR</a></b> предназначен для жарки мяса, птицы, рыбы, овощей и быстрого разогрева полуфабрикатов на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления с терморегулятором и индикаторами питания и нагрева и емкостью для сбора жира. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева до рабочей температуры: 15 мин.</li>
<li>Оптимальная температура использования: от 200 до 250 °C</li>
<li>Габариты в упаковке: 600х510х400 мм</li>
</ul>",128587,от 50 до 300 °C,220 В,2.5 кВт,500 мм,410 мм,300 мм,28 кг,Турция,1,600x510x400 мм,12,https://entero.ru/manuals/418187/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Tatra%20TCG%203627%20RR.pdf;https://entero.ru/manuals/141659/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tatra%20TCG%203627%20RR.pdf;https://entero.ru/manuals/418189/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202024-2025.pdf;https://entero.ru/manuals/418254/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/471603/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Tatra%20TCG%203627%20RR.pdf;https://entero.ru/manuals/509628/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,35414,,27 кг,,1,чугун,рифленая,рифленая,360х270 мм,360х270 мм
