Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Количество роликов,Поддон для сбора жира,Экран,Ширина загрузки,Количество термостатов,Ящик для подогрева булочек
https://cdn.entero.ru/mp@2x/d5/c4/d5c49e0d2ac06eecc91a09a1cee30de2.jpg,Гриль роликовый Airhot RG-7S,D9523,16082,RUB,Да,Airhot,Профоборудование,Тепловое,Грили роликовые,https://entero.ru/item/163189,"<p>Роликовый гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/163189"">Airhot RG-7S</a></b> предназначен для обжаривания мясных и рыбных батончиков, сарделек и сосисок на предприятиях общественного питания и торговли. Модель оснащена защитным экраном. Каждый ролик нагревается изнутри собственным тэном. Корпус и ролики выполнены из нержавеющей стали. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 250 °С</li>
<li>Диаметр роликов: 25 мм</li>
<li>Длина роликов: 450 мм</li>
<li>Габариты в упаковке: 620х390х460 мм </li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>

<p> </p>",163189,220 В,1.33 кВт,580 мм,330 мм,420 мм,12 кг,1,620x390x460 мм,0,https://entero.ru/manuals/189779/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20RG-7S.pdf;https://entero.ru/manuals/481859/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,10 кг,Китай,Китай,,7,Да,Да,,,
https://cdn.entero.ru/mp@2x/b7/28/b72893b75b01ffdbea1aecf1e2735b10.jpg;https://cdn.entero.ru/mp@2x/87/c1/87c1e17dc32f069b8f58229d6bd894b9.jpg,Гриль роликовый Hurakan HKN-GW7MC с экраном,Гриль роликовый Hurakan HKN-GW7MC с экраном,14458,RUB,Да,Hurakan,Профоборудование,Тепловое,Грили роликовые,https://entero.ru/item/210154,"<p>Роликовый гриль <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210154""><b class=""b"">Hurakan HKN-GW7MC</b></a> предназначен для обжаривания сосисок и сарделек, мясных и рыбных рулетов на предприятиях общественного питания и торговли. Модель оснащена защитным экраном. Корпус и ролики выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 650х450х450 мм</li>
</ul>",210154,220 В,1.05 кВт,580 мм,350 мм,400 мм,16.7 кг,1,650x450x450 мм,14,https://entero.ru/manuals/414670/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GW7MC.pdf;https://entero.ru/manuals/414671/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414673/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/474423/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-GW7MC%20%D1%81%20%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%BE%D0%BC.pdf,15219,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241064&hash=6c058bab5ead6cbf,12.3 кг,,Китай,,7,,Да,,,
https://cdn.entero.ru/mp@2x/b8/54/b85443fe8b6104e5d88f04daea7b5eda.jpg,Гриль роликовый Airhot RG-5S,D9522,12199,RUB,Да,Airhot,Профоборудование,Тепловое,Грили роликовые,https://entero.ru/item/163188,"<p>Роликовый гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/163188"">Airhot RG-5S</a></b> предназначен для обжаривания мясных и рыбных батончиков, сарделек и сосисок на предприятиях общественного питания и торговли. Модель оснащена защитным экраном. Каждый ролик нагревается изнутри собственным тэном. Корпус и ролики выполнены из нержавеющей стали. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 250 °С</li>
<li>Диаметр роликов: 25 мм</li>
<li>Длина роликов: 450 мм</li>
<li>Габариты в упаковке: 620x320x460 мм </li>
</ul>

<p> </p>",163188,220 В,0.96 кВт,590 мм,250 мм,420 мм,9.5 кг,1,620x320x460 мм,0,https://entero.ru/manuals/189778/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20RG-5S.pdf;https://entero.ru/manuals/481862/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,8.2 кг,Китай,Китай,,5,Да,Да,450 мм,,
https://cdn.entero.ru/mp@2x/67/75/6775ba1d423d281db45e87df4f40255b.jpg,Гриль роликовый Hurakan HKN-GW7M,149929,9200,RUB,Да,Hurakan,Профоборудование,Тепловое,Грили роликовые,https://entero.ru/item/60465,"<p>Роликовый гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/60465"">Hurakan HKN-GW7M</a></b> предназначен для обжаривания сосисок и сарделек, мясных и рыбных рулетов на предприятиях общественного питания и торговли. Модель оснащена регулируемыми термостатами и индикаторами нагрева. Корпус и ролики выполнены из нержавеющей стали.</p>",60465,220 В,1.4 кВт,580 мм,330 мм,180 мм,9.3 кг,1,635x385x215 мм,66,https://entero.ru/manuals/414657/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-GW7M.pdf;https://entero.ru/manuals/414659/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GW7M.pdf;https://entero.ru/manuals/414660/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414661/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453769/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GW7M.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241064&hash=6c058bab5ead6cbf,9 кг,Китай,Китай,,7,,,,,
https://cdn.entero.ru/mp@2x/59/0b/590b99f870ba6367b1f64ead54ec6f51.jpg;https://cdn.entero.ru/mp@2x/86/4c/864c36213d151619fbee51873262245a.jpg;https://cdn.entero.ru/mp@2x/e6/eb/e6eb9c376cf5ca90fddf74ddb7ab7fe0.jpg,Гриль роликовый Hurakan HKN-GW11M,158718,13844,RUB,Да,Hurakan,Профоборудование,Тепловое,Грили роликовые,https://entero.ru/item/84378,"<p>Роликовый гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84378"">Hurakan HKN-GW11M</a></b> предназначен для обжаривания сосисок и сарделек, мясных и рыбных рулетов на предприятиях общественного питания и торговли. Модель оснащена регулируемыми термостатами и индикаторами нагрева. Корпус и ролики выполнены из нержавеющей стали.</p>",84378,220 В,2.2 кВт,580 мм,480 мм,180 мм,16 кг,1,565x610x215 мм,14,https://entero.ru/manuals/414645/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-GW11M.pdf;https://entero.ru/manuals/414647/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GW11M.pdf;https://entero.ru/manuals/414648/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414649/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453774/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GW11M.pdf,15048,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241064&hash=6c058bab5ead6cbf,12.5 кг,Китай,Китай,,11,,,,,
https://cdn.entero.ru/mp@2x/5b/a1/5ba14c854fa6f4a2b2ce4beb62544716.jpg,Гриль роликовый Airhot RG-5,Гриль роликовый Airhot RG-5,8361,RUB,Да,Airhot,Профоборудование,Тепловое,Грили роликовые,https://entero.ru/item/32990,"<p>Роликовый гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32990"">Airhot RG-5</a></b> предназначен для обжаривания мясных и рыбных батончиков, сарделек и сосисок на предприятиях общественного питания и торговли. Модель оснащена поддоном для сбора жира и крошек и каждый ролик нагревается изнутри своим ТЭНом. Постоянное вращение роликов способствует прожариванию продуктов со всех сторон. Корпус и ролики выполнены из нержавеющей стали.</p>

<p><b>Дополнительные храктеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300 ºС</li>
<li>Мощность 1 ролика: 0,15 кВт</li>
</ul>",32990,220 В,0.75 кВт,560 мм,255 мм,178 мм,7.26 кг,1,315x610x215 мм,0,https://entero.ru/manuals/96156/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20RG-5.pdf;https://entero.ru/manuals/96155/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20RG-5.pdf;https://entero.ru/manuals/481864/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,6.26 кг,Китай,Китай,,5,Да,,,,
https://cdn.entero.ru/mp@2x/9f/98/9f9850991d212656a9f236ce3d3c8183.jpg;https://cdn.entero.ru/mp@2x/c3/2b/c32bb8cb551648ef6759e469f1b8746a.jpg;https://cdn.entero.ru/mp@2x/2e/a3/2ea34c2436fefd0f9cf7fe62f1fb8aa4.jpg;https://cdn.entero.ru/mp@2x/a7/81/a78123ce7c958030a6a5ebbdd130aae4.jpg,Гриль роликовый Hurakan HKN-GW5M,149928,8529,RUB,Да,Hurakan,Профоборудование,Тепловое,Грили роликовые,https://entero.ru/item/83142,"<p>Роликовый гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83142"">Hurakan HKN-GW5M</a></b> предназначен для обжаривания сосисок и сарделек, мясных и рыбных рулетов на предприятиях общественного питания и торговли. Модель оснащена регулируемым термостатом и индикатором нагрева. Корпус и ролики выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 610х300х230 мм</li>
</ul>",83142,220 В,1 кВт,580 мм,250 мм,215 мм,9 кг,1,610x300x230 мм,31,https://entero.ru/manuals/414651/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-GW5M.pdf;https://entero.ru/manuals/414653/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GW5M.pdf;https://entero.ru/manuals/414654/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414656/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453768/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GW5M.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241064&hash=6c058bab5ead6cbf,7.5 кг,Китай,Китай,,5,,,,,
https://cdn.entero.ru/mp@2x/19/2d/192dfdbc4730aa5f975af2ba9e61c661.jpg,Гриль роликовый Airhot RG-7,Гриль роликовый Airhot RG-7,9013,RUB,Да,Airhot,Профоборудование,Тепловое,Грили роликовые,https://entero.ru/item/54845,"<p>Роликовый гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/54845"">Airhot RG-7</a></b> предназначен для обжаривания мясных и рыбных батончиков, сарделек и сосисок на предприятиях общественного питания и торговли. Модель оснащена раздельной регулировкой нагрева передней и задней группы роликов, поддоном для сбора жира и крошек и каждый ролик нагревается изнутри своим ТЭНом. Постоянное вращение роликов способствует прожариванию продуктов со всех сторон. Корпус и ролики выполнены из нержавеющей стали.</p>

<p><b>Дополнительные храктеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300 ºС</li>
<li>Мощность 1 ролика: 0,15 кВт</li>
</ul>",54845,220 В,1.05 кВт,560 мм,330 мм,178 мм,8.72 кг,1,630x385x210 мм,0,https://entero.ru/manuals/96158/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20RG-7.pdf;https://entero.ru/manuals/96157/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20RG-7.pdf;https://entero.ru/manuals/481863/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,7.84 кг,Китай,Китай,,7,Да,,,,
https://cdn.entero.ru/mp@2x/7f/0b/7f0ba10b92db99be1123e93cde2dafe2.jpg,Гриль роликовый Airhot RG-9,Гриль роликовый Airhot RG-9,10040,RUB,Да,Airhot,Профоборудование,Тепловое,Грили роликовые,https://entero.ru/item/122740,"<p>Роликовый гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122740"">Airhot RG-9</a></b> предназначен для обжаривания мясных и рыбных батончиков, сарделек и сосисок на предприятиях общественного питания и торговли. Модель оснащена раздельной регулировкой нагрева передней и задней группы роликов, поддоном для сбора жира и крошек и каждый ролик нагревается изнутри своим ТЭНом. Постоянное вращение роликов способствует прожариванию продуктов со всех сторон. Корпус и ролики выполнены из нержавеющей стали.</p>

<p><b>Дополнительные храктеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300 ºС</li>
<li>Мощность 1 ролика: 0,15 кВт</li>
</ul>",122740,220 В,1.65 кВт,560 мм,410 мм,178 мм,11.16 кг,1,445x610x210 мм,0,https://entero.ru/manuals/129465/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20RG-9.pdf;https://entero.ru/manuals/481861/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,8 кг,Китай,Китай,,9,Да,,,,
https://cdn.entero.ru/mp@2x/26/1d/261d6a797e3498c4e9faf16201789223.jpg;https://cdn.entero.ru/mp@2x/11/04/1104135fcdc5a4d31c5995cadde83856.jpg;https://cdn.entero.ru/mp@2x/4b/4e/4b4e3cf089448ee222a28a1ac837e4e7.jpg;https://cdn.entero.ru/mp@2x/36/63/36638b7f6c200a34411530d01d5ae076.jpg,Гриль роликовый Hurakan HKN-GW5MC с экраном,374495,12405,RUB,Да,Hurakan,Профоборудование,Тепловое,Грили роликовые,https://entero.ru/item/210155,"<p>Роликовый гриль <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210155""><b class=""b"">Hurakan HKN-GW5M</b></a> предназначен для обжаривания сосисок и сарделек, мясных и рыбных рулетов на предприятиях общественного питания и торговли. Модель оснащена защитным экраном. Корпус и ролики выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 650x350x450 мм</li>
</ul>

<p><br><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель без экрана.</span></em></p>",210155,220 В,0.75 кВт,580 мм,270 мм,400 мм,14.1 кг,1,650x350x450 мм,23,https://entero.ru/manuals/414667/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GW5MC.pdf;https://entero.ru/manuals/414668/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414669/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/474428/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-GW5MC%20%D1%81%20%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%BE%D0%BC.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241064&hash=6c058bab5ead6cbf,9 кг,,Китай,,5,,Да,,,
