Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Количество уровней,Вес (с упаковкой),Центрифуга для зелени
https://cdn.entero.ru/mp@2x/34/57/3457084ccfaeb0834fdda57ee455bb43.jpg;https://cdn.entero.ru/mp@2x/e1/53/e153a46095259994669e0f4f95ba8daf.jpg;https://cdn.entero.ru/mp@2x/34/55/34559a405bf34543502646b872399ce6.jpg,Сушилка для овощей и фруктов Airhot FD-10,Дегидратор FD-10 C1602,18005,RUB,Да,Airhot,Профоборудование,Тепловое,Дегидраторы,https://entero.ru/item/111960,"<p>Дегидратор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/111960"">Airhot FD-10</a></b> используется на предприятиях общественного питания и торговли, в производственных цехах для сушки овощей, грибов, фруктов и ягод. Модель оснащена сенсорной панелью управления и вентилятором на задней панели. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 10 решеток из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>10 уровней</li>
<li>Регулируемая температура</li>
<li>Таймер (от 0 до 24 часов)</li>
<li>Направление воздушного цикла - снизу вверх</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 59 л</li>
<li>Размер решетки: 396х396 мм</li>
<li>Размер ячеек: 6x12 мм</li>
<li>Шаг регулировки температуры: 5 °С</li>
<li>Максимальная нагрузка на решетку: 5 кг</li>
<li>Расстояние между решетками: 30 мм</li>
<li>Уровень шума: 50 дБ</li>
<li>Габариты в упаковке: 635x505x480 мм </li>
</ul>",111960,от 20 до 90 °С,220 В,1 кВт,545 мм,420 мм,380 мм,17 кг,1,620x490x460 мм,0,https://entero.ru/manuals/271679/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20FD-10.pdf;https://entero.ru/manuals/482015/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,18953,,15 кг,,Китай,10,,
https://cdn.entero.ru/mp@2x/b4/0b/b40bd062a37ffc46fa51b657ccb8434f.jpg;https://cdn.entero.ru/mp@2x/a4/12/a41246efab0af54e8abe847b404ac42d.jpg;https://cdn.entero.ru/mp@2x/f0/cd/f0cdbfc0ea82f3df1599bcc07c3e5639.jpg;https://cdn.entero.ru/mp@2x/98/48/9848aa3390fff195f5d90a1d728e74ff.jpg;https://cdn.entero.ru/mp@2x/47/49/4749c259b91cccfa8c2653db1e8cef82.jpg;https://cdn.entero.ru/mp@2x/78/17/78175725965d2e31d96d90fc49c6c8eb.jpg;https://cdn.entero.ru/mp@2x/86/20/8620b370a18f5a50ad6a7371e0a51625.jpg;https://cdn.entero.ru/mp@2x/f2/19/f21952ea6a9c89d4e7a4f975bca5a82c.jpg;https://cdn.entero.ru/mp@2x/e2/e7/e2e7949f6e9fd6016c841aab33ef96ed.jpg;https://cdn.entero.ru/mp@2x/eb/60/eb60f7b2236bbba5537b901cd7f2a8bb.jpg;https://cdn.entero.ru/mp@2x/36/ae/36aed61932ba3ad211dacc6e765dab28.jpg,Сушилка для овощей и фруктов Airhot FD-10G,Дегидратор FD-10G C6641,17960,RUB,Да,Airhot,Профоборудование,Тепловое,Дегидраторы,https://entero.ru/item/119119,"<p>Дегидратор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/119119"">Airhot FD-10G</a></b> используется на предприятиях общественного питания и торговли, в производственных цехах, а также в домашних условиях для сушки овощей, грибов, фруктов и ягод. Модель оснащена электромеханической панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 10 решеток.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемая температура</li>
<li>Таймер (от 0 до 15 часов)</li>
<li>Стеклянная дверь</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 59 л</li>
<li>Размер решетки: 396х396 мм</li>
<li>Размер ячеек: 6х12 мм</li>
<li>Максимальная нагрузка на решетку: 5 кг</li>
<li>Расстояние между уровнями решетки: 30 мм</li>
<li>Уровень шума: 50 дБ</li>
</ul>",119119,от 40 до 90 °С,220 В,1 кВт,545 мм,420 мм,380 мм,17.62 кг,1,510x625x485 мм,0,https://entero.ru/manuals/121967/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20FD-10G.pdf;https://entero.ru/manuals/482014/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,18905,,15 кг,,Китай,10,,
https://cdn.entero.ru/mp@2x/ba/a3/baa336e19ddbb82b358a99ec73f35b2e.jpg,Сушилка для овощей и фруктов Hurakan HKN-DHD12M,Дегидратор HKN-DHD12M,19192,RUB,Да,Hurakan,Профоборудование,Тепловое,Дегидраторы,https://entero.ru/item/198093,"<p>Дегидратор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/198093"">Hurakan HKN-DHD12M</a></b> предназначен для сушки ягод, фруктов, овощей и грибов на предприятиях общественного питания и торговли. Модель оснащена таймером от 30 до 60 мин. Корпус и решетки выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят 12 решеток.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер решетки: 385х283 мм</li>
<li>Расстояние между решетками: 30 мм</li>
</ul>",198093,от 30 до 90 °С,220 В,1 кВт,464 мм,402 мм,440 мм,12 кг,1,450x450x500 мм,17,https://entero.ru/manuals/415992/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412508/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453854/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-DHD12M.pdf;https://entero.ru/manuals/483787/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-DHD12M.pdf,19992,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241349&hash=dfd83c6c10f1e366,11.5 кг,,Китай,12,,
https://cdn.entero.ru/mp@2x/47/5f/475fe45741bda7efc25879e9facf373b.jpg;https://cdn.entero.ru/mp@2x/7f/43/7f434862d3f3a0935af9d881db97f65b.jpg;https://cdn.entero.ru/mp@2x/0f/8f/0f8f46ba40382d904d21885f33646d0f.jpg;https://cdn.entero.ru/mp@2x/ed/1f/ed1f6ae79a7ca81bd6fa5ed87cf0cc90.jpg;https://cdn.entero.ru/mp@2x/e6/ad/e6ad544c8ed9484a052b1e600ef5fd52.jpg;https://cdn.entero.ru/mp@2x/e0/03/e003725977c730b49d634a9ac0f2a250.jpg;https://cdn.entero.ru/mp@2x/b3/fd/b3fd2adccc23e43641fbeb182133c43b.jpg;https://cdn.entero.ru/mp@2x/a2/92/a292764bbe94f7e4c460fd38d71aeca9.jpg;https://cdn.entero.ru/mp@2x/75/79/7579062f37402d2fec30f4e1caee6ea3.jpg;https://cdn.entero.ru/mp@2x/23/21/2321364efeacf4b2d899fcf82b481e05.jpg;https://cdn.entero.ru/mp@2x/ab/ba/abba3a5dd7a8d77ce50c7f98e9078e1c.jpg;https://cdn.entero.ru/mp@2x/64/26/6426f949d1d862d905ba13a5ec53fba8.jpg,Сушилка для овощей и фруктов Airhot FD-16G,Дегидратор FD-16G C6642,30254,RUB,Да,Airhot,Профоборудование,Тепловое,Дегидраторы,https://entero.ru/item/119120,"<p>Дегидратор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/119120"">Airhot FD-16G</a></b> используется на предприятиях общественного питания и торговли, в производственных цехах, а также в домашних условиях для сушки овощей, грибов, фруктов и ягод. Модель оснащена электромеханической панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 16 решеток.</p>

<p><b>Особенности:</b></p>

<ul>
<li>16 уровней</li>
<li>Регулируемая температура</li>
<li>Таймер (от 0 до 15 часов)</li>
<li>Стеклянная дверь</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 100 л</li>
<li>Размер решетки: 396х396 мм</li>
<li>Размер ячейки: 12х6 мм</li>
<li>Максимальная нагрузка на решетку: 5 кг</li>
<li>Уровень шума: 50 дБ</li>
<li>Габариты в упаковке: 600х480х695 мм</li>
<li>Расстояние между решетками: 35 мм</li>
</ul>",119120,от 40 до 90 °С,220 В,1.35 кВт,545 мм,420 мм,630 мм,26 кг,1,600x480x569 мм,0,https://entero.ru/manuals/121969/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20FD-16G.pdf;https://entero.ru/manuals/482012/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,24 кг,,Китай,16,,
https://cdn.entero.ru/mp@2x/c4/ba/c4ba6e93fef1542059fca32e201d1c36.jpg,Сушилка для зелени Kocateq WF12,Сушилка для салата WF12,6299,RUB,Да,Kocateq,Профоборудование,Тепловое,Дегидраторы,https://entero.ru/item/97926,"<p>Ручная центрифуга для сушки листовых овощей<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/97926"">Kocateq WF12</a></b> используется на предприятиях общественного питания и торговли для сушки и удаления воды из салатов, шпината, зелени и других нарезанных листовых овощей. Трубка выполнена из силикона, корпус - из полипропилена.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручной привод для максимально нежного обращения с овощами</li>
<li>Лишняя вода выходит через трубку, расположенную в нижней части центрифуги</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 12 л</li>
<li>Вместимость: 2-3 головки салата</li>
<li>Размер в упаковке: 340х340х470 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото представлена аналогичная модель другого размера.</span></em></p>",97926,,,,335 мм,335 мм,435 мм,3.42 кг,1,340x340x470 мм,0,https://entero.ru/manuals/111580/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf,,,2.2 кг,,Южная Корея,,,Да
https://cdn.entero.ru/mp@2x/e3/44/e344c1c4e7e69143dd3ae68002f18cdc.jpg;https://cdn.entero.ru/mp@2x/b3/05/b305a0830cf07a0a4fdca004c6150d94.jpg,Сушилка для овощей и фруктов Hurakan HKN-DHD10,Дегидратор HKN-DHD10,18320,RUB,Да,Hurakan,Профоборудование,Тепловое,Дегидраторы,https://entero.ru/item/88153,"<p>Дегидратор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88153"">Hurakan HKN-DHD10</a></b> предназначен для сушки ягод, фруктов, овощей и грибов на предприятиях общественного питания и торговли. Модель оснащена 10 уровнями решеток и таймером (до 15 часов). Корпус выполнен из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Уровень шума: 42 дБ</li>
<li>Размер решетки: 396x396 мм</li>
</ul>",88153,от 30 до 70 °С,220 В,1 кВт,420 мм,550 мм,380 мм,16 кг,1,600x495x430 мм,47,https://entero.ru/manuals/69246/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-DHD10.doc;https://entero.ru/manuals/412501/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-DHD10.pdf;https://entero.ru/manuals/415989/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-DHD10.pdf;https://entero.ru/manuals/415990/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412502/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,19913,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241349&hash=dfd83c6c10f1e366,16 кг,,Китай,10,,
https://cdn.entero.ru/mp@2x/60/55/6055d8c5e2e3042974c8d558726e7f37.jpg;https://cdn.entero.ru/mp@2x/0c/ce/0cceb2946902fe02385839d7805678af.jpg;https://cdn.entero.ru/mp@2x/b9/c9/b9c9068efc5087e0cc5aca95f5f0ea09.jpg;https://cdn.entero.ru/mp@2x/9b/74/9b74ad2c3ac81d2c47a8e394ba6efd05.jpg;https://cdn.entero.ru/mp@2x/9e/44/9e44289384a89e380afd806e652861a9.jpg;https://cdn.entero.ru/mp@2x/47/1f/471f87bf6d24d5c6b1697b737877cbb3.jpg;https://cdn.entero.ru/mp@2x/97/21/9721d973c84f9cf230ace27fb8c1f1d9.jpg;https://cdn.entero.ru/mp@2x/93/4d/934d82976fb78f22f40f9cbec3b7e586.jpg;https://cdn.entero.ru/mp@2x/ee/8b/ee8b17a52a295924699a4835b9d670b2.jpg;https://cdn.entero.ru/mp@2x/7a/b6/7ab6f375086b76c7313118f60294985a.jpg;https://cdn.entero.ru/mp@2x/ee/70/ee7065243c48ea54659f2aba8406e10d.jpg,Сушилка для овощей и фруктов Libhof FDA-14,Дегидратор FDA-14,18999,RUB,Да,,Профоборудование,Тепловое,Дегидраторы,https://entero.ru/item/315340,"<p>Дегидратор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315340"">Libhof FDA-14</a></b> используется на предприятиях пищевой промышленности, общественного питания и торговли, а также в домашних условиях для сушки овощей, фруктов, ягод, грибов и трав, вяления рыбы, расстойки теста, приготовления сухариков, пастилы и йогурта. Модель оснащена камерой с 14 уровнями направляющих для размещения поддонов, дисплеем, 3 дополнительными смотровыми окнами и таймером. Корпус выполнен из оцинкованной пластины, поддоны - из нержавеющей стали.</p>

<p>В комплект поставки входят 14 съемных решетчатых поддонов, 3 мелкоячеистой сетки и 4 лотка для пастилы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Горизонтальный обдув с равномерным распределением тепла</li>
<li>Регулировка температуры</li>
<li>10 автоматических программ</li>
<li>Автоматическое отключение при перегреве</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон заданной длительности: от 1 до 48 ч</li>
<li>​Объем камеры: 35 л</li>
<li>Уровень шума: 65 дБ</li>
<li>Максимальная загрузка: 42 кг</li>
<li>Длина кабеля питания: 0,8 м</li>
<li>Габариты поддонов: 290x290 мм</li>
<li>Габариты упаковки: 450х390х565 мм</li>
</ul>",315340,от 35 до 75 °С,220 В,0.85 кВт,403 мм,331 мм,455 мм,13 кг,1,450x390x565 мм,0,https://entero.ru/manuals/379289/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20FDA-14.pdf;https://entero.ru/manuals/379290/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D0%B2%20%D0%B4%D0%BB%D1%8F%20%D0%B4%D0%B5%D0%B3%D0%B8%D0%B4%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%B0%20Libhof.pdf;https://entero.ru/manuals/499754/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,19791,,11 кг,Словакия,,14,,
https://cdn.entero.ru/mp@2x/4a/86/4a862b85e1fa951ce1c4acffbedb3a97.jpg,Сушилка для зелени Kocateq WF25,Сушилка для салата WF25,8019,RUB,Да,Kocateq,Профоборудование,Тепловое,Дегидраторы,https://entero.ru/item/97929,"<p>Ручная центрифуга для сушки листовых овощей<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/97929"">Kocateq WF25</a></b> используется на предприятиях общественного питания и торговли для сушки и удаления воды из салатов, шпината, зелени и других нарезанных листовых овощей. Трубка выполнена из силикона, корпус - из полипропилена.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручной привод для максимально нежного обращения с овощами</li>
<li>Лишняя вода выходит через трубку, расположенную в нижней части центрифуги</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 25 л</li>
<li>Вместимость: 2-3 головки салата</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото представлена аналогичная модель другого размера.</span></em></p>",97929,,,,430 мм,430 мм,515 мм,,,,0,https://entero.ru/manuals/111584/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf,,,3.3 кг,,Южная Корея,,,Да
https://cdn.entero.ru/mp@2x/00/a1/00a17d6e5f4ffb0072a14429a6293837.jpg,Сушилка для зелени MACO JW-SP19,Сушилка для салата JW-SP19,10986,RUB,Да,MACO,Профоборудование,Тепловое,Дегидраторы,https://entero.ru/item/230325,"<p>Ручная сушилка для зелени <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/230325""><b class=""b"">MACO JW-SP19</b></a> серии Jiwins используется на предприятиях общественного питания и торговли для сушки и удаления воды из салатов, шпината, зелени и других нарезанных листовых овощей. Модель оснащена внешним контейнером, внутренней корзиной с сеткой и крышкой с ручкой, при помощи которой можно регулировать скорость сушки. Изделие выполнено из полипропилена.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 19 л</li>
<li>Цвет: оранжевый</li>
</ul>",230325,,,,465 мм,465 мм,565 мм,5.27 кг,1,500x500x600 мм,8,https://entero.ru/manuals/277040/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20MACO.pdf,,,4.25 кг,,Китай,,,Да
https://cdn.entero.ru/mp@2x/5b/38/5b38ddcdd8a0b8ed25a0068b68de730a.jpg;https://cdn.entero.ru/mp@2x/40/67/4067955ec63b18afe87d8007d1d9e26f.jpg;https://cdn.entero.ru/mp@2x/bd/8b/bd8bd31ecee482aee698078ba836162d.jpg;https://cdn.entero.ru/mp@2x/c0/66/c066dd36b460dd52fbaf25e33748b959.jpg;https://cdn.entero.ru/mp@2x/85/97/8597316a36539dc352b35ecb8fbde3a7.jpg;https://cdn.entero.ru/mp@2x/1c/94/1c9407b986f4ad81cf4f900679343df3.jpg;https://cdn.entero.ru/mp@2x/69/dc/69dc00232b54ad1081bebe95e03d9120.jpg;https://cdn.entero.ru/mp@2x/51/b4/51b44886d114a4255c5ae504e81dc5b1.jpg;https://cdn.entero.ru/mp@2x/65/27/6527ced6dcbb13f4344fb346bb470157.jpg,Сушилка для овощей и фруктов VIATTO VA-DG6SS,Дегидратор VA-DG6SS,16779,RUB,Да,VIATTO,Профоборудование,Тепловое,Дегидраторы,https://entero.ru/item/165991,"<p>Дегидратор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/165991"">VIATTO VA-DG6SS</a> </b>предназначен для равномерного извлечения влаги из продуктов (овощей, грибов, фруктов, ягод, трав и орехов) посредством конвекции, а также для приготовления пастилы, в т.ч. фруктовой (смоквы), овощных и фруктовых чипсов, хлебцев, сушеного мяса и рыбы на предприятиях общественного питания. Модел оснащена электронной панелью управления и вентилятором с горизонтальным распределением воздуха, обеспечивающим равномерное просушивание продукта на всех уровнях загрузки.</p>

<p>В комплект поставки входят 6 решеток из нержавеющей стали размером 305х330 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Терморегулятор</li>
<li>Таймер на 12 часов с шагом установки времени 30 сек.</li>
<li>Равномерно обезвоживает продукты, увеличивая их срок хранения в десятки раз и сохраняя все биологически активные вещества и эстетический внешний вид</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Шаг установки температуры: 5 °С</li>
</ul>",165991,от 35 до 75 °С,220 В,0.65 кВт,340 мм,450 мм,311 мм,10.4 кг,1,505x390x382 мм,388,https://entero.ru/manuals/408915/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-DG6SS.pdf;https://entero.ru/manuals/408916/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/463850/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-DG6SS.pdf;https://entero.ru/manuals/463851/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/463853/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-DG6SS.png,,,8.8 кг,,Китай,6,,
