Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Подключение,Количество зон нагрева,Объем,Вес (с упаковкой),Линия 700,Линия 900,Структура жарочной поверхности,Материал поверхности,Лавовый,Галечный гриль
https://cdn.entero.ru/mp@2x/9e/80/9e80d052beb89402e7042593da352ecd.jpg,Поверхность жарочная Airhot GE-730/F,Поверхность жарочная Airhot GE-730/F,14170,RUB,Да,Airhot,Профоборудование,Тепловое,Жарочные поверхности,https://entero.ru/item/75132,"<p>Жарочная поверхность <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/75132""><b class=""b"">Airhot GE-730/F</b></a> используется на предприятиях общественного питания и торговли для приготовления различных типов продуктов: мяса, рыбы, овощей и т.д. Модель оснащена поддоном для сбора жира и бортиком, защищающим от разбрызгивания жира. Благодаря равномерному прогреванию можно избежать пригорания. Корпус выполнен из нержавеющей стали, жарочная поверхность - из углеродистой стали. </p>

<p>Штекер питания в комплект поставки не входит и приобретается отдельно. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Легкий монтаж</li>
<li>Плоская поверхность</li>
</ul>

<p> </p>",75132,настольная,от 50 до 300 °С,4.4 кВт,730 мм,515 мм,245 мм,32 кг,Китай,1,800x570x305 мм,0,https://entero.ru/manuals/96222/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20GE-730_F.pdf;https://entero.ru/manuals/481928/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,27 кг,220 В,2,,,,,гладкая,сталь,,
https://cdn.entero.ru/mp@2x/e3/6e/e36e8ff56ceac250c7d72f5bb3e6e2c3.jpg;https://cdn.entero.ru/mp@2x/4c/68/4c68cff983215bb5bfa00e6579a80cb8.jpg;https://cdn.entero.ru/mp@2x/5b/85/5b85dc6f540d9cfed292d09fb0559cae.jpg,Поверхность жарочная Airhot GE-550/F,Поверхность жарочная Airhot GE-550/F,10089,RUB,Да,Airhot,Профоборудование,Тепловое,Жарочные поверхности,https://entero.ru/item/32489,"<p>Жарочная поверхность <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32489"">Airhot GE-550/F</a></b> используется на предприятиях общественного питания и торговли для приготовления различных типов продуктов: мяса, рыбы, овощей и т.д. Модель оснащена поддоном для сбора жира и бортиком, защищающим от разбрызгивания жира. Благодаря равномерному прогреванию можно избежать пригорания. Корпус выполнен из нержавеющей стали.</p>",32489,настольная,от 50 до 300 °С,3 кВт,550 мм,475 мм,245 мм,21 кг,Китай,1,600x525x305 мм,0,https://entero.ru/manuals/96221/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20GE-550_F.pdf;https://entero.ru/manuals/96220/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20GE-550_F.pdf;https://entero.ru/manuals/481926/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,10509,,18 кг,220 В,1,,,,,гладкая,сталь,,
https://cdn.entero.ru/mp@2x/3f/19/3f190130ea8465b3b6cf4336a2f80cb5.jpg,Поверхность жарочная Hurakan HKN-PSLR730,144248,13856,RUB,Да,Hurakan,Профоборудование,Тепловое,Жарочные поверхности,https://entero.ru/item/60485,"<p>Жарочная поверхность <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/60485"">Hurakan HKN-PSLR730</a></b> предназначена для приготовления различных продуктов на предприятиях общественного питания и торговли. Модель оснащена регулируемым термостатом и бортиком рабочей поверхности. Корпус выполнен из нержавеющей стали. </p>",60485,настольная,от 50 до 300 °С,4.4 кВт,730 мм,470 мм,235 мм,28.63 кг,Китай,1,780x580x310 мм,25,https://entero.ru/manuals/66045/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-PSLR730.pdf;https://entero.ru/manuals/415429/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-PSLR730.pdf;https://entero.ru/manuals/415430/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415431/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454532/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-PSLR730.pdf,15061,,24.6 кг,220 В,1,,,,,комбинированная,сталь,,
https://cdn.entero.ru/mp@2x/18/b4/18b45ea13897f5e45018eef7ed64f085.jpg;https://cdn.entero.ru/mp@2x/32/60/32604a00c111b55c8c42680bcd166d45.jpg;https://cdn.entero.ru/mp@2x/6f/c9/6fc9b71536c8c665dcb1c70d7809627c.jpg;https://cdn.entero.ru/mp@2x/e9/2d/e92dd40836bd48f02798b7a2ed5ae3ae.jpg;https://cdn.entero.ru/mp@2x/ca/ae/caaef6f8a8ed95ab7ee4de0ed9995b72.jpg;https://cdn.entero.ru/mp@2x/f1/4c/f14c6e8b6669b0dcbd38e3befd404b8a.jpg;https://cdn.entero.ru/mp@2x/64/1e/641e53eb24efd66ccfec5007ea987ea3.jpg;https://cdn.entero.ru/mp@2x/37/82/3782d1d99922450dc6a859bb1b83bd14.jpg;https://cdn.entero.ru/mp@2x/cb/81/cb81c796066bc2781a22e506369ee686.jpg,Поверхность жарочная Apach APTE-77PL/PL,Поверхность жарочная Apach APTE-77PL/PL,220728,RUB,Да,Apach,Профоборудование,Тепловое,Жарочные поверхности,https://entero.ru/item/251106,"<p>Жарочная поверхность <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251106"">Apach APTE-77PL/PL</a></b> 700-й серии предназначена для обжарки мяса, рыбы и овощей на предприятиях общественного питания и торговли. Модель с закругленными краями и бортами оснащена электромеханической панелью управления с 2 терморегуляторами и 4 световыми индикаторами, выдвижным лотком для сбора остатков пищи, масла и жира и открытой подставкой с регулируемыми по высоте ножками. Корпус, панель управления и вытяжная решетка выполнены из нержавеющей стали AISI 304, боковые и задняя панели - из нержавеющей стали AISI 430, лоток - из нержавеющей стали, рабочая поверхность – из конструкционной стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем лотка: 2 л</li>
<li>Размер жарочной поверхности: 650х500 мм</li>
</ul>",251106,напольная,от 75 до 300 °С,8 кВт,700 мм,700 мм,850 мм,92 кг,Италия,1,790x750x1140 мм,8,https://entero.ru/manuals/498248/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Apach%20APTE-77PL_PL.pdf;https://entero.ru/manuals/498249/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/498282/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Apach%20APTE-77PL_PL.pdf,,,82 кг,380 В,2,,,Да,,гладкая,сталь,,
https://cdn.entero.ru/mp@2x/b9/b9/b9b9638ec638678880544b53d203df71.jpg,Гриль лавовый Roller Grill 140,Гриль лавовый Roller Grill 140,26324,RUB,Да,Roller Grill,Профоборудование,Тепловое,Жарочные поверхности,https://entero.ru/item/20327,"<p>Лавовый гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/20327"">Roller Grill 140</a></b> предназначен для приготовления различных блюд на предприятиях общественного питания и торговли. Процесс жарки происходит без применения масла. Вулканическая лава равномерно распределяет жар по продукту; лавовый камень впитывает лишнюю жидкость и исключает появление неприятных запахов в процессе готовки. Модель оснащена съемным блоком управления и эмалированным поддоном. Корпус выполнен из нержавеющей стали, решетка - из хромированной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электромеханическая система управления</li>
<li>10 положений регулятора нагрева ТЭНов</li>
<li>Съемная гриль-решетка</li>
<li>Сигнальные лампочки</li>
<li>4 резиновые ножки</li>
<li>Камни лавы можно мыть в посудомоечной машине</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры жарочной поверхности: 230x310 мм</li>
</ul>",20327,настольная,350 °С,2.5 кВт,300 мм,545 мм,160 мм,8 кг,Франция,1,260x230x560 мм,13,https://entero.ru/manuals/425245/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roller%20Grill%20140.pdf;https://entero.ru/manuals/425246/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,27421,,6 кг,220 В,1,,,,,решетка,сталь,Да,
https://cdn.entero.ru/mp@2x/2c/85/2c85ae6d8dfb3dd3c3958a338576a4f5.jpg;https://cdn.entero.ru/mp@2x/84/60/84602058f859992c4140fb67f22df9ec.jpg;https://cdn.entero.ru/mp@2x/10/7f/107f78f373d743ffb005fe0b0b373192.jpg;https://cdn.entero.ru/mp@2x/30/3b/303bbfebd9a25ad78c0820ba5b0e4024.jpg,Поверхность жарочная Airhot GE-730/FG,Поверхность жарочная Airhot GE-730/FG,14654,RUB,Да,Airhot,Профоборудование,Тепловое,Жарочные поверхности,https://entero.ru/item/32490,"<p>Жарочная поверхность <a style=""text-decoration:none;cursor:text;"" href=""http://entero.uz/item/32490""><b class=""b"">Airhot GE-730/FG</b></a> используется на предприятиях общественного питания и торговли для приготовления различных типов продуктов: мяса, рыбы, овощей и т.д. Модель оснащена поддоном для сбора жира и бортиком, защищающим от разбрызгивания жира. Благодаря равномерному прогреванию можно избежать пригорания. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Структура рабочей поверхности: 2/3 гладкая и 1/3 рифленая</li>
</ul>",32490,настольная,от 50 до 300 °С,4.4 кВт,730 мм,515 мм,245 мм,31 кг,Китай,1,785x570x305 мм,0,https://entero.ru/manuals/96224/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20GE-730_FG.pdf;https://entero.ru/manuals/96223/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20GE-730_FG.pdf;https://entero.ru/manuals/481929/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,26.5 кг,220 В,2,,,,,комбинированная,сталь,,
https://cdn.entero.ru/mp@2x/a6/41/a641185b5f5120241488aff477f41c34.jpg,Поверхность жарочная Roller Grill PSF 600 E 220В,PSF 600 E (220V),62326,RUB,Да,Roller Grill,Профоборудование,Тепловое,Жарочные поверхности,https://entero.ru/item/88479,"<p>Жарочная поверхность <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88479""><b class=""b"">Roller Grill PSF 600 E </b></a>используется на предприятиях общественного питания и торговли для приготовления различных типов продуктов: мяса, рыбы, овощей и т.д. Модель оснащена бортиком, защищающим от разбрызгивания жира, и съемным поддоном для сбора лишнего жира. Благодаря равномерному прогреванию можно избежать пригорания. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 термостата</li>
<li>1 спиральный нагревательный элемент</li>
<li>4 сигнальные лампочки</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер рабочей поверхности: 600х400 мм</li>
</ul>",88479,настольная,от 0 до 300 °С,3.5 кВт,600 мм,475 мм,230 мм,33.5 кг,Франция,1,550x695x275 мм,0,https://entero.ru/manuals/417198/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roller%20Grill%20PSF%20600%20E%20220%D0%92.pdf,,,29 кг,220 В,2,,,,,гладкая,чугун,,
https://cdn.entero.ru/mp@2x/10/a0/10a078b958319d69d9387c98f15a46e5.jpg,Поверхность жарочная Abat АКО-90/1П-С-00,21000801052,109670,RUB,Да,Abat,Профоборудование,Тепловое,Жарочные поверхности,https://entero.ru/item/127114,"<p>Жарочная поверхность <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127114"">Abat АКО-90/1П-С-00</a> </b>предназначена для приготовления мяса, рыбы, овощей и других продуктов методом жарки на предприятиях общественного питания и торговли. Модель оснащена контрольными лампами, терморегулятором, желобом для стекающей жидкости и бортиком от разбрызгивания и регулируемыми по высоте ножками.</p>

<p>Боковые, передняя и задняя поверхности выплнены из аустенитной нержавеющей стали AISI 304, подставка с полкой из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 лотка для сбора масла и жира</li>
<li>Воздуховод для отвода излишнего тепла и исключения перегрева изделия</li>
<li>Аварийный термовыключатель</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Площадь жарочной поверхности: 0,52 м<sup>2</sup></li>
<li>Размер жарочной поверхности: 834х703 мм</li>
<li>Время разогрева до максимальной температуры: 25 мин.</li>
<li>Потребляемая мощность: 12 кВт</li>
</ul>",127114,напольная,от 30 до 270 °С,,844 мм,900 мм,950 мм,143 кг,Россия,1,920x990x1093 мм,0,https://entero.ru/manuals/138628/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%90%D0%9A%D0%9E-90_1%D0%9F-%D0%A1-00.pdf;https://entero.ru/manuals/138625/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/419074/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%90%D0%9A%D0%9E-90_1%D0%9F-%D0%A1-00.docx;https://entero.ru/manuals/419075/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%90%D0%9A%D0%9E-90_1%D0%9F-%D0%A1-00.doc,117925,,106 кг,380 В,1,,,,Да,комбинированная,сталь,,
https://cdn.entero.ru/mp@2x/ef/52/ef526f6f1aefd269850ef694d6acbe6b.jpg;https://cdn.entero.ru/mp@2x/0d/58/0d58172b0e861102861af88e8300a7f7.jpg,Поверхность жарочная Abat АКО-40/1Н-Ч-00,21000000541,68260,RUB,Да,Abat,Профоборудование,Тепловое,Жарочные поверхности,https://entero.ru/item/127112,"<p>Жарочная поверхность <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127112"">Abat АКО-40/1Н-Ч-00</a></b> предназначена для приготовления мяса, рыбы, овощей и других продуктов методом жарки на предприятиях общественного питания и торговли. Модель оснащена контрольными лампами, терморегулятором, желобом для стекающей жидкости и бортиком от разбрызгивания и регулируемыми по высоте ножками.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Площадь жарочной поверхности: 0,22 м<sup>2</sup></li>
<li>Размер жарочной поверхности: 393x650 мм</li>
<li>Время разогрева до максимальной температуры: 25 мин.</li>
<li>Потребляемая мощность: 4,5 кВт</li>
</ul>",127112,настольная,от 30 до 270 °С,,402 мм,750 мм,470 мм,69 кг,Россия,1,900x500x573 мм,0,https://entero.ru/manuals/138619/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%90%D0%9A%D0%9E-40_1%D0%9D-%D0%A7-00.pdf;https://entero.ru/manuals/138618/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%90%D0%9A%D0%9E-40_1%D0%9D-%D0%A7-00.pdf;https://entero.ru/manuals/138617/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/412211/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/419077/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%90%D0%9A%D0%9E-40_1%D0%9D-%D0%A7-00.pdf,73398,,51 кг,380 В,1,,,Да,,комбинированная,чугун,,
https://cdn.entero.ru/mp@2x/c8/64/c864ef6d704e8678fa48eec9c88f36ff.jpg;https://cdn.entero.ru/mp@2x/f6/47/f64734855f90d10f61b85501d50bc677.jpg;https://cdn.entero.ru/mp@2x/74/9a/749a801bffa3b6ba42c26f7ff3fd32a9.jpg;https://cdn.entero.ru/mp@2x/4e/b3/4eb389afb53b26ffad8715bc5cbb458f.jpg;https://cdn.entero.ru/mp@2x/5c/3d/5c3d067679d07f046ffa750a077b5ff9.jpg;https://cdn.entero.ru/mp@2x/39/9b/399ba962163485f471678f6b24017d41.jpg;https://cdn.entero.ru/mp@2x/34/3b/343b51d5d9d9cfdc789d9774657687e2.jpg;https://cdn.entero.ru/mp@2x/08/51/0851fd1765c3575309ab4f9de35351bb.jpg,Поверхность жарочная Apach APTE-47PL/PL,Поверхность жарочная Apach APTE-47PL/PL,155200,RUB,Да,Apach,Профоборудование,Тепловое,Жарочные поверхности,https://entero.ru/item/251072,"<p>Жарочная поверхность <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251072"">Apach APTE-47PL/PL</a></b> 700-й серии предназначена для обжарки мяса, рыбы и овощей на предприятиях общественного питания и торговли. Модель с закругленными краями и бортами оснащена электромеханической панелью управления с терморегулятором и 2 световыми индикаторами, выдвижным лотком для сбора остатков пищи, масла и жира и открытой подставкой с регулируемыми по высоте ножками. Корпус, панель управления и вытяжная решетка выполнены из нержавеющей стали AISI 304, боковые и задняя панели - из нержавеющей стали AISI 430, лоток - из нержавеющей стали, рабочая поверхность – из конструкционной стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем лотка: 2 л</li>
<li>Размер жарочной поверхности: 350х500 мм</li>
</ul>",251072,напольная,от 75 до 300 °С,4 кВт,400 мм,700 мм,850 мм,63 кг,Италия,1,470x830x1130 мм,0,https://entero.ru/manuals/498218/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20APTE-47PL_PL.pdf;https://entero.ru/manuals/498219/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/498297/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Apach%20APTE-47PL_PL.pdf,161667,,53 кг,380 В,1,,,Да,,гладкая,сталь,,
