Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Объем ванны,Подключение,Вес (с упаковкой),Подключение к водопроводу,Тип установки,Количество ванн,Количество емкостей,Размеры ванны,Тип корзины,Общий объем,Кран для слива воды,Линия 700,Корзины,Линия 900
https://cdn.entero.ru/mp@2x/8a/53/8a53f5790a8c08c729a291cfaf95c049.jpg;https://cdn.entero.ru/mp@2x/44/40/444013b4251497cdf5c270b769e13b88.jpg;https://cdn.entero.ru/mp@2x/1a/8d/1a8d82107564a7223f1976cfb6bbf932.jpg,Электроварка Abat ЭВК-40/1Н 3хGN 1/3,21000000818,95738,RUB,Да,Abat,Профоборудование,Тепловое,Макароноварки,https://entero.ru/item/24932,"<p>Электроварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/24932""><b class=""b"">Abat ЭВК-40/1Н </b></a>предназначена для варки всех видов макаронных изделий, пельменей, вареников, овощей, корнеплодов и яиц на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость гастроемкостей:
<ul>
<li>3x GN 1/3</li>
</ul>
</li>
<li>Объем воды:
<ul>
<li>Варка: 25 л</li>
<li>Кипячение: 35 л</li>
</ul>
</li>
<li>Максимальное количество продукта: 3х 4 кг</li>
<li>Время разогрева до температуры кипения: 30 мин.</li>
<li>Потребляемая мощность: 7,5 кВт</li>
<li>Количество ТЭН-ов: 2</li>
</ul>",24932,,400 мм,750 мм,475 мм,46 кг,Россия,1,950x890x600 мм,0,https://entero.ru/manuals/110133/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%92%D0%9A-40_1%D0%9D.pdf;https://entero.ru/manuals/110132/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%92%D0%9A-40_1%D0%9D.pdf;https://entero.ru/manuals/110134/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/110135/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/407541/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%92%D0%9A-40_1%D0%9D.pdf,101849,,28 кг,35 л,380 В,,,настольный,1,3,304x508x270 мм,GN 1/3,35 л,Да,,,
https://cdn.entero.ru/mp@2x/f2/34/f2348cd6ee86ac728a795c1639eb34c0.jpg;https://cdn.entero.ru/mp@2x/a9/a3/a9a31bdc165baf7dc86c61005a56e057.jpg,Макароноварка Apach APPE-47P/PL,Макароноварка Apach APPE-47P/PL,203303,RUB,Да,Apach,Профоборудование,Тепловое,Макароноварки,https://entero.ru/item/251030,"<p>Макароноварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251030"">Apach APPE-47P/PL</a> </b>700-й серии используется на предприятиях общественного питания и торговли для приготовления спагетти, пасты и прочих изделий из теста. Модель оснащена закрытым шкафом с распашной дверцей и электромеханической панелью управления с терморегулятором, таймером и световым индикатором. Корпус, рабочая поверхность, панель управления и вытяжная решетка выполнены из нержавеющей стали AISI 304, дверца, боковые и задние панели - из нержавеющей стали AISI 430, ванна - из нержавеющей стали AISI 316, нагревательные элементы - из нержавеющей стали.</p>

<p>Корзины в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защитный термостат, блокирующий работу оборудования при недостаточном количестве воды</li>
<li>Постоянно поддерживаемый уровень воды исключает образование пены</li>
<li>Краны подачи и слива воды</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость корзин:
<ul>
<li>1x <a href=""https://entero.ru/item/32111"">B800007</a> (300x325x230 мм)</li>
<li>2x <a href=""https://entero.ru/item/32088"">A770049</a> (145x295x230 мм)</li>
<li>3x <a href=""https://entero.ru/item/60357"">B800005</a> (95x295x230 мм)</li>
<li>4x <a href=""https://entero.ru/item/54758"">B800004</a> (165x145x230 мм) + 4x <a href=""https://entero.ru/item/32087"">B800003</a> (165x145x230 мм)</li>
</ul>
</li>
</ul>",251030,5.5 кВт,400 мм,700 мм,850 мм,45 кг,Италия,1,470x810x1130 мм,0,https://entero.ru/manuals/389799/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Apach%20APPE-47P_PL.pdf;https://entero.ru/manuals/389801/%D0%9A%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BE%D1%80%D0%B7%D0%B8%D0%BD.pdf;https://entero.ru/manuals/389802/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Apach.pdf;https://entero.ru/manuals/389803/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/389804/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,214003,,37 кг,26 л,380 В,,,напольный,1,"1, 3, 4",310x340x300 мм,"GN 2/3, GN 1/4, GN 1/6",26 л,Да,Да,,
https://cdn.entero.ru/mp@2x/ef/76/ef76dc88733e9ec94b945aff156fddd3.jpg;https://cdn.entero.ru/mp@2x/ad/10/ad10c001553208dae76a078dbcde6ddb.jpg;https://cdn.entero.ru/mp@2x/00/0a/000adc2723548dd2a8af7e786c5679ea.jpg,Макароноварка Hurakan HKN-EKT60,153753,15989,RUB,Да,Hurakan,Профоборудование,Тепловое,Макароноварки,https://entero.ru/item/80038,"<p>Макароноварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/80038"">Hurakan HKN-EKT60</a> </b>используется на предприятиях общественного питания и торговли для варки всех видов макаронных изделий, изделий из теста, пельменей, риса, овощей, сосисок, яиц, креветок и т.д. Модель оснащена 3 кранами для слива воды. Залив воды производится вручную. Возможно использование прямоугольных корзин (длина не более 145 мм, ширина не более 295 мм). Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят крышка и 6 цилиндрических корзин (диаметр 130 мм, глубина 140 мм, объём 1,8 л).</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 110 °С</li>
</ul>",80038,6 кВт,590 мм,555 мм,280 мм,15 кг,Китай,1,620x600x300 мм,0,https://entero.ru/manuals/416569/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-EKT60.pdf;https://entero.ru/manuals/416570/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-EKT60.pdf;https://entero.ru/manuals/416571/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416572/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,17192,,14 кг,8 л,220 В,,,настольный,3,6,,GN 1/3,24 л,Да,,,
https://cdn.entero.ru/mp@2x/79/9c/799c83aab633259aacdd68c27cd4d626.jpg;https://cdn.entero.ru/mp@2x/11/f7/11f7c52bf51af269bf4adf5d26a797d5.jpg,Электроварка Abat ЭВК-90/2П с корзинами GN-1/3,21000001753,181912,RUB,Да,Abat,Профоборудование,Тепловое,Макароноварки,https://entero.ru/item/48561,"<p>Электроварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/48561"">Abat ЭВК-90/2П с корзинами GN-1/3</a></b> предназначена для варки всех видов макаронных изделий, пельменей, вареников, овощей, корнеплодов и яиц на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость гастроемкостей: 6xGN-1/3</li>
<li>Объем воды:
<ul>
<li>Варка: 25 л</li>
<li>Кипячение: 35 л</li>
</ul>
</li>
<li>Максимальное количество продукта: 4х 6 кг</li>
<li>Время разогрева до температуры кипения: 30 мин.</li>
<li>Потребляемая мощность: 15 кВт</li>
<li>Количество ТЭН-ов: 4</li>
</ul>

<p>Альтернативная комплектация: <b class=""b"">Abat ЭВК-90/2П с корзинами GN-1/6</b></p>

<ul>
<li>
<p>Вместимость гастроемкостей: 12xGN-1/6</p>
</li>
</ul>",48561,,800 мм,900 мм,950 мм,,Россия,,,0,https://entero.ru/manuals/110142/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%92%D0%9A-90_2%D0%9F.pdf;https://entero.ru/manuals/414613/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/414614/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/419315/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%92%D0%9A-90_2%D0%9F.pdf,191486,,70 кг,35 л,380 В,,,напольный,2,6,304x508x270 мм,GN 1/3,70 л,Да,,,
https://cdn.entero.ru/mp@2x/f3/a5/f3a5932780ebbaeaaf6d164c3fa7013e.jpg,Макароноварка Airhot PC-4,Макароноварка Airhot PC-4,11399,RUB,Да,Airhot,Профоборудование,Тепловое,Макароноварки,https://entero.ru/item/83608,"<p>Макароноварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83608"">Airhot PC-4</a></b> используется на предприятиях общественного питания и торговли для варки всех видов макаронных изделий. Модель оснащена рабочим и аварийным термостатами и 2 независимыми ваннами с помощью которых можно варить блюда с разными приправами одновременно. Корпус и ванны выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят 4 корзины для варки макаронных изделий.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр корзин: 125 мм</li>
</ul>",83608,4 кВт,410 мм,570 мм,280 мм,12 кг,Китай,1,620x440x300 мм,0,https://entero.ru/manuals/96191/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20PC-4.pdf;https://entero.ru/manuals/481888/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,12257,,,8 л,220 В,,,настольный,2,4,170х315х160 мм,,16 л,Да,,,
https://cdn.entero.ru/mp@2x/9d/cd/9dcd638e6fc91fcce710c0e2b4a61eb1.jpg,Макароноварка Hurakan HKN-EKT40,148254,10473,RUB,Да,Hurakan,Профоборудование,Тепловое,Макароноварки,https://entero.ru/item/71394,"<p>Макароноварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/71394"">Hurakan HKN-EKT40</a> </b>используется на предприятиях общественного питания и торговли для варки всех видов макаронных изделий, изделий из теста, пельменей, риса, овощей, сосисок, яиц, креветок и т.д. Модель оснащена 2 кранами для слива воды. Залив воды производится вручную. Возможно использование прямоугольных корзин (длина не более 145 мм, ширина не более 295 мм). Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят крышка и 4 цилиндрические корзины (диаметр 130 мм, глубина 140 мм, объём 1,8 л).</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 110 °C</li>
</ul>",71394,4 кВт,420 мм,470 мм,540 мм,11 кг,Китай,1,610x450x300 мм,22,https://entero.ru/manuals/315410/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-EKT40.pdf;https://entero.ru/manuals/415399/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415400/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/469401/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-EKT40.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241020&hash=1f31ff3cbe52d939,8.5 кг,8 л,220 В,,,настольный,2,4,,"GN 1/3, GN 1/6",16 л,Да,,,
https://cdn.entero.ru/mp@2x/4c/13/4c13c7823a940c0aaea0e47d45b735f0.jpg;https://cdn.entero.ru/mp@2x/e8/39/e83990973de52438d500fb86017dd04a.jpg;https://cdn.entero.ru/mp@2x/61/45/61457ca64955fc359c20af755e6e4647.jpg;https://cdn.entero.ru/mp@2x/7a/a9/7aa97f43e8a0fb31b114c112a77f7469.jpg,Макароноварка VIATTO VA-PC4,Макароноварка VIATTO VA-PC4,14432,RUB,Да,VIATTO,Профоборудование,Тепловое,Макароноварки,https://entero.ru/item/253519,"<p>Макароноварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/253519"">VIATTO VA-PC4</a></b> используется на предприятиях общественного питания и торговли для варки овощей, всех видов макаронных изделий, гарниров из круп, пельменей и вареников, яиц и других видов продуктов. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 30 до 110 °С</li>
</ul>",253519,3 кВт,340 мм,465 мм,425 мм,7 кг,Китай,1,355x465x425 мм,32,https://entero.ru/manuals/408193/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-PC4.pdf;https://entero.ru/manuals/462816/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-PC4.xls;https://entero.ru/manuals/462817/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,15033,,6.2 кг,21 л,220 В,,,настольный,1,4,,GN 1/6,,Да,,в комплекте,
https://cdn.entero.ru/mp@2x/37/fc/37fceede4b3e52e27ca83989a386486b.jpg;https://cdn.entero.ru/mp@2x/24/7c/247c9db56e28f883c356e95aac3338d3.jpg;https://cdn.entero.ru/mp@2x/3f/6b/3f6b1c3034e6768c79a00cf722eca8a2.jpg,Электроварка Abat ЭВК-40/1Н 6хGN 1/6,21000001871,110526,RUB,Да,Abat,Профоборудование,Тепловое,Макароноварки,https://entero.ru/item/130815,"<p>Электроварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130815""><b class=""b"">Abat ЭВК-40/1Н </b></a>предназначена для варки всех видов макаронных изделий, пельменей, вареников, овощей, корнеплодов и яиц на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем воды:
<ul>
<li>Варка: 25 л</li>
<li>Кипячение: 35 л</li>
</ul>
</li>
<li>Максимальное количество продукта: 12 кг</li>
<li>Время разогрева до температуры кипения: 30 мин.</li>
<li>Количество ТЭН-ов: 2</li>
</ul>",130815,7.5 кВт,401 мм,748 мм,473 мм,,Россия,,,0,https://entero.ru/manuals/146443/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%AD%D0%92%D0%9A-40_1%D0%9D%206%D1%85GN%201_6.pdf;https://entero.ru/manuals/412132/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%92%D0%9A-40_1%D0%9D%206%D1%85GN%201_6.pdf;https://entero.ru/manuals/412133/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpeg;https://entero.ru/manuals/412134/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/419052/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%AD%D0%92%D0%9A-40_1%D0%9D%206%D1%85GN%201_6.pdf,,,30 кг,,380 В,,,настольный,1,6,304х508х270 мм,"GN 1/6, GN 1/3",35 л,Да,Да,,
https://cdn.entero.ru/mp@2x/22/7f/227fb958d77354a305b3c4de3b06d0f5.jpg,Макароноварка электрическая VEROTERM VT7CPEP05 26 л,Макароноварка электрическая VEROTERM VT7CPEP05 26 л,168562,RUB,Да,VEROTERM,Профоборудование,Тепловое,Макароноварки,https://entero.ru/item/278571,"<p>Напольная электрическая макароноварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/278571""><b class=""b"">VEROTERM VT7CPEP05 </b></a>используется на предприятиях общественного питания и торговли для варки макаронных изделий. Модель оснащена заливным краном, фронтальной рабочей поверхностью с перфорированным переливом, задним бортом, электромеханической панелью управления и техническим отделением с дверью с горизонтальной рукояткой. Корпус и рабочая поверхность выполнены из нержавеющей стали, ванна и фитинги – из нержавеющей стали AISI 316.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры и длительности приготовления с помощью поворотных переключателей</li>
<li>Предохранительный термостат </li>
<li>Светодиодный индикатор нагрева</li>
<li>Цельнотянутая ванна со сглаженными углами для удобства опорожнения и легкости очистки</li>
<li>Заглубление кромки ванны относительно столешницы с радиальным гибом для предотвращения разбрызгивания жидкости в процессе приготовления</li>
<li>Лазерная обработка кромки поверхностей облицовки для идеально ровной стыковки деталей конструкции</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Возможность эксплуатации в составе тепловой линии <a href=""https://entero.ru/search.php?text=veroterm+%D1%81%D0%B5%D1%80%D0%B8%D1%8F+700"">серии 700</a></li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Сечение кабеля питания: 5х1,5 мм²</li>
<li>Диаметр резьбы фитинга для подключения воды (R): 1/2""</li>
<li>Толщина стали: 
<ul>
<li>Корпус: 1 мм</li>
<li>Фронтальный перелив: 2 мм</li>
</ul>
</li>
<li>Глубина понижения кромки ванны: 50 мм </li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/278568"">Комплект из 2 корзин (2хGN1/3)</a></li>
<li><a href=""https://entero.ru/item/278569"">Комплект из 3 корзин (1хGN1/3 и 2хGN1/6)</a></li>
<li><a href=""https://entero.ru/item/278570"">Комплект из 2 корзин (4хGN1/6)</a></li>
</ul>",278571,7 кВт,400 мм,700 мм,850 мм,51 кг,Италия,1,510x810x1070 мм,0,https://entero.ru/manuals/343941/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VEROTERM%20VT7CPEP05.pdf;https://entero.ru/manuals/344004/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20VEROTERM%20VT7CPEP05.pdf;https://entero.ru/manuals/416589/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VEROTERM%20VT7CPEP05%2026%20%D0%BB.pdf,179321,,,26 л,380 В,,,напольный,1,,,"GN 1/3, GN 1/6",,,Да,,
https://cdn.entero.ru/mp@2x/86/2e/862eebb324818e04278805b8278b1845.jpg,Макароноварка VIATTO VPC-6,Макароноварка VIATTO VPC-6,17622,RUB,Да,VIATTO,Профоборудование,Тепловое,Макароноварки,https://entero.ru/item/110373,"<p>Макароноварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/110373"">VIATTO VPC-6</a></b> используется на предприятиях общественного питания и торговли для варки овощей, всех видов макаронных изделий, гарниров из круп, пельменей и вареников, яиц, морепродуктов и т.д. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 6 корзин.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручной залив воды</li>
<li>3 сливных крана</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 200 °С</li>
<li>Размер корзины: 100х100х140 мм</li>
</ul>",110373,6 кВт,590 мм,550 мм,280 мм,15 кг,Китай,1,620x600x300 мм,0,https://entero.ru/manuals/398305/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VPC-6.pdf;https://entero.ru/manuals/398306/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,14.8 кг,,220 В,,,настольный,3,6,,100x100 мм,8 л,Да,,,
