Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Объем,Вес (с упаковкой),Источник тепла,Линия 700,Линия 900,Гастронормированный,Способ установки,Нагрев,Кран для слива
https://cdn.entero.ru/mp@2x/74/14/74142af3ba703e0d070615b04e5ace91.jpg,Мармит Hurakan HKN-FWP,140678,6239,RUB,Да,Hurakan,Профоборудование,Тепловое,Мармиты,https://entero.ru/item/51665,"<p>Мармит-горшочек <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/51665"">Hurakan HKN-FWP</a></b> предназначен для кратковременного хранения и поддержания в горячем состоянии различных блюд на предприятиях общественного питания и торговли. Модель оснащена регулируемым термостатом, индикатором нагрева и крышкой. Залив воды производится вручную. Корпус и крышка выполнены из эмалированной стали.</p>",51665,от 35 до 95 °C,0.4 кВт,340 мм,340 мм,370 мм,4 кг,Китай,1,370x360x395 мм,155,https://entero.ru/manuals/66109/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-FWP.doc;https://entero.ru/manuals/414743/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-FWP.pdf;https://entero.ru/manuals/414745/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454220/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-FWP.pdf;https://entero.ru/manuals/495310/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,4.6 кг,10 л,,220 В,,,,настольный,водяной,
https://cdn.entero.ru/mp@2x/1e/10/1e10c5691472408e1b78fc4ba9d483ec.jpg;https://cdn.entero.ru/mp@2x/8b/45/8b45a9ec7b7eeb41714f20a9c4d17fd2.jpg,Мармит Airhot BM-11,Мармит Airhot BM-11,10567,RUB,Да,Airhot,Профоборудование,Тепловое,Мармиты,https://entero.ru/item/52202,"<p>Мармит <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/52202"">Airhot BM-11</a> </b>предназначен для поддержания в горячем состоянии вторых блюд, гарниров и соусов на предприятиях общественного питания и торговли. Модель оснащена 5 уровнями нагрева. Подогрев на водяном пару обеспечивает равномерный нагрев емкостей без пересушивания и пригорания подогреваемых блюд. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки гастроемкости и крышки не входят.</p>

<p><b>Особенности:</b></p>

<ul>
<li>12 режимов времени работы:
<ul>
<li>с 1-6 более долгий нагрев</li>
<li>с 7-12 более быстрый</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 1х GN 1/1 глубиной 150 мм или 3х GN 1/3 глубиной 150 мм или 2х GN 1/2 глубиной 150 мм</li>
</ul>",52202,от 0 до 95 °C,1.2 кВт,600 мм,338 мм,243 мм,8.45 кг,Китай,1,640x398x300 мм,0,https://entero.ru/manuals/96192/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20BM-11.pdf;https://entero.ru/manuals/481896/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,7.05 кг,,,220 В,,,Да,настольный,водяной,Да
https://cdn.entero.ru/mp@2x/51/2c/512c39f20ff8d6b6e2bf005f35313490.jpg;https://cdn.entero.ru/mp@2x/a1/7e/a17e8d13ac428a17912ff0c066670665.jpg;https://cdn.entero.ru/mp@2x/56/22/562276bea11051ac614afd8be0c5c30a.jpg;https://cdn.entero.ru/mp@2x/b1/30/b130a5396469d7de34d8347010808fbb.jpg,Чафинг-диш VIATTO VA-SB7000,Чафинг-диш VIATTO VA-SB7000,10278,RUB,Да,VIATTO,Профоборудование,Тепловое,Мармиты,https://entero.ru/item/209091,"<p>Чафинг-диш <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/209091"">VIATTO VA-SB7000</a>P</b> предназначен для поддержания в горячем состоянии широкого спектра блюд на предприятиях общественного питания и торговли. Модель оснащена прозрачной крышкой из поликарбоната. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Тип гастроемкости: GN 1/1</li>
<li>Габариты в упаковке: 600х360х340 мм</li>
</ul>",209091,от 30 до 85 °C,0.8 кВт,560 мм,350 мм,380 мм,,Китай,,,82,https://entero.ru/manuals/408386/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-SB7000.pdf;https://entero.ru/manuals/525612/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,11052,,5.8 кг,,,220 В,,,Да,настольный,водяной,
https://cdn.entero.ru/mp@2x/5a/36/5a36cfe816ddf815446e16eb5e9e49dd.jpg;https://cdn.entero.ru/mp@2x/48/c7/48c746b61be19ca219428250ac861697.jpg,Мармит VIATTO 83010SP,Мармит VIATTO 83010SP,5381,RUB,Да,VIATTO,Профоборудование,Тепловое,Мармиты,https://entero.ru/item/92742,"<p>Мармит <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/92742"">VIATTO 83010SP</a> </b>предназначен для поддержания в горячем состоянии первых блюд на предприятиях общественного питания. Корпус выполнен из окрашенной стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребляемая мощность: 0,4 кВт</li>
</ul>
<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",92742,,0.4 кВт,320 мм,320 мм,330 мм,5 кг,Китай,1,370x370x380 мм,0,https://entero.ru/manuals/86187/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/348940/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20VIATTO%2083010SP.png;https://entero.ru/manuals/348941/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20VIATTO%2083010SP.pdf;https://entero.ru/manuals/348942/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%2083010SP.pdf,,,4.5 кг,10 л,,220 В,,,,настольный,,
https://cdn.entero.ru/mp@2x/eb/2d/eb2d78ea6ef9ba875926f86e17808d54.jpg;https://cdn.entero.ru/mp@2x/ab/8a/ab8afd9239c5ef69444e83a595a9146c.jpg;https://cdn.entero.ru/mp@2x/d2/a4/d2a4aa88af5ac7a325fedbaf0888fdc3.jpg;https://cdn.entero.ru/mp@2x/9f/09/9f0984c8d9b56de8ec2aeacbcaf99188.jpg;https://cdn.entero.ru/mp@2x/60/4d/604d96e1c1d52b1318e7962952795b79.jpg,Мармит Airhot SB-6000,Мармит Airhot SB-6000,6683,RUB,Да,Airhot,Профоборудование,Тепловое,Мармиты,https://entero.ru/item/32500,"<p>Мармит <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32500"">Airhot SB-6000</a></b> предназначен для разогрева супов и поддержания их в горячем состоянии на предприятиях общественного питания и торговли. Корпус выполнен из крашенного металла, внутренняя поверхность - из цельнотянутой нержавеющей стали, легко вынимается для мытья.</p>

<p>В комплект поставки входят магниты для меню.</p>

<p><b>Особенности:</b></p>

<ul>
<li>12 режимов работы:
<ul>
<li>1-6 более долгий нагрев</li>
<li>7-12 более быстрый</li>
</ul>
</li>
</ul>",32500,от 35 до 95 °C,0.4 кВт,340 мм,340 мм,366 мм,4 кг,Китай,1,345x345x415 мм,0,https://entero.ru/manuals/96198/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20SB-6000.pdf;https://entero.ru/manuals/96197/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SB-6000.pdf;https://entero.ru/manuals/481894/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,9 л,,220 В,,,,настольный,водяной,
https://cdn.entero.ru/mp@2x/9f/e6/9fe6ef3c9a843263ce1423af770155a7.jpg;https://cdn.entero.ru/mp@2x/4e/7c/4e7ca965b3319d42141addd2a32bd837.jpg;https://cdn.entero.ru/mp@2x/6c/8c/6c8c686e9f912a0acc33103a4b0c0542.jpg;https://cdn.entero.ru/mp@2x/04/fc/04fc62bc740caa6bba30bd8cce367754.jpg,Мармит VIATTO ZCK165B,Мармит VIATTO ZCK165B,8762,RUB,Да,VIATTO,Профоборудование,Тепловое,Мармиты,https://entero.ru/item/145443,"<p>Мармит <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145443"">VIATTO ZCK165B</a></b> предназначен для поддержания в горячем состоянии вторых блюд, гарниров и соусов на предприятиях общественного питания. Модель оснащена терморегулятором. Подогрев на водяном пару обеспечивает равномерный нагрев емкостей без пересушивания и пригорания подогреваемых блюд. Корпус выполнен из нержавеющей стали.</p>

<p>Гастроемкость в комплект не входит.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Типоразмер гастроемкости: GN 1/1 глубиной 150 мм</li>
<li>Габариты в упаковке: 390х635х340 мм</li>
</ul>",145443,,1.2 кВт,340 мм,577 мм,240 мм,8 кг,Китай,1,635x390x340 мм,85,https://entero.ru/manuals/349016/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D0%BD%D0%B0%20VIATTO%20ZCK165B.pdf;https://entero.ru/manuals/361143/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20ZCK165B.pdf;https://entero.ru/manuals/463763/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20ZCK165B.xls;https://entero.ru/manuals/463764/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20ZCK165B.pdf,,,7.4 кг,,,220 В,,,Да,настольный,водяной,
https://cdn.entero.ru/mp@2x/dd/ce/ddce3b4cf026e4f1f78e08a02f49b426.jpg;https://cdn.entero.ru/mp@2x/67/c5/67c5fa993b7625b71e0269bfb769ca30.jpg;https://cdn.entero.ru/mp@2x/99/2a/992aa3a227f57cf975c968bdbc4e8fa3.jpg;https://cdn.entero.ru/mp@2x/68/bf/68bfe9998d37839fff4019564827c132.jpg,Чафинг-диш Crazy Pan CP-CHD016S серебро,Чафинг-диш Crazy Pan CP-CHD016S серебро,32612,RUB,Да,,Профоборудование,Тепловое,Мармиты,https://entero.ru/item/124153,"<p>Чафинг-диш<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124153""><b class=""b""> Crazy Pan CP-CHD016S</b></a> предназначен для постоянного подогрева первых и вторых блюд и поддержания их оптимальной температуры на предприятиях общественного питания и торговли. Модель оснащена крышкой с гидравлическим подъемным механизмом, позволяющим ей надежно удерживаться в открытом состоянии под углом 90°. Нагрев можно осуществлять с помощью встраиваемого электрического блока или стандартной горелки. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят нагревательный блок и гастроемкость GN 1/1 глубиной 65 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Продуманная система возврата влаги для предотвращения высушивания пищи</li>
<li>Вместо гастроемкости GN 1/1 можно установить 2 гастроемкости GN 1/2</li>
<li>Стеклянное окно в крышке</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 640x520x240 + 550x420x180 мм</li>
</ul>",124153,,0.4 кВт,580 мм,440 мм,305 мм,,Китай,,,0,,34328,,11 кг,9 л,,220 В,,,,настольный,,
https://cdn.entero.ru/mp@2x/9b/a1/9ba10455a730caed6ff2174008153b88.jpg,Мармит VIATTO ZCK205BT,Мармит VIATTO ZCK205BT,11631,RUB,Да,VIATTO,Профоборудование,Тепловое,Мармиты,https://entero.ru/item/145448,"<p>Мармит <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/145448"">VIATTO ZCK205BT</a></b> предназначен для поддержания в горячем состоянии вторых блюд, гарниров и соусов на предприятиях общественного питания. Модель оснащена терморегулятором. Подогрев на водяном пару обеспечивает равномерный нагрев емкостей без пересушивания и пригорания подогреваемых блюд. Корпус выполнен из нержавеющей стали.</p>

<p>Гастроемкость в комплект не входит.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Типоразмер гастроемкости: GN 1/1 глубиной 200 мм</li>
<li>Габариты в упаковке: 390х700х320 мм</li>
</ul>",145448,,1.2 кВт,338 мм,600 мм,285 мм,10 кг,Китай,1,655x345x330 мм,0,https://entero.ru/manuals/349017/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20VIATTO%20ZCK205BT.pdf;https://entero.ru/manuals/349018/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20ZCK205BT.pdf;https://entero.ru/manuals/463765/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20ZCK205BT.xls;https://entero.ru/manuals/463766/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20ZCK205BT.pdf,12116,,7.5 кг,,,220 В,,,Да,настольный,водяной,Да
https://cdn.entero.ru/mp@2x/74/a8/74a804c452ef562efc8d64d18b64f263.jpg;https://cdn.entero.ru/mp@2x/2e/11/2e1137e76264643c51210da52fe7ae39.jpg;https://cdn.entero.ru/mp@2x/6d/3e/6d3ea2b8a3bc0163f20f98dfc1c2ebb9.jpg;https://cdn.entero.ru/mp@2x/68/c2/68c259f6783576853c89e2fc27112f2b.jpg,Чафинг-диш VIATTO WH433A,158442,5024,RUB,Да,VIATTO,Профоборудование,Тепловое,Мармиты,https://entero.ru/item/156908,"<p>Чафинг-диш <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/156908"">VIATTO WH433A</a></b> предназначен для поддержания в горячем состоянии широкого спектра блюд на предприятиях общественного питания и торговли, а также в местах, где отсутствует доступ к электросети. Модель оснащена 1 гастроемкостью со съемной крышкой и 2 горелками. Корпус и емкость выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Тип гастроемкости: GN 1/1</li>
<li>Габариты в упаковке: 610х360х240 мм</li>
</ul>",156908,,,600 мм,370 мм,320 мм,4 кг,Китай,1,610x360x240 мм,200,https://entero.ru/manuals/349027/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20WH433A.pdf;https://entero.ru/manuals/349028/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20VIATTO%20WH433A.xlsx;https://entero.ru/manuals/463803/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/525613/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,3.5 кг,9 л,,горелка,,,Да,настольный,водяной,
https://cdn.entero.ru/mp@2x/1e/79/1e798dab16a79f1e35192132e385f3e3.jpg;https://cdn.entero.ru/mp@2x/33/2d/332d3fa529945dad94e81dd0e06bc097.jpg;https://cdn.entero.ru/mp@2x/68/e7/68e7c0179b8979ae4ca81de6e225cb85.jpg;https://cdn.entero.ru/mp@2x/a1/55/a155b86f9e505ae6cd2e02af3c38a45c.jpg,Чафинг-диш VIATTO VA-CD09C,Чафинг-диш VIATTO VA-CD09C,11058,RUB,Да,VIATTO,Профоборудование,Тепловое,Мармиты,https://entero.ru/item/194093,"<p>Чафинг-диш <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194093"">VIATTO VA-CD09C</a></b> предназначен для поддержания в горячем состоянии широкого спектра блюд на предприятиях общественного питания и торговли, а также в местах, где отсутствует доступ к электросети. Модель оснащена 1 гастроемкостью с откатной крышкой и терморегулятором. Корпус и емкость выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Тип гастроемкости: GN 1/1 h 65</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Изображение на фото приведено в ознакомительных целях и может отличаться от оригинала.</span></em></p>",194093,от 30 до 85 °C,0.8 кВт,560 мм,350 мм,380 мм,6 кг,Китай,1,600x360x320 мм,249,https://entero.ru/manuals/349062/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-CD09C.pdf;https://entero.ru/manuals/349064/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20VIATTO%20VA-CD09C.pdf;https://entero.ru/manuals/525617/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,5.5 кг,,,220 В,,,Да,настольный,,
