Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Объем,Управление,Режим разморозки,Гриль,Конвекция
https://cdn.entero.ru/mp@2x/ee/f2/eef27b28ccd8dde223dfd186e8297b68.jpg,Печь микроволновая Hurakan HKN-WP900M,Печь микроволновая Hurakan HKN-WP900M,11507,RUB,Да,Hurakan,Профоборудование,Тепловое,Микроволновые печи,https://entero.ru/item/266835,"<p>Микроволновая печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266835"">Hurakan HKN-WP900M</a></b> предназначена для приготовления, разогрева готовых блюд, а также для размораживания продуктов и полуфабрикатов на предприятиях общественного питания и торговли. Модель оснащена механическим управлением, 6 уровнями мощности, таймером (до 30 мин.), подсветкой и вращающейся тарелкой. Корпус и камера выполнены из крашеного металла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность СВЧ: 0,9 кВт</li>
<li>Внутренние размеры камеры: 340х320х220 мм</li>
<li>Габариты в упаковке: 530х440х310 мм</li>
</ul>",266835,220 В,1.4 кВт,483 мм,420 мм,281 мм,16.32 кг,Китай,1,530x440x310 мм,7,https://entero.ru/manuals/330324/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-WP900M.pdf;https://entero.ru/manuals/330325/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454504/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-WP900M.pdf;https://entero.ru/manuals/510191/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,12373,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241032&hash=32102cc719579a7d,13.6 кг,25 л,механическое,Да,,
https://cdn.entero.ru/mp@2x/b5/68/b568ef66cbcfe6fb0ea6d5604d93eee4.jpg;https://cdn.entero.ru/mp@2x/61/d9/61d946dbdb547b34c10c6f9bd39055d3.jpg;https://cdn.entero.ru/mp@2x/be/cf/becf980f2b6d36cdc33a089eb8b47032.jpg;https://cdn.entero.ru/mp@2x/75/a1/75a1bf7e12e7adf6a3f033e6df618afc.jpg;https://cdn.entero.ru/mp@2x/5f/3b/5f3bb9a39078884e59ca3bf06f66bdb0.jpg,Печь микроволновая Airhot WP900-25L M,Печь микроволновая Airhot WP900-25L M,11232,RUB,Да,Airhot,Профоборудование,Тепловое,Микроволновые печи,https://entero.ru/item/32488,"<p>Микроволновая печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32488""><b class=""b"">Airhot WP900-25L</b></a> предназначена для приготовления, подогрева готовых блюд, а также для размораживания продуктов и полуфабрикатов на предприятиях общественного питания, торговли и в домашних условиях. Модель оснащена таймером обратного отсчета на 30 минут, внутренней подсветкой, дверцей с прозрачным стеклом и вращающейся тарелкой. Корпус и внутрення камера выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>6 уровней мощности </li>
<li>Равномерный нагрев блюда</li>
<li>Быстрая и габкая настройка мощности</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр тарелки: 270 мм</li>
<li>Таймер: от 0 до 30 мин</li>
<li>Размер камеры: 363x400x217 мм</li>
</ul>",32488,220 В,0.9 кВт,483 мм,420 мм,281 мм,15 кг,Китай,1,547x456x337 мм,0,https://entero.ru/manuals/96200/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20WP900-25L.pdf;https://entero.ru/manuals/124712/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WP900-25L.pdf;https://entero.ru/manuals/482027/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,13 кг,25 л,механическое,Да,,
https://cdn.entero.ru/mp@2x/32/ed/32ed4d3a069b30576df738e1b1912823.jpg;https://cdn.entero.ru/mp@2x/41/b5/41b5c3b63f2e07932bf41e967c08020b.jpg;https://cdn.entero.ru/mp@2x/36/6d/366d195911189864c972f3da8ba73e79.jpg;https://cdn.entero.ru/mp@2x/2b/be/2bbe1a23aa778707fbfdbcacb86b85d0.jpg,Печь микроволновая VIATTO P90D23SL-YR,Печь микроволновая VIATTO P90D23SL-YR,10977,RUB,Да,VIATTO,Профоборудование,Тепловое,Микроволновые печи,https://entero.ru/item/111833,"<p>Микроволновая печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/111833"">VIATTO P90D23SL-YR</a></b> предназначена для разогрева и приготовления пищи на предприятиях общественного питания и торговли. Модель оснащена таймером. Корпус, камера и ручка выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество уровней мощности: 6</li>
<li>Потребляемая мощность: 1,4 кВт</li>
</ul>",111833,220 В,0.9 кВт,483 мм,400 мм,281 мм,13.6 кг,Китай,1,430x547x337 мм,324,https://entero.ru/manuals/498228/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20P90D23SL-YR.pdf;https://entero.ru/manuals/498229/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20VIATTO%20P90D23SL-YR.pdf;https://entero.ru/manuals/498230/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/498231/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/498232/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,12.1 кг,23 л,механическое,,,
https://cdn.entero.ru/mp@2x/22/34/2234418439436d1a51e75799a4eee1f3.jpg;https://cdn.entero.ru/mp@2x/63/b6/63b6bcee04f62c38050d43fd9acf57eb.jpg;https://cdn.entero.ru/mp@2x/e4/1a/e41ac0da443516319e6fd77a2944f55c.jpg;https://cdn.entero.ru/mp@2x/5a/47/5a4778c6cc3ce9dcaf57dd7b1e6e2f23.jpg,Печь микроволновая Airhot WP900-23L,WP900-23L M,10661,RUB,Да,Airhot,Профоборудование,Тепловое,Микроволновые печи,https://entero.ru/item/122739,"<p>Микроволновая печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122739"">Airhot WP900-23L</a></b> предназначена для приготовления, подогрева готовых блюд, а также для размораживания продуктов и полуфабрикатов на предприятиях общественного питания, торговли и в домашних условиях. Модель оснащена механической панелью управления, таймером обратного отсчета, подсветкой, дверцей с прозрачным стеклом и вращающейся тарелкой. Корпус выполнен из металла, камера - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>6 уровней мощности</li>
<li>Таймер до 30 мин.</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер камеры: 340х320х220 мм</li>
<li>Диаметр тарелки: 270 мм</li>
</ul>",122739,220 В,0.9 кВт,483 мм,398 мм,281 мм,14 кг,Китай,1,547x430x337 мм,0,https://entero.ru/manuals/129462/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WP900-23L.pdf;https://entero.ru/manuals/482026/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,11463,,13 кг,23 л,механическое,Да,,
https://cdn.entero.ru/mp@2x/4a/66/4a66d0c733b61a1cdef23bb5814cd51b.jpg;https://cdn.entero.ru/mp@2x/d5/4c/d54cd2dfbcef8be52cc815c4c0d431b1.jpg;https://cdn.entero.ru/mp@2x/39/b6/39b6b782f2932cb9504d9dddb5524768.jpg;https://cdn.entero.ru/mp@2x/d2/5a/d25aa940f6bcf3cca455c9ef55559234.jpg;https://cdn.entero.ru/mp@2x/f1/ac/f1ac1baad3b6b1348a5f13e76772f7c5.jpg,Печь микроволновая Airhot WP1000-30L,WP1000-30L DIGITAL C7552,15081,RUB,Да,Airhot,Профоборудование,Тепловое,Микроволновые печи,https://entero.ru/item/121238,"<p>Микроволновая печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121238"">Airhot WP1000-30L</a></b> предназначена для приготовления, подогрева готовых блюд, а также для размораживания продуктов и полуфабрикатов на предприятиях общественного питания, торговли и в домашних условиях. Модель оснащена цифровой панелью управления,таймером обратного отсчета, подсветкой, дверцей с прозрачным стеклом и вращающейся тарелкой. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>11 уровней мощности</li>
<li>6 специальных режимов работы</li>
<li>Таймер до 99 мин.</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр тарелки: 315 мм</li>
<li>Размер камеры: 354х358х240 мм</li>
</ul>",121238,220 В,1 кВт,539 мм,432 мм,300 мм,18 кг,Китай,1,608x468x366 мм,0,https://entero.ru/manuals/126189/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WP1000-30L.pdf;https://entero.ru/manuals/482029/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,16 кг,30 л,электронное,Да,,
https://cdn.entero.ru/mp@2x/6f/a6/6fa69579b6076095aed9e3e343df8872.jpg,Печь микроволновая Turbo MicroWave TMW-1100NE-II,Печь микроволновая Turbo MicroWave TMW-1100NE-II,50829,RUB,Да,,Профоборудование,Тепловое,Микроволновые печи,https://entero.ru/item/240109,"<p>Микроволновая печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/240109"">Turbo MicroWave TMW-1100NE-II</a></b> предназначена для приготовления, разогрева готовых блюд, а также для размораживания продуктов и полуфабрикатов на предприятиях общественного питания и торговли. Модель оснащена сенсорным управлением с информационным дисплеем для комфортного пользования. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Усовершенствованный внешний вид с русифицированным меню</li>
<li>100 программируемых настроек, 3 шага</li>
<li>5 уровней мощности</li>
<li>Таймер на 60 мин.</li>
<li>Кнопка увеличения времени Х2</li>
<li>Нижняя вращающаяся антенна</li>
<li>Воздушный фильтр</li>
<li>Возможность штабелирования в 2 уровня</li>
<li>Керамическое дно внутри камеры</li>
<li>Дверь с закаленным стеклом и удобной ручкой</li>
<li>Светодиодное освещение</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество магнетронов: 1</li>
<li>Энергопотребление: 1,5 кВт</li>
<li>Длина кабеля: 1,5 м</li>
<li>Внутренние размеры камеры: 370х385х230 мм</li>
</ul>",240109,220 В,1 кВт,553 мм,485 мм,343 мм,22.08 кг,Китай,1,663x582x411 мм,32,https://entero.ru/manuals/468786/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Turbo%20MicroWave%20TMW-1100NE-II.pdf;https://entero.ru/manuals/468787/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Turbo%20MicroWave%20TMW-1100NE-II.pdf;https://entero.ru/manuals/516776/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,53504,,18.4 кг,34 л,электронное,Да,,
https://cdn.entero.ru/mp@2x/a5/8a/a58a5baea81c72edea58f10f8fb7c236.jpg;https://cdn.entero.ru/mp@2x/c4/e9/c4e9eebf348c3afee2f4904ba2817230.jpg,Печь микроволновая Menumaster RMS510TS2,167025,72176,RUB,Да,Menumaster,Профоборудование,Тепловое,Микроволновые печи,https://entero.ru/item/37480,"<p>Микроволновая печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/37480"">Menumaster RMS510TS2</a></b> предназначена для приготовления и разогрева блюд на предприятиях общественного питания. Оборудование просто в эксплуатации, не требует дополнительной подготовки персонала и подходит для работы в режиме самообслуживания. Корпус и внутренняя камера выполнены из нержавеющей стали, окошко в двери - из закаленного стекла, внутренняя полка - из керамики.</p>

<p><b>Особенности:</b></p>

<ul>
<li>20 программируемых пунктов меню</li>
<li>5 уровней мощности</li>
<li>3 этапа приготовления</li>
<li>Панель умножения для расчета правильного времени приготовления нескольких порций</li>
<li>Сенсорное управление - панели со шрифтом Брайля (рельефным)</li>
<li>Ручка для открытия дверцы на 90°</li>
<li>Магнетрон с вращающейся антенной и нижней подачей для равномерного нагрева по всему объему</li>
<li>Таймер на 60 мин.</li>
<li>Герметичная внутренняя полка</li>
<li>Прозрачная дверь и внутренняя подсветка для визуального контроля приготовления</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр используемой посуды: 305 мм</li>
<li>Энергопотребление: 1,5 кВт</li>
<li>Длина шнура: 1,5 м</li>
<li>Внутренние размеры: 330х330х197 мм</li>
<li>Габариты в упаковке: 584,19х457,2х381 мм</li>
</ul>",37480,220 В,1 кВт,512 мм,403 мм,310 мм,17.7 кг,США,1,584x457x381 мм,22,https://entero.ru/manuals/38205/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Menumaster%20RMS510TS.pdf;https://entero.ru/manuals/114209/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,14.5 кг,23 л,электронное,Да,,
https://cdn.entero.ru/mp@2x/d9/0c/d90cf85844b3f02641dd813363eca7ec.jpg;https://cdn.entero.ru/mp@2x/66/b1/66b1316ff7431f4366d32a72dd20e788.jpg;https://cdn.entero.ru/mp@2x/bf/54/bf5455254b9132c2d51112f1cc61b853.jpg;https://cdn.entero.ru/mp@2x/52/d5/52d58e31a5fe437cbb59fd0bf7627c3d.jpg;https://cdn.entero.ru/mp@2x/91/23/912386cab8bb21f70cd391924ff8f07a.jpg,Печь микроволновая Turbo MicroWave TMW-1100NEL-II,Печь микроволновая Turbo MicroWave TMW-1100NEL-II,42803,RUB,Да,,Профоборудование,Тепловое,Микроволновые печи,https://entero.ru/item/255025,"<p>Микроволновая печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/255025"">Turbo MicroWave TMW-1100NEL-II</a> </b>предназначена для приготовления пищи, подогрева готовых блюд и ингридиентов, а также размораживания полуфабрикатов на предприятиях общественного питания и торговли. Модель оснащена 1 магнетроном, камерой с распашной дверью, кабелем питания и расположенной справа электронной панелью управления с дисплеем индикации. Корпус, рукоятка и внутренняя облицовка камеры выполнены из высококачественной нержавеющей стали SUS439 производства Posco с сатинированной поверхностью.</p>

<p><b>Особенности:</b></p>

<ul>
<li>5 уровеней мощности микроволнового излучения</li>
<li>100 предустановленных программ с 3 шагами приготовления различных рецептов</li>
<li>Электронный таймер для настройки длительности приготовления</li>
<li>Функция х2 для увеличения заданной длительности в 2 раза</li>
<li>Цифровая индикация настроек таймера</li>
<li>Автоматическое прерывание нагрева при открывании двери</li>
<li>Нижнее расположение антенны</li>
<li>Вертикальная рукоятка с удобным захватом Easy Grab'n'Go</li>
<li>Полупрозрачное остекление для визуального контроля процесса</li>
<li>Термостойкое керамическое дно</li>
<li>Светодиодная подсветка камеры</li>
<li>Эргономичный современный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная мощность микроволн: 1 кВт</li>
<li>Потребляемая мощность: 1,55 кВт</li>
<li>Максимальная заданная длительность приготовления: 60 мин.</li>
<li>Внутренние габариты камеры: 327х346х200 мм</li>
<li>Максимальный диаметр тарелки: 305 мм</li>
</ul>",255025,220 В,1 кВт,511 мм,432 мм,311 мм,20.7 кг,США,1,585x500x371 мм,24,https://entero.ru/manuals/357307/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Turbo%20air%20TMW-1100NEL-II.pdf;https://entero.ru/manuals/498533/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Turbo%20MicroWave%20TMW-1100NEL-II.pdf;https://entero.ru/manuals/516766/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,46525,,14.7 кг,25 л,электронное,Да,,
https://cdn.entero.ru/mp@2x/29/40/29406b91d384c8a38d7c51c2440329c1.jpg;https://cdn.entero.ru/mp@2x/32/8a/328ace4e7ce07fe0e809a09fccaafe12.jpg;https://cdn.entero.ru/mp@2x/0b/cc/0bcc5b39d23db1c4f47c71fc5888f00f.jpg,Печь микроволновая Menumaster RMS510DS2,166939,67704,RUB,Да,Menumaster,Профоборудование,Тепловое,Микроволновые печи,https://entero.ru/item/126098,"<p>Микроволновая печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126098"">Menumaster RMS510DS2</a></b> предназначена для приготовления и разогрева блюд на предприятиях общественного питания. Оборудование просто в эксплуатации, не требует дополнительной подготовки персонала и подходит для работы в режиме самообслуживания. Корпус и внутренняя камера выполнены из нержавеющей стали, дверь - из ABS-пластика, окошко в двери - из закаленного стекла, основание - из керамики.</p>

<p><b>Особенности:</b></p>

<ul>
<li>1 уровень мощности - работает только на полную мощность</li>
<li>1 этап приготовления пищи</li>
<li>Таймер на 6 минут</li>
<li>Автоматическое отключение таймера при открывании двери во время нагрева</li>
<li>Значение выбранного времени подсвечивается красным цветом</li>
<li>Литая ручка для открытия дверцы</li>
<li>Прозрачная дверь и внутренняя подсветка для визуального контроля приготовления</li>
<li>Вращающаяся антенна в нижней части печи обеспечивает равномерный прогрев всего объема продукта</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр используемой посуды: 305 мм</li>
<li>Энергопотребление: 1,5 кВт</li>
<li>Внутренние размеры: 330х330х197 мм</li>
</ul>",126098,220 В,1.5 кВт,512 мм,403 мм,310 мм,16 кг,США,1,460x570x380 мм,0,https://entero.ru/manuals/410525/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Menumaster%20RMS510DS2.pdf;https://entero.ru/manuals/498705/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Menumaster%20RMS510DS2.pdf,72026,,14.5 кг,23 л,механическое,,,
https://cdn.entero.ru/mp@2x/eb/bd/ebbd2437cb498730d1d8623d3055814e.jpg;https://cdn.entero.ru/mp@2x/84/13/84135d0b4c9307245d131447533aa758.jpg;https://cdn.entero.ru/mp@2x/7e/27/7e27550d6d85a1cd4529339277b58053.jpg,Печь микроволновая Menumaster RCS511TS,RCS 511TS 90796,107744,RUB,Да,Menumaster,Профоборудование,Тепловое,Микроволновые печи,https://entero.ru/item/33170,"<p>Микроволновая печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33170"">Menumaster RCS511TS</a> </b>предназначена для приготовления и разогрева блюд на предприятиях общественного питания. Оборудование просто в эксплуатации, не требует дополнительной подготовки персонала и подходит для работы в режиме самообслуживания. Несколько печей можно устанавливать друг на друга с целью экономии места. Корпус и внутренняя камера выполнены из нержавеющей стали, окошко в двери - из закаленного стекла, внутренняя полка - из керамики.</p>

<p><b>Особенности:</b></p>

<ul>
<li>100 программируемых пунктов меню</li>
<li>5 уровней мощности</li>
<li>4 этапа приготовления пищи</li>
<li>Панель умножения для расчета правильного времени приготовления 2 порций</li>
<li>Возможность ввода времени</li>
<li>Таймер на 60 минут</li>
<li>Несъемный воздушный фильтр для защиты компонентов печи с напоминанием о чистке</li>
<li>Звуковой сигнал в конце цикла (настраиваемый)</li>
<li>LED-дисплей с индикацией оставшегося времени приготовления</li>
<li>Сенсорное управление - панели со шрифтом Брайля (рельефным)</li>
<li>Ручка для открытия дверцы на 90°</li>
<li>Магнетрон с вращающейся антенной и верхней подачей для равномерного нагрева по всему объему</li>
<li>Герметичная внутренняя полка, утопленная в дно печи</li>
<li>Прозрачная дверь и внутренняя подсветка для визуального контроля приготовления</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр используемой посуды: 356 мм</li>
<li>Энергопотребление: 1,6 кВт</li>
<li>Длина шнура: 1,5 м</li>
<li>Внутренние размеры: 368,3х381х216 мм</li>
<li>Габариты в упаковке: 660,4х508х431,4 мм</li>
</ul>",33170,220 В,1.1 кВт,558 мм,482 мм,349 мм,21 кг,Ю. Корея,1,640x502x422 мм,0,https://entero.ru/manuals/29540/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Menumaster%20RCS511TS.pdf;https://entero.ru/manuals/38251/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Menumaster%20RCS511TS.pdf,113415,,19 кг,34 л,электронное,Да,,
