Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Источник тепла,Диаметр пиццы,Вместимость (пицц),Количество камер (подов),Количество пицц в одной камере,Внутренние размеры камеры
https://cdn.entero.ru/mp@2x/85/df/85df6a24cd53dbbc23a645fde7595dca.jpg,Печь для пиццы Hurakan HKN-MD11,149931,21185,RUB,Да,Hurakan,Профоборудование,Тепловое,Печи для пиццы,https://entero.ru/item/73530,"<p>Печь для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73530"">Hurakan HKN-MD11</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления, термостатами, таймером, равномерным нагревом пищи благодаря камню для выпечки, внутренней подсветкой и дверцами со смотровыми окнами. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрый разогрев и приготовление</li>
<li>Возможность выпекать хлебобулочные изделия</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 610х570х480 мм</li>
<li>Внутренний размер камеры: 415х400х120 мм (2шт)</li>
</ul>",73530,от 0 до 300 °С,3 кВт,560 мм,570 мм,440 мм,30 кг,Китай,1,560x630x480 мм,77,https://entero.ru/manuals/415359/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-MD11.pdf;https://entero.ru/manuals/415360/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454487/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-MD11.pdf,23027,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241116&hash=e9d402762a2babad,28 кг,220 В,,2,2,1,415х400х120 мм
https://cdn.entero.ru/mp@2x/15/51/15510a87641fb3b7fac34ebe68eb8000.jpg,Печь для пиццы VIATTO EP-2T,Печь для пиццы VIATTO EP-2T,20394,RUB,Да,VIATTO,Профоборудование,Тепловое,Печи для пиццы,https://entero.ru/item/157731,"<p>Печь для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/157731"">VIATTO EP-2T</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена 2 дверцами со смотровыми окнами. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Внутренняя подсветка камер</li>
<li>Отдельная регулировка верхних и нижних ТЭНов</li>
<li>Простое управление</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер подового камня: 400х400 мм</li>
</ul>",157731,от 50 до 350 °С,3 кВт,560 мм,570 мм,440 мм,35 кг,Китай,1,610x570x480 мм,11,https://entero.ru/manuals/408932/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20EP-2T.pdf;https://entero.ru/manuals/408933/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/463828/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,21929,,33 кг,220 В,,,2,,400х400х200 мм
https://cdn.entero.ru/mp@2x/fd/3e/fd3eac81659ada74c8050c8a1b031d5f.jpg;https://cdn.entero.ru/mp@2x/b9/e6/b9e61d536039df176f0a3f3cc66db1c7.jpg;https://cdn.entero.ru/mp@2x/91/7c/917c3cb1f46a29ac53ee9275669cc0f2.jpg,Печь для пиццы ITPIZZA MS4 380В,Печь для пиццы ITPIZZA MS4 380В,86935,RUB,Да,ITPIZZA,Профоборудование,Тепловое,Печи для пиццы,https://entero.ru/item/50321,"<p>Печь для пиццы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/50321""><b class=""b"">ITPIZZA MS4</b></a> используется на предприятиях общественного питания и торговли для выпечки пиццы и блюд, не требующих пароувлажнения: фокаччо, гриссини, крем-карамели, бисквитных и песочных десертов. Модель оснащена механической панелью управления. Боковые и задняя панели выполнены из окрашенной стали, передняя панель - из нержавеющей стали, поверхность для выпечки - из огнеупорного материала шамота.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 группы особо прочных стальных ТЭНов</li>
<li>Независимая регулировка верхних и нижних ТЭНов</li>
<li>Жаропрочное стекло дверцы</li>
<li>Внутренняя подсветка камеры</li>
</ul>",50321,от 45 до 455 °С,4.7 кВт,975 мм,925 мм,415 мм,88 кг,Италия,1,1020x1020x570 мм,0,https://entero.ru/manuals/36405/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ITPIZZA%20MS4.pdf,,,75 кг,380 В,32 см,4,1,4,660х660х140 мм
https://cdn.entero.ru/mp@2x/dc/4b/dc4b0d4302dd1b6dfc18e582e37f19da.jpg,Печь для пиццы ITPIZZA ML44,99713,182361,RUB,Да,ITPIZZA,Профоборудование,Тепловое,Печи для пиццы,https://entero.ru/item/30191,"<p>Печь для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.uz/item/30191"">ITPIZZA ML44</a> </b>используется на предприятиях общественного питания и торговли для выпечки пиццы и блюд, не требующих пароувлажнения: фокаччо, гриссини, крем-карамели, бисквитных и песочных десертов. Модель оснащена механической панелью управления. Корпус выполнен из нержавеющей стали, поверхность для выпечки - из огнеупорного материала шамота.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Независимая регулировка верхних и нижних ТЭНов</li>
<li>Жаропрочное стекло дверцы</li>
<li>Внутренняя подсветка</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Электронная панель управления</li>
<li>Вытяжной зонт <a href=""https://entero.uz/item/314038"">KXL 4-44</a></li>
</ul>",30191,от 45 до 455 °С,12 кВт,1005 мм,954 мм,745 мм,176 кг,Италия,1,1020x1020x900 мм,0,https://entero.ru/manuals/36401/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ITPIZZA%20ML44.pdf,191959,,162 кг,380 В,36 см,8,2,4,720x720x140 мм
https://cdn.entero.ru/mp@2x/e6/5c/e65c96da1b272c42d78269f014201e38.jpg;https://cdn.entero.ru/mp@2x/90/70/9070e280f00adb0f18643f5de5d3759a.jpg;https://cdn.entero.ru/mp@2x/db/db/dbdb955a495f9238b5b39dfd2ecb653f.jpg,Печь для пиццы ITPIZZA MS44,Печь для пиццы ITPIZZA MS44,146195,RUB,Да,ITPIZZA,Профоборудование,Тепловое,Печи для пиццы,https://entero.ru/item/50322,"<p>Печь для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/50322"">ITPIZZA MS44</a></b> используется на предприятиях общественного питания и торговли для выпечки пиццы и блюд, не требующих пароувлажнения: фокаччо, гриссини, крем-карамели, бисквитных и песочных десертов. Модель оснащена механической панелью управления. Корпус, боковые и задняя панели выполнены из окрашенной стали, передняя панель - из нержавеющей стали, поверхность для выпечки - из огнеупорного материала шамота.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Особо прочные стальные ТЭНы</li>
<li>Жаропрочное стекло дверцы</li>
<li>Внутренняя подсветка</li>
</ul>",50322,от 45 до 455 °С,9.4 кВт,975 мм,925 мм,745 мм,136 кг,Италия,1,1020x1020x900 мм,0,https://entero.ru/manuals/36406/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ITPIZZA%20MS44.pdf;https://entero.ru/manuals/461159/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20ITPIZZA%20MS44.pdf,153889,,122 кг,380 В,32 см,8,2,4,660х660х140 мм
https://cdn.entero.ru/mp@2x/4a/4a/4a4a47f7705cf404c4a145a203dfe76e.jpg,Печь для пиццы Hurakan HKN-MD0505,171773,25898,RUB,Да,Hurakan,Профоборудование,Тепловое,Печи для пиццы,https://entero.ru/item/93468,"<p>Печь для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93468"">Hurakan HKN-MD0505</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления, термостатами, таймером на 15 минут со звуковым сигналом, внутренней подсветкой, регулируемыми по высоте ножками и дверцей cо съемной ручкой и смотровым окном. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 2 поддона для крошек.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрый разогрев и приготовление</li>
<li>Управление термостатами</li>
<li>Поддон для крошек</li>
<li>Съемная ручка</li>
<li>Подстраиваемые ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры решетки: 360x335 мм</li>
</ul>",93468,от 60 до 300 °С,2.26 кВт,485 мм,355 мм,340 мм,16 кг,Китай,1,560x445x400 мм,19,https://entero.ru/manuals/414329/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-MD0505.pdf;https://entero.ru/manuals/414331/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-MD0505.pdf;https://entero.ru/manuals/414332/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454489/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-MD0505.pdf,27847,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241082&hash=b54d8c4d599f5449,15 кг,220 В,33 см,,2,1,
https://cdn.entero.ru/mp@2x/37/19/3719a72ad6c611255e3d4dd36b08a3ad.jpg,Печь для пиццы Resto Italia START 4,н0000128074,78860,RUB,Да,Resto Italia,Профоборудование,Тепловое,Печи для пиццы,https://entero.ru/item/89248,"<p>Печь для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89248"">Resto Italia START 4</a></b> используется на предприятиях пищевой промышленности, общественного питания и торговли для выпечки пиццы и хлебобулочных изделий, требующих высокой температуры приготовления. Модель оснащена механической панелью управления. Корпус изготовлен из окрашенной стали, лицевая панель - из нержавеющей стали, теплоизоляция - из минеральной ваты.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Огнеупорный камень</li>
<li>Внутренняя подсветка</li>
<li>Класс защиты: IPX4B</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 970х970х560 мм</li>
</ul>",89248,от 50 до 400 °С,4.7 кВт,940 мм,920 мм,400 мм,,Италия,,,0,https://entero.ru/manuals/72140/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Resto%20Italia%20START%204%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/72141/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Resto%20Italia%20START%204.pdf,,,82 кг,"380 В, 220 В",33 см,4,1,4,660х660х140 мм
https://cdn.entero.ru/mp@2x/fc/67/fc67d9a47acd645ab0f97949265db0be.jpg,Печь для пиццы Apach AMM44 P,383009,179664,RUB,Да,Apach,Профоборудование,Тепловое,Печи для пиццы,https://entero.ru/item/230151,"<p>Печь для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/230151"">Apach AMM44 P</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена механической системой управления и 4 нагревательными элементами. Лицевая панель выполнена из нержавеющей стали, боковые и задние панели - из окрашенной стали, рабочая камера - из стали с алюминиевым покрытием, под - из огнеупорного камня.</p>",230151,,12 кВт,1000 мм,954 мм,745 мм,153 кг,Италия,1,1030x1030x875 мм,0,https://entero.ru/manuals/287693/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20Apach%20AMM44%20P.pdf;https://entero.ru/manuals/287694/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20AMM44%20P.pdf;https://entero.ru/manuals/287695/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/287696/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach.pdf,,,139 кг,380 В,35 см,8,2,4,720x720x140 мм
https://cdn.entero.ru/mp@2x/54/40/5440625558d0a8d8f42eb41aacc83a92.jpg,Печь для пиццы ITPIZZA MS1+1,Печь для пиццы ITPIZZA MS1+1,58868,RUB,Да,ITPIZZA,Профоборудование,Тепловое,Печи для пиццы,https://entero.ru/item/66338,"<p>Печь для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/66338"">ITPIZZA MS1+1</a></b> используется на предприятиях общественного питания и торговли для выпечки пиццы и блюд, не требующих пароувлажнения: фокаччо, гриссини, крем-карамели, бисквитных и песочных десертов. Модель оснащена механической панелью управления. Корпус, боковые и задняя панели выполнены из окрашенной стали, передняя панель - из нержавеющей стали, поверхность для выпечки - из огнеупорного материала шамота.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Особо прочные стальные ТЭНы</li>
<li>Жаропрочное стекло дверцы</li>
<li>Внутренняя подсветка</li>
</ul>",66338,от 50 до 320 °С,2.4 кВт,615 мм,500 мм,430 мм,34 кг,Италия,1,670x600x510 мм,0,https://entero.ru/manuals/36404/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ITPIZZA%20MS1+1.pdf,63987,,32 кг,220 В,32 см,2,2,1,410x360x90 мм
https://cdn.entero.ru/mp@2x/44/1c/441c0a9dec36f4e0f4ec7e60e84dc307.jpg;https://cdn.entero.ru/mp@2x/2f/c4/2fc4be7e8dab17d7ea5ec03edea412cf.jpg;https://cdn.entero.ru/mp@2x/51/eb/51eb22e6e4743643133c8e287986751a.jpg,Печь для пиццы Hurakan HKN-MD1,149930,14724,RUB,Да,Hurakan,Профоборудование,Тепловое,Печи для пиццы,https://entero.ru/item/73528,"<p>Печь для пиццы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73528"">Hurakan HKN-MD1</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления, термостатами, таймером, равномерным нагревом пищи благодаря камню для выпечки, внутренней подсветкой и дверцей со смотровым окном. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрый разогрев и приготовление</li>
<li>Возможность выпекать хлебобулочные изделия</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 610х570х320 мм</li>
</ul>",73528,от 50 до 350 °С,2 кВт,560 мм,570 мм,280 мм,20 кг,Китай,1,640x555x320 мм,189,https://entero.ru/manuals/415354/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-MD1.pdf;https://entero.ru/manuals/415356/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-MD1.pdf;https://entero.ru/manuals/415357/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454486/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-MD1.pdf,15338,,19 кг,220 В,,1,1,1,350x400x60 мм
